,ticker,company,cusip,current shares,current weight(%)
0,TSLA,TESLA INC,88160R101,908068.0,10.44
1,TWTR,TWITTER INC,90184L102,4332142.0,5.09
2,SHOP,SHOPIFY INC - CLASS A,82509L107,191398.0,5.01
3,SQ,SQUARE INC - A,852234103,1111657.0,4.62
4,TDOC,TELADOC HEALTH INC,87918A105,1650296.0,4.44
5,TWLO,TWILIO INC - A,90138F102,614725.0,4.14
6,COIN,COINBASE GLOBAL INC -CLASS A,19260Q107,1037062.0,4.07
7,GBTC,GRAYSCALE BITCOIN TRUST BTC,389637109,8845921.0,3.97
8,SPOT,SPOTIFY TECHNOLOGY SA,L8681T102,870574.0,3.74
9,U,UNITY SOFTWARE INC,91332U101,1994615.0,3.48
10,PTON,PELOTON INTERACTIVE INC-A,70614W100,1637395.0,3.45
11,ZM,ZOOM VIDEO COMMUNICATIONS-A,98980L101,542548.0,3.42
12,ROKU,ROKU INC,77543R102,459665.0,3.33
13,TTD,TRADE DESK INC/THE -CLASS A,88339J105,2114336.0,2.67
14,DKNG,DRAFTKINGS INC - CL A,26142R104,2665425.0,2.12
15,SE,SEA LTD-ADR,81141R100,418863.0,2.03
16,Z,ZILLOW GROUP INC - C,98954M200,1075463.0,2.0
17,SKLZ,SKILLZ INC,83067L109,7529829.0,1.98
18,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,4634928.0,1.78
19,MELI,MERCADOLIBRE INC,58733R102,61168.0,1.63
20,PATH,UIPATH INC - CLASS A,90364P105,1513148.0,1.62
21,OKTA,OKTA INC,679295105,354799.0,1.52
22,PDD,PINDUODUO INC-ADR,722304102,766383.0,1.43
23,JD,JD.COM INC-ADR,47215P106,1076027.0,1.42
24,RBLX,ROBLOX CORP -CLASS A,771049103,938250.0,1.32
25,ETSY,ETSY INC,29786A106,342696.0,1.16
26,NET,CLOUDFLARE INC - CLASS A,18915M107,595014.0,1.12
27,PYPL,PAYPAL HOLDINGS INC,70450Y103,210845.0,1.11
28,NFLX,NETFLIX INC,64110L106,112450.0,1.06
29,ADYEY,ADYEN NV-UNSPON ADR,00783V104,1168170.0,1.05
30,DOCU,DOCUSIGN INC,256163106,200070.0,1.03
31,TWOU,2U INC,90214J101,1286657.0,0.99
32,SPLK,SPLUNK INC,848637104,416332.0,0.99
33,SNAP,SNAP INC - A,83304A106,927046.0,0.98
34,FTCH,FARFETCH LTD-CLASS A,30744W107,1193886.0,0.98
35,PD,PAGERDUTY INC,69553P100,1346739.0,0.93
36,VUZI,VUZIX CORP,92921W300,3527068.0,0.91
37,LC,LENDINGCLUB CORP,52603A208,3244474.0,0.87
38,NNDM,NANO DIMENSION LTD - ADR,63008G203,7508413.0,0.86
39,DIS,WALT DISNEY CO/THE,254687106,253774.0,0.78
40,TCEHY,TENCENT HOLDINGS LTD-UNS ADR,88032Q109,620653.0,0.77
41,VCYT,VERACYTE INC,92337F107,1131661.0,0.74
42,NTDOY,NINTENDO CO LTD-UNSPONS ADR,654445303,508549.0,0.62
43,BEKE,KE HOLDINGS INC-ADR,482497104,899172.0,0.59
44,BZ,KANZHUN LTD,48553T106,839886.0,0.52
45,KVSB,KHOSLA VENTURES ACQUISITIO-A,482505104,2788851.0,0.52
46,CND,CONCORD ACQUISITION CORP -A,206071102,2172034.0,0.4
47,OPEN,OPENDOOR TECHNOLOGIES INC,683712103,1078664.0,0.27
48,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,713586.61,0.01
49,HUYA,HUYA INC-ADR,44852D108,6281.0,0.0
50,SNOW,SNOWFLAKE INC-CLASS A,833445109,98.0,0.0
