,ticker,company,cusip,current shares,current weight(%)
0,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,8703161.34,3.09
1,URGN UQ,UROGEN PHARMA LTD,M96088105,262178.0,1.45
2,NICE,NICE LTD - SPON ADR,653656108,14931.0,1.4
3,INMD,INMODE LTD,M5425M103,37084.0,1.4
4,FVRR,FIVERR INTERNATIONAL LTD,M4R82T106,18115.0,1.4
5,FROG,JFROG LTD,M6191J100,87043.0,1.38
6,RADA,RADA ELECTRONIC INDS LTD,M81863124,317444.0,1.38
7,SMWB,SIMILARWEB LTD,M84137104,167197.0,1.38
8,KRNT,KORNIT DIGITAL LTD,M6372Q113,32926.0,1.38
9,SILC,SILICOM LTD,M84116108,93068.0,1.37
10,CRNT,CERAGON NETWORKS LTD,M22013102,1104772.0,1.37
11,BATM,BATM ADVANCED COMMUNICATIONS,B85PTW0,3493335.0,1.37
12,WIX,WIX.COM LTD,M98068105,13284.0,1.37
13,GMDA,GAMIDA CELL LTD,M47364100,669713.0,1.37
14,ENLV,ENLIVEX THERAPEUTICS LTD,M4130Y106,491589.0,1.36
15,AUDC,AUDIOCODES LTD,M15342104,119225.0,1.36
16,PLTK,PLAYTIKA HOLDING CORP,72815L107,166976.0,1.36
17,MNDY,MONDAY.COM LTD,M7S64H106,18184.0,1.36
18,TARO,TARO PHARMACEUTICAL INDUS,M8737E108,54939.0,1.36
19,MGIC,MAGIC SOFTWARE ENTERPRISES,6328074,226669.0,1.35
20,BEZQ,BEZEQ THE ISRAELI TELECOM CO,6098032,3741907.0,1.35
21,CYBR,CYBERARK SOFTWARE LTD/ISRAEL,M2682V108,28129.0,1.35
22,ARD,ARAD LTD,B0G7VP6,301837.0,1.35
23,WKME,WALKME LTD,M97628107,127060.0,1.34
24,EMCO,E & M COMPUTING,6302216,649202.0,1.34
25,MLTM,MALAM - TEAM LTD,6875923,121785.0,1.34
26,KMDA,KAMADA LTD,B0L2CR5,695342.0,1.34
27,GILT,GILAT SATELLITE NETWORKS LTD,M51474118,412631.0,1.34
28,SEDG,SOLAREDGE TECHNOLOGIES INC,83417M104,15754.0,1.34
29,MTRX,MATRIX IT LTD,6747754,150302.0,1.34
30,ITRN,ITURAN LOCATION AND CONTROL,M6158M104,155225.0,1.34
31,SPNS,SAPIENS INTERNATIONAL CORP,G7T16G103,150551.0,1.33
32,NVMI,NOVA MEASURING INSTRUMENTS,M7516K103,40488.0,1.33
33,CAMT,CAMTEK LTD,M20791105,111220.0,1.33
34,TSEM,TOWER SEMICONDUCTOR LTD,M87915274,143423.0,1.33
35,NYAX,NAYAX LTD,BMXT7N9,1313307.0,1.33
36,RDWR,RADWARE LTD,M81873107,124369.0,1.32
37,PTNR,PARTNER COMMUNICATIONS CO,6374420,903215.0,1.32
38,BLRX ,BIOLINERX LTD-SPONS ADR,09071M205,1153206.0,1.32
39,NNDM,NANO DIMENSION LTD - ADR,63008G203,581562.0,1.32
40,CHKP,CHECK POINT SOFTWARE TECH,M22465104,30808.0,1.32
41,CGNT,COGNYTE SOFTWARE LTD,M25133105,154719.0,1.31
42,ONE,ONE SOFTWARE TECHNOLOGIES LT,6987709,255702.0,1.31
43,PERI,PERION NETWORK LTD,M78673114,211336.0,1.31
44,ESLT,ELBIT SYSTEMS LTD,6308913,29786.0,1.3
45,ALLT,ALLOT LTD,M0854Q105,209136.0,1.3
46,PLSN,PLASSON INDUSTRIES LTD,6094728,74469.0,1.3
47,HLAN,HILAN LTD,6267230,73696.0,1.3
48,DANE,DANEL (ADIR YEOSHUA) LTD,6253433,18616.0,1.3
49,TEVA,TEVA PHARMACEUTICAL-SP ADR,881624209,433808.0,1.29
50,PRTC,PRIORTECH LTD,6677776,147795.0,1.29
51,CEL,CELLCOM ISRAEL LTD,B23WQK8,1015462.0,1.29
52,ECP,ELECTRA CONSUMER PRODUCTS 19,B536CY7,72881.0,1.29
53,CLGN UQ,COLLPLANT BIOTECHNOLOGIES LT,M2R51X116,205401.0,1.28
54,CHEK,CHECK CAP LTD,M2361E203,3275784.0,1.28
55,PYPD,POLYPID LTD,M8001Q118,506215.0,1.27
56,PSTI,PLURISTEM THERAPEUTICS INC,72940R300,993679.0,1.27
57,INVZ UR,INNOVIZ TECHNOLOGIES LTD,M5R635108,378854.0,1.27
58,AUGN,AUGWIND ENERGY TECH STORAGE,B290CJ7,196698.0,1.27
59,BSEN,BET SHEMESH ENGINES HOLDINGS,6103936,199762.0,1.25
60,ABRA,ABRA INFORMATION TECHNOLOGIE,B2NB586,2717401.0,1.25
61,NNOX,NANO-X IMAGING LTD,M70700105,132727.0,1.25
62,AQUA,AQUARIUS ENGINES AM LTD,BN7JJ92,278913.0,1.25
63,VBLT,VASCULAR BIOGENICS LTD,M96883109,1470749.0,1.25
64,CMMB,CHEMOMAB THERAPEUTICS LTD,16385C104,193843.0,1.24
65,FTAL,FATTAL HOLDINGS 1998 LTD,BG1YKN5,39982.0,1.22
66,TUFN,TUFIN SOFTWARE TECHNOLOGIES,M8893U102,369686.0,1.21
67,ICCM,ICECURE MEDICAL LTD,B67PC92,2690649.0,1.21
68,EVGN,EVOGENE LTD,B289530,1168312.0,1.19
69,MDWD,MEDIWOUND LTD,M68830104,702532.0,1.12
70,PPBT,PURPLE BIOTECH LTD-ADR,74638P109,598343.0,1.01
71,SSYS,STRATASYS LTD,M85548101,138737.0,0.98
72,CGEN,COMPUGEN LTD,M25722105,382410.0,0.91
73,PNRG,PHINERGY LTD,BMZ52P2,640896.0,0.77
74,ENTX,ENTERA BIO LTD,M40527109,410562.0,0.75
75,INCR,INTERCURE LTD,B23SD94,308894.15,0.63
76,ITMR,ITAMAR MEDICAL LTD,B1VJHY5,2290547.0,0.51
77,ROBO,ROBOGROUP T.E.K LTD,6302722,1401848.0,0.48
78,RDHL,REDHILL BIOPHARMA LTD-SP ADR,757468103,20536.0,0.05
