,ticker,company,cusip,current shares,current weight(%)
0,TRMB,TRIMBLE INC,896239100,721323.0,9.56
1,PRNT,THE 3D PRINTING ETF,00214Q500,1095858.0,6.53
2,KTOS,KRATOS DEFENSE & SECURITY,50077B207,1417778.0,6.08
3,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,910271.0,6.04
4,2618,JD LOGISTICS INC,BNMBPD9,8022008.0,5.78
5,LHX,L3HARRIS TECHNOLOGIES INC,502431109,150416.0,5.47
6,LMT,LOCKHEED MARTIN CORP,539830109,69691.0,4.26
7,HO,THALES SA,4162791,241827.0,4.07
8,6301,KOMATSU LTD,6496584,895688.0,3.52
9,GOOG,ALPHABET INC-CL C,02079K107,7077.0,3.04
10,AMZN,AMAZON.COM INC,023135106,5123.0,3.0
11,DSY FP,DASSAULT SYSTEMES SE,BM8H5Y5,324987.0,2.73
12,BA,BOEING CO/THE,097023105,74056.0,2.63
13,NFLX,NETFLIX INC,64110L106,30372.0,2.5
14,SPR,SPIRIT AEROSYSTEMS HOLD-CL A,848574109,346164.0,2.39
15,U,UNITY SOFTWARE INC,91332U101,140536.0,2.36
16,PATH,UIPATH INC - CLASS A,90364P105,233134.0,2.34
17,3690,MEITUAN-CLASS B,BGJW376,386272.0,2.24
18,NVDA,NVIDIA CORP,67066G104,61252.0,1.93
19,RTP,REINVENT TECHNOLOGY-CLASS A,G7483N129,1190925.0,1.91
20,TER,TERADYNE INC,880770102,87180.0,1.78
21,AVAV,AEROVIRONMENT INC,008073108,111022.0,1.72
22,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,49646.0,1.71
23,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,10533325.65,1.7
24,DE,DEERE & CO,244199105,27096.0,1.53
25,AIR,AIRBUS SE,4012250,69618.0,1.44
26,ESLT,ELBIT SYSTEMS LTD,M3760D101,63838.0,1.28
27,BLDE,BLADE AIR MOBILITY INC,092667104,973420.0,1.26
28,HON,HONEYWELL INTERNATIONAL INC,438516106,31092.0,1.16
29,SNPS,SYNOPSYS INC,871607107,24534.0,1.11
30,SPFR,JAWS SPITFIRE ACQUISITION-A,G50740102,693861.0,1.11
31,GRMN U,GARMIN LTD,B3Z5T14,44236.0,1.08
32,ANSS,ANSYS INC,03662Q105,17882.0,1.03
33,HEI,HEICO CORP,422806109,44790.0,0.98
34,TDY,TELEDYNE TECHNOLOGIES INC,879360105,12260.0,0.87
35,TCEHY,TENCENT HOLDINGS LTD-UNS ADR,88032Q109,75287.0,0.84
36,ACIC,ATLAS CREST INVESTMENT COR-A,049284102,396460.0,0.63
37,RAVN,RAVEN INDUSTRIES INC,754212108,2162.0,0.02
38,JD,JD.COM INC-ADR,47215P106,803.0,0.01
