,ticker,company,cusip,current shares,current weight(%)
0,TDOC,TELADOC HEALTH INC,87918A105,3926738.0,6.82
1,EXAS,EXACT SCIENCES CORP,30063P105,3918381.0,5.16
2,PACB,PACIFIC BIOSCIENCES OF CALIF,69404D108,13988138.0,4.93
3,REGN,REGENERON PHARMACEUTICALS,75886F107,691403.0,4.64
4,VRTX,VERTEX PHARMACEUTICALS INC,92532F100,1830092.0,4.22
5,FATE,FATE THERAPEUTICS INC,31189P102,4152722.0,4.0
6,IONS,IONIS PHARMACEUTICALS INC,462222100,9020306.0,3.92
7,CDNA,CAREDX INC,14167L103,3744243.0,3.58
8,TWST,TWIST BIOSCIENCE CORP,90184D100,2494334.0,3.33
9,VEEV,VEEVA SYSTEMS INC-CLASS A,922475108,822564.0,3.13
10,ACCD,ACCOLADE INC,00437E102,5448091.0,3.05
11,TAK UN,TAKEDA PHARMACEUTIC-SP ADR,874060205,15027484.0,2.94
12,INCY,INCYTE CORP,45337C102,3074522.0,2.76
13,NVS,NOVARTIS AG-SPONSORED ADR,66987V109,2598867.0,2.74
14,RHHBY,ROCHE HOLDINGS LTD-SPONS ADR,771195104,4669560.0,2.53
15,CRSP,CRISPR THERAPEUTICS AG,H17182108,1790178.0,2.48
16,NTLA,INTELLIA THERAPEUTICS INC,45826J105,1516644.0,2.36
17,SDGR,SCHRODINGER INC,80810D103,2534027.0,2.01
18,ADPT,ADAPTIVE BIOTECHNOLOGIES,00650F109,4236975.0,1.81
19,BEAM,BEAM THERAPEUTICS INC,07373V105,1723226.0,1.79
20,TXG,10X GENOMICS INC-CLASS A,88025U109,858308.0,1.79
21,PATH,UIPATH INC - CLASS A,90364P105,2397625.0,1.74
22,CSTL,CASTLE BIOSCIENCES INC,14843C105,2263553.0,1.74
23,BLI,BERKELEY LIGHTS INC,084310101,3219546.0,1.73
24,IOVA,IOVANCE BIOTHERAPEUTICS INC,462260100,6335027.0,1.64
25,SGFY,SIGNIFY HEALTH INC -CLASS A,82671G100,5003237.0,1.57
26,CDXS,CODEXIS INC,192005106,6477263.0,1.53
27,NVTA,INVITAE CORP,46185L103,4665858.0,1.49
28,PSNL,PERSONALIS INC,71535D106,4691516.0,1.14
29,BMY,BRISTOL-MYERS SQUIBB CO,110122108,1436699.0,1.13
30,RXRX,RECURSION PHARMACEUTICALS-A,75629V104,2775786.0,1.07
31,RPTX,REPARE THERAPEUTICS INC,760273102,2776414.0,1.05
32,ARCT UQ,ARCTURUS THERAPEUTICS HOLDIN,03969T109,2739230.0,0.99
33,BFLY,BUTTERFLY NETWORK INC,124155102,7694996.0,0.98
34,MASS,908 DEVICES INC,65443P102,2644738.0,0.97
35,ONEM,1LIFE HEALTHCARE INC,68269G107,3159721.0,0.97
36,PSTG,PURE STORAGE INC - CLASS A,74624M102,4083161.0,0.93
37,QSI,QUANTUM-SI INC,74765K105,6197965.0,0.88
38,VCYT,VERACYTE INC,92337F107,1955888.0,0.85
39,VERV,VERVE THERAPEUTICS INC,92539P101,1213954.0,0.74
40,CLLS,CELLECTIS - ADR,15117K103,4467925.0,0.68
41,NSTG,NANOSTRING TECHNOLOGIES INC,63009R109,927227.0,0.66
42,SMFR,SEMA4 HOLDINGS CORP,81663L101,4447654.0,0.59
43,EDIT,EDITAS MEDICINE INC,28106W103,1261321.0,0.58
44,SEER,SEER INC,81578P106,1516805.0,0.57
45,ZY,ZYMERGEN INC,98985X100,1065451.0,0.43
46,SRPT,SAREPTA THERAPEUTICS INC,803607100,489063.0,0.38
47,,CM LIFE SCIENCES II INC,125842203,2765968.0,0.38
48,AQB,AQUABOUNTY TECHNOLOGIES,03842K200,6667578.0,0.37
49,CERS,CERUS CORP,157085101,5675967.0,0.32
50,CGEN,COMPUGEN LTD,M25722105,3982336.0,0.3
51,SURF,SURFACE ONCOLOGY INC,86877M209,4367936.0,0.3
52,CRBU,CARIBOU BIOSCIENCES INC,142038108,1498542.0,0.29
53,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,24372903.16,0.28
54,DYNS,DYNAMICS SPECIAL PURPOSE C-A,268010105,2022667.0,0.23
55,MCRB,SERES THERAPEUTICS INC,81750R102,2473072.0,0.22
56,DRNA,DICERNA PHARMACEUTICALS INC,253031108,318379.0,0.14
57,EVGN,EVOGENE LTD,M4119S104,3190159.0,0.11
58,PSTI,PLURISTEM THERAPEUTICS INC,72940R300,604213.0,0.02
59,ONVO ,ORGANOVO HOLDINGS INC,68620A203,261509.0,0.02
