,ticker,company,cusip,current shares,current weight(%)
0,SQ,SQUARE INC - A,852234103,1594118.0,10.9
1,SHOP,SHOPIFY INC - CLASS A,82509L107,161918.0,6.72
2,Z,ZILLOW GROUP INC - C,98954M200,1694718.0,4.98
3,PYPL,PAYPAL HOLDINGS INC,70450Y103,621481.0,4.74
4,COIN,COINBASE GLOBAL INC -CLASS A,19260Q107,681038.0,4.46
5,SE,SEA LTD-ADR,81141R100,582151.0,4.45
6,MELI,MERCADOLIBRE INC,58733R102,94408.0,4.1
7,ADYEN,ADYEN NV,BZ1HM42,50587.0,3.8
8,TWLO,TWILIO INC - A,90138F102,356756.0,3.69
9,PINS,PINTEREST INC- CLASS A,72352L106,1740807.0,2.84
10,OPEN,OPENDOOR TECHNOLOGIES INC,683712103,6918590.0,2.84
11,DOCU,DOCUSIGN INC,256163106,339513.0,2.8
12,FB,FACEBOOK INC-CLASS A,30303M102,277705.0,2.74
13,PATH,UIPATH INC - CLASS A,90364P105,1477934.0,2.56
14,TDOC,TELADOC HEALTH INC,87918A105,588437.0,2.42
15,INTU,INTUIT INC,461202103,139366.0,2.04
16,4689,Z HOLDINGS CORP,6084848,14421106.0,1.99
17,6060,ZHONGAN ONLINE P&C INSURAN-H,BYZQ099,13321163.0,1.99
18,JD,JD.COM INC-ADR,47215P106,1011380.0,1.98
19,SNAP,SNAP INC - A,83304A106,933953.0,1.92
20,SI,SILVERGATE CAPITAL CORP-CL A,82837P408,672615.0,1.91
21,TCS LI,TCS GROUP HOLDING-GDR REG S,87238U203,807708.0,1.85
22,ICE,INTERCONTINENTAL EXCHANGE IN,45866F104,541624.0,1.8
23,STNE,STONECO LTD-A,G85158106,1040286.0,1.69
24,LC,LENDINGCLUB CORP,52603A208,2407772.0,1.63
25,TCEHY,TENCENT HOLDINGS LTD-UNS ADR,88032Q109,853074.0,1.44
26,DKNG,DRAFTKINGS INC - CL A,26142R104,1064855.0,1.43
27,FTCH,FARFETCH LTD-CLASS A,30744W107,944845.0,1.31
28,WDAY,WORKDAY INC-CLASS A,98138H101,192277.0,1.25
29,BILL,BILL.COM HOLDINGS INC,090043100,214230.0,1.23
30,AMZN,AMAZON.COM INC,023135106,12082.0,1.11
31,DSY,DISCOVERY LTD,6177878,4931593.0,1.1
32,9923,YEAHKA LTD,BL58D39,8270400.0,1.1
33,PDD,PINDUODUO INC-ADR,722304102,426663.0,1.08
34,3690,MEITUAN-CLASS B,BGJW376,1391119.0,1.06
35,1833,PING AN HEALTHCARE AND TECHN,BDRYVB3,3520100.0,0.91
36,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,147838.0,0.8
37,4477,BASE INC,BKRQ8Q2,2531000.0,0.73
38,KSPI,JSC KASPI.KZ GDR-REG S,BMXZ8G7,222375.0,0.7
39,HOOD,ROBINHOOD MARKETS INC - A,770700102,594494.0,0.58
40,GOOG,ALPHABET INC-CL C,02079K107,7186.0,0.54
41,HDB,HDFC BANK LTD-ADR,40415F101,250528.0,0.49
42,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,9506786.87,0.26
43,SCHW,SCHWAB (CHARLES) CORP,808513105,1061.0,0.0
44,,SOUTH AFRICAN RAND,ZAR,136.75,0.0
