,ticker,company,cusip,current shares,current weight(%)
0,TSLA,TESLA INC,88160R101,3339491.0,10.44
1,TDOC,TELADOC HEALTH INC,87918A105,8773838.0,5.67
2,ROKU,ROKU INC,77543R102,3352793.0,5.6
3,COIN,COINBASE GLOBAL INC -CLASS A,19260Q107,4241606.0,5.04
4,ZM,ZOOM VIDEO COMMUNICATIONS-A,98980L101,2884476.0,4.73
5,SQ,SQUARE INC - A,852234103,3800797.0,4.57
6,SHOP,SHOPIFY INC - CLASS A,82509L107,647164.0,4.35
7,U,UNITY SOFTWARE INC,91332U101,8478488.0,4.0
8,TWLO,TWILIO INC - A,90138F102,2271012.0,3.67
9,SPOT,SPOTIFY TECHNOLOGY SA,L8681T102,3467940.0,3.29
10,Z,ZILLOW GROUP INC - C,98954M200,6709557.0,2.95
11,CRSP,CRISPR THERAPEUTICS AG,H17182108,4906372.0,2.92
12,NTLA,INTELLIA THERAPEUTICS INC,45826J105,4131025.0,2.84
13,EXAS,EXACT SCIENCES CORP,30063P105,6324199.0,2.69
14,PATH,UIPATH INC - CLASS A,90364P105,8638900.0,2.47
15,TWTR,TWITTER INC,90184L102,8249557.0,2.39
16,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,22077449.0,2.23
17,DOCU,DOCUSIGN INC,256163106,1652389.0,2.19
18,BEAM,BEAM THERAPEUTICS INC,07373V105,4765329.0,2.19
19,DKNG,DRAFTKINGS INC - CL A,26142R104,9513747.0,2.18
20,FATE,FATE THERAPEUTICS INC,31189P102,4663531.0,1.86
21,TXG,10X GENOMICS INC-CLASS A,88025U109,2295926.0,1.67
22,SE,SEA LTD-ADR,81141R100,1197783.0,1.57
23,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,8277012.0,1.56
24,NVTA,INVITAE CORP,46185L103,11710316.0,1.38
25,EDIT,EDITAS MEDICINE INC,28106W103,4298014.0,1.16
26,PACB,PACIFIC BIOSCIENCES OF CALIF,69404D108,8581650.0,1.16
27,HOOD,ROBINHOOD MARKETS INC - A,770700102,4889858.0,1.16
28,PD,PAGERDUTY INC,69553P100,5671844.0,1.02
29,TER,TERADYNE INC,880770102,1894169.0,1.02
30,TWOU,2U INC,90214J101,5088169.0,0.89
31,TSP,TUSIMPLE HOLDINGS INC - A,90089L108,5840722.0,0.85
32,IOVA,IOVANCE BIOTHERAPEUTICS INC,462260100,8197166.0,0.84
33,TWST,TWIST BIOSCIENCE CORP,90184D100,1816996.0,0.82
34,NTDOY,NINTENDO CO LTD-UNSPONS ADR,654445303,3099853.0,0.78
35,SKLZ,SKILLZ INC,83067L109,13678409.0,0.73
36,PRLB,PROTO LABS INC,743713109,1963894.0,0.7
37,BLI,BERKELEY LIGHTS INC,084310101,3454939.0,0.67
38,TRMB,TRIMBLE INC,896239100,1675318.0,0.66
39,VCYT,VERACYTE INC,92337F107,3301950.0,0.64
40,NSTG,NANOSTRING TECHNOLOGIES INC,63009R109,1868935.0,0.46
41,SSYS,STRATASYS LTD,M85548101,4089758.0,0.42
42,MTLS,MATERIALISE NV-ADR,57667T100,3643007.0,0.36
43,SRNG,SOARING EAGLE ACQU - CL A,G8354H126,7685804.0,0.34
44,CERS,CERUS CORP,157085101,12040709.0,0.33
45,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,62913593.51,0.28
46,CGEN,COMPUGEN LTD,M25722105,6334724.0,0.18
47,MCRB,SERES THERAPEUTICS INC,81750R102,3363432.0,0.1
