,ticker,company,cusip,current shares,current weight(%)
0,TSLA,TESLA INC,88160R101,456118.0,11.84
1,TRMB,TRIMBLE INC,896239100,2181229.0,7.5
2,KTOS,KRATOS DEFENSE & SECURITY,50077B207,7261015.0,6.31
3,U,UNITY SOFTWARE INC,91332U101,1261004.0,5.74
4,PATH,UIPATH INC - CLASS A,90364P105,2323055.0,5.51
5,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,3485225.0,5.09
6,GOOG,ALPHABET INC-CL C,02079K107,38641.0,4.03
7,JD,JD.COM INC-ADR,47215P106,1307062.0,3.63
8,LMT,LOCKHEED MARTIN CORP,539830109,277361.0,3.63
9,TSP,TUSIMPLE HOLDINGS INC - A,90089L108,1904352.0,3.13
10,DDD,3D SYSTEMS CORP,88554D205,2691465.0,2.91
11,DE,DEERE & CO,244199105,203075.0,2.79
12,KMTUY,KOMATSU LTD -SPONS ADR,500458401,2881235.0,2.52
13,TER,TERADYNE INC,880770102,555656.0,2.4
14,MGA,MAGNA INTERNATIONAL INC,559222401,731414.0,2.15
15,AVAV,AEROVIRONMENT INC,008073108,566517.0,2.1
16,NXPI,NXP SEMICONDUCTORS NV,N6596X109,257012.0,2.04
17,NIU,NIU TECHNOLOGIES-SPONS ADR,65481N100,2114067.0,2.03
18,MKFG,MARKFORGED HOLDING CORP,57064N102,5826703.0,1.79
19,CAT,CATERPILLAR INC,149123101,225710.0,1.77
20,NNDM,NANO DIMENSION LTD - ADR,63008G203,7096401.0,1.55
21,SNPS,SYNOPSYS INC,871607107,122146.0,1.45
22,ISRG,INTUITIVE SURGICAL INC,46120E602,37903.0,1.44
23,BIDU,BAIDU INC - SPON ADR,056752108,243369.0,1.38
24,ESLT,ELBIT SYSTEMS LTD,M3760D101,243945.0,1.29
25,TDY,TELEDYNE TECHNOLOGIES INC,879360105,75344.0,1.26
26,MTLS,MATERIALISE NV-ADR,57667T100,1452168.0,1.14
27,BLDE,BLADE AIR MOBILITY INC,092667104,3884424.0,1.13
28,NVDA,NVIDIA CORP,67066G104,137876.0,1.12
29,TWOU,2U INC,90214J101,852901.0,1.11
30,VUZI,VUZIX CORP,92921W300,2393378.0,1.09
31,ANSS,ANSYS INC,03662Q105,76061.0,1.02
32,ACIC,ATLAS CREST INVESTMENT COR-A,049284102,2751505.0,1.0
33,SPFR,JAWS SPITFIRE ACQUISITION-A,G50740102,2733387.0,0.99
34,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,1103334.0,0.98
35,BYDDY,BYD CO LTD-UNSPONSORED ADR,05606L100,359086.0,0.89
36,SSYS,STRATASYS LTD,M85548101,1048077.0,0.79
37,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,77476.0,0.48
38,PRLB,PROTO LABS INC,743713109,183689.0,0.48
39,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,11553224.83,0.42
40,ONVO ,ORGANOVO HOLDINGS INC,68620A203,139887.0,0.04
41,XONE,EXONE CO/THE,302104104,11306.0,0.01
