symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
002555,2020Q4_1752732,安徽省芜湖市鸠江区北京中路芜湖广告产业园广告创意综合楼十一楼,"网络及计算机领域内的技术开发、技术转让、技术咨询、技术服务(涉及前置许可的除外)，计算机系统集成，网络工程，图文设计制作，计算机、软件及辅助设备(除计算机信息系统安全专用产品)的销售，动漫的设计和制作，广告的设计、制作和发布，组织境内文化艺术交流活动,实业投资。",李卫伟,芜湖市,公司主要从事互动娱乐业务以及汽车塑料燃油箱制造、销售业务，其中互动娱乐业务以手机游戏和网页游戏的研发、发行和运营为主，同时布局影视、动漫、音乐、VR及直播等泛娱乐业务。公司核心团队由经验丰富的手机游戏、网页游戏发行团队，以及技术领先的研发团队组成。公司自主研发的一系列性能优异、稳定性强的游戏引擎、游戏框架等核心技术，能够支持开发高性能、可玩性强的大型精品网络游戏，是公司持续推出高质量精品游戏的重要保障。公司于2017年5月完成对上海墨鹍公司以及江苏智铭公司整体收购，增强了公司游戏研发实力以及发行能力。,ir@37.com,"汽车零部件制造,销售,网络游戏运营及开发等",李卫伟,安徽,221786.43,叶威,19950526,www.37wan.net,三七互娱,2015,SZSE,SZSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,51076685000,5.37,-27.09,¥23.06,通信服务,308,0.29,6411200,200222000.0,3.79,10000.0,6411200,3.79,3.79,1.0,41.71,24.95,29.47,-21.75,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752732
600563,2020Q4_1752787,福建省厦门市新园路99号,1、薄膜电容器及其金属化镀膜材料的制造；2、研究、开发各类型的高新科技电子基础元器件及相关配套件；高新技术转让；3、批发机械电子设备、日用百货、纺织品、五金交电化工、建筑材料、工艺美术品(不含金银首饰)；4、机电产品、轻工业品、化工产品的进出口和代理业务；本企业自产产品的出口及生产所需物资的进口；加工贸易业务。,严春光,厦门市,公司是一家专业从事薄膜电容器和薄膜电容器用金属化膜制造与研发的上市公司。公司通过了IATF16949、ISO9001、ISO14001、OHSAS18001等标准认证，拥有实力雄厚的研发中心和经验丰富的技术服务团队，年产45亿只薄膜电容器及2500吨金属化膜。公司以技术、质量和服务等竞争优势获得了客户的认可，为各类整机客户如照明、通讯、家电、工业控制、新能源汽车等提供薄膜电容器“一站式”解决方案。,cy@faratronic.com.cn;wangyong@faratronic.com.cn;zangzhe@faratronioc.com.cn,"主要产品:薄膜电容器,变压器及金属化膜等.",陈国彬,福建,22500.0,陈宇,19981212,www.faratronic.com,法拉电子,2009,SHSE,SHSE,硬件,31120,-,电子元件,31120040,40736768000,63.75,70.12,¥179.90,科技,311,0.8,1810600,192135200.0,3.64,10000.0,1810600,3.64,3.64,1.0,108.2,56.7,77.52,132.07,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752787
603267,2020Q4_1752793,北京市大兴区中关村科技园区大兴生物医药产业基地天贵街1号,电子元器件生产；生产电子专用材料、电子电路、电力电子元器件(限在外阜从事生产活动)；销售电子元器件、电子产品、电子专用材料、电子电路、电力电子元器件；电子产品、电子材料检测服务；技术咨询；技术服务；技术开发；技术转让；货物进出口；代理进出口。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。),郑红,北京市,公司是国家级高新技术企业，以研发、生产、经营电容器等电子元器件为主营业务。公司总部设在北京，下属13个分支机构遍布全国11个省市。现拥有员工400人，年销售额近5亿元，连续多年保持高速增长。过20年的发展，公司现已拥有两条世界最先进的生产线和一个瓷料研究中心，能够进行高品质多层瓷介电容器的自主研发和生产；拥有一支由博士、硕士、归国留学人员、行业资深专家组成的专业研发团队，并与清华大学等高校进行产学研合作；拥有20余项国家专利；拥有4个与科研院所、高等院校共同成立的联合实验室，与4家重点客户签订战略合作伙伴协议，在多层瓷介电容器的研究和应用上进行多方位合作。,603267@yldz.com.cn,"公司主营业务为以多层瓷介电容器(MLCC)为主的电子元器件的技术研发,产品生产和销售,包括自产业务和代理业务两大类.公司自产业务的主要产品包括片式多层瓷介电容器,有引线多层瓷介电容器,金属支架多层瓷介电容器以及直流滤波器等.公司产品广泛应用于航天,航空,船舶,兵器,电子信息,轨道交通,新能源等行业,满足军工及民用高端工程对产品的技术要求和应用需求.",刘辰,北京,23240.4,邢杰,20011206,www.yldz.com.cn,鸿远电子,2020,SHSE,SHSE,硬件,31120,-,电子元件,31120040,33547820000,13.76,10.94,¥150.49,科技,311,0.54,1257700,161945800.0,3.06,10000.0,1257700,3.06,3.06,1.0,128.76,43.49,80.33,87.34,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752793
000733,2020Q4_1752724,贵州省贵阳市乌当区新添大道北段268号,主营电子信息产品、光机电一体化产品；兼营金融、贸易、房地产开发、经济技术服务等第三产业。,肖立书,贵阳市,公司为股份制大型企业，主要从事电子信息产品的研制生产和销售，其主导产品有：以片式钽电容器、片式电阻器、片式电感器、片式二、三极管、厚膜混合集成电路和高压真空开关管为代表的新型电子元器件；以程控交换机、电子电话机(移动、无绳及可视电话机)为代表的通信整机；以电力自动化控制系统为代表的光机电一体化设备等。主导产品在性能、质量以及市场占有率上均处于国内同类产品先进水平，并且全部通过ISO9001：2000质量管理体系认证和国军标质量体系认证。公司还拥有国家批准的技术中心和博士后科研工作站，被国家科技部认定为国家重点高新技术企业和国家高新技术研究发展计划(863计划)成果产业化基地。,zhkj9@mail.guz.cei.gov.cn;yangyf@czelec.com.cn;sunxin@czelec.com.cn,"主要产品:新型电子元器件,通信整机产品,机电一体化产品.",陈刚,贵州,51480.56,孙鑫,19970626,www.czst.com.cn,振华科技,2014,SZSE,SZSE,硬件,31120,-,通讯设备,31120010,34410544000,28.27,13.87,¥73.54,科技,311,0.5,2598900,152944000.0,2.89,10000.0,2598900,2.89,2.89,1.0,58.85,22.69,42.01,75.05,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752724
601677,2020Q4_1752790,河南省郑州市巩义市回郭镇开发区,制造空调箔，电池箔，电子铝箔，电缆箔，铜箔，防盗瓶盖带，铝板带箔，铜板。货物或技术进出口(国家禁止或涉及行政审批的货物和技术进出口除外)。(涉及许可经营项目，应取得相关部门许可后方可经营),马廷义,郑州市,公司是一家集科研、加工、制造为一体的大型现代化铝加工企业，主要从事铝板带箔的生产和销售，是中国知名的民营铝板带箔加工生产企业。目前，公司产品涵盖1系、2系、3系、4系、5系、6系、7系、8系铝合金等8个规格系列，主要产品有CTP/PS版基、电解电容器用铝箔、单零箔、双零箔坯料、电子箔、合金料、深冲料、钎焊板、中厚板。产品广泛应用于航空航天、印刷制版、交通运输、汽车制造、包装容器、建筑装饰、机械电器、电子通讯、石油化工、能源动力等各个行业。多年来，公司在研发、生产等领域获得多项殊荣。先后获得“国家大型企业”、“中国有色金属50强”、“中华人民共和国AA类企业”、“河南省铝板带箔工程技术研究中心”、“河南省百强企业”、“河南省优秀民营企业”、“河南省质量信用AA级工业企业”、“中国十大铝加工公司”。,mtzqb601677@126.com;mtzqb601677@hngymt.com,"主要产品:铝板带箔及铝型材两大门类,广泛应用于新能源电池,轨道车体,汽车制造,印刷制版,电子家电,电力设施,建筑装饰,交通运输,食品和医药包装等领域.主营业务:1-8系铝板带箔的生产和销售.",刘杰,河南,68221.56,雷鹏,19970418,www.hngymt.com,明泰铝业,2020,SHSE,SHSE,金属与开采,10150,-,铝,10150010,15798386000,24.03,66.83,¥23.58,基础材料,101,1.2,8200200,115950200.0,2.19,10000.0,8200200,2.19,2.19,1.0,14.86,11.19,13.62,73.13,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752790
300758,2020Q4_1752744,辽宁省鞍山市腾鳌经济开发区一号路八号,许可经营项目：1，8-萘二甲酸酐生产。一般经营项目：染、颜料和染、颜料中间体、水处理剂、化工机械、化工防腐剂、润滑剂、医药中间体、农药中间体、精细化工产品、化工原料生产销售。经营货物及技术进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动。),徐惠祥,鞍山市,公司专注于煤焦油精细化学品开发和生产、以高性能有机颜料开发为核心，现为国内最大的1，8－萘酐和苯并咪唑酮系列高性能有机颜料及大分子系列高性能有机颜料研发生产及深加工基地，产品远销欧洲、美国、日本、东南亚国家及地区，与多家世界500强企业有着紧密的经贸合作。公司具有雄厚研发能力，和国内多所知名院校建立了良好的合作关系，拥有省级企业技术中心和国家级博士后科研工作站，在站博士4人、科技人员100余人，多项产品成为国家级重点新产品和多项技术填补国内空白，整体技术水平处于国内领先国外先进。已形成了拥有独立研究开发体系、具有强大的技术支持可持续发展的良好局面。引领行业科技进步，创中国高档着色剂名牌。,zhengquan@hifichem.com,"公司主营业务为高性能有机颜料,溶剂染料的研发,生产与销售.主要产品包括苯并咪唑酮系列,大分子系列,异吲哚啉系列,偶氮颜料,溶剂染料,以及相关染,颜料中间体.",徐惠祥,辽宁,24140.16,于兴春,20060612,www.hifichem.com,七彩化学,2019,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,5928217000,11.79,6.31,¥24.73,基础材料,101,2.06,4978600,113661400.0,2.15,10000.0,4978600,2.15,2.15,1.0,36.55,19.2,26.8,-7.72,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752744
002493,2020Q4_1752731,浙江省杭州市萧山区益农镇浙江荣盛控股集团大楼,实业投资，涤纶丝，化纤布的制造、加工，纸制品加工，轻纺原料及产品，五金，化工产品及原料(除化学危险品及易制毒化学品)的销售，普通货物仓储服务(不含危险品)，普通货运，经营进出口业务(国家法律法规限制或禁止的除外)。,李水荣,杭州市,"公司是全国大型的直纺涤纶长丝生产企业,主要从事PTA、聚酯纤维相关产品的生产和销售，是全国石化-化纤行业龙头企业之一。公司已形成PTA1000万吨以上，聚酯100万吨、涤纶纺丝(FDY、POY)100万吨、涤纶加弹丝(DTY)45万吨的年产能。经过十多年的积累，目前荣盛聚酯及纺丝、加弹配套项目的生产规模、原料单耗及产品质量均处于国内同行的前列，综合能耗处于国际先进水平。在项目的建设中，公司始终坚持高标准、严要求，在扩大产能的同时，积极开展设备的升级和技术的创新，形成了荣盛在设备、流程等方面的传统优势。目前荣盛纺丝和加弹项目的关键设备均自国外引进，具备国际先进水平，其中在新建的差别化项目中，引进了具有卷绕自动落丝-中间立体仓储-检测-包装等全自动一体化功能的德国高端工业自动化纺丝设备，开启了智能制造新模式。",rspc@rong-sheng.com;qwy@rong-sheng.com;yangyang@rong-sheng.com,"主营业务为PTA,聚酯纤维相关产品的生产和销售,主要产品为PTA以及涤纶牵伸丝(FDY),涤纶预取向丝(POY),涤纶加弹丝(DTY)三大系列,各种规格的涤纶长丝,PET切片.",项炯炯,浙江,1012552.5,全卫英,19950915,www.cnrspc.com,荣盛石化,2015,SZSE,SZSE,化工,10130,-,化学制品,10130010,196874435000,8.32,6.32,¥20.44,基础材料,101,0.06,6295350,113506800.0,2.15,10000.0,6295350,2.15,2.15,1.5,18.41,8.34,13.68,49.42,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752731
300408,2020Q4_1752742,广东省潮州市凤塘三环工业城内综合楼,研究、开发、生产、销售各类型电子元器件；光电子器件及其他电子器件；特种陶瓷制品；电子工业专用设备；电子材料；家用电器；高新技术转让、咨询服务。货物进出口，技术进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动。),刘杰鹏,潮州市,公司集材料、产品、装备研发与制造为一体，是全国最大的先进技术陶瓷、电子元件生产基地之一。公司主要从事电子陶瓷类电子元件及其基础材料的研发、生产和销售，主要产品包括通信部件、半导体部件、电子元件材料、电子元件、压缩机部件、燃料电池部件、新材料等的生产和研发，公司产品主要应用于电子、通信、消费类电子产品、工业用电子设备和新能源等领域。公司具有几十年电子陶瓷领域的技术积累，专注于各种电子陶瓷的研发和生产，掌握了新型材料、电子浆料、功能玻璃、纳米粉体等关键基础材料的制备技术，独立完成从原材料到成品的生产全过程，在生产加工和工艺控制上形成了一条具有自己特色的工艺技术路线，主要产品技术达到国际先进水平。公司以创新为核心，组建了研究院和技术委员会，拥有以院士、学科专家为带头人的创新团队，不断开展对新材料、新产品、新装备、新技术的研究与创新，承担并完成多项国家、省级科研项目，研发了多项高新技术产品，先后有几十项产品荣获国家优质产品金奖，国家、省重点新产品，广东省优秀新产品奖，专利和商标的申请覆盖了国内外经济技术发达的国家与地区。,dsh@cctc.cc,"主要产品:通信部件,半导体部件,电子元件材料,电子元件,压缩机部件,燃料电池部件,新材料等.主要业务:电子陶瓷类电子元件及其基础材料的研发,生产和销售.",刘杰鹏,广东,181690.6,徐瑞英,19921210,www.cctc.cc,三环集团,2020,SZSE,SZSE,硬件,31120,-,电子元件,31120040,85259077000,15.0,27.44,¥46.22,科技,311,0.14,2578800,96058700.0,1.82,10000.0,2578800,1.82,1.82,1.0,37.25,25.91,30.38,52.14,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752742
300782,2020Q4_1752745,江苏省无锡市滨湖区建筑西路777号A3幢11层,集成电路生产；集成电路、软件的技术研发、技术服务、技术转让及批发、进出口业务(以上商品不涉及国营贸易管理商品、涉及配额、许可证管理商品的，按国家有关规定办理申请)(依法须经批准的项目，经相关部门批准后方可开展经营活动),许志翰,无锡市,公司由硅谷留学人员创办于张江高科技园区，在知名风险投资红杉资本和盈富泰克的支持下，已迅速成长为一家在射频器件及无线连接专业方向上具有顶尖的技术实力和不凡市场竞争力的芯片设计公司。公司专注于移动互联领域，致力于开发无线通信的射频，射频与数字soc芯片产品，并为客户提供基于公司芯片的完整软硬件解决方案。经过8年多的研发积累，公司已拥有丰富的产品线，在行业内树立了领先的地位，销售方面亦已快速扩张，目前的产品已经得到诸如三星、华为、联想、展讯等***客户的采用。目前，公司已成为国内领先的射频器件及无线连接领域的专家，曾经推出或现有的产品线，如cmmb项目产品mxd0265、硅调谐器产品mxd1516、gps低噪放大器芯片mxdln16g及lte switch芯片mxd8650等。,info@maxscend.com,"射频前端芯片的研究,开发与销售,主要向市场提供射频开关,射频低噪声放大器等射频前端芯片产品,并提供IP授权,应用于智能手机等移动智能终端.",许志翰,江苏,33356.08,冯晨晖,20120810,www.maxscend.com,卓胜微,2019,SZSE,SZSE,半导体,31130,-,半导体,31130020,140049588000,8.44,36.27,¥406.49,科技,311,0.08,277920,88097100.0,1.67,10000.0,277920,1.67,1.67,1.8,337.51,217.21,285.25,42.5,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752745
600885,2020Q4_1752789,福建省厦门市集美北部工业区东林路564号,研制、生产和销售继电器、低压电器、接触器、自动化设备及相关的电子元器件和组件、机电产品、机械设备。货物或技术的进出口业务(国家限定或禁止货物及技术除外)；技术推广服务；工程和技术研究与实验发展；电工仪器仪表制造、销售；对电子行业、证券投资；物业管理。(国家有专项规定的，须取得有效审批文件或许可证后在有效期内方可经营),郭满金,武汉市,公司是中国继电器行业的龙头企业。公司产品涵盖继电器、低压电器、高低压成套设备、电容器、精密零件及自动化设备等多个类别，广泛应用于工业、能源、交通、信息、生活电器、医疗、国防等领域。公司以国家级企业技术中心为平台，设有博士后科研工作站以及院士专家工作站，如今已发展成为世界前沿的继电器科研生产基地。从产品研发、模具制造、零件制造到自动化成品装配及在线检测，宏发成功打造了一体化的产品研发制造全产业链。在产品检测方面，宏发检测中心是国内大型、权威的继电器检测与分析实验室，通过了德国VDE、北美UL、中国CNAS等国际机构认证，同时也是VDE在元器件方面的重要战略合作伙伴。公司拥有一整套完整的质量保证体系，产品通过美国UL/CUL、德国VDE和中国CQC、CCC等国际安全认证。,zqb@hongfa.com,"主要业务:研制,生产和销售继电器,低压电器,接触器,自动化设备及相关的电子元器件和组件,机电产品,机械设备.",郭满金,湖北,74476.16,林旦旦,19901221,cn.hongfa.com,宏发股份,2016,SHSE,SHSE,工业制品,31070,-,电子器械和零件,31070060,50080214000,32.31,26.19,¥65.94,工业,310,0.09,694900,37677500.0,0.71,10000.0,694900,0.71,0.71,1.0,54.22,36.57,47.23,39.61,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752789
