symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
000001,2020Q4_1751314,"广东省深圳市罗湖区深南东路5047号,中国广东省深圳市福田区益田路5023号平安金融中心B座",(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)从事同业拆借；(九)买卖、代理买卖外汇；(十)从事银行卡业务；(十一)提供信用证服务及担保；(十二)代理收付款项及代理保险业务；(十三)提供保管箱服务；(十四)结汇、售汇业务；(十五)离岸银行业务；(十六)资产托管业务；(十七)办理黄金业务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经有关监管机构批准的其他业务。,谢永林,深圳市,公司是深圳发展银行股份有限公司以吸收合并原平安银行股份有限公司的方式完成两行整合并更名后的银行，是全国性股份制商业银行。公司自2016年开始全面向零售银行转型，全力打造智能化零售银行，大力推进精品公司银行双轻化.综合金融是公司的特色优势，公司依托庞大的个人客户基础、强大的品牌影响力、广泛的分销网络和完备的综合金融产品体系，为全面推进零售转型、打造领先的智能化零售银行提供了强大的核心竞争力支持。在对公业务领域，公司利用大数据技术打造领先的中小企业数据征信平台，利用先进的IT系统打造橙e网、行E通、黄金银行等传统业务的新优势，提升对公司客户的数字化服务能力。,PAB_db@pingan.com.cn,"主要业务:贷款,拆借,存放等同业业务,债券投资.",胡跃飞,广东,1940591.82,周强,19871222,bank.pingan.com,平安银行,0,SZSE,SZSE,银行,10320,-,区域性银行,10320020,417991903000,7.18,12.67,¥21.37,金融服务,103,0.03,6427400,124305100.0,5.69,10000.0,6427400,5.69,5.69,1.0,20.05,13.22,16.38,30.46,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751314
002049,2020Q4_1751322,河北省唐山市玉田县无终西街3129号,集成电路设计、开发、销售与技术服务；高亮度发光二极管(LED)衬底材料开发、生产、销售；生产和销售压电石英晶体器件、经营本企业自产产品及技术的出口；经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进出口业务(国家限定公司经营和禁止进出口的商品除外)；经营进料加工和“三来一补”业务。,刁石京,唐山市,公司是紫光集团旗下半导体行业上市公司，专注于集成电路芯片设计开发领域，是目前国内领先的集成电路芯片设计和系统集成解决方案供应商。公司专注于集成电路芯片设计开发业务，是领先的集成电路芯片产品和解决方案提供商，产品及应用遍及国内外，在智能安全芯片、高稳定存储器芯片、安全自主FPGA、功率半导体器件、超稳晶体频率器件等核心业务领域已形成领先的竞争态势和市场地位。公司深耕集成电路相关领域多年，凭借持续的技术积累、市场拓展和精心构筑的产品质量体系，智能芯片、特种行业集成电路、存储器芯片、FPGA以及晶体等核心业务已形成业内领先的竞争优势，产品及应用遍及国内外。,zhengquan@gosinoic.com;dulh@gosinoic.com,"主营业务:集成电路芯片设计与销售,包括智能芯片产品,特种集成电路产品和存储器芯片产品",马道杰,河北,60681.8,杜林虎,20010917,www.gosinoic.com,紫光国微,2018,SZSE,SZSE,半导体,31130,-,半导体,31130020,95732355000,53.73,19.73,¥165.40,科技,311,0.15,911900,122023900.0,5.58,10000.0,911900,5.58,5.58,1.0,156.0,88.03,118.35,39.75,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751322
600161,2020Q4_1751371,北京市朝阳区双桥路乙2号院,"制造生物制品、体外诊断试剂；普通货运；货物专用运输(冷藏保鲜)；设备租赁；出租办公用房；土地使用权的租赁；技术进出口；货物进出口；代理进出口。(市场主体依法自主选择经营项目,开展经营活动；依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。)",付道兴,北京市,公司于1998年上市，主营业务为血液制品的研发、制造、销售及咨询服务。经过2010年、2017年两次重大资产重组后，天坛生物成为中国生物旗下唯一的血液制品专业公司。天坛旗下的血液制品企业在国内血液制品行业占据多个第一，在国内首发上市人血白蛋白、静注人免疫球蛋白(pH4)、破伤风人免疫球蛋白等产品，率先引进血浆蛋白压滤分离工艺，建立了血浆蛋白产品、病毒灭活工艺技术验证和重组产品的研发平台。目前，天坛生物产品品种数量在国内稳居前列，生产的血液制品在国内市场中占有较大市场份额，拥有质量、规模及品牌等方面的综合优势。此外，天坛生物旗下成都蓉生药业有限责任公司自主研发的注射用重组人凝血因子Ⅷ，获得了国家食药监总局颁发的临床试验批件，成功上市后，将有效填补我国目前无国产同类产品上市的空白。,ttswdb@sinopharm.com,"主要产品:疫苗,血制品,诊断试剂等.",付道兴,北京,125444.02,慈翔,19980608,www.TiantanBio.com,天坛生物,2019,SHSE,SHSE,生物科技,20610,-,生物科技,20610010,59382651000,18.99,5.04,¥41.49,医疗保健,206,0.17,2325300,96964800.0,4.44,10000.0,2325300,4.44,4.44,1.0,43.25,34.09,38.78,6.99,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751371
002415,2020Q4_1751327,浙江省杭州市滨江区物联网街518号,一般项目：数字视频监控系统制造；数字视频监控系统销售；安防设备制造；安防设备销售；物联网设备制造；物联网设备销售；智能无人飞行器制造；智能无人飞行器销售；服务消费机器人制造；工业机器人制造；特殊作业机器人制造；智能机器人销售；计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；通信设备制造；通信设备销售；网络设备制造；网络设备销售；显示器件制造；显示器件销售；智能车载设备制造；智能车载设备销售；汽车零部件及配件制造；汽车零配件批发；电气信号设备装置制造；电气信号设备装置销售；机械电气设备制造；电气机械设备销售；特种劳动防护用品生产；特种劳动防护用品销售；电子产品销售；数字文化创意技术装备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息系统集成服务；计算机系统服务；物联网技术研发；物联网技术服务；物联网应用服务；大数据服务；数据处理和存储支持服务；安全系统监控服务；安全技术防范系统设计施工服务；电子、机械设备维护(不含特种设备)；停车场服务；数字文化创意内容应用服务；环境保护监测；从事科技培训的营利性民办培训机构(除面向中小学生开展的学科类、语言类文化教育培训)。(除依法须经,陈宗年,杭州市,公司是领先的视频产品和内容服务提供商，面向全球提供领先的视频产品、专业的行业解决方案与内容服务。公司积极布局新兴市场和新兴业务，基于互联网推出了面向家庭和小微企业的相关产品及云服务平台；进入智能制造领域，推出了一系列机器视觉产品及解决方案。公司产品已涵盖视频监控系统的所有主要设备，包括前端采集设备、后端存储及集中控制、显示、管理及储存设备。典型视频监控系统的前端设备主要包括摄像机(采集视音频信号)及DVS(压缩及编码视音频信号)；典型视频监控系统的后端设备主要包括录像机(记录及存储视音频信号)；典型视频监控系统的中心控制设备主要包括集中控制设备(控制、检索及显示视音频信号)、VMS软件及中心储存设备。此外，公司拥有门禁、报警、可视对讲等系列大安防领域的产品。,hikvision@hikvision.com;market@hikvision.com;ir@hikvision.com,"主营业务:安防视频监控产品研发,生产和销售,产品包括硬盘录像机(DVR),视音频编解码卡等数据存储及处理设备,以及监控摄像机,监控球机,视频服务器(DVS)等视音频信息采集处理设备.本公司产品主要包括后端数据存储及处理设备中的核心设备DVR,视音频编解码卡;前端视音频信息采集处理设备中的监控摄像机,监控球机,视频服务器(DVS)等,其中硬盘录像机,视音频编解码卡是目前公司的核心产品.",胡扬忠,浙江,934341.72,黄方红,20011130,www.hikvision.com,海康威视,2010,SZSE,SZSE,硬件,31120,-,计算机硬件,31120020,592935295000,13.8,32.22,¥62.88,科技,311,0.02,1708500,82877700.0,3.79,10000.0,1708500,3.79,3.79,1.0,49.11,38.15,44.85,40.2,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751327
688099,2020Q4_1751391,上海市浦东新区秀浦路2555号漕河泾康桥商务绿洲E5,半导体集成电路芯片的研究、设计、开发、制作；销售自产产品；提供相关的技术支持与技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),JOHN ZHONG,上海市,公司是全球布局，国内领先的集成电路设计商。公司属于典型的Fabless模式IC设计公司，将晶圆制造、芯片封装和芯片测试环节分别企业代工，自身则长期专注于多媒体智能终端SoC芯片的研发、设计与销售。公司的产品主要应用于智能机顶盒、智能电视和AI音视频系统终端等科技前沿领域，业务覆盖中国大陆、中国香港、美国、欧洲等全球经济主要区域。公司率先在行业内采用最先进的12纳米技术制造工艺，形成面向超高清视频的SoC核心芯片、全格式音视频处理及编解码芯片等产品，科技创新能力突出。公司产品的技术先进性、市场覆盖率和性能稳定性位居行业前列。2018年，公司为国内OTT机顶盒芯片领军，零售市场市占率第一，运营市场市占率第二。,IR@amlogic.com,"公司主营业务为多媒体智能终端SoC芯片的研发,设计与销售,公司研发的芯片产品主要包括多媒体智能终端应用处理器芯片和其他.",JOHN ZHONG,上海,41112.0,余莉,20030711,www.amlogic.com/www.Amlogic.cn,晶晨股份,0,SHSE,SHSE,硬件,31120,-,电子元件,31120040,40123110000,11.36,24.62,¥96.10,科技,311,0.25,1012100,78327500.0,3.58,10000.0,1012100,3.58,3.58,1.0,83.2,49.65,65.64,46.4,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751391
002739,2020Q4_1751331,北京市朝阳区建国路93号万达广场B座11层,电影摄制；电视剧制作；广播电视节目制作；影片发行和放映；代理记账；会计咨询；电影院投资；出租商业设施；广告发布；票务代理；图文设计、制作；税务咨询；企业管理咨询；经济信息咨询；计算机技术服务与技术咨询；计算机系统集成；网络设备安装与维护；组织文化艺术交流活动(不含演出)；企业策划；影视策划；销售服装、鞋帽、日用品、化妆品、卫生间用具、家具、建筑材料、文具用品、体育用品、首饰、工艺品、玩具、五金交电、电子产品、家用电器、金属制品、通讯设备、计算机、软件及辅助设备。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动),曾茂军,北京市,公司作为行业领军者，致力于为每年数以亿计的电影观众提供舒适的观影环境、领先的视听技术、优质的观影服务以及丰富多元的电影周边生活服务。公司主营业务为影院投资建设、院线电影发行、影院电影放映及相关衍生业务，主要业务收入来自于电影票房收入、卖品收入以及广告收入。公司采取资产连结、连锁经营的经营模式开展上述业务，影院所在物业全部采用租赁方式取得。公司借助国内电影市场蓬勃发展的契机，打造“万达院线”、“万达电影城”品牌，成为行业龙头并拥有较高的市场声誉。公司秉承可持续发展的科学经营理念，依托于快速的跨区域扩张能力、超强的连锁经营能力、持续的创新经营能力、领先的放映工艺技术、高品质的观影服务，构筑起公司的核心竞争力。公司先后两次获得CINEASIA(亚太电影博览会)颁发的“年度放映商”大奖，荣登“中国品牌价值500强”，并位列娱乐行业上榜品牌前列。未来，公司将继续深化全国网点布局，巩固国内行业领先地位，提高连锁经营管理服务水平，为观众创造最优质的观影体验，努力成为规模和效益排名全球前列的电影院线运营商。,wandafilm-ir@wanda.com.cn,"主要业务:影院投资建设,院线电影发行,影院电影放映及相关衍生业务.",曾茂军,北京,223072.51,王会武,20050120,www.wandafilm.com,万达电影,0,SZSE,SZSE,传媒,30820,-,娱乐,30820040,35427631000,-5.41,-11.12,¥16.07,通信服务,308,0.16,3640200,65813899.99999999,3.01,10000.0,3640200,3.01,3.01,1.0,20.81,15.1,17.97,-10.57,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751331
002027,2020Q4_1751320,上海市长宁区江苏路369号兆丰世贸大厦28层,信息技术咨询服务;软件开发;计算机网络系统工程服务;网络技术的研究、开发(具体经营范围以审批机关核定的为准；涉及许可项目的，以许可审批部门核定的为准。),江南春,广州市,公司原是专业研究、制造、销售计算机整机及其周边产品和数码通讯产品，2015年通过重大资产重组，将原有资产全部置出，注入盈利能力较强，发展情景广阔的生活圈媒体业务，主营业务转变为媒体广告业务，在全球范围首创电梯媒体。公司抓住了电梯这个核心场景，电梯是城市的基础设施，电梯这个日常的生活场景代表着四个词：主流人群、必经、高频、低干扰，而这四个词正是今天引爆品牌的核心稀缺资源。公司被誉为“中国最具品牌引爆力的媒体平台”。,FM002027@focusmedia.cn;ln002027@focusmedia.cn,"主要产品:自有品牌,代理产品",江南春,广东,1467788.03,孔微微,19970826,www.focusmedia.cn,分众传媒,2020,SZSE,SZSE,传媒,30820,-,广告中介,30820010,123728141000,-5.99,-13.32,¥8.23,通信服务,308,0.04,5998100,59200800.0,2.71,10000.0,5998100,2.71,2.71,1.0,10.48,8.04,9.64,-14.63,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751320
600690,2020Q4_1751374,山东省青岛市崂山区海尔信息产业园内,电器、电子产品、机械产品、通讯设备及相关配件、工业自动化控制设备、计算机软硬件及辅助设备的研发与制造；家用电器及电子产品技术咨询服务；进出口业务(按外经贸部核准范围经营)；批发零售：国内商业(国家禁止商品除外)；从事数字科技、智能科技、软件科技；技术开发、技术咨询、技术转让、技术服务(包含工业互联网及家电产品等)；数据处理；应用软件开发及服务；先进控制与优化技术的开发与应用研究；矿泉水制造、饮食、旅游服务(限分支机构经营)；企业管理服务及咨询、信息技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,梁海山,青岛市,海尔智家股份有限公司成立于1984年，1993年11月19日，海尔智家在上海证券交易所上市，是中国最早上市的公司之一，也是最早入选上证180成分股指数的蓝筹股公司之一，并于2019年被纳入MSCI全球指数。2018年10月24日，海尔智家成功在德国法兰克福交易所主板发行D股。2020年12月23日，海尔智家成功在香港主板上市。至此，海尔智家实现“A+D+H”三地上市，构建与全球化运营同步的全球资本平台。公司始终秉承“以用户为是，以自己为非”的理念，坚持创业、创新精神，不断适应时代的发展。公司坚持海外自主创牌，通过自身的持续耕耘与行业整合，先后收购日本三洋白电业、美国GE家电业务、新西兰Fisher&Paykel业务，持股墨西哥MABE48.41%股权、收购意大利Candy公司，构建“研发、制造、营销”三位一体的全球化竞争力，通过不断优化资源整合能力、发挥全球战略协同优势，实现“海尔、卡萨帝、统帅、美国GE Appliances、新西兰Fisher&Paykel、日本AQUA、意大利Candy”七大世界级品牌布局与全球化运营。面对物联网时代的机遇和挑战，海尔智家坚持智慧家庭战略，紧跟时代脚步，推进物联网生态转型,finance@haier.com;Y.sun@haier.de;ir@haier.hk,"主要产品:电冰箱,空调器.",李华刚,山东,940892.9,明国珍,19940331,smart-home.haier.com,海尔智家,2016,SHSE,SHSE,硬件,31120,-,消费类电子产品,31120030,240716903000,-13.46,-6.71,¥26.79,科技,311,0.02,1906900,55701100.0,2.55,10000.0,1906900,2.55,2.55,1.0,30.4,16.26,23.49,14.05,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751374
002466,2020Q4_1751328,四川省成都市高朋东路10号,制造、销售电池级碳酸锂、工业级碳酸锂及其锂系列产品、其他化工产品(国家有专项规定除外)。兼营：本企业生产、科研所需的原辅材料、机械设备、仪器仪表零配件及相关技术的进出口业务；经营本企业自产的电池级碳酸锂、工业级碳酸锂及其锂系列产品的出口业务；矿石(不含煤炭、稀贵金属)及锂系列产品加工业务。,蒋卫平,遂宁市,公司是中国和全球领先、以锂为核心的新能源材料企业，业务包括锂化合物及衍生物生产与锂精矿开采及生产。在中国四川、江苏、重庆和澳大利亚等地设立生产、资源基地或分支机构，客户遍及全球。产品品种包括化学级锂精矿、技术级锂精矿、工业级碳酸锂、电池级碳酸锂、工业级氢氧化锂、电池级氢氧化锂、无水氯化锂、金属锂等锂化工产品，广泛应用于玻璃陶瓷、锂电池、润滑脂、航空航天等领域。公司先后获得国家知识产权优势培育企业、国家镁锂新材料高新技术产业化基地、四川省博士后创新实践基地、省创新型试点企业和省知识产权优势培育企业等。,ir@tianqilithium.com;libo@tianqilithium.com;fuxm@tianqilithium.com,"主要从事工业级碳酸锂,电池级碳酸锂,无水氯化锂,氢氧化锂等锂系列产品的研发,生产和销售.主要产品有工业级碳酸锂,电池级碳酸锂,无水氯化锂,氢氧化锂等.",夏浚诚,四川,147709.94,李波,19951016,www.tianqilithium.com,天齐锂业,0,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,109338518000,96.42,95.77,¥73.87,基础材料,101,0.09,1354800,53203000.0,2.43,10000.0,1354800,2.43,2.43,1.0,40.48,19.16,25.23,192.79,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751328
688122,2020Q4_1751392,陕西省西安市经济技术开发区明光路12号,低温超导材料、高温超导材料、钛及钛合金材料、高温合金材料、铪材料、机电设备(小轿车除外)及部件的生产、开发、销售和技术咨询；自有房屋租赁；货物及技术的进出口业务(国家禁止或限制进出口的货物、技术除外)。(上述经营范围中涉及许可项目的，凭许可证明文件、证件在有效期内经营，未经许可不得经营),张平祥,西安市,"公司是目前国内唯一实现低温超导线材商业化生产的企业，也是目前国际上唯一的铌钛(NbTi)锭棒及线材全流程生产企业,主要从事高端钛合金材料和低温超导材料的研发、生产和销售，是我国航空用钛合金棒丝材的主要研发生产基地，生产的高端钛合金主要用于航空领域，包括飞机结构件、紧固件和发动机部件等。航空领域用高端钛合金不仅要求组织和性能均匀性要好，而且还具有良好的批次稳定性。公司生产的高端钛合金材料已成为我国航空、航天结构件用主干钛合金，为我国新型战机、运输机的首飞和量产提供了核心材料。公司已成为我国新型飞机用钛合金材料的主要供应商之一。公司生产的产品性能达到了国内先进水平，和国外同类产品的技术水平相当，量产后将补上我国“两机”用高性能高温合金的“短板”,先后被国务院授予“国家科学技术进步奖二等奖”，国家工信部授予“国防科学技术进步奖一等奖”，国家发改委授予“国家高技术产业化十年成就奖”，中航工业集团授予“航空科学技术奖励一等奖”。",zqflb@c-wst.com,"公司主要从事高端钛合金材料,超导产品和高性能高温合金材料的研发,生产和销售.主要产品有三类,第一类是高端钛合金材料,包括棒材,丝材和锻坯等;第二类是超导产品,包括铌钛锭棒,铌钛超导线材,铌三锡超导线材和超导磁体等;第三类是高性能高温合金材料,包括变形高温合金,铸造和粉末高温合金母合金等.",冯勇,陕西,44127.2,周通,20030228,www.c-wst.com,西部超导,0,SHSE,SHSE,工业制品,31070,-,金属加工,31070030,27959141000,22.34,-18.73,¥66.84,工业,310,0.13,576200,45817200.0,2.1,10000.0,576200,2.1,2.1,1.0,79.51,30.38,50.95,31.19,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751392
