symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
000895,2020Q4_1749428,河南省漯河市双汇路1号双汇大厦,畜禽屠宰，加工销售肉类食品、肉类罐头、速冻肉制品、定型包装熟肉制品(含清真食品)、食用动物油脂(猪油)、水产加工品(鱼糜制品(即食类))；生猪养殖、销售；生产销售PVDC薄膜及食品包装材料、其他包装材料制品；猪肠衣(盐渍猪肠衣)及其附属产品的加工、销售；医药中间体(肝素钠)的提取、销售；农副产品收购；生产加工肉制品及相关产品配套原辅料、调味料、食品添加剂、复配食品添加剂；蛋制品销售，技术咨询服务，仓储服务，化工产品销售(不含易燃易爆危险品)，食品行业的投资，销售代理，相关经营业务的配套服务。,万隆,漯河市,公司是国内最大的肉类加工企业，主要从事畜禽屠宰，加工销售肉类食品、肉类罐头、速冻肉制品、定型包装熟肉制品(含清真食品)、水产品(鱼糜制品)、蛋制品；销售方便食品(米乐高八宝肠)；生产销售食品包装；生产加工肉制品及相关产品配套原辅料；技术咨询服务，化工产品销售(不含易燃易爆危险品)，食品行业的投资，销售代理，物流及其相关经营业务的配套服务等。公司始终坚持围绕“农”字做文章，围绕肉类加工上项目，实施产业化经营。以屠宰和肉类加工业为核心，向上游发展饲料业和养殖业，向下游发展包装业、商业、外贸等，形成了主业突出、行业配套的产业群。公司先后通过ISO9001、ISO14001、HACCP等体系认证，同时用自动化和信息化改造工业化，实现标准化管理、自动化生产、信息化控制，确保产品质量和安全。,0895@shuanghui.net,"主要产品:高温肉制品,低温肉制品,鲜冻猪产品,商业连锁服务.",马相杰,河南,346466.12,张立文,19981015,www.shuanghui.net,双汇发展,2019,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,104764072000,-20.33,-31.64,¥29.86,非周期性消费,205,0.4,13913800,643992600.0,3.6,10000.0,13913800,3.6,3.6,1.0,65.18,45.09,51.6,-42.13,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749428
688099,2020Q4_1749503,上海市浦东新区秀浦路2555号漕河泾康桥商务绿洲E5,半导体集成电路芯片的研究、设计、开发、制作；销售自产产品；提供相关的技术支持与技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),JOHN ZHONG,上海市,公司是全球布局，国内领先的集成电路设计商。公司属于典型的Fabless模式IC设计公司，将晶圆制造、芯片封装和芯片测试环节分别企业代工，自身则长期专注于多媒体智能终端SoC芯片的研发、设计与销售。公司的产品主要应用于智能机顶盒、智能电视和AI音视频系统终端等科技前沿领域，业务覆盖中国大陆、中国香港、美国、欧洲等全球经济主要区域。公司率先在行业内采用最先进的12纳米技术制造工艺，形成面向超高清视频的SoC核心芯片、全格式音视频处理及编解码芯片等产品，科技创新能力突出。公司产品的技术先进性、市场覆盖率和性能稳定性位居行业前列。2018年，公司为国内OTT机顶盒芯片领军，零售市场市占率第一，运营市场市占率第二。,IR@amlogic.com,"公司主营业务为多媒体智能终端SoC芯片的研发,设计与销售,公司研发的芯片产品主要包括多媒体智能终端应用处理器芯片和其他.",JOHN ZHONG,上海,41112.0,余莉,20030711,www.amlogic.com/www.Amlogic.cn,晶晨股份,0,SHSE,SHSE,硬件,31120,-,电子元件,31120040,40123110000,11.36,24.62,¥95.70,科技,311,1.84,7575200,588796500.0,3.29,10000.0,7575200,3.29,3.29,1.0,83.2,49.65,65.64,45.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749503
002415,2020Q4_1749436,浙江省杭州市滨江区物联网街518号,一般项目：数字视频监控系统制造；数字视频监控系统销售；安防设备制造；安防设备销售；物联网设备制造；物联网设备销售；智能无人飞行器制造；智能无人飞行器销售；服务消费机器人制造；工业机器人制造；特殊作业机器人制造；智能机器人销售；计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；通信设备制造；通信设备销售；网络设备制造；网络设备销售；显示器件制造；显示器件销售；智能车载设备制造；智能车载设备销售；汽车零部件及配件制造；汽车零配件批发；电气信号设备装置制造；电气信号设备装置销售；机械电气设备制造；电气机械设备销售；特种劳动防护用品生产；特种劳动防护用品销售；电子产品销售；数字文化创意技术装备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息系统集成服务；计算机系统服务；物联网技术研发；物联网技术服务；物联网应用服务；大数据服务；数据处理和存储支持服务；安全系统监控服务；安全技术防范系统设计施工服务；电子、机械设备维护(不含特种设备)；停车场服务；数字文化创意内容应用服务；环境保护监测；从事科技培训的营利性民办培训机构(除面向中小学生开展的学科类、语言类文化教育培训)。(除依法须经,陈宗年,杭州市,公司是领先的视频产品和内容服务提供商，面向全球提供领先的视频产品、专业的行业解决方案与内容服务。公司积极布局新兴市场和新兴业务，基于互联网推出了面向家庭和小微企业的相关产品及云服务平台；进入智能制造领域，推出了一系列机器视觉产品及解决方案。公司产品已涵盖视频监控系统的所有主要设备，包括前端采集设备、后端存储及集中控制、显示、管理及储存设备。典型视频监控系统的前端设备主要包括摄像机(采集视音频信号)及DVS(压缩及编码视音频信号)；典型视频监控系统的后端设备主要包括录像机(记录及存储视音频信号)；典型视频监控系统的中心控制设备主要包括集中控制设备(控制、检索及显示视音频信号)、VMS软件及中心储存设备。此外，公司拥有门禁、报警、可视对讲等系列大安防领域的产品。,hikvision@hikvision.com;market@hikvision.com;ir@hikvision.com,"主营业务:安防视频监控产品研发,生产和销售,产品包括硬盘录像机(DVR),视音频编解码卡等数据存储及处理设备,以及监控摄像机,监控球机,视频服务器(DVS)等视音频信息采集处理设备.本公司产品主要包括后端数据存储及处理设备中的核心设备DVR,视音频编解码卡;前端视音频信息采集处理设备中的监控摄像机,监控球机,视频服务器(DVS)等,其中硬盘录像机,视音频编解码卡是目前公司的核心产品.",胡扬忠,浙江,934341.72,黄方红,20011130,www.hikvision.com,海康威视,2010,SZSE,SZSE,硬件,31120,-,计算机硬件,31120020,592935295000,13.8,32.22,¥62.49,科技,311,0.11,9918900,481166400.0,2.69,10000.0,9918900,2.69,2.69,1.0,49.11,38.15,44.85,39.33,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749436
600426,2020Q4_1749479,山东省德州市德城区天衢西路24号,安全生产许可批准范围内的化工产品的生产、销售；许可证范围发电业务，许可证范围供热业务；化学肥料生产销售；备案范围内的进出口业务；协议并网供电业务，技术推广服务；蒸压粉煤灰砖生产销售、煤灰渣的生产销售。,常怀春,德州市,"公司是多业联产的现代化工企业，主要产品为尿素、DMF(一种化工原料)、醋酸和三甲胺。公司专注于主业优化、技术升级和资源利用，扎实推进产业链的延伸拓展和产品的升级换代，在优化结构中打造产业平台，在技术进步中增强竞争实力，在快速成长中提升行业地位，打造了洁净煤气化、羰基合成、“一头多线”柔性多联产等多个产业和技术平台，主要经济指标保持了快速增长。公司技术力量雄厚，管理基础坚实，具备较强的技术研发、工程设计和生产管理能力。公司拥有多项国家专利，部分成果获得全国、行业和山东省科技进步奖。公司将加快结构调整和优化产业布局,推动传统产能改造升级，积极发展合成气下游深加工项目，与石油化工下游产业链融合，打造高端新材料板块。",hlhs2465031@126.com,"主营业务:尿素,DMF,三甲胺及甲醛的生产和销售.",常怀春,山东,211465.77,高文军,20000426,www.hl-hengsheng.com,华鲁恒升,2016,SHSE,SHSE,农业,10110,-,农业,10110010,76873847000,36.18,29.1,¥36.53,基础材料,101,0.61,12943710,371385900.0,2.07,10000.0,12943710,2.07,2.07,1.3,29.27,14.7,21.87,67.03,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749479
002555,2020Q4_1749437,安徽省芜湖市鸠江区北京中路芜湖广告产业园广告创意综合楼十一楼,"网络及计算机领域内的技术开发、技术转让、技术咨询、技术服务(涉及前置许可的除外)，计算机系统集成，网络工程，图文设计制作，计算机、软件及辅助设备(除计算机信息系统安全专用产品)的销售，动漫的设计和制作，广告的设计、制作和发布，组织境内文化艺术交流活动,实业投资。",李卫伟,芜湖市,公司主要从事互动娱乐业务以及汽车塑料燃油箱制造、销售业务，其中互动娱乐业务以手机游戏和网页游戏的研发、发行和运营为主，同时布局影视、动漫、音乐、VR及直播等泛娱乐业务。公司核心团队由经验丰富的手机游戏、网页游戏发行团队，以及技术领先的研发团队组成。公司自主研发的一系列性能优异、稳定性强的游戏引擎、游戏框架等核心技术，能够支持开发高性能、可玩性强的大型精品网络游戏，是公司持续推出高质量精品游戏的重要保障。公司于2017年5月完成对上海墨鹍公司以及江苏智铭公司整体收购，增强了公司游戏研发实力以及发行能力。,ir@37.com,"汽车零部件制造,销售,网络游戏运营及开发等",李卫伟,安徽,221786.43,叶威,19950526,www.37wan.net,三七互娱,2015,SZSE,SZSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,51076685000,5.37,-27.09,¥23.12,通信服务,308,0.5,11001500,343576200.0,1.92,10000.0,11001500,1.92,1.92,1.0,41.71,24.95,29.47,-21.55,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749437
002600,2020Q4_1749439,广东省江门市蓬江区龙湾路8号,制造、销售：磁性材料元件及其制品、合金粉末制品、微电机、机械设备和零部件及相关技术出口；生产科研所需原辅材料、机械设备、仪器仪表、零配件等商品及相关技术的出口；承办中外合资经营、合作生产及开展“三来一补”业务(按粤经贸进字[94]196号文经营)；动产及不动产租赁;塑胶、电子精密组件制造技术研发；产销、加工：五金制品、塑胶制品、塑胶电子制品、模具；货物或技术进出口(国家禁止或涉及行政审批的货物和技术进出口除外)。,曾芳勤,江门市,公司是国内大型铁氧体磁性材料元件制造商之一。主要产品包括铁氧体永磁元件、铁氧体软磁元件。2018年，公司通过重大资产重组，购买领益科技100%股权，公司的主营业务将由原来的磁性材料生产和销售变更为新型电子元器件、手机及电脑配件的生产和销售，公司成为拥有磁性材料、贸易及物流服务、平板显示、精密结构件、精密功能器件等业务并行的上市公司。领益科技的主营业务为新型电子元器件、导电材料、导热绝缘材料、屏蔽防辐射材料的技术开发、生产经营新型电子元器件、手机及电脑配件。,Mia.Lei@lingyiitech.com;IR@lingyiitech.com,"主营业务为新型电子元器件,手机及电脑配件的生产和销售",曾芳勤,广东,705636.93,雷曼君,19750701,www.lingyiitech.com,领益智造,2020,SZSE,SZSE,硬件,31120,-,电子元件,31120040,53132583000,-8.13,-36.86,¥7.46,科技,311,0.33,23368600,278227800.0,1.55,10000.0,23368600,1.55,1.55,1.0,14.4,10.23,12.32,-39.45,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749439
000538,2020Q4_1749424,云南省昆明市呈贡区云南白药街3686号,化学原料药、化学药制剂、中成药、中药材、生物制品、医疗器械、保健食品、食品、饮料、特种劳保防护用品、非家用纺织成品、日化用品、化妆品、户外用品的研制、生产及销售；橡胶膏剂、贴膏剂、消毒产品、电子和数码产品的销售；信息技术、科技及经济技术咨询服务；货物进出口；物业经营管理(凭资质证开展经营活动)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),王明辉,昆明市,公司是我国知名中成药生产企业，公司现拥有全资、控股、参股企业18家，是云南大型工商医药企业，是中国中成药五十强之一，1997年被确定为云南省首批重点培育的四十家大企业大集团之一。公司主要经营化学原料药、化学药制剂、中成药、中药材、生物制品等，公司产品以云南白药系列、三七系列和云南民族特色药品系列为主，共17种剂型200余个产品，产品畅销国内市场及东南亚一带，并逐渐进入日本、欧美等发达国家市场。云南白药是我国云南省特有的老字号中成药，“云南白药”品牌是经过百年的发展的老品牌、中国驰名商标。,wuwei@yunnanbaiyao.com.cn;ynby@yunnanbaiyao.com.cn;zyan@yunnanbaiyao.com.cn,主要业务:药品(以中成药为主)的生产经营及外购药品的批发零售.,董明,云南,127740.33,吴伟,19931130,www.yunnanbaiyao.com.cn,云南白药,2011,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,135530785000,-1.09,-3.09,¥104.67,医疗保健,206,0.17,2200000,237622000.0,1.33,10000.0,2200000,1.33,1.33,1.0,114.53,95.27,103.41,1.22,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749424
600460,2020Q4_1749480,浙江省杭州市黄姑山路4号,电子元器件、电子零部件及其他电子产品设计、制造、销售；机电产品进出口。,陈向东,杭州市,"公司经营范围是：电子元器件、电子零部件及其他电子产品设计、制造、销售；机电产品进出口。主要产品包括集成电路、半导体分立器件、LED(发光二极管)产品等三大类。经过将近二十年的发展，公司已经从一家纯芯片设计公司发展成为目前国内为数不多的以IDM模式(设计与制造一体化)为主要发展模式的综合型半导体产品公司。公司属于半导体行业,公司被国家发展和改革委员会、工业和信息化部等国家部委认定为“国家规划布局内重点软件和集成电路设计企业”，陆续承担了国家科技重大专项“01专项”和“02专项”多个科研专项课题，同时也是国家“910”工程的重要承担者。",600460@silan.com.cn;ml@silan.com.cn;silan@silan.com.cn,"主要产品:集成电路,半导体分立器件,LED(发光二极管)产品等三大类.主营业务:电子元器件,电子零部件及其他电子产品设计,制造,销售;机电产品进出口.",郑少波,浙江,131206.16,陈越,19970925,www.silan.com.cn,士兰微,2020,SHSE,SHSE,半导体,31130,-,半导体仪器和材料,31130010,77298056000,112.2,139.7,¥59.97,科技,311,0.72,9428400,235710500.0,1.32,10000.0,9428400,1.32,1.32,1.0,25.29,15.1,17.71,238.62,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749480
002390,2020Q4_1749435,贵州省贵阳市乌当区新添大道与航天大道交汇处科开1号苑6楼,自产自销：硬胶囊剂(含头孢菌素类)、片剂、颗粒剂(含中药提取)、滴丸剂、软胶囊剂、原料药(人参皂苷-Rd)、中药提取；保健食品生产加工(片剂、胶囊剂、颗粒剂)；中药材种植及销售；企业集团内统借统还业务；医疗服务投资管理、咨询服务；养老康复健康产业投资管理、咨询服务；经营本企业所需的原辅材料、仪器仪表、机械设备、零配件及技术的进出口业务(国家限定经营和国家禁止进出口的商品及技术除外)；企业可以按国家规定，以各种贸易方式从事进出口业务。,安怀略,黔南布依族苗族自治州,公司是一家以制药为主，集中药材种植、新药研发、药品生产、药品销售为一体的制药企业。产品主要集中在心脑血管类、消化类两大系列。其中六味安消胶囊是目前国内首家进行多中心临床研究的全天然胃肠动力药，益心舒胶囊一直保持100%的市场占有率；银杏叶片为全国军队系统医院范围内独家中标品种。公司“邦消安”和“信邦”商标被评为“贵州省著名商标”。先后被评为农业产业化国家重点龙头企业、国家扶贫龙头企业、国家高新技术企业、国家“重合同、守信用”企业、国家创新型试点企业等荣誉称号。2016年，公司收购了中肽生化，填补了公司在生物制药方面的空白，中肽生化体外诊断试剂已取得美国FDA和欧盟CE认证。,xinbang@xinbang.com;cc@xinbang.com;lhl@xinbang.com,"主要产品:目前公司主要产品集中在心脑血管,消化系统两大类,共有国家药品批准文号品种44个,国家医保目录品种24个.现有主要产品为银杏叶片,六味安消胶囊,贞芪扶正胶囊,护肝宁片,益心舒胶囊等.主营业务:本公司主要从事纯天然植物类中成药的研发,生产和销售.",孔令忠,贵州,166722.86,陈船,19950127,www.xinbang.com,信邦制药,0,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,18650281000,-2.54,8.61,¥9.18,医疗保健,206,1.31,26605000,225610600.0,1.26,10000.0,26605000,1.26,1.26,1.0,8.48,4.54,6.1,50.49,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749435
600116,2020Q4_1749477,重庆市渝北区金开大道99号升伟晶石公元11栋;重庆市万州区高笋塘85号,"一般项目：发电；电力供应、销售及服务；配售电系统开发、建设、设计及运营管理；工程勘察、设计；承装(修、试)电力设施；电力技术的开发、技术转让、技术咨询、技术服务；电力物资销售及租赁；电力项目开发；分布式能源综合利用服务；集供电、供气、供水、供热业务于一体的综合能源服务；焙烧锰、碳酸锰、硅锰合金、锰铁合金的生产加工及销售。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)",叶建桥,重庆市,公司是一家集电力开发、多种经营为一体的企业集团，主要从事发电、供电、电力设计勘察安装等业务，并参股重庆公交站台广告公司、三峡银行等企业。公司拥有鱼背山、双河、赶场、杨东河、长滩、瀼渡等水力发电站，并控股向家嘴水电站；拥有变电站多座，与湖北和重庆电网联网，已形成“十”字形110KV骨架网络，可实现110KV环网运行；公司年售电量大，是三峡库区重要的电力负荷支撑点。公司秉承“立足万州、面向全国，电为主业、多元发展”的发展战略，以打造一流售电企业为目标，以构建“运作规范、资产优质、效益优良”的能源、资源型企业为愿景。,sxsl600116@163.com,"主要业务:发电,供电.",周泽勇,重庆,191214.29,车亚平,19940428,www.cqsxsl.com,三峡水利,2019,SHSE,SHSE,公共事业 - 独立发电商,20710,-,可再生能源,20710020,16310579000,-2.49,2.49,¥8.48,公用事业,207,1.33,25449000,214280800.0,1.2,10000.0,25449000,1.2,1.2,1.0,11.01,8.01,9.1,-6.81,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749477
