symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
300463,2020Q4_1749188,四川省成都市高新区安和二路8号,服装设计、研发；服装面料的技术开发；服装面料的织造；服装设计人才培训；生产、销售：各式服装及配件；销售：纺织品；电子器件及其它组件研发、制造；参与实业投资；货物进出口；生产、销售：医疗器械、医用服饰、口罩、帽子、鞋套医用防护产品(法律、行政法规和国务院决定禁止的项目除外；法律、行政法规和国务院决定限制的项目须取得许可后方可经营)。,唐勇,成都市,公司一直以来专注于体外诊断产品的研究、生产、销售和服务，是体外诊断产品系统的研发、生产、销售、服务企业，拥有国际一流的诊断产品研发团队，在数名科学家的带领下，建立了临床生化、发光免疫、快速诊断、血栓与止血、分子诊断的产品技术开发平台。公司是国际临床化学与检验医学联合会(IFCC)在中国的第一家企业会员，是中国首批建立酶学参考实验室的体外诊断产品生产企业，迈克诊断产品的溯源成果达到国际先进水平。公司是经国家相关部门认证的“高新技术企业”，先后通过了CMDISO13485、CQCISO14001、TUVISO13485认证和部分产品CE认证并于2013年获得CNAS医学参考实验室认可。公司拥有国际一流的产品生产条件及生产管理水平，能向市场提供涵盖临床生化、发光免疫、快速诊断、血栓与止血等专业项目多达几百种高品质产品。,zqb@maccura.com,"公司主营业务是自主研发,生产和销售体外诊断产品以及代理销售国外知名品牌的体外诊断产品.主要产品包括生化诊断产品,免疫诊断产品,血液及体液学诊断产品等.",吴明建,四川,55682.89,史炜,19941020,www.maccura.com,迈克生物,2016,SZSE,SZSE,医疗诊断和研究,20660,-,诊断和研究,20660010,20867345000,-8.43,-17.27,¥37.26,医疗保健,206,0.15,854400,39816300.0,0.14,38736.36,852200,0.14,0.14,1.0,63.14,41.77,50.09,-25.61,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 38736.36 %,2020Q4_1749188
002049,2020Q4_1749141,河北省唐山市玉田县无终西街3129号,集成电路设计、开发、销售与技术服务；高亮度发光二极管(LED)衬底材料开发、生产、销售；生产和销售压电石英晶体器件、经营本企业自产产品及技术的出口；经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进出口业务(国家限定公司经营和禁止进出口的商品除外)；经营进料加工和“三来一补”业务。,刁石京,唐山市,公司是紫光集团旗下半导体行业上市公司，专注于集成电路芯片设计开发领域，是目前国内领先的集成电路芯片设计和系统集成解决方案供应商。公司专注于集成电路芯片设计开发业务，是领先的集成电路芯片产品和解决方案提供商，产品及应用遍及国内外，在智能安全芯片、高稳定存储器芯片、安全自主FPGA、功率半导体器件、超稳晶体频率器件等核心业务领域已形成领先的竞争态势和市场地位。公司深耕集成电路相关领域多年，凭借持续的技术积累、市场拓展和精心构筑的产品质量体系，智能芯片、特种行业集成电路、存储器芯片、FPGA以及晶体等核心业务已形成业内领先的竞争优势，产品及应用遍及国内外。,zhengquan@gosinoic.com;dulh@gosinoic.com,"主营业务:集成电路芯片设计与销售,包括智能芯片产品,特种集成电路产品和存储器芯片产品",马道杰,河北,60681.8,杜林虎,20010917,www.gosinoic.com,紫光国微,2018,SZSE,SZSE,半导体,31130,-,半导体,31130020,95732355000,53.73,19.73,¥165.50,科技,311,1.02,6193600,828761200.0,2.95,10000.0,6193600,2.95,2.95,1.0,156.0,88.03,118.35,39.84,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749141
600893,2020Q4_1749254,陕西省西安市未央区徐家湾,一般经营项目：从事各类飞行器动力装置、第二动力装置、燃汽轮机及零部件的设计、实验、研制、生产、装配、试车、维修、营销和售后服务业务；从事航空发动机技术衍生产品的研制、实验、开发、中试、生产、销售、服务业务；航空发动机及其零部件转包生产、进出口、“三来一补”加工业务；物流服务、对销贸易、转口贸易业务；烟气透平动力装置、航天发动机及其零部件制造、销售与维修；风力发电机及零部件的生产、销售、工程设计、安装、技术咨询与售后服务；太阳能发电设备的制造、系统集成、销售与维修；铝型材及门窗的制造、安装和销售；计测设备的检定、校准及测试、研制、调修、销售；计量标准研究开发与应用；计测技术培训及咨询服务；仪器、仪表、工具、普通设备、石化、电力、冶金机械成套设备、电器机械与器材、机械备件、电子产品的制造、销售与维修；金属材料、橡胶制品、本企业废旧物资的销售；幕墙的设计、安装、装饰装修；进出口业务；医疗机械制造、销售；市政公用工程的设计和施工；环保工程的设计和施工；机电设备的设计、制造、采购、销售、安装和维修；科技咨询及技术服务(以上范围均不含国家规定的前置许可、禁止项目；国家法律另有规定的，从其规定)；以下项目由分支机构经营：住,杨森,西安市,公司是国内大型航空发动机制造基地企业，国内唯一的生产制造涡喷、涡扇、涡轴、涡桨、活塞全种类军用航空发动机的企业。公司主要业务分为三类：航空发动机及衍生产品、外贸出口转包业务、非航空产品及其他业务。主要产品和服务有军民用航空发动机整机及部件、民用航空发动机零部件出口、军民用燃气轮机、军民用航空发动机维修保障服务。目前已具备涵盖航空发动机全寿命周期的设计、制造、总装、试车、维修整套技术和发动机综合服务保障能力，综合技术水平国内领先。公司建立了具有国际先进水平的机匣数控加工中心、表面处理中心，以及亚洲规模领先的喷涂中心、精密铸造、精密锻造、盘环加工等专业生产线；拥有国内最大的叶片生产线，全套弧齿锥齿轮加工机群、自动焊接机器设备、激光切割设备等各类高精设备，构建起了具有高科技水准的航空发动机制造技术基础平台。关键工艺制造技术国内领先，部分关键技术接近世界先进水平。在叶轮、盘、轴、机匣加工、整体结构件、精密铸造、精密锻造等关键点上具备了国内一流的制造能力。公司具备涡喷、涡扇、涡轴、涡桨、活塞全种类航空发动机生产制造能力，是三代主战机型发动机国内唯一供应商。,HKDL2008@XAE.AECC.CN,航空发动机批量制造及修理等,李健,陕西,266559.42,王洪雷,19931223,HFDL.AECC.CN,航发动力,2018,SHSE,SHSE,航空航天和国防,31010,-,航空航天和国防,31010010,131067269000,17.21,-16.93,¥54.09,工业,310,0.29,7806500,463317600.0,1.65,10000.0,7806500,1.65,1.65,1.0,59.35,24.2,41.12,31.54,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749254
300017,2020Q4_1749175,上海市徐汇区斜土路2899号光启文化广场A幢5楼,从事计算机软硬件科技领域内的技术开发、技术转让、技术咨询、技术服务，信息采集、信息发布、信息系统集成，经济信息服务，电信业务，计算机软硬件及配件、办公设备的销售，从事货物及技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,刘成彦,上海市,"公司是一家互联网业务平台提供商，知识和技术密集型的高新技术企业，公司服务的中大型客户包括互联网企业、政府、传统企业及电信运营商。针对客户在IT部署及数据计算、传输、安全等方面的需求，公司总结多年来服务各行业的经验和行业特点，推出针对手机直播、媒体、家电、汽车、电商、快消、金融、消费电子、游戏、政务、教育等行业的整体解决方案，并为客户提供定制化服务。公司通过多年积累的运营经验为客户提供专业服务，帮助客户提升自身互联网服务质量、简化维护管理流程、降低运维成本。公司主要产品包括：CDN,IDC,云计算,云安全。",wangsudmb@wangsu.com,"主要产品:CDN,IDC,云计算,云安全.主营业务:向客户提供“内容分发与加速(CDN)”,定制化“互联网数据中心(IDC)”,“云计算”,“云安全”等服务.",洪珂,上海,244752.64,周丽萍,20000126,www.wangsu.com,网宿科技,2020,SZSE,SZSE,软件,31110,-,软件基础构架,31110030,14488761000,-3.55,-13.21,¥5.99,科技,311,1.77,43415900,294682100.0,1.05,10000.0,43415900,1.05,1.05,1.0,10.94,6.44,8.45,-29.11,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749175
000785,2020Q4_1749132,北京市东城区东直门南大街甲3号,百货、日用杂品销售；超级市场零售；装饰设计；销售家具、建筑材料、五金交电、计算机、软件及辅助设备、电子产品；物流配送、仓储服务(不含易燃易爆物品)；健身、摄影、复印、干洗服务；字画装裱；房屋出租；经济贸易咨询；物业管理；汽车货运；道路货运代理；货物或技术进出口(国家禁止或涉及行政审批的货物和技术进出口除外)。(以上经营范围中需专项审批的，仅供持有许可证的分支机构使用)。(涉及许可经营项目，应取得相关部门许可后方可经营)。公司的经营范围以公司登记机关核定的经营范围为准。,汪林朋,武汉市,公司是一家以商贸零售业为主业，同时涉足房地产、电子商务、进出口贸易等产业的国有控股大型商业上市公司。由单一的传统百货店发展成为一个“商贸多业态，经营连锁化，管理现代化”的企业集团。连续多年位列全国商业10强、国内连锁30强、中国零售100强、中国企业500强。企业先后被中央、省、市授予“全国商贸流通业明星企业”、“中国零售业百强企业”、“中国商业名牌企业”、“中国商业诚信企业”、“中国商业科技创新企业”、“全国质量效益型先进企业”、“全国商业服务业先进单位”、“全国创建精神文明行业工作先进单位”、“湖北省百货零售业行业状元”、“湖北省百佳纳税人”、“武汉市突出贡献企业”、“思想政治工作优秀企业”等400余项荣誉称号。,ir@juran.com.cn,主要业务:商业零售和批发业务.,汪林朋,湖北,652903.69,高娅绮,19900425,www.juran.com.cn,居然之家,2020,SZSE,SZSE,零售,10280,-,百货公司,10280020,37474833000,-18.96,-31.23,¥5.66,周期性消费,102,0.43,28328600,225779000.0,0.8,10000.0,28328600,0.8,0.8,1.0,10.56,7.64,8.87,-36.19,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749132
300174,2020Q4_1749181,福建省南平市陈坑至瓦口工业园区,生产活性炭系列产品【含食品添加剂、植物活性炭(木质活性炭)】；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、机械设备、零配件及技术的进出口业务(国家限定公司经营和国家禁止进出口的商品及技术除外)；经营进料加工和“三来一补”业务；药用辅料(药用炭)的生产。(依法须经批准的项目，经相关部门批准后方可开展经营活动),许文显,南平市,公司属于高新技术企业、知识产权优势企业、国家林业重点龙头企业、中国木质活性炭产业基地领军企业、国家林业标准化示范企业。主要从事活性炭、白炭黑、硅酸钠的研发、生产、销售以及开展环境工程业务的集团化公司。公司通过进入VOCs治理市场，为活性炭的环境工程应用带来历史性的发展机遇。同时开展活性炭再生循环利用业务，再生循环使用的CO2排放量较新生产活性炭CO2排放量大幅降低，可以带来巨大的成本优势和社会效益。公司还将开展污水治理业务，通过与专业污水处理公司开展全方位合作，逐步发展成为集工业废水处理、特种化学污水净化、生活污水处理业务于一体的专业污水治理工程整体解决方案服务商，将公司从纯产品生产向环保工程应用领域扩展。,dm@yuanlicarbon.com,"主营业务;从事于木质活性炭的研发,生产与销售.主要产品:为糖用活性炭,味精用活性炭,食品用活性炭,水处理用活性炭,化工用活性炭,其他活性炭.",官伟源,福建,24480.0,罗聪,19990521,www.yuanlicarbon.com,元力股份,2018,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,4896369000,1.33,-4.64,¥15.71,基础材料,101,3.8,11790700,194664700.0,0.69,10000.0,11790700,0.69,0.69,1.0,23.34,15.53,19.1,-17.75,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749181
600398,2020Q4_1749238,江苏省江阴市华士镇,毛纺新技术、新产品、新材料、通讯产品的研发、销售，环保高新技术产品的开发及投资，精纺呢绒、毛纱、服装(包含执法服、制服)、针织品、衬衫、领带、袜子、纺织原料、服饰、皮革、毛皮、羽毛及其制品、鞋子、服装辅料、防静电工作服、阻燃工作服、防酸工作服的制造、加工、销售，安全帽、塑料橡胶帽的销售，自营和代理各类商品及技术的进出口业务；自有房屋的租赁服务；物业管理(凭有效资质证书经营)；服装设计。(依法须经批准的项目，经相关部门批准后方可开展经营活动)一般项目：互联网销售(除销售需要许可的商品)；品牌管理；企业管理咨询；专业设计服务；信息系统运行维护服务；信息系统集成服务；软件开发；信息技术咨询服务；互联网数据服务；数据处理和存储支持服务；软件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；会议及展览服务；以自有资金从事投资活动；股权投资；日用百货销售；户外用品销售；办公用品销售；文具用品零售；母婴用品销售；家用电器销售；体育用品及器材零售；化妆品零售；五金产品零售；第一类医疗器械销售；服饰研发；服装、服饰检验、整理服务；大数据服务；计算机系统服务；企业管理；供应链管理服务。(除依法须经批准的项目外，凭,周立宸,无锡市,公司成立于1997年，是一家大型服装企业，业务涵盖品牌服装的经营以及高档西服、职业服的生产和销售，品牌服装的经营包括品牌管理、供应链管理和营销网络管理等。公司拥有海澜之家、爱居兔、圣凯诺等服装品牌，旗下圣凯诺品牌为职业装团购业务，其余品牌采用服装连锁经营的形式，产品包括男装、女装、配饰等，具有高性价比、品类丰富、符合大众消费需求的特点。目前公司已形成独具特色与竞争优势的“总部品牌管理-生产外包-总库物流-连锁销售”运营管理模式，在行业整体低迷形势下实现了持续发展。公司继续以服装产业为核心，以市场需求为导向，以信息技术为支撑，推进多品牌策略、多品类开发、全渠道布局，促进管理型平台的运营，进一步壮大产业规模，提高市场占有率。,600398@hla.com.cn,"主营业务;品牌服饰的经营,包括品牌管理,供应链管理和营销网络管理等业务",顾东升,江苏,431959.85,汤勇,19970108,www.hla.com/www.hla.com.cn,海澜之家,2020,SHSE,SHSE,服饰加工,10240,-,服装加工,10240020,31236799000,13.56,16.92,¥7.75,周期性消费,102,0.6,25805200,165669700.0,0.59,10000.0,25805200,0.59,0.59,1.0,7.56,6.0,6.63,16.89,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749238
600095,2020Q4_1749233,黑龙江省哈尔滨市道里区高新技术产业开发区迎宾路集中区太湖北路7号,法律法规禁止的不得经营；应经审批的，未获审批前不得经营；法律法规未规定审批的，企业自主选择经营项目，开展经营活动。(依法须经批准的项目，经相关部门批准后方可开展经营活动),史建明,哈尔滨市,"湘财股份有限公司(以下简称本公司)是1994年3月25日经哈尔滨市股份制协调领导小组哈股领办字[1993]第42号文批准，由哈尔滨高新技术产业开发区房屋建设开发总公司、哈尔滨火炬高新技术开发总公司和哈尔滨高新技术产业开发区对外贸易公司三家公司共同发起，采取定向募集方式设立的股份有限公司，注册资本8,000万元。经中国证券监督管理委员会核准，2020年6月4日，哈高科与湘财证券16名股东签署了《发行股份购买资产交割确认书》，以发行股份的方式购买湘财证券股份有限公司99.7273%股份，成为湘财证券的控股股东。2020年6月9日在中国证券登记结算有限责任公司上海分公司办理完成新增股份登记，公司总股本由361,263,565股增至2,575,494,028股。本次交易完成后，公司的控股股东变更为新湖控股有限公司。",xcgf@600095.com.cn;ir@600095.com.cn,"主要产品:防水卷材,分离蛋白A,组织蛋白,房屋开发,物业管理.",蒋军,黑龙江,268199.03,黄海伦,19940325,www.600095.com.cn,湘财股份,2020,SHSE,SHSE,农副加工食品,20525,-,农产品,20525020,30526128000,38.2,-22.57,¥11.19,非周期性消费,205,0.3,8160200,114324000.0,0.41,10000.0,8160200,0.41,0.41,1.0,18.99,10.92,14.59,-23.3,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749233
600690,2020Q4_1749244,山东省青岛市崂山区海尔信息产业园内,电器、电子产品、机械产品、通讯设备及相关配件、工业自动化控制设备、计算机软硬件及辅助设备的研发与制造；家用电器及电子产品技术咨询服务；进出口业务(按外经贸部核准范围经营)；批发零售：国内商业(国家禁止商品除外)；从事数字科技、智能科技、软件科技；技术开发、技术咨询、技术转让、技术服务(包含工业互联网及家电产品等)；数据处理；应用软件开发及服务；先进控制与优化技术的开发与应用研究；矿泉水制造、饮食、旅游服务(限分支机构经营)；企业管理服务及咨询、信息技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,梁海山,青岛市,海尔智家股份有限公司成立于1984年，1993年11月19日，海尔智家在上海证券交易所上市，是中国最早上市的公司之一，也是最早入选上证180成分股指数的蓝筹股公司之一，并于2019年被纳入MSCI全球指数。2018年10月24日，海尔智家成功在德国法兰克福交易所主板发行D股。2020年12月23日，海尔智家成功在香港主板上市。至此，海尔智家实现“A+D+H”三地上市，构建与全球化运营同步的全球资本平台。公司始终秉承“以用户为是，以自己为非”的理念，坚持创业、创新精神，不断适应时代的发展。公司坚持海外自主创牌，通过自身的持续耕耘与行业整合，先后收购日本三洋白电业、美国GE家电业务、新西兰Fisher&Paykel业务，持股墨西哥MABE48.41%股权、收购意大利Candy公司，构建“研发、制造、营销”三位一体的全球化竞争力，通过不断优化资源整合能力、发挥全球战略协同优势，实现“海尔、卡萨帝、统帅、美国GE Appliances、新西兰Fisher&Paykel、日本AQUA、意大利Candy”七大世界级品牌布局与全球化运营。面对物联网时代的机遇和挑战，海尔智家坚持智慧家庭战略，紧跟时代脚步，推进物联网生态转型,finance@haier.com;Y.sun@haier.de;ir@haier.hk,"主要产品:电冰箱,空调器.",李华刚,山东,940892.9,明国珍,19940331,smart-home.haier.com,海尔智家,2016,SHSE,SHSE,硬件,31120,-,消费类电子产品,31120030,240716903000,-13.46,-6.71,¥26.79,科技,311,0.02,2088100,60994000.0,0.22,10000.0,2088100,0.22,0.22,1.0,30.4,16.26,23.49,14.05,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749244
603187,2020Q4_1749270,山东省青岛市黄岛区隐珠山路1817号,商用冷链设备、医用冷链设备、商用智能售货柜、自动售货机的研发、生产、销售及服务；电动冷藏(冷冻)物流配送设备及车辆的研发、生产、销售及服务；冷库产品、机组及热交换器的设计、生产、组装、销售、安装及服务；电冰箱、电冰柜、空调及其他五金交电产品的生产、销售及技术服务；电子产品、通讯器材(不含无线发射及地面卫星接收设备)的销售；货物进出口业务；Ⅱ类医用冷疗、低温、冷藏设备及器具(6858)的研发、生产、销售及服务(医疗器械生产企业许可证有效期限以许可证为准)；机械设备租赁；房屋租赁；日用百货销售；设计、制作、代理及发布广告。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,邵伟,青岛市,公司自成立以来始终专注于商用冷链设备的研发、生产、销售和服务，坚持以专业化、差异化和定制化为核心发展战略。公司以商用冷冻展示柜和商用冷藏展示柜为核心产品，主要采用面向企业客户的销售模式，为客户在销售终端进行低温储存、商品展示和企业形象展示等提供定制化解决方案及专业化服务；同时，公司为其他制冷产品供应商提供ODM服务。公司拥有丰富的产品类型，包括卧式弧形门冷冻展示柜、卧式平门冷冻展示柜、立式冷冻展示柜、立式冷藏展示柜、卧式平门冷藏展示柜、岛柜、风幕柜、鲜肉柜、熟食柜等100余款产品，可以为客户提供一站式解决方案。公司核心技术团队拥有丰富的产品开发经验和自主高效的研发创新能力，可以为客户提供专业化、差异化的定制化产品解决方案。公司销售服务团队长期深入销售终端市场，能够充分了解和挖掘客户需求，并快速响应市场。公司拥有全自动无氟生产线、行业领先的实验室、先进的性能检测设备和柔性化的生产制造系统，始终为客户提供品质卓越和性能优异的产品。凭借过硬的产品质量和良好的市场口碑，公司已成长为冷饮、冷食、啤酒、饮料、乳业、超市连锁、便利店等众多行业的优秀商用冷链设备供应商。,dm@chinahiron.com,"公司是冷链物流设备行业的高新技术企业,专注于商用冷链设备的研发,生产,销售和服务.公司以商用展示柜为核心产品,为客户在销售终端提供低温储存,商品展示和企业形象展示等需求的定制化解决方案及专业化服务;同时,公司依托产品设计和专业生产能力,为其他制冷产品供应商提供制冷产品ODM服务.",邵伟,山东,24096.5,赵定勇,20060808,www.chinahiron.com,海容冷链,2019,SHSE,SHSE,工业制品,31070,-,商业设备和用品,31070010,10161836000,23.08,-1.0,¥41.77,工业,310,0.46,1115520,47807300.0,0.17,10000.0,1115520,0.17,0.17,1.4,44.18,26.88,36.86,13.32,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749270
