symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
601888,2020Q4_1750037,北京市东城区东直门外小街甲2号A座8层,旅游服务及旅游商品相关项目的投资与管理，旅游服务配套设施的开发、改造与经营，旅游产业研究与咨询服务等。,彭辉,北京市,公司所属行业为旅游业，目前主要从事旅行社业务和免税业务，其中旅行社业务主要包括入境游、出境游、国内游、会奖旅游、签证服务、商旅服务、航空服务、电子商务等业务；免税业务主要包括烟酒、香化等免税商品的批发、零售等业务。此外，公司还从事旅游综合项目开发业务，主要包括旅游综合项目投资开发、旅游景区景点投资开发和旅游股权投资等业务。公司下属全资子公司国旅总社、中免公司及国旅投资公司分别负责公司的旅行社业务、免税业务、旅游综合项目投资开发业务。,citszq@citsgroup.com.cn,旅行社业务和免税业务.,陈国强,北京,195247.55,常筑军,20080328,www.citsgroup.net,中国中免,2011,SHSE,SHSE,旅游和娱乐,10290,-,旅游服务,10290050,554230378000,1.01,1.23,¥274.94,周期性消费,102,0.02,449300,126907900.0,6.63,10000.0,449300,6.63,6.63,1.0,282.45,166.14,207.58,32.45,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750037
600570,2020Q4_1750028,浙江省杭州市滨江区江南大道3588号恒生大厦,计算机软件的技术开发、咨询、服务、成果转让；计算机系统集成；自动化控制工程设计、承包、安装；计算机及配件的销售；电子设备、通讯设备、计算机硬件及外部设备的生产、销售；自有房屋的租赁；本企业自产产品及技术的出口业务：经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品及技术除外)；经营进料加工和“三来一补”业务。经政府有关部门批准并办理工商登记手续，公司可另开设业务发展所需的投资与经营项目，扩大经营范围。,彭政纲,杭州市,公司是中国领先的金融软件和网络服务供应商。公司聚焦于财富资产管理，致力于为证券、期货、基金、信托、保险、银行、交易所、私募等机构提供整体的解决方案和服务，为个人投资者提供财富管理工具。多年来，公司以技术服务为核心，凭借多年金融IT建设经验，以及对互联网的深刻洞察和理解，用优质的产品与服务，驱动金融机构创新发展。同时，公司还积极履行企业社会责任，在投资者教育、扶贫济困、关爱自闭症儿童等领域持续贡献力量，实现企业与社会共同可持续发展。,investor@hundsun.com,"主要产品:软件及服务,系统集成,硬件销售.",刘曙峰,浙江,80314.67,童晨晖,20001213,www.hundsun.com,恒生电子,2017,SHSE,SHSE,软件,31110,-,软件应用,31110020,90414390000,4.62,-17.54,¥62.72,科技,311,0.06,848300,88983700.0,4.65,10000.0,848300,4.65,4.65,1.0,120.5,85.41,100.39,-37.52,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750028
000333,2020Q4_1749976,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,生产经营家用电器、电机及其零部件；从事家用电器、家电原材料及零配件的进出口、批发及加工业务(不设店铺，不涉及国营贸易管理商品，涉及配额、许可证管理商品的按国家规定办理)；信息技术服务；为企业提供投资顾问及管理服务；计算机软件、硬件开发；家电产品的安装、维修及售后服务；工业产品设计；酒店管理；广告代理；物业管理；企业所需的工程和技术研究、开发及其销售和推广；对金融业进行投资。(经营范围涉及行政许可的项目须凭有效许可证或批准证明经营),方洪波,佛山市,公司是一家消费电器、暖通空调、机器人与自动化系统、智能供应链(物流)的科技集团，提供多元化的产品种类与服务，包括以厨房家电、冰箱、洗衣机、及各类小家电为核心的消费电器业务；以家用空调、中央空调、供暖及通风系统为核心的暖通空调业务；以库卡集团、美的机器人公司等为核心的机器人及自动化系统业务;以安得智联为集成解决方案服务平台的智能供应链业务。公司以“科技尽善，生活尽美”为企业愿景，将“联动人与万物，启迪美的世界”作为使命，恪守“敢知未来——志存高远、务实奋进、包容共协、变革创新”的价值观，整合全球资源，推动技术创新，每年为全球超过3亿用户、及各领域的重要客户与战略合作伙伴提供满意的产品和服务，致力创造美好生活。,IR@midea.com,"以家电产业为主,涉足电机,物流等领域,旗下分为四大业务板块,分别为大家电,小家电,电机及物流",方洪波,广东,704515.93,江鹏,20000407,www.midea.com,美的集团,2014,SZSE,SZSE,家具制造,10220,-,家具制造,10220010,504918392000,-9.25,-26.09,¥69.78,周期性消费,102,0.01,778500,76633700.0,4.0,10000.0,778500,4.0,4.0,1.0,98.44,61.19,76.9,-9.26,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749976
600845,2020Q4_1750032,上海市浦东新区自由贸易试验区郭守敬路515号,计算机、自动化、网络通讯系统及软硬件产品的研究、设计、开发、制造、集成，及相应的外包、维修、咨询等服务。智能交通、智能建筑、机电一体化系统及产品的研究、设计、开发、制造，销售相关产品。机电设备、仪器仪表类产品的批发进出口及相关服务，转口贸易。不间断电源、蓄电池、精密空调产品的研究、设计、开发、制造，销售相关产品。公共安全防范工程及信息系统安全工程的设计、施工和维修。在线信息与数据检索、第一类增值电信业务中的因特网数据中心业务、第二类增值电信业务中的信息服务业务(不含固定网电话信息服务)。(涉及许可经营的凭许可证经营)。,夏雪松,上海市,"公司系宝钢股份控股的上市软件企业。历经多年发展,公司在推动信息化与工业化深度融合、支撑中国制造企业发展方式转变、提升城市智能化水平等方面作出了突出的贡献，成为中国领先的工业软件行业应用解决方案和服务提供商。公司产品与服务业绩遍及钢铁、交通、医药、有色、化工、装备制造、金融、公共服务、水利水务等多个行业。公司紧紧围绕“互联网+”、“中国制造2025”等国家战略，致力于推动新一代信息技术与制造技术融合发展，引领中国工业化与信息化的深度融合，促进制造企业从信息化、自动化向智慧制造迈进；同时，公司还持续强化智慧城市相关领域的开拓，在智能交通、智慧楼宇、公共服务等领域也拥有强大实力，努力推动智慧城市创新。",investor@baosight.com,"主要从事计算机,自动化,网络通讯系统及软硬件产品的研究,设计,开发,制造,集成,及相应的外包,维修,咨询等服务;主要产品和提供的劳务为软件开发,服务外包,系统集成,工程设计及智能交通,属软件和信息技术服务业.",王剑虎,上海,150254.24,吕子男,19940815,www.baosight.com,宝信软件,2016,SHSE,SHSE,软件,31110,-,软件应用,31110020,76043170000,26.76,12.48,¥60.41,科技,311,0.08,1234480,65500900.0,3.42,10000.0,1234480,3.42,3.42,1.3,58.11,46.06,49.36,22.39,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750032
002027,2020Q4_1749979,上海市长宁区江苏路369号兆丰世贸大厦28层,信息技术咨询服务;软件开发;计算机网络系统工程服务;网络技术的研究、开发(具体经营范围以审批机关核定的为准；涉及许可项目的，以许可审批部门核定的为准。),江南春,广州市,公司原是专业研究、制造、销售计算机整机及其周边产品和数码通讯产品，2015年通过重大资产重组，将原有资产全部置出，注入盈利能力较强，发展情景广阔的生活圈媒体业务，主营业务转变为媒体广告业务，在全球范围首创电梯媒体。公司抓住了电梯这个核心场景，电梯是城市的基础设施，电梯这个日常的生活场景代表着四个词：主流人群、必经、高频、低干扰，而这四个词正是今天引爆品牌的核心稀缺资源。公司被誉为“中国最具品牌引爆力的媒体平台”。,FM002027@focusmedia.cn;ln002027@focusmedia.cn,"主要产品:自有品牌,代理产品",江南春,广东,1467788.03,孔微微,19970826,www.focusmedia.cn,分众传媒,2020,SZSE,SZSE,传媒,30820,-,广告中介,30820010,123728141000,-5.99,-13.32,¥8.23,通信服务,308,0.04,5964400,58868400.0,3.08,10000.0,5964400,3.08,3.08,1.0,10.48,8.04,9.64,-14.63,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749979
600690,2020Q4_1750030,山东省青岛市崂山区海尔信息产业园内,电器、电子产品、机械产品、通讯设备及相关配件、工业自动化控制设备、计算机软硬件及辅助设备的研发与制造；家用电器及电子产品技术咨询服务；进出口业务(按外经贸部核准范围经营)；批发零售：国内商业(国家禁止商品除外)；从事数字科技、智能科技、软件科技；技术开发、技术咨询、技术转让、技术服务(包含工业互联网及家电产品等)；数据处理；应用软件开发及服务；先进控制与优化技术的开发与应用研究；矿泉水制造、饮食、旅游服务(限分支机构经营)；企业管理服务及咨询、信息技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,梁海山,青岛市,海尔智家股份有限公司成立于1984年，1993年11月19日，海尔智家在上海证券交易所上市，是中国最早上市的公司之一，也是最早入选上证180成分股指数的蓝筹股公司之一，并于2019年被纳入MSCI全球指数。2018年10月24日，海尔智家成功在德国法兰克福交易所主板发行D股。2020年12月23日，海尔智家成功在香港主板上市。至此，海尔智家实现“A+D+H”三地上市，构建与全球化运营同步的全球资本平台。公司始终秉承“以用户为是，以自己为非”的理念，坚持创业、创新精神，不断适应时代的发展。公司坚持海外自主创牌，通过自身的持续耕耘与行业整合，先后收购日本三洋白电业、美国GE家电业务、新西兰Fisher&Paykel业务，持股墨西哥MABE48.41%股权、收购意大利Candy公司，构建“研发、制造、营销”三位一体的全球化竞争力，通过不断优化资源整合能力、发挥全球战略协同优势，实现“海尔、卡萨帝、统帅、美国GE Appliances、新西兰Fisher&Paykel、日本AQUA、意大利Candy”七大世界级品牌布局与全球化运营。面对物联网时代的机遇和挑战，海尔智家坚持智慧家庭战略，紧跟时代脚步，推进物联网生态转型,finance@haier.com;Y.sun@haier.de;ir@haier.hk,"主要产品:电冰箱,空调器.",李华刚,山东,940892.9,明国珍,19940331,smart-home.haier.com,海尔智家,2016,SHSE,SHSE,硬件,31120,-,消费类电子产品,31120030,240716903000,-13.46,-6.71,¥26.78,科技,311,0.02,1946200,56848500.0,2.97,10000.0,1946200,2.97,2.97,1.0,30.4,16.26,23.49,14.01,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750030
600893,2020Q4_1750033,陕西省西安市未央区徐家湾,一般经营项目：从事各类飞行器动力装置、第二动力装置、燃汽轮机及零部件的设计、实验、研制、生产、装配、试车、维修、营销和售后服务业务；从事航空发动机技术衍生产品的研制、实验、开发、中试、生产、销售、服务业务；航空发动机及其零部件转包生产、进出口、“三来一补”加工业务；物流服务、对销贸易、转口贸易业务；烟气透平动力装置、航天发动机及其零部件制造、销售与维修；风力发电机及零部件的生产、销售、工程设计、安装、技术咨询与售后服务；太阳能发电设备的制造、系统集成、销售与维修；铝型材及门窗的制造、安装和销售；计测设备的检定、校准及测试、研制、调修、销售；计量标准研究开发与应用；计测技术培训及咨询服务；仪器、仪表、工具、普通设备、石化、电力、冶金机械成套设备、电器机械与器材、机械备件、电子产品的制造、销售与维修；金属材料、橡胶制品、本企业废旧物资的销售；幕墙的设计、安装、装饰装修；进出口业务；医疗机械制造、销售；市政公用工程的设计和施工；环保工程的设计和施工；机电设备的设计、制造、采购、销售、安装和维修；科技咨询及技术服务(以上范围均不含国家规定的前置许可、禁止项目；国家法律另有规定的，从其规定)；以下项目由分支机构经营：住,杨森,西安市,公司是国内大型航空发动机制造基地企业，国内唯一的生产制造涡喷、涡扇、涡轴、涡桨、活塞全种类军用航空发动机的企业。公司主要业务分为三类：航空发动机及衍生产品、外贸出口转包业务、非航空产品及其他业务。主要产品和服务有军民用航空发动机整机及部件、民用航空发动机零部件出口、军民用燃气轮机、军民用航空发动机维修保障服务。目前已具备涵盖航空发动机全寿命周期的设计、制造、总装、试车、维修整套技术和发动机综合服务保障能力，综合技术水平国内领先。公司建立了具有国际先进水平的机匣数控加工中心、表面处理中心，以及亚洲规模领先的喷涂中心、精密铸造、精密锻造、盘环加工等专业生产线；拥有国内最大的叶片生产线，全套弧齿锥齿轮加工机群、自动焊接机器设备、激光切割设备等各类高精设备，构建起了具有高科技水准的航空发动机制造技术基础平台。关键工艺制造技术国内领先，部分关键技术接近世界先进水平。在叶轮、盘、轴、机匣加工、整体结构件、精密铸造、精密锻造等关键点上具备了国内一流的制造能力。公司具备涡喷、涡扇、涡轴、涡桨、活塞全种类航空发动机生产制造能力，是三代主战机型发动机国内唯一供应商。,HKDL2008@XAE.AECC.CN,航空发动机批量制造及修理等,李健,陕西,266559.42,王洪雷,19931223,HFDL.AECC.CN,航发动力,2018,SHSE,SHSE,航空航天和国防,31010,-,航空航天和国防,31010010,131067269000,17.21,-16.93,¥54.09,工业,310,0.03,711400,42221600.0,2.21,10000.0,711400,2.21,2.21,1.0,59.35,24.2,41.12,31.54,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750033
601318,2020Q4_1750036,"广东省深圳市福田区益田路5033号平安金融中心47,48,108,109,110,111,112层",(一)投资保险企业；(二)监督管理控股投资企业的各种国内、国际业务；(三)开展保险资金运用业务；(四)经批准开展国内、国际保险业务；(五)经中国保险监督管理委员会及国家有关部门批准的其他业务。,马明哲,深圳市,公司于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已发展成为融保险、银行、投资三大主营业务为一体、核心金融与互联网金融业务并行发展的个人金融生活服务集团之一。公司致力于成为国际领先的个人金融生活服务提供商，坚持“科技引领金融，金融服务生活”的理念，通过“综合金融+互联网”和“互联网+综合金融”两个模式，聚焦“大金融资产”和“大医疗健康”两大产业，围绕保险、银行、资产管理、互联网金融四大板块，为客户创造“专业，让生活更简单”的品牌体验。公司是国内金融牌照最齐全、业务范围最广泛、控股关系最紧密的个人金融生活服务集团之一。平安集团旗下子公司包括平安寿险、平安产险、平安养老险、平安健康险、平安银行、平安信托、平安证券、平安大华基金等，涵盖金融业各个领域，已发展成为中国少数能为客户同时提供保险、银行及投资等全方位金融产品和服务的金融企业之一。,PR@pingan.com.cn;IR@pingan.com.cn,"主营业务:以保险业务为核心,以统一品牌向客户提供包括保险,银行,证券,信托等多元化金融服务",谢永林,广东,1828024.14,盛瑞生,19880321,www.pingan.cn,中国平安,2012,SHSE,SHSE,保险,10340,-,人身保险,10340010,1100020382000,-19.03,-29.43,¥59.65,金融服务,103,0.0,432300,37597600.0,1.96,10000.0,432300,1.96,1.96,1.0,93.38,74.82,81.32,-26.65,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750036
688157,2020Q4_1750056,湖南省长沙市宁乡经济技术开发区三环北路777号,氨基树脂涂料600吨/年、丙烯酸酯类树脂涂料1200吨/年、环氧树脂涂料1200吨/年、聚氨酯树脂涂料1000吨/年、聚酯树脂涂料1000吨/年、环氧树脂类胶粘剂300吨/年、聚氨酯类胶粘剂300吨/年、有机硅类胶粘剂400吨/年、特种油墨1000吨/年生产(安全生产许可证有效期至2023年5月24日)；新材料技术推广服务；涂料研发；涂层材料开发；水性涂料制造、销售；普通货物运输(货运出租、搬场运输除外)；道路危险货物运输。(依法须经批准的项目，经相关部门批准后方可开展经营活动),凌云剑,长沙市,公司是一家以3C行业中的高端消费类电子和乘用汽车等高端消费品领域为目标市场，通过“交互式”自主研发、“定制化柔性制造”的模式，为客户提供涂料、特种油墨等多类别系统化解决方案的新型功能涂层材料制造商。公司主要研发和生产涂料、特种油墨两大类核心产品。公司以高端消费类电子和乘用汽车等高端消费品领域为目标市场，采取“交互式”自主研发、“定制化柔性制造”的模式，研发和生产涂料、特种油墨等新型功能涂层材料，对外销售实现业务收入。公司自成立以来，一直专注于高端消费类电子领域和乘用汽车领域的新型功能涂层材料的研发、生产、销售，终端客户覆盖亚洲、美洲、欧洲等地区，基本实现对下游目标市场业务的全覆盖。聚焦目标市场精耕细作，专业化堡垒式的发展模式，使得公司已成为一家优秀的新型功能涂层材料制造企业。,zqb@sokan.com.cn,"以3C行业中的高端消费类电子和乘用汽车等高端消费品领域为目标市场,通过“交互式”自主研发,“定制化柔性制造”的模式,为客户提供涂料,特种油墨等多类别系统化解决方案.公司主要研发和生产涂料,特种油墨两大类核心产品.",凌云剑,湖南,7960.0,伍俊芸,20090320,www.sokan.com.cn,松井股份,0,SHSE,SHSE,化工,10130,-,特种化学制品,10130020,9111895000,41.99,40.18,¥113.06,基础材料,101,0.47,375000,31125400.0,1.63,10000.0,375000,1.63,1.63,1.0,121.2,76.12,102.51,10.29,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750056
688012,2020Q4_1750050,上海市浦东新区金桥出口加工区(南区)泰华路188号,"研发、组装集成电路设备、泛半导体设备和其他微观加工设备及环保设备，包括配套设备和零配件，销售自产产品。提供技术咨询、技术服务。【不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按照国家有关规定办理申请；依法须经批准的项目,经相关部门批准后方可开展经营活动。】",尹志尧,上海市,公司是一家以中国为基地、面向全球的高端半导体微观加工设备公司，深耕芯片制造刻蚀领域，研制出了国内第一台电介质刻蚀机，是我国集成电路设备行业的领先企业。公司专注于集成电路、LED关键制造设备，核心产品包括：1)用于IC集成电路领域的等离子体刻蚀设备(CCP、ICP)、深硅刻蚀设备(TSV)；2)用于LED芯片领域的MOCVD设备。目前公司等离子体刻蚀设备已被广泛应用于国际一线客户从65纳米到14纳米、7纳米和5纳米的集成电路加工制造及先进封装。公司的MOCVD设备在行业领先客户的生产线上大规模投入量产，公司已成为世界排名前列、国内占主导地位的氮化镓基LED设备制造商。,IR@amecnsh.com,"公司聚焦用于集成电路,LED芯片等微观器件领域的等离子体刻蚀设备,深硅刻蚀设备和MOCVD设备等关键设备的研发,生产和销售.",尹志尧,上海,53486.22,刘晓宇,20040531,www.amec-inc.com,中微公司,0,SHSE,SHSE,半导体,31130,-,半导体仪器和材料,31130010,85981977000,40.09,5.59,¥156.94,科技,311,0.03,200000,30358000.0,1.59,10000.0,200000,1.59,1.59,1.0,184.28,140.6,157.53,-0.37,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750050
