symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
002507,2020Q4_1748708,重庆市涪陵区江北街道办事处二渡村一组,生产、加工、销售：蔬菜制品(酱腌菜、其他蔬菜)；其他水产加工品(水产调味品)；普通货运；批发兼零售：预包装食品、散装食品；以下经营范围限分公司经营：生产、加工调味料；榨菜原料收购、仓储；企业生产产品出口。[依法须经批准的项目，经相关部门批准后方可开展经营活动],周斌全,重庆市,公司是一家以榨菜为根本，立足于佐餐开胃菜领域快速发展的农业产业化企业集团，是农业产业化国家重点龙头企业。公司产品畅销沃尔玛、家乐福、大润发等全球知名连锁卖场、全国各大超市、便利店、农贸市场等零售终端。旗下“乌江”牌榨菜先后获得“中国名牌产品”、“重庆市名牌农产品”等荣誉。乌江产品先后通过了原产地标记注册、IOS22000：2005食品安全管理体系认证、ISO9001：2008国际质量管理体系认证、HACCP和QS认证、美国“FDA认证”。公司致力于为消费者提供绿色、健康、美味的开胃小菜，立志成为中国佐餐开味菜行业的领导者和大型航母，引领行业跨入工业化和现代化。,xiezj@flzc.com;weiys@flzc.com,"主营业务为榨菜产品,榨菜酱油和其他佐餐开胃菜等方便食品的研制,生产和销售.主导产品为乌江牌系列榨菜.",赵平,重庆,88763.0,韦永生,19880430,www.flzc.com,涪陵榨菜,2017,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,30523918000,-11.09,-18.49,¥33.73,非周期性消费,205,0.4,3506400,148320000.0,0.51,30657.89,3495000,0.51,0.51,1.0,51.62,36.67,42.45,-20.54,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 30657.89 %,2020Q4_1748708
002493,2020Q4_1748707,浙江省杭州市萧山区益农镇浙江荣盛控股集团大楼,实业投资，涤纶丝，化纤布的制造、加工，纸制品加工，轻纺原料及产品，五金，化工产品及原料(除化学危险品及易制毒化学品)的销售，普通货物仓储服务(不含危险品)，普通货运，经营进出口业务(国家法律法规限制或禁止的除外)。,李水荣,杭州市,"公司是全国大型的直纺涤纶长丝生产企业,主要从事PTA、聚酯纤维相关产品的生产和销售，是全国石化-化纤行业龙头企业之一。公司已形成PTA1000万吨以上，聚酯100万吨、涤纶纺丝(FDY、POY)100万吨、涤纶加弹丝(DTY)45万吨的年产能。经过十多年的积累，目前荣盛聚酯及纺丝、加弹配套项目的生产规模、原料单耗及产品质量均处于国内同行的前列，综合能耗处于国际先进水平。在项目的建设中，公司始终坚持高标准、严要求，在扩大产能的同时，积极开展设备的升级和技术的创新，形成了荣盛在设备、流程等方面的传统优势。目前荣盛纺丝和加弹项目的关键设备均自国外引进，具备国际先进水平，其中在新建的差别化项目中，引进了具有卷绕自动落丝-中间立体仓储-检测-包装等全自动一体化功能的德国高端工业自动化纺丝设备，开启了智能制造新模式。",rspc@rong-sheng.com;qwy@rong-sheng.com;yangyang@rong-sheng.com,"主营业务为PTA,聚酯纤维相关产品的生产和销售,主要产品为PTA以及涤纶牵伸丝(FDY),涤纶预取向丝(POY),涤纶加弹丝(DTY)三大系列,各种规格的涤纶长丝,PET切片.",项炯炯,浙江,1012552.5,全卫英,19950915,www.cnrspc.com,荣盛石化,2015,SZSE,SZSE,化工,10130,-,化学制品,10130010,196874435000,8.32,6.32,¥20.43,基础材料,101,0.4,40500150,734364700.0,2.54,10000.0,40500150,2.54,2.54,1.5,18.41,8.34,13.68,49.34,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748707
002747,2020Q4_1748716,江苏省南京市江宁区吉印大道1888号(江宁开发区),生产、开发、服务各类机电一体化产品、自动控制、运动控制、驱动装置、计算机应用软件、伺服液压控制及系统集成、工业机器人制造、智能机器人的研发、人工智能应用软件开发、工业互联网数据服务、电子元器件制造；销售自产产品；自营和代理各类商品和技术的进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),吴波,南京市,公司业务覆盖了从自动化核心部件及运动控制系统、工业机器人到机器人集成应用的全产业链，构建了从技术、成本到服务的全方位竞争优势。公司业务主要分为两个核心业务模块：一是自动化核心部件及运动控制系统，二是工业机器人及智能制造系统。公司作为中国运动控制领域具有影响力的企业之一，自动化核心部件产品线已完成从交流伺服系统到运动控制系统解决方案的战略转型，业务模式正在实现从单轴—单机—单元的全面升华；工业机器人产品线在公司自主核心部件的支撑下得到超高速发展，奠定公司作为国产机器人行业的龙头地位，通过推进机器人产品线“ALL Made By ESTUN”的战略，形成核心部件—工业机器人—机器人智能系统工程的全产业链竞争力，构建了从技术、成本到服务的全方位竞争优势。,zqb@estun.com,"主要产品:自动化核心部件及运动控制系统,工业机器人及智能制造系统.主营业务:两个核心业务模块:一是自动化核心部件及运动控制系统,二是工业机器人及智能制造系统.",吴侃,江苏,84060.95,袁琴,20020226,www.estun.com,埃斯顿,0,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,34071204000,33.66,31.29,¥38.26,工业,310,1.55,13500000,394389600.0,1.36,10000.0,13500000,1.36,1.36,1.0,31.3,12.38,20.91,82.97,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748716
600754,2020Q4_1748795,上海市延安东路100号25楼中国(上海)自由贸易试验区杨高南路889号东锦江大酒店商住楼四层(B区域),宾馆、餐饮、食品生产及连锁经营、旅游、摄影、出租汽车、国内贸易、物业管理、商务咨询、技术培训、工程设计、票务代理、会务服务、电子产品销售、受托房屋租赁、收费停车场、烟酒零售(限分支机构经营)。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,张晓强,上海市,公司是中国最大的酒店、餐饮业上市公司之一，主要业务为“有限服务型酒店营运及管理业务”和“食品及餐饮业务”。根据公司“全球布局、跨国经营”的发展战略，公司先后成功收购了法国卢浮集团、战略投资铂涛集团，在提升公司酒店规模的同时成功实施公司有限服务酒店业务的全球布局。目前公司旗下拥有“Golden Tulip”、“锦江都城”、“Campanile”、“锦江之星”、“丽枫”、“喆啡”、“七天”等酒店品牌。公司将通过实施“国际化、品牌化、市场化”的发展战略，以星级酒店管理业务为发展方向，并将通过锦江之星旅馆有限公司参与经济型酒店管理业务，继续拓展连锁中西快餐的投资经营，进一步提升公司在“管理、品牌、网络、人才”等方面的核心竞争能力。目前，酒店管理公司在人才建设、品牌建设、网络建设及质量标准管理等方面均呈现出良好的发展态势。,JJIR@jinjianghotels.com,主要业务:“有限服务型酒店营运及管理业务”和“食品及餐饮业务”.,朱虔,上海,95793.64,胡暋,19941213,www.jinjianghotels.sh.cn,锦江酒店,2012,SHSE,SHSE,旅游和娱乐,10290,-,寄宿,10290030,49919094000,-4.74,1.8,¥51.13,周期性消费,102,0.62,6608300,340525400.0,1.18,10000.0,6608300,1.18,1.18,1.0,56.5,38.0,48.1,6.3,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748795
300759,2020Q4_1748747,北京市北京经济技术开发区泰河路6号,药用化合物、化学药、生物制品、生物技术的研究与开发；提供技术开发、技术转让、技术咨询、技术服务、技术培训；货物、技术进出口业务。(涉及配额许可证管理及专项规定管理的商品按照国家有关规定办理)。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),楼柏良,北京市,公司是一家领先的全流程一体化医药研发服务平台，业务遍及全球，致力于协助客户加速药物创新。根据弗若斯特沙利文的资料，按2018年的总收益计，公司是中国第二大医药研发服务平台及全球三大药物发现服务供应商之一。公司在药物发现、临床前及早期临床开发服务方面处于领先地位，并一直致力于拓展下游业务，包括临床后期开发及商业化生产等服务。公司不断扩大医药研发服务领域，并掌握主要研发学科的专业知识以覆盖各研发阶段的主要里程碑，协助客户加快推进研发计划。作为领先的药物发现医药研发服务供应商，公司对分子已积累深刻的科学见解，并自客户创新药物研发初期起即取得客户信任。,pharmaron@pharmaron-bj.com,"公司的主营业务为药物研究,开发及生产CRMO服务,分为药物发现和药物开发研发服务两部分.",楼柏良,北京,79438.75,李承宗,20040701,www.pharmaron.com；www.pharmaron.cn,康龙化成,2019,SZSE,SZSE,生物科技,20610,-,生物科技,20610010,167691699000,58.35,94.14,¥199.17,医疗保健,206,0.26,2050000,246584800.0,0.85,10000.0,2050000,0.85,0.85,1.0,120.4,92.3,105.34,89.07,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748747
688002,2020Q4_1748828,山东省烟台市开发区贵阳大街11号,"用于传感光通信、光显示的半导体材料、光电子器材、光电模板与应用系统、红外成像芯片与器件,红外热像仪整机与系统研发、生产和销售,与之相关的新技术、新产品的研发;货物、技术进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",马宏,烟台市,公司是一家专业从事非制冷红外热成像与MEMS传感技术开发的集成电路芯片企业，致力于专用集成电路、MEMS传感器及红外成像产品的设计与制造。公司产品主要包括非制冷红外热成像MEMS芯片、红外热成像探测器、红外热成像机芯、红外热像仪及光电系统。公司目前已具备先进的集成电路设计、传感器设计、器件封测、图像算法开发、系统集成等研发与制造能力。公司产品主要应用于军用及民用领域，其中军用产品主要应用于夜视观瞄、精确制导、光电载荷以及军用车辆辅助驾驶系统等，民用产品广泛应用于安防监控、汽车辅助驾驶、户外运动、消费电子、工业测温、森林防火、医疗检测设备以及物联网等诸多领域。公司已拥有的全系列产品可以满足绝大部分军品及民品客户需求。,raytron@raytrontek.com,"公司的主营业务为红外MEMS芯片,探测器,机芯及整机的研发,生产和销售,是一家专业的红外成像整体解决方案提供商.产品主要包括非制冷红外热成像MEMS芯片,红外热成像探测器,红外热成像机芯,红外热像仪及光电系统.",马宏,山东,44500.0,黄艳,20091211,www.raytrontek.com,睿创微纳,0,SHSE,SHSE,硬件,31120,-,电子元件,31120040,45958724000,17.83,-7.71,¥107.05,科技,311,0.45,2000000,219855900.0,0.76,10000.0,2000000,0.76,0.76,1.0,114.52,76.52,93.45,14.55,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748828
601636,2020Q4_1748806,广东省深圳市南山区桃源街道龙珠四路2号方大城T1栋36楼,玻璃及制品生产、销售；建筑材料、原辅材料批零兼营；货运代理服务；企业管理服务。,姚培武,株洲市,公司主营业务为玻璃及制品生产、销售，玻璃加工，装卸劳务；主要产品分为三大类：优质浮法玻璃、在线LOW-E镀膜玻璃和LOW-E镀膜玻璃基片、深加工玻璃产品。公司自成立以来，在吸收原新光明公司的优秀技术和管理人才基础上，不断引进玻璃行业优秀的技术和管理人才加盟公司，并与英国玻璃咨询公司进行全面技术合作，对超白光伏玻璃基片生产技术和在线镀膜技术进行了联合开发，提高了技术研发与创新能力，在原料配料与称量技术、熔化技术、锡槽成型技术、退火窑技术、自动控制技术等方面有了较大的进步，企业规模迅速扩大，综合竞争能力快速加强。公司逐步从单一增加浮法玻璃规模的增长方式转变为生产在线LOW-E镀膜玻璃和提高产品附加值的增长模式，促使公司坚持技术创新、坚持走高端产品路线，形成向高科技、高质量、高附加值产品要效益的经营理念。,info@kibing-glass.com;Peiwu.yao@kibing-glass.com;Junyu.wen@kibing-glass.com,"玻璃及制品生产,销售;建筑材料,原辅材料批零兼营.普通货运(有效期至2018年1月23日),在港区内从事普通货物装卸,仓储,堆码,货运代理服务.企业管理服务.",张柏忠,湖南,268623.58,姚培武,20050708,www.kibing-glass.com,旗滨集团,2017,SHSE,SHSE,建筑,31040,-,建筑材料和设备,31040030,57193135000,69.12,70.31,¥21.34,工业,310,0.63,17009200,217717400.0,0.75,10000.0,17009200,0.75,0.75,1.0,13.48,6.44,9.55,123.46,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748806
300198,2020Q4_1748729,福建省泉州市泉港区普安工业区,塑料管道生产销售；钢管塑料防腐处理及塑料防腐钢管成品销售；塑料原料、机电设备销售；管道材料研发与销售，管道设备研发与销售；管道安装(不含特种设备)；化工材料、管材及给排水产品进出口；提供工程技术咨询服务；新能源技术的开发、咨询、交流、转让、推广服务；汽车零部件及配件的研发、销售；汽车租赁。(依法须经批准的项目，经相关部门批准后方可开展经营活动),陈志江,泉州市,公司已成为国内较大的集研发、生产、销售为一体的“给排水系统解决方案”提供商，业务涵盖新能源汽车、PPP投资建设、绿色环保管材、大宗贸易等领域。公司全面参与国家PPP基础设施投资建设。在建项目投资巨大，并与国内多个城市签订项目合作意向书。集团获得高新技术企业、院士工作站、API质量认证等多项行业独家荣誉称号，拥有专利及正在申请专利多项，承担“863”电动汽车重大专项课题，“973”课题，国家课题等。公司将继续秉持“海纳百川·广容万物”的经营哲学，完善环保产业链，助力人类生活与生态环境可持续发展。,nachuan@nachuan.com;yaojunbin@nachuan.com;yangtingting@nachuan.com,"主营业务:塑料管道生产销售;钢管塑料防腐处理及塑料防腐钢管成品销售;塑料原料,机电设备销售;管道材料研发与销售,管道设备研发与销售,管道安装(不含特种设备).",陈志江,福建,103154.85,姚俊宾,20030611,www.nachuan.com,纳川股份,0,SZSE,SZSE,建筑,31040,-,建筑材料和设备,31040030,3299368000,-20.45,-38.83,¥3.28,工业,310,3.68,38000000,195700000.0,0.68,10000.0,38000000,0.68,0.68,1.0,6.86,3.98,5.42,-39.48,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748729
603799,2020Q4_1748818,浙江省嘉兴市桐乡市经济开发区二期梧振东路18号,研发、生产、销售：钴、镍、铜氧化物，钴、镍、铜盐类，钴、镍、铜金属及制品，钴粉，镍粉，铜粉，氢氧化钴，钴酸锂，氯化铵；金属矿产品和粗制品进口及进口佣金代理，生产设备进口及进口佣金代理。(上述涉及配额、许可证及专项规定管理的商品按国家有关规定办理)，对外承包工程业务(范围详见《中华人民共和国对外承包工程资格证书》)。,陈雪华,嘉兴市,公司是一家专注于钴、铜有色金属冶炼及钴新材料产品深加工的高新技术企业，产品主要用于锂离子电池正极材料、航空航天高温合金、硬质合金、色釉料、磁性材料、橡胶粘合剂和石化催化剂等领域。公司始终坚持科技创新和科学管理。在钴铜湿法工艺、钴新材料、环境保护领域拥有了中国一流的自主核心技术，通过了ISO9000、ISO14000、OHSAS18000、GB/T19022和GB/T15496管理体系的认证，为公司做强做大钴产业提供了坚实保障。公司经过十多年的发展积淀，完成了总部在桐乡、资源保障在非洲、制造基地在衢州、市场在全球的空间布局。形成了自有矿产资源为保障，钴新材料为核心，铜、镍产品为辅助，集采、选、冶、新材料深加工于一体的纵向一体化产业结构。,information@huayou.com;wgp@huayou.com;lirui@huayou.com,"主营业务:主要从事钴,铜有色金属采,选,冶及钴新材料产品的深加工与销售.主要产品:公司主导产品为四氧化三钴,氧化钴,碳酸钴,氢氧化钴和硫酸钴等钴产品;由于矿料原料中铜钴伴生的特性及业务拓展原因,公司还生产,销售电积铜,粗铜等铜产品.",陈红良,浙江,121290.44,李瑞,20020522,www.huayou.com,华友钴业,0,SHSE,SHSE,金属与开采,10150,-,其他工业金属与开采,10150030,162332297000,89.31,75.8,¥135.49,基础材料,101,0.1,1207400,95748400.0,0.33,10000.0,1207400,0.33,0.33,1.0,79.3,33.93,45.77,196.02,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748818
600456,2020Q4_1748784,陕西省宝鸡市高新大道88号,钛及钛合金、钨、钼、锆、镍、铌、铪、钽、镁、铜、钢金属材料和各种金属复合材料、铸造产品、钢线材及钢筋产品的生产、加工、销售及科技开发；产品检测、理化检测、计量校验、认证服务及咨询服务；对外投资；经营本企业自产产品及技术的出口业务；本企业自行研制开发的技术转让给其他企业所生产的产品代理出口；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品除外)；经营进料加工和“三来一补”业务、仓储服务(危险品除外)；不动产租赁、有形资产租赁、有形动产租赁、知识产权服务、经纪代理、转让土地使用权、转让专利或非专利技术、转让商标和著作权、转让权益性无形资产、建筑物、构筑物及其他土地附着物的销售；道路普通货物运输。机械零件、零部件加工；通用零部件制造；通用设备制造(不含特种设备制造)；模具制造；冶金专用设备制造；冶金专用设备销售；模具销售；烘炉、熔炉及电炉制造；烘炉、熔炉及电炉销售；电子元器件与机电组件设备制造；专用设备制造(不含许可类专业设备制造)；机械电气设备制造；电气机械设备销售；工业自动控制系统装置制造；工业自动控制系统装置销售；液气密元件及系统制造；通用设备修,王文生,宝鸡市,公司是中国最大的钛及钛合金生产、科研基地，是国家高新技术企业，所在地被誉为“中国钛城”、“中国钛谷”。公司主要从事钛及钛合金的生产、加工和销售，是中国最大的钛及钛合金生产、科研基地。公司拥有国际先进、完善的钛材生产体系，主要产品为各种规格的钛及钛合金板、带、箔、管、棒、线、锻件、铸件等加工材和各种金属复合材产品。公司按照市场需求，生产、加工和销售适合客户要求的钛及钛合金等产品，已形成了成熟的购、产、销一体的生产经营模式。,dsb@baoti.com;chenbing@baoti.com,"主要产品:各种规格的钛及钛合金板,带,箔,管,棒,线,锻件,铸件等加工材和各种金属复合材产品.主营业务:钛及钛合金的生产,加工和销售.",贾栓孝,陕西,47777.75,陈冰,19990721,www.baoti.com,宝钛股份,2012,SHSE,SHSE,金属与开采,10150,-,其他工业金属与开采,10150030,21508745000,19.57,-12.84,¥47.15,基础材料,101,0.32,1552100,80847200.0,0.28,10000.0,1552100,0.28,0.28,1.0,52.09,28.09,34.98,34.79,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748784
