symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
601888,2020Q4_1748063,北京市东城区东直门外小街甲2号A座8层,旅游服务及旅游商品相关项目的投资与管理，旅游服务配套设施的开发、改造与经营，旅游产业研究与咨询服务等。,彭辉,北京市,公司所属行业为旅游业，目前主要从事旅行社业务和免税业务，其中旅行社业务主要包括入境游、出境游、国内游、会奖旅游、签证服务、商旅服务、航空服务、电子商务等业务；免税业务主要包括烟酒、香化等免税商品的批发、零售等业务。此外，公司还从事旅游综合项目开发业务，主要包括旅游综合项目投资开发、旅游景区景点投资开发和旅游股权投资等业务。公司下属全资子公司国旅总社、中免公司及国旅投资公司分别负责公司的旅行社业务、免税业务、旅游综合项目投资开发业务。,citszq@citsgroup.com.cn,旅行社业务和免税业务.,陈国强,北京,195247.55,常筑军,20080328,www.citsgroup.net,中国中免,2011,SHSE,SHSE,旅游和娱乐,10290,-,旅游服务,10290050,552242306000,1.01,1.23,¥275.00,周期性消费,102,0.05,978900,276484400.0,5.21,10000.0,978900,5.21,5.21,1.0,282.45,166.14,207.58,32.48,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748063
603128,2020Q4_1748065,上海市黄浦区南京西路338号天安中心20楼,许可项目：快递服务(除国内信件快递业务);道路货物运输(不含危险货物)。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)一般项目：承办海运、陆运、空运进出口货物、过境货物、国际展品和私人物品的国际运输代理业务，包括揽货、订舱、仓储、包装、中转、集装箱拼装拆箱、结算运杂费、报关、报检、相关的短途运输服务及运输咨询业务;国内航空货运销售代理业务；无船承运业务。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)公司的经营范围以公司登记机关核准的经营范围为准。,向宏,上海市,公司是中国本土最具规模的提供跨境一站式综合物流服务的企业之一。公司主营跨境现代综合第三方物流，具体提供以国际货代为核心的跨境现代综合物流服务。同时公司属下的德祥集团、中特物流提供物流细分领域特种物流服务，前者提供特许资质进口分拨仓储物流服务，后者提供超限超重非标准化的物流运输服务，目前主要以特高压电力设备运输为主要服务对象。公司是中国最早获得一级国际货运代理资质的企业之一，也是中国最早成为国际航空协会会员的中国企业之一，拥有民用航空运输一类销售代理人、交通部无船承运人(NVOCC)、美国联邦海事委员会无船承运人(FMC)、交通部道路运输许可证、海关监管仓库、代理报关、代理报验等一整套国际运输业务经营资质，在行业内具有悠久的经营历史和市场品牌。公司在第三方物流行业的经营和发展历史悠久，是中国物流与采购联合会授予的5A级物流企业，网络的多家公司被当地政府部门评为重点物流企业，在物流行业内具有较高的行业口碑和较佳的品牌形象。,ird@ctsfreight.com,主营业务:跨境现代综合第三方物流.,陈宇,上海,130946.3,于永乾,19841226,www.ctsfreight.com,华贸物流,2020,SHSE,SHSE,交通运输,31080,-,装卸搬运和其他运输代理,31080060,16941682000,8.13,41.77,¥12.82,工业,310,2.23,29246000,271694900.0,5.12,10000.0,29246000,5.12,5.12,1.0,9.37,4.88,7.22,77.56,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748065
603799,2020Q4_1748070,浙江省嘉兴市桐乡市经济开发区二期梧振东路18号,研发、生产、销售：钴、镍、铜氧化物，钴、镍、铜盐类，钴、镍、铜金属及制品，钴粉，镍粉，铜粉，氢氧化钴，钴酸锂，氯化铵；金属矿产品和粗制品进口及进口佣金代理，生产设备进口及进口佣金代理。(上述涉及配额、许可证及专项规定管理的商品按国家有关规定办理)，对外承包工程业务(范围详见《中华人民共和国对外承包工程资格证书》)。,陈雪华,嘉兴市,公司是一家专注于钴、铜有色金属冶炼及钴新材料产品深加工的高新技术企业，产品主要用于锂离子电池正极材料、航空航天高温合金、硬质合金、色釉料、磁性材料、橡胶粘合剂和石化催化剂等领域。公司始终坚持科技创新和科学管理。在钴铜湿法工艺、钴新材料、环境保护领域拥有了中国一流的自主核心技术，通过了ISO9000、ISO14000、OHSAS18000、GB/T19022和GB/T15496管理体系的认证，为公司做强做大钴产业提供了坚实保障。公司经过十多年的发展积淀，完成了总部在桐乡、资源保障在非洲、制造基地在衢州、市场在全球的空间布局。形成了自有矿产资源为保障，钴新材料为核心，铜、镍产品为辅助，集采、选、冶、新材料深加工于一体的纵向一体化产业结构。,information@huayou.com;wgp@huayou.com;lirui@huayou.com,"主营业务:主要从事钴,铜有色金属采,选,冶及钴新材料产品的深加工与销售.主要产品:公司主导产品为四氧化三钴,氧化钴,碳酸钴,氢氧化钴和硫酸钴等钴产品;由于矿料原料中铜钴伴生的特性及业务拓展原因,公司还生产,销售电积铜,粗铜等铜产品.",陈红良,浙江,121290.44,李瑞,20020522,www.huayou.com,华友钴业,0,SHSE,SHSE,金属与开采,10150,-,其他工业金属与开采,10150030,161095661000,89.31,75.8,¥135.48,基础材料,101,0.22,2669900,211723100.0,3.99,10000.0,2669900,3.99,3.99,1.0,79.3,33.93,45.77,196.0,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748070
000547,2020Q4_1747977,福建省福州市台江区五一南路17号工行五一支行13层,发电机及发电机组设计与制造；雷电防护、电磁防护、产品设计与制造；通信系统设备、终端设备设计与制造；射频仿真产品及配套设备设计与制造；航天工业相关设备设计与制造；计算机整机、零部件、应用电子设备设计与制造；专用仪器仪表设计与制造；电子测量仪器设计与制造；金属容器设计与制造；环境治理产品设计与制造；自有房地产经营和物业管理。,张兆勇,福州市,公司是中国航天科工集团公司通过反向收购而新组建的第7家上市公司，致力于军用产业、军民融合产业领域的高新技术公司，以信息技术作为主业和基业。公司目前拥有航天科工集团公司通信网络技术中心、电磁防护技术研发中心、精密电子研发中心、环境试验中心、射频仿真及电子模拟系统工程技术研究中心等具有实力的技术研究中心。公司坚守“科技强军，航天报国”的神圣使命，把打赢信息化条件下局部战争作为目标，深入构建在复杂电磁环境下，集战术战法研究、体系攻防对抗演练、武器装备性能验证等诸多功能于一体的电子蓝军体系，打造中国电子蓝军主要设备供应商。,htfz@casic-addsino.com,"主要业务:通信行业,发电机组,机电新材料,技术服务业.",王文海,福建,160542.16,吴小兰,19931120,www.casic-addsino.com,航天发展,2020,SZSE,SZSE,硬件,31120,-,通讯设备,31120010,28431048000,3.84,-35.55,¥18.26,科技,311,0.44,7009100,192750500.0,3.63,10000.0,7009100,3.63,3.63,1.0,27.5,19.2,22.15,-17.56,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747977
002049,2020Q4_1747984,河北省唐山市玉田县无终西街3129号,集成电路设计、开发、销售与技术服务；高亮度发光二极管(LED)衬底材料开发、生产、销售；生产和销售压电石英晶体器件、经营本企业自产产品及技术的出口；经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进出口业务(国家限定公司经营和禁止进出口的商品除外)；经营进料加工和“三来一补”业务。,刁石京,唐山市,公司是紫光集团旗下半导体行业上市公司，专注于集成电路芯片设计开发领域，是目前国内领先的集成电路芯片设计和系统集成解决方案供应商。公司专注于集成电路芯片设计开发业务，是领先的集成电路芯片产品和解决方案提供商，产品及应用遍及国内外，在智能安全芯片、高稳定存储器芯片、安全自主FPGA、功率半导体器件、超稳晶体频率器件等核心业务领域已形成领先的竞争态势和市场地位。公司深耕集成电路相关领域多年，凭借持续的技术积累、市场拓展和精心构筑的产品质量体系，智能芯片、特种行业集成电路、存储器芯片、FPGA以及晶体等核心业务已形成业内领先的竞争优势，产品及应用遍及国内外。,zhengquan@gosinoic.com;dulh@gosinoic.com,"主营业务:集成电路芯片设计与销售,包括智能芯片产品,特种集成电路产品和存储器芯片产品",马道杰,河北,60681.8,杜林虎,20010917,www.gosinoic.com,紫光国微,2018,SZSE,SZSE,半导体,31130,-,半导体,31130020,95305622000,53.73,19.73,¥165.27,科技,311,0.17,1032200,138122000.0,2.6,10000.0,1032200,2.6,2.6,1.0,156.0,88.03,118.35,39.65,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747984
600036,2020Q4_1748053,广东省深圳市福田区深南大道7088号,吸收公众存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务。外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；结汇、售汇；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；买卖和代理买卖股票以外的外币有价证券；发行和代理发行股票以外的外币有价证券；自营和代客外汇买卖；资信调查、咨询、见证业务；离岸金融业务。经国务院银行业监督管理机构批准的其他业务。,缪建民,深圳市,公司是中国境内第一家完全由企业法人持股的股份制商业银行、国家从体制外推动银行业改革的第一家试点银行，也是一家拥有商业银行、金融租赁、基金管理、人寿保险、境外投行等金融牌照的银行集团。近年来，公司聚焦移动优先策略，拥抱金融科技(Fintech)，率先推出闪电贷、刷脸取款、“一闪通”支付等创新服务，招商银行手机银行、掌上生活两大App已成行业翘楚，月活量均稳居金融行业前十。经过多年创新发展，招商银行部分业务领域已成为国内商业银行的标杆，连续多年获得境内外权威媒体评选的“中国最佳零售银行”“中国最佳私人银行”“中国最佳交易银行”等殊荣。,cmb@cmbchina.com,"主要业务:贷款拆借,存放同业业务债券投资.",田惠宇,广东,2521984.56,王良,19870331,www.cmbchina.com,招商银行,2009,SHSE,SHSE,银行,10320,-,区域性银行,10320020,1298392121000,5.79,19.01,¥50.96,金融服务,103,0.01,3049300,134016299.99999999,2.53,10000.0,3049300,2.53,2.53,1.0,46.8,34.25,39.82,27.98,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748053
601166,2020Q4_1748061,福建省福州市湖东路154号,(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)代理发行股票以外的有价证券；(九)买卖、代理买卖股票以外的有价证券；(十)资产托管业务；(十一)从事同业拆借；(十二)买卖、代理买卖外汇；(十三)结汇、售汇业务；(十四)从事银行卡业务；(十五)提供信用证服务及担保；(十六)代理收付款项及代理保险业务；(十七)提供保管箱服务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经国务院银行业监督管理机构批准的其他业务。,陶以平,福州市,公司成立于1988年8月，总行设在福建省福州市，是经国务院、中国人民银行批准成立的首批股份制商业银行之一。公司先后成立兴业信托、兴业金融租赁、兴业基金、兴业消费金融、兴业研究、兴业数字金融、兴业资产管理等机构，成为拥有最多金融牌照的商业银行之一，从单一银行已逐步演进为以银行为母体，涵盖信托、租赁、基金、消费金融、期货、资产管理、研究咨询、数字金融等在内的现代金融服务集团。旗下公司茁壮成长，部分子公司如兴业信托、兴业租赁、兴业基金等已跻身行业主流阵营。作为中国首家赤道银行和绿色金融的拓荒者、领跑者，公司在国内最早建立专业团队十年深耕绿色金融，已建成覆盖绿色融资、绿色租赁、绿色信托、绿色基金、绿色投资、绿色消费等多个领域的集团绿色产品服务体系。,irm@cib.com.cn,主营业务:商业银行业务,陶以平,福建,2077419.08,陈信健,19880822,www.cib.com.cn,兴业银行,2011,SHSE,SHSE,银行,10320,-,区域性银行,10320020,429791332000,3.61,3.51,¥20.45,金融服务,103,0.03,5542900,115680300.0,2.18,10000.0,5542900,2.18,2.18,1.0,21.6,15.54,17.66,15.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748061
300769,2020Q4_1748012,广东省深圳市南山区留仙大道3370号南山智园崇文园区1号楼10层,纳米粉体材料试剂、纳米粉体标准样品、纳米材料产品(均不含限制项目)的研发、销售；经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)；纳米材料产品的生产(生产场地执照另行申办)。,孔令涌,深圳市,公司是一家致力于纳米材料制备技术开发直至产业化，集研发、生产和销售纳米材料及其应用产品为一体的企业。公司总部位于深圳市南山区，先后在广东佛山和山东肥城建立研发和生产基地。德方纳米公司自主研发的“自热蒸发液相法合成纳米磷酸铁锂正极材料”技术和生产工艺经过了国家纳米科学中心组织(以师昌绪、黄学杰为正、副组长)的专家组鉴定为国际领先水平。公司的产品有纳米磷酸铁锂、纳米磷酸铁锰锂、碳纳米管、碳纳米管导电液及多层布袋石墨烯。主产品纳米磷酸铁锂现已实现千吨级规模生产能力。德方纳米公司对其产品和技术拥有完全自主的知识产权，申请PCT专利2项，国家发明专利23项，其中已获授权13项，制定国际标准1项，国家标准3项。是全国纳米储能技术标准化工作组(TC279/WG7)挂靠单位，承担国家工信部重大科技成果转换项目；财政部、工信部、科技部联合项目新能源汽车创新工程项目；国家科技部创新基金项目；是深圳市市级工程实验室“深圳纳米电极材料工程实验室”的依托单位。,ir@dynanonic.com,"锂离子电池材料的研发,生产和销售,目前公司生产销售的电池材料主要是磷酸铁锂,碳纳米管,碳纳米管导电液.磷酸铁锂由于循环寿命长,能量密度高,高温性能和安全性能好等特点,可应用于电动汽车市场和储能市场;碳纳米管具有优异的导热导电性能,通过深度加工,制成碳纳米管导电液,可添加至电池正极或负极材料中,增加导电性,提高安全性.",孔令涌,广东,8962.47,何艳艳,20070125,www.dynanonic.com,德方纳米,0,SZSE,SZSE,化工,10130,-,化学制品,10130010,22527168000,97.71,52.53,¥248.85,基础材料,101,0.74,664400,111087700.0,2.09,10000.0,664400,2.09,2.09,1.0,189.9,76.1,116.05,114.43,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748012
002415,2020Q4_1747993,浙江省杭州市滨江区物联网街518号,一般项目：数字视频监控系统制造；数字视频监控系统销售；安防设备制造；安防设备销售；物联网设备制造；物联网设备销售；智能无人飞行器制造；智能无人飞行器销售；服务消费机器人制造；工业机器人制造；特殊作业机器人制造；智能机器人销售；计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；通信设备制造；通信设备销售；网络设备制造；网络设备销售；显示器件制造；显示器件销售；智能车载设备制造；智能车载设备销售；汽车零部件及配件制造；汽车零配件批发；电气信号设备装置制造；电气信号设备装置销售；机械电气设备制造；电气机械设备销售；特种劳动防护用品生产；特种劳动防护用品销售；电子产品销售；数字文化创意技术装备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息系统集成服务；计算机系统服务；物联网技术研发；物联网技术服务；物联网应用服务；大数据服务；数据处理和存储支持服务；安全系统监控服务；安全技术防范系统设计施工服务；电子、机械设备维护(不含特种设备)；停车场服务；数字文化创意内容应用服务；环境保护监测；从事科技培训的营利性民办培训机构(除面向中小学生开展的学科类、语言类文化教育培训)。(除依法须经,陈宗年,杭州市,公司是领先的视频产品和内容服务提供商，面向全球提供领先的视频产品、专业的行业解决方案与内容服务。公司积极布局新兴市场和新兴业务，基于互联网推出了面向家庭和小微企业的相关产品及云服务平台；进入智能制造领域，推出了一系列机器视觉产品及解决方案。公司产品已涵盖视频监控系统的所有主要设备，包括前端采集设备、后端存储及集中控制、显示、管理及储存设备。典型视频监控系统的前端设备主要包括摄像机(采集视音频信号)及DVS(压缩及编码视音频信号)；典型视频监控系统的后端设备主要包括录像机(记录及存储视音频信号)；典型视频监控系统的中心控制设备主要包括集中控制设备(控制、检索及显示视音频信号)、VMS软件及中心储存设备。此外，公司拥有门禁、报警、可视对讲等系列大安防领域的产品。,hikvision@hikvision.com;market@hikvision.com;ir@hikvision.com,"主营业务:安防视频监控产品研发,生产和销售,产品包括硬盘录像机(DVR),视音频编解码卡等数据存储及处理设备,以及监控摄像机,监控球机,视频服务器(DVS)等视音频信息采集处理设备.本公司产品主要包括后端数据存储及处理设备中的核心设备DVR,视音频编解码卡;前端视音频信息采集处理设备中的监控摄像机,监控球机,视频服务器(DVS)等,其中硬盘录像机,视音频编解码卡是目前公司的核心产品.",胡扬忠,浙江,934341.72,黄方红,20011130,www.hikvision.com,海康威视,2010,SZSE,SZSE,硬件,31120,-,计算机硬件,31120020,594918356000,13.8,32.22,¥63.00,科技,311,0.02,2172800,105404900.0,1.99,10000.0,2172800,1.99,1.99,1.0,49.11,38.15,44.85,40.47,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747993
300037,2020Q4_1748005,广东省深圳市坪山区昌业路新宙邦科技大厦,"铝电解电容器、锂离子二级电池专用电子化学材料的开发和产销(以上不含限制项目)；经营进出口业务(按深贸管登字第2003-0939号文执行)。普通货运(凭《道路运输经营许可证》经营)；甲醇(1022)，乙醇[无水](2568)、2-丙醇(111)、碳酸二甲酯(2110)、乙腈(2622)、三乙胺(1915)、正丁醇(2761)、碳酸二乙酯(2111)、N,N-二甲基甲酰胺(460)、2-丁氧基乙醇(249)、硫酸(1302)、盐酸(2507)、正磷酸(2790)、次磷酸(161)、乙酸[含量＞80%](2630)、氢氧化钠(1669)、氨溶液[含氨＞10%](35)、硼酸(1609)、对甲基苯磺酸铁溶液(2828)、双电层电容器电解液(2828)、锂离子电池电解液(2828)、氢氟酸(1650)、氟化铵(744)、过氧化氢溶液[含量＞8%](903)(凭《危险化学品经营许可证》经营)。自有房屋租赁。",覃九三,深圳市,公司是一家专业从事新型电子化学品的研发、生产、销售和服务的高新技术企业。主要产品铝电解电容器化学品、固态高分子电容器化学品、超级电容器电解液及锂离子电池电解液，生产规模、产品质量和技术开发能力居国内同行领先。公司产品先后通过了ISO9001:2000质量管理体系认证和ISO14001:2004环境管理体系认证，已成为国内外著名行业用户的长期合作伙伴。公司产品批量出口日本、美国、东南亚等国家和地区，逐渐成为全球电子化学品一流的供应商。“CAPCHEM”、“宙邦”被评为“广东省著名商标”；“新宙邦”被评为“深圳市知名品牌”。,stock@capchem.com;securities@capchem.com,"主要产品:电容器化学品和锂电池化学品两大系列,具体包括铝电解电容器化学品,固态高分子电容器化学品,超级电容器电解液及锂离子电池电解液四类产品.公司主营产品属于国家鼓励,重点支持和优先发展的电子新材料,新能源材料及节能环保材料等高新技术产品.主营业务:新型电子化学品的研发,生产和销售;",周达文,广东,41079.29,贺靖策,20020219,www.capchem.com,新宙邦,2019,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,50529030000,62.84,25.91,¥120.02,基础材料,101,0.25,1039000,105355200.0,1.99,10000.0,1039000,1.99,1.99,1.0,109.8,50.57,70.84,69.42,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748005
