symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
601888,2020Q4_1751258,北京市东城区东直门外小街甲2号A座8层,旅游服务及旅游商品相关项目的投资与管理，旅游服务配套设施的开发、改造与经营，旅游产业研究与咨询服务等。,彭辉,北京市,公司所属行业为旅游业，目前主要从事旅行社业务和免税业务，其中旅行社业务主要包括入境游、出境游、国内游、会奖旅游、签证服务、商旅服务、航空服务、电子商务等业务；免税业务主要包括烟酒、香化等免税商品的批发、零售等业务。此外，公司还从事旅游综合项目开发业务，主要包括旅游综合项目投资开发、旅游景区景点投资开发和旅游股权投资等业务。公司下属全资子公司国旅总社、中免公司及国旅投资公司分别负责公司的旅行社业务、免税业务、旅游综合项目投资开发业务。,citszq@citsgroup.com.cn,旅行社业务和免税业务.,陈国强,北京,195247.55,常筑军,20080328,www.citsgroup.net,中国中免,2011,SHSE,SHSE,旅游和娱乐,10290,-,旅游服务,10290050,554230378000,1.01,1.23,¥275.50,周期性消费,102,0.01,170000,48016500.0,9.38,10000.0,170000,9.38,9.38,1.0,282.45,166.14,207.58,32.72,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751258
603195,2020Q4_1751261,浙江省宁波市慈溪市观海卫镇工业园东区,家用电力器具、配电开关控制设备、电线、电缆、五金工具、电工器材、电器配件、接插件、塑料制品、五金配件、电光源、照明灯具、灯用电器附件及其他照明器具制造、加工、研究、开发；市场调研；项目投资(未经金融等监管部门批准不得从事吸收存款、融资担保、代客理财、向社会公众集(融)资等金融业务)；自营和代理货物和技术的进出口，但国家限定经营或禁止进出口的货物和技术除外。(依法须经批准的项目，经相关部门批准后方可开展经营活动),阮立平,宁波市,公司是一家集产品研发、制造、销售于一体的民用电工行业龙头企业，自创立以来，始终坚持以消费者需求为导向，以产品品质为根本，通过在产品研发、品质管控、渠道开拓、营销推广与供应链建设等方面持续的、全方位的创新与变革，逐步形成了较强的综合性竞争优势。始终坚持以消费者需求为导向，以产品品质为根本，从“插座”(即转换器)这一细分领域开始，不断推动功能、技术与设计的创新，开发出了大批受消费者喜爱的新产品，并在多年的发展过程中逐步拓展、形成了“安全插座”、“装饰开关”、“爱眼LED灯”、“数码速充配件”等品类定位鲜明、可持续发展的业务组合，“公牛”已成为一个家喻户晓的公众品牌。,ir@gongniu.cn;liushengsong@gongniu.cn;huangsp@gongniu.cn,"公司专注于以转换器,墙壁开关插座为核心的民用电工产品的研发,生产和销售,主要包括转换器,墙壁开关插座,LED照明,数码配件等电源连接和用电延伸性产品,广泛应用于家庭,办公等用电场合",阮立平,浙江,60057.59,刘圣松,20080118,www.gongniu.cn,公牛集团,0,SHSE,SHSE,工业制品,31070,-,电子器械和零件,31070060,129359341000,25.27,8.65,¥213.50,工业,310,0.02,150000,30793500.0,6.01,10000.0,150000,6.01,6.01,1.0,210.78,144.55,174.0,22.7,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751261
300601,2020Q4_1751215,广东省深圳市光明区马田街道薯田埔路18号,开发、生产经营乙肝疫苗及其它医用生物制品；进出口业务(具体按资格证书办理)；投资兴办医药项目及其它实业(具体项目另行申报)；医药技术开发、信息咨询服务、自有房屋、设备租赁服务(不含限制项目)；普通货运；货物专用运输(冷藏保鲜)。,杜伟民,深圳市,公司是一家集生物制品研发、生产、销售于一体的上市企业，中国主要的乙肝疫苗生产企业之一。公司主营业务为人用疫苗的研发、生产和销售，产品种类涵盖一类和二类疫苗，目前主要产品有重组乙型肝炎疫苗(酿酒酵母)、b型流感嗜血杆菌结合疫苗、麻疹风疹联合减毒活疫苗、无细胞百白破b型流感嗜血杆菌联合疫苗等产品。自成立以来，康泰生物承担了多项国家、省、市级重点科研项目及技术开发任务，已具备多联多价疫苗、基因工程疫苗等新技术研发及产业化核心竞争力。其中自主研发的无细胞百白破b型流感嗜血杆菌联合疫苗为国内独家创新的“四联疫苗”，专门针对无应答人群的60微克乙肝疫苗拥有“国家重点新产品”称号。通过多年的不懈努力，康泰生物已经发展成为研发品种齐全、产品线丰富、技术优势明显的国家级高新技术企业，在国家计划免疫战线上有着举足轻重的地位。,office@biokangtai.com,"主要产品:重组乙型肝炎疫苗(酿酒酵母)(10μg,20μg,60μg三种规格),b型流感嗜血杆菌结合疫苗,麻疹风疹联合减毒活疫苗,无细胞百白破b型流感嗜血杆菌联合疫苗等产品.主营业务;为人用疫苗的研发,生产和销售,",杜伟民,广东,68641.33,苗向,19920908,www.biokangtai.com,康泰生物,2017,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,102401803000,13.05,-14.29,¥147.09,医疗保健,206,0.02,140100,24445900.0,4.77,10000.0,140100,4.77,4.77,1.0,247.49,133.99,180.27,-18.41,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751215
002507,2020Q4_1751208,重庆市涪陵区江北街道办事处二渡村一组,生产、加工、销售：蔬菜制品(酱腌菜、其他蔬菜)；其他水产加工品(水产调味品)；普通货运；批发兼零售：预包装食品、散装食品；以下经营范围限分公司经营：生产、加工调味料；榨菜原料收购、仓储；企业生产产品出口。[依法须经批准的项目，经相关部门批准后方可开展经营活动],周斌全,重庆市,公司是一家以榨菜为根本，立足于佐餐开胃菜领域快速发展的农业产业化企业集团，是农业产业化国家重点龙头企业。公司产品畅销沃尔玛、家乐福、大润发等全球知名连锁卖场、全国各大超市、便利店、农贸市场等零售终端。旗下“乌江”牌榨菜先后获得“中国名牌产品”、“重庆市名牌农产品”等荣誉。乌江产品先后通过了原产地标记注册、IOS22000：2005食品安全管理体系认证、ISO9001：2008国际质量管理体系认证、HACCP和QS认证、美国“FDA认证”。公司致力于为消费者提供绿色、健康、美味的开胃小菜，立志成为中国佐餐开味菜行业的领导者和大型航母，引领行业跨入工业化和现代化。,xiezj@flzc.com;weiys@flzc.com,"主营业务为榨菜产品,榨菜酱油和其他佐餐开胃菜等方便食品的研制,生产和销售.主导产品为乌江牌系列榨菜.",赵平,重庆,88763.0,韦永生,19880430,www.flzc.com,涪陵榨菜,2017,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,30523918000,-11.09,-18.49,¥33.65,非周期性消费,205,0.05,400100,16923800.0,3.3,10000.0,400100,3.3,3.3,1.0,51.62,36.67,42.45,-20.73,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751208
603096,2020Q4_1751260,北京市西城区北三环中路6号3幢第10层(德胜园区),图书、期刊、电子出版物的批发兼零售；版权代理；图文设计；纸张销售；货物及技术进出口；广告业务；教育咨询；影视策划；影视制作。(依法须经批准的项目，经相关部门批准后方可开展经营活动),陈明俊,天津市,公司是一家以内容创意为核心的传媒企业，主要业务包括图书策划与发行、数字图书、图书零售，以及影视剧策划等版权延伸业务。公司拥有一支包含了行业资深编辑、营销专家和设计师在内的强大创意团队。在策划选题时，新经典创意团队始秉持“有益、有趣、值得反复阅读”的选择标准，基于对“优质内容”的深刻理解和中国图书市场的丰富经验开展编辑和设计工作，坚持“精品化”路线，力求最大化自有版权图书的生命周期，增强单品收益率。多年来，公司与加西亚·马尔克斯、东野圭吾、余华、黑柳彻子、村上春树、麦家等多位知名作家，博达、大苹果、讲谈社等版权代理机构保持良好的合作关系，能够快速获取版权资讯，并且在版权资源竞争方面拥有较强实力。,main@readinglife.com,"主营业务:图书策划与发行,数字图书,图书零售,以及影视剧策划等.",陈明俊,天津,16250.36,唐杰,20090813,www.readinglife.com,新经典,2017,SHSE,SHSE,传媒,30820,-,出版,30820020,5211337000,-22.44,-25.14,¥32.11,通信服务,308,0.22,360000,15605100.0,3.05,10000.0,360000,3.05,3.05,1.2,55.42,33.83,44.1,-27.19,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751260
300143,2020Q4_1751214,山东省青岛市崂山区海尔路1号海尔云谷创新大楼A座6楼,一般项目：股权投资；以自有资金从事投资活动；企业管理；企业管理咨询；软件开发；财务咨询；软件销售；机械设备研发(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可项目：第三类医疗器械经营；医疗器械互联网信息服务；货物进出口；技术进出口；进出口代理(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,刘钢,青岛市,公司原主营鲜品食用菌的研发、生产和销售，主要产品包括金针菇、真姬菇和白玉菇等鲜品食用菌。2016年公司通过收购玛西普100%股权将进入放射外科设备领域，注入盈利能力较强，发展前景广阔的医疗器械业务。玛西普便专注于伽玛刀的研发、销售和服务，目前已成为领先的大型立体定向放射外科治疗设备供应商。玛西普自成立以来，专注于伽玛刀产品的生产、研发、销售和服务，目前生产拥有自主知识产权的伽玛刀包括：第一代头部伽玛刀、第二代头部伽玛刀和体部伽玛刀三种产品，并先后获得中国CFDA认证、美国FDA认证和欧盟CE认证等权威认证资质，已出口至多个国家，为国内大型医疗设备真正进入国际市场，特别是美国等发达国家市场并实现临床应用树立了标杆。,starway@starway.com.cn,"主营业务为鲜品食用菌的研发,生产和销售;主要产品包括金针菇,真姬菇和白玉菇等鲜品食用菌.",刘钢,山东,64216.7,胡园园,19980806,www.300143.net,盈康生命,0,SZSE,SZSE,医疗器械,20650,-,医疗设备,20650010,12676359000,-5.9,-0.2,¥19.59,医疗保健,206,0.11,700000,13860000.0,2.71,10000.0,700000,2.71,2.71,1.0,27.5,18.1,22.57,-13.2,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751214
000651,2020Q4_1751206,广东省珠海市前山金鸡西路,货物、技术的进出口；研发、制造、销售：泵、阀门、压缩机及类似机械，风机、包装设备等通用设备；电机、输配电及控制设备；电线、电缆、光缆及电工器材；家用制冷电器具，家用空气调节器及相关零部件；中央空调、制冷、空调设备、洁净空调、采暖设备、通风设备；空气源热泵热风机、热泵热水机、空调热水一体产品、燃气采暖热水炉设备、燃气供暖热水设备、热能节能设备、机电设备产品及相关零部件；新风及新风除霾设备；通讯终端设备及相关零部件；气体，液体分离及纯净设备及相关零部件；消毒器械；医疗器械、实验室设备；家用清洁卫生电器具、家用厨房电器具、家用通风电器具、其它家用电力器具及相关零部件；厨房用具、不锈钢制品、日用五金；炊具及配件、餐具及配件技术；建筑机电设备安装工程、泳池水处理、中央热水工程；新能源发电产品、储能系统及充电桩；电源、变流器、逆变器电力产品；直流电器及设备；节能产品、照明灯具制造、节能工程；电工仪器仪表；工业自动控制系统装置；能源信息集成管理系统；销售、安装及维护：中央空调、制冷、空调设备、洁净空调、采暖设备、通风设备；空气源热泵热风机、热泵热水机、空调热水一体产品、燃气采暖热水炉设备、燃气供暖热水设备、热能节能设备、新,董明珠,珠海市,公司成立初期，主要依靠组装生产家用空调，现已发展成为多元化的工业集团，产业覆盖空调、高端装备、生活品类、通信设备等领域，产品远销160多个国家和地区。公司拥有国家重点实验室、国家工程技术研究中心、国家级工业设计中心、国家认定企业技术中心、机器人工程技术研发中心各1个，同时成为国家通报咨询中心研究评议基地。公司加快推进产业布局转型升级，2013年起，相继进军智能装备、通信设备、模具等领域，目前格力智能装备已为家电、汽车、食品、3C数码、建材卫浴等众多行业提供服务，格力已经从专业的空调生产企业迈入多元化的高端技术产业时代。,gree@gree.com.cn;gree0651@cn.gree.com,主要产品:空气调节器.,董明珠,广东,601573.09,邓晓博,19891213,www.gree.com.cn,格力电器,2019,SZSE,SZSE,硬件,31120,-,消费类电子产品,31120030,297719135000,-18.32,-20.05,¥50.07,科技,311,0.0,200000,12388000.0,2.42,10000.0,200000,2.42,2.42,1.0,69.53,54.71,62.52,-19.91,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751206
603719,2020Q4_1751265,湖北省武汉市东西湖区航天路1号良品大厦,以连锁店、商业特许、网络等方式从事：散装食品(含冷藏冷冻食品，含散装熟食)、预包装食品(含冷藏冷冻食品)、特殊食品(保健品、婴幼儿配方乳粉、其他婴幼儿配方食品)、蔬菜、干鲜果品、花卉、日用百货、农产品、农副产品(不含稻谷、小麦、玉米的收购、批发)的批发零售；热食类食品(含半成品类食品)；糕点类食品(含裱花类食品)；自制饮品(含自制生鲜乳饮品)、冷食类食品、生食类食品(含肉制品、生海鲜食品)的制售；食品分装加工；仓储服务、场地出租。(涉及许可经营项目，应取得相关部门许可后方可经营),杨红春,武汉市,"公司是一家通过数字化技术融合供应链管理及全渠道销售体系开展高品质休闲食品业务的品牌运营企业。报告期内，公司以消费者体验为中心，以大数据技术为基石，以全渠道销售服务为引擎，以现代化供应链管理和全链路食品安全控制为保障，把握消费者对休闲食品的需求与趋势，不断提高产品的品质标准和产业链的协同效应，建立了集市场研究、食品研发、采购质检、物流配送及全渠道销售的全产业链品牌运营模式。目前，公司已形成覆盖肉类零食、坚果炒货、糖果糕点、果干果脯、素食山珍等多个品类、1,000余种的产品组合，有效地满足了不同消费者群体在不同场景下的多元化休闲食品需求。经过多年的努力，公司获得了国家工商总局认定的“中国驰名商标”、商务部评定的“电子商务示范企业”、湖北省工商行政管理局评定的“湖北省著名商标企业”等荣誉称号。",dongban@lppz.com,"主营业务:是一家通过数字化技术融合供应链管理及全渠道销售体系开展高品质休闲食品业务的品牌运营企业.主要产品:公司已形成覆盖肉类零食,坚果炒货,糖果糕点,果干果脯,素食山珍等多个品类.",杨银芬,湖北,40100.0,徐然,20100804,www.517lppz.com,良品铺子,0,SHSE,SHSE,农副加工食品,20525,-,加工食品,20525040,15341933000,-18.24,-34.18,¥37.93,非周期性消费,205,0.05,200000,11735400.0,2.29,10000.0,200000,2.29,2.29,1.0,85.02,55.94,65.59,-42.17,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751265
601995,2020Q4_1751259,北京市朝阳区建国门外大街1号国贸大厦2座27层及28层,一、人民币特种股票、人民币普通股票、境外发行股票，境内外政府债券、公司债券和企业债券的经纪业务；二、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的自营业务；三、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的承销业务；四、基金的发起和管理；五、企业重组、收购与合并顾问；六、项目融资顾问；七、投资顾问及其他顾问业务；八、外汇买卖；九、境外企业、境内外商投资企业的外汇资产管理；十、同业拆借；十一、客户资产管理。十二、网上证券委托业务；十三、融资融券业务；十四、代销金融产品；十五、证券投资基金代销；十六、为期货公司提供中间介绍业务；十七、证券投资基金托管业务；十八、经金融监管机构批准的其他业务。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),沈如军,北京市,"公司是由国内外著名金融机构和公司基于战略合作关系共同投资组建的中国第一家中外合资投资银行。公司自1995年成立以来，一直致力于为客户提供高质量金融增值服务，业务范围覆盖宏观经济、证券和市场研究、股权与债务发行与承销、兼并收购财务顾问、股本销售交易、固定收益、自营投资、资产管理、财富管理、直接投资、证券投资咨询等诸多领域。公司总部设在北京，在境内设有多家子公司，在上海和深圳设有分公司，在北京、上海、深圳等多个城市设有证券营业部。公司亦积极开拓海外市场，随着业务范围的不断拓展，已在中国香港、纽约、伦敦和新加坡设有子公司,在品牌、客户、业务布局、人才、专业能力、运营管理等方面建立了独特的竞争优势，并在业内获得广泛认可。公司在《亚洲金融》《机构投资者》《亚洲货币》等知名媒体评选中屡获“中国最佳投资银行”、“最佳销售服务团队”、“最具影响力研究机构”等殊荣。同时，公司始终坚持依法合规经营，重视风险管理，建立了良好的规范运作和内部控制机制。自2007年中国证监会推出证券公司分类监管起的13年中，公司有12年获得证券公司被授予过的最高评级A类AA级评级，是累计获得A类AA级评级次数最多的证券公司。",investorrelations@cicc.com.cn,"主要业务包括投资银行业务,销售交易业务,自营投资业务,财富管理业务,资产管理业务,直接投资业务,研究平台,国际业务等.",黄朝晖,北京,482725.69,孙男,19950731,www.cicc.com,中金公司,0,SHSE,SHSE,资本市场,10330,-,资本市场,10330010,203278669000,19.8,-23.97,¥58.54,金融服务,103,0.0,25000,1714400.0,0.33,10000.0,25000,0.33,0.33,1.0,75.27,37.7,60.77,-3.67,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751259
300685,2020Q4_1751216,福建省厦门市海沧区鼎山路39号,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；第一类医疗器械生产；第一类医疗器械销售；第二类医疗器械销售；药物检测仪器销售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：第二类医疗器械生产；第三类医疗器械生产；第三类医疗器械经营；检验检测服务；货物进出口(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)。,LI-MOU ZHENG,厦门市,公司是我国首家专业化的肿瘤精准医疗分子诊断试剂研发生产企业，公司主营业务系肿瘤精准医疗分子诊断产品的研发、生产及销售，并提供相关的检测服务。公司产品主要用于检测肿瘤患者相关基因状态，为肿瘤靶向药物的选择和个体化治疗方案的制定提供科学依据。公司是我国首家专业化的肿瘤精准医疗分子诊断试剂研发生产企业，公司具有自主知识产权的核酸分子检测技术(ADx-ARMS)是目前国际上肿瘤精准医疗分子诊断领域领先的技术之一，在肿瘤相关基因突变检测方面具有敏感、特异、简便、快捷的优点，适合于各种检测样本，并可用于多重基因高通量检测，达到行业公认的国际先进水平。基于核心技术的优势，公司成功研发出20余种肿瘤精准医疗分子诊断试剂，是同行业产品种类最为齐全的企业之一。针对目前肿瘤精准医疗最重要的EGFR、KRAS、BRAF、EML4-ALK、PIK3CA、ROS1、NRAS、Her-2等基因位点，公司陆续研发了13种独立或联合检测试剂，均为我国首批取得国家药监局医疗器械注册证书和通过欧盟CE认证的产品。基于上述产品，公司同时为患者和医疗机构提供专业的肿瘤精准医疗分子检测服务。,sid@amoydx.com,"公司主营业务系肿瘤精准医疗分子诊断产品的研发,生产及销售,并提供相关的检测服务.公司产品主要用于检测肿瘤患者相关基因状态,为肿瘤靶向药物的选择和个体化治疗方案的制定提供科学依据.",罗捷敏,福建,22172.25,陈英,20080221,www.amoydx.com,艾德生物,2018,SZSE,SZSE,医疗诊断和研究,20660,-,诊断和研究,20660010,20981511000,17.49,22.42,¥91.66,医疗保健,206,0.01,13600,1064200.0,0.21,10000.0,13600,0.21,0.21,1.0,88.23,68.01,78.5,16.76,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751216
