symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
002407,2020Q4_1750589,河南省焦作市中站区焦克路,无机盐、无机酸、助剂、合金材料及制品的生产；LED节能产品的生产；电子数码产品，锂离子电池及材料的技术开发及销售；计算机软件的开发与服务；路灯安装工程；以数字印刷方式从事出版物、包装装潢印刷品和其他印刷品的印刷业务；自营进出口业务(以上范围法律、法规禁止的，不得生产经营；应经审批的，未获审批前不得生产经营)。,李云峰,焦作市,公司产品布局高性能无机氟化物、电子化学品、锂离子电池及材料、新能源汽车生产研发四大板块，是国家高新技术企业，国家创新型试点企业，国家技术创新示范企业。公司坚持科技创新，走出一条“技术专利化、专利标准化、标准国际化”的发展路线。公司主持制、修订了数十余项国家、行业标准，拥有国家认定企业技术中心、国家认可实验室、河南省含氟精细化学品工程实验室、河南省无机氟化学工程技术研究中心等研发平台，是全国有色金属标准样品定点研制单位、全国化学标准化委员会无机分会氟化盐工作组召集单位、国际ISO/TC226氟化盐工作组召集单位。,dfd@dfdchem.com;dfdzqb@163.com;dfdzqb@126.com,"主营业务:本公司主要从事冰晶石,氟化铝等无机氟化物产品的研发,生产和销售业务,主要产品:冰晶石和氟化铝.",李云峰,河南,76616.76,彭超,19991221,www.dfdchem.com,多氟多,2020,SZSE,SZSE,化工,10130,-,化学制品,10130010,32200533000,122.78,111.88,¥42.45,基础材料,101,0.51,3896900,78054900.0,3.14,10000.0,3896900,3.14,3.14,1.0,20.52,10.92,13.97,203.87,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750589
600690,2020Q4_1750660,山东省青岛市崂山区海尔信息产业园内,电器、电子产品、机械产品、通讯设备及相关配件、工业自动化控制设备、计算机软硬件及辅助设备的研发与制造；家用电器及电子产品技术咨询服务；进出口业务(按外经贸部核准范围经营)；批发零售：国内商业(国家禁止商品除外)；从事数字科技、智能科技、软件科技；技术开发、技术咨询、技术转让、技术服务(包含工业互联网及家电产品等)；数据处理；应用软件开发及服务；先进控制与优化技术的开发与应用研究；矿泉水制造、饮食、旅游服务(限分支机构经营)；企业管理服务及咨询、信息技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,梁海山,青岛市,海尔智家股份有限公司成立于1984年，1993年11月19日，海尔智家在上海证券交易所上市，是中国最早上市的公司之一，也是最早入选上证180成分股指数的蓝筹股公司之一，并于2019年被纳入MSCI全球指数。2018年10月24日，海尔智家成功在德国法兰克福交易所主板发行D股。2020年12月23日，海尔智家成功在香港主板上市。至此，海尔智家实现“A+D+H”三地上市，构建与全球化运营同步的全球资本平台。公司始终秉承“以用户为是，以自己为非”的理念，坚持创业、创新精神，不断适应时代的发展。公司坚持海外自主创牌，通过自身的持续耕耘与行业整合，先后收购日本三洋白电业、美国GE家电业务、新西兰Fisher&Paykel业务，持股墨西哥MABE48.41%股权、收购意大利Candy公司，构建“研发、制造、营销”三位一体的全球化竞争力，通过不断优化资源整合能力、发挥全球战略协同优势，实现“海尔、卡萨帝、统帅、美国GE Appliances、新西兰Fisher&Paykel、日本AQUA、意大利Candy”七大世界级品牌布局与全球化运营。面对物联网时代的机遇和挑战，海尔智家坚持智慧家庭战略，紧跟时代脚步，推进物联网生态转型,finance@haier.com;Y.sun@haier.de;ir@haier.hk,"主要产品:电冰箱,空调器.",李华刚,山东,940892.9,明国珍,19940331,smart-home.haier.com,海尔智家,2016,SHSE,SHSE,硬件,31120,-,消费类电子产品,31120030,240716903000,-13.46,-6.71,¥26.78,科技,311,0.02,1881600,54961500.0,2.21,10000.0,1881600,2.21,2.21,1.0,30.4,16.26,23.49,14.01,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750660
002007,2020Q4_1750581,河南省新乡市华兰大道甲1号,生产、销售自产的生物制品、血液制品。,安康,新乡市,公司是从事血液制品研发和生产的重点高新技术企业，并首家通过血液制品行业的GMP认证。作为国家定点大型生物制品生产企业，公司以雄厚的技术开发实力、先进的技术水平及生产检测设备、科学规范的经营管理和完善的质量保证体系。公司先后承担多项国家、省、市级科技攻关项目，其中外科用冻干人纤维蛋白胶被列入国家863项目。华兰博士后科研工作站，河南省生物医药工程技术中心和中国科学院生物技术创新与产业化共同基金及中国科学院的多个联合实验室的成立，为企业的高成长性和核心竞争力奠定了坚实的基础。华兰生物拥有人血白蛋白、静注人免疫球蛋白、人免疫球蛋白、人凝血酶原复合物、外科用冻干人纤维蛋白胶等以“华兰”为品牌的血液制品。这些制品的“华兰”商标已成为中国血液制品行业公认品牌。,hualan@hualanbio.com,"主要产品:人血白蛋白,静注丙球",安康,河南,140305.9,谢军民,19920330,www.hualanbio.com,华兰生物,2018,SZSE,SZSE,生物科技,20610,-,生物科技,20610010,68610388000,-11.12,-9.92,¥36.92,医疗保健,206,0.06,1099900,46460600.0,1.87,10000.0,1099900,1.87,1.87,1.0,71.42,40.5,51.16,-27.83,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750581
600273,2020Q4_1750655,浙江省嘉兴市乍浦滨海大道2288号,许可项目：危险化学品生产；危险化学品经营；移动式压力容器/气瓶充装；食品生产；食品添加剂生产；食品经营；发电、输电、供电业务；货物进出口；技术进出口；检验检测服务；危险废物经营(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。一般项目：食品添加剂销售；热力生产和供应；企业管理；社会经济咨询服务；化工产品生产(不含许可类化工产品)；化工产品销售(不含许可类化工产品)；塑料制品销售；针纺织品销售；机械设备销售；工业自动控制系统装置销售；仪器仪表销售；五金产品批发；五金产品零售；金属材料销售；电气机械设备销售；建筑材料销售；日用化学产品销售；日用百货销售；非常规水源利用技术研发；污水处理及其再生利用；煤炭及制品销售；石灰和石膏销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；新兴能源技术研发；民用航空材料销售；陆地管道运输；固体废物治理；以自有资金从事投资活动(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,韩建红,嘉兴市,公司是一家能源化工企业。公司主营蒸汽、氯碱、邻对位、脂肪醇(酸)和硫酸等系列产品。“高起点、环保型和循环经济”是公司项目建设的核心理念。公司先后通过ISO9001、ISO14001、OHSAS质量、环境、职业健康安全管理体系认证，获得国家高新技术企业称号，被评为浙江省安全标准化达标企业、浙江省能源计量示范单位，被授予浙江省循环经济示范企业称号。作为园区内整个循环经济产业链的基础化工和蒸汽供应商，公司在发展经济的同时，时刻不忘所肩负的社会责任，在国家安全环保和低碳经济的要求下，公司正在努力加快工艺技术改造，构筑安全环保体系，实现节能减排目标。,maxianhua@jiahuagufen.com;jhnydsh@163.com,"主要产品:向浙江省嘉兴市乍浦经济开发区及周边企业提供蒸汽供热,生产并销售邻对位,氯碱,脂肪醇(酸)等系列产品",汪建平,浙江,143273.05,马现华,19980403,www.jhec.com.cn,嘉化能源,2019,SHSE,SHSE,化工,10130,-,特种化学制品,10130020,13264783000,-3.58,-0.76,¥9.22,基础材料,101,0.33,4739800,43795400.0,1.76,10000.0,4739800,1.76,1.76,1.0,13.86,8.9,10.64,-13.35,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750655
002080,2020Q4_1750583,北京市海淀区曙光街道远大南街鲁迅文化园创作展示中心1号楼,玻璃纤维、复合材料、过滤材料、矿物棉、其他非金属新材料、工业铂铑合金、浸润剂及相关设备研究、制造与销售；技术转让、咨询服务；工程设计与承包；建筑工程、环境工程专业总承包(设计、施工及相关技术服务)、环境污染治理设施运营、对外承包工程和建筑智能化系统专项工程设计、环境污染防治专项工程、轻工、市政工程设计；玻璃纤维、复合材料、其他非金属新材料工程设计与承包；压力容器、贵金属材料、机械设备、工业自控产品、计算机软件的销售(以上国家有专项专营规定的除外)。经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务(国家限定公司经营或禁止进出口的商品及技术除外)。,薛忠民,南京市,公司是我国特种纤维复合材料的技术发源地，拥有完整的非金属矿物材料、玻璃纤维、纤维复合材料技术产业链，是我国特种纤维复合材料领域集研发、设计、产品制造与销售、技术装备集成于一体的国家级高新技术企业。业务产品紧扣新能源、航空航天、节能减排、国防军工等应用领域。承继了原南京玻璃纤维研究设计院、北京玻璃钢研究设计院和苏州非金属矿工业设计研究院三个国家级科研院所多年的核心技术资源和人才优势。公司是国家首批创新型企业、国家首批技术创新示范企业、国家高新技术企业，拥有国家重点实验室、国家级企业技术中心、国家级工程技术研究中心、博士后工作站，形成了稳定高效的高层次研发平台，拥有一支国内优秀的新材料研发人才队伍。,sinoma@sinomatech.com,"主营业务:风电叶片,玻璃纤维和其他板块.其他版块主要产品为高压复合气瓶,膜材料制品(高温过滤材料,玻璃纤维纸),锂电池隔膜,技术与装备,及少量贸易和水务",黄再满,江苏,167812.36,陈志斌,20011228,www.sinomatech.com,中材科技,2017,SZSE,SZSE,化工,10130,-,化学制品,10130010,49320721000,40.78,23.2,¥28.98,基础材料,101,0.1,1691000,40888400.0,1.64,10000.0,1691000,1.64,1.64,1.0,24.18,15.44,20.08,44.32,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750583
300760,2020Q4_1750618,广东省深圳市南山区高新技术产业园区科技南十二路迈瑞大厦1-4层,生产经营医疗电子仪器及其配套试剂及产品的软件开发(不含国家限制项目)；自产产品售后服务，自有房屋租赁。,李西廷,深圳市,公司是中国领先的高科技医疗设备研发制造厂商，为全球市场提供医疗器械产品。公司的主营业务覆盖生命信息与支持、体外诊断、医学影像三大领域，通过前沿技术创新，提供更完善的产品解决方案，帮助世界改善医疗条件、提高诊疗效率。公司始终致力于临床医疗设备的研发和制造，产品涵盖生命信息与支持、临床检验及试剂、数字超声、放射影像四大领域，将性能与价格完美平衡的医疗电子产品带到世界每一角落。,ir@mindray.com,"主营业务:公司主要从事医疗器械的研发,制造,营销及服务,主要产品涵盖三大领域:生命信息与支持,体外诊断以及医学影像,目前已拥有丰富的产品品类.",吴昊,广东,121569.13,李文楣,19990125,www.mindray.com,迈瑞医疗,2019,SZSE,SZSE,医疗器械,20650,-,医疗设备,20650010,548906596000,15.47,7.75,¥433.60,医疗保健,206,0.01,89900,38315300.0,1.54,10000.0,89900,1.54,1.54,1.0,426.0,290.82,347.05,24.94,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750618
600438,2020Q4_1750658,四川省成都市高新区天府大道中段588号“通威国际中心”,饲料加工；水产品加工；屠宰及肉类加工；食品制造业；兽用药品制造；农林牧渔专用机械制造；化学原料和化学制品制造业；光伏设备及元器件制造；电池制造；燃气、太阳能及类似能源家用器具制造；计算机制造；非金属矿物制品业；(以上经营项目仅限分支机构经营)渔业、畜牧业；畜牧服务业、渔业服务业；兽药经营；太阳能发电；电力供应；电气安装；工程设计；科技推广和应用服务业；废弃资源综合利用业；环境治理业；商品批发和零售；租赁业和商业服务业；进出口业；互联网信息服务。,谢毅,成都市,公司以饲料工业为主，同时涉足水产研究、水产养殖、动物保健、食品加工等相关领域的大型农业科技型上市公司，系农业产业化国家重点龙头企业。公司发展农业和新能源两大主业，其中农业主业以饲料工业为核心，全力延伸和完善水产及畜禽产业链条。同时，在新能源主业方面，公司已成为拥有从上游高纯晶硅生产、中游高效太阳能电池片生产、到终端光伏电站建设的垂直一体化光伏企业，已形成拥有自主知识产权的完整光伏新能源产业链条，并成为中国乃至全球光伏新能源产业发展的核心参与者和主要推动力量。近年来，并先后获得“中国驰名商标”、“中国名牌”等多项殊荣。,zqb@tongwei.com;yank@tongwei.com;lihy05@tongwei.com,"水产饲料,畜禽饲料等的研究,生产和销售,多晶硅,太阳能电池的研发,生产,销售",郭异忠,四川,450154.82,严轲,19951208,www.tongwei.com.cn,通威股份,2016,SHSE,SHSE,农副加工食品,20525,-,农产品,20525020,179058444000,25.99,5.8,¥38.74,非周期性消费,205,0.02,999900,38436700.0,1.54,10000.0,999900,1.54,1.54,1.0,40.58,19.01,27.52,40.77,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750658
603712,2020Q4_1750674,天津市开发区西区北大街141号,许可项目：国防计量服务；检验检测服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)。一般项目：通信设备制造；通信设备销售；通讯设备修理；集成电路芯片设计及服务；集成电路芯片及产品销售；集成电路芯片及产品制造；数据处理和存储支持服务；智能无人飞行器制造；智能无人飞行器销售；信息系统集成服务；信息系统运行维护服务；环境监测专用仪器仪表制造；环境监测专用仪器仪表销售；环境保护监测；计量服务；信息技术咨询服务；工程和技术研究和试验发展；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；机动车改装服务；非居住房地产租赁。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动),王宝,天津市,公司作为国家级高新技术企业是国内专网无线通信领域核心供应商。作为国内专用无线通信领域的奠基者和开拓者，公司创造了多项国内第一。新中国的第一台电视机就诞生在公司，被周恩来总理誉为“华夏第一屏”。公司率先研制成功第一代超短波通信电台，第一代航空抗干扰电台，第一代铁路列调电台、第一代海事自动识别系统等。以强大的科研团队为支撑，公司的产品被广泛应用于国内陆、海、空、火箭军及战略支援部队，遍布全国5大战区、500多个师团级单位。是我军无线通信装备的核心供应商与主要承制单位，是业内极少数可以实现全波段、全军种覆盖的企业。公司在产品研发和生产工艺研究领域积累了先进的理论与实践基础，深度参与通信体制和行业标准的制定，已掌握相应核心和关键技术。,712ir@712.cn,"公司的核心业务是无线通信终端产品业务及系统产品业务,受公司主营业务特点的影响,本公司流动资产主要为存货,应收账款和货币资金等.",庞辉,天津,77200.0,马海永,20041028,www.712.cn,七一二,2018,SHSE,SHSE,硬件,31120,-,通讯设备,31120010,25933909000,-5.04,-18.63,¥34.14,科技,311,0.12,900000,37483200.0,1.51,10000.0,900000,1.51,1.51,1.0,49.94,36.06,41.48,-17.7,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750674
000860,2020Q4_1750577,北京市顺义区站前街1号院1号楼顺鑫国际商务中心12层,粮食作物、经济作物、蔬菜、花卉、园艺作物、水果加工；肉类、肉制品及副产品加工与销售；种畜产品、农作物种子、蔬菜种子繁育与销售；白酒、速冻食品、配制酒、蒸馏酒、发酵酒制造与销售；销售定型包装食品、食用油、酒、饮料：以下项目仅限分公司经营：水产品、豆制品、蛋品加工与销售；米面制品、方便面及其他方便食品、糕点、面包、调味品制造与销售；货物专项运输(冷藏保鲜)；普通货物运输；调味料(半固态)、罐头(其他罐头)。一般经营项目：粮食作物、经济作物、蔬菜、花卉、园艺作物、水果种植与销售；畜禽养殖；淡水养殖；技术开发、技术服务、信息咨询；物流综合业务；销售粮食、百货、机械电器设备、建筑材料、饲料、种苗、农药、(不含危险化学品)、化肥；货物进出口、技术进出口、代理进出口、国际货运代理。粮食收购。出租办公用房。仓储服务。,李颖林,北京市,公司是北京市第一家农业类上市公司，公司从事的主要业务包括：白酒酿造与销售；种猪繁育、生猪养殖、屠宰及肉制品加工；房地产开发。公司现已形成了以白酒、猪肉为主的两大产业。白酒产业的主要产品以“牛栏山”和“宁诚”为代表，“牛栏山”现已形成清香型“二锅头”和浓香型“百年”两大系列白酒；“宁诚”现主要为绵香型宁城老窖白酒。公司种猪繁育、生猪养殖、屠宰及肉制品加工业务产品，主要包括“小店”牌种猪及商品猪、“鹏程”牌生鲜及熟食制品。牛栏山酒厂是北京地区保持自主酿造规模最大的白酒企业，是北京地区白酒行业中最早拥有“中华老字号”、“中国驰名商标”和“中国酿酒大师”(首届)的企业。,zhangxiaoyong@shunxinholdings.com;ayz001@sina.com;sxnygf000860@163.com,"主要业务:白酒的生产和销售;肉类产品的生产和销售;果蔬饮料的生产和销售;种畜产品,农作物种子,蔬菜种子的繁育和销售.",安元芝,北京,74176.7,安元芝,19980921,www.000860.com,顺鑫农业,2013,SZSE,SZSE,企业集团,31030,-,企业集团,31030010,28952818000,-19.64,-46.18,¥38.07,工业,310,0.07,500000,36270000.0,1.46,10000.0,500000,1.46,1.46,1.0,72.74,51.69,61.41,-38.01,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750577
300699,2020Q4_1750615,山东省威海市高区天津路130号,高性能纤维、织物、预浸材料、各类复合材料制品、工装模具、航空地面设备、后勤保障装备和成套装备的研发、生产、销售，机械加工业务；技术开发与咨询，备案范围内的货物及技术进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,卢钊钧,威海市,公司是致力于高性能碳纤维及复合材料研发和生产的高新技术企业。公司以高端装备设计制造技术为支撑，形成了从原丝开始的碳纤维、织物、树脂、高性能预浸材料、复合材料制品的完整产业链布局，主要经营范围为高性能纤维、织物、预浸材料、各类复合材料制品及装备的研发、生产、销售，技术开发与咨询，备案范围内的货物及技术进出口业务等。公司是专业从事碳纤维、碳纤维织物、碳纤维预浸料、碳纤维复合材料制品及碳纤维核心生产设备的研发、生产与销售的高新技术企业，拥有碳纤维行业全产业链布局。在国防军工及民用领域均具有广泛的应用前景，是发展国防军工与国民经济的重要战略物资。,info@gwcfc.cn,"主营业务:公司是专业从事碳纤维及碳纤维复合材料的研发,生产与销售的高新技术企业,拥有碳纤维行业的全产业链布局,产品范围从原丝,碳纤维,织物,预浸料到复合材料,碳纤维制品.",王文义,山东,51835.0,王颖超,19920205,www.gwcfc.com,光威复材,2018,SZSE,SZSE,化工,10130,-,化学制品,10130010,35917856000,6.73,-21.49,¥70.49,基础材料,101,0.08,400000,35618800.0,1.43,10000.0,400000,1.43,1.43,1.0,89.09,66.1,75.31,-6.4,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750615
