symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
600219,2020Q4_1750369,山东省烟台市龙口市东江镇南山村,许可证范围内电力生产(有效期限以许可证为准)；天然气销售(限分支机构经营)；锻造产品、石墨和碳素制品、铝及铝合金制品开发、生产、加工、销售；批准范围的自营进出口、进料加工和“三来一补”业务；装饰装修及铝合金结构制品、铝门窗的安装(须凭资质证书经营)；模具设计与制造；燃气灶具、金属材料、机械设备、塑料制品、化工产品(不含危险化学品)销售；包装箱、托盘、玻纤增强尼龙隔热条生产、销售；铝合金压力加工工程和技术研究开发、技术咨询、技术服务；检验测试。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,程仁策,烟台市,公司形成从热电-氧化铝-电解铝-熔铸-(铝型材/热轧-冷轧-箔轧/锻压)的完整的铝产业链生产线，公司主要产品包括上游产品电力、蒸汽、氧化铝、铝合金锭，下游产品铝板带箔、挤压型材、压延材及大型机械深加工结构件。产品用于加工铝合金门窗、幕墙、集装箱、电力管棒、铁路货运列车、高速列车、城市地铁、客车、新能源汽车、手机、电脑以及大型机械，航空、汽车、船舶用中厚板，罐料、高档PS版基、铝箔坯料、高档铝塑复合板，食品软包装、香烟包装、医药包装、空调箔、动力电池箔，飞机、高速列车、汽车、大型机械深加工结构件等。公司构建了以电力、氧化铝、电解铝、铝挤压材、铝压延材、锻造及相关材料的精深加工为主体的产业链经营模式，业务包括铝土矿冶炼、电解铝生产、铝挤压材和铝压延材研发、加工与销售等多个环节。公司高端制造战略取得重大进展，高技术、高附加值产品的产能持续释放，订单持续增长。,suiguannan@nanshan.com.cn;xingdong@nanshan.com.cn;600219@nanshan.com.cn,"主要产品:上游产品电力,蒸汽,氧化铝,铝合金锭,下游产品铝板带箔,挤压型材,压延材及大型机械深加工结构件.主营业务:铝土矿冶炼,电解铝生产,铝挤压材和铝压延材研发,加工与销售等.",吕正风,山东,1195048.15,隋冠男,19930318,www.600219.com.cn,南山铝业,2019,SHSE,SHSE,金属与开采,10150,-,铝,10150010,53323661000,22.98,44.78,¥4.61,基础材料,101,0.15,17487500,55260500,4.76,10000.0,17487500,4.76,4.76,1.0,3.26,2.11,2.54,81.5,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750369
601818,2020Q4_1750388,"北京市西城区太平桥大街25号,甲25号中国光大中心",吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；经中国银监会批准的其他业务。,李晓鹏,北京市,公司成立于1992年8月，总部设在北京，是经国务院批复并经人民银行批准设立的金融企业，为客户提供全面的商业银行产品与服务。主要业务为经中国银行业监督管理委员会批准的包括对公及对私存款、贷款、支付结算、资金业务及其他金融业务。公司坚持“走出去”战略，境外机构建设步伐加快，中国香港分行、首尔分行、光银国际已开业运营，光银欧洲、卢森堡分行正在筹建；社会责任日益彰显，持续多年支持“母亲水窖”公益活动在社会上产生较大影响。多年来，伴随中国经济和金融业的发展进程，公司品牌形象和市场价值不断提升，在为广大客户和社会公众提供优质金融服务的同时，实现了良好的经营业绩，已成为一家运作规范、颇具影响力的上市银行。,IR@cebbank.com,"主营业务为商业银行业务.主要产品为公司贷款产品,票据贴现,公司存款产品,中间业务产品与服务,借记卡,信用卡,个人存款等.",付万军,北京,5403191.48,李嘉焱,19920618,www.cebbank.com,光大银行,2019,SHSE,SHSE,银行,10320,-,区域性银行,10320020,179947489000,-6.17,-8.52,¥3.65,金融服务,103,0.02,10580200,42215000,3.63,10000.0,10580200,3.63,3.63,1.0,4.5,3.6,3.97,-8.06,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750388
601009,2020Q4_1750374,江苏省南京市玄武区中山路288号,"公司经营范围包括：吸收公众存款;发放短期、中期、和长期贷款;办理国内外结算;办理票据承兑与贴现;发行金融债券;代理发行、代理兑付、承销政府债券;买卖政府债券、金融债券;从事同业拆借;买卖、代理买卖外汇;从事银行卡业务;提供信用证服务及担保;代理收付款项及代理保险业务;提供保管箱服务;经中国银行业监督管理委员会批准的其它业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",胡升荣,南京市,"南京银行诞生于中国金融体制改革和资本市场蓬勃发展的浪潮之中，乘着中国改革开放、经济腾飞的东风，一路乘风破浪砥砺前行。1996年公司完成了股份制改造，2001年引入境外战略投资者国际金融公司(IFC)，2005年引入境外战略投资者法国巴黎银行(BNP)，成为一家由国有法人股份、中资法人股份、外资股份和众多自然人股份共同组成的混合所有制商业银行；2007年初首家异地分行泰州分行开业，成为国内首批跨区域发展的城商行；2007年7月在上交所挂牌交易，是国内首家在上交所主板上市的城商行。公司秉承“为社会铸诚信品质、为客户创卓越服务、为股东谋持久回报”的核心价值观，立足服务实体经济，坚持解放思想、锐意进取、开拓创新、稳健发展的经营理念，实现业务规模稳步增长、基础管理扎实有效、风险管控不断强化、资产质量保持稳定、经营效益持续优良、综合实力日益提升。截至2018年末，公司资产规模12,432.69亿元，员工人数10,721人，经营网点实现京沪杭及江苏省内地区全覆盖，设有17家分行和191家支行。",boardoffice@njcb.com.cn,"主营业务:商业银行业务是本行的核心业务,主要包括公司银行业务,个人银行业务及资金运营业务.",林静然,江苏,1000701.7,江志纯,19960206,www.njcb.com.cn,南京银行,2016,SHSE,SHSE,银行,10320,-,区域性银行,10320020,100783545000,15.42,31.84,¥10.14,金融服务,103,0.05,5126000,41418100,3.57,10000.0,5126000,3.57,3.57,1.0,9.0,7.59,8.2,23.66,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750374
000983,2020Q4_1750312,山西省太原市小店区长风街115号,煤炭销售、洗选加工；发供电；电力采购与销售；电力设施承运承修；电力设备及配件的销售；设备清洗；保洁服务；技术开发、技术转让、技术咨询；化验；机电修理；材料加工；节能改造；新能源管理；矿山开发设计施工；矿用及电力器材生产经营；煤炭开采(仅限分支机构)。,赵建泽,太原市,公司是全国首批循环经济试点单位。公司主营业务是煤炭的生产、洗选加工、销售及发供电，矿山开发设计施工、矿用及电力器材生产经营等。主要产品为煤炭、电力热力、焦炭及化工产品等。煤炭产品主要是：焦煤、肥煤、瘦煤、贫瘦煤、气煤等，畅销全国20多个省、市、自治区，并出口到日本、韩国、德国、印度、巴西、西班牙等国家。公司曾荣获全国五一劳动奖状、全国思想政治工作优秀企业、全国模范职工之家等荣誉称号，“煤矿通风瓦斯超限预控与监管技术及系统”荣膺国家科技进步二等奖。,zqb000983@163.com;xsmdgfgs@163.com,"主要产品为焦煤,肥煤,瘦煤,贫瘦煤和气煤等.",马步才,山西,409656.0,黄振涛,19990426,www.xsmd.com.cn/web/shangShiGongSi,山西焦煤,2020,SZSE,SZSE,其他能源,30920,-,燃煤,30920010,33060372000,62.25,43.26,¥8.25,能源,309,0.16,6616700,37318200,3.21,10000.0,6616700,3.21,3.21,1.0,5.9,3.95,4.75,73.68,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750312
600352,2020Q4_1750370,浙江省绍兴市上虞区道墟街道龙盛大道1号,染料及助剂、化工产品的技术开发、技术转让、技术咨询服务、生产、销售(化学危险品凭许可证经营)；上述产品的原辅材料、机械设备、仪器仪表及零配件、包装制品的销售。本企业自产的各类染料、助剂、化工中间体的出口；本企业生产、科研所需的原辅材料、机械设备、仪器仪表及零配件的进口，实业投资，资产管理。,阮伟祥,绍兴市,公司综合性跨国企业集团，主要从事化工、钢铁汽配、房地产、金融投资。目前制造业业务以染料、助剂、中间体等特殊化学品为主，以纯碱、硫酸等基础化学品为辅。公司通过启动债转股控股德司达全球公司，开始掌控染料行业的话语权。在全球的主要染料市场，浙江龙盛拥有多个销售实体，占全球市场份额高，在所有的关键市场都有着销售和技术的支持，在多个国家设有代理机构和工厂。公司以更加专业化的产品和定制服务为尽可能多的消费者和客户带来更加欣喜的体验。公司通过科技创新，以可持续发展为原则，努力缔造全球专用化学品领域的领导者形象。,chengj@longsheng.com;mail@longsheng.com;yaojf@lonsen.com,"主要业务:分散染料,活性染料,酸性染料,化工中间体及染料助剂的开发,制造,销售.",阮伟祥,浙江,325333.19,姚建芳,19980323,www.longsheng.com,浙江龙盛,2016,SHSE,SHSE,化工,10130,-,化学制品,10130010,40711829000,-7.15,-5.58,¥12.99,基础材料,101,0.06,1947800,26529400,2.28,10000.0,1947800,2.28,2.28,1.0,16.04,13.29,14.27,-8.97,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750370
601398,2020Q4_1750385,北京市西城区复兴门内大街55号,办理人民币存款、贷款；同业拆借业务；国内外结算；办理票据承兑、贴现、转贴现；各类汇兑业务；代理资金清算；提供信用证服务及担保；代理销售业务；代理发行、代理承销、代理兑付政府债券；代收代付业务；代理证券资金清算业务(银证转账)；代理保险业务；代理政策性银行、外国政府和国际金融机构贷款业务；保管箱服务；发行金融债券；买卖政府债券、金融债券；证券投资基金、企业年金托管业务；企业年金受托管理服务、年金账户管理服务；开放式基金的注册登记、认购、申购和赎回业务；资信调查、咨询、见证业务；贷款承诺；企业、个人财务顾问服务；组织或参加银团贷款；外汇存款；外汇贷款；外币兑换；出口托收及进口代收；外汇票据承兑和贴现；外汇借款；外汇担保；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；自营、代客外汇买卖；外汇金融衍生业务；银行卡业务；电话银行、网上银行、手机银行业务；办理结汇、售汇业务；经国务院银行业监督管理机构核准的其他业务。,陈四清,北京市,公司是中国最大的商业银行之一，经过持续努力和稳健发展，已经迈入世界领先大银行行列，拥有优质的客户基础、多元的业务结构、强劲的创新能力和市场竞争力，向全球公司客户和个人客户提供广泛的金融产品和服务。始终聚焦主业，坚持服务实体经济的本源，与实体经济共荣共存、共担风雨、共同成长；始终坚持风险为本，牢牢守住底线，将控制和化解风险作为不二铁律；始终坚持对商业银行经营规律的把握与遵循，致力于打造“百年老店”；始终坚持稳中求进、创新求进，持续深化大零售、大资管、大投行以及国际化和综合化战略，积极拥抱互联网；始终坚持专业专注，开拓专业化经营模式，锻造“大行工匠”。国际化、综合化经营格局不断完善，境外网络扩展至多个国家和地区，盈利贡献进一步提升。,ir@icbc.com.cn,"主营业务:公司银行业务,个人银行业务,资金业务以及其他业务.",廖林,北京,35640625.71,官学清,19851122,www.icbc.com.cn\www.icbc-ltd.com,工商银行,2016,SHSE,SHSE,银行,10320,-,多元化银行,10320010,1604589395000,-7.96,0.52,¥4.73,金融服务,103,0.0,5037800,25138600,2.16,10000.0,5037800,2.16,2.16,1.0,5.47,4.91,5.04,-6.15,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750385
600104,2020Q4_1750367,上海市静安区威海路489号,汽车，摩托车，拖拉机等各种机动车整车，机械设备，总成及零部件的生产、销售，国内贸易(除专项规定)，咨询服务业，以电子商务方式从事汽车整车，总成及零部件的销售，从事网络科技领域内的技术服务，经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务(但国家限定公司经营或禁止进出口的商品及技术除外)，本企业包括本企业控股的成员企业，汽车租赁及机械设备租赁，实业投资，期刊出版，利用自有媒体发布广告，从事货物及技术进出口业务(涉及许可经营的凭许可证经营)。,陈虹,上海市,公司属于汽车制造行业，目前正努力把握产业发展趋势，加快创新转型，从传统的制造型企业，向为消费者提供移动出行服务与产品的综合供应商发展。公司主要业务包括整车(含乘用车、商用车)的研发、生产和销售，正积极推进新能源汽车、互联网汽车的商业化，并开展智能驾驶等技术研究和产业化探索；零部件(含动力驱动系统、底盘系统、内外饰系统，以及电池、电驱、电力电子等新能源汽车核心零部件和智能产品系统)的研发、生产、销售；物流、汽车电商、出行服务、节能和充电服务等汽车服务贸易业务；汽车相关金融、保险和投资业务；海外经营和国际商贸业务；并在产业大数据和人工智能领域积极布局。,saicmotor@saic.com.cn,"主要产品:轻型客车以及轿车,重型车,拖拉机变速器,汽车悬架弹簧,汽车散热器,粉末冶金制品,汽车底盘总成,车灯,转向机,ABS制动系统,轴瓦,安全带,传动轴,空调压缩机等汽车零部件.主营业务:整车(含乘用车,商用车)的研发,生产和销售,零部件(含动力驱动系统,底盘系统,内外饰系统,以及电池,电驱,电力电子等新能源汽车核心零部件和智能产品系统)的研发,生产,销售;物流,汽车电商,出行服务,节能和充电服务等汽车服务贸易业务;汽车相关金融,保险和投资业务;海外经营和国际商贸业务;并在产业大数据和人工智能领域积极布局.",王晓秋,上海,1168346.14,陈晓东,19840416,www.saicmotor.com,上汽集团,2020,SHSE,SHSE,汽车和配件,10200,-,汽车制造,10200020,239051055000,3.74,-16.04,¥20.74,周期性消费,102,0.01,865900,21162600,1.82,10000.0,865900,1.82,1.82,1.0,28.4,17.86,21.44,-3.26,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750367
601377,2020Q4_1750384,福建省福州市湖东路268号,证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品。(有效期至2017年6月26日)；互联网信息服务不含新闻、出版、教育、医疗保健、药品和医疗器械等内容及电子公告服务(有效期至2017年8月16日)；证券投资基金托管业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),杨华辉,福州市,公司是中国证监会核准的全国创新类证券公司和A类AA级证券公司，经营范围包括证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品。互联网信息服务(不含新闻、出版、教育、医疗保健、药品和医疗器械等内容及电子公告服务)；证券投资基金托管业务。公司始终坚持“市场化、规范化、专业化”的经营方针，逐步形成特色鲜明的稳健经营风格。公司坚持证券主业经营，自觉遵守各项法律、法规和行业公约，把合规管理、风险控制放在十分突出的位置上，依靠完善的管理体制和内控机制防范经营风险，风险管理和市场应变能力处于证券业前列。,xyzqdmc@xyzq.com.cn;zhengcm@xyzq.com.cn,"主营业务:证券经纪,投资银行,资产管理,基金管理,证券自营等.",刘志辉,福建,669667.17,郑城美,20000519,www.xyzq.com.cn,兴业证券,2019,SHSE,SHSE,资本市场,10330,-,资本市场,10330010,62212663000,7.47,6.11,¥9.24,金融服务,103,0.03,2281800,19806000,1.71,10000.0,2281800,1.71,1.71,1.0,9.93,7.23,8.43,9.61,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750384
601021,2020Q4_1750375,上海市长宁区空港一路528号二号楼,国内航空客货运输业务；内地至中国香港、中国澳门特别行政区和周边国家的航空客货运输业务；航空公司间的代理业务；与航空运输业务相关的服务业务；市际包车客运；市县际定线旅游客运；从事货物及技术的进出口业务；代理货物运输保险、健康保险、人寿保险、意外伤害保险、责任保险；预包装食品(不含熟食卤味、冷冻冷藏)、工艺礼品、家用电器、日用百货、五金交电、纺织品、电子产品、化工原料(除危险品)、金属材料、仪器仪表、机械设备、汽车零配件的批发零售，自有设备租赁业务，职工食堂、航空配餐(限分支经营)。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,王煜,上海市,公司是国内首家低成本航空公司。自成立以来，公司在严格确保飞行安全和服务质量的前提下，恪守低成本航空的经营模式，借鉴国外低成本航空的成功经验，最大限度地利用现有资产，实现高效率的航空生产运营。公司主要从事国内、国际及港澳台航空客货运输业务及与航空运输业务相关的服务。区别于全服务航空公司，公司凭借价格优势吸引大量对价格较为敏感的自费旅客以及追求高性价比的商务旅客构成的细分市场。公司创新起步、安全、平稳运行，是唯一一家开航当时不进中航信、不通过机票代理，以B2C网上销售和手机直销为主要销售渠道的航空公司。通过多年努力，公司成为中国民营航空公司中第一家获得民航局安全星级评定荣誉，在行业数据公司OAG的准点率报告中，2017年春秋航空在中国大陆航空公司中到港准点率第一。未来，公司将继续巩固低成本航空的业务模式与竞争优势，进一步扩大经营规模，努力实现“成为具有竞争力的国际化、大众化的低成本航空公司”。,ir@ch.com,"主要业务:国内,国际及港澳台航空客货运输业务及与航空运输业务相关的服务.",王志杰,上海,91646.27,陈可,20041101,www.ch.com,春秋航空,2017,SHSE,SHSE,交通运输,31080,-,航空运输,31080020,50379930000,-5.04,-0.38,¥55.16,工业,310,0.03,274100,15193400,1.31,10000.0,274100,1.31,1.31,1.0,55.43,41.77,48.47,13.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750375
601838,2020Q4_1750389,四川省成都市西御街16号,吸收公众存款，发放短期、中期和长期贷款，办理国内结算，办理票据贴现，发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；从事同业拆借，提供信用证服务及担保；代理收付款项及代理保险业务，提供保管箱业务，办理地方财政信用周转使用资金的委托存贷款业务，经中国人民银行批准的其他业务。外汇存款；外汇贷款；国际结算；外汇汇款；外币兑换；同业外汇拆借；结汇、售汇；资信调查、咨询和见证业务；证券投资基金销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动),王晖,成都市,"公司系四川省首家城市商业银行。公司以建设成为“协调发展、富有特色、价值领先、社会认可的现代商业银行”为战略愿景，秉承“服务地方经济，服务小微企业，服务城乡居民”的市场定位，积极探索差异化、特色化发展路径，形成了自身独特的业务特色和竞争优势，综合实力位居西部城商行领先地位，部分经营指标达到国内先进银行水平。近年来,公司凭借优异的经营业绩和优质的金融服务，赢得了社会各界的高度赞誉，先后荣获“四川企业100强”、“最佳城市商业银行”、“最佳金融服务城商行”、“最佳优质服务银行”、“最佳民生金融奖”、“银行科技发展奖”、“最具社会责任金融机构奖”、“百姓最信得过的银行品牌”等荣誉称号。",ir@bocd.com.cn,"本行的主要业务包括公司银行业务,个人银行业务,资金业务等.",王晖,四川,361225.13,罗铮,19970508,www.bocd.com.cn,成都银行,2018,SHSE,SHSE,银行,10320,-,区域性银行,10320020,42841392000,16.98,15.56,¥11.85,金融服务,103,0.04,1395500,14889600,1.28,10000.0,1395500,1.28,1.28,1.0,11.88,8.15,10.1,17.33,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750389
