symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
000516,2020Q4_1749784,"陕西省西安市高新区团结南路中晶科技广场B座6F,7F",以自有资金从事投资活动；医院管理；企业总部管理；商业综合体管理服务；物业管理；非居住房地产租赁；日用产品修理；停车场服务；信息咨询服务(不含许可类信息咨询服务)；融资咨询服务；非融资担保服务。,史今,西安市,公司前身是西安市解放百货商场，创建于1956年，是西安市及陕西省最大的百货零售业企业。2018年，公司将全资子公司开元商业有限公司100%股权出售给银泰百货有限公司，并已顺利完成，剥离百货零售业务资产后，公司成功实现整体业务战略转型，将专注于发展医疗服务主业。公司目前以大健康医疗服务和现代医学技术转化应用为主业，正在运营西安高新医院、商洛国际医学中心、二〇四所医院等医疗机构。公司目前按照三甲标准在建的医疗项目有西安国际医学中心、西安高新医院二期改扩建、商洛国际医学中心(新院区)、西安国际康复医学中心等。旗下西安高新医院始创于2002年，为中国首家社会资本兴办的三级甲等综合医院。近年，公司联合阿里健康建设“互联网+医疗”新模式，建成阿里健康西安高新互联网医院；积极拓展分级诊疗网点，全力打造新型医联体，先后设立了西安蓝博社区卫生服务中心，三星、比亚迪医务室等；公司也积极布局干细胞等现代医学技术转化应用。,IMIC@000516.cn;IMIR@000516.cn,主要业务:医疗服务.,刘瑞轩,陕西,227592.74,丁震,19961231,www.000516.cn,国际医学,0,SZSE,SZSE,零售,10280,-,百货公司,10280020,32796222000,-4.19,14.72,¥14.48,周期性消费,102,0.9,20419800,256676300.0,3.83,10000.0,20419800,3.83,3.83,1.0,13.03,4.1,7.44,94.62,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749784
300726,2020Q4_1749814,湖南省株洲市天元区渌江路2号,电阻电容电感及其他元件、滤波器、变压器、磁珠、微波铁氧体磁性器件、微波功率器件、电子电路、微电路模块、IF模块、VF模块、微波组件、集成电路、电源管理芯片、电子专用材料研发、制造、销售及服务；计算机硬件、支撑软件开发、制造、销售及服务；电子仪器、电气设备开发、生产、销售及服务；电子产品检测。(依法须经批准的项目，经相关部门批准后方可开展经营活动),钟若农,株洲市,公司是总装备部军用电子元器件配套定点研制生产军用钽电解电容器的专业厂家，属工信部国防科工局管理。公司拥有30多年的生产钽电解电容器的经验和历史，有五条成熟的、先进的钽电解电容器生产线及两个较大规模的生产基地，拥有从美国、日本、韩国以及欧盟引进的先进生产线设备。公司的钽电解电容器生产工艺先进、技术力量雄厚，设备精良，拥有国内一流的新品研发能力，拥有完善的质量检测体系和完整的钽电解电容器环境试验、例行试验手段。公司以质量为生命，追求高标准、零缺陷，在长期的研制生产过程中，同国内外先进企业和高等院校有着广泛的合作。公司是以电容器为主导产品，集研发、生产、销售、服务为一体的高技术企业，以钽电解电容器品种全、质量好、信誉高和服务优而享誉国内外市场。公司通过了质量管理体系认证，不断加强技术创新和质量管理工作，持续改进和提升质量水平。随着公司产品不断进入军工配套领域，公司非固体电解质钽电容器生产线、片式固体电解质钽电容器生产线、固体电解质钽电容器生产线贯彻国军标，产品列入了相关军用电子元器件合格产品目录(QPL)。,hongdaelectronics@foxmail.com;leonzenglei@foxmail.com;zhengyx1208@foxmail.com,"主要产品:陶瓷电容器,功率电感,薄膜电容器,电阻,单片电容,微波组件,环形器与隔离器,电源模块,电源管理芯片,板卡等.主营业务:钽电容器等军用电子元器件的研发,生产,销售及相关服务.",曾琛,湖南,40010.0,曾垒,19931118,www.hongdacap.com.cn,宏达电子,2018,SZSE,SZSE,硬件,31120,-,电子元件,31120040,32562586000,30.31,16.41,¥89.44,科技,311,0.71,2849500,206158900.0,3.08,10000.0,2849500,3.08,3.08,1.0,72.35,27.98,45.47,96.7,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749814
688036,2020Q4_1749879,广东省深圳市南山区粤海街道深南大道9789号德赛科技大厦标识层17层(自然层15层)1702-1703号,"移动互联网及手机软件的技术开发、技术咨询;电子产品的批发、进出口及相关配套业务(不涉及国营贸易管理商品,涉及配额、许可证管理及其他专项规定管理的商品,按照国家有关规定办理申请)",竺兆江,深圳市,公司是一家以手机为核心的智能终端的设计、研发、生产及品牌运营的高新技术企业，业务集中在非洲、南亚、东南亚等新兴市场国家。同时实施多元化战略，开发了数码配件、家用电器以及移动互联网服务。主要产品为TECNO、itel和Infinix三大品牌手机，另创立数码配件品牌Oraimo，家用电器品牌Syinix及售后服务品牌Carlcare，自主研发HIOS、itelOS、和XOS等智能终端操作系统。针对特定市场需求，完成了切合当地市场的研发成果，包括黑人肤色摄像技术、防汗液USB端口等。2018年手机出货量全球市场占有率7.04%，排名第四；非洲市占率48.71%，排名第一；印度市占率6.72%，排名第四。,investor@transsion.com;xiaojuan.wang@transsion.com,"发行人的主营业务是从事以手机为核心的智能终端的设计,研发,生产,销售和品牌运营,主要产品为TECNO,itel和Infinix三大品牌手机,销售区域主要集中在非洲,南亚,东南亚,中东和南美等全球新兴市场国家.基于在新兴市场积累的领先优势,公司围绕主营业务积极实施多元化战略布局,创立了数码配件品牌Oraimo,家用电器品牌Syinix以及售后服务品牌Carlcare等.公司自主研发HiOS,itelOS和XOS等智能终端操作系统,围绕OS操作系统开发应用商店,游戏平台,广告分发平台以及手机管家等工具类软件.同时公司与网易等多家国内领先的互联网公司,积极开发和孵化移动互联网产品,在音乐,游戏,短视频,内容聚合及其他应用领域进行出海战略合作.基于用户流量和数据资源开展的移动互联网业务是公司经营业绩增长的新动力.",竺兆江,广东,80000.0,曾春,20130821,www.transsion.com,传音控股,0,SHSE,SHSE,硬件,31120,-,通讯设备,31120010,140707860000,1.52,14.61,¥172.37,科技,311,0.18,1438800,206085700.0,3.08,10000.0,1438800,3.08,3.08,1.0,152.14,67.88,111.39,54.74,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749879
600399,2020Q4_1749846,辽宁省抚顺市望花区鞍山路东段8号,经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务(国家限定公司经营或禁止进出口的商品及技术除外)，钢冶炼、压延钢加工，冶金技术服务，工业气体(含液体)制造、销售，设备安装、冶金设备维修和制造、机械加工与铆焊制作、电器维修、钢结构架制造、机电设备技术咨询、钢材销售、窑炉维修。(依法须经批准的项目，经相关部门批准后方可开展经营活动。),季永新,抚顺市,公司是东北特钢集团旗下最重要的生产基地之一，是中国不可替代的国防军工、航空航天等高科技领域使用特殊钢材料的生产研发基地。公司以特殊钢和合金材料的研发制造为主营业务，主要产品为合金结构钢、工模具钢、不锈钢和高温合金。公司产品广泛应用于机械、汽车、军工、化工、家电、船舶、交通、铁路以及新兴产业等国民经济大部分行业。公司经营模式为传统的特殊钢和合金材料研发、制造和销售模式。在技术质量上，保持了稳定的军工材料科研试制、生产组织和质量管理体系，从而使军工材料质量长期稳定。公司多项产品多次荣获国家、、省市级奖项，其中“合金制备技术研发及应用”获得冶金科学技术奖三等奖及省科技进步奖，“耐蚀模具钢”获得卓越产品奖，“超超临界汽轮机叶片钢纯净化冶炼技术及应用”等获得市科技进步奖3项，“高温合金合金棒材”等获得金杯奖4项，“热作模具钢锻制大扁钢”获得特优质量奖1项。,fstg@fs-ss.com;zhaoyue@fs-ss.com,"主要产品:合金结构钢,工模具钢,不锈钢和高温合金.主要业务:特殊钢和合金材料的研发制造.",孙立国,辽宁,197210.0,祁勇,19990607,www.fs-ss.com,抚顺特钢,0,SHSE,SHSE,钢铁和焦煤,10160,-,钢铁,10160020,38226851000,39.46,27.38,¥19.68,基础材料,101,0.68,13401300,199679400.0,2.98,10000.0,13401300,2.98,2.98,1.0,15.3,4.02,8.45,132.9,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749846
600346,2020Q4_1749845,辽宁省大连市中山区港兴路6号富力中心41层01-06单元,生产和销售化学纤维(不含化学危险品)；精对苯二甲酸(PTA)销售；货物进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动),范红卫,大连市,公司起源于苏州吴江，现有苏州、南通、宿迁、大连、康辉、惠州等六大生产基地，恒力石化立足主业，坚持全产业链发展，致力于打造“原油—芳烃、烯烃—PTA、乙二醇—PET—民用丝、工业丝、聚酯薄膜、工程塑料等新材料”的世界级全产业链发展，拥有2000万吨石油炼化项目，是全球单体装置最大和产能规模最大的PTA制造商，现有产能1160万吨，在建500万吨，同时也是我国聚酯化纤领域规模化、高端化、差异化的领军企业。,lifeng@hengli.com;gaoming@hengli.com;hlzq@hengli.com,"主要从事PTA,聚酯切片,民用涤纶长丝,工业涤纶长丝,聚酯薄膜,工程塑料的生产,研发和销售,同时对外提供电力,蒸汽等产品",范红卫,辽宁,703909.98,李峰,19990309,hengliinc.com,恒力石化,2017,SHSE,SHSE,服饰加工,10240,-,纺织加工,10240010,198361087000,-2.09,4.04,¥27.89,周期性消费,102,0.1,7055900,197353900.0,2.95,10000.0,7055900,2.95,2.95,1.0,28.52,19.08,23.63,18.03,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749845
600436,2020Q4_1749847,福建省漳州市上街1号,许可项目：药品生产；药品委托生产；食品生产；保健食品生产；饮料生产；茶叶制品生产；动物饲养；药品进出口；食品进出口；货物进出口；进出口代理；食品经营(销售预包装食品)；药品批发；药品零售(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)。一般项目：食用农产品初加工；中草药种植；医学研究和试验发展；家用电器销售；文具用品批发；工艺美术品及收藏品批发(象牙及其制品除外)；第二类医疗器械销售；日用百货销售；日用品销售；箱包销售；包装材料及制品销售；化妆品批发；卫生用品和一次性使用医疗用品销售；日用化学产品销售；家居用品销售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,潘杰,漳州市,公司于1999年12月由原漳州制药厂改制创立，是国家高新技术企业、中华老字号企业。生产设备达到世界先进水平，并已通过国家药品GMP认证。公司主要业务包括中成药制造、医药流通。其中，核心产品为片仔癀系列，包括片仔癀、片仔癀胶囊、复方片仔癀含片、复方片仔癀软膏、复方片仔癀痔疮膏等片仔癀系列产品。除药品销售之外，公司积极打造健康、保健、养生食品的健康产业，产品延伸至保健品、保健食品、特色功效化妆品和日化产品。独家生产的国家一级中药保护品种——片仔癀，被誉为“国宝神药”、传统制作技艺被列入国家非遗名录，并被列入国家一级中药保护品种，被评为中国中药名牌产品。近年来，公司积极构建以传统中药、生物制药为核心，以保健药品、保健食品，功能饮料和特色功效化妆品、日化产品为两翼，以药品流通为补充的“一核两翼”大健康产业发展战略。致力把片仔癀打造成国内一流的健康养生品牌。,zzpzhbgs@163.com;zqb@zzpzh.com;pzhyye@zzpzh.com,主要产品为片仔癀及其系列产品.,黄进明,福建,60331.72,陈纪鹏,19991228,www.zzpzh.com,XD片仔癀,2017,SHSE,SHSE,医药制造,20620,-,通用医药制造,20620010,263256693000,42.05,65.56,¥434.46,医疗保健,206,0.1,589800,157790200.0,2.36,10000.0,589800,2.36,2.36,1.0,267.51,209.02,234.62,85.18,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749847
603129,2020Q4_1749863,浙江省杭州市余杭区余杭经济开发区五洲路116号,制造：摩托车，摩托车发动机，全地形车，摩托车配件，汽车配件。服务：摩托车、摩托车发动机、全地形车、摩托车配件、汽车配件、雪地车、游艇及配件的技术开发；批发、零售：摩托车，摩托车发动机，全地形车，摩托车配件，汽车配件，游艇及配件，机电设备，日用百货，金属材料，电子产品，通讯设备，塑料制品，服装鞋帽，体育用品，工艺礼品，电池，润滑油；货物进出口(法律、行政法规禁止经营的项目除外，法律、行政法规限制经营的项目取得许可证后方可经营)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,赖国贵,杭州市,公司是一家专注于大排量水冷动力技术研发制造的国家级高新技术企业。公司主营业务为全地形车，摩托车及后市场用品的研发，制造和销售。公司专注于大排量水冷动力技术这一核心竞争力，以进取之心打造无与伦比的操控驾驶乐趣，让细节处彰显与时俱进的科技感。如今，CFMOTO已在全球四轮车领域多个国家排名位居首位。在中国，NK家族系列街车，摩旅车型650MT，公路旅行车650TR-G等已成为引领休闲类大排量水冷摩托车的行业标杆。公司始终坚持走产、学、研相结合的开发理念，坚持研发投入，自主研发了国内第一款650cc大排量街车、国内第一款800cc大排量全地形越野车等产品填补了多项国内技术空白。,board@cfmoto.com;Board01@cfmoto.com,"主营业务为全地形车,摩托车,游艇及休闲运动装备等后市场用品的研发,生产和销售.公司产品包括400cc至800cc排量段CForce,UForce,Zforce系列四轮全地形车;125cc-250cc小排量,250cc-500cc中等排量,500cc以上大排量摩托车.",赖民杰,浙江,13437.73,周雄秀,20031209,www.cfmoto.com,春风动力,2018,SHSE,SHSE,汽车和配件,10200,-,娱乐型汽车,10200040,17273532000,-11.77,-24.39,¥127.17,周期性消费,102,0.61,814900,141946900.0,2.12,10000.0,814900,2.12,2.12,1.0,182.28,134.0,159.46,-20.25,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749863
000625,2020Q4_1749785,重庆市江北区建新东路260号,"制造、销售汽车(含轿车)，制造汽车发动机系列产品。汽车(含小轿车)开发，汽车发动机系列产品的开发、销售，配套零部件、模具、工具的、开发，制造，销售，机械安装工程科技技术咨询服务，自营和代理各类商品和技术的进出口(国家限定公司经营或禁止进出口的商品和技术除外)，开发、生产、销售计算机软件、硬件产品，计算机应用技术咨询、培训，计算机网络系统设计、安装、维护,代办中国电信股份有限公司重庆分公司委托的电信业务，汽车租赁，计算机软硬件技术开发、技术咨询、技术服务、技术推广。(具体表述以工商登记机关依法核定为准)",朱华荣,重庆市,公司是中国汽车四大集团阵营企业、中国品牌领先汽车企业，两度入选央视“国家品牌计划”，成为中国品牌汽车行业领跑者。公司的主要业务涵盖整车研发、制造和销售以及发动机的研发、生产，并整合优势资源积极发展出行服务、新零售、金融投资等领域，进行多维度的产业布局。公司始终坚持以“引领汽车文明造福人类生活”为使命，秉承“节能环保、科技智能”的理念，大力发展新能源和智能汽车，致力于用科技创新引领汽车文明，努力为客户提供高品质的产品和服务。经过多年发展，现已形成轿车、SUV、MPV、交叉型乘用车、客车、货车等多档次、宽系列、多品种的产品谱系，覆盖传统燃油和新能源车型，拥有排量从1.0L到2.0L的发动机平台。公司旗下拥有长安乘用车、欧尚汽车、凯程汽车、长安福特、长安马自达、长安铃木、长安PSA等众多知名品牌。,cazqc@changan.com.cn,"主要产品:微型客车,微型货车,轿车.主营业务:整车研发,制造和销售以及发动机的研发,生产.",王俊,重庆,761542.82,黎军,19961031,www.changan.com.cn,长安汽车,0,SZSE,SZSE,汽车和配件,10200,-,汽车制造,10200020,125297687000,88.34,23.87,¥19.01,周期性消费,102,0.11,8313619,122528500.0,1.83,10000.0,8313619,1.83,1.83,1.4,8.29,6.45,7.39,157.24,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749785
300759,2020Q4_1749815,北京市北京经济技术开发区泰河路6号,药用化合物、化学药、生物制品、生物技术的研究与开发；提供技术开发、技术转让、技术咨询、技术服务、技术培训；货物、技术进出口业务。(涉及配额许可证管理及专项规定管理的商品按照国家有关规定办理)。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),楼柏良,北京市,公司是一家领先的全流程一体化医药研发服务平台，业务遍及全球，致力于协助客户加速药物创新。根据弗若斯特沙利文的资料，按2018年的总收益计，公司是中国第二大医药研发服务平台及全球三大药物发现服务供应商之一。公司在药物发现、临床前及早期临床开发服务方面处于领先地位，并一直致力于拓展下游业务，包括临床后期开发及商业化生产等服务。公司不断扩大医药研发服务领域，并掌握主要研发学科的专业知识以覆盖各研发阶段的主要里程碑，协助客户加快推进研发计划。作为领先的药物发现医药研发服务供应商，公司对分子已积累深刻的科学见解，并自客户创新药物研发初期起即取得客户信任。,pharmaron@pharmaron-bj.com,"公司的主营业务为药物研究,开发及生产CRMO服务,分为药物发现和药物开发研发服务两部分.",楼柏良,北京,79438.75,李承宗,20040701,www.pharmaron.com；www.pharmaron.cn,康龙化成,2019,SZSE,SZSE,生物科技,20610,-,生物科技,20610010,167691699000,58.35,94.14,¥200.45,医疗保健,206,0.13,1017700,122533400.0,1.83,10000.0,1017700,1.83,1.83,1.0,120.4,92.3,105.34,90.29,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749815
002460,2020Q4_1749794,江西省新余市经济开发区龙腾路,危险化学品经营；货物进出口；基础化学原料制造(不含危险化学品等许可类化学品的制造)；化工产品销售(不含许可类化工产品)；常用有色金属冶炼；有色金属合金制造；有色金属合金销售；电池制造；资源再生利用技术研发；新材料技术推广服务；工程和技术研究和试验发展；以自有资金从事投资活动。,李良彬,新余市,公司是全球领先的锂化合物生产商及金属锂生产商。公司的产品广泛用于众多应用领域，尤其是在电动汽车、化学品及制药方面。公司完善的产品供应组合令公司能有效处理公司客户的独特且多元的产品需求。大部分客户均为各自行业的全球领袖并设有各式各样的要求和规格。公司拥有垂直整合的业务模式，业务涵盖上游锂提取、中游锂化合物及金属锂加工以及下游锂电池生产及回收等价值链的各重要环节。公司从中游锂化合物及金属锂制造商起步，并成功扩大到产业链的上下游，以取得具竞争力的锂原材料供应、确保成本及营运效益、于各个业务线间实现协同效应、收集最新的市场信息及发展顶尖技术。,ouyangming@ganfenglithium.com;liyichuan@ganfenglithium.com,"主营业务为深加工锂产品的研究,开发,生产与销售.主要产品包括金属锂(工业级,电池级),碳酸锂(电池级),氯化锂(工业级,催化剂级),丁基锂,氟化锂(工业级,电池级)等二十余种.",李良彬,江西,143747.89,欧阳明,20000302,www.ganfenglithium.com,赣锋锂业,2014,SZSE,SZSE,化工,10130,-,化学制品,10130010,219621860000,71.6,65.9,¥164.63,基础材料,101,0.07,1006900,101900100.0,1.52,10000.0,1006900,1.52,1.52,1.0,108.88,46.85,65.16,152.66,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749794
