symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
603833,2020Q4_1751924,广东省广州市白云区广花三路366号,一般经营范围：家具制造;家具零配件生产;家具零配件销售;家具销售;家具安装和维修服务;地板制造;地板销售;门窗制造加工;门窗销售;金属门窗工程施工;楼梯制造;楼梯销售;家居用品销售;家居用品制造;水资源专用机械设备制造;气体、液体分离及纯净设备制造;气体、液体分离及纯净设备销售;建筑装饰、水暖管道零件及其他建筑用金属制品制造;建筑装饰材料销售;木材加工;人造板制造;机械电气设备制造;家用电器制造;家用电器安装服务;家用电器销售;家用电器研发;家用电器零配件销售;家用纺织制成品制造;纸制品制造;纸制品销售;非电力家用器具制造;非电力家用器具销售;搪瓷制品制造;搪瓷制品销售;商业、饮食、服务专用设备制造;金属制日用品制造;卫生陶瓷制品制造;卫生陶瓷制品销售;卫生洁具制造;卫生洁具研发;卫生洁具销售;厨具卫具及日用杂品批发;厨具卫具及日用杂品研发;厨具卫具及日用杂品零售;日用玻璃制品制造;日用玻璃制品销售;电热食品加工设备销售;日用品销售;灯具销售;互联网销售(除销售需要许可的商品);日用百货销售;软件销售;软件开发;建筑用石加工;日用电器修理;住宅水电安装维护服务;普通货物仓储服务(不含危险化学品等需许可审批的项,姚良松,广州市,公司是国内综合型的现代整体家居一体化服务供应商。公司主要从事整体厨柜、整体衣柜、整体卫浴和定制木门等定制化整体家居产品的个性化设计、研发、生产、销售和安装服务。公司拥有国际化家居产品制造基地，以整体橱柜为龙头，带动相关产业发展，包括全屋定制、衣柜、卫浴、木门、墙饰壁纸、厨房电器、寝具等，形成多元化产业格局。公司在整体厨柜领域一直保持行业龙头地位，并在整体衣柜、定制木门领域取得显著增长，在整体家居行业中具有较高的知名度与影响力。,oppeinIR@oppein.com,"主营业务:主要从事整体厨柜,整体衣柜,整体卫浴和定制木门等定制化整体家居产品的个性化设计,研发,生产,销售和安装服务.主营产品:包括整体厨柜,整体衣柜,整体卫浴,定制木门等.",姚良松,广东,60426.49,杨耀兴,19940701,www.oppein.com,欧派家居,2019,SHSE,SHSE,家具制造,10220,-,家具制造,10220010,84721016000,-7.96,4.16,¥137.19,周期性消费,102,0.13,813900,109473600,3.38,10000.0,813900,3.38,3.38,1.0,137.97,85.14,112.25,22.22,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751924
000338,2020Q4_1751847,山东省潍坊市高新技术产业开发区福寿东街197号甲,许可项目：技术进出口；货物进出口；道路货物运输(不含危险货物)；城市配送运输服务(不含危险货物)。一般项目：机械设备研发；机械设备销售；通用设备制造(不含特种设备制造)；通用设备修理；汽车零部件研发；汽车零部件及配件制造；汽车零配件批发；汽车零配件零售；专用设备修理；机械零件、零部件销售；数据处理和存储支持服务；软件开发；网络与信息安全软件开发；人工智能理论与算法软件开发；软件销售；集成电路设计；集成电路制造；集成电路销售；智能车载设备制造；智能车载设备销售；信息技术咨询服务；地理遥感信息服务；液压动力机械及元件制造；液压动力机械及元件销售；液气密元件及系统制造；液气密元件及系统销售；新兴能源技术研发；工程和技术研究和试验发展；电机及其控制系统研发；电动机制造；电池制造；电池销售；电力电子元器件制造；电力电子元器件销售；新能源汽车电附件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；润滑油加工、制造(不含危险化学品)；润滑油销售；专用化学产品制造(不含危险化学品)；专用化学产品销售(不含危险化学品)；石油制品销售(不含危险化学品)；成品油批发(不含危险化学品)；非居住房地产租赁；金属材料销售,谭旭光,潍坊市,公司是中国综合实力最强的汽车及装备制造产业集团之一，始终坚持产品经营+资本运营双轮驱动的运营策略，致力于打造最具品质、技术和成本三大核心竞争力的产品，成功构筑起了动力总成(发动机、变速箱、车桥)、整车整机、液压控制和汽车零部件四大产业板块协同发展的新格局。公司主要产品包括全系列发动机、重型汽车、轻微型车、工程机械、液压产品、汽车电子及零部件等，其中，发动机产品远销全球百余个国家和地区，广泛应用和服务于全球卡车、客车、工程机械、农业装备、船舶、电力等市场。目前，公司形成了以潍坊为中心的全系列动力产业基地，以西安为中心的重型汽车和传动系统产业基地，以重庆为中心的大功率发动机和轻型车产业基地，以株洲为中心的汽车电子及零部件产业基地，以扬州为中心的轻微型汽车动力产业基地。同时，公司先后荣获全国质量奖、中国机械工业科技进步特等奖、中国商标金奖·商标创新奖、中国质量奖等荣誉。,weichai@weichai.com;wangli01@weichai.com;wudi03@weichai.com,"主要产品:全系列发动机,重型汽车,轻微型车,工程机械,液压产品,汽车电子及零部件等.",谭旭光,山东,872655.68,王丽,20021223,www.weichaipower.com,潍柴动力,2020,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,142135418000,-10.88,7.35,¥16.92,工业,310,0.06,5137400,81119500,2.51,10000.0,5137400,2.51,2.51,1.0,18.0,15.11,16.3,3.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751847
000739,2020Q4_1751850,浙江省东阳市横店江南路399号,医药行业投资，网络投资，股权投资管理，生物制药技术的研究、开发、转让，国内贸易；经营进出口业务。,祝方猛,金华市,公司是一家集研究、开发、生产原料药、制剂、医药中间体的大型综合性制药企业，为国家重点高新技术企业、浙江省医药工业重点企业。公司拥有两家省级院士工作站、两家国家级博士后科研工作站，一家手性药物及中间体技术国家工程研究中心。公司主要产品涉及抗生素类、抗病毒类、抗肿瘤类、心血管类等多个领域，拥有独特的市场竞争优势，其中抗肿瘤类药物乌苯美司胶囊、口服抗感染药物头孢克肟、阿莫西林克拉维酸钾等制剂产品占较大市场份额；头孢克肟、金刚烷胺、(伪)麻黄碱等原料药占有重要市场地位。公司具备国际化的制造能力，已有数条生产线分别通过WHO、OPCW、美国FDA、欧美COS、德国GMP和日本PMDA等官方认证。,000739@apeloa.com;a000739@163.com,"主要产品:原料药,制剂.",徐新良,浙江,117852.35,周玉旺,19970506,www.apeloa.com,普洛药业,2018,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,33722052000,6.5,26.82,¥28.87,医疗保健,206,0.29,3374600,78559800,2.43,10000.0,3374600,2.43,2.43,1.0,28.5,20.01,23.6,22.33,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751850
600989,2020Q4_1751914,宁夏回族自治区银川市灵武市宁东能源化工基地宝丰循环经济工业园区,高端煤基新材料(多种牌号聚烯烃及聚烯烃改性产品)生产及销售；现代煤化工及精细化工产品(甲醇、乙烯、丙烯、混合C5、轻烃、混合烃、MTBE、丙烷、1-丁烯、纯苯、混苯、二甲苯、重苯、非芳烃、液化气、中温沥青、改质沥青、蒽油、洗油、混合萘、酚油、轻油、硫磺、硫酸铵、液氧、液氮、氯化钠、硫酸钠、液氩等)生产及销售；焦化产品(焦炭、粗苯、煤焦油)生产及销售；煤炭开采、洗选及销售；焦炭(煤)气化制烯烃及下游产品项目建设；矿用设备生产及维修；压力容器、压力管道安装、维修及检测；仪表、阀门校验；内部研发、人事管理。(依法须经批准的项目，经相关部门批准后开展生产经营活动),刘元管,银川市,公司位于中国能源“金三角”的宁东国家级能源化工基地核心区，自2005年成立以来，坚持绿色发展理念，依托科技创新，应用国际国内领先的技术、工艺和装备，打造了集“煤、焦、气、甲醇、烯烃、聚乙烯、聚丙烯、精细化工”于一体的高端煤基新材料循环经济产业集群，用煤替代石油生产出近100种高端化工产品，能耗、环保等综合指标达到国内领先水平，实现煤炭资源清洁高效的利用。生产的产品广泛应用于工业、农业、军工、航空航天、医疗及生产生活用品等领域，同时填补了国内聚烯烃等高端化工原料进口缺口，为保障国家能源战略安全发挥了积极作用。公司建设项目投资727亿元，占地面积14000亩，总体规划产能为“年产300万吨烯烃、150万吨聚乙烯、150万吨聚丙烯、1000万吨甲醇、134.5万吨精细化工、400万吨焦炭、810万煤炭”。规划项目全部建成后，公司年销售收入将突破400亿元，员工达25000人，成为全国单厂规模最大的高端煤基新材料和化学品生产制造商，致力打造技术领先、行业领军、世界一流的现代能源化工企业。,bfny@baofengenergy.com,"现代煤化工产品的生产与销售,主要产品包括烯烃类产品,焦化类产品,精细化工类产品",刘元管,宁夏,733336.0,黄爱军,20051102,www.baofengenergy.com,宝丰能源,2019,SHSE,SHSE,化工,10130,-,化学制品,10130010,105144427000,-5.5,27.61,¥14.75,基础材料,101,0.08,6000000,70200000,2.17,10000.0,6000000,2.17,2.17,1.0,13.49,8.68,11.15,32.29,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751914
688018,2020Q4_1751930,上海市自由贸易试验区碧波路690号2号楼204室,"计算机硬件的研究、开发，计算机软件的研发、开发、设计、制作，销售自产产品；集成电路、通信产品及其零配件的研发、设计，上述同类产品、灯具的批发、进出口、佣金代理(拍卖除外),并提供相关的技术咨询和技术服务(不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按照国家有关规定办理申请)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)",TEO SWEE ANN,上海市,公司是物联网Wi-Fi解决方案专业供应商，专注于物联网Wi-Fi MCU通信芯片及其模组的研发、设计及销售。公司主要产品Wi-Fi MCU是智能家居、智能照明、智能支付终端、智能可穿戴设备、传感设备及工业控制等物联网领域的核心通信芯片。公司产品在集成度、产品尺寸、计算能力、射频、内存、功耗、综合性价比等多个方面均拥有比较优势，公司产品具有较强的进口替代实力和国际市场竞争力。在物联网Wi-Fi MCU芯片领域公司具有较高的市场地位，与高通、德州仪器、美满、赛普拉斯、瑞昱、联发科等同属于第一梯队。公司还拥有独特的开源技术生态系统，以开源方式，创新地建立了开放、活跃的技术生态系统，在全球物联网开发者社群中拥有极高的知名度。,ir@espressif.com,"主要产品ESP8266系列芯片,ESP32系列芯片,主要从事物联网Wi-Fi MCU通信芯片及其模组的研发,设计及销售.",TEO SWEE ANN,上海,8011.3,王珏,20080429,www.espressif.com,乐鑫科技,0,SHSE,SHSE,半导体,31130,-,半导体,31130020,18707269000,107.18,64.82,¥235.30,科技,311,0.54,435900,64794200,2.0,10000.0,435900,2.0,2.0,1.0,247.2,145.23,175.45,34.11,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751930
000830,2020Q4_1751851,山东省聊城市高新技术产业开发区化工新材料产业园,化学肥料及安全生产许可证范围内化工原料的生产销售(以上限分支机构经营)；供热、供汽服务；化工生产专用设备设计、制造、安装、销售；化工技术咨询与服务。自营和代理各类商品和技术的进出口业务(国家限定公司经营或禁止进出口的商品和技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),张金成,聊城市,公司是集化工、化肥、装备制造及科技研发于一体的综合性化工企业。产品涵盖化工和化肥两大领域、五大系列七十多个品种。公司主导产品化肥产销量曾连续多年全国排名第一，连续多年列入中国石油和化工行业综合效益百强、销售收入百强和中国化学肥料制造业销售收入百强企业。未来几年，鲁西化工将进一步解放思想，坚定信心，真抓实干，抢抓机遇，坚持科学发展、安全发展、绿色发展、集约循环发展的原则，做优、做强主业，拉长煤、盐、氟硅化工产业链，发展化工新材料；积极培植新的经济增长点，加快推进国际化进程，实施国际化战略；提升科技研发、工程设计、化工装备制造安装能力，完善园区一体化功能，全力建设化工新材料产业园区。,000830@lxhg.com,"主要业务:化肥的生产与销售.主要产品:尿素,复合肥.",,山东,190431.9,李雪莉,19980611,www.luxichemical.com,鲁西化工,2018,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,39968081000,46.88,69.41,¥21.99,基础材料,101,0.27,5075400,64863200,2.0,10000.0,5075400,2.0,2.0,1.0,13.6,9.07,11.67,88.43,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751851
688122,2020Q4_1751933,陕西省西安市经济技术开发区明光路12号,低温超导材料、高温超导材料、钛及钛合金材料、高温合金材料、铪材料、机电设备(小轿车除外)及部件的生产、开发、销售和技术咨询；自有房屋租赁；货物及技术的进出口业务(国家禁止或限制进出口的货物、技术除外)。(上述经营范围中涉及许可项目的，凭许可证明文件、证件在有效期内经营，未经许可不得经营),张平祥,西安市,"公司是目前国内唯一实现低温超导线材商业化生产的企业，也是目前国际上唯一的铌钛(NbTi)锭棒及线材全流程生产企业,主要从事高端钛合金材料和低温超导材料的研发、生产和销售，是我国航空用钛合金棒丝材的主要研发生产基地，生产的高端钛合金主要用于航空领域，包括飞机结构件、紧固件和发动机部件等。航空领域用高端钛合金不仅要求组织和性能均匀性要好，而且还具有良好的批次稳定性。公司生产的高端钛合金材料已成为我国航空、航天结构件用主干钛合金，为我国新型战机、运输机的首飞和量产提供了核心材料。公司已成为我国新型飞机用钛合金材料的主要供应商之一。公司生产的产品性能达到了国内先进水平，和国外同类产品的技术水平相当，量产后将补上我国“两机”用高性能高温合金的“短板”,先后被国务院授予“国家科学技术进步奖二等奖”，国家工信部授予“国防科学技术进步奖一等奖”，国家发改委授予“国家高技术产业化十年成就奖”，中航工业集团授予“航空科学技术奖励一等奖”。",zqflb@c-wst.com,"公司主要从事高端钛合金材料,超导产品和高性能高温合金材料的研发,生产和销售.主要产品有三类,第一类是高端钛合金材料,包括棒材,丝材和锻坯等;第二类是超导产品,包括铌钛锭棒,铌钛超导线材,铌三锡超导线材和超导磁体等;第三类是高性能高温合金材料,包括变形高温合金,铸造和粉末高温合金母合金等.",冯勇,陕西,44127.2,周通,20030228,www.c-wst.com,西部超导,0,SHSE,SHSE,工业制品,31070,-,金属加工,31070030,27959141000,22.34,-18.73,¥67.05,工业,310,0.17,728500,57920100,1.79,10000.0,728500,1.79,1.79,1.0,79.51,30.38,50.95,31.6,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751933
300285,2020Q4_1751866,山东省东营市东营区辽河路24号,生产、销售特种陶瓷粉体材料及制品（不含危险品），对销售后的产品进行技术服务；进出口贸易。（以上经营事项涉及法律法规规定需报批的，凭批准证书经营）,张曦,东营市,公司是一家专业从事新材料领域，集研发、生产、销售为一体的高新技术企业。公司产品涵盖电子陶瓷介电材料、结构陶瓷材料(纳米复合氧化锆和氧化铝等)、建筑陶瓷材料(陶瓷墨水、釉料)、电子金属浆料(银浆、铝浆、铜浆、镍浆等)、催化材料(蜂窝陶瓷、分子筛、铈锆固溶体等)等。产品主要应用在电子信息和通讯、生物医药、新能源汽车、建筑材料、汽车及工业催化、太阳能光伏、航空航天等现代高科技领域。公司承建了“山东省电子陶瓷材料工程技术研究中心”和“山东省电子陶瓷材料工程试验室”、“山东省企业技术中心”三大科研平台，持续开展技术创新和产品研发，已累计取得多项专利。,sinocera@sinocera.cn;xushaomei@sinocera.cn;zhaohongyan@sinocera.cn,"主营业务为生产,销售高纯度,纳米级钛酸钡基础粉及X7R,X5R,Y5V,C0G等系列MLCC配方粉在内的电子陶瓷粉体材料.主要产品为X7R,X5R,Y5V,C0G等系列MLCC配方粉及高纯纳米钛酸钡基础粉.",张兵,山东,100381.03,许少梅,20050421,www.sinocera.cn,国瓷材料,2020,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,47285145000,7.89,5.76,¥46.60,基础材料,101,0.12,1200000,54132000,1.67,10000.0,1200000,1.67,1.67,1.0,46.5,33.44,39.49,18.0,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751866
600823,2020Q4_1751912,上海市浦东新区潍坊西路55号上海世茂大厦7楼,"实业投资，房地产综合开发经营，本公司商标特许经营，酒店管理，物业管理，货物进出口及技术进出口,针纺织品,服装鞋帽,日用百货,皮革制品,玩具,钟表眼镜,照相器材,文化用品,五金交电,日用化学品,建筑装潢材料，家具,金属材料,电子产品,办公用品,机械设备,工艺美术品,计算机硬件、软件的批发、零售(拍卖除外)。",刘赛飞,上海市,公司是世茂集团布局生态住宅、商业地产及旅游地产的三大业务板块之一，始终以“缔造精致商业”为己任，致力于商业地产的专业化销售和经营。历经十余年的探索和努力，公司现已成为国内商业地产的龙头企业。公司秉承“诚信、协作、创新、卓越”的企业精神，多年来立足于中国房地产高端市场，凭借先进的开发理念、优异的开发品质、完善的服务管理和独具特色的项目创意，先后成功开发了上海世茂湖滨花园、福州世茂外滩花园、绍兴世茂广场、福州世茂百货和苏州世茂国际影城等项目，为“世茂”品牌赢得了广泛的社会知名度和美誉度，形成了长三角、环渤海和海西地区为主的战略布局。,600823@shimaoco.com,"主营业务为专注于商业地产投资,开发与经营.",刘赛飞,上海,375116.83,俞峰,19920701,www.shimaoco.com,世茂股份,2018,SHSE,SHSE,房地产,10410,-,房地产开发,10410010,14815432000,-7.48,-14.1,¥3.77,房地产,104,0.29,10873400,50126500,1.55,10000.0,10873400,1.55,1.55,1.0,7.1,4.3,5.56,-32.19,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751912
300454,2020Q4_1751869,广东省深圳市南山区学苑大道1001号南山智园A1栋,许可经营项目：计算机软硬件的研发、生产、销售及相关技术服务；网络产品的研发、生产、销售及相关技术服务；计算机信息系统集成以及相关技术咨询(以上均不含专营、专控、专卖商品及限制项目)；货物及技术的出口(不含分销)；第一类增值电信业务；第二类增值电信业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准),何朝曦,深圳市,公司专注于软件和信息技术服务行业，致力于让政府部门、事业单位和各类企业等在内的企业级用户的IT更简单、更安全、更有价值，当前主营业务为向前述企业级用户提供信息安全、云计算、企业级无线相关的产品和解决方案。公司从2012年开始布局云计算业务，目前已完成企业级云、专属云、桌面云三朵云的业务布局，向企业级用户提供超融合一体机、云管理平台、企业级云平台、跨云管理平台、云终端、桌面云一体机、分布式存储等多款产品和解决方案，为政府单位、教育机构、医疗机构、金融机构、各类型企业等单位提供从桌面到数据中心，从本地到云端，从私有云、行业云到混合云的完整云计算解决方案及服务，致力于让用户的关键业务上云更简单、IT服务更高效、IT更具价值创造力。公司是第一批国家高新技术企业，先后获得“深圳市重点软件企业”、“国家规划布局内重点软件企业”等荣誉。,ir@sangfor.com.cn,"主营业务:向企业级用户提供信息安全,云计算,企业级无线相关的产品和解决方案.",何朝曦,广东,41387.43,蒋文光,20001225,www.sangfor.com.cn,深信服,2019,SZSE,SZSE,硬件,31120,-,通讯设备,31120010,122132253000,12.93,20.93,¥284.12,科技,311,0.04,157800,39136000,1.21,10000.0,157800,1.21,1.21,1.0,248.01,189.46,209.93,35.34,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751869
002557,2020Q4_1751858,安徽省合肥市经济技术开发区莲花路1307号,坚果炒货类食品生产和销售；农副产品的生产和收购；油炸食品生产和销售；膨化食品生产和销售；焙烤类食品生产与销售；酱腌菜类的生产与销售；饼干类食品的生产与销售；食品添加剂的生产和销售；方便食品的生产和销售；果干、蜜饯、肉干肉脯、原枣、巧克力、蔬菜干等产品的分装；肉制品类、蜜饯类、海藻类、糖果类、果冻类、水果制品、预包装食品批发(涉及许可证的凭许可证经营)；自有房屋的租赁；自动售货机零售；自营和代理各类商品和技术的进出口业务。,陈先保,合肥市,公司地处国家级合肥市经济技术开发区，是一家以传统炒货、坚果为主营，集自主研发、规模生产、市场营销为一体的现代休闲食品企业。公司引领国内坚果炒货行业的技术发展和工艺创新，参与制订了国内多个炒货行业标准；作为坚果炒货行业的领军企业，综合实力强，规模优势明显，远超同行业其他企业。公司坚持以“创造优质产品，传播快乐味道”为使命，经过几十年的潜心经营，产品线日趋丰富，生产运营管理体系逐步完善，产品知名度和美誉度不断提升，经济效益和社会效益逐年增长。,qiaqia@qiaqiafood.com;yaow@qiaqiafood.com;chenj@qiaqiafood.com,"主营业务:坚果炒货类食品生产和销售;农副产品的生产和收购(除粮,油);油炸食品生产和销售;膨化食品生产和销售;焙烤类食品生产与销售;肉制品类,蜜饯类,海藻类,糖果类,果冻类,预包装食品批发,食品添加剂的生产和销售(涉及许可证的凭许可证经营);",陈先保,安徽,50700.06,陈俊,20010809,www.qiaqiafood.com,洽洽食品,2018,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,21023312000,-17.62,-21.26,¥40.52,非周期性消费,205,0.12,601700,32399800,1.0,10000.0,601700,1.0,1.0,1.0,63.7,52.78,57.38,-29.38,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751858
300003,2020Q4_1751865,北京市昌平区超前路37号,医疗器械及其配件的技术开发、生产；销售自产产品；提供自产产品的技术咨询服务；上述产品的进出口；技术进出口；佣金代理(不含拍卖，涉及配额许可证管理、专项规定管理的商品按国家有关规定办理)。,蒲忠杰,北京市,公司是一家专业从事冠脉支架、PTCA球囊导管、中心静脉导管及压力传感器的研发、生产和销售的企业，国内高端医疗器械领域能够与国外产品形成强有力竞争的为数较少的企业之一。自成立以来，相继完成了支架、导管等多项介入医疗核心产品的研制开发和产业化工作，在业内第一个获得国家药监局颁发的“冠状动脉支架输送系统”产品注册证(III类)、第一个研发并试制成功抗感染“药物中心静脉导管”。公司具备了心血管介入、麻醉监护产品的工业化生产能力，PARTNER药物支架成功上市使公司为拥有雷帕霉素药物支架生产技术的公司。,zqb@lepumedical.com,"公司的主营业务包括医疗器械业务(含心脏病治疗产品,新型介入诊疗业务,体外诊断试剂和医疗产品代理配送),药品业务及海外业务三大板块.公司主要产品包括血管内药物(雷帕霉素)洗脱支架系统,冠脉支架输送系统,PTCA球囊扩张导管,药物中心静脉导管等.",张志斌,北京,180458.11,蒲忠杰,19990611,www.lepumedical.com,乐普医疗,2014,SZSE,SZSE,医疗器械,20650,-,医疗设备,20650010,54283121000,8.77,11.29,¥29.52,医疗保健,206,0.07,1191800,32393100,1.0,10000.0,1191800,1.0,1.0,1.0,35.43,26.3,29.88,-1.2,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751865
601838,2020Q4_1751921,四川省成都市西御街16号,吸收公众存款，发放短期、中期和长期贷款，办理国内结算，办理票据贴现，发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；从事同业拆借，提供信用证服务及担保；代理收付款项及代理保险业务，提供保管箱业务，办理地方财政信用周转使用资金的委托存贷款业务，经中国人民银行批准的其他业务。外汇存款；外汇贷款；国际结算；外汇汇款；外币兑换；同业外汇拆借；结汇、售汇；资信调查、咨询和见证业务；证券投资基金销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动),王晖,成都市,"公司系四川省首家城市商业银行。公司以建设成为“协调发展、富有特色、价值领先、社会认可的现代商业银行”为战略愿景，秉承“服务地方经济，服务小微企业，服务城乡居民”的市场定位，积极探索差异化、特色化发展路径，形成了自身独特的业务特色和竞争优势，综合实力位居西部城商行领先地位，部分经营指标达到国内先进银行水平。近年来,公司凭借优异的经营业绩和优质的金融服务，赢得了社会各界的高度赞誉，先后荣获“四川企业100强”、“最佳城市商业银行”、“最佳金融服务城商行”、“最佳优质服务银行”、“最佳民生金融奖”、“银行科技发展奖”、“最具社会责任金融机构奖”、“百姓最信得过的银行品牌”等荣誉称号。",ir@bocd.com.cn,"本行的主要业务包括公司银行业务,个人银行业务,资金业务等.",王晖,四川,361225.13,罗铮,19970508,www.bocd.com.cn,成都银行,2018,SHSE,SHSE,银行,10320,-,区域性银行,10320020,42841392000,16.98,15.56,¥11.88,金融服务,103,0.08,3000000,32009600,0.99,10000.0,3000000,0.99,0.99,1.0,11.88,8.15,10.1,17.62,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751921
300316,2020Q4_1751867,浙江省杭州市余杭区五常街道创智一号2号楼,晶体生长炉、半导体材料制备设备、机电设备制造、销售；进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),曹建伟,绍兴市,公司是一家以“发展绿色智能高科技制造产业”为使命的高端半导体装备和LED衬底材料制造的高新技术企业。公司主营产品为全自动单晶生长炉、多晶硅铸锭炉、区熔硅单晶炉、单晶硅滚圆机、单晶硅截断机、全自动硅片抛光机、双面研磨机、单晶硅棒切磨复合加工一体机、多晶硅块研磨一体机、叠片机、蓝宝石晶锭、蓝宝石晶片、LED灯具自动化生产线等。公司产品主要应用于太阳能光伏、集成电路、LED、工业4.0等具有较好市场前景的新兴产业。公司拥有多家子公司和研发中心，其中一个海外研发中心，拥有工业4.0方向的省级重点研究院、省级晶体装备研究院等研究平台、博士后工作站。,jsjd@jsjd.cc,"专注于拥有自主品牌的晶体硅生长设备及其控制系统的研发,制造和销售.本公司的主要产品包括全自动单晶硅生长炉,多晶硅铸锭炉及单晶硅生长炉控制系统.",何俊,浙江,128568.94,陆晓雯,20061214,www.jsjd.cc,晶盛机电,2013,SZSE,SZSE,半导体,31130,-,半导体仪器和材料,31130010,66206912000,65.55,77.11,¥51.62,科技,311,0.08,1000000,30080000,0.93,10000.0,1000000,0.93,0.93,1.0,34.39,27.26,30.32,70.25,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751867
