symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
FSRV,2021Q1_1509196,FinServ Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,2961625000,2.04,16.16,$14.52,金融服务,103,4.72,1506487,19734000,1.37,10000.0,1506487,1.37,1.37,1,19.09,12.58,15.51,-6.38,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509196
WPF,2021Q1_1509198,Foley Trasimene Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,8165135000,-3.85,-12.79,$9.75,金融服务,103,1.28,1660000,16666000,1.16,10000.0,1660000,1.16,1.16,1,12.88,9.96,10.83,-9.97,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509198
SPNV,2021Q1_1509226,Supernova Partners Acquisition Co Inc,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,3227888000,-0.5,-9.73,$9.93,金融服务,103,2.43,1224000,12375000,0.86,10000.0,1224000,0.86,0.86,1,12.15,10.02,10.96,-9.4,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509226
GPRO,2021Q1_1509202,GoPro Inc,0,NAS,硬件,31120,-,消费类电子产品,31120030,10054011000,-10.97,22.46,$10.14,科技,311,0.66,1016800,11836000,0.82,10000.0,1016800,0.82,0.82,1,13.54,7.45,9.42,7.64,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509202
XOG,2021Q1_1509194,Extraction Oil & Gas Inc,0,NAS,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,8050929000,20.95,0.0,$48.26,能源,309,1.17,300986,10818000,0.75,10000.0,300986,0.75,0.75,1,35.95,26.96,32.54,48.31,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509194
CPRI,2021Q1_1509182,Capri Holdings Ltd,0,NYSE,服饰加工,10240,-,服装加工,10240020,49116602000,-6.34,19.52,$50.20,周期性消费,102,0.13,191000,9740000,0.68,10000.0,191000,0.68,0.68,1,56.64,40.59,47.08,6.63,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509182
GANX,2021Q1_1509201,Gain Therapeutics Inc,0,NAS,生物科技,20610,-,生物科技,20610010,721809000,-33.33,0.0,$9.40,医疗保健,206,4.6,546560,8155000,0.57,10000.0,546560,0.57,0.57,1,14.92,11.2,13.12,-28.35,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509201
RTP,2021Q1_1509221,Reinvent Technology Partners,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,5539096000,-1.58,-14.01,$9.94,金融服务,103,0.78,670200,6802000,0.47,10000.0,670200,0.47,0.47,1,15.7,10.1,12.16,-18.26,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509221
DGNR,2021Q1_1509192,Dragoneer Growth Opportunities Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,5555817000,-1.68,-24.87,$9.97,金融服务,103,0.76,654500,6643000,0.46,10000.0,654500,0.46,0.46,1,14.7,10.1,12.13,-17.81,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509192
RTPYU,2021Q1_1509218,Reinvent Technology Partners Y,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-0.87,0.0,$10.23,金融服务,103,0.0,500000,5020000,0.35,10000.0,500000,0.35,0.35,1,10.17,9.93,10.06,1.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509218
NGAC,2021Q1_1509211,NextGen Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,3013405000,0.51,-1.19,$9.95,金融服务,103,0.92,432200,4288000,0.3,10000.0,432200,0.3,0.3,1,13.89,9.92,10.85,-8.29,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509211
HEC,2021Q1_1509205,Hudson Executive Investment Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,3267913000,-15.14,-21.18,$8.52,金融服务,103,0.75,390500,3873000,0.27,10000.0,390500,0.27,0.27,1,12.1,9.91,10.88,-21.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509205
FSRXU,2021Q1_1509197,Finserv Acquisition Corp II,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,0.6,0.0,$10.08,金融服务,103,0.0,315000,3140000,0.22,10000.0,315000,0.22,0.22,1,11.12,9.92,10.33,-2.42,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509197
