symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
000661,2020Q4_1749013,吉林省长春市同志街2400号火炬大厦5层,高新技术产品的开发、生产、销售及服务基础设施的开发建设、新药开发、技术转让、咨询服务；物业管理；高新成果转让及中介服务；商业供销业(国家有专项限制经营的商品除外)；餐饮、娱乐、旅馆(办时需许可)；培训；集中供热；产业投资(医药产业)(以上各项仅限分公司、子公司持证经营)。绿化景观工程设计、施工及维护、企业营销策划、广告策划、社会经济信息咨询、房地产中介服务、房屋销售代理(仅限分支机构持证经营)；企业管理咨询(以上各项国家法律法规禁止的不得经营；应经专项审批的项目未获得批准之前不得经营)*,马骥,长春市,公司于1993年6月成立，是东北地区最早的一批上市公司之一。公司主营业务以生物制药、中成药生产及销售为主，辅以房地产开发、物业管理等。上市多年来，公司凝炼并秉持“创新、专注、包容、共享”的发展理念，坚持以科技创新为源动力，主导产业成功实现由服务于开发区基础设施建设向生物制药及健康产业的转型，随着医药产业项目的成功孵化并壮大，支撑了经营业绩的快速增长，目前公司已成为国内生物医药领域具有一定技术领先优势的上市公司。,zds000661@163.com;zds@ccht.jl.cn;000661@ccht.jl.cn,"主要产品:基因重组人生长素,血栓心脉宁,冠脉宁.",姜云涛,吉林,40472.03,张德申,19930610,www.ccht.jl.cn,长春高新,2013,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,156738684000,-12.65,-12.45,¥379.59,医疗保健,206,0.22,874200,392433100.0,3.1,10000.0,874200,3.1,3.1,1.0,503.22,329.98,412.5,-7.98,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749013
603317,2020Q4_1749067,四川省成都市双流区西航港街道腾飞一路333号,食品、调味料研发、生产及销售；仓储服务；销售机械设备；软件设计、开发和销售；农产品初加工及销售；中央厨房；肉制品、水产品、蔬菜制品、蔬菜初加工品(净菜)的生产及销售；食品检验及咨询服务；企业管理咨询；商务服务业；第二类增值电信业务中的信息服务业务；互联网商品销售；餐饮服务；预包装食品(含冷藏冷冻食品)、散装食品销售、热食类食品制售；速冻食品的生产及销售；普通货运；货物专用运输(冷藏保鲜)；从事货物进出口与技术进出口的对外贸易经营。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,邓文,成都市,公司是中国调味品协会理事单位、农业产业化国家重点龙头企业。自成立以来，公司一直致力于川味复合调味料的研发、生产和销售，现已自主研发出“大红袍”、“好人家”、“天车”、“羊羊羊”四大系列畅销全国并远销海外的产品。其中，“大红袍”、“好人家”牌川味复合调味料获“四川名牌产品”称号；“天车”商标被中华人民共和国商务部认定为“中华老字号”。公司历来注重规范管理，并先后通过了ISO9001质量管理体系认证、ISO22000食品安全管理体系认证、ISO14001环境管理体系认证以及OHSAS18001职业健康安全管理体系认证。公司是火锅底料、辣椒酱国家标准的起草单位之一，也参与了川式复合调味料、川式佐餐调味料等地方标准的起草。规范的管理、持续的创新也促进了销售的稳定增长。目前公司已在全国三十多个省市自治区建立了完善的销售网络，并在重要区域设置了办事处。随着销售网络全球化战略的实施，产品已远销美国、英国、加拿大、澳大利亚等国家。,dsh@teway.cn,"主营业务为川味复合调味料的研发,生产和销售,主要产品包括火锅底料,川菜调料,香肠腊肉调料等三大产品系列.",邓文,四川,75653.33,何昌军,20070302,www.teway.cn,天味食品,2019,SHSE,SHSE,农副加工食品,20525,-,加工食品,20525040,23986447000,-8.98,-53.15,¥31.30,非周期性消费,205,0.48,3600000,245748700.0,1.94,10000.0,3600000,1.94,1.94,1.2,68.53,45.67,53.58,-41.58,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749067
603658,2020Q4_1749069,河南省郑州市经济技术开发区经开第十五大街199号,许可项目：第三类医疗器械生产；第三类医疗器械经营；第二类医疗器械生产；货物进出口；技术进出口；道路货物运输(不含危险货物)；国际道路货物运输。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)一般项目：第二类医疗器械销售；第一类医疗器械生产；第一类医疗器械销售；工程和技术研究和试验发展；生物化工产品技术研发；实验分析仪器制造；实验分析仪器销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；医疗设备租赁；非居住房地产租赁；办公设备销售；办公设备耗材销售；计算机软硬件及辅助设备零售；信息系统集成服务；塑料制品制造；专用化学产品制造(不含危险化学品)；新型有机活性材料销售。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动),杨增利,郑州市,公司专业从事体外诊断试剂及仪器的研发、生产和销售，形成了以免疫诊断产品为主、微生物检测产品特色发展的格局，产品品种齐全，能够为临床诊断提供一系列解决方案。公司产品覆盖了传染病到非传染病应用的各类检测领域，能够满足终端用户的各种检测需求。试剂品种涉及传染病、肿瘤、生殖内分泌、甲状腺功能、肝纤维化、优生优育、糖尿病、高血压、心脏病、泌尿生殖道疾病、呼吸系统疾病以及细菌分离培养、鉴定和药敏分析等多个检测领域。此外，公司一直坚持试剂与仪器共同发展，相关配套仪器涵盖了化学发光免疫分析仪、酶标仪、洗板机、联检分析仪、全自动样品处理系统、全自动化学发光测定仪等产品。公司努力打造具有全球品牌影响力的体外诊断产业公司。,autobio@autobio.com.cn,"主营业务:专业从事体外诊断试剂及仪器的研发,生产和销售,形成了以免疫诊断产品为主,微生物检测产品特色发展的格局.主要产品有:免疫诊断产品,微生物检测产品,仪器.",杨增利,河南,58627.23,房瑞宽,19990915,www.autobio.com.cn,安图生物,2018,SHSE,SHSE,医疗诊断和研究,20660,-,诊断和研究,20660010,41192968000,-21.69,-36.12,¥67.35,医疗保健,206,0.22,1300000,145177400.0,1.15,10000.0,1300000,1.15,1.15,1.3,137.08,108.46,120.39,-44.06,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749069
300015,2020Q4_1749026,湖南省长沙市芙蓉中路二段198号新世纪大厦4楼,眼科医院的投资和医院经营管理服务(不得从事吸收存款、集资收款、受托贷款、发行票据、发放贷款等国家金融监管及财政信用业务)；眼科医疗技术的研究，远程医疗软件的研发、生产、销售；眼科、内科、麻醉科、检验科、影视像科、验光配镜；三类医疗器械销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动),陈邦,长沙市,公司是我国最大规模的眼科医疗机构，致力于引进国际一流的眼科技术与管理方法，以专业化、规模化、科学化为发展战略，联合国内外战略合作伙伴，共同推动中国眼科医疗事业的发展。利用人才、技术和管理等方面的优势，公司通过全国各连锁医院良好的诊疗质量、优质的医疗服务和深入的市场推广，使自身的市场影响力和渗透力得到迅速的提升，也使公司成为具有全国影响力的眼科品牌。,zhengquanbu@yeah.net,"主营业务:各类眼科疾病诊疗,手术服务与医学验光配镜.",李力,湖南,540551.93,吴士君,20030124,www.aierchina.com,爱尔眼科,2020,SZSE,SZSE,医疗机构和服务,20645,-,医疗机构,20645010,358200558000,45.68,16.23,¥65.09,医疗保健,206,0.04,2030055,117253900.0,0.93,10000.0,2030055,0.93,0.93,1.29658,35.56,23.36,28.91,125.15,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749026
603605,2020Q4_1749068,浙江省杭州市西湖区西溪路588号珀莱雅大厦,许可项目：消毒剂生产(不含危险化学品)；化妆品生产；货物进出口；保健食品销售；食品生产；保健食品生产；食品经营；用于传染病防治的消毒产品生产；卫生用品和一次性使用医疗用品生产(依法须经批准的项目、经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。一般项目：化妆品批发；化妆品零售；个人卫生用品销售；消毒剂销售(不含危险化学品)；日用百货销售；日用品零售；日用化学产品制造；化工产品销售(不含许可类化工产品)；机械设备销售；仪器仪表销售；五金产品批发；五金产品零售；卫生用品和一次性使用医疗用品销售；第一类医疗器械生产；第一类医疗器械销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；物业管理；企业管理；普通货物仓储服务(不含危险化学品等需许可审批的项目)；住房租赁(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,侯军呈,杭州市,公司是一家美妆企业，专注于化妆品的研发、生产和销售。目前旗下拥有“珀莱雅”、“优资莱”、“韩雅”、“悠雅”、“猫语玫瑰”等品牌，产品覆盖护肤品、彩妆、清洁洗护、香薰等化妆品领域，满足不同年龄、偏好的消费者需求；构建了覆盖日化专营店、百货商场、超市和电子商务的多渠道销售网络。公司主品牌“珀莱雅”，旗下包括“早晚水漾系列”、“肌密系列”、“深海致臻系列”、“海洋防晒系列”等多个系列多款产品。产品品牌的差异化定位覆盖了宽年龄段、宽收入区间、多层次的客户群。公司产品侧重于大众护肤品，营销网络重点布局国内二三线城市，根据产品品牌市场定位、特点建立了以日化专营店渠道、电商渠道和商超渠道为主的营销网络。,proyazq@proya.com,"主要业务:公司自设立以来专注于化妆品的研发,生产和销售.主要产品:公司主品牌“珀莱雅”,旗下包括“早晚水漾系列”,“肌密系列”,“深海致臻系列”,“海洋防晒系列”等多个系列多款产品.",方玉友,浙江,20111.69,张叶峰,20060524,www.proya-group.com,珀莱雅,2018,SHSE,SHSE,农副加工食品,20525,-,家庭生活用品,20525030,36487425000,5.0,3.49,¥180.80,非周期性消费,205,0.31,619900,110344000.0,0.87,10000.0,619900,0.87,0.87,1.0,189.22,137.0,167.08,8.21,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749068
002773,2020Q4_1749018,四川省成都市金牛区蜀西路36号,药品和医疗器械的研发、生产、销售及社会经济信息咨询；货物及技术进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动),柯尊洪,成都市,公司是一家致力于中成药、化学药及生物制品的研发、生产、销售及售后服务的医药集团。公司秉承“康平盛世、弘济众生”的宗旨，致力于“研发、制造、销售及传播专业创新的医药产品和知识，从根本上去改善患者个人体能和社会医疗效能，促进人类健康事业的进步”的企业宗旨；始终坚持“以临床需求为导向，在核心治疗领域，深入研究、专业创新、专业服务”的经营理念；坚持专业与创新相结合的发展战略，以技术创新为主线推动研发、生产和销售三大板块，持续专注于医药行业，致力于生物制品、中成药及化学药的研发、生产和销售，专业创新、专业服务。,khdm@cnkh.com,"公司主要从事中成药,化学药(合成原料药和药物制剂)及生物制品(分子治疗药物)的研发,生产和销售,传播专业创新的医药产品知识.",柯潇,四川,91946.4,钟建军,19961003,www.cnkh.com,康弘药业,2016,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,19713307000,8.41,-55.53,¥21.50,医疗保健,206,0.17,1600000,77040000.0,0.61,10000.0,1600000,0.61,0.61,1.0,51.2,39.85,45.27,-52.51,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749018
002507,2020Q4_1749017,重庆市涪陵区江北街道办事处二渡村一组,生产、加工、销售：蔬菜制品(酱腌菜、其他蔬菜)；其他水产加工品(水产调味品)；普通货运；批发兼零售：预包装食品、散装食品；以下经营范围限分公司经营：生产、加工调味料；榨菜原料收购、仓储；企业生产产品出口。[依法须经批准的项目，经相关部门批准后方可开展经营活动],周斌全,重庆市,公司是一家以榨菜为根本，立足于佐餐开胃菜领域快速发展的农业产业化企业集团，是农业产业化国家重点龙头企业。公司产品畅销沃尔玛、家乐福、大润发等全球知名连锁卖场、全国各大超市、便利店、农贸市场等零售终端。旗下“乌江”牌榨菜先后获得“中国名牌产品”、“重庆市名牌农产品”等荣誉。乌江产品先后通过了原产地标记注册、IOS22000：2005食品安全管理体系认证、ISO9001：2008国际质量管理体系认证、HACCP和QS认证、美国“FDA认证”。公司致力于为消费者提供绿色、健康、美味的开胃小菜，立志成为中国佐餐开味菜行业的领导者和大型航母，引领行业跨入工业化和现代化。,xiezj@flzc.com;weiys@flzc.com,"主营业务为榨菜产品,榨菜酱油和其他佐餐开胃菜等方便食品的研制,生产和销售.主导产品为乌江牌系列榨菜.",赵平,重庆,88763.0,韦永生,19880430,www.flzc.com,涪陵榨菜,2017,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,30523918000,-11.09,-18.49,¥33.73,非周期性消费,205,0.17,1500000,63449800.0,0.5,10000.0,1500000,0.5,0.5,1.0,51.62,36.67,42.45,-20.54,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749017
688063,2020Q4_1749080,上海市中国(上海)自由贸易试验区祖冲之路887弄72号,锂电池以及其他类型电池的研发、销售以及技术咨询、技术服务，光通信用备用电源的设计、销售，以及相关技术咨询和技术服务，从事货物与技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,韦在胜,上海市,"公司是行业领先的储能电池系统提供商，专注于磷酸铁锂电芯、模组及储能电池系统的研发、生产和销售。公司产品可广泛应用于电力系统的发、输、配、用等环节以及通信基站和数据中心等场景,公司在全球电化学储能市场中具有较高品牌知名度和较强市场竞争力,2019年公司自主品牌家用储能产品出货量约占全球出货总量的8.5%，位居全球第三名。2019年公司以自主品牌和贴牌方式销售家用储能产品共计366MWh，约占全球出货总量的12.2%。报告期内公司连续荣获中国国际储能大会、中国储能网颁发的“中国储能产业最佳储能电池供应商”、“中国储能产业最具影响力企业”和“中国储能产业最佳系统集成解决方案供应商”等奖项。",ir@pylontech.com.cn,"专注于磷酸铁锂电芯,模组及储能电池系统的研发,生产和销售.",谈文,上海,15484.45,叶文举,20091028,www.pylontech.com.cn,派能科技,0,SHSE,SHSE,硬件,31120,-,电子元件,31120040,34801445000,48.99,-13.0,¥208.36,科技,311,0.0,5500,1040599.9999999999,0.01,10000.0,5500,0.01,0.01,1.0,258.62,258.62,258.62,-19.43,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749080
688256,2020Q4_1749083,"北京市海淀区知春路7号致真大厦D座11-14层,16-17层",技术开发、技术推广、技术转让、技术咨询、技术服务；技术进出口、货物进出口；计算机系统服务；软件开发；销售计算机软件及辅助设备。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),陈天石,北京市,公司自成立以来一直专注于人工智能芯片产品的研发与技术创新，致力于打造人工智能领域的核心处理器芯片，让机器更好地理解和服务人类。公司核心人员在处理器芯片和人工智能领域深耕十余年，带领公司研发了智能处理器指令集与微架构等一系列自主创新关键技术。经过不断的研发积累，公司产品在行业内赢得高度认可，广泛应用于消费电子、数据中心、云计算等诸多场景。采用公司终端智能处理器IP的终端设备已出货过亿台；云端智能芯片及加速卡也已应用到国内主流服务器厂商的产品中，并已实现量产出货；边缘智能芯片及加速卡的发布标志着公司已形成全面覆盖云端、边缘端和终端场景的系列化智能芯片产品布局。,IR@cambricon.com;gengliwei@cambricon.com,"主要产品包括终端智能处理器IP,云端智能芯片及加速卡,边缘智能芯片及加速卡以及与上述产品配套的基础系统软件平台.主营业务是应用于各类云服务器,边缘计算设备,终端设备中人工智能核心芯片的研发,设计和销售,为客户提供丰富的芯片产品与系统软件解决方案.",陈天石,北京,40010.0,叶淏尹,20160315,www.cambricon.com,寒武纪,0,SHSE,SHSE,软件,31110,-,软件应用,31110020,47179419000,-9.37,-18.93,¥120.66,科技,311,0.0,9000,1286400.0,0.01,10000.0,9000,0.01,0.01,1.0,281.5,137.01,183.49,-34.24,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749083
688408,2020Q4_1749084,,,,,,,,,,,,,,中信博,0,SHSE,SHSE,半导体,31130,-,太阳能,31130030,31095722000,74.99,32.66,¥235.99,科技,311,0.0,4500,714400.0,0.01,10000.0,4500,0.01,0.01,1.0,187.25,77.8,133.72,76.48,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749084
