symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
NSIT,2021Q1_1518323,Insight Enterprises Inc,0,NAS,软件,31110,-,软件和信息技术服务,31110010,22058127000,-5.3,26.94,$96.59,科技,311,3.11,1100000,104962000,1.23,10000.0,1100000,1.23,1.23,1,98.25,75.28,85.69,12.72,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1518323
BLD,2021Q1_1518329,TopBuild Corp,0,NYSE,建筑,31040,-,土木工程和建筑,31040010,39808251000,-19.14,1.17,$186.23,工业,310,0.67,221770,46445000,0.54,10000.0,221770,0.54,0.54,1,223.4,180.59,203.51,-8.49,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1518329
OUT,2021Q1_1518326,Outfront Media Inc,2020,NYSE,房地产信托投资基金,10420,-,REIT - 特种,10420080,21956466000,-0.09,19.38,$23.35,房地产,104,0.11,157448,3437000,0.04,10000.0,157448,0.04,0.04,1,24.48,17.16,20.72,12.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1518326
FISV,2021Q1_1518322,费哲,0,NAS,软件,31110,-,软件和信息技术服务,31110010,474076783000,-11.73,-2.69,$110.80,科技,311,0.13,860000,102374000,1.19,161.97,531719,0.74,0.74,1,124.13,102.69,114.68,-3.38,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 161.97 %,2021Q1_1518322
LKQ,2021Q1_1518325,LKQ Corp,0,NAS,汽车和配件,10200,-,汽车配件,10200030,97622156000,12.77,41.8,$49.97,周期性消费,102,7.13,21547746,912116000,10.65,0.0,0,0.0,0.0,1,43.76,34.72,39.3,27.15,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1518325
CBRE,2021Q1_1518320,CBRE Group Inc,0,NYSE,房地产,10410,-,房地产服务,10410020,181211161000,2.1,33.13,$83.50,房地产,104,3.05,10229820,809281000,9.45,0.0,0,0.0,0.0,1,80.57,59.42,70.72,18.07,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1518320
BHC,2021Q1_1518318,Bausch Health Companies Inc,0,NYSE,医药制造,20620,-,专用医药制造,20620020,66301499000,-6.11,36.78,$28.45,医疗保健,206,5.01,17941603,569466000,6.65,0.0,0,0.0,0.0,1,34.38,21.37,29.36,-3.1,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1518318
CBAH.WS,2021Q1_1518319,CBRE Acquisition Holdings Inc,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,0.0,0.0,1.9,金融服务,103,0.0,18417,17000,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1518319
TRN,2021Q1_1518330,Trinity Industries Inc,2003,NYSE,交通运输,31080,-,铁路运输,31080030,18718980000,-7.13,2.73,$26.48,工业,310,21.13,23105855,658286000,7.68,-14.44,-3900000,-1.19,1.19,1,32.96,26.23,29.44,-10.05,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 14.44 %,2021Q1_1518330
KKR,2021Q1_1518324,KKR & Co Inc,2019,NYSE,资产管理,10310,-,资产管理,10310010,221250941000,11.42,45.96,$58.82,金融服务,103,5.43,31584672,1542911000,18.01,-16.99,-6465328,-3.04,3.04,1,49.35,37.56,44.8,31.29,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 16.99 %,2021Q1_1518324
SLM,2021Q1_1518328,学贷美,2019,NAS,信贷,10360,-,信贷服务,10360010,41232334000,7.13,63.92,$20.25,金融服务,103,8.34,26294254,472508000,5.51,-18.58,-6000000,-0.86,0.86,1,18.11,12.09,15.16,33.58,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 18.58 %,2021Q1_1518328
C,2021Q1_1518321,花旗,2011,NYSE,银行,10320,-,多元化银行,10320010,896987936000,-4.94,12.67,$68.45,金融服务,103,1.07,21723719,1580401000,18.44,-19.62,-5301781,-3.79,3.79,1,75.18,57.99,66.7,2.62,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 19.62 %,2021Q1_1518321
STX,2021Q1_1518327,希捷,2011,NAS,硬件,31120,-,计算机硬件,31120020,127483149000,6.75,40.75,$86.15,科技,311,10.05,23011223,1766111000,20.61,-23.67,-7135450,-5.15,5.15,1,77.98,58.72,69.63,23.73,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 23.67 %,2021Q1_1518327
MS,2021Q1_1518861,摩根士丹利,2010,NYSE,资本市场,10330,-,资本市场,10330010,1114305686000,15.05,36.19,$92.63,金融服务,103,0.0,0,0,0.0,-10000.0,-8283722,-6.58,6.58,1,84.34,67.05,76.61,20.91,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1518861
CDW,2021Q1_1518862,CDW Corp,2013,NAS,软件,31110,-,软件和信息技术服务,31110010,158961435000,-2.8,33.67,$175.36,科技,311,0.0,0,0,0.0,-10000.0,-368116,-0.56,0.56,1,167.9,127.16,149.4,17.38,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1518862
