symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
PINS,2021Q1_535510,Pinterest Inc,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,288152365000,-17.06,6.27,$70.03,通信服务,308,0.99,6273376,464418000,0.26,1479469.81,6272952,0.26,0.26,1.0,89.15,62.49,74.53,-6.04,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1479469.81 %,2021Q1_535510
SNAP,2021Q1_535564,Snap Inc,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,614062246000,-5.31,20.83,$60.50,通信服务,308,0.32,5041675,263629000,0.15,244641.5,5039615,0.15,0.15,1.0,70.45,48.95,57.54,5.14,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 244641.50 %,2021Q1_535564
SPT,2021Q1_535571,Sprout Social Inc,0,NAS,软件,31110,-,软件应用,31110020,28600577000,29.59,81.9,$82.60,科技,311,1.36,730373,42186000,0.02,128713.58,729806,0.02,0.02,1.0,81.58,47.23,62.95,31.22,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 128713.58 %,2021Q1_535571
CPNG,2021Q1_535335,Coupang Inc,0,NYSE,零售,10280,-,网络零售,10280050,472942655000,-7.75,0.0,$42.25,周期性消费,102,1.27,22054023,1088366000,0.61,10000.0,22054023,0.61,0.61,1.0,50.45,43.29,46.22,-8.59,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535335
BNTX,2021Q1_535281,BioNTech SE,0,NAS,生物科技,20610,-,生物科技,20610010,345227047000,57.11,171.2,$221.08,医疗保健,206,2.79,6738012,735723000,0.41,10000.0,6738012,0.41,0.41,1.0,119.5,85.73,106.38,107.82,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535281
AFRM,2021Q1_535227,Affirm Holdings Inc,0,NAS,软件,31110,-,软件和信息技术服务,31110010,98467075000,-16.34,0.0,$57.45,科技,311,3.09,8179944,578486000,0.32,10000.0,8179944,0.32,0.32,1.0,139.99,66.39,97.7,-41.2,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535227
IAC,2021Q1_535408,IAC/InterActiveCorp,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,78572363000,-18.38,8.21,$136.32,通信服务,308,1.86,1660165,359110000,0.2,10000.0,1660165,0.2,0.2,1.0,263.29,186.94,228.07,-40.23,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535408
SANA,2021Q1_535547,Sana Biotechnology Inc,0,NAS,生物科技,20610,-,生物科技,20610010,21498594000,-27.57,0.0,$17.73,医疗保健,206,5.32,9987545,334284000,0.19,10000.0,9987545,0.19,0.19,1.0,43.5,23.04,32.75,-45.86,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535547
OSCR,2021Q1_535496,奥斯卡健康,0,NYSE,医疗计划,20630,-,医疗计划,20630010,25993563000,-22.99,0.0,$19.40,医疗保健,206,5.91,12264921,329682000,0.18,10000.0,12264921,0.18,0.18,1.0,36.77,25.23,31.3,-38.02,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535496
LI,2021Q1_535447,理想汽车,0,NAS,汽车和配件,10200,-,汽车制造,10200020,181200525000,57.42,7.46,$30.98,周期性消费,102,1.01,9176168,229404000,0.13,10000.0,9176168,0.13,0.13,1.0,36.75,21.33,28.96,6.98,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535447
COUR,2021Q1_535336,Coursera Inc,0,NYSE,教育,20540,-,教育培训服务,20540010,34044143000,-18.21,0.0,$38.81,非周期性消费,205,2.42,3289132,148011000,0.08,10000.0,3289132,0.08,0.08,1.0,45.0,45.0,45.0,-13.76,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535336
CHPT,2021Q1_535311,ChargePoint Holdings Inc,0,NYSE,零售,10280,-,特种零售,10280060,52210780000,-17.84,-36.8,$26.80,周期性消费,102,1.31,4000000,106800000,0.06,10000.0,4000000,0.06,0.06,1.0,44.5,20.21,33.82,-20.76,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535311
PLD,2021Q1_535515,Prologis Inc,2009,NYSE,房地产信托投资基金,10420,-,REIT - 工厂,10420030,607106679000,13.53,28.63,$126.93,房地产,104,0.08,599500,63547000,0.04,10000.0,599500,0.04,0.04,1.0,107.76,93.91,101.99,24.45,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_535515
