symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
CHS,2021Q1_642701,Chico's FAS Inc,2021,NYSE,零售,10280,-,服装零售,10280010,4816076000,92.41,282.39,$6.08,周期性消费,102,1.67,2045814,6772000,0.05,18745.01,2034958,0.05,0.05,1.0,3.68,1.68,2.63,131.18,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 18745.01 %,2021Q1_642701
IMKTA,2021Q1_642954,安格莱斯市场,2017,NAS,零售 - 防守型,20550,-,杂货店,20550030,7294806000,-5.02,40.4,$59.40,非周期性消费,205,3.42,649091,40016000,0.27,10000.0,649091,0.27,0.27,1.0,64.39,41.57,52.31,13.55,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_642954
WCC,2021Q1_643454,西科国际,0,NYSE,工业分销,31060,-,工业分销,31060010,32792045000,17.96,28.84,$101.14,工业,310,0.63,318111,27526000,0.19,10000.0,318111,0.19,0.19,1.0,93.23,75.98,84.1,20.26,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_643454
CHK,2021Q1_642699,切萨皮克能源,0,NAS,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,32109047000,10.55,0.0,$50.72,能源,309,0.55,536000,23257000,0.16,10000.0,536000,0.16,0.16,1.0,47.25,41.6,44.03,15.19,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_642699
CMC,2021Q1_642725,美国工商五金公司,1987,NYSE,钢铁和焦煤,10160,-,钢铁,10160020,24060086000,5.23,52.0,$30.86,基础材料,101,0.65,781211,24093000,0.16,10000.0,781211,0.16,0.16,1.0,31.74,19.69,24.72,24.84,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_642725
KIRK,2021Q1_643005,Kirklands家具,2018,NAS,零售,10280,-,特种零售,10280060,1867884000,-28.1,13.37,$20.27,周期性消费,102,5.13,731499,20555000,0.14,10000.0,731499,0.14,0.14,1.0,30.88,16.61,24.97,-18.82,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_643005
CRS,2021Q1_642676,卡朋特科技,2004,NYSE,工业制品,31070,-,金属加工,31070030,11891950000,-7.78,32.97,$38.32,工业,310,1.02,489554,20145000,0.14,10000.0,489554,0.14,0.14,1.0,47.54,28.09,37.95,0.97,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_642676
NVT,2021Q1_643496,nVent Electric PLC,2018,NYSE,工业制品,31070,-,电子器械和零件,31070060,32814691000,4.4,31.56,$30.29,工业,310,0.4,673475,18797000,0.13,10000.0,673475,0.13,0.13,1.0,29.93,22.15,25.61,18.27,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_643496
SKX,2021Q1_643315,斯凯奇,0,NYSE,服饰加工,10240,-,鞋类和饰品,10240030,48718224000,9.83,35.25,$48.61,周期性消费,102,0.3,463422,19329000,0.13,10000.0,463422,0.13,0.13,1.0,43.0,34.48,37.73,28.84,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_643315
OCDX,2021Q1_643497,Ortho Clinical Diagnostics Holdings PLC,0,NAS,医疗诊断和研究,20660,-,诊断和研究,20660010,31136293000,12.51,0.0,$20.50,医疗保健,206,0.39,919000,17732000,0.12,10000.0,919000,0.12,0.12,1.0,20.07,15.88,17.62,16.35,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_643497
