symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
VVV,2021Q1_1331324,Valvoline Inc,2017,NYSE,石油与天然气,30910,-,石油与天然气 - 精炼与营销,30910050,36431467000,15.84,35.65,$31.14,能源,309,4.22,7647450,199369000,6.51,10000.0,7647450,6.51,6.51,1,26.78,22.75,24.93,24.91,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1331324
AR,2021Q1_1331305,Antero Resources Corp,0,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,28497715000,47.69,157.98,$14.06,能源,309,0.48,1500000,15300000,0.5,10000.0,1500000,0.5,0.5,1,10.56,5.65,8.48,65.8,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1331305
DLTR,2021Q1_1331312,美元树,0,NAS,零售 - 防守型,20550,-,折扣店,20550010,147990221000,-15.67,-8.66,$98.68,非周期性消费,205,0.65,1510911,172939000,5.65,54.96,535890,2.0,2.0,1,116.23,98.2,107.46,-8.17,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 54.96 %,2021Q1_1331312
UNH,2021Q1_1331323,联合健康,1990,NYSE,医疗计划,20630,-,医疗计划,20630010,2562938436000,8.07,20.55,$420.05,医疗保健,206,0.03,246430,91689000,2.99,51.08,83316,1.01,1.01,1,379.06,324.34,346.21,21.33,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 51.08 %,2021Q1_1331323
ANTM,2021Q1_1331306,Anthem Inc,2011,NYSE,医疗计划,20630,-,医疗计划,20630010,626619257000,6.62,24.07,$396.12,医疗保健,206,0.48,1163729,417720000,13.64,50.91,392594,4.6,4.6,1,371.31,287.7,321.08,23.37,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 50.91 %,2021Q1_1331306
PGR,2021Q1_1331319,美国前进保险公司,2017,NYSE,保险,10340,-,财产保险,10340020,359059919000,-5.33,0.88,$94.95,金融服务,103,0.41,2390387,228545000,7.46,44.87,740387,2.31,2.31,1,98.79,85.13,90.79,4.58,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 44.87 %,2021Q1_1331319
PRI,2021Q1_1331318,Primerica Inc,2010,NYSE,保险,10340,-,人身保险,10340010,37209166000,-6.84,9.74,$146.03,金融服务,103,4.79,1888591,279171000,9.12,13.09,218581,1.06,1.06,1,157.05,129.88,143.38,1.85,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 13.09 %,2021Q1_1331318
MAR,2021Q1_1331316,万豪,2020,NAS,旅游和娱乐,10290,-,寄宿,10290030,293768782000,-6.47,5.77,$139.53,周期性消费,102,0.0,3223,477000,0.02,11.25,326,0.0,0.0,1,157.5,116.31,136.42,2.28,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 11.25 %,2021Q1_1331316
AON,2021Q1_1331307,怡安保险,2003,NYSE,保险,10340,-,保险中介,10340050,337390477000,-2.0,9.92,$231.26,金融服务,103,0.68,1529149,351873000,11.49,2.1,31515,0.24,0.24,1,233.7,202.13,220.25,5.0,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 2.10 %,2021Q1_1331307
CMCSA,2021Q1_1331310,康卡斯特,2008,NAS,传媒,30820,-,娱乐,30820040,1721369183000,7.5,11.98,$57.95,通信服务,308,0.0,31094,1682000,0.05,0.0,0,0.0,0.0,1,58.04,48.42,52.83,9.69,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1331310
GOOG,2021Q1_1331302,谷歌,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,11184424851000,14.31,49.86,$2625.33,通信服务,308,0.0,524,1084000,0.04,0.0,0,0.0,0.0,1,2128.31,1728.24,1986.11,32.18,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1331302
MCO,2021Q1_1331317,穆迪,2001,NYSE,资本市场,10330,-,金融数据和交易所,10330020,453253244000,17.85,29.54,$374.75,金融服务,103,0.0,3279,979000,0.03,0.0,0,0.0,0.0,1,306.97,263.04,281.57,33.09,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1331317
BAC,2021Q1_1331309,美国银行,2009,NYSE,银行,10320,-,多元化银行,10320010,2130745583000,0.7,29.3,$38.83,金融服务,103,0.0,14532,562000,0.02,0.0,0,0.0,0.0,1,38.99,29.65,34.49,12.58,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1331309
AMZN,2021Q1_1331303,亚马逊,0,NAS,零售,10280,-,网络零售,10280050,11831859762000,7.46,11.49,$3631.20,周期性消费,102,0.0,69,213000,0.01,0.0,0,0.0,0.0,1,3380.0,2951.95,3171.97,14.48,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1331303
