symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
BABA,2021Q1_826256,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.04,1119994,253936000,2.32,10000.0,1119994,2.32,2.32,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_826256
Y,2021Q1_826257,Alleghany Corp,0,NYSE,保险,10340,-,财产保险,10340020,60418668000,-0.48,11.14,$670.97,金融服务,103,0.0,324,203000,0.0,10000.0,324,0.0,0.0,1,652.51,564.76,618.59,8.47,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_826257
ASHTF,2021Q1_826321,Ashtead Group PLC,2013,OTCPK,商业服务,31020,-,租赁服务,31020030,224935741000,19.03,59.54,$77.01,工业,310,0.56,2525046,150744000,1.38,365.35,1982436,1.08,1.08,1,60.66,47.16,54.42,41.51,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 365.35 %,2021Q1_826321
CABO,2021Q1_826268,Cable One Inc,2015,NYSE,通信,30810,-,电信服务,30810010,72969339000,3.87,-15.77,$1871.35,通信服务,308,1.29,77671,142011000,1.3,120.37,42425,0.71,0.71,1,2152.22,1746.06,1955.72,-4.31,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 120.37 %,2021Q1_826268
PG,2021Q1_826310,宝洁,1957,NYSE,农副加工食品,20525,-,家庭生活用品,20525030,2201205373000,2.03,1.21,$139.16,非周期性消费,205,0.0,42583,5767000,0.05,14.0,5231,0.01,0.01,1,140.16,122.15,130.43,6.69,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 14.00 %,2021Q1_826310
EVF,2021Q1_826341,Eaton Vance Senior Income Trust,2020,NYSE,资产管理,10310,-,资产管理,10310010,1640337000,2.09,8.52,$6.70,金融服务,103,0.95,360956,2393000,0.02,10.24,33533,0.0,0.0,1,6.7,6.33,6.58,1.82,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 10.24 %,2021Q1_826341
HKHHY,2021Q1_826288,Heineken Holding NV,2020,OTCPK,酒精饮料,20510,-,啤酒,20510010,188835494000,7.57,4.63,$50.75,非周期性消费,205,0.0,10750,479000,0.0,4.37,450,0.0,0.0,1,48.72,42.95,45.97,10.4,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 4.37 %,2021Q1_826288
SWZ,2021Q1_826342,瑞士赫尔维蒂基金,2019,NYSE,资产管理,10310,-,资产管理,10310010,843134000,9.01,13.48,$9.87,金融服务,103,1.7,224346,1972000,0.02,1.55,3418,0.0,0.0,1,9.34,8.68,9.01,9.54,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.55 %,2021Q1_826342
CC,2021Q1_826269,The Chemours Co,2016,NYSE,化工,10130,-,特种化学制品,10130020,36151719000,13.55,38.28,$33.78,基础材料,101,0.01,8320,232000,0.0,0.92,76,0.0,0.0,1,28.74,23.53,26.6,26.99,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.92 %,2021Q1_826269
UNP,2021Q1_826313,联合太平洋,1998,NYSE,交通运输,31080,-,铁路运输,31080030,943981656000,-0.94,6.61,$219.94,工业,310,0.0,17016,3750000,0.03,0.4,67,0.0,0.0,1,222.98,194.33,210.02,4.72,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.40 %,2021Q1_826313
TFC,2021Q1_826311,Truist Financial Corp,2010,NYSE,银行,10320,-,区域性银行,10320020,485708240000,-1.59,18.42,$55.86,金融服务,103,0.0,10555,616000,0.01,0.39,41,0.0,0.0,1,60.17,47.18,54.8,1.93,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.39 %,2021Q1_826311
XOM,2021Q1_826284,埃克森美孚,2002,NYSE,石油与天然气,30910,-,石油与天然气 - 综合,30910030,1612429743000,4.98,47.23,$58.95,能源,309,0.0,176007,9826000,0.09,0.32,568,0.0,0.0,1,61.97,41.5,52.4,12.5,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.32 %,2021Q1_826284
NSRGF,2021Q1_826336,Nestle SA,2018,OTCPK,农副加工食品,20525,-,加工食品,20525040,2285543260000,9.78,5.65,$125.13,非周期性消费,205,0.0,42370,4742000,0.04,0.0,0,0.0,0.0,1,118.88,104.32,111.26,12.47,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_826336
