symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
PSFE,2021Q1_1137398,Paysafe Ltd,0,NYSE,软件,31110,-,软件和信息技术服务,31110010,50686080000,-22.52,0.0,$10.84,科技,311,5.73,41500000,560250000,3.78,10000.0,41500000,3.78,3.78,1,13.5,13.5,13.5,-19.7,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137398
CSGP,2021Q1_1137342,科斯塔,0,NAS,房地产,10410,-,房地产服务,10410020,222993336000,-4.39,-5.52,$87.33,房地产,104,1.39,5500000,452040000,3.05,10000.0,5500000,3.05,3.05,10,93.98,75.85,86.45,1.02,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137342
UBER,2021Q1_1137429,优步,0,NYSE,软件,31110,-,软件应用,31110020,563234918000,-23.58,-8.98,$46.42,科技,311,0.36,6750000,367942000,2.48,10000.0,6750000,2.48,2.48,1,63.18,48.11,55.88,-16.93,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137429
DD,2021Q1_1137351,杜邦,2020,NYSE,化工,10130,-,特种化学制品,10130020,273697135000,3.57,12.71,$79.55,基础材料,101,0.5,2675000,206724000,1.39,10000.0,2675000,1.39,1.39,1,86.36,68.69,76.28,4.29,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137351
DELL,2021Q1_1137345,戴尔,0,NYSE,硬件,31120,-,计算机硬件,31120020,462031974000,-5.34,27.77,$93.64,科技,311,0.26,2000000,176300000,1.19,10000.0,2000000,1.19,1.19,1,91.28,71.23,80.81,15.88,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137345
SHOP,2021Q1_1137412,Shopify Inc,0,NYSE,软件,31110,-,软件应用,31110020,1165797384000,19.3,27.35,$1441.50,科技,311,0.1,120000,132780000,0.89,10000.0,120000,0.89,0.89,1,1474.0,1039.91,1212.21,18.92,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137412
SU,2021Q1_1137419,森科能源,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 综合,30910030,212248189000,3.43,31.05,$21.65,能源,309,0.4,6000000,125404000,0.85,10000.0,6000000,0.85,0.85,1,23.53,16.72,19.57,10.63,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137419
CVNA,2021Q1_1137331,Carvana Co,0,NYSE,零售,10280,-,网络零售,10280050,162805119000,10.48,29.92,$311.20,周期性消费,102,0.49,400000,104960000,0.71,10000.0,400000,0.71,0.71,1,314.84,236.27,275.92,12.79,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137331
NYT,2021Q1_1137395,纽约时报,2013,NYSE,传媒,30820,-,出版,30820020,46245551000,-12.81,-16.92,$42.81,通信服务,308,0.75,1260713,63817000,0.43,10000.0,1260713,0.43,0.43,1,56.16,46.98,50.17,-14.67,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137395
AESC,2021Q1_1137312,爱依斯,0,NYSE,公共事业 - 管制,20720,-,公共事业 - 多元化,20720040,0,-5.05,0.0,$102.57,公用事业,207,0.0,500000,51650000,0.35,10000.0,500000,0.35,0.35,1,106.8,99.51,102.47,0.1,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137312
AES,2021Q1_1137311,爱依斯,2012,NYSE,公共事业 - 管制,20720,-,公共事业 - 多元化,20720040,105882973000,-13.32,5.88,$24.58,公用事业,207,0.28,1850000,49598000,0.33,10000.0,1850000,0.33,0.33,1,28.91,22.96,26.63,-7.7,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137311
SLV,2021Q1_1137376,白银ETF-iShares,0,ARCA,-,0,-,0,0,94321115000,1.46,-0.77,$24.38,-,0,0.33,2000000,45400000,0.31,10000.0,2000000,0.31,0.31,1,26.76,22.26,24.35,0.12,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137376
JWSM.U,2021Q1_1137379,Jaws Mustang Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-1.08,0.0,$10.10,金融服务,103,0.0,4000000,40600000,0.27,10000.0,4000000,0.27,0.27,1,10.9,10.02,10.45,-3.35,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137379
RTPYU,2021Q1_1137406,Reinvent Technology Partners Y,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-0.87,0.0,$10.23,金融服务,103,0.0,4000000,40160000,0.27,10000.0,4000000,0.27,0.27,1,10.17,9.93,10.06,1.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137406
ASZ.U,2021Q1_1137321,Austerlitz Acquisition Corp II,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-0.98,0.0,$10.06,金融服务,103,0.0,4000000,40120000,0.27,10000.0,4000000,0.27,0.27,1,10.27,9.96,10.13,-0.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137321
RKT,2021Q1_1137410,Rocket Companies Inc,0,NYSE,银行,10320,-,贷款金融,10320030,226945904000,-22.32,-7.07,$17.68,金融服务,103,1.1,1500000,34635000,0.23,10000.0,1500000,0.23,0.23,1,41.6,19.35,22.33,-20.82,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137410
FTCV,2021Q1_1137359,FinTech Acquisition Corp V,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,2354012000,-14.04,0.0,$10.65,金融服务,103,8.77,3000000,33630000,0.23,10000.0,3000000,0.23,0.23,1,15.29,10.16,11.13,-4.31,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137359
GOAC,2021Q1_1137365,GO Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,4546255000,-1.81,-3.93,$9.79,金融服务,103,4.17,3000000,29550000,0.2,10000.0,3000000,0.2,0.2,1,10.73,9.69,10.26,-4.58,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137365
AVAN,2021Q1_1137323,Avanti Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,4724538000,-2.4,-5.16,$9.75,金融服务,103,4.0,3000000,29310000,0.2,10000.0,3000000,0.2,0.2,1,11.01,9.7,10.39,-6.16,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137323
KVSC,2021Q1_1137385,Khosla Ventures Acquisition Co III,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,4285532000,-1.38,0.0,$10.00,金融服务,103,3.77,2500000,24900000,0.17,10000.0,2500000,0.17,0.17,1,10.0,9.75,9.91,0.91,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137385
CPUH,2021Q1_1137340,Compute Health Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,6798489000,-1.61,0.0,$9.76,金融服务,103,2.32,2500000,24650000,0.17,10000.0,2500000,0.17,0.17,1,9.86,9.76,9.81,-0.51,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137340
KVSB,2021Q1_1137384,Khosla Ventures Acquisition Co II,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,3589925000,2.83,0.0,$10.53,金融服务,103,4.26,2250000,22680000,0.15,10000.0,2250000,0.15,0.15,1,10.08,10.0,10.01,5.19,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137384
VYGG,2021Q1_1137434,Vy Global Growth,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,4131029000,-3.02,-4.41,$9.96,金融服务,103,3.12,2000000,20240000,0.14,10000.0,2000000,0.14,0.14,1,12.4,10.09,11.07,-10.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1137434
