symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
FE,2021Q1_1196703,第一能源公司,2014,NYSE,公共事业 - 管制,20720,-,电力生产和供应,20720020,131590773000,6.45,24.8,$37.42,公用事业,207,3.49,18967757,657991000,2.76,10000.0,18967757,2.76,2.76,1,35.56,29.51,32.64,14.64,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1196703
BHC,2021Q1_1196696,Bausch Health Companies Inc,0,NYSE,医药制造,20620,-,专用医药制造,20620020,66301499000,-6.11,36.78,$28.45,医疗保健,206,9.52,34109152,1082624000,4.54,577.69,29076005,3.87,3.87,1,34.38,21.37,29.36,-3.1,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 577.69 %,2021Q1_1196696
DAN,2021Q1_1196701,达纳,2020,NYSE,汽车和配件,10200,-,汽车配件,10200030,21771453000,-12.57,19.88,$23.20,周期性消费,102,8.29,12036505,292848000,1.23,201.98,8050685,0.82,0.82,1,26.86,19.08,22.91,1.27,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 201.98 %,2021Q1_1196701
TEN,2021Q1_1196712,天纳克,0,NYSE,汽车和配件,10200,-,汽车配件,10200030,9532679000,67.44,69.81,$18.00,周期性消费,102,11.7,9589751,102802000,0.43,31.62,2304068,0.1,0.1,1,12.71,9.76,10.92,64.84,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 31.62 %,2021Q1_1196712
XRX,2021Q1_1196714,施乐,2017,NYSE,软件,31110,-,软件和信息技术服务,31110010,28920386000,-4.73,2.72,$23.32,科技,311,14.99,28769235,698229000,2.93,3.6,1000000,0.1,0.1,1,26.91,20.75,23.9,-2.43,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 3.60 %,2021Q1_1196714
IEP,2021Q1_1196706,伊坎企业,2012,NAS,企业集团,31030,-,企业集团,31030010,93574584000,4.36,21.02,$57.32,工业,310,87.83,221749462,11912380000,49.95,0.0,0,0.0,0.0,1,68.96,52.06,58.98,-2.81,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196706
CVI,2021Q1_1196700,CVR能源,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 精炼与营销,30910050,9463723000,-15.2,9.33,$14.56,能源,309,70.82,71198718,1365591000,5.73,0.0,0,0.0,0.0,1,26.04,14.81,20.31,-28.31,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196700
NWL,2021Q1_1196708,纽威,2010,NAS,农副加工食品,20525,-,家庭生活用品,20525030,74381496000,2.48,29.58,$27.05,非周期性消费,205,10.28,43704616,1170410000,4.91,0.0,0,0.0,0.0,1,26.78,21.71,24.8,9.07,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196708
LNG,2021Q1_1196697,Cheniere Energy Inc,0,AMEX,石油与天然气,30910,-,石油与天然气 - 中游,30910040,136172176000,11.38,38.38,$83.07,能源,309,6.38,16168606,1164301000,4.88,0.0,0,0.0,0.0,1,76.13,58.91,68.36,21.52,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196697
NAV,2021Q1_1196707,纳威司达,0,NYSE,农用和重型工程机械,31050,-,农用和重型工程机械,31050010,28661214000,1.07,1.23,$44.50,工业,310,16.77,16729960,736620000,3.09,0.0,0,0.0,0.0,1,44.28,43.92,44.08,0.95,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196707
CLDR,2021Q1_1196698,Cloudera Inc,0,NYSE,软件,31110,-,软件应用,31110020,29678903000,22.24,13.01,$15.72,科技,311,17.91,52327391,636824000,2.67,0.0,0,0.0,0.0,1,18.99,11.59,15.0,4.8,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196698
HRI,2021Q1_1196705,Herc Holdings Inc,0,NYSE,商业服务,31020,-,租赁服务,31020030,21256879000,14.54,67.32,$111.12,工业,310,15.18,4494789,455457000,1.91,0.0,0,0.0,0.0,1,109.6,63.36,80.78,37.56,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196705
CNDT,2021Q1_1196699,Conduent Inc,0,NAS,软件,31110,-,软件和信息技术服务,31110010,9639857000,0.86,46.25,$7.02,科技,311,17.96,38149336,254075000,1.07,0.0,0,0.0,0.0,1,7.08,4.67,5.7,23.16,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196699
DK,2021Q1_1196702,Delek US Holdings Inc,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 精炼与营销,30910050,8201140000,-20.98,6.85,$17.17,能源,309,14.27,10539880,229559000,0.96,0.0,0,0.0,0.0,1,26.33,15.33,21.84,-21.38,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196702
OXY.WS,2021Q1_1196710,Occidental Petroleum Corp Warrents,0,NYSE,-,0,-,0,0,0,0.0,0.0,11.51,-,0,0.0,19304913,229922000,0.96,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196710
WBT,2021Q1_1196713,Welbilt Inc,0,NYSE,工业制品,31070,-,特种工业机械,31070020,21567557000,49.02,77.8,$23.47,工业,310,8.4,11942238,194061000,0.81,0.0,0,0.0,0.0,1,16.91,12.57,15.04,56.05,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196713
SD,2021Q1_1196711,SandRidge Energy Inc,0,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,1247743000,39.95,70.65,$5.29,能源,309,13.2,4818832,18842000,0.08,0.0,0,0.0,0.0,1,5.69,3.43,4.56,16.01,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1196711
OXY,2021Q1_1196709,西方石油,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,164333607000,9.57,57.42,$27.23,能源,309,9.22,86027271,2290046000,9.6,-2.93,-2600000,-0.22,0.22,1,31.23,17.45,25.02,8.83,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 2.93 %,2021Q1_1196709
HLF,2021Q1_1196704,康宝莱,0,NYSE,农副加工食品,20525,-,加工食品,20525040,35601873000,10.97,6.08,$50.97,非周期性消费,205,7.42,8018886,355718000,1.49,-60.89,-12486993,-2.99,2.99,1,58.2,44.03,49.42,3.14,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 60.89 %,2021Q1_1196704
