symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
MA,2021Q1_1368105,万事达,2017,NYSE,信贷,10360,-,信贷服务,10360010,2498667987000,1.08,9.7,$390.23,金融服务,103,0.0,11000,3917000,0.77,10000.0,11000,0.77,0.77,1,384.38,315.49,348.78,11.88,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368105
CZR,2021Q1_1368096,凯撒娱乐,0,NAS,旅游和娱乐,10290,-,度假村和赌场,10290040,127472280000,1.41,27.2,$94.47,周期性消费,102,0.02,37200,3253000,0.64,10000.0,37200,0.64,0.64,1,101.2,66.87,83.86,12.65,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368096
COUP,2021Q1_1368098,Coupa Software Inc,0,NAS,软件,31110,-,软件应用,31110020,107478239000,-18.33,-33.29,$226.09,科技,311,0.01,10000,2545000,0.5,10000.0,10000,0.5,0.5,1,369.92,238.65,315.92,-28.43,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368098
ADBE,2021Q1_1368088,Adobe Inc,0,NAS,软件,31110,-,软件基础构架,31110030,1865776535000,15.85,21.2,$606.17,科技,311,0.0,4900,2329000,0.46,10000.0,4900,0.46,0.46,1,501.64,421.2,467.93,29.54,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368088
WIX,2021Q1_1368121,Wix.com Ltd,0,NAS,软件,31110,-,软件基础构架,31110030,101376066000,-5.84,11.21,$277.97,科技,311,0.01,6400,1787000,0.35,10000.0,6400,0.35,0.35,1,353.09,241.28,285.7,-2.71,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368121
NOW,2021Q1_1368114,现在服务,0,NYSE,软件,31110,-,软件应用,31110020,712700451000,-0.19,1.43,$558.28,科技,311,0.0,2900,1450000,0.29,10000.0,2900,0.29,0.29,1,594.47,464.05,528.89,5.56,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368114
NXPI,2021Q1_1368109,恩智浦,2018,NAS,半导体,31130,-,半导体,31130020,346602253000,-3.37,22.97,$194.41,科技,311,0.0,5500,1107000,0.22,10000.0,5500,0.22,0.22,1,208.34,160.47,182.81,6.35,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368109
TAL,2021Q1_1368118,好未来,0,NYSE,教育,20540,-,教育培训服务,20540010,91478371000,-61.62,-69.32,$21.94,非周期性消费,205,0.0,9300,501000,0.1,10000.0,9300,0.1,0.1,1,90.15,52.09,73.46,-70.13,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368118
IQ,2021Q1_1368103,爱奇艺,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,64962352000,-16.08,-27.17,$12.73,通信服务,308,0.0,17800,296000,0.06,10000.0,17800,0.06,0.06,1,28.91,16.55,23.16,-45.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368103
TLND,2021Q1_1368119,Talend SA,0,NAS,软件,31110,-,软件基础构架,31110030,13797084000,2.46,70.84,$65.50,科技,311,0.01,4584,292000,0.06,10000.0,4584,0.06,0.06,1,65.4,39.91,52.02,25.91,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1368119
UBER,2021Q1_1368120,优步,0,NYSE,软件,31110,-,软件应用,31110020,563234918000,-23.58,-8.98,$46.42,科技,311,0.01,125276,6829000,1.34,104.7,64076,0.69,0.69,1,63.18,48.11,55.88,-16.93,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 104.70 %,2021Q1_1368120
DOCU,2021Q1_1368099,DocuSign Inc,0,NAS,软件,31110,-,软件应用,31110020,348703364000,18.79,24.61,$277.01,科技,311,0.0,9000,1822000,0.36,60.71,3400,0.14,0.14,1,265.16,192.84,232.4,19.2,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 60.71 %,2021Q1_1368099
SE,2021Q1_1368113,海洋互联网,0,NYSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,903107747000,7.49,35.06,$268.83,通信服务,308,0.0,16000,3572000,0.7,39.13,4500,0.2,0.2,1,280.0,194.37,232.98,15.39,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 39.13 %,2021Q1_1368113
ESTC,2021Q1_1368100,Elastic NV,0,NYSE,软件,31110,-,软件应用,31110020,82352399000,3.53,-4.74,$139.20,科技,311,0.03,29000,3225000,0.63,38.76,8100,0.18,0.18,1,171.29,105.98,142.45,-2.28,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 38.76 %,2021Q1_1368100
SLM,2021Q1_1368115,学贷美,2019,NAS,信贷,10360,-,信贷服务,10360010,41232334000,7.13,63.92,$20.25,金融服务,103,0.82,2598555,46696000,9.18,26.16,538900,1.9,1.9,1,18.11,12.09,15.16,33.58,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 26.16 %,2021Q1_1368115
MSFT,2021Q1_1368107,微软,2003,NAS,软件,31110,-,软件基础构架,31110030,13684649195000,8.51,26.85,$281.03,科技,311,0.0,204500,48215000,9.48,25.61,41700,1.93,1.93,1,244.99,212.25,232.23,21.01,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 25.61 %,2021Q1_1368107
AMZN,2021Q1_1368092,亚马逊,0,NAS,零售,10280,-,网络零售,10280050,11831859762000,7.46,11.49,$3631.20,周期性消费,102,0.0,885,2738000,0.54,14.94,115,0.07,0.07,1,3380.0,2951.95,3171.97,14.48,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 14.94 %,2021Q1_1368092
AER,2021Q1_1368089,AerCap Holdings NV,0,NYSE,交通运输,31080,-,机场和航空服务,31080010,43074642000,-16.98,11.8,$50.96,工业,310,1.17,1528734,89798000,17.66,8.17,115400,1.33,1.33,1,61.41,38.24,48.6,4.86,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 8.17 %,2021Q1_1368089
FB,2021Q1_1368101,Facebook Inc,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,6314883120000,11.9,26.1,$344.46,通信服务,308,0.01,156500,46094000,9.06,4.19,6300,0.36,0.36,1,294.53,245.64,269.28,27.92,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 4.19 %,2021Q1_1368101
FISV,2021Q1_1368102,费哲,0,NAS,软件,31110,-,软件和信息技术服务,31110010,474076783000,-11.73,-2.69,$110.80,科技,311,0.0,16100,1917000,0.38,2.55,400,0.01,0.01,1,124.13,102.69,114.68,-3.38,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 2.55 %,2021Q1_1368102
GOOG,2021Q1_1368090,谷歌,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,11184424851000,14.31,49.86,$2625.33,通信服务,308,0.0,13890,28733000,5.65,0.73,100,0.04,0.04,1,2128.31,1728.24,1986.11,32.18,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.73 %,2021Q1_1368090
ADPT,2021Q1_1368087,Adaptive Biotechnologies Corp,0,NAS,生物科技,20610,-,生物科技,20610010,31960018000,-18.13,-40.42,$35.23,医疗保健,206,0.79,1115411,44906000,8.83,0.0,0,0.0,0.0,1,67.74,37.26,54.33,-35.16,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368087
BX,2021Q1_1368095,黑石,2020,NYSE,资产管理,10310,-,资产管理,10310010,467032353000,29.72,60.9,$102.50,金融服务,103,0.08,591500,44084000,8.67,0.0,0,0.0,0.0,1,76.09,61.66,69.06,48.42,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368095
MU,2021Q1_1368106,美光,0,NAS,半导体,31130,-,半导体,31130020,559857901000,-14.79,2.31,$76.92,科技,311,0.04,446300,39368000,7.74,0.0,0,0.0,0.0,1,94.76,74.05,84.89,-9.39,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368106
QCOM,2021Q1_1368111,高通,2003,NAS,半导体,31130,-,半导体,31130020,1030946642000,3.12,-6.27,$141.46,科技,311,0.01,163500,21678000,4.26,0.0,0,0.0,0.0,1,164.78,123.2,144.31,-1.97,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368111
VLRS,2021Q1_1368097,Controladora Vuela Compania de Aviacion SAB de CV,0,NYSE,交通运输,31080,-,航空运输,31080020,16277968000,38.31,76.73,$21.95,工业,310,0.86,990161,14120000,2.78,0.0,0,0.0,0.0,1,16.4,10.92,13.54,62.11,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368097
OOMA,2021Q1_1368110,Ooma Inc,0,NYSE,通信,30810,-,电信服务,30810010,2747539000,11.09,27.29,$18.33,通信服务,308,3.19,740854,11743000,2.31,0.0,0,0.0,0.0,1,17.91,13.47,15.57,17.73,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368110
RYAAY,2021Q1_1368112,瑞安航空(U,0,NAS,交通运输,31080,-,航空运输,31080020,152112548000,-1.12,-5.23,$104.23,工业,310,0.04,81927,9422000,1.85,0.0,0,0.0,0.0,1,117.08,95.07,107.66,-3.19,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368112
APO,2021Q1_1368093,阿波罗全球管理,2016,NYSE,资产管理,10310,-,资产管理,10310010,89282525000,19.31,23.6,$59.44,金融服务,103,0.07,156602,7362000,1.45,0.0,0,0.0,0.0,1,51.95,45.53,48.7,22.05,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368093
MA,2021Q1_1368104,万事达,2017,NYSE,信贷,10360,-,信贷服务,10360010,2498667987000,1.08,9.7,$390.23,金融服务,103,0.0,13300,4735000,0.93,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368104
MNTV,2021Q1_1368117,Momentive Global Inc,0,NAS,软件,31110,-,软件应用,31110020,19186494000,7.66,-20.2,$20.39,科技,311,0.16,238837,4375000,0.86,0.0,0,0.0,0.0,1,27.88,17.64,22.52,-9.46,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368117
SPOT,2021Q1_1368116,Spotify Technology SA,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,305968650000,-17.27,-21.19,$247.97,通信服务,308,0.0,8879,2379000,0.47,0.0,0,0.0,0.0,1,364.59,252.59,312.17,-20.57,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368116
ALPN,2021Q1_1368091,Alpine Immune Sciences Inc,0,NAS,生物科技,20610,-,生物科技,20610010,1291090000,-25.98,-33.73,$8.35,医疗保健,206,0.58,137728,1460000,0.29,0.0,0,0.0,0.0,1,13.92,10.02,12.47,-33.04,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1368091
