symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
FUTU,2021Q1_1369766,富途控股,0,NAS,资本市场,10330,-,资本市场,10330010,127830191000,-8.92,194.64,$134.80,金融服务,103,1.62,2374070,377050000,27.97,10000.0,2374070,27.97,27.97,1,191.0,48.94,124.1,8.62,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1369766
DADA,2021Q1_1369765,达达集团,0,NAS,零售,10280,-,网络零售,10280050,40601226000,8.02,-27.34,$26.52,周期性消费,102,0.08,198000,5374000,0.4,10000.0,198000,0.4,0.4,1,46.44,25.26,38.14,-30.47,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1369765
BEKE,2021Q1_1369760,贝壳,0,NYSE,房地产,10410,-,房地产服务,10410020,300290889000,-23.89,-36.63,$39.00,房地产,104,0.25,3000000,170940000,12.68,0.0,0,0.0,0.0,1,76.69,47.08,62.93,-38.03,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1369760
NOAH,2021Q1_1369761,诺亚财富,0,NYSE,资产管理,10310,-,资产管理,10310010,16865540000,3.82,-10.69,$42.70,金融服务,103,5.4,3300000,146520000,10.87,0.0,0,0.0,0.0,1,51.45,42.75,47.54,-10.18,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1369761
BTCM,2021Q1_1369753,比特矿业,0,NYSE,资本市场,10330,-,资本市场,10330010,1799155000,-68.48,-44.78,$4.97,金融服务,103,6.26,3504273,74886000,5.56,0.0,0,0.0,0.0,1,27.02,8.41,18.11,-72.56,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1369753
COE,2021Q1_1369756,无忧英语,0,NYSE,教育,20540,-,教育培训服务,20540010,1014761000,-65.71,-73.07,$7.30,非周期性消费,205,13.16,2828893,57568000,4.27,0.0,0,0.0,0.0,1,28.78,18.85,24.04,-69.63,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1369756
BNR,2021Q1_1369755,燃石医学,0,NAS,医疗诊断和研究,20660,-,诊断和研究,20660010,18257905000,-11.73,16.93,$27.01,医疗保健,206,0.2,212121,5710000,0.42,0.0,0,0.0,0.0,1,39.58,23.5,30.5,-11.44,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1369755
TOUR,2021Q1_1369763,途牛,0,NAS,旅游和娱乐,10290,-,旅游服务,10290050,1693069000,-24.56,20.45,$2.12,周期性消费,102,0.9,1111111,3844000,0.29,0.0,0,0.0,0.0,1,4.92,1.71,3.02,-29.8,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1369763
JT,2021Q1_1369759,简普科技,0,NYSE,信贷,10360,-,信贷服务,10360010,282096000,-12.34,-32.24,$2.06,金融服务,103,2.95,624998,1625000,0.12,0.0,0,0.0,0.0,1,4.54,2.15,3.03,-32.01,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1369759
CTK,2021Q1_1369757,触宝,0,NYSE,软件,31110,-,软件应用,31110020,759641000,-12.5,-34.3,$1.82,科技,311,0.64,416000,1152000,0.09,0.0,0,0.0,0.0,1,6.78,2.55,3.52,-48.3,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1369757
PDD,2021Q1_1369762,拼多多,0,NAS,零售,10280,-,网络零售,10280050,897342730000,-16.35,-37.67,$110.74,周期性消费,102,0.2,2499998,334700000,24.83,-5.0,-131580,-1.96,1.96,1,202.82,124.18,169.27,-34.58,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 5.00 %,2021Q1_1369762
DOYU,2021Q1_1369758,斗鱼,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,10067873000,-50.77,-56.6,$4.80,通信服务,308,0.36,1169502,12175000,0.9,-25.0,-389834,-0.36,0.36,1,19.18,10.21,13.63,-64.78,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 25.00 %,2021Q1_1369758
BEAM,2021Q1_1369754,金宾,0,NAS,生物科技,20610,-,生物科技,20610010,36189190000,15.95,4.79,$85.55,医疗保健,206,1.22,796089,63719000,4.73,-29.42,-331845,-2.27,2.27,1,120.75,71.28,95.29,-10.22,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 29.42 %,2021Q1_1369754
ZLAB,2021Q1_1369764,再鼎医药Ｂ,0,NAS,生物科技,20610,-,生物科技,20610010,107594236000,4.03,25.75,$170.19,医疗保健,206,0.73,694634,92685000,6.88,-33.15,-344474,-3.92,3.92,1,191.71,126.27,155.27,9.61,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 33.15 %,2021Q1_1369764
CANG,2021Q1_1375608,灿谷,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,4604963000,-28.86,-16.0,$4.88,通信服务,308,0.0,0,0,0.0,-10000.0,-1196454,-0.7,0.7,1,19.6,7.19,10.21,-52.2,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1375608
ABNB,2021Q1_1375609,爱彼迎,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,548981583000,-21.59,-6.34,$137.50,通信服务,308,0.0,0,0,0.0,-10000.0,-32226,-0.4,0.4,1,216.84,139.15,185.72,-25.96,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1375609
