symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
LOW,2021Q1_1127485,劳氏,1963,NYSE,零售,10280,-,家居用品零售,10280030,894019779000,-4.02,22.7,$195.75,周期性消费,102,0.04,291137,55368000,0.49,10000.0,291137,0.49,0.49,1,191.61,153.77,171.69,14.01,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127485
HD,2021Q1_1127420,家得宝,2003,NYSE,零售,10280,-,家居用品零售,10280030,2218469760000,0.5,22.74,$322.71,周期性消费,102,0.01,136977,41812000,0.37,10000.0,136977,0.37,0.37,1,305.25,250.93,275.66,17.07,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127420
JCI,2021Q1_1127457,江森自控,2017,NYSE,建筑,31040,-,土木工程和建筑,31040010,324930672000,13.28,51.66,$70.12,工业,310,0.09,633692,37812000,0.33,10000.0,633692,0.33,0.33,1,62.29,46.18,54.94,27.63,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127457
DD,2021Q1_1127362,杜邦,2020,NYSE,化工,10130,-,特种化学制品,10130020,273697135000,3.57,12.71,$79.55,基础材料,101,0.09,467332,36115000,0.32,10000.0,467332,0.32,0.32,1,86.36,68.69,76.28,4.29,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127362
LULU,2021Q1_1127488,Lululemon Athletica Inc,0,NAS,零售,10280,-,服装零售,10280010,329208656000,15.45,8.09,$376.17,周期性消费,102,0.09,119466,36641000,0.32,10000.0,119466,0.32,0.32,1,367.29,285.14,328.51,14.51,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127488
SHW,2021Q1_1127581,宣伟公司,1979,NYSE,化工,10130,-,特种化学制品,10130020,479946198000,8.76,14.39,$279.12,基础材料,101,0.05,139611,34345000,0.3,10000.0,139611,0.3,0.3,3,253.01,219.85,238.3,17.13,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127581
TSLA,2021Q1_1127613,特斯拉,0,NAS,汽车和配件,10200,-,汽车制造,10200020,4049326363000,-11.94,-7.8,$650.60,周期性消费,102,0.0,37059,24753000,0.22,10000.0,37059,0.22,0.22,1,883.09,563.0,754.2,-13.74,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127613
ECL,2021Q1_1127364,艺康集团,1987,NYSE,化工,10130,-,特种化学制品,10130020,396718719000,-2.2,-0.37,$214.59,基础材料,101,0.04,118949,25463000,0.22,10000.0,118949,0.22,0.22,1,225.74,204.51,212.88,0.8,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127364
KMX,2021Q1_1127303,车美仕,0,NYSE,汽车和配件,10200,-,汽车经销商,10200010,138178470000,1.6,38.96,$131.26,周期性消费,102,0.1,159350,21139000,0.19,10000.0,159350,0.19,0.19,1,135.83,93.3,121.78,7.78,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127303
F,2021Q1_1127383,福特汽车,2020,NYSE,汽车和配件,10200,-,汽车制造,10200020,361569877000,14.46,59.39,$14.01,周期性消费,102,0.04,1598244,19578000,0.17,10000.0,1598244,0.17,0.17,1,13.37,8.52,11.44,22.47,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127383
GM,2021Q1_1127395,通用汽车,2020,NYSE,汽车和配件,10200,-,汽车制造,10200020,533772326000,-2.83,36.77,$56.95,周期性消费,102,0.02,340224,19549000,0.17,10000.0,340224,0.17,0.17,1,60.05,40.51,53.11,7.23,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127395
IFF,2021Q1_1127436,国际香料香精,2001,NYSE,化工,10130,-,特种化学制品,10130020,231752443000,2.03,33.72,$144.00,基础材料,101,0.05,117297,16376000,0.14,10000.0,117297,0.14,0.14,1,141.31,105.08,129.42,11.27,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127436
ALB,2021Q1_1127231,美国雅宝公司,1994,NYSE,化工,10130,-,特种化学制品,10130020,140239436000,23.73,26.5,$185.83,基础材料,101,0.09,106460,15555000,0.14,10000.0,106460,0.14,0.14,1,185.25,140.69,160.56,15.74,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127231
MAS,2021Q1_1127496,马斯科,2016,NYSE,建筑,31040,-,建筑材料和设备,31040030,96119604000,-6.95,7.33,$58.58,工业,310,0.1,261051,15637000,0.14,10000.0,261051,0.14,0.14,1,60.13,52.84,55.82,4.94,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127496
CE,2021Q1_1127309,塞拉尼斯,2005,NYSE,化工,10130,-,化学制品,10130010,113574134000,0.75,21.07,$155.96,基础材料,101,0.09,99730,14941000,0.13,10000.0,99730,0.13,0.13,1,152.69,119.37,137.29,13.6,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127309
PHM,2021Q1_1127555,普得集团,2013,NYSE,住宅建设,10230,-,住宅建设,10230010,87644303000,-3.29,20.2,$51.55,周期性消费,102,0.11,278032,14580000,0.13,10000.0,278032,0.13,0.13,1,52.75,40.85,46.71,10.36,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127555
WSM,2021Q1_1127662,Williams-Sonoma Inc,2007,NYSE,零售,10280,-,特种零售,10280060,76708701000,-7.87,56.19,$157.94,周期性消费,102,0.1,75323,13498000,0.12,10000.0,75323,0.12,0.12,1,184.0,102.95,134.88,17.1,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1127662
