symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
01398,2021Q1_548967,北京市西城区复兴门内大街55号,办理人民币存款、贷款；同业拆借业务；国内外结算；办理票据承兑、贴现、转贴现；各类汇兑业务；代理资金清算；提供信用证服务及担保；代理销售业务；代理发行、代理承销、代理兑付政府债券；代收代付业务；代理证券资金清算业务(银证转账)；代理保险业务；代理政策性银行、外国政府和国际金融机构贷款业务；保管箱服务；发行金融债券；买卖政府债券、金融债券；证券投资基金、企业年金托管业务；企业年金受托管理服务、年金账户管理服务；开放式基金的注册登记、认购、申购和赎回业务；资信调查、咨询、见证业务；贷款承诺；企业、个人财务顾问服务；组织或参加银团贷款；外汇存款；外汇贷款；外币兑换；出口托收及进口代收；外汇票据承兑和贴现；外汇借款；外汇担保；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；自营、代客外汇买卖；外汇金融衍生业务；银行卡业务；电话银行、网上银行、手机银行业务；办理结汇、售汇业务；经国务院银行业监督管理机构核准的其他业务。,陈四清,北京市,公司是中国最大的商业银行之一，经过持续努力和稳健发展，已经迈入世界领先大银行行列，拥有优质的客户基础、多元的业务结构、强劲的创新能力和市场竞争力，向全球公司客户和个人客户提供广泛的金融产品和服务。始终聚焦主业，坚持服务实体经济的本源，与实体经济共荣共存、共担风雨、共同成长；始终坚持风险为本，牢牢守住底线，将控制和化解风险作为不二铁律；始终坚持对商业银行经营规律的把握与遵循，致力于打造“百年老店”；始终坚持稳中求进、创新求进，持续深化大零售、大资管、大投行以及国际化和综合化战略，积极拥抱互联网；始终坚持专业专注，开拓专业化经营模式，锻造“大行工匠”。国际化、综合化经营格局不断完善，境外网络扩展至多个国家和地区，盈利贡献进一步提升。,ir@icbc.com.cn,"主营业务:公司银行业务,个人银行业务,资金业务以及其他业务.",廖林,北京,35640625.71,官学清,19851122,www.icbc.com.cn\www.icbc-ltd.com,工商银行,2017,HKSE,HKSE,银行,10320,-,多元化银行,10320010,1599560549000,-11.44,-4.19,HK$4.48,金融服务,103,0.01,48503000,34888230.0,2.08,10000.0,48503000,2.08,2.08,1.0,5.6,4.81,5.18,-13.51,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_548967
002080,2021Q1_548980,北京市海淀区曙光街道远大南街鲁迅文化园创作展示中心1号楼,玻璃纤维、复合材料、过滤材料、矿物棉、其他非金属新材料、工业铂铑合金、浸润剂及相关设备研究、制造与销售；技术转让、咨询服务；工程设计与承包；建筑工程、环境工程专业总承包(设计、施工及相关技术服务)、环境污染治理设施运营、对外承包工程和建筑智能化系统专项工程设计、环境污染防治专项工程、轻工、市政工程设计；玻璃纤维、复合材料、其他非金属新材料工程设计与承包；压力容器、贵金属材料、机械设备、工业自控产品、计算机软件的销售(以上国家有专项专营规定的除外)。经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务(国家限定公司经营或禁止进出口的商品及技术除外)。,薛忠民,南京市,公司是我国特种纤维复合材料的技术发源地，拥有完整的非金属矿物材料、玻璃纤维、纤维复合材料技术产业链，是我国特种纤维复合材料领域集研发、设计、产品制造与销售、技术装备集成于一体的国家级高新技术企业。业务产品紧扣新能源、航空航天、节能减排、国防军工等应用领域。承继了原南京玻璃纤维研究设计院、北京玻璃钢研究设计院和苏州非金属矿工业设计研究院三个国家级科研院所多年的核心技术资源和人才优势。公司是国家首批创新型企业、国家首批技术创新示范企业、国家高新技术企业，拥有国家重点实验室、国家级企业技术中心、国家级工程技术研究中心、博士后工作站，形成了稳定高效的高层次研发平台，拥有一支国内优秀的新材料研发人才队伍。,sinoma@sinomatech.com,"主营业务:风电叶片,玻璃纤维和其他板块.其他版块主要产品为高压复合气瓶,膜材料制品(高温过滤材料,玻璃纤维纸),锂电池隔膜,技术与装备,及少量贸易和水务",黄再满,江苏,167812.36,陈志斌,20011228,www.sinomatech.com,中材科技,2017,SZSE,SZSE,化工,10130,-,化学制品,10130010,49134285000,40.78,23.2,¥28.99,基础材料,101,0.43,7247152,25872470.0,1.55,10000.0,7247152,1.55,1.55,1.0,28.54,22.25,24.99,16.01,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_548980
300274,2021Q1_548981,安徽省合肥市高新区习友路1699号,新能源发电设备、分布式电源，及其配套产品的研制、生产、销售、服务、系统集成及技术转让；新能源发电工程、制氢系统及新能源汽车充换电设施的设计、开发、投资、建设和经营；电力电子设备、电气传动及控制设备、不间断电源、储能电源、制氢设备、新能源汽车充换电设备及系统、电能质量控制装置的研制、生产及销售；货物或技术进出口(国家禁止或涉及行政审批的货物或技术进出口除外)。,曹仁贤,合肥市,公司是一家专注于太阳能、风能等可再生能源电源产品研发、生产、销售和服务的国家重点高新技术企业。公司是中国目前较大的光伏逆变器制造商、国内领先的风能变流器企业，拥有完全自主知识产权。主要产品有光伏逆变器、风能变流器、储能系统、电动车电机控制器，并致力于提供全球一流的光伏电站解决方案。公司先后承担多项国家重大科技计划项目，主持起草了多项国家标准，并取得了多项重要成果和专利。产品先后成功应用于上海世博会、北京奥运鸟巢、京沪高铁上海虹桥站、国家送电到乡工程、南疆铁路、青藏铁路等众多重大光伏和风力发电项目。公司先后荣获“国家重点新产品”、国家发改委“技术进步优秀项目奖”、“中国新能源企业30强”、“中国驰名商标”、“安徽著名商标”、全球新能源企业500强、国家级“守合同重信用”企业、安徽“最佳雇主”等荣誉，是国家级博士后科研工作站设站企业、国家高技术产业化示范基地、国家认定企业技术中心、《福布斯》“中国最具发展潜力企业”等。,dshms@sungrow.cn;kangml@sungrowpower.com,"主营业务是太阳能光伏逆变器,风能变流器及其它电力电源的研发,生产,销售和服务,为可再生能源发电行业用户提供系统解决方案.公司主要产品为光伏逆变器,风能变流器.",曹仁贤,安徽,145693.94,解小勇,20070711,www.sungrowpower.com,阳光电源,2019,SZSE,SZSE,工业制品,31070,-,电子器械和零件,31070060,182088137000,88.9,80.33,¥125.90,工业,310,0.16,2330074,25722630.0,1.54,10000.0,2330074,1.54,1.54,1.0,119.09,62.77,86.12,46.19,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_548981
01208,2021Q1_548984,,,,,,,,,,,,,,五矿资源,0,HKSE,HKSE,金属与开采,10150,-,其他工业金属与开采,10150030,25096108000,-32.05,5.07,HK$3.53,基础材料,101,0.47,40456000,22740530.0,1.36,10000.0,40456000,1.36,1.36,1.0,6.3,3.01,4.2,-15.95,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_548984
01024,2021Q1_548985,,,,,,,,,,,,,,快手,0,HKSE,HKSE,传媒,30820,-,广播,30820030,534239018000,-35.5,0.0,HK$151.10,通信服务,308,0.02,648900,22536760.0,1.35,10000.0,648900,1.35,1.35,1.0,415.0,263.8,318.59,-52.57,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_548985
02899,2021Q1_548991,"福建省上杭县紫金大道1号,福建省厦门市思明区环岛东路1811号中航紫金广场B塔",矿产资源勘查；金矿采选；金冶炼；铜矿采选；铜冶炼；信息系统集成服务；信息技术咨询服务；珠宝首饰、工艺美术品、矿产品、机械设备、化工产品(不含危险化学品及易制毒化学品)的销售；水力发电；对采矿业、酒店业、建筑业的投资；对外贸易；普通货物道路运输活动；危险货物道路运输活动。铜矿金矿露天开采、铜矿地下开采；矿山工程技术、矿山机械、冶金专用设备研发；矿山机械、冶金专用设备制造；旅游饭店(仅限于分支机构)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),陈景河,龙岩市,公司是一家以金、铜、锌等金属矿产资源勘查和开发为主的大型矿业集团，目前形成了以金、铜、锌等金属为主的产品格局，投资项目分布在国内24个省(自治区)和加拿大、澳大利亚、巴布亚新几内亚、俄罗斯、塔吉克斯坦、吉尔吉斯斯坦、南非、刚果(金)、秘鲁等9个国家。公司是中国控制金属矿产资源最多的企业之一，公司在地质勘查、湿法冶金、低品位难处理矿产资源综合回收利用、大规模工程化开发以及能耗指标等方面居行业领先地位。公司拥有中国黄金行业唯一的国家重点实验室，以及国家级企业技术中心、院士专家工作站等一批高层次的科研平台，拥有一批适用性强、产业化水平高、经济效益显著的自主知识产权和科研成果。公司还与福州大学共同创办紫金矿业学院，为中国和世界培养优秀矿业人才。公司本部及部分权属企业获得国家高新技术企业资格。,dsh@zjky.cn;zheng_youcheng@zijinmining.com;zy@zijinmining.com,"以黄金为主导产业的矿产资源的勘探,采矿,选矿,冶炼及矿产品销售.",邹来昌,福建,254597.01,郑友诚,20000906,www.zjky.cn,紫金矿业,2017,HKSE,HKSE,金属与开采,10150,-,金,10150040,258097290000,3.24,25.26,HK$10.94,基础材料,101,0.05,13694000,16935500.0,1.01,10000.0,13694000,1.01,1.01,1.0,14.58,8.64,10.56,3.6,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_548991
KC,2021Q1_548997,,,,,,,,,,,,,,金山云,0,NAS,,软件,31110,-,软件应用,31110020,43258521000,-32.6,-31.21,$29.96,科技,311,0.16,362500,14253500.0,0.85,10000.0,362500,0.85,0.85,1.0,72.06,39.16,53.35,-43.84,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_548997
300724,2021Q1_548999,广东省深圳市坪山区龙田街道竹坑社区金牛东路62号一层至六层,电子工业设备、光伏电池、光伏电池设备、动力电池设备、半导体设备、电子生产设备、光电设备的销售；刻蚀机、扩散炉、烧结炉、各类自动化生产设备、光电设备的租赁(不配备操作人员的机械设备租赁，不包括金融租赁活动)及分布式光伏发电开发和利用；与上述设备及分布式发电系统和太阳能技术及产品相关的技术咨询、技术开发、技术服务及技术转让以及合同能源管理；自有厂房租赁；销售太阳能光伏产品及配件；国内贸易(不含专营、专卖、专控商品)；经营进出口业务。(以上项目法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)。刻蚀机、扩散炉、烧结炉、各类自动化生产设备、光电设备的生产、维修、改造；生产太阳能光伏产品及配件(国家有专项规定的除外)。,余仲,深圳市,公司是一家高速发展的光伏设备及绿色能源产业专用设备制造商，2007年创立于深圳市宝安区，并于2010年与深圳市捷佳创精密设备有限公司成功实现业务整合，产品涵盖原生多晶硅料生产设备、硅片加工设备、晶体硅电池生产设备等;公司系国内领先的晶体硅太阳能电池生产设备制造商，主营PECVD设备、扩散炉、制绒设备、刻蚀设备、清洗设备、自动化配套设备等太阳能电池片生产工艺流程中的主要设备的研发、制造和销售。,chinasc@chinasc.com.cn,"PECVD设备,扩散炉,制绒设备,刻蚀设备,清洗设备,自动化配套设备等太阳能电池片生产工艺流程中的主要设备的研发,制造和销售",李时俊,广东,34770.02,谭湘萍,20070618,www.chinasc.com.cn,捷佳伟创,2019,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,43740629000,21.81,-11.68,¥131.55,工业,310,0.17,579456,9638600.0,0.58,10000.0,579456,0.58,0.58,1.0,148.05,92.82,117.93,11.55,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_548999
EH,2021Q1_549006,,,,,,,,,,,,,,亿航,0,NAS,,航空航天和国防,31010,-,航空航天和国防,31010010,10919923000,5.32,44.34,$30.47,工业,310,0.3,169000,6259760.0,0.37,10000.0,169000,0.37,0.37,1.0,124.09,21.24,56.3,-45.88,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_549006
06606,2021Q1_549008,,,,,,,,,,,,,,诺辉健康,0,HKSE,HKSE,医疗诊断和研究,20660,-,诊断和研究,20660010,26485910000,26.75,0.0,HK$74.95,医疗保健,206,0.0,6000,44920.0,0.0,10000.0,6000,0.0,0.0,1.0,84.0,50.9,61.03,22.81,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_549008
