symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
PLTK,2021Q1_1509035,Playtika Holding Corp,0,NAS,交互式媒体,30830,-,电子游戏和多媒体,30830020,60275238000,-12.8,0.0,$22.76,通信服务,308,0.8,3280699,89268000,0.88,10000.0,3280699,0.88,0.88,1,34.28,25.16,29.5,-22.85,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509035
TIL,2021Q1_1509008,Instil Bio Inc,0,NAS,生物科技,20610,-,生物科技,20610010,15723829000,1.12,0.0,$18.89,医疗保健,206,1.85,2385457,59827000,0.59,10000.0,2385457,0.59,0.59,1,27.06,24.23,25.66,-26.38,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509008
TUYA,2021Q1_1509046,涂鸦智能,0,NYSE,软件,31110,-,软件基础构架,31110030,74826572000,17.49,0.0,$20.69,科技,311,0.42,2375000,50208000,0.5,10000.0,2375000,0.5,0.5,1,25.12,19.15,21.92,-5.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509046
BABA,2021Q1_1508968,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.01,135700,30767000,0.3,10000.0,135700,0.3,0.3,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508968
XPEV,2021Q1_1509050,小鹏汽车,0,NYSE,汽车和配件,10200,-,汽车制造,10200020,200018310000,22.64,-10.09,$38.51,周期性消费,102,0.08,658595,24045000,0.24,10000.0,658595,0.24,0.24,1,56.39,26.92,41.65,-7.54,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509050
VIPS,2021Q1_1509049,唯品会,0,NYSE,零售,10280,-,网络零售,10280050,87447784000,-29.07,-30.02,$19.67,周期性消费,102,0.07,470000,14034000,0.14,10000.0,470000,0.14,0.14,1,45.58,27.42,34.47,-42.94,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509049
IMCR,2021Q1_1509007,Immunocore Holdings PLC,0,NAS,生物科技,20610,-,生物科技,20610010,9428040000,-15.46,0.0,$33.30,医疗保健,206,0.64,279580,11902000,0.12,10000.0,279580,0.12,0.12,1,56.34,36.3,44.6,-25.34,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509007
PYPL,2021Q1_1509033,贝宝,0,NAS,信贷,10360,-,信贷服务,10360010,2252054720000,8.22,26.61,$296.51,金融服务,103,0.0,40000,9714000,0.1,10000.0,40000,0.1,0.1,1,304.79,226.09,253.25,17.08,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509033
DSGN,2021Q1_1508991,Design Therapeutics Inc,0,NAS,生物科技,20610,-,生物科技,20610010,6424971000,-24.56,0.0,$17.88,医疗保健,206,0.51,280991,8402000,0.08,10000.0,280991,0.08,0.08,1,41.49,29.52,33.73,-46.99,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508991
NIO,2021Q1_1509029,蔚来,0,NYSE,汽车和配件,10200,-,汽车制造,10200020,462739564000,22.49,-10.38,$43.68,周期性消费,102,0.01,127200,4958000,0.05,10000.0,127200,0.05,0.05,1,62.84,35.21,51.11,-14.54,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509029
