symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
600089,2020Q4_1750959,新疆维吾尔自治区昌吉回族自治州昌吉市北京南路189号,经依法登记，公司的经营范围：变压器、电抗器、互感器、电线电缆及其他电气机械器材的制造、销售、检修、安装及回收；机械设备、电子产品的生产销售；五金交电的销售；硅及相关产品的制造、研发及相关技术咨询；矿产品的加工；新能源技术、建筑环保技术、水资源利用技术及相关工程项目的研发及咨询；太阳能系统组配件、环保设备的制造、安装及相关技术咨询；太阳能光伏离网和并网及风光互补系统、柴油机光互补系统及其他新能源系列工程的设计、建设、安装及维护；太阳能集中供热工程的设计、安装；太阳能光热产品的设计、制造；承包境外机电行业输变电、水电、火电站工程和国内、国际招标工程，上述境外工程所属的设备、材料出口，对外派遣实施上述境外工程所需的劳务人员；进口钢材经营；一般货物和技术的进出口；电力工程施工总承包特级资质、电力行业甲级资质，可承接电力各等级工程施工总承包、工程总承包和项目管理业务；可从事资质证书许可范围内相应的建设工程总承包业务以及项目管理和相关的技术与管理服务；房屋出租；水的生产和供应(限下属分支机构经营)；电力供应；热力生产和供应；货物运输代理服务及相关咨询；花草培育、销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动,张新,昌吉回族自治州,公司是中国变压器行业首家上市公司，中国重大装备制造业的核心骨干企业，国家级企业技术中心和博士后科研工作站，是中国重大装备制造业首家获得“中国驰名商标”和“中国名牌产品”的企业集团。同时，也是中国重要的变压器、电线电缆、高压电子铝箔新材料、太阳能系统工程实施及太阳能核心控制部件的研发、制造和出口企业。公司始终专注于“输变电、新能源、新材料”三大产业的开拓与协同发展，公司是国内少有的具有自主知识产权的变压器制造企业，特别是超高压和直流变压器的核心技术已经达到了国际水平。在新能源产业方面，公司拥有多项自主知识产权技术，成功开发出大功率太阳能光伏电站系统、太阳能电池组件、太阳能级硅片等核心技术产品。,jiaohaihua@tbea.com;yuyongxin@tbea.com;tbeazqb@tbea.com,"主要业务:变压器,电线电缆及其辅助设备的制造与销售.",黄汉杰,新疆,371431.28,焦海华,19930226,www.tbea.com,特变电工,2020,SHSE,SHSE,工业制品,31070,-,电子器械和零件,31070060,54460069000,34.74,48.28,¥15.48,工业,310,0.27,9960100,101094600.0,3.19,9960000.0,9960000,3.19,3.19,1.0,10.66,7.1,8.51,81.9,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 9960000.00 %,2020Q4_1750959
002236,2020Q4_1750784,浙江省杭州市滨江区滨安路1199号,计算机软件的开发、服务、销售，电子产品及通讯产品的设计、开发、生产、安装及销售，网络产品的开发、系统集成与销售，电子产品工程的设计、安装，信息技术咨询服务，经营进出口业务(范围详见《进出口企业资格证书》)。,傅利泉,杭州市,公司是全球领先的以视频为核心的智慧物联解决方案提供商和运营服务商，以技术创新为基础，提供端到端的视频监控解决方案、系统及服务，为城市运营、企业管理、个人消费者生活创造价值。公司持续探索新兴业务，延展了机器视觉、视频会议系统、专业无人机、智慧消防、电子车牌、RFID及机器人等新兴视频物联业务。公司的营销和服务网络覆盖全球，在国内多个省市设立多个办事处，在亚太、北美、欧洲、非洲等地建立境外分支机构，为客户提供快速、优质服务。产品覆盖全球多国家和地区，广泛应用于公安、交管、消防、金融、零售、能源等关键领域，并参与了中国国际进口博览会、G20杭州峰会、里约奥运会、厦门金砖国家峰会、老挝东盟峰会、上海世博会、广州亚运会、港珠澳大桥等重大工程项目。公司拥有国家级博士后科研工作站、是国家认定企业技术中心、国家创新型试点企业，相继与UL、SGS等建立了联合实验室。,zqsw@dahuatech.com,"公司是我国安防产品主流供应商之一,主要从事安防视频监控产品的研发,生产和销售.公司不断强化音视频编解码算法技术,信息存储调用技术,集成电路应用技术,网络控制与传输技术,嵌入式开发技术五大核心技术平台,已经形成以嵌入式DVR为核心产品的面向安防视频监控前沿领域的“大安防”产品架构,公司的主要产品包括嵌入式DVR,球机,NVS,板卡,数字远程图像监控系统,数字程控调度机等,公司产品主要应用于金融,公安,邮政,电信,交通,电力,煤矿等行业.",傅利泉,浙江,299557.96,吴坚,20010312,www.dahuatech.com,大华股份,2019,SZSE,SZSE,商业服务,31020,-,安保服务,31020040,62599876000,-11.71,6.22,¥22.18,工业,310,0.28,8260400,164298800.0,5.18,8260300.0,8260300,5.18,5.18,1.0,23.93,18.29,21.26,4.33,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 8260300.00 %,2020Q4_1750784
002415,2020Q4_1750799,浙江省杭州市滨江区物联网街518号,一般项目：数字视频监控系统制造；数字视频监控系统销售；安防设备制造；安防设备销售；物联网设备制造；物联网设备销售；智能无人飞行器制造；智能无人飞行器销售；服务消费机器人制造；工业机器人制造；特殊作业机器人制造；智能机器人销售；计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；通信设备制造；通信设备销售；网络设备制造；网络设备销售；显示器件制造；显示器件销售；智能车载设备制造；智能车载设备销售；汽车零部件及配件制造；汽车零配件批发；电气信号设备装置制造；电气信号设备装置销售；机械电气设备制造；电气机械设备销售；特种劳动防护用品生产；特种劳动防护用品销售；电子产品销售；数字文化创意技术装备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息系统集成服务；计算机系统服务；物联网技术研发；物联网技术服务；物联网应用服务；大数据服务；数据处理和存储支持服务；安全系统监控服务；安全技术防范系统设计施工服务；电子、机械设备维护(不含特种设备)；停车场服务；数字文化创意内容应用服务；环境保护监测；从事科技培训的营利性民办培训机构(除面向中小学生开展的学科类、语言类文化教育培训)。(除依法须经,陈宗年,杭州市,公司是领先的视频产品和内容服务提供商，面向全球提供领先的视频产品、专业的行业解决方案与内容服务。公司积极布局新兴市场和新兴业务，基于互联网推出了面向家庭和小微企业的相关产品及云服务平台；进入智能制造领域，推出了一系列机器视觉产品及解决方案。公司产品已涵盖视频监控系统的所有主要设备，包括前端采集设备、后端存储及集中控制、显示、管理及储存设备。典型视频监控系统的前端设备主要包括摄像机(采集视音频信号)及DVS(压缩及编码视音频信号)；典型视频监控系统的后端设备主要包括录像机(记录及存储视音频信号)；典型视频监控系统的中心控制设备主要包括集中控制设备(控制、检索及显示视音频信号)、VMS软件及中心储存设备。此外，公司拥有门禁、报警、可视对讲等系列大安防领域的产品。,hikvision@hikvision.com;market@hikvision.com;ir@hikvision.com,"主营业务:安防视频监控产品研发,生产和销售,产品包括硬盘录像机(DVR),视音频编解码卡等数据存储及处理设备,以及监控摄像机,监控球机,视频服务器(DVS)等视音频信息采集处理设备.本公司产品主要包括后端数据存储及处理设备中的核心设备DVR,视音频编解码卡;前端视音频信息采集处理设备中的监控摄像机,监控球机,视频服务器(DVS)等,其中硬盘录像机,视音频编解码卡是目前公司的核心产品.",胡扬忠,浙江,934341.72,黄方红,20011130,www.hikvision.com,海康威视,2010,SZSE,SZSE,硬件,31120,-,计算机硬件,31120020,592935295000,13.8,32.22,¥62.88,科技,311,0.04,4118000,199764700.0,6.3,4117900.0,4117900,6.3,6.3,1.0,49.11,38.15,44.85,40.2,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 4117900.00 %,2020Q4_1750799
300740,2020Q4_1750903,湖南省长沙市高新开发区岳麓西大道588号芯城科技园9栋,计算机软件销售；信息技术咨询服务；计算机技术咨询；计算机网络系统工程服务；计算机技术开发、技术服务；化妆品零售；日用品销售；清洁用品销售；家用电器零售；化工原料(监控化学品、危险化学品除外)销售；生物技术开发服务；电子产品生产；电子产品零售；企业管理咨询服务；广告制作服务；广告发布服务；广告国内代理服务；广告设计；化妆品的研发。(依法须经批准的项目，经相关部门批准后方可开展经营活动),戴跃锋,长沙市,"公司是一家依托互联网创立，并逐步发展起来，以自主品牌为核心的“互联网+美妆”企业。公司是中国A股首家IPO电商上市公司，旗下拥有御泥坊、小迷糊、薇风、花瑶花等多个自主护肤品牌。公司自主研发的多个护肤品配方技术及产品外观设计，近两年获得国家专利33项；同时公司开发的多个电商系统获得国家软件著作权。御家汇与天猫、淘宝网、唯品会、京东、云集、聚美优品、苏宁易购、蘑菇街、小红书等国内外多家主流网上商城建立了深度合作关系，并入驻了屈臣氏、沃尔玛等线下渠道。公司是中国面膜行业标准《QB/T2872-2017》和《中国国家标准(卸妆油类)》的起草与制定单位之一，国际化妆品化学家协会学会联盟(IFSCC)全球首家面膜企业金牌会员,中国国家商务部认定的电子商务示范企业。",ir@syounggroup.com,"主营业务:主要从事面膜等护肤品的研发,生产与销售,产品包括面膜类,水乳膏霜类等,其中以面膜类为主.",戴跃锋,湖南,41106.05,吴小瑾,20121101,www.yujiahui.com/www.syounggroup.com,水羊股份,0,SZSE,SZSE,零售,10280,-,网络零售,10280050,7638981000,-17.03,5.25,¥18.66,周期性消费,102,0.87,3568500,64589600.0,2.04,3568400.0,3568400,2.04,2.04,1.0,24.24,15.2,19.04,-2.0,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 3568400.00 %,2020Q4_1750903
002930,2020Q4_1750834,广东省东莞市松山湖园区礼宾路6号1栋四楼,物流项目投资；物流链管理；码头、仓储的建设及运营；海上国际货运代理、陆路国际货运代理、国内货运代理，仓储代理；物流管理咨询，企业管理咨询，投资管理咨询。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,林海川,东莞市,公司系一家创新型石化产品物流综合服务提供商，主要为境内外石化产品生产商、贸易商和终端用户提供仓储综合服务及其他相关服务。公司主要从事仓储综合服务、中转及其他服务、物流金融服务及物流链管理服务四大业务。公司码头可靠泊能力与储罐容量匹配度高，码头及储罐可最大程度地得到合理利用，为公司追求效益最大化提供有力保障。公司始终将安全管理工作放在首位，紧紧围绕“安全第一、安全发展、预防为主、综合治理”的管理理念灌输到企业运营的各方面，遵从国际高标准的安全、环保和职业健康管理规范，制定了严格的“三标一体”管理体系，三江港储、太仓阳鸿、南通阳鸿多次获评当地“安全工作先进单位”等荣誉称号。公司各库区均通过ISO9001、ISO14001、OSAS18001体系认证，以及行业内最高标准欧洲化学品分拨协会CDI-T审核认证，并且公司各库区及码头均已取得安全评估报告及环境影响报告书。,grsl@grgroup.cc,"主要业务:仓储综合服务,中转及其他服务,物流金融服务及物流链管理服务四大业务.",林海川,广东,44450.58,王明怡,20121106,www.grsl.cn,宏川智慧,2019,SZSE,SZSE,交通运输,31080,-,水上运输,31080040,7847368000,6.86,-8.2,¥17.31,工业,310,1.71,7608200,148436100.0,4.68,10000.0,7608200,4.68,4.68,1.0,23.99,14.18,20.47,-15.44,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750834
601058,2020Q4_1750998,山东省青岛市郑州路43号橡塑新材料大楼,轮胎、橡胶制品、机械设备、模具、化工产品(不含危险品)的研发、生产、销售、安装及相关服务；轮胎生产技术软件开发及相关技术的开发、销售及相关服务；货物进出口、技术进出口及相关服务；废旧轮胎收购与销售；轮胎循环利用装备、材料、产品的研发、生产与销售；轮胎循环利用技术开发、销售及相关服务(法律、行政法规禁止的项目除外，法律、行政法规限制的项目取得许可后方可经营)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,袁仲雪,青岛市,公司是一家主营全钢载重子午胎、半钢子午胎和工程子午胎的研发、制造和销售的新型轮胎企业，中国首家轮胎资源循环利用示范基地。公司系列产品具备了高速、节油、长寿命、安全、舒适、抗载、抗冲击等优越的技术性能，形成覆盖全国的销售网络，产品销往欧、美、亚、非等多个国家和地区。公司在同行业中率先采用管控一体化网络系统，应用网络化、智能化的计算机信息系统对轮胎生产制造、技术品质控制、能源动力、企业运营管理、产品仓储物流、轮胎销售与售后服务等各项业务进行全方位信息化控制与管理。“SAILUN”牌全钢子午线轮胎荣获“中国名牌产品”称号，“SAILUN”商标被认定为“山东省著名商标”。公司获得授权专利多项。,ziben@sailuntire.com;ziben@sailunjinyu.com,"主营业务为全钢载重子午胎,半钢子午胎和工程子午胎的研发,制造和销售;轮胎制造技术的开发,转让和相关服务以及轮胎循环利用相关产品的研发,生产和销售.目前轮胎生产销售业务方面的主要产品为全钢载重子午线轮胎和半钢子午线轮胎等,技术转让业务方面的主要产品为子午线轮胎制造技术,循环利用业务方面主要是翻新胎,胎面胶和胶粉等循环利用产品.",袁仲雪,山东,306417.48,宋军,20021118,www.sailungroup.com,赛轮轮胎,2018,SHSE,SHSE,汽车和配件,10200,-,汽车配件,10200030,28742653000,-5.47,57.28,¥9.39,周期性消费,102,0.72,21938300,132507500.0,4.18,10000.0,21938300,4.18,4.18,1.0,6.42,4.51,5.44,72.61,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750998
002230,2020Q4_1750783,安徽省合肥市高新开发区望江西路666号,许可经营项目：增值电信业务，专业技术人员培训。一般经营项目：计算机软、硬件开发、生产和销售及技术服务；系统工程、信息服务；电子产品、计算机通信设备研发、生产、销售；图书批发、零售、电子出版物批发、零售；二类、三类医疗器械研发、制造与销售；进出口业务(国家限定和禁止经营的除外)；安全技术防范工程；房屋租赁、物业管理服务；设计、制作、代理、发布广告；进网产品的研发、销售。,刘庆峰,合肥市,公司是一家专业从事智能语音及语言技术研究、软件及芯片产品开发、语音信息服务及电子政务系统集成的国家级骨干软件企业。是我国众多软件企业中为数极少掌握核心技术并拥有自主知识产权的企业之一，其语音合成核心技术代表了世界的最高水平。公司承建有首批国家新一代人工智能开放创新平台(智能语音国家人工智能开放创新平台)、语音及语言信息处理国家工程实验室以及我国在人工智能高级阶段——认知智能领域的首个国家级重点实验室等国家级重要平台。,xunfei@iflytek.com;taojiang@iflytek.com;xmchang@iflytek.com,"主要产品:语音支撑软件,音应用软件(行业应用产品/系统).主营业务:人工智能技术研究,软件及芯片产品开发,知识服务.",吴晓如,安徽,222413.23,江涛,19991230,www.iflytek.com,科大讯飞,2009,SZSE,SZSE,软件,31110,-,软件应用,31110020,135183415000,33.68,50.33,¥60.78,科技,311,0.1,2255300,92175700.0,2.91,10000.0,2255300,2.91,2.91,1.0,44.0,34.05,37.86,60.54,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750783
002472,2020Q4_1750804,浙江省杭州市余杭区五常街道荆长大道658-1号2幢和合大厦,一般项目：汽车零部件研发；机械设备研发；机电耦合系统研发；轴承、齿轮和传动部件制造；齿轮及齿轮减、变速箱制造；汽车零部件及配件制造；高铁设备、配件制造；轴承、齿轮和传动部件销售；齿轮及齿轮减、变速箱销售；轨道交通专用设备、关键系统及部件销售；风力发电机组及零部件销售；金属材料销售；非居住房地产租赁；园区管理服务；餐饮管理(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：餐饮服务；食品经营；货物进出口；技术进出口(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,吴长鸿,台州市,公司始终专注于机械传动齿轮的研发、设计、制造与销售，形成涵盖传统汽车、电动汽车、高铁轨道交通、非道路机械、摩托车及沙滩车、电动工具及工业机器人等多个领域门类齐全的产品结构，已经成为全球具有相当生产规模和实力的主要齿轮散件专业制造企业之一。公司与众多国内外优质客户建立起深厚的技术与产品合作关系，形成一批本行业“巨头”客户群，如博世、采埃孚、利勃海尔、卡特彼勒、康明斯、博格华纳、伊顿、西门子等以及国内的比亚迪、上汽、玉柴集团等。,shdmb@gearsnet.com,"主要从事传动用齿轮及齿轮零件的生产与销售.主要产品为乘用车齿轮和商用车齿轮,摩托车齿轮和工程机械齿轮.",MIN ZHANG(张民),浙江,69102.26,陈海霞,20050825,www.gearsnet.com,双环传动,2020,SZSE,SZSE,汽车和配件,10200,-,汽车配件,10200030,13646145000,90.3,155.76,¥18.15,周期性消费,102,1.24,9166800,66092399.99999999,2.09,10000.0,9166800,2.09,2.09,1.0,7.71,5.05,6.52,178.37,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750804
300401,2020Q4_1750874,浙江省金华市东阳市南马镇花园村,食品添加剂的生产和销售，饲料添加剂的生产(范围详见《饲料添加剂生产许可证》)。医药中间体、化工产品(不含危险品和国家专项规定产品)及工业副产品氯化钙、氯化钾、氯化锌水溶液、甲酸水溶液、氨水的生产、销售，饲料添加剂的销售。胆钙化醇原药、胆钙化醇饵粒的生产与销售。经营进出口业务(范围详见《中华人民共和国进出口企业资格证书》)。,邵徐君,金华市,公司的主营业务为维生素D3上下游系列产品的研发、生产和销售。公司主导产品为VD3，其独特的生产工艺达到国际先进水平。公司被认定为浙江省区外高新技术企业和国家高新技术企业。公司作为主要单位参与了《饲料添加剂维生素D3微粒国家标准》(GB/T9840-2006)、《饲料添加剂维生素D3(胆钙化醇)油》(NY/T1246-2006)的标准起草和制定。公司始终注重自我研发能力的培养，在杭州生产基地建立了省级高新技术企业研究开发中心，建立了院士专家工作站，同中国科学院、浙江大学、浙江工业大学等科研院所开展了广泛的技术合作，中心配备了一流的科研设施，各实验室建制齐全，拥有一个顶级的高新技术研发平台，为公司发展提供强有力的技术支持。公司拥有自营进出口权，在杭州设立了国际业务部，在国内外建立了较完整的营销网络。产品主要出口欧美、东南亚等二十多个国家和地区，在国际维生素市场享有良好的信誉，并得到用户的好评。公司将秉承“以科技为本，以创新求发展”的经营理念，把花园高科建设成一流的维生素D3大型生产企业。,gkstock@hybiotech.cn,"主营业务为维生素D3上下游系列产品的研发,生产和销售.",马焕政,浙江,55100.76,喻铨衡,20001218,www.hybiotech.com,花园生物,0,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,7152001000,-1.85,-17.72,¥12.91,医疗保健,206,0.75,4137100,65779300.0,2.08,10000.0,4137100,2.08,2.08,1.0,17.85,13.51,15.21,-15.12,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750874
603533,2020Q4_1751036,北京市朝阳区高碑店乡惠河南街1008-B号四惠大厦二层2029E,技术推广服务；计算机系统服务；公共软件服务；经济贸易咨询；投资咨询；销售电子产品、文具用品、机械设备；设计、制作、代理、发布广告；版权贸易；翻译服务；信息服务业务(仅限互联网信息服务)不含信息搜索查询服务、信息社区服务、信息即时交互服务和信息保护和加工处理服务(增值电信业务经营许可证有效期至2024年12月04日)；信息服务业务(不含互联网信息服务)(增值电信业务经营许可证有效期至2024年09月17日)；出版物批发、零售；从事互联网文化活动；中国内地已正式出版的出版物内容的网络(含手机网络)传播；互联网游戏、手机游戏出版(网络出版服务许可证有效期至2021年12月31日)。(企业依法自主选择经营项目，开展经营活动；从事互联网文化活动、出版物批发、零售以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),成湘均,北京市,公司专注于数字阅读，是我国领先的移动阅读分发平台。公司主营业务为互联网数字阅读服务及增值服务业务，以出版社、版权机构、文学网站、作家为正版图书数字内容来源，对数字图书内容进行编辑制作和聚合管理，面向互联网发行数字阅读产品(包括漫画、有声内容等)，同时从事网络原创文学版权运营，电子书阅读器硬件产品研发及销售，基于自有互联网平台的流量增值服务。公司自主研发了数字阅读平台“掌阅”，在不断优化产品细节及性能的同时，在业内实现了3D仿真翻页、护眼模式等技术创新的产品应用，并在文档识别、转化、续读技术以及数字内容的精装排版等方面形成了核心技术优势，处于行业领先地位。公司先后当选中国版权协会、中国音像与数字出版协会、中国出版协会常务理事单位。2014年，获得国家版权局授予的“全国版权示范单位”；因在正版领域的推广运用效果显著，2015年荣获“第四届世界知识产权组织版权金奖”；2016年，入选国家新闻出版广电总局首批新闻出版业科技与标准重点实验室；2017年，荣获“第四届中国出版政府奖先进出版单位”；2018年入围第十届“全国文化企业30强”名单及提名企业名单。,ir@zhangyue.com,"主营业务:互联网数字阅读服务及增值服务业务,以出版社,版权机构,文学网站,作家为正版图书数字内容来源,对数字图书内容进行编辑制作和聚合管理,面向互联网发行数字阅读产品,销售电子书阅读器硬件产品,同时通过自有互联网平台提供游戏联运,广告营销等增值服务.主要产品:数字阅读服务业务,游戏联运业务.",成湘均,北京,43889.68,陈永倬,20080908,www.zhangyue.com,掌阅科技,2018,SHSE,SHSE,软件,31110,-,软件应用,31110020,11402574000,-20.78,-22.41,¥25.77,科技,311,0.33,1458400,49002700.0,1.55,10000.0,1458400,1.55,1.55,1.0,53.15,25.2,35.11,-26.6,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751036
