symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
MU,2021Q1_1309849,美光,0,NAS,半导体,31130,-,半导体,31130020,559857901000,-14.79,2.31,$76.92,科技,311,0.47,5325143,469731000,4.42,10000.0,5325143,4.42,4.42,1,94.76,74.05,84.89,-9.39,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1309849
ANTM,2021Q1_1309828,Anthem Inc,2011,NYSE,医疗计划,20630,-,医疗计划,20630010,626619257000,6.62,24.07,$396.12,医疗保健,206,0.48,1171845,420634000,3.96,10000.0,1171845,3.96,3.96,1,371.31,287.7,321.08,23.37,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1309828
BABA,2021Q1_1309823,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.0,3505,795000,0.01,10000.0,3505,0.01,0.01,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1309823
IMXI,2021Q1_1309842,International Money Express Inc,0,NAS,软件,31110,-,软件和信息技术服务,31110010,3973348000,4.6,1.16,$15.70,科技,311,0.03,11262,169000,0.0,10000.0,11262,0.0,0.0,1,17.28,14.17,15.47,1.49,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1309842
PRI,2021Q1_1309852,Primerica Inc,2010,NYSE,保险,10340,-,人身保险,10340010,37209166000,-6.84,9.74,$146.03,金融服务,103,0.0,1400,207000,0.0,10000.0,1400,0.0,0.0,1,157.05,129.88,143.38,1.85,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1309852
EQH,2021Q1_1309836,Equitable Holdings Inc,2018,NYSE,保险,10340,-,多元化保险,10340060,81489032000,-11.68,16.45,$29.45,金融服务,103,0.01,31259,1020000,0.01,110.34,16398,0.01,0.01,1,32.62,24.72,28.81,2.22,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 110.34 %,2021Q1_1309836
LBRDK,2021Q1_1309844,Liberty Broadband Corp,0,NAS,传媒,30820,-,娱乐,30820040,207039167000,11.19,7.22,$169.80,通信服务,308,1.49,2812608,422313000,3.97,34.65,723748,1.02,1.02,1,156.84,142.73,151.32,12.21,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 34.65 %,2021Q1_1309844
STLA,2021Q1_1309855,菲亚特克莱斯勒,0,NYSE,汽车和配件,10200,-,汽车制造,10200020,381016239000,6.56,24.27,$18.82,周期性消费,102,0.0,48219,858000,0.01,14.94,6268,0.0,0.0,1,18.17,14.31,16.19,16.24,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 14.94 %,2021Q1_1309855
FB,2021Q1_1309838,Facebook Inc,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,6314883120000,11.9,26.1,$344.46,通信服务,308,0.09,2516818,741278000,6.97,13.38,296921,0.82,0.82,1,294.53,245.64,269.28,27.92,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 13.38 %,2021Q1_1309838
KMX,2021Q1_1309833,车美仕,0,NYSE,汽车和配件,10200,-,汽车经销商,10200010,138178470000,1.6,38.96,$131.26,周期性消费,102,4.18,6813324,903856000,8.5,4.04,264327,0.33,0.33,1,135.83,93.3,121.78,7.78,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 4.04 %,2021Q1_1309833
UNH,2021Q1_1309857,联合健康,1990,NYSE,医疗计划,20630,-,医疗计划,20630010,2562938436000,8.07,20.55,$420.05,医疗保健,206,0.2,1879149,699175000,6.57,2.26,41532,0.15,0.15,1,379.06,324.34,346.21,21.33,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 2.26 %,2021Q1_1309857
CACC,2021Q1_1309834,Credit Acceptance Corp,0,NAS,信贷,10360,-,信贷服务,10360010,48262401000,25.55,31.61,$455.57,金融服务,103,9.88,1620775,583852000,5.49,1.14,18256,0.06,0.06,1,425.76,325.19,362.45,25.69,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.14 %,2021Q1_1309834
EXPD,2021Q1_1309837,康捷国际物流,1993,NAS,交通运输,31080,-,装卸搬运和其他运输代理,31080060,139144839000,15.22,34.59,$127.43,工业,310,0.06,102132,10999000,0.1,0.0,0,0.0,0.0,1,108.4,89.52,96.27,32.37,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1309837
MHK,2021Q1_1309850,莫霍克工业,0,NYSE,家具制造,10220,-,家具制造,10220010,85987131000,-5.39,35.36,$190.79,周期性消费,102,0.02,10833,2083000,0.02,0.0,0,0.0,0.0,1,195.67,136.11,166.69,14.46,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1309850
GTTN,2021Q1_1309840,GTT Communications Inc,0,OTCPK,通信,30810,-,电信服务,30810010,323026000,-50.58,-76.19,$0.85,通信服务,308,0.04,24100,44000,0.0,0.0,0,0.0,0.0,1,5.65,1.67,3.06,-72.22,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1309840
ANGI,2021Q1_1309827,安吉斯里斯特,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,38292085000,-30.88,-10.95,$11.75,通信服务,308,0.0,11972,156000,0.0,0.0,0,0.0,0.0,1,18.07,11.74,14.52,-19.08,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1309827
