symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
LH,2021Q1_1347838,实验美控,0,NYSE,医疗诊断和研究,20660,-,诊断和研究,20660010,174943652000,6.76,36.06,$276.95,医疗保健,206,0.1,100000,25503000,3.06,10000.0,100000,3.06,3.06,1,255.03,204.88,233.67,18.52,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347838
BPY,2021Q1_1347896,Brookfield Property Partners LP,2013,NAS,房地产,10410,-,房地产服务,10410020,115237313000,5.79,33.6,$19.00,房地产,104,0.04,345200,6141000,0.74,10000.0,345200,0.74,0.74,1,18.11,16.75,17.45,8.88,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347896
WMPN,2021Q1_1347893,William Penn Bancorporation,2011,NAS,银行,10320,-,区域性银行,10320020,1157409000,3.6,-68.95,$11.80,金融服务,103,2.67,405000,4605000,0.55,10000.0,405000,0.55,0.55,1,39.0,11.36,35.55,-66.81,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347893
CMIIU,2021Q1_1347788,CM Life Sciences II Inc,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-12.07,0.0,$11.87,金融服务,103,0.0,300000,3840000,0.46,10000.0,300000,0.46,0.46,1,13.65,11.26,12.55,-5.42,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347788
EHTH,2021Q1_1347801,易康,0,NAS,保险,10340,-,保险中介,10340050,9863822000,-16.69,-17.41,$58.32,金融服务,103,0.19,50000,3637000,0.44,10000.0,50000,0.44,0.44,1,85.09,47.85,63.77,-8.55,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347801
SWI,2021Q1_1347871,SolarWinds Corp,0,NYSE,软件,31110,-,软件基础构架,31110030,34097529000,-8.3,11.64,$16.69,科技,311,0.05,165000,2878000,0.34,10000.0,165000,0.34,0.34,1,17.63,14.43,16.34,2.14,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347871
KSS,2021Q1_1347836,柯尔,2021,NYSE,零售,10280,-,百货公司,10280020,51556786000,-13.43,26.67,$51.04,周期性消费,102,0.02,30000,1788000,0.21,10000.0,30000,0.21,0.21,1,62.99,38.78,51.32,-0.55,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347836
SVAC,2021Q1_1347872,Starboard Value Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,3248330000,0.2,-3.96,$9.95,金融服务,103,0.3,150000,1490000,0.18,10000.0,150000,0.18,0.18,1,11.15,9.88,10.5,-5.24,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347872
VMD,2021Q1_1347888,Viemed Healthcare Inc,0,NAS,医疗器械,20650,-,医疗设备,20650010,1741489000,-30.85,-12.76,$6.77,医疗保健,206,0.34,135442,1371000,0.16,10000.0,135442,0.16,0.16,1,10.8,7.86,9.42,-28.13,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347888
GNPK,2021Q1_1347897,Genesis Park Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,1342148000,-0.39,0.0,$10.14,金融服务,103,0.49,100000,1049000,0.13,10000.0,100000,0.13,0.13,1,11.44,9.8,10.41,-2.59,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347897
CCK,2021Q1_1347795,皇冠控股,0,NYSE,包装和容器,10250,-,包装和容器,10250010,91204855000,-3.35,4.76,$104.57,周期性消费,102,0.01,10000,970000,0.12,10000.0,10000,0.12,0.12,1,101.01,86.0,96.41,8.46,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347795
PACX,2021Q1_1347902,Pioneer Merger Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,3217176000,0.71,0.0,$9.89,金融服务,103,0.2,100000,972000,0.12,10000.0,100000,0.12,0.12,1,10.1,9.65,9.83,0.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347902
FCAC,2021Q1_1347807,Falcon Capital Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,2510819000,-9.27,-14.61,$9.00,金融服务,103,0.19,80000,798000,0.1,10000.0,80000,0.1,0.1,1,12.5,9.92,10.9,-17.43,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347807
GLDD,2021Q1_1347819,Great Lakes Dredge & Dock Corp,0,NAS,建筑,31040,-,土木工程和建筑,31040010,6030846000,-3.79,7.9,$14.21,工业,310,0.08,50000,729000,0.09,10000.0,50000,0.09,0.09,1,15.76,12.96,14.59,-2.6,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347819
SRSA,2021Q1_1347900,Sarissa Capital Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,1593041000,-2.59,-2.67,$9.85,金融服务,103,0.26,65000,657000,0.08,10000.0,65000,0.08,0.08,1,11.59,9.89,10.54,-6.55,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347900
FGPRQ,2021Q1_1347811,Ferrellgas Partners LP,0,OTCPK,石油与天然气,30910,-,石油与天然气 - 精炼与营销,30910050,12993270000,64.42,298.08,$20.70,能源,309,0.7,677925,586000,0.07,10000.0,677925,0.07,0.07,1,0.93,0.25,0.62,3238.71,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347811
TMKR,2021Q1_1347874,Tastemaker Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,2173287000,-1.02,0.0,$9.75,金融服务,103,0.17,59075,575000,0.07,10000.0,59075,0.07,0.07,1,9.95,9.69,9.81,-0.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1347874
