symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
BIDU,2021Q1_1043334,百度集团,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,416819279000,-11.75,-14.21,$185.52,通信服务,308,0.1,352140,76608000,13.18,10000.0,352140,13.18,13.18,1,339.91,203.97,261.9,-29.16,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043334
VIAC,2021Q1_1043435,维亚康姆CBS,2009,NAS,传媒,30820,-,娱乐,30820040,173456159000,5.81,12.1,$41.29,通信服务,308,0.15,1000000,45100000,7.76,10000.0,1000000,7.76,7.76,1,100.34,36.6,61.05,-32.37,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043435
TME,2021Q1_1043427,腾讯音乐,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,135697104000,-31.07,-35.55,$12.40,通信服务,308,0.1,1688418,34596000,5.95,10000.0,1688418,5.95,5.95,1,31.79,19.37,25.39,-51.16,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043427
LYFT,2021Q1_1043394,来福车,0,NAS,软件,31110,-,软件应用,31110020,116550612000,-15.07,11.4,$54.73,科技,311,0.13,432240,27309000,4.7,10000.0,432240,4.7,4.7,1,67.42,43.62,55.85,-2.01,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043394
AMZN,2021Q1_1043327,亚马逊,0,NAS,零售,10280,-,网络零售,10280050,11831859762000,7.46,11.49,$3631.20,周期性消费,102,0.0,7763,24019000,4.13,10000.0,7763,4.13,4.13,1,3380.0,2951.95,3171.97,14.48,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043327
FB,2021Q1_1043362,Facebook Inc,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,6314883120000,11.9,26.1,$344.46,通信服务,308,0.0,72141,21248000,3.65,10000.0,72141,3.65,3.65,1,294.53,245.64,269.28,27.92,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043362
SJIV,2021Q1_1043422,South Jersey Industries Inc,0,NYSE,公共事业 - 管制,20720,-,公共事业 - 多元化,20720040,0,3.03,0.0,$55.05,公用事业,207,0.0,250000,12524000,2.15,10000.0,250000,2.15,2.15,1,50.5,49.37,49.96,10.19,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043422
NFLX,2021Q1_1043399,奈飞,0,NAS,传媒,30820,-,娱乐,30820040,1556540628000,-1.14,0.41,$542.95,通信服务,308,0.0,20995,10952000,1.88,10000.0,20995,1.88,1.88,1,586.34,493.33,530.86,2.28,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043399
BEKE,2021Q1_1043389,贝壳,0,NYSE,房地产,10410,-,房地产服务,10410020,300290889000,-23.89,-36.63,$39.00,房地产,104,0.02,190827,10873000,1.87,10000.0,190827,1.87,1.87,1,76.69,47.08,62.93,-38.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043389
VIPS,2021Q1_1043436,唯品会,0,NYSE,零售,10280,-,网络零售,10280050,87447784000,-29.07,-30.02,$19.67,周期性消费,102,0.05,340000,10152000,1.75,10000.0,340000,1.75,1.75,1,45.58,27.42,34.47,-42.94,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043436
HHLA.U,2021Q1_1043379,HH&L Acquisition Co,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-1.17,0.0,$10.11,金融服务,103,0.0,1000000,10100000,1.74,10000.0,1000000,1.74,1.74,1,10.93,9.94,10.35,-2.32,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043379
CVII.U,2021Q1_1043353,Churchill Capital Corp VII,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-0.4,0.0,$10.02,金融服务,103,0.0,919281,9165000,1.58,10000.0,919281,1.58,1.58,1,11.2,9.93,10.32,-2.91,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043353
IMAB,2021Q1_1043380,天境生物,0,NAS,生物科技,20610,-,生物科技,20610010,36881726000,29.79,57.29,$74.16,医疗保健,206,0.25,190086,9213000,1.58,10000.0,190086,1.58,1.58,1,63.97,44.38,54.31,36.55,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043380
NGC.U,2021Q1_1043401,Northern Genesis Acquisition Corp III,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-0.04,0.0,$10.10,金融服务,103,0.0,900000,8982000,1.54,10000.0,900000,1.54,1.54,1,10.0,9.87,9.94,1.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043401
CHGG,2021Q1_1043350,Chegg Inc,0,NYSE,教育,20540,-,教育培训服务,20540010,74710372000,-11.23,-9.81,$81.47,非周期性消费,205,0.06,82391,7058000,1.21,10000.0,82391,1.21,1.21,1,113.51,81.37,95.58,-14.76,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043350
XPEV,2021Q1_1043439,小鹏汽车,0,NYSE,汽车和配件,10200,-,汽车制造,10200020,200018310000,22.64,-10.09,$38.51,周期性消费,102,0.02,170435,6223000,1.07,10000.0,170435,1.07,1.07,1,56.39,26.92,41.65,-7.54,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043439
C,2021Q1_1043354,花旗,2011,NYSE,银行,10320,-,多元化银行,10320010,896987936000,-4.94,12.67,$68.45,金融服务,103,0.0,85080,6190000,1.06,10000.0,85080,1.06,1.06,1,75.18,57.99,66.7,2.62,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043354
WFC,2021Q1_1043438,富国银行,2020,NYSE,银行,10320,-,多元化银行,10320010,1195212205000,6.77,49.77,$45.00,金融服务,103,0.0,154750,6046000,1.04,10000.0,154750,1.04,1.04,1,40.81,29.7,35.37,27.23,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043438
TWLO,2021Q1_1043433,Twilio Inc,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,408673521000,-6.06,8.2,$366.27,通信服务,308,0.01,16000,5452000,0.94,10000.0,16000,0.94,0.94,1,443.49,315.08,375.54,-2.47,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043433
SLAMU,2021Q1_1043420,Slam Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,1.1,0.0,$10.15,金融服务,103,0.0,546448,5421000,0.93,10000.0,546448,0.93,0.93,1,10.51,9.83,10.08,0.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043420
KAHC.U,2021Q1_1043391,KKR Acquisition Holdings I Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,0.5,0.0,$10.10,金融服务,103,0.0,500000,5005000,0.86,10000.0,500000,0.86,0.86,1,10.15,9.96,10.02,0.8,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043391
CHAA.U,2021Q1_1043345,Catcha Investment Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-1.29,0.0,$9.97,金融服务,103,0.0,504900,5024000,0.86,10000.0,504900,0.86,0.86,1,10.64,9.8,10.2,-2.25,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043345
NGAB,2021Q1_1043405,Northern Genesis Acquisition Corp II,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,3313431000,-1.88,0.0,$9.91,金融服务,103,0.97,500000,4960000,0.85,10000.0,500000,0.85,0.85,1,10.25,0.0,9.44,4.98,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043405
GMIIU,2021Q1_1043373,Gores Metropoulos II Inc,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-1.26,0.0,$10.15,金融服务,103,0.0,487061,4919000,0.85,10000.0,487061,0.85,0.85,1,11.39,9.95,10.66,-4.78,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043373
SRNGU,2021Q1_1043421,Soaring Eagle Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-0.76,0.0,$10.46,金融服务,103,0.0,454989,4604000,0.79,10000.0,454989,0.79,0.79,1,11.0,10.04,10.39,0.67,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043421
BTWN,2021Q1_1043342,Bridgetown Holdings Ltd,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,4786026000,-6.92,-35.66,$9.96,金融服务,103,0.54,400000,4340000,0.75,10000.0,400000,0.75,0.75,1,17.37,10.5,13.81,-27.88,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043342
DIS,2021Q1_1043357,迪士尼,2020,NYSE,传媒,30820,-,娱乐,30820040,2161741925000,-0.96,1.64,$184.15,通信服务,308,0.0,23200,4281000,0.74,10000.0,23200,0.74,0.74,1,201.91,163.03,184.47,-0.17,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043357
ETSY,2021Q1_1043359,Etsy Inc,0,NAS,零售,10280,-,网络零售,10280050,149704391000,-16.87,2.47,$182.30,周期性消费,102,0.02,20337,4101000,0.71,10000.0,20337,0.71,0.71,1,244.58,167.57,209.7,-13.07,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043359
BAC,2021Q1_1043338,美国银行,2009,NYSE,银行,10320,-,多元化银行,10320010,2130745583000,0.7,29.3,$38.83,金融服务,103,0.0,105700,4090000,0.7,10000.0,105700,0.7,0.7,1,38.99,29.65,34.49,12.58,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1043338
