symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
603486,2020Q4_1751645,江苏省苏州市吴中区友翔路18号,研发、设计、制造家庭服务机器人、智能化清洁机械及设备、电子产品及相关零部件、机电产品、非金属模具，货物和技术的进出口(不含分销业务)，销售公司自产产品。(依法须经批准的项目，经相关部门批准后方可开展经营活动),庄建华,苏州市,"公司创建于1998年3月，目前已经发展成为拥有高端品牌“科沃斯”及核心技术的集团公司。公司主营业务是各类家庭服务机器人,清洁类小家电等智能家用设备及相关零部件的研发,设计,生产与销售,为全球知名的家庭服务机器人制造商之一。经过多年的发展,公司已形成了包括扫地机器人,擦窗机器人,空气净化机器人,管家机器人在内的较为完整的家庭服务机器人产品线以及品类丰富的清洁类小家电产品线。目前，科沃斯机器人先后在德国、美国、日本建立了销售子公司，并成功开拓西班牙、瑞士、法国、加拿大、捷克、波兰、德国、马来西亚等多个国家和地区的市场。",ir@ecovacs.com;fanny.zhou@ecovacs.com,"主营业务为各类家庭服务机器人,清洁类小家电等智能家用设备及相关零部件的研发,设计,生产与销售,主要产品大致可划分为服务机器人和清洁类小家电等两大模块.",庄建华,江苏,57254.4,马建军,19980311,www.ecovacs.cn,科沃斯,0,SHSE,SHSE,家具制造,10220,-,家具制造,10220010,141107837000,107.78,183.3,¥225.17,周期性消费,102,0.04,221100,19562100.0,3.91,10000.0,221100,3.91,3.91,1.0,89.0,28.1,51.74,335.2,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751645
603068,2020Q4_1751643,上海市中国(上海)自由贸易试验区张东路1387号41幢101(复式)室2F-3F/102(复式)室,集成电路的研发、设计；软件的设计、开发、制作，销售自产产品，提供相关技术服务；集成电路芯片和软件产品的批发、佣金代理(拍卖除外)、进出口及相关配套售后服务【依法须经批准的项目，经相关部门批准后方可开展经营活动】,PENGFEI ZHANG,上海市,"公司成立于2004年12月1日,是一家提供无线通讯射频芯片和解决方案的集成电路设计公司，主要基于世界领先的RF-CMOS收发器设计技术和富有创新性的数字信号处理系统设计高集成度高性能的半导体产品。公司成立以来，已成功推出了世界首颗5.8-GHz无绳电话集成收发器芯片，集成度最高的2.4-GHz无绳电话收发器芯片，功耗最低的5.8-GHz通用无线FSK收发器芯片，世界首款满足我国公路不停车收费国家标准的5.8-GHz集成收发器芯片以及其他几个系列的具有广泛应用前景的集成电路产品。近年来，公司的研发团队在多个领域取得显著成绩，先后获得了上海市科技进步奖三等奖、上海市浦东新区科技进步奖二等奖、年度中国IC设计公司成就奖、年度最佳无线产品奖(BK8000蓝牙音频SoC)、年度十大大中华IC设计公司品牌奖、十大最具发展潜力中国IC设计公司等奖项。同时，公司凭借优质的产品和服务，赢得了品牌客户的广泛赞誉，树立了良好的品牌形象，营业收入和盈利水平均保持着较快的增长速度。",IR@bekencorp.com,"无线通讯集成电路芯片的研发与销售,具体类型分为无线数传芯片和无线音频芯片.公司目前产品应用类别主要包括5.8G产品,WIFI产品,蓝牙数传,通用无线,对讲机,广播收发,蓝牙音频,无线麦克风等.",PENGFEI ZHANG,上海,15042.5,李丽莉,20041201,www.bekencorp.com,博通集成,2019,SHSE,SHSE,硬件,31120,-,电子元件,31120040,11509939000,39.29,-9.53,¥80.75,科技,311,0.13,201200,17156500.0,3.43,10000.0,201200,3.43,3.43,1.0,93.76,53.94,73.98,9.15,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751643
002179,2020Q4_1751587,河南省洛阳市高新技术开发区周山路10号,电子元器件及相关设备、新能源汽车充电设备的研发、生产、销售与服务，从事与本企业经营相关的进出口业务。,郭泽义,洛阳市,公司是中国专业为军工防务及高端制造领域提供互连技术解决方案的高科技企业。公司产品广泛应用于航空航天和军事领域、通讯网络与数据中心、轨道交通、新能源汽车、电力、石油装备、医疗设备以及智能装备等民用高端制造领域；产品远销欧洲、美国、以色列、澳大利亚、韩国、印度等海外多个国家和地区。公司总部拥有“国家认定企业技术中心”、“博士后科研工作站”以及国家和国防认可实验室，专业从事中高端光、电、流体连接技术与设备的研究与开发。公司通过了AS9100国际航空航天质量管理体系认证、ISO9001(2000)质量体系认证、TS16949体系认证、ISO14001环境体系认证、OHSAS18001职业健康安全管理体系认证等。公司多项重点产品通过了UL、CUL、CE、TUV、CB等安规认证。,liuyang@jonhon.cn;zhengquan@jonhon.cn;yehua@jonhon.cn,"主要业务为电连接器,光器件和线缆组件的研发,生产和销售.主要生产电连接器和光器件.",李森,河南,109994.51,刘阳,20021231,www.jonhon.cn,中航光电,2017,SZSE,SZSE,硬件,31120,-,电子元件,31120040,89195464000,4.96,3.76,¥83.72,科技,311,0.02,214400,16781800.0,3.36,10000.0,214400,3.36,3.36,1.0,78.29,39.96,52.39,59.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751587
688169,2020Q4_1751653,"北京市海淀区黑泉路8号1幢康健宝盛广场C座六层6016,6017,6018号",软件及智能清洁设备的技术研发、技术转让、技术咨询、技术服务；智能清洁设备的委托加工；电子产品、机械设备、文化用品的批发、零售；销售日用品；仪器仪表维修；租赁机械设备、文化用品、日用品；销售自行开发的软件产品；货物进出口、技术进出口、代理进出口。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),昌敬,北京市,公司是一家专注于家用智能清洁机器人及其他清洁电器研发和生产的公司。公司是国际上将激光雷达技术及相关算法大规模应用于智能扫地机器人领域的领先企业。智能扫地机器人在通过基于激光测距传感器、惯性测量单元等传感器的SLAM算法构建出户型地图后，再根据户型地图进行定位，同时通过AI算法规划出智能、高效的清扫路径，可以有效避免漏扫重扫。服务器端通过对联网产品数据进行深度学习、算法优化从而不断迭代升级机器人算法。公司在研发与产品设计方面处于行业前列。公司分别被授予“国家高新技术企业”、“中关村高新技术企业”、“北京市知识产权试点企业”、“中国机器人产业联盟会员”、“中关村企业信用促进会会员”、“北京半导体行业协会会员”等资质，公司产品曾被授予“北京市新技术新产品(服务)”、“国际IF设计大奖”、“台湾金点奖”、“中国优秀工业设计奖”等多项荣誉。,ir@roborock.com,"主要产品为智能扫地机器人及相关配件,主营业务为智能清洁机器人等智能硬件的设计,研发,生产和销售.",昌敬,北京,6666.67,孙佳,20140704,www.roborock.com,石头科技,0,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,72542449000,9.07,5.76,¥1030.48,工业,310,0.02,15700,16295200.0,3.26,10000.0,15700,3.26,3.26,1.0,1065.0,377.2,640.11,60.98,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751653
601689,2020Q4_1751640,浙江省宁波市北仑区大碶街道育王山路268号,一般项目：汽车零部件研发；汽车零部件及配件制造；汽车零配件批发；合成纤维制造；合成纤维销售；产业用纺织制成品制造；产业用纺织制成品销售；模具制造；模具销售；专用设备制造(不含许可类专业设备制造)；机械设备销售。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可项目：货物进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准),邬建树,宁波市,公司主要从事汽车NVH(即减震降噪及舒适性控制)领域橡胶减震产品和隔音产品的研发、生产与销售，致力于消除来自于汽车动力总成、路面及空气的振动与噪声，提升整车的舒适性及平顺性。公司在汽车NVH领域的技术及研发水平位居国内前列，是国内为数不多的具备整车同步研发能力的NVH零部件供应商之一，也是国内较早进入全球整车配套零部件采购体系的自主品牌汽车零部件生产企业。近年来，公司凭借一流的研发能力、生产工艺及制造水平已逐步获得国际汽车界的认可，先后进入通用汽车、克莱斯勒、奥迪、宝马等知名汽车制造商的全球研发体系及零部件采购体系，逐渐成长为面向国际、国内两个市场，专业化和规模化的汽车NVH零部件系统集成供应商。公司的同步研发及系统集成能力符合世界知名整车制造商全球采购的技术指标，具有较强的国际竞争力。研发中心被认定为“宁波市企业工程(技术)中心”，“省级高新技术企业研究开发中心”，研发中心下设的“产品测试中心”符合ISO/IEC17025实验室检测能力标准，成为“国家级测试中心”。,tuopu@tuopu.com;wmz@tuopu.com;gyc@tuopu.com,"本公司主要从事汽车NVH(即减震降噪及舒适性控制)领域橡胶减震产品和隔音产品的研发,生产与销售,致力于消除来自于汽车动力总成,路面及空气的振动与噪声,提升整车的舒适性及平顺性.公司产品包括汽车橡胶减震产品和隔音产品两大类,划分为悬置,扭震,衬套和汽车隔音件等四大系列,共3,000多个品种.",王斌,浙江,110204.66,王明臻,20040422,www.tuopu.com,拓普集团,2020,SHSE,SHSE,汽车和配件,10200,-,汽车配件,10200030,36125060000,-4.71,-14.2,¥32.70,周期性消费,102,0.04,404800,15556500.0,3.11,10000.0,404800,3.11,3.11,1.0,43.29,32.5,37.82,-13.54,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751640
300357,2020Q4_1751596,浙江省湖州市德清县武康镇志远北路636号,许可经营项目:生产销售变态反应原制品、体内诊断试剂。二类:医用化验和基础设备器具的销售。一般经营项目:研究开发口服脱敏药、生物及化学制剂药品、生物及化学医药原料、医药包装材料、保健食品以及研究开发上述产品所需的机械设备、仪器仪表；并提供相关技术咨询、技术服务；经营进出口业务。(上述经营范围不含国家法律法规规定禁止、限制和许可经营的项目。),胡赓熙,湖州市,公司是一家专业从事过敏性疾病诊断及治疗产品的研发、生产和销售的高科技生物制药企业。公司主营创新药物，拥有国际领先水平的生物制药技术。公司自主研发的产品曾获得国家高新技术产业化项目、省重点高新技术产品计划等项目支持。脱敏药物系列产品的开发，不仅给过敏患者带来安全有效的舌下脱敏治疗方式，更填补了舌下脱敏药物及过敏原皮肤点刺诊断试剂在国内市场的空白；同时公司已经启动了向全球各个主要经济地区成药出口的法律注册程序。,invest@wolwobiotech.com,"主营业务:研发,生产和销售变应原制品.主要产品包括“粉尘螨滴剂”(商品名:畅迪)和“粉尘螨皮肤点刺诊断试剂盒”(商品名:畅点).",胡赓熙,浙江,52358.4,胡赓熙,20020919,www.wolwobiotech.com,我武生物,2020,SZSE,SZSE,医药制造,20620,-,通用医药制造,20620010,35140685000,4.45,-13.39,¥70.77,医疗保健,206,0.04,191300,14675200.0,2.93,10000.0,191300,2.93,2.93,1.0,76.7,54.9,62.98,12.37,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751596
002304,2020Q4_1751588,江苏省宿迁市洋河中大街118号,酒类的生产、销售，预包装食品的批发与零售，粮食收购，自营和代理各类商品和技术的进出口(国家限定公司经营或禁止进出口的商品和技术除外)，国内贸易，电子商务平台建设，商品的网上销售。,张联东,宿迁市,公司是国有大型酿酒企业，公司主导产品洋河大曲已有500多年的历史，早在明清时代就享有盛名。洋河大曲属浓香型大曲酒，以优质高粱为原料，以小麦、大麦、豌豆制成的高温火曲为发酵剂，辅以闻名遐迩的美人泉水精工酿制而成，形成了“甜、绵、软、净、香”的独特风格，被专家和广大消费者誉为浓香型大曲酒的正宗代表。“洋河”商标被国家工商总局评定为“中国驰名商标”，产品获“江苏省重点名牌产品”。全力打造的“绵柔型”白酒经典之作洋河蓝色经典，面市以来销售增长迅猛，“蓝色风暴”愈刮愈猛，“蓝色魅力”已征服了越来越多的白酒消费者，并已成为竞争激烈的白酒市场中颇受关注的成功营销范例。,yanghe002304@vip.163.com,"主营业务:洋河蓝色经典,洋河大曲,敦煌古酿等系列品牌浓香型白酒的生产,加工和销售",钟雨,江苏,150698.8,陆红珍,20021227,www.chinayanghe.com,洋河股份,2020,SZSE,SZSE,酒精饮料,20510,-,其他酒类,20510020,293542177000,32.14,-15.75,¥207.32,非周期性消费,205,0.0,61800,14584200.0,2.92,10000.0,61800,2.92,2.92,1.0,235.99,122.01,157.43,31.69,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751588
600803,2020Q4_1751635,"河北省廊坊市开发区华祥路118号B座,河北省石家庄市和平东路383号",以天然气为主的清洁能源项目建设，清洁能源管理服务，天然气清洁能源技术研发、技术咨询、技术服务、技术转让，企业管理咨询，商务咨询服务(证券、投资、期货、教育、培训除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),王玉锁,石家庄市,新奥生态控股股份有限公司是河北省最早上市企业之一，股票代码：600803。作为新奥集团清洁能源产业链重要组成部分，我们从国家发展需求和战略使命出发，着力发展天然气上游产业链，提供产品和服务。新奥股份致力于实现“具有创新力和竞争力的天然气上游供应商”愿景。核心业务涵盖天然气开发、生产、加工和投资；能源技术工程服务；甲醇等能源化工产品生产和销售；煤炭开采与洗选。未来，我们将凭借技术创新和全价值链能力，以创新模式实现可持续发展。,enn-ec@enn.cn;lianghongyu@enn.cn,"主营业务:液化天然气生产/销售与投资,能源技术工程服务,甲醇等能源化工产品生产,销售与贸易,煤炭的开采,洗选与贸易,以及生物制农兽药原料药及制剂的生产与销售",郑洪弢,河北,284585.36,梁宏玉,19921229,www.enn-ec.com.cn,新奥股份,2016,SHSE,SHSE,企业集团,31030,-,企业集团,31030010,51083008000,1.35,32.23,¥17.89,工业,310,0.03,913300,12411400.0,2.48,10000.0,913300,2.48,2.48,1.0,14.82,10.5,12.65,41.42,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751635
603129,2020Q4_1751644,浙江省杭州市余杭区余杭经济开发区五洲路116号,制造：摩托车，摩托车发动机，全地形车，摩托车配件，汽车配件。服务：摩托车、摩托车发动机、全地形车、摩托车配件、汽车配件、雪地车、游艇及配件的技术开发；批发、零售：摩托车，摩托车发动机，全地形车，摩托车配件，汽车配件，游艇及配件，机电设备，日用百货，金属材料，电子产品，通讯设备，塑料制品，服装鞋帽，体育用品，工艺礼品，电池，润滑油；货物进出口(法律、行政法规禁止经营的项目除外，法律、行政法规限制经营的项目取得许可证后方可经营)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,赖国贵,杭州市,公司是一家专注于大排量水冷动力技术研发制造的国家级高新技术企业。公司主营业务为全地形车，摩托车及后市场用品的研发，制造和销售。公司专注于大排量水冷动力技术这一核心竞争力，以进取之心打造无与伦比的操控驾驶乐趣，让细节处彰显与时俱进的科技感。如今，CFMOTO已在全球四轮车领域多个国家排名位居首位。在中国，NK家族系列街车，摩旅车型650MT，公路旅行车650TR-G等已成为引领休闲类大排量水冷摩托车的行业标杆。公司始终坚持走产、学、研相结合的开发理念，坚持研发投入，自主研发了国内第一款650cc大排量街车、国内第一款800cc大排量全地形越野车等产品填补了多项国内技术空白。,board@cfmoto.com;Board01@cfmoto.com,"主营业务为全地形车,摩托车,游艇及休闲运动装备等后市场用品的研发,生产和销售.公司产品包括400cc至800cc排量段CForce,UForce,Zforce系列四轮全地形车;125cc-250cc小排量,250cc-500cc中等排量,500cc以上大排量摩托车.",赖民杰,浙江,13437.73,周雄秀,20031209,www.cfmoto.com,春风动力,2018,SHSE,SHSE,汽车和配件,10200,-,娱乐型汽车,10200040,17273532000,-11.77,-24.39,¥127.20,周期性消费,102,0.05,68400,11914600.0,2.38,10000.0,68400,2.38,2.38,1.0,182.28,134.0,159.46,-20.23,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751644
600884,2020Q4_1751636,浙江省宁波市鄞州区日丽中路777号杉杉大厦26层,服装、针织品、皮革制品的批发、零售；商标有偿许可使用；自营和代理货物和技术的进出口业务，但国家限定经营或禁止进出口的货物和技术除外；锂离子电池材料的批发、零售；房屋租赁；实业项目投资；以下限分支机构经营：服装、针织品、皮革制品的制造、加工，锂离子电池材料的生产、加工。,郑永刚,宁波市,公司成立于1992年，公司自1996年A股上市以来由国内第一家上市的服装企业转型为新能源产业领军企业，现有业务覆盖锂离子电池材料、电池系统集成(包括锂离子电容、动力电池PACK)、能源管理服务和充电桩建设及新能源汽车运营等新能源业务，以及服装、创投和融资租赁等业务，其中新能源业务已经成为公司主要的业绩来源及未来发展重点。经过多年发展，杉杉股份已经成为全球规模最大的锂离子电池材料综合供应商，并一直致力于将公司打造成为全球新能源产业的领导者。,ssgf@shanshan.com,"西服,休闲服,锂离子电池材料,衬衫",李智华,浙江,162800.92,陈莹,19921214,www.ssgf.net,杉杉股份,2018,SHSE,SHSE,化工,10130,-,特种化学制品,10130020,52580555000,143.34,79.37,¥33.63,基础材料,101,0.04,624200,11254300.0,2.25,10000.0,624200,2.25,2.25,1.0,19.02,10.84,13.96,140.9,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751636
