symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
002352,2020Q4_1749643,广东省深圳市福田区新洲十一街万基商务大厦,投资兴办实业(具体项目另行申报)；市场营销策划、投资咨询及其它信息咨询(不含人才中介服务、证券及限制项目)；供应链管理；资产管理、资本管理、投资管理(不得从事信托、金融资产管理、证券资产管理等业务)；道路普通货物运输；汽车租赁；总部管理。,王卫,深圳市,公司是国内领先的快递物流综合服务商，经过多年发展，已初步建立为客户提供一体化综合物流解决方案的能力，不仅提供配送端的高质量物流服务，还延伸至价值链前端的产、供、销、配等环节，以消费者需求出发，利用大数据分析和云计算技术，为客户提供仓储管理、销售预测、大数据分析、金融管理等一揽子解决方案。公司的物流产品主要包含：时效快递、经济快递、同城配送、仓储服务、国际快递等多种快递服务，物流普运、重货快运等快运服务，以及为生鲜、食品和医药领域的客户提供冷链运输服务。此外，公司还提供保价、代收货款等增值服务，以满足客户个性化需求。经过多年潜心经营和前瞻性战略布局，公司已形成拥有“天网+地网+信息网”三网合一、可覆盖国内外的综合物流服务网络。公司荣获中国物流与采购联合会“AAAAA”物流企业，中国物流与采购联合会“中国物流改革开放30年旗帜企业”，中国快递物流示范基地，十佳电子商务物流创新企业等荣誉。,sfir@sf-express.com,"主要业务:为客户提供仓储管理,销售预测,大数据分析,金融管理等一揽子解决方案.物流产品主要包含:时效快递,经济快递,同城配送,仓储服务,国际快递等多种快递服务,物流普运,重货快运等快运服务,以及为生鲜,食品和医药领域的客户提供冷链运输服务.",王卫,广东,441458.53,甘玲,20030522,www.sf-express.com,顺丰控股,2019,SZSE,SZSE,交通运输,31080,-,装卸搬运和其他运输代理,31080060,297125608000,1.58,-25.64,¥65.02,工业,310,0.15,6861500,605386400,5.7,10000.0,6861500,5.7,5.7,1.0,92.99,55.5,77.39,-15.98,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749643
000333,2020Q4_1749637,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,生产经营家用电器、电机及其零部件；从事家用电器、家电原材料及零配件的进出口、批发及加工业务(不设店铺，不涉及国营贸易管理商品，涉及配额、许可证管理商品的按国家规定办理)；信息技术服务；为企业提供投资顾问及管理服务；计算机软件、硬件开发；家电产品的安装、维修及售后服务；工业产品设计；酒店管理；广告代理；物业管理；企业所需的工程和技术研究、开发及其销售和推广；对金融业进行投资。(经营范围涉及行政许可的项目须凭有效许可证或批准证明经营),方洪波,佛山市,公司是一家消费电器、暖通空调、机器人与自动化系统、智能供应链(物流)的科技集团，提供多元化的产品种类与服务，包括以厨房家电、冰箱、洗衣机、及各类小家电为核心的消费电器业务；以家用空调、中央空调、供暖及通风系统为核心的暖通空调业务；以库卡集团、美的机器人公司等为核心的机器人及自动化系统业务;以安得智联为集成解决方案服务平台的智能供应链业务。公司以“科技尽善，生活尽美”为企业愿景，将“联动人与万物，启迪美的世界”作为使命，恪守“敢知未来——志存高远、务实奋进、包容共协、变革创新”的价值观，整合全球资源，推动技术创新，每年为全球超过3亿用户、及各领域的重要客户与战略合作伙伴提供满意的产品和服务，致力创造美好生活。,IR@midea.com,"以家电产业为主,涉足电机,物流等领域,旗下分为四大业务板块,分别为大家电,小家电,电机及物流",方洪波,广东,704515.93,江鹏,20000407,www.midea.com,美的集团,2014,SZSE,SZSE,家具制造,10220,-,家具制造,10220010,504918392000,-9.25,-26.09,¥69.78,周期性消费,102,0.06,4266100,419954000,3.95,10000.0,4266100,3.95,3.95,1.0,98.44,61.19,76.9,-9.26,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749637
601166,2020Q4_1749702,福建省福州市湖东路154号,(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)代理发行股票以外的有价证券；(九)买卖、代理买卖股票以外的有价证券；(十)资产托管业务；(十一)从事同业拆借；(十二)买卖、代理买卖外汇；(十三)结汇、售汇业务；(十四)从事银行卡业务；(十五)提供信用证服务及担保；(十六)代理收付款项及代理保险业务；(十七)提供保管箱服务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经国务院银行业监督管理机构批准的其他业务。,陶以平,福州市,公司成立于1988年8月，总行设在福建省福州市，是经国务院、中国人民银行批准成立的首批股份制商业银行之一。公司先后成立兴业信托、兴业金融租赁、兴业基金、兴业消费金融、兴业研究、兴业数字金融、兴业资产管理等机构，成为拥有最多金融牌照的商业银行之一，从单一银行已逐步演进为以银行为母体，涵盖信托、租赁、基金、消费金融、期货、资产管理、研究咨询、数字金融等在内的现代金融服务集团。旗下公司茁壮成长，部分子公司如兴业信托、兴业租赁、兴业基金等已跻身行业主流阵营。作为中国首家赤道银行和绿色金融的拓荒者、领跑者，公司在国内最早建立专业团队十年深耕绿色金融，已建成覆盖绿色融资、绿色租赁、绿色信托、绿色基金、绿色投资、绿色消费等多个领域的集团绿色产品服务体系。,irm@cib.com.cn,主营业务:商业银行业务,陶以平,福建,2077419.08,陈信健,19880822,www.cib.com.cn,兴业银行,2011,SHSE,SHSE,银行,10320,-,区域性银行,10320020,430421833000,3.61,3.51,¥20.41,金融服务,103,0.09,18992200,396367700,3.73,10000.0,18992200,3.73,3.73,1.0,21.6,15.54,17.66,15.57,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749702
002241,2020Q4_1749642,山东省潍坊市高新技术产业开发区东方路268号,开发、制造、销售：声学、光学、无线通信技术及相关产品，机器人与自动化装备，智能机电及信息产品，精密电子产品模具，精密五金件，半导体类、MEMS类产品，消费类电子产品，LED封装及相关应用产品；与以上产品相关的软件的开发、销售；与以上技术、产品相关的服务；货物进出口、技术进出口(不含无线电发射及卫星接收设备，国家法律法规禁止的项目除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,姜滨,潍坊市,公司主要从事声学、传感器、光电、3D封装模组等精密零组件，以及虚拟/增强现实、智能穿戴、智能音频、机器人等智能硬件的研发、制造和品牌营销。目前已在多个领域建立了全球领先的综合竞争力。自上市以来，歌尔保持高速成长，年复合增长率达40%以上。秉持一站式服务为客户创造更大价值的理念，歌尔深耕产业价值链上下游，已与消费电子领域的国际一流客户达成稳定、紧密、长期的战略合作关系。从上游精密元器件、模组，到下游的智能硬件，从模具、注塑、表面处理，到高精度自动线的自主设计与制造，歌尔打造了在价值链高度垂直整合的精密加工与智能制造的平台，为客户提供全方位服务。歌尔研发布局全球。在美国、日本、韩国、丹麦、瑞典、北京、青岛、深圳、上海、南京、中国台湾等地分别设立了研发中心，以声光电为主要技术方向，通过集成跨领域技术提供系统化整体解决方案。,ir@goertek.com,"主营业务:电声器件业务和电子配件业务,主要产品为微型麦克风,微型扬声器,扬声器模组,天线模组,有线耳机,无线耳机,MEMS传感器及其他电子元器件,智能音响产品,智能家用电子游戏机配件产品,智能可穿戴电子产品,虚拟现实/增强现实产品,工业自动化产品等",姜龙,山东,341632.1,贾军安,20010625,www.goertek.com,歌尔股份,2013,SZSE,SZSE,硬件,31120,-,消费类电子产品,31120030,139283787000,36.24,9.41,¥40.46,科技,311,0.27,9265300,345782400,3.26,10000.0,9265300,3.26,3.26,1.0,48.39,36.6,40.77,-0.76,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749642
601233,2020Q4_1749703,浙江省嘉兴市桐乡市经济开发区光明路199号,许可经营项目：对二甲苯一般经营项目：化纤丝、合纤丝、服装、蒸汽的生产、销售；塑料再生及加工；缠绕膜、薄膜袋、集装袋、整理废料袋的生产销售；经济信息咨询(不含证券、期货)；化工原料(不含危险化学品和易制毒化学品)、纺织原料、纺织机械设备及配件的批发及其进出口业务。上述商品进出口不涉及国营贸易、进出口配额许可证、出口配额指标、出口许可证等专项管理规定的商品。具体以工商行政管理部门核定的经营范围为准。,陈士良,嘉兴市,公司是中国涤纶长丝制造行业的龙头企业，公司连续多年在中国涤纶长丝行业中销量排名第一。公司主营业务为民用涤纶长丝的研发、生产和销售。主要产品为差别化丝和常规丝(或者称为标准丝、普通丝)。公司建立了省级企业技术中心，公司为中国纺织工业协会、中国化学纤维工业协会及纺织产品开发中心认定的“国家新合纤产品开发基地”，公司承担的“功能性与差别化共聚酯关键技术开发与产业化项目”、主要参与的“大容量熔体直纺提质降耗及柔性化生产技术项目”均被列为国家科技支撑计划项目。“涤纶中速混纺型氨替纤维项目”、“高仿动物毛涤纶超柔超亮纤维项目”于被列入国家火炬计划项目。“年产40万吨POY及FDY差别化纤维生产线技术与装备研制”于被列为浙江省重大科技专项工业项目。同时，公司还参与了《清洁生产标准化纤行业(涤纶)》行业标准的制定和化纤长丝测试方法国家标准的修订工作。公司凭借稳健的经营，形成了优良的品牌信誉和突出的核心竞争力，为公司取得了多项资质和荣誉。,freedomshr@126.com;zj@zjtkgf.com,"主营业务:民用涤纶长丝的研发,生产和销售.主要产品为POY,DTY和FDY等,POY,DTY和FDY等又可细分为差别化丝和常规丝(或者称为标准丝,普通丝)",许金祥,浙江,228753.1,周军,19990927,www.zjtkgf.com,桐昆股份,2018,SHSE,SHSE,服饰加工,10240,-,纺织加工,10240010,61643798000,32.13,31.03,¥27.49,周期性消费,102,0.53,12204800,251296100,2.37,10000.0,12204800,2.37,2.37,1.0,22.45,14.23,18.29,50.3,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749703
600660,2020Q4_1749698,福建省福州市福清市福耀工业村II区,生产汽车玻璃，装饰玻璃和其它工业技术玻璃及玻璃安装，售后服务；开发和生产经营特种优质浮法玻璃，包括超薄玻璃、薄玻璃、透明玻璃、着色彩色玻璃；并统一协调管理集团内各成员公司的经营活动和代购代销成员公司的原辅材料和产品；协助所属企业招聘人员、提供技术培训及咨询等有关业务；生产玻璃塑胶包边总成，塑料、橡胶制品；包装木料加工；纸箱、纸板、铁架、可循环使用的包装金属支撑架、包装托盘等玻璃安装用的材料的销售。国家禁止外商投资的行业除外，国家限制外商投资的行业或有特殊规定的，须依法履行相关程序。(涉及审批许可项目的，只允许在审批许可的范围和有效期限内从事生产经营)。,曹德旺,福州市,公司是一家专注于汽车玻璃生产的供应商，主要从事浮法玻璃及汽车用玻璃制品的生产及销售，产品不但配套国内汽车品牌，更已成为德国奥迪、德国大众、南韩现代、澳大利亚Holden、日本铃木、日本三菱、捷克途胜的合格供应商，并批量供货。公司是“国家认定企业技术中心”，是国家知识产权局授牌“专利工作交流站”，是国家科技部、中华全国总工会确认的“全国第三批创新型试点企业”。,600660@fuyaogroup.com,主营业务:从事浮法玻璃及汽车用玻璃制品的生产及销售.,叶舒,福建,260974.35,李小溪,19920621,www.fuyaogroup.com,XD福耀玻,2019,SHSE,SHSE,汽车和配件,10200,-,汽车配件,10200030,127822001000,16.86,7.74,¥51.71,周期性消费,102,0.19,4847300,232913900,2.19,10000.0,4847300,2.19,2.19,1.0,48.05,21.56,33.27,55.43,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749698
601021,2020Q4_1749701,上海市长宁区空港一路528号二号楼,国内航空客货运输业务；内地至中国香港、中国澳门特别行政区和周边国家的航空客货运输业务；航空公司间的代理业务；与航空运输业务相关的服务业务；市际包车客运；市县际定线旅游客运；从事货物及技术的进出口业务；代理货物运输保险、健康保险、人寿保险、意外伤害保险、责任保险；预包装食品(不含熟食卤味、冷冻冷藏)、工艺礼品、家用电器、日用百货、五金交电、纺织品、电子产品、化工原料(除危险品)、金属材料、仪器仪表、机械设备、汽车零配件的批发零售，自有设备租赁业务，职工食堂、航空配餐(限分支经营)。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,王煜,上海市,公司是国内首家低成本航空公司。自成立以来，公司在严格确保飞行安全和服务质量的前提下，恪守低成本航空的经营模式，借鉴国外低成本航空的成功经验，最大限度地利用现有资产，实现高效率的航空生产运营。公司主要从事国内、国际及港澳台航空客货运输业务及与航空运输业务相关的服务。区别于全服务航空公司，公司凭借价格优势吸引大量对价格较为敏感的自费旅客以及追求高性价比的商务旅客构成的细分市场。公司创新起步、安全、平稳运行，是唯一一家开航当时不进中航信、不通过机票代理，以B2C网上销售和手机直销为主要销售渠道的航空公司。通过多年努力，公司成为中国民营航空公司中第一家获得民航局安全星级评定荣誉，在行业数据公司OAG的准点率报告中，2017年春秋航空在中国大陆航空公司中到港准点率第一。未来，公司将继续巩固低成本航空的业务模式与竞争优势，进一步扩大经营规模，努力实现“成为具有竞争力的国际化、大众化的低成本航空公司”。,ir@ch.com,"主要业务:国内,国际及港澳台航空客货运输业务及与航空运输业务相关的服务.",王志杰,上海,91646.27,陈可,20041101,www.ch.com,春秋航空,2017,SHSE,SHSE,交通运输,31080,-,航空运输,31080020,50379930000,-5.04,-0.38,¥55.16,工业,310,0.43,3910900,216782100,2.04,10000.0,3910900,2.04,2.04,1.0,55.43,41.77,48.47,13.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749701
600438,2020Q4_1749696,四川省成都市高新区天府大道中段588号“通威国际中心”,饲料加工；水产品加工；屠宰及肉类加工；食品制造业；兽用药品制造；农林牧渔专用机械制造；化学原料和化学制品制造业；光伏设备及元器件制造；电池制造；燃气、太阳能及类似能源家用器具制造；计算机制造；非金属矿物制品业；(以上经营项目仅限分支机构经营)渔业、畜牧业；畜牧服务业、渔业服务业；兽药经营；太阳能发电；电力供应；电气安装；工程设计；科技推广和应用服务业；废弃资源综合利用业；环境治理业；商品批发和零售；租赁业和商业服务业；进出口业；互联网信息服务。,谢毅,成都市,公司以饲料工业为主，同时涉足水产研究、水产养殖、动物保健、食品加工等相关领域的大型农业科技型上市公司，系农业产业化国家重点龙头企业。公司发展农业和新能源两大主业，其中农业主业以饲料工业为核心，全力延伸和完善水产及畜禽产业链条。同时，在新能源主业方面，公司已成为拥有从上游高纯晶硅生产、中游高效太阳能电池片生产、到终端光伏电站建设的垂直一体化光伏企业，已形成拥有自主知识产权的完整光伏新能源产业链条，并成为中国乃至全球光伏新能源产业发展的核心参与者和主要推动力量。近年来，并先后获得“中国驰名商标”、“中国名牌”等多项殊荣。,zqb@tongwei.com;yank@tongwei.com;lihy05@tongwei.com,"水产饲料,畜禽饲料等的研究,生产和销售,多晶硅,太阳能电池的研发,生产,销售",郭异忠,四川,450154.82,严轲,19951208,www.tongwei.com.cn,通威股份,2016,SHSE,SHSE,农副加工食品,20525,-,农产品,20525020,179058444000,25.99,5.8,¥38.77,非周期性消费,205,0.12,5549700,213329200,2.01,10000.0,5549700,2.01,2.01,1.0,40.58,19.01,27.52,40.88,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749696
601298,2020Q4_1749704,山东省青岛市市北区港极路7号,国内沿海普通货船运输(水路运输许可证有效期限以许可证为准)。码头及其他港口设施服务；货物装卸、仓储服务；港口旅客运输服务；港口拖轮、驳运服务；船舶港口服务；港口设施、设备和机械的租赁、维修服务；压力管道的安装；管道安装配套工程；液化天然气经营、建设经营液化天然气加气站；码头开发经营、管理；港口建设工程项目管理；航道疏浚、吹填；土石方工程；市政工程施工；船舶、浮船坞、房屋租赁；货物和技术的进出口业务；发布国内广告业务；国际货运代理；施工劳务作业、建筑劳务分包、港航设备安装及水上交管工程施工、机械设备制造、安装、改造、维修；制造、安装、改造、维修起重机；通信、信息化、建筑智能化、消防、工业自动化工程施工；电子设备安装工程施工；计算器技术、通信技术开发；港口通讯设施租赁；电气设备制造及售电；防火装置、变配电设备安装；港内送变电；供电设备维护、电力线路、照明工程安装及维修；电气工程设计及咨询；输电、供电、受电设施的试验；计量检定、校准、检测；防水防腐保温；海洋石油工程；石油化工工程施工、检维修；金属钢结构、金属储罐制造、安装。批发零售：电气设备及材料、通信设备、计算器设备、电子设备、招标代理。以下限分支机构经营：港口,贾福宁,青岛市,公司主营青岛港于1892年开埠，位于中国环渤海港口群及长江三角洲港口群的中心地带，占有东北亚港口圈的中心位置，是西太平洋重要的国际贸易枢纽，目前是世界最大综合性港口之一。青港国际是青岛港的主要经营者，在青岛港的业务涵盖四个港区，即大港港区、前湾港区、黄岛油港区和董家口港区。青港国际提供全面的港口相关服务，范围从装卸及仓储服务等港口基本服务到物流及融资相关服务等配套及延伸服务。公司能处理包括集装箱、金属矿石、煤炭、石油、粮食、钢材、汽车及其它液体散货、干散货及一般货物在内的多种货物。公司与由铁路、公路、水路及管道组成的发达的联运运输系统相连。凭借公司通过港区实现的货物及信息流通的中心位置，公司致力于增加现代物流服务价值链的服务种类，例如公路运输服务、代理及清关服务与保税区服务。,qggj@qdport.com;shm@qdport.com;liuyx.cwb@qdport.com,"本公司主营业务为集装箱,金属矿石,煤炭,原油等各类货物的装卸和配套服务,物流及港口增值服务,港口配套服务等多种业务.",王新泽,山东,649110.0,刘永霞,20131115,www.qingdao-port.com,青岛港,2020,SHSE,SHSE,交通运输,31080,-,水上运输,31080040,36593603000,-7.12,-4.67,¥6.18,工业,310,0.18,11921200,76653200,0.72,10000.0,11921200,0.72,0.72,1.0,7.27,5.65,6.16,0.32,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749704
603699,2020Q4_1749707,江苏省苏州市高新区泰山路666号,设计、制造工业阀门(含石油、化工及天然气用低功率气动控制阀)及管线控制设备，自推式采油机械及零件，销售自产产品并提供相关售后服务，受托加工阀门系列产品及零件。(依法须经批准的项目，经相关部门批准后方可开展经营活动)许可项目：货物进出口(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)一般项目：机械设备销售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动),王保庆,苏州市,公司作为中国著名的工业阀门制造商，一直致力于工业阀门的生产和研发，致力于提高工程配套能力与创新能力，以便能够为各种新型的工业需求提供全套阀门解决方案。纽威的整个制造过程都有严格内控管理标准，贯穿从研发中心、铸造厂、高端组装到测试工厂的各个环节。纽威生产的闸阀、截止阀、止回阀、蝶阀、球阀、调节阀、核电阀、水下阀和安全阀等产品，其质量和持续创新能力已经得到全球行业内各主要最终用户和工程公司的认可，并被广泛应用于全球各工况环境苛刻且需求量大的石油、天然气、炼油、化工、船舶、电厂、长输管线及核电等工业。公司是中国第一家获得欧盟CE-PED证书和TA-Luft认证的阀门制造商。同时，公司也是我国极少数几家同时获得民用核安全机械设备设计/制造许可证及ASME认证的阀门制造企业。,dshbgs@neway.com.cn,"工业阀门的设计,制造和销售",陆斌,江苏,75000.0,卫瀚森,20021114,www.newayvalve.com,纽威股份,2020,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,7328291000,-24.01,-18.41,¥9.54,工业,310,0.48,3608800,45073300,0.42,10000.0,3608800,0.42,0.42,1.0,17.55,12.49,15.42,-38.13,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749707
