symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
NWSA,2021Q1_1517521,新闻集团,2016,NAS,传媒,30820,-,广播,30820030,93527282000,-6.39,39.18,$24.91,通信服务,308,0.04,218126,5547000,0.25,10000.0,218126,0.25,0.25,1,27.3,18.16,22.43,11.06,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517521
BDX,2021Q1_1517025,碧迪,1972,NYSE,医疗器械,20650,-,医疗器械和供给,20650020,463716534000,-4.03,-0.78,$246.62,医疗保健,206,0.01,23178,5636000,0.25,10000.0,23178,0.25,0.25,1,263.3,237.89,250.52,-1.56,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517025
WAT,2021Q1_1517837,沃特世,0,NYSE,医疗诊断和研究,20660,-,诊断和研究,20660010,148503705000,24.23,50.46,$372.26,医疗保健,206,0.02,14048,3992000,0.18,10000.0,14048,0.18,0.18,1,291.31,250.15,273.24,36.24,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517837
DLTR,2021Q1_1517194,美元树,0,NAS,零售 - 防守型,20550,-,折扣店,20550010,147990221000,-15.67,-8.66,$98.68,非周期性消费,205,0.01,29228,3345000,0.15,10000.0,29228,0.15,0.15,1,116.23,98.2,107.46,-8.17,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517194
ABNB,2021Q1_1516932,爱彼迎,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,548981583000,-21.59,-6.34,$137.50,通信服务,308,0.0,13872,2607000,0.12,10000.0,13872,0.12,0.12,1,216.84,139.15,185.72,-25.96,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1516932
XOM,2021Q1_1517235,埃克森美孚,2002,NYSE,石油与天然气,30910,-,石油与天然气 - 综合,30910030,1612429743000,4.98,47.23,$58.95,能源,309,0.0,41937,2341000,0.1,10000.0,41937,0.1,0.1,1,61.97,41.5,52.4,12.5,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517235
PENN,2021Q1_1517587,佩恩国民博彩,0,NAS,旅游和娱乐,10290,-,度假村和赌场,10290040,69533028000,-31.66,-20.31,$68.83,周期性消费,102,0.01,19515,2046000,0.09,10000.0,19515,0.09,0.09,1,136.47,80.89,110.89,-37.93,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517587
MTZ,2021Q1_1517458,MasTec Inc,0,NYSE,建筑,31040,-,土木工程和建筑,31040010,48780329000,3.02,48.91,$101.53,工业,310,0.03,21924,2054000,0.09,10000.0,21924,0.09,0.09,1,98.93,67.29,85.59,18.62,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517458
GNTX,2021Q1_1517282,真泰克,2020,NAS,汽车和配件,10200,-,汽车配件,10200030,50707122000,-9.09,-3.24,$32.47,周期性消费,102,0.02,48984,1747000,0.08,10000.0,48984,0.08,0.08,1,37.54,33.04,35.53,-8.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517282
X,2021Q1_1517796,合众钢铁,2020,NYSE,钢铁和焦煤,10160,-,钢铁,10160020,40420353000,4.79,38.46,$23.20,基础材料,101,0.02,66603,1743000,0.08,10000.0,66603,0.08,0.08,1,26.17,16.26,19.7,17.77,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517796
SAGE,2021Q1_1517656,Sage Therapeutics Inc,0,NAS,生物科技,20610,-,生物科技,20610010,18230487000,-36.09,-44.23,$48.25,医疗保健,206,0.04,23496,1759000,0.08,10000.0,23496,0.08,0.08,1,96.76,70.65,82.06,-41.2,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517656
WDC,2021Q1_1517848,西部数据,2020,NAS,硬件,31120,-,计算机硬件,31120020,132479350000,-2.65,20.8,$66.91,科技,311,0.01,22866,1526000,0.07,10000.0,22866,0.07,0.07,1,72.21,49.47,61.92,8.06,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517848
CPRT,2021Q1_1517144,科帕特,0,NAS,商业服务,31020,-,特种商业服务,31020010,213363734000,14.64,9.62,$139.49,工业,310,0.01,13982,1519000,0.07,10000.0,13982,0.07,0.07,1,122.18,103.99,112.86,23.6,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517144
CCK,2021Q1_1517159,皇冠控股,0,NYSE,包装和容器,10250,-,包装和容器,10250010,91204855000,-3.35,4.76,$104.57,周期性消费,102,0.01,12796,1242000,0.06,10000.0,12796,0.06,0.06,1,101.01,86.0,96.41,8.46,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517159
BAX,2021Q1_1517023,百特国际,2016,NYSE,医疗器械,20650,-,医疗器械和供给,20650020,263354179000,-5.2,1.68,$81.06,医疗保健,206,0.0,16946,1429000,0.06,10000.0,16946,0.06,0.06,1,86.03,76.38,79.39,2.1,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517023
FLGT,2021Q1_1517271,Fulgent Genetics Inc,0,NAS,医疗诊断和研究,20660,-,诊断和研究,20660010,14370671000,-15.25,47.08,$76.63,医疗保健,206,0.05,14425,1394000,0.06,10000.0,14425,0.06,0.06,1,183.85,59.3,104.16,-26.43,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517271
OMCL,2021Q1_1517555,Omnicell Inc,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,42108052000,10.25,25.73,$150.90,医疗保健,206,0.02,8977,1166000,0.05,10000.0,8977,0.05,0.05,1,143.9,117.78,128.34,17.58,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517555
ROL,2021Q1_1517650,Rollins Inc,2020,NYSE,个人服务,10260,-,个人服务,10260010,113050267000,1.08,-8.65,$35.53,周期性消费,102,0.01,34129,1175000,0.05,10000.0,34129,0.05,0.05,1,41.51,31.9,35.85,-0.89,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517650
WRK,2021Q1_1517851,WestRock Co,2020,NYSE,包装和容器,10250,-,包装和容器,10250010,86527756000,-5.76,16.54,$50.29,周期性消费,102,0.01,21877,1139000,0.05,10000.0,21877,0.05,0.05,1,53.58,40.7,46.63,7.85,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517851
