symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
000526,2020Q4_1752607,"福建省厦门市同安区滨海西大道紫光科技园2号楼2层,北京市海淀区知春路7号致真大厦B座28层",一般项目：技术推广服务；软件开发；教育教学检测和评价活动；教育咨询服务(不含涉许可审批的教育培训活动)；以自有资金从事投资活动；企业管理；劳务服务(不含劳务派遣)；信息系统集成服务；信息技术咨询服务；自有资金投资的资产管理服务；企业总部管理；休闲娱乐用品设备出租；体育用品设备出租；图书出租；音像制品出租；物业管理；非居住房地产租赁。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,吴胜武,厦门市,公司主营业务为教育服务业。主要服务对象为国内K12有课外辅导需求的学生，服务模式以“一对一”教学辅导为主。公司拥有行业领先的教学管理体系和教研资源平台，在“教研+”战略的引领下，持续打造高水平的教师队伍和丰富的课程体系，不断提升教学质量和教学效果。公司建立了强大的跨境业务管理体系，通过自主开发的PPTS业务管理系统、BI业务分析等系统，全面管理全国学习中心的日常教学和运营。,zg000526@163.com,主营业务:教育服务业.,金鑫,福建,11776.27,刁月霞,19920702,,学大教育,0,SZSE,SZSE,教育,20540,-,教育培训服务,20540010,3173522000,-25.5,-47.76,¥26.32,非周期性消费,205,1.56,1841700,96487200,3.22,10000.0,1841700,3.22,3.22,1.0,89.2,49.99,62.76,-58.06,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752607
002050,2020Q4_1752610,浙江省绍兴市新昌县梅渚镇沃西大道219号三花工业园区办公大楼,制冷设备、自动控制元件，压力管道元件，机电液压控制泵及其他机电液压控制元器件生产(限分支机构经营)、销售，承接制冷配件产品的对外检测、试验及分析服务，从事进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),张亚波,绍兴市,公司是一家全球领先的生产和研发制冷空调控件元件和零部件的厂商。在汽车、电器和空调行业中，通过与全球著名企业的合作紧密，三花已成为世界领先的OEM供应商，提供高品质且最具竞争力的商品。三花牌制冷自控元器件已成为世界知名品牌之一，公司已成为松下、大金、三菱、东芝、日立、富士通、LG、三星、开利、特灵、约克、格力、美的、海尔等世界著名制冷、空调主机厂的战略供方和合作伙伴。公司参与并在某些领域主导制冷空调类产品有关的技术标准的讨论和制定，利用市场规模和技术领先的优势推向全世界，使三花“产品技术化、技术专利化、专利标准化、标准全球化”，以高标准构建制冷空调自控元器件产业发展新平台。,shc@zjshc.com,"主要产品:截止阀,电子膨胀阀,电磁阀.",王大勇,浙江,359160.15,胡凯程,19940910,www.zjshc.com,三花智控,2018,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,79104697000,4.34,-8.36,¥21.66,工业,310,0.08,2815700,69407700,2.32,10000.0,2815700,2.32,2.32,1.0,26.8,20.53,23.15,-6.44,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752610
300919,2020Q4_1752656,贵州省铜仁市玉屏侗族自治县大龙经济开发区2号干道与1号干道交汇处,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可(审批)的，经审批机关批准后凭许可(审批)文件经营;法律、法规、国务院决定规定无需许可(审批)的，市场主体自主选择经营。(新材料、电池及新能源的研发、生产、加工与销售，从事货物及技术的进出口业务。),邓伟明,铜仁市,公司主要从事锂电池正极材料前驱体的研发、生产、加工及销售，主要产品包括三元前驱体、四氧化三钴，分别用于生产三元正极材料、钴酸锂正极材料。三元正极材料、钴酸锂正极材料进一步加工制造成锂电池，最终应用于新能源汽车、储能及消费电子等领域。公司所属产业为战略性新兴产业。为进一步增强锂电池正极材料前驱体主要原材料的保障能力，公司向产业链上游延伸，已形成了镍、钴中间品湿法加工硫酸镍、硫酸钴以及锂离子电池循环回收产能，与前驱体产业形成了良好的产业链协同优势。公司凭借优异的技术研发实力、严苛的品质管控要求、快速的产业化能力，前驱体产销量稳居全球前三，与LG化学、厦门钨业、当升科技、振华新材、天津巴莫、北大先行等国内外一流正极材料客户建立了稳定合作关系。,cngrir@cngrgf.com.cn,"主要从事锂电池正极材料前驱体的研发,生产,加工及销售,主要产品包括三元前驱体,四氧化三钴,分别用于生产三元正极材料,钴酸锂正极材料.",邓伟明,贵州,56965.0,廖恒星,20140915,www.cngrgf.com.cn,中伟股份,0,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,81834653000,77.03,79.43,¥153.35,基础材料,101,0.13,764000,62422500,2.08,10000.0,764000,2.08,2.08,1.0,86.12,73.25,80.15,91.33,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752656
688229,2020Q4_1752681,北京市东城区东中街46号鸿基大厦4层,技术推广服务；信息咨询服务(不含中介服务)；计算机系统服务；销售计算机软件及辅助设备；货物进出口；技术进出口；代理进出口。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。),李凯,北京市,公司搭建有中国技术最为领先的网络服务质量监测和页面安全预警平台，是中国最为权威的用户体验评估机构，始终秉承“以数据赋能IT运维”的理念，致力为企业级客户提供应用性能监测服务、销售应用性能监测软件及提供其他相关服务，公司产品可通过监测、分析、优化企业软件应用的性能状况，如APP是否卡顿崩溃、交易的响应时间、服务器负载情况等，帮助企业精准定位影响其软件应用使用性能和用户体验的原因，助力企业加速数字化转型进程，公司共拥有多项发明专利及软件著作权，经过多年技术积累，形成的核心技术包括“基于函数拦截技术的手机APP性能数据采集方法”、“服务后台性能数据采集分析技术”、“大并发海量数据实时接入与在线离线计算技术”等，在数据的采集、处理、存储、分析等环节均具有较强的技术优势，是国内应用性能管理领域的领先企业之一。,IR@bonree.com;lixj@bonree.com;liangby@bonree.com,"致力为企业级客户提供应用性能监测服务,销售应用性能监测软件及提供其他相关服务.",冯云彪,北京,4440.0,李新建,20080229,www.bonree.com,博睿数据,0,SHSE,SHSE,软件,31110,-,软件基础构架,31110030,3215890000,-28.05,-31.44,¥72.67,科技,311,1.16,513800,54411800,1.82,10000.0,513800,1.82,1.82,1.0,181.67,98.2,123.72,-41.26,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752681
300760,2020Q4_1752625,广东省深圳市南山区高新技术产业园区科技南十二路迈瑞大厦1-4层,生产经营医疗电子仪器及其配套试剂及产品的软件开发(不含国家限制项目)；自产产品售后服务，自有房屋租赁。,李西廷,深圳市,公司是中国领先的高科技医疗设备研发制造厂商，为全球市场提供医疗器械产品。公司的主营业务覆盖生命信息与支持、体外诊断、医学影像三大领域，通过前沿技术创新，提供更完善的产品解决方案，帮助世界改善医疗条件、提高诊疗效率。公司始终致力于临床医疗设备的研发和制造，产品涵盖生命信息与支持、临床检验及试剂、数字超声、放射影像四大领域，将性能与价格完美平衡的医疗电子产品带到世界每一角落。,ir@mindray.com,"主营业务:公司主要从事医疗器械的研发,制造,营销及服务,主要产品涵盖三大领域:生命信息与支持,体外诊断以及医学影像,目前已拥有丰富的产品品类.",吴昊,广东,121569.13,李文楣,19990125,www.mindray.com,迈瑞医疗,2019,SZSE,SZSE,医疗器械,20650,-,医疗设备,20650010,548906596000,15.47,7.75,¥434.02,医疗保健,206,0.01,120600,51373500,1.71,10000.0,120600,1.71,1.71,1.0,426.0,290.82,347.05,25.06,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752625
603678,2020Q4_1752667,福建省泉州市鲤城区江南高新技术电子信息园区紫华路4号,研究、开发、制造、检测、销售各类型高科技新型电子元器件、陶瓷粉料、特种纤维及高功能化工产品(不含危险化学品及易制毒化学品)；新材料技术咨询服务；生产制造咨询服务；对外贸易。(依法须经批准的项目，经相关部门批准后方可开展经营活动),蔡明通,泉州市,公司是中国主要专业从事陶瓷电容器研发、生产、销售和技术支持的企业。公司拥有多项具有知识产权的核心技术，是国家高新技术企业，福建省“十一五”规划电子元器件发展支柱企业，福建省第二批创新型试点企业。目前已通过ISO9001质量管理体系认证、GJB9001军工产品质量体系认证、ISO14001环境管理质量体系认证以及OHSAS18001职业健康安全管理体系认证。公司生产的“火炬牌”陶瓷电容器产品主要包括多层片式陶瓷电容器和引线式电容器，以其高可靠性、高质量等级、高技术含量附加值先后获得国家重点新产品、福建名牌产品、福建自主创新产品称号，在航空航天、通讯、电力、汽车等高端领域广泛应用，并与国内外知名高科技企业建立了良好的战略合作伙伴关系和共赢模式。公司是国内首家将“湿法淋幕工艺”产业化应用，国内首家能生产宇航级电容器的企业，目前已建立省级企业技术中心和市级工程研究中心。公司参与起草修订的几项国家标准已先后获得批准并颁布。,investor@torch.cn,"公司主要从事电容器及相关产品的研发,生产,销售,检测及服务业务,其主营业务包括自产业务和代理业务.主要产品包括片式多层陶瓷电容器(业界常指MLCC),引线式多层陶瓷电容器以及多芯组陶瓷电容器.",蔡劲军,福建,45985.36,陈世宗,20071220,www.torch.cn,火炬电子,2019,SHSE,SHSE,硬件,31120,-,电子元件,31120040,34099176000,31.93,4.23,¥80.00,科技,311,0.13,608600,44004200,1.47,10000.0,608600,1.47,1.47,1.0,72.3,42.46,51.76,54.56,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752667
300408,2020Q4_1752623,广东省潮州市凤塘三环工业城内综合楼,研究、开发、生产、销售各类型电子元器件；光电子器件及其他电子器件；特种陶瓷制品；电子工业专用设备；电子材料；家用电器；高新技术转让、咨询服务。货物进出口，技术进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动。),刘杰鹏,潮州市,公司集材料、产品、装备研发与制造为一体，是全国最大的先进技术陶瓷、电子元件生产基地之一。公司主要从事电子陶瓷类电子元件及其基础材料的研发、生产和销售，主要产品包括通信部件、半导体部件、电子元件材料、电子元件、压缩机部件、燃料电池部件、新材料等的生产和研发，公司产品主要应用于电子、通信、消费类电子产品、工业用电子设备和新能源等领域。公司具有几十年电子陶瓷领域的技术积累，专注于各种电子陶瓷的研发和生产，掌握了新型材料、电子浆料、功能玻璃、纳米粉体等关键基础材料的制备技术，独立完成从原材料到成品的生产全过程，在生产加工和工艺控制上形成了一条具有自己特色的工艺技术路线，主要产品技术达到国际先进水平。公司以创新为核心，组建了研究院和技术委员会，拥有以院士、学科专家为带头人的创新团队，不断开展对新材料、新产品、新装备、新技术的研究与创新，承担并完成多项国家、省级科研项目，研发了多项高新技术产品，先后有几十项产品荣获国家优质产品金奖，国家、省重点新产品，广东省优秀新产品奖，专利和商标的申请覆盖了国内外经济技术发达的国家与地区。,dsh@cctc.cc,"主要产品:通信部件,半导体部件,电子元件材料,电子元件,压缩机部件,燃料电池部件,新材料等.主要业务:电子陶瓷类电子元件及其基础材料的研发,生产和销售.",刘杰鹏,广东,181690.6,徐瑞英,19921210,www.cctc.cc,三环集团,2020,SZSE,SZSE,硬件,31120,-,电子元件,31120040,85259077000,15.0,27.44,¥46.30,科技,311,0.06,1018500,37939100,1.27,10000.0,1018500,1.27,1.27,1.0,37.25,25.91,30.38,52.4,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752623
603536,2020Q4_1752666,山东省诸城市历山路60号惠发股份办公楼,生产销售速冻食品[速冻其他食品(速冻肉制品)]、调味品、饮料；批发兼零售预包装食品；即食鱼糜制品、即食肉丸的生产销售；速冻面米食品、速冻调制食品(有效期限以许可证为准)；罐头食品(涵盖软、硬包装罐头及自加热食品)(有效期限以许可证为准)。销售粮食；蔬菜、禽畜肉类、水产类、水果、乳制品类的生产销售；食用油销售；货物仓储、场地租赁业务；农产品种植、初加工、销售；禽蛋销售。技术开发、技术服务。货物进出口业务(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,惠增玉,潍坊市,公司主营业务为包括速冻丸类制品、肠类制品、油炸类制品、串类制品等在内的速冻调理肉制品的研发、生产和销售，所处行业为速冻食品行业下的速冻调理食品行业。公司速冻丸类制品主要产品包括牛肉丸、鸡肉丸、鱼丸、四喜丸子等产品，肠类制品包括亲亲肠、桂花肠、腰花肠等产品，油炸类包括鱼豆腐、五福脆、甜不辣等产品，串类制品包括川香鸡柳、骨肉相连等产品，目前公司已成为国内大型速冻调理肉制品生产基地。公司坚持“品格决定品质，细节决定成败”的质量理念，时刻严把质量关，先后通过了ISO9001:2008质量管理体系、ISO14001:2004环境管理体系认证、ISO22000:2005食品安全管理体系认证等多项质量认证，以质量保产品、以产品树品牌、以品牌促发展，荣获“国家安全生产标准化一级示范企业”、“中国农产品市场畅销品牌”、“高新技术企业”、“山东省农业产业化重点龙头企业”、“中国(青海)国际清真食品及用品展览优秀企业”等多项荣誉称号。,sdhfdb@163.com,"公司主营业务为包括速冻丸类制品,肠类制品,油炸类制品,串类制品等在内的速冻调理肉制品的研发,生产和销售.公司速冻丸类制品主要产品包括牛肉丸,鸡肉丸,鱼丸,四喜丸子等产品,肠类制品包括亲亲肠,桂花肠,腰花肠等产品,油炸类包括鱼豆腐,五福脆,甜不辣等产品,串类制品包括川香鸡柳,骨肉相连等产品.",惠增玉,山东,17188.6,魏学军,20050202,www.huifafoods.com,惠发食品,2020,SHSE,SHSE,农副加工食品,20525,-,加工食品,20525040,1898696000,-14.56,-36.9,¥10.93,非周期性消费,205,1.2,2068800,37507300,1.25,10000.0,2068800,1.25,1.25,1.0,23.2,13.75,17.95,-39.11,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752666
000333,2020Q4_1752606,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,生产经营家用电器、电机及其零部件；从事家用电器、家电原材料及零配件的进出口、批发及加工业务(不设店铺，不涉及国营贸易管理商品，涉及配额、许可证管理商品的按国家规定办理)；信息技术服务；为企业提供投资顾问及管理服务；计算机软件、硬件开发；家电产品的安装、维修及售后服务；工业产品设计；酒店管理；广告代理；物业管理；企业所需的工程和技术研究、开发及其销售和推广；对金融业进行投资。(经营范围涉及行政许可的项目须凭有效许可证或批准证明经营),方洪波,佛山市,公司是一家消费电器、暖通空调、机器人与自动化系统、智能供应链(物流)的科技集团，提供多元化的产品种类与服务，包括以厨房家电、冰箱、洗衣机、及各类小家电为核心的消费电器业务；以家用空调、中央空调、供暖及通风系统为核心的暖通空调业务；以库卡集团、美的机器人公司等为核心的机器人及自动化系统业务;以安得智联为集成解决方案服务平台的智能供应链业务。公司以“科技尽善，生活尽美”为企业愿景，将“联动人与万物，启迪美的世界”作为使命，恪守“敢知未来——志存高远、务实奋进、包容共协、变革创新”的价值观，整合全球资源，推动技术创新，每年为全球超过3亿用户、及各领域的重要客户与战略合作伙伴提供满意的产品和服务，致力创造美好生活。,IR@midea.com,"以家电产业为主,涉足电机,物流等领域,旗下分为四大业务板块,分别为大家电,小家电,电机及物流",方洪波,广东,704515.93,江鹏,20000407,www.midea.com,美的集团,2014,SZSE,SZSE,家具制造,10220,-,家具制造,10220010,504918392000,-9.25,-26.09,¥69.86,周期性消费,102,0.01,365000,35933300,1.2,10000.0,365000,1.2,1.2,1.0,98.44,61.19,76.9,-9.15,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752606
002555,2020Q4_1752615,安徽省芜湖市鸠江区北京中路芜湖广告产业园广告创意综合楼十一楼,"网络及计算机领域内的技术开发、技术转让、技术咨询、技术服务(涉及前置许可的除外)，计算机系统集成，网络工程，图文设计制作，计算机、软件及辅助设备(除计算机信息系统安全专用产品)的销售，动漫的设计和制作，广告的设计、制作和发布，组织境内文化艺术交流活动,实业投资。",李卫伟,芜湖市,公司主要从事互动娱乐业务以及汽车塑料燃油箱制造、销售业务，其中互动娱乐业务以手机游戏和网页游戏的研发、发行和运营为主，同时布局影视、动漫、音乐、VR及直播等泛娱乐业务。公司核心团队由经验丰富的手机游戏、网页游戏发行团队，以及技术领先的研发团队组成。公司自主研发的一系列性能优异、稳定性强的游戏引擎、游戏框架等核心技术，能够支持开发高性能、可玩性强的大型精品网络游戏，是公司持续推出高质量精品游戏的重要保障。公司于2017年5月完成对上海墨鹍公司以及江苏智铭公司整体收购，增强了公司游戏研发实力以及发行能力。,ir@37.com,"汽车零部件制造,销售,网络游戏运营及开发等",李卫伟,安徽,221786.43,叶威,19950526,www.37wan.net,三七互娱,2015,SZSE,SZSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,51076685000,5.37,-27.09,¥23.08,通信服务,308,0.05,1020800,31878800,1.06,10000.0,1020800,1.06,1.06,1.0,41.71,24.95,29.47,-21.68,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752615
