symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
002812,2020Q4_1751450,云南省玉溪市高新区抚仙路125号,包装装潢及其他印刷品印刷；商品商标印制(含烟草、药品商标)，商标设计；包装盒生产、加工、销售；彩色印刷；纸制品(不含造纸)、塑料制品及其他配套产品的生产、加工、销售；生产、加工、销售印刷用原料、辅料；生产、加工、销售塑料薄膜、改性塑料；生产、加工、销售镭射转移纸、金银卡纸、液体包装纸、电化铝、高档包装纸；生产、加工、销售防伪标识、防伪材料；包装机械、包装机械零配件的设计、制造、加工、销售；生产、加工、销售新能源材料以及相应新技术、新产品开发；货物进出口(国家限制和禁止的项目除外)。(以上项目不涉及外商投资准入特别管理措施)(依法须经批准的项目，经相关部门批准后方可开展经营活动),PAUL XIAOMING LEE,玉溪市,公司主要从事包装装潢及其他印刷品印刷；商品商标印制(含烟草、药品商标)，商标设计；包装盒生产、加工、销售；彩色印刷；纸制品(不含造纸)、塑料制品及其他配套产品的生产、加工、销售；生产、加工、销售印刷用原料、辅料；生产、加工、销售塑料薄膜、改性塑料；生产、加工、销售镭射转移纸、金银卡纸、液体包装纸、电化铝、高档包装纸；生产、加工、销售防伪标识、防伪材料；包装机械、包装机械零配件的设计、制造、加工、销售；生产、加工、销售新能源材料以及相应新技术、新产品开发；货物进出口(国家限制和禁止的项目除外)。,groupheadquarter@cxxcl.cn,"主要产品:可分为两类:一,包装印刷产品,主要包括烟标和无菌包装;二,包装制品,主要包括BOPP薄膜和特种纸,BOPP薄膜产品包括烟膜和平膜,特种纸产品包括镭射转移防伪纸,直镀纸和涂布纸.主营业务:本公司是一家专注于提供多种包装印刷产品,包装制品及服务的综合供应商,",李晓华,云南,88816.06,熊炜,20060405,www.cxxcl.cn,恩捷股份,2020,SZSE,SZSE,包装和容器,10250,-,包装和容器,10250010,233449734000,134.36,92.46,¥245.70,周期性消费,102,0.04,330100,46800000.0,2.6,330000.0,330000,2.6,2.6,1.0,141.78,94.5,108.5,126.45,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 330000.00 %,2020Q4_1751450
603690,2020Q4_1751514,上海市闵行区紫海路170号,从事电子、光纤、生物工程及环保科技专业领域内的技术开发、技术转让、技术咨询、技术服务，水处理系统及洁净室厂房的设计、安装，技术咨询服务，机电产品、通信设备及相关产品、仪器仪表、计算机及配件、建筑材料、不锈钢制品的销售，机电设备安装(除专控)，机械设备的生产(限紫海路170号2幢)、设计及加工，从事货物及技术的进出口业务，质检技术服务，计量器具修理，从事计量校准科技专业领域内技术咨询、技术服务、技术开发、技术转让，计量器具、仪器仪表批发零售。(依法须经批准的项目，经相关部门批准后方可开展经营活动),蒋渊,上海市,公司是一家高新技术企业，致力于为高端先进制造业的高科技企业提供高纯工艺系统的解决方案，业务包括高纯工艺系统与高纯工艺设备的设计、加工制造、安装以及配套工程、检测、厂务托管、标定和维护保养等增值服务。公司能够针对用户的需求，提供整个系统的设计、选型、制造、安装、测试、调试和系统托管服务，提供的系统和专业服务被广泛应用于半导体、微电子、生物医药、光伏、光纤、TFT-LCD、LED等领域。公司的业务遍及这些行业领域，并遍布全中国，公司在华南、华北、西部、长三角和中部设立了分支以就近服务用户。公司的客户均为各自领域的佼佼者，包括INTEL，BCD、英利、晶澳、尚德、富通、京东方、扬子江药业、武汉生物所、华瑞等。在整个项目的实施过程中，尤其是在安装关键工艺系统和核心精密设备时，公司保持对安全、质量、进度和成本的控制，对项目的成功起着重要的作用。公司拥有行业内顶尖的高素质优秀人才，拥有丰富的经验、对规范和工艺流程充分的知识，以及完备的工具。,dong_ban@pncs.cn,"主要业务:高纯工艺系统与高纯工艺设备的设计,加工制造,安装以及配套工程,检测,厂务托管,标定和维护保养等增值服务.",蒋渊,上海,31812.85,柴心明,20001113,www.pnc-systems.com,至纯科技,2019,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,14946302000,53.98,21.87,¥48.28,工业,310,0.63,2000100,78642800.0,4.37,19901.0,1990100,4.35,4.35,1.0,60.91,31.62,40.16,20.22,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 19901.00 %,2020Q4_1751514
688396,2020Q4_1751526,"江苏省无锡市梁溪路14号,上海市静安区市北智汇园汶水路299弄12号",经营开放式集成电路晶圆代工以及集成电路设计、分立器件制造及集成电路封测。,李虹,,公司是中国领先的拥有芯片设计、晶圆制造、封装测试等全产业链一体化经营能力的半导体企业，产品聚焦于功率半导体、智能传感器与智能控制领域，为客户提供丰富的半导体产品与系统解决方案。公司产品设计自主、制造全程可控，在分立器件及集成电路领域均已具备较强的产品技术与制造工艺能力，形成了先进的特色工艺和系列化的产品线。公司是华润集团半导体投资运营平台，始终以振兴民族半导体产业为己任，曾先后整合了华科电子、中国华晶、上华科技等中国半导体先驱。公司及下属相关经营主体曾建成并运营中国第一条4英寸晶圆生产线、第一条6英寸晶圆生产线，承担了多项国家重点专项工程。经过多年发展及一系列整合，公司已成为中国本土具有重要影响力的综合性半导体企业，自2004年起连续被工信部评为中国电子信息百强企业。公司已获得包括国家技术发明二等奖、“九五”国家重点科技攻关优秀科技成果奖、教育部技术发明一等奖、教育部技术发明二等奖、省级科技进步一等奖及国家级及省部级研发项目在内的多项重要奖项。,crmic_hq_ir_zy@crmicro.com,"主营业务可分为产品与方案,制造与服务两大业务板块.",,,132009.19,吴国屹,20030128,www.crmicro.com,华润微,0,SHSE,SHSE,半导体,31130,-,半导体,31130020,106200061000,36.62,31.02,¥80.98,科技,311,0.14,1800000,112482000.0,6.26,10000.0,1800000,6.26,6.26,1.0,72.95,45.11,55.71,45.36,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751526
300450,2020Q4_1751462,江苏省无锡市新吴区新锡路20号(经营场所:无锡市新吴区新洲路18号),许可项目：货物进出口；进出口代理(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)一般项目：专用设备制造(不含许可类专业设备制造)；电子专用设备制造；电子专用设备销售；软件开发；人工智能应用软件开发；工业设计服务；信息咨询服务(不含许可类信息咨询服务)、信息技术咨询服务(除依法须经批准的项目外，凭营业执照依法自主开展经营活动),王燕清,无锡市,公司是国家火炬计划重点高新技术企业、国家两化融合示范企业。公司是全球新能源装备的龙头企业，涵盖锂电池装备、光伏装备、3C检测装备、智能仓储物流系统、汽车智能产线等业务。公司专业从事高端自动化成套装备的研发设计、生产销售，为锂电池、光伏电池/组件、3C、薄膜电容器等节能环保及新能源产品的生产制造商提供高端全自动智能装备及解决方案。公司的产品性能达到国际先进水平，能根据客户要求研发各种个性化智能装备。公司拥有数百项授权专利，多项装备被认定为省高新技术产品、省首台套重大装备、省名牌产品等。,lead@leadchina.cn;longfei.miao@leadchina.cn;jianfeng.zhou@leadchina.cn,"专业从事自动化成套设备的研发,设计,生产与销售以及自动化整体解决方案的供应商,公司主要为薄膜电容器,锂电池,光伏电池/组件等节能环保及新能源产品的生产制造厂商提供设备及解决方案.主要产品:播磨电容器设备,锂电池设备,光伏自动化生产配套设备.",王燕清,江苏,145171.6,周建峰,20020430,www.leadchina.cn,先导智能,2020,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,102381147000,32.26,28.62,¥62.56,工业,310,0.13,2080000,109187000.0,6.07,10000.0,2080000,6.07,6.07,1.6,53.12,32.72,40.76,53.48,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751462
002466,2020Q4_1751446,四川省成都市高朋东路10号,制造、销售电池级碳酸锂、工业级碳酸锂及其锂系列产品、其他化工产品(国家有专项规定除外)。兼营：本企业生产、科研所需的原辅材料、机械设备、仪器仪表零配件及相关技术的进出口业务；经营本企业自产的电池级碳酸锂、工业级碳酸锂及其锂系列产品的出口业务；矿石(不含煤炭、稀贵金属)及锂系列产品加工业务。,蒋卫平,遂宁市,公司是中国和全球领先、以锂为核心的新能源材料企业，业务包括锂化合物及衍生物生产与锂精矿开采及生产。在中国四川、江苏、重庆和澳大利亚等地设立生产、资源基地或分支机构，客户遍及全球。产品品种包括化学级锂精矿、技术级锂精矿、工业级碳酸锂、电池级碳酸锂、工业级氢氧化锂、电池级氢氧化锂、无水氯化锂、金属锂等锂化工产品，广泛应用于玻璃陶瓷、锂电池、润滑脂、航空航天等领域。公司先后获得国家知识产权优势培育企业、国家镁锂新材料高新技术产业化基地、四川省博士后创新实践基地、省创新型试点企业和省知识产权优势培育企业等。,ir@tianqilithium.com;libo@tianqilithium.com;fuxm@tianqilithium.com,"主要从事工业级碳酸锂,电池级碳酸锂,无水氯化锂,氢氧化锂等锂系列产品的研发,生产和销售.主要产品有工业级碳酸锂,电池级碳酸锂,无水氯化锂,氢氧化锂等.",夏浚诚,四川,147709.94,李波,19951016,www.tianqilithium.com,天齐锂业,0,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,109338518000,96.42,95.77,¥73.87,基础材料,101,0.17,2500100,98177600.0,5.46,10000.0,2500100,5.46,5.46,1.0,40.48,19.16,25.23,192.79,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751446
000858,2020Q4_1751443,四川省宜宾市翠屏区岷江西路150号,主营：酒类产品及相关辅助产品(瓶盖、商标、标识及包装制品)的生产经营；兼营：饮料、药品、水果种植、农业种植、进出口业务、物业管理、投资管理等。,曾从钦,宜宾市,公司是以五粮液及其系列酒的生产、销售为主要产业，同时生产经营精密塑胶制品、大中小高精尖注射和冲压模具现代制造产业，以及生物工程为发展产业，药业工业、印刷业、电子器件产业、物流运输和相关的服务业的具有深厚企业文化的现代化企业集团。公司现已系统研制开发了五粮春、五粮神、五粮醇等几十种不同档次、不同口味，满足不同区域、不同文化背景、不同层次消费者需求的系列产品。数年来“五粮液”品牌连续在中国白酒制造业和食品行业“最有价值品牌”中排位居前，具有领导市场的影响力。目前公司根据消费者的个性化需求，进一步细分、微分市场，新设计开发国宝五粮液、人民大会堂国宴五粮液等，丰富和完善产品线，加快新产品开发步伐，有效地支持了公司经营业绩持续增长。,000858-wly@sohu.com;lixinyi@wuliangye.com.cn,主要产品:五粮液系列酒.,,四川,388160.8,彭智辅,19980421,www.wuliangye.com.cn,五粮液,2015,SZSE,SZSE,酒精饮料,20510,-,其他酒类,20510020,1079600995000,10.79,-2.89,¥277.48,非周期性消费,205,0.01,300000,87555000.0,4.87,10000.0,300000,4.87,4.87,1.0,291.85,188.73,238.44,16.37,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751443
300751,2020Q4_1751466,江苏省苏州市吴江经济开发区庞金路1801号庞金工业坊D02幢,自动化设备及仪器研发、生产、销售及维修；各类新型材料研发、生产、销售；软件开发、销售；自营和代理各类商品及技术的进出口业务(国家限定企业经营或者禁止进出口的商品及技术除外)；自动化信息技术咨询。(依法须经批准的项目，经相关部门批准后方可开展经营活动),周剑,苏州市,公司是一家集机械设计、电气研制、软件算法开发、精密制造装备于一体的高端智能装备制造商，涉足太阳能电池生产设备，是光伏行业全球领先的设备供应商及服务提供商。公司主营生产太阳能电池丝网印刷生产线成套设备。经过多年的技术积累与市场验证，公司在国内太阳能电池丝网印刷设备领域已处于领先地位，与众多集团等建立了长期合作关系，打破了丝网印刷设备领域进口垄断的格局。,bod@maxwell-gp.com.cn;zqb@maxwell-gp.com.cn,"主营业务是智能制造装备的设计,研发,生产与销售.主营产品为太阳能电池丝网印刷生产线成套设备,包括核心设备全自动太阳能电池丝网印刷机和自动上片机,红外线干燥炉等生产线配套设备.",王正根,江苏,10310.17,刘琼,20100908,www.maxwell-gp.com,迈为股份,2019,SZSE,SZSE,半导体,31130,-,半导体仪器和材料,31130010,46809502000,43.65,24.45,¥447.80,科技,311,0.18,189000,71086100.0,3.95,10000.0,189000,3.95,3.95,1.8,388.94,159.12,230.7,94.1,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751466
600460,2020Q4_1751501,浙江省杭州市黄姑山路4号,电子元器件、电子零部件及其他电子产品设计、制造、销售；机电产品进出口。,陈向东,杭州市,"公司经营范围是：电子元器件、电子零部件及其他电子产品设计、制造、销售；机电产品进出口。主要产品包括集成电路、半导体分立器件、LED(发光二极管)产品等三大类。经过将近二十年的发展，公司已经从一家纯芯片设计公司发展成为目前国内为数不多的以IDM模式(设计与制造一体化)为主要发展模式的综合型半导体产品公司。公司属于半导体行业,公司被国家发展和改革委员会、工业和信息化部等国家部委认定为“国家规划布局内重点软件和集成电路设计企业”，陆续承担了国家科技重大专项“01专项”和“02专项”多个科研专项课题，同时也是国家“910”工程的重要承担者。",600460@silan.com.cn;ml@silan.com.cn;silan@silan.com.cn,"主要产品:集成电路,半导体分立器件,LED(发光二极管)产品等三大类.主营业务:电子元器件,电子零部件及其他电子产品设计,制造,销售;机电产品进出口.",郑少波,浙江,131206.16,陈越,19970925,www.silan.com.cn,士兰微,2020,SHSE,SHSE,半导体,31130,-,半导体仪器和材料,31130010,77298056000,112.2,139.7,¥60.03,科技,311,0.21,2800000,70001200.0,3.89,10000.0,2800000,3.89,3.89,1.0,25.29,15.1,17.71,238.96,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751501
600690,2020Q4_1751504,山东省青岛市崂山区海尔信息产业园内,电器、电子产品、机械产品、通讯设备及相关配件、工业自动化控制设备、计算机软硬件及辅助设备的研发与制造；家用电器及电子产品技术咨询服务；进出口业务(按外经贸部核准范围经营)；批发零售：国内商业(国家禁止商品除外)；从事数字科技、智能科技、软件科技；技术开发、技术咨询、技术转让、技术服务(包含工业互联网及家电产品等)；数据处理；应用软件开发及服务；先进控制与优化技术的开发与应用研究；矿泉水制造、饮食、旅游服务(限分支机构经营)；企业管理服务及咨询、信息技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,梁海山,青岛市,海尔智家股份有限公司成立于1984年，1993年11月19日，海尔智家在上海证券交易所上市，是中国最早上市的公司之一，也是最早入选上证180成分股指数的蓝筹股公司之一，并于2019年被纳入MSCI全球指数。2018年10月24日，海尔智家成功在德国法兰克福交易所主板发行D股。2020年12月23日，海尔智家成功在香港主板上市。至此，海尔智家实现“A+D+H”三地上市，构建与全球化运营同步的全球资本平台。公司始终秉承“以用户为是，以自己为非”的理念，坚持创业、创新精神，不断适应时代的发展。公司坚持海外自主创牌，通过自身的持续耕耘与行业整合，先后收购日本三洋白电业、美国GE家电业务、新西兰Fisher&Paykel业务，持股墨西哥MABE48.41%股权、收购意大利Candy公司，构建“研发、制造、营销”三位一体的全球化竞争力，通过不断优化资源整合能力、发挥全球战略协同优势，实现“海尔、卡萨帝、统帅、美国GE Appliances、新西兰Fisher&Paykel、日本AQUA、意大利Candy”七大世界级品牌布局与全球化运营。面对物联网时代的机遇和挑战，海尔智家坚持智慧家庭战略，紧跟时代脚步，推进物联网生态转型,finance@haier.com;Y.sun@haier.de;ir@haier.hk,"主要产品:电冰箱,空调器.",李华刚,山东,940892.9,明国珍,19940331,smart-home.haier.com,海尔智家,2016,SHSE,SHSE,硬件,31120,-,消费类电子产品,31120030,240716903000,-13.46,-6.71,¥26.79,科技,311,0.02,1600000,46736000.0,2.6,10000.0,1600000,2.6,2.6,1.0,30.4,16.26,23.49,14.05,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751504
300298,2020Q4_1751458,湖南省长沙市高新技术产业开发区谷苑路265号,生物传感技术及产品、医疗器械、保健产品的研究和开发；医疗器械、体外诊断试剂的生产、销售(凭许可证、审批文件经营)；电子产品、通信系统设备的研发、生产和销售；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；健康管理咨询；教育管理；预包装食品、食品、化妆品及卫生用品、护肤品的销售、卫生消毒用品的销售；进口食品的零售；保健品、保健食品的销售；健康管理；计算机软件销售；软件开发；软件技术转让；软件技术服务；软件服务；软件测试服务；宠物专用品制造；动物诊疗；动物疾病诊断、诊疗和手术；宠物用品、医疗实验室设备和器具、日用品、检测设备、计量器具的销售；互联网药品信息服务；房屋租赁；第二类增值电信业务中的信息服务业务；经营增值电信业务。(依法须经批准的项目，经相关部门批注后方可开展经营活动)。,李少波,长沙市,公司是国内最早的生产血糖监测系统产品的厂商之一，也是国家生物医学工程高技术产业化示范项目的承担单位。主营业务是利用生物传感技术研发、生产、销售即时检测(POCT)产品，主要产品为微量血快速血糖测试仪及配套血糖检测试条。公司通过了德国技术集团质量体系认证与欧盟CE认证，同时公司作为国家生物医学工程高技术产业化示范项目，多次获得国家创新基金支持，并率先通过了ISO13485质量管理体系认证及欧盟CE认证。公司生产的“三诺”系列血糖仪及配套试纸，以其“准确、简单、经济”的特点，获得广大消费者的认可。,investor@sinocare.com;mail@sinocare.com,"主要产品为:血糖监测系统,包括血糖测试仪及配套专用试条.",李少波,湖南,56531.47,黄安国,20020807,www.sinocare.com,三诺生物,2012,SZSE,SZSE,医疗器械,20650,-,医疗设备,20650010,16251169000,-0.44,-18.38,¥29.37,医疗保健,206,0.21,1200000,42960000.0,2.39,10000.0,1200000,2.39,2.39,1.0,43.61,32.56,37.11,-20.86,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751458
