symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
000568,2020Q4_1747713,四川省泸州市南光路泸州老窖营销网络指挥中心,酒类产品的生产、销售(白酒、葡萄酒及果酒、啤酒、其他酒等)。进出口经营业务；技术推广服务；发酵制品生产及销售；销售：汽车配件、建材及化工原料。,刘淼,泸州市,公司是具有400多年酿酒历史的国有控股上市公司。公司以专业化白酒产品设计、生产、销售为主要经营模式，主营“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售，主要综合指标位于白酒行业前列。公司实施“双品牌塑造，多品牌运作”的品牌战略，构建起五大战略单品的金字塔品牌结构：国窖1573定位为中国白酒超高端品牌是塔尖，百年泸州老窖窖龄酒、泸州老窖特曲定位为商务与宴会用酒第一品牌组成塔柱，泸州老窖头曲和二曲为大众市场覆盖的第一品牌构筑塔基，并积极拓展养生酒产品和预调酒产品，开展以消费者需求为主导的定制酒业务。公司坚持以“全心全意酿酒、一心一意奉献”为宗旨，敬人敬业，创新卓越，努力实现市场占有领先、公司治理领先、品牌文化领先、质量技术领先、人才资源领先，酿造世界最好的白酒，为客户提供最优质的服务，把泸州老窖建成全球酒类市场中的航空母舰，形成融入经济全球化的大型现代企业，追求“在中国灿烂名酒文化熏陶中，全人类共享幸福美满的生活”。,lzlj@lzlj.com;dsb@lzlj.com,主要产品:“泸州老窖”系列酒.,林锋,四川,146475.25,王洪波,19950503,www.lzlj.com,泸州老窖,2015,SZSE,SZSE,酒精饮料,20510,-,其他酒类,20510020,329776153000,-1.44,0.88,¥222.20,非周期性消费,205,0.01,90200,20406000.0,0.46,10000.0,90200,0.46,0.46,1.0,226.16,107.48,156.17,42.28,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747713
603369,2020Q4_1747782,江苏省淮安市涟水县高沟镇今世缘大道1号,白酒生产、销售本公司产品；配制酒的生产、销售；预包装食品批发与零售；自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)；品牌策划；酒类新产品开发；服装鞋帽制造、销售；设计、制作、代理一般广告；企业管理咨询。(依法须经批准的项目，经相关部门批准后方可开展经营活动),周素明,淮安市,公司主要从事浓香型白酒的生产、加工和销售。拥有“国缘”、“今世缘”和“高沟”三个著名商标，其中，“国缘”、“今世缘”是“中国驰名商标”，“高沟”是“中华老字号”。公司先后荣获中国白酒智能化酿造示范车间、推动中国酒业发展企业、中国食品工业科技进步企业、全国轻工行业先进集体、全国“守合同，重信用”企业、全国质量和服务诚信企业、全国“五一”劳动奖状、全国模范劳动关系和谐企业、全国模范职工之家、全国企业文化建设先进单位、全国质量奖、全国文明单位、国家4A级旅游景区等称号。,jsydmb@163.com,"主营白酒生产和销售,主要产品“今世缘”,“国缘”,“高沟”等系列品牌产品.主要产品属浓香型白酒",顾祥悦,江苏,125450.0,王卫东,19971223,www.jinshiyuan.com.cn,XD今世缘,2015,SHSE,SHSE,酒精饮料,20510,-,其他酒类,20510020,73385824000,16.82,3.47,¥58.23,非周期性消费,205,0.02,220000,12623600.0,0.29,10000.0,220000,0.29,0.29,1.0,57.96,41.3,49.01,18.81,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747782
002891,2020Q4_1747727,山东省烟台市莱山经济开发区飞龙路88号,生产、加工宠物食品，并销售公司上述所列自产产品；销售宠物饲料添加剂产品。(依法续经批准的项目，经相关部门批准后方可开展经营活动),郝忠礼,烟台市,公司是一家全球宠物食品领域多元化品牌运营商，旗下有“Wanpy”、“Natural Farm”、“Dr.Hao”、“Jerky Time”、“爱宠私厨”、“脆脆香”丄Happy100等自主品牌，主要从事犬用及猫用宠物食品的研发、生产和销售，具体产品涵盖零食和主粮两大类。产品销往日本、美国、加拿大、德国、英国、法国、澳大利亚、俄罗斯、韩国等全球30多个国家和地区。公司先后通过了ISO9001质量管理体系认证，ISO22000食品安全管理体系认证、HACCP食品安全体系认证、ISO14001环境管理体系认证、英国零售商协会BRC食品安全全球标准认证、全球最大的第三方认证机构SGS进行的食品安全审核、MSC水产品产销监管链认证、美国FDA注册、欧盟宠物食品官方注册、加拿大宠物食品官方注册、日本农林水产省禽肉热加工注册、BSCI商业社会责任准则审核。,shiy@wanpy.com.cn;houyw@wanpy.com.cn,"主要从事犬用及猫用宠物食品的研发,生产和销售,具体产品涵盖零食和主粮两大类,其中,主粮包括湿粮(罐头)和干粮两类产品.",郝忠礼,山东,29411.27,史宇,20020118,www.wanpy.com.cn,中宠股份,2018,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,10759544000,16.79,-2.82,¥35.52,非周期性消费,205,0.08,240000,8739200.0,0.2,10000.0,240000,0.2,0.2,1.5,38.6,26.0,32.44,9.49,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747727
600660,2020Q4_1747766,福建省福州市福清市福耀工业村II区,生产汽车玻璃，装饰玻璃和其它工业技术玻璃及玻璃安装，售后服务；开发和生产经营特种优质浮法玻璃，包括超薄玻璃、薄玻璃、透明玻璃、着色彩色玻璃；并统一协调管理集团内各成员公司的经营活动和代购代销成员公司的原辅材料和产品；协助所属企业招聘人员、提供技术培训及咨询等有关业务；生产玻璃塑胶包边总成，塑料、橡胶制品；包装木料加工；纸箱、纸板、铁架、可循环使用的包装金属支撑架、包装托盘等玻璃安装用的材料的销售。国家禁止外商投资的行业除外，国家限制外商投资的行业或有特殊规定的，须依法履行相关程序。(涉及审批许可项目的，只允许在审批许可的范围和有效期限内从事生产经营)。,曹德旺,福州市,公司是一家专注于汽车玻璃生产的供应商，主要从事浮法玻璃及汽车用玻璃制品的生产及销售，产品不但配套国内汽车品牌，更已成为德国奥迪、德国大众、南韩现代、澳大利亚Holden、日本铃木、日本三菱、捷克途胜的合格供应商，并批量供货。公司是“国家认定企业技术中心”，是国家知识产权局授牌“专利工作交流站”，是国家科技部、中华全国总工会确认的“全国第三批创新型试点企业”。,600660@fuyaogroup.com,主营业务:从事浮法玻璃及汽车用玻璃制品的生产及销售.,叶舒,福建,260974.35,李小溪,19920621,www.fuyaogroup.com,XD福耀玻,2019,SHSE,SHSE,汽车和配件,10200,-,汽车配件,10200030,127157927000,16.86,7.74,¥51.70,周期性消费,102,0.01,175000,8408800.0,0.19,10000.0,175000,0.19,0.19,1.0,48.05,21.56,33.27,55.4,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747766
688050,2020Q4_1747799,北京市昌平区科技园区兴昌路9号,生产医疗器械及其配件第Ⅱ类、第Ⅲ类；生产消毒产品；生产食品；生产医疗器械及其配件第Ⅰ类、卫生用品、日用品、化妆品、眼镜、仪器仪表设备及其配件；生产药品；零售药品；销售医疗器械及其配件第Ⅲ类；销售消毒产品；销售食品；销售医疗器械及其配件第Ⅰ类、第Ⅱ类、卫生用品、日用品、化妆品、眼镜、仪器仪表设备及其配件、化工产品(不含危险化学品)；技术开发、技术转让、技术咨询、技术服务(不含人体干细胞、基因诊断与治疗技术开发和应用)；医学研究与试验发展(不含人体干细胞、基因诊断与治疗技术开发和应用)；技术检测；验光及配镜服务；健康咨询；企业管理咨询；办公用房租赁；物业管理；货物进出口、技术进出口、代理进出口、佣金代理(不涉及国营贸易管理商品；涉及配额许可证管理商品的按国家有关规定办理申请手续)。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后开展经营),解江冰,北京市,"公司是由国家“千人计划”和北京市“海聚工程”特聘专家解江冰博士创办的高新技术企业，专注于眼科医疗器械的自主研发、生产、销售及相关服务。目前公司主要产品覆盖手术和视光两大领域，主要针对白内障和屈光不正这两大类造成致盲和视力障碍的主要眼科疾病，其中手术领域的核心产品为人工晶状体，视光领域的核心产品为角膜塑形镜，以及围绕这两项核心产品研发生产的一系列配套产品。公司中长期发展目标是开发眼科全系列医疗产品，包括植入类眼科耗材、手术器械、手术设备、视光产品、眼科制剂等产品，覆盖白内障、屈光不正、青光眼、眼底病变等诸多领域，成为国内眼科医疗领域的创新型领军企业。公司专利ZL201210017055.4后房型人工晶状体获得“第二十一届中国专利优秀奖”。公司人工晶状体产品上市以来，已覆盖国内30多个省、自治区和直辖市的1,000多家医院，并且已出口至德国、法国、荷兰、意大利、奥地利、卢森堡、泰国、巴基斯坦等国家，累计销售近100万片。2015年至今，公司产品密集入选中国政府对非洲和“一带一路”国家“光明行”医疗援助项目，为20多个国家的患者带来光明，打破了中国白内障医疗援外项目主要使用进口人工晶状体的局面。",investors@ebmedical.com,"专注于眼科医疗器械的自主研发,生产,销售及相关服务.目前公司主要产品覆盖手术和视光两大领域,主要针对白内障和屈光不正这两大类造成致盲和视力障碍的主要眼科疾病,其中手术领域的核心产品为人工晶状体,视光领域的核心产品为角膜塑形镜,以及围绕这两项核心产品研发生产的一系列配套产品.",解江冰,北京,10513.93,王韶华,20100421,www.ebmedical.com,爱博医疗,0,SHSE,SHSE,医疗器械,20650,-,医疗器械和供给,20650020,33141138000,74.69,87.53,¥311.77,医疗保健,206,0.04,44100,7627200.0,0.17,10000.0,44100,0.17,0.17,1.0,293.18,164.4,205.37,51.81,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747799
689009,2020Q4_1747821,,,,,,,,,,,,,,九号公司,0,SHSE,SHSE,旅游和娱乐,10290,-,娱乐,10290020,4416113000,-0.95,-25.86,¥64.33,周期性消费,102,0.16,109900,7666400.0,0.17,10000.0,109900,0.17,0.17,1.0,86.65,47.6,70.75,-9.07,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747821
300258,2020Q4_1747742,江苏省泰州市姜堰区双登大道198号,精密锻件、精密冲压件、成品齿轮、精密模具、差速器总成和离合器总成及其零件的设计、制造、销售；精锻、精冲工艺CAD/CAE/CAM系统研发；自营和代理各类商品及技术的进出口业务(国家限定公司经营和禁止进出口的商品及技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),夏汉关,泰州市,公司主营业务为汽车精锻齿轮及其它精密锻件的研发、生产与销售，是行业领先的精锻齿轮供应商。公司是一家具有自主创新能力、拥有自主知识产权、掌握先进的齿轮模具设计开发与制造核心技术、采用冷温热精密锻造成形技术、专业化制造汽车齿轮的高新技术企业、中国齿轮行业协会50强最具品牌影响力企业、江苏省经济和信息化委员会两化融合研发设计示范企业。公司主要产品为汽车差速器半轴齿轮和行星齿轮、汽车变速器结合齿齿轮。公司产品得到了国内外主流整车制造商或其动力总成供应商的高度认可，是目前国内乘用车精锻齿轮细分行业的龙头企业，轿车精锻齿轮产销量位居行业前列。,ppf@ppforging.com;dongyi@ppforging.com;tianhy@ppforging.com,"主要产品:汽车差速器半轴齿轮和行星齿轮,汽车变速器结合齿齿轮,汽车变速器轴类件,EDL(电子差速锁齿轮,凸轮环),同步器齿圈,离合器驱动盘毂类零件,新能源车中央电机轴和新能源车差速器总成,高端农业机械用齿轮等.主营业务:汽车精锻齿轮及其它精密锻件的研发,生产与销售.",夏汉关,江苏,48177.08,董义,19921209,www.ppforging.com,精锻科技,2020,SZSE,SZSE,汽车和配件,10200,-,汽车配件,10200030,5875445000,10.66,-22.28,¥12.45,周期性消费,102,0.09,445000,7191200.0,0.16,10000.0,445000,0.16,0.16,1.0,20.37,10.85,15.56,-19.99,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747742
300452,2020Q4_1747744,安徽省淮南市经济技术开发区河滨路2号,药用辅料的生产。医药中间体、精细化工产品(不含危险品及监控化学品)的生产、销售，经营本企业自产产品及进出口业务和代理销售国内外辅料产品及进出口业务(国家限定公司经营或禁止进出口的商品及技术除外)，食品添加剂(凭生产许可证许可范围)的生产。,尹正龙,淮南市,"公司自成立以来，一直专注于药用辅料的研发、生产和销售，产品涵盖填充剂、黏合剂、崩解剂、润滑剂、包衣材料等常用口服固体制剂类药用辅料，多个产品列入《中国高新技术产品出口目录》。公司为国家火炬计划重点高新技术企业，安徽省创新型企业，安徽省100户“专、精、特、新”企业，安徽省优秀民营企业，安徽省产学研联合示范企业，多次获省食药监系统“双优”企业，是淮南市民营“十强”企业，获淮南市制造业突出贡献奖、安徽省质量奖、安徽省卓越绩效奖等；是国家级“重合同，守信用”企业。建有“省级企业技术中心”，是“安徽省药用辅料工程技术研究中心”的依托单位，安徽省药用辅料产业技术创新战略联盟的发起单位，建有省级博士后科研工作站,院士工作站。现为国际药用辅料协会中国会员，全国药用辅料协会副主任单位。企业拥有多个省高新技术产品和多项发明专利，产品符合中国药典及英、美药典标准，销售网络遍布全国，并出口欧美和东南亚；“山河药辅”商标荣获省著名商标称号。",huh@shanhe01.com;jzhzh@vip.qq.com;sunhere@shanhe01.com,"专注于药用辅料的研发,生产和销售.主要产品涵盖填充剂,黏合剂,崩解剂,润滑剂,包衣材料等常用口服固体制剂类药用辅料.其中:微晶纤维素,羟丙纤维素,羟丙甲纤维素,羧甲淀粉钠,硬脂酸镁先后被评定为安徽省高新技术产品,“立崩”牌羧甲淀粉钠先后获得淮南市知名产品,安徽省名牌产品称号,微晶纤维素,硬脂酸镁和薄膜包衣粉产品被评定为淮南市知名产品,并有多个产品列入《中国高新技术产品出口目录》.",尹正龙,安徽,18046.71,胡浩,20010427,www.shanhe01.com,山河药辅,2016,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,2719549000,-6.01,-10.52,¥14.98,医疗保健,206,0.2,354200,6127000.0,0.14,10000.0,354200,0.14,0.14,1.0,30.59,17.3,23.43,-36.06,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747744
603520,2020Q4_1747785,浙江省台州市仙居县现代工业集聚区丰溪西路9号,医药中间体制造、销售；经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务，但国家限定公司经营或禁止进口的商品及技术除外。原料药(碘海醇、碘克沙醇、碘帕醇、碘佛醇、盐酸左氧氟沙星、左氧氟沙星、甲磺酸帕珠沙星)制造(详见《药品生产许可证》)；(依法须经批准的项目，经有关部门批准后方可开展经营活动),胡锦生,台州市,公司专业从事X射线造影剂、喹诺酮类抗菌药等药物的原料药及中间体的研发、生产及销售。公司X射线造影剂主要产品为碘海醇原料药，喹诺酮类抗菌药主要产品为盐酸左氧氟沙星原料药、左氧氟沙星原料药。公司是国内X射线造影剂原料药龙头企业。公司坚持以“聚一流人才、选一流装备、建一流厂房、创一流企业”为建厂理念，主张“创造优质产品、提供优质服务、致力人类健康、实现合作互赢”的经营理念。公司主要产品已获得欧洲COS证书、通过日本PMDA官方审计及ISO14001环境管理体系认证，产品远销海内外，目前公司已发展成为国内品种最全、规模最大的X-CT非离子型碘造影剂系列原料药供应商。,Stl@starrypharma.com,"主要产品:X射线造影剂主要产品为碘海醇原料药,喹诺酮类抗菌药主要产品为盐酸左氧氟沙星原料药,左氧氟沙星原料药;主营业务:专业从事X射线造影剂,喹诺酮类抗菌药等药物的原料药及中间体的研发,生产及销售.",胡健,浙江,24449.89,吴超群,19970915,www.starrypharm.com,司太立,2019,SHSE,SHSE,医药制造,20620,-,专用医药制造,20620020,13443668000,-10.66,-15.24,¥52.66,医疗保健,206,0.04,93400,6148500.0,0.14,10000.0,93400,0.14,0.14,1.0,97.16,60.27,74.31,-29.13,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747785
603444,2020Q4_1747783,福建省厦门市厦门软件园二期望海路4号101室,软件开发；数字内容服务；信息技术咨询服务；经营各类商品和技术的进出口(不另附进出口商品目录)，但国家限定公司经营或禁止进出口的商品及技术除外；互联网信息服务(不含药品信息服务和网吧)；互联网出版；动画、漫画设计、制作；其他未列明电信业务；其他未列明信息技术服务业(不含需经许可审批的项目)；互联网接入及相关服务(不含网吧)；其他互联网服务(不含需经许可审批的项目)；图书批发；报刊批发；音像制品批发；电子出版物批发；图书、报刊零售；音像制品零售；电子出版物零售；其他文化用品批发；其他未列明批发业(不含需经许可审批的经营项目)；其他文化用品零售；互联网销售；其他未列明零售业(不含需经许可审批的项目)；自有房地产经营活动。,卢竑岩,厦门市,公司是一家专业从事网络游戏创意策划、研发制作及商业化运营的国家级重点软件企业。作为一家网络游戏研发和运营商，公司以弘扬中华传统文化为使命，以创造“原创、精品、绿色”网络游戏为宗旨，致力于塑造内容健康向上、具有较高文化艺术品位与娱乐体验的精品原创网络游戏。公司顺应行业研运一体化的发展趋势，立足自主创新、自主研发并积极向产业链下游延伸网络游戏运营业务。公司获得“2017年中国互联网100强”、“国家规划布局内重点软件企业”、“国家火炬计划重点高新技术企业”、“2017年国家高新技术企业”、“2017年福建省互联网企业20强”、“福建省文化产业示范基地”、“福建省版权示范单位”、“福建省重点软件骨干企业”、“福建省(中国历史)动漫制作企业工程技术研究中心”、“福建省战略性新兴产业骨干企业”、“福建省科技小巨人领军企业培育企业”、“福建省第七批省级创新型企业”、“福建省文化出口重点培育企业”、“福建省动漫游戏杰出贡献企业”、“福建省文化系统先进集体”、“2017年厦门市重点软件和信息技术服务企业”、“厦门市网络动漫工程技术研究中心”等荣誉。,ir@g-bits.com,"专业从事网络游戏创意策划,研发制作及商业化运营.主要产品为《问道》,《问道外传》,《斗仙》,《乱战》,《精灵守卫战》,《星际防御战》,《十万个女汉子》等多款游戏",卢竑岩,福建,7186.46,梁丽莉,20040326,www.g-bits.com,吉比特,2020,SHSE,SHSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,34930029000,30.65,15.77,¥520.49,通信服务,308,0.02,12500,5325000.0,0.12,10000.0,12500,0.12,0.12,1.0,653.6,366.69,530.01,-1.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747783
