symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
300413,2020Q4_1750225,湖南省长沙市金鹰影视文化城金鹰阁,广播电视节目制作；文化娱乐经纪；演出经纪；电子产品及配件的技术咨询服务；智能技术咨询、服务；计算机硬件开发；计算机网络系统工程服务；计算机技术转让；计算机网络平台的开发及建设；计算机技术咨询；计算机技术开发、技术服务；信息网络传播视听节目业务；电子产品及配件、智能产品的销售；电子产品、智能化技术的研发；日用化学品、日用百货、文体用品、玩具、五金工具、家用电器、服装鞋帽、家具、通讯器材、首饰珠宝零售；旅游产品开发、销售，旅游信息咨询、服务；广告设计及户外广告发布、代理电视、报纸广告；活动策划、展览、培训；预包装食品、酒类销售；中药、保健食品、医疗器械、音像制品、书报刊零售；第二类增值电信业务中的信息服务业务(不含固定网电话信息服务业务和移动网信息服务)；保险兼业代理；自营和代理各类商品及技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；化肥零售；销售不再分装的包装种子；林木种子、农作物种子的销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动),张华立,长沙市,公司是湖南广播电视台旗下统一的新媒体产业及资本运营平台，与湖南卫视共同构成芒果生态内的双平台驱动、全媒体融合发展格局。公司聚焦媒体主业，以芒果TV融合媒体平台为主阵地，秉持平台精准内容与核心自主技术双轮驱动理念，充分发挥研发、生产、发行、牌照、政策优势，服务全国及海外亿级新媒体用户，持续打造A股市场第一家以融合发展为标志，具有引领力、传播力和影响力的国有新媒体上市公司，全力向国内最具创新活力和有全球影响力的新型主流媒体集团战略目标迈进。,mangocm@mangocm.com,"新媒体平台运营业务,新媒体互动娱乐内容制作,媒体零售业务",蔡怀军,湖南,178037.75,吴俊,20051228,www.happigo.com,芒果超媒,2020,SZSE,SZSE,零售,10280,-,网络零售,10280050,108146579000,-0.6,-17.23,¥59.56,周期性消费,102,0.03,581000,42122000.0,3.37,10000.0,581000,3.37,3.37,1.0,79.82,59.58,68.59,-13.17,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750225
688169,2020Q4_1750275,"北京市海淀区黑泉路8号1幢康健宝盛广场C座六层6016,6017,6018号",软件及智能清洁设备的技术研发、技术转让、技术咨询、技术服务；智能清洁设备的委托加工；电子产品、机械设备、文化用品的批发、零售；销售日用品；仪器仪表维修；租赁机械设备、文化用品、日用品；销售自行开发的软件产品；货物进出口、技术进出口、代理进出口。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),昌敬,北京市,公司是一家专注于家用智能清洁机器人及其他清洁电器研发和生产的公司。公司是国际上将激光雷达技术及相关算法大规模应用于智能扫地机器人领域的领先企业。智能扫地机器人在通过基于激光测距传感器、惯性测量单元等传感器的SLAM算法构建出户型地图后，再根据户型地图进行定位，同时通过AI算法规划出智能、高效的清扫路径，可以有效避免漏扫重扫。服务器端通过对联网产品数据进行深度学习、算法优化从而不断迭代升级机器人算法。公司在研发与产品设计方面处于行业前列。公司分别被授予“国家高新技术企业”、“中关村高新技术企业”、“北京市知识产权试点企业”、“中国机器人产业联盟会员”、“中关村企业信用促进会会员”、“北京半导体行业协会会员”等资质，公司产品曾被授予“北京市新技术新产品(服务)”、“国际IF设计大奖”、“台湾金点奖”、“中国优秀工业设计奖”等多项荣誉。,ir@roborock.com,"主要产品为智能扫地机器人及相关配件,主营业务为智能清洁机器人等智能硬件的设计,研发,生产和销售.",昌敬,北京,6666.67,孙佳,20140704,www.roborock.com,石头科技,0,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,72542449000,9.07,5.76,¥1032.00,工业,310,0.06,40000,41440000.0,3.31,10000.0,40000,3.31,3.31,1.0,1065.0,377.2,640.11,61.22,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750275
600600,2020Q4_1750267,山东省青岛市香港中路五四广场青啤大厦,生产啤酒；预包装食品销售；生产饮料、威士忌、蒸馏酒。,黄克兴,青岛市,公司经营范围是啤酒制造、销售以及与之相关的业务。目前公司在国内拥有62家全资和控股的啤酒生产企业，及2家联营及合营啤酒生产企业，分布于全国20个省、直辖市、自治区，规模和市场份额居国内啤酒行业领先地位。其生产的青岛啤酒为国际市场上最具知名度的中国品牌，已行销世界100个国家和地区。目前，青岛啤酒远销美国、加拿大、英国、法国、德国、意大利、澳大利亚、韩国、日本、丹麦、俄罗斯等世界90多个国家和区域。全球啤酒行业权威报告Barth Report依据产量排名，青岛啤酒为世界第五大啤酒厂商。,secretary@tsingtao.com.cn;info@tsingtao.com.cn,主要产品:啤酒.,,山东,136447.68,张瑞祥,19951227,www.tsingtao.com.cn,青岛啤酒,2017,SHSE,SHSE,酒精饮料,20510,-,啤酒,20510010,114770067000,16.86,2.22,¥98.22,非周期性消费,205,0.02,300000,29820000.0,2.38,10000.0,300000,2.38,2.38,1.0,107.52,74.15,88.91,10.47,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750267
000333,2020Q4_1750207,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,生产经营家用电器、电机及其零部件；从事家用电器、家电原材料及零配件的进出口、批发及加工业务(不设店铺，不涉及国营贸易管理商品，涉及配额、许可证管理商品的按国家规定办理)；信息技术服务；为企业提供投资顾问及管理服务；计算机软件、硬件开发；家电产品的安装、维修及售后服务；工业产品设计；酒店管理；广告代理；物业管理；企业所需的工程和技术研究、开发及其销售和推广；对金融业进行投资。(经营范围涉及行政许可的项目须凭有效许可证或批准证明经营),方洪波,佛山市,公司是一家消费电器、暖通空调、机器人与自动化系统、智能供应链(物流)的科技集团，提供多元化的产品种类与服务，包括以厨房家电、冰箱、洗衣机、及各类小家电为核心的消费电器业务；以家用空调、中央空调、供暖及通风系统为核心的暖通空调业务；以库卡集团、美的机器人公司等为核心的机器人及自动化系统业务;以安得智联为集成解决方案服务平台的智能供应链业务。公司以“科技尽善，生活尽美”为企业愿景，将“联动人与万物，启迪美的世界”作为使命，恪守“敢知未来——志存高远、务实奋进、包容共协、变革创新”的价值观，整合全球资源，推动技术创新，每年为全球超过3亿用户、及各领域的重要客户与战略合作伙伴提供满意的产品和服务，致力创造美好生活。,IR@midea.com,"以家电产业为主,涉足电机,物流等领域,旗下分为四大业务板块,分别为大家电,小家电,电机及物流",方洪波,广东,704515.93,江鹏,20000407,www.midea.com,美的集团,2014,SZSE,SZSE,家具制造,10220,-,家具制造,10220010,504918392000,-9.25,-26.09,¥69.78,周期性消费,102,0.0,300000,29532000.0,2.36,10000.0,300000,2.36,2.36,1.0,98.44,61.19,76.9,-9.26,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750207
300860,2020Q4_1750227,北京市东城区东直门南大街11号中汇广场B座7层,组织文化艺术交流活动；舞台灯光设计；舞台灯光设备租赁；安装、调试舞台设备；施工总承包；专业承包；承办展览展示；技术推广服务；销售机械电器设备、五金交电（不含电动自行车）；经济信息咨询；物业管理；出租商业用房；出租办公用房；工程勘察设计；经营演出及经纪业务（营业性演出许可证有效期至2022年06月21日）。（市场主体依法自主选择经营项目，开展经营活动；经营演出及经纪业务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,沙晓岚,北京市,公司自成立以来，主要从事国内外文化演艺活动的策划、艺术创意设计、制作；剧院演出场所灯光音响工程设计、制作、器材租赁等业务；其中包括国家级大型活动灯光工程、地标性景观灯光秀、大型项目水秀灯光秀、舞台演出灯光设计和制作、器材租赁。公司于2006年获得ISO9001国际质量管理体系认证；同时公司拥有中国演艺设备技术协会演出场馆设备专业委员会评定的“专业灯光工程综合技术能力等级一级资质”；中国演出行业协会颁布的“舞美工程企业综合技术壹级资质”。,fssj@fssjart.com,"公司以创意设计为核心,业务范围涵盖大型文化演艺活动,文化旅游演艺,景观艺术照明及演绎等多个领域的创意,设计及制作服务.",沙晓岚,北京,13694.07,李勇,20020730,www.fssjart.com,锋尚文化,0,SZSE,SZSE,传媒,30820,-,娱乐,30820040,6974411000,-15.89,-24.85,¥51.03,通信服务,308,0.28,380000,26140000.0,2.09,10000.0,380000,2.09,2.09,1.9,109.41,66.95,78.47,-34.97,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750227
603877,2020Q4_1750270,浙江省宁波市鄞州区光华路与新晖南路交叉口太平鸟时尚中心,一般项目：服装服饰零售；服装服饰批发；服装制造；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；专业设计服务；鞋帽批发；鞋帽零售；化妆品批发；化妆品零售；羽毛(绒)及制品制造；服饰制造；日用品销售；日用百货销售；针纺织品销售；文具用品批发；文具用品零售；体育用品及器材零售；文化用品设备出租；互联网销售(除销售需要许可的商品)；日用口罩(非医用)销售；第一类医疗器械销售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,张江平,宁波市,公司是一家以零售为导向的多品牌时尚服饰公司。公司实施梯度品牌发展战略，各品牌针对差异化的细分市场，在目标消费群、品牌定位及产品设计等方面相互补充，满足日益细分的消费群体的多元需求；公司实施时尚化战略，高度注重产品研发设计，将当下最流行时尚元素和品牌风格融合于产品设计，造就强大的产品竞争力；公司采取“直营与加盟为主，代理为辅”相结合的销售模式，实现了电商与线下销售的同步快速发展。,board@peacebird.com,"主营业务:致力于为消费者提供中等价位的优质时尚服饰.主要产品为各类品牌服饰产品,包括PEACEBIRD女装,PEACEBIRD男装,乐町LED’IN女装,MATERIAL GIRL女装,AMAZING PEACE男装,贝诗宝男装,Mini Peace童装等多个品牌.",陈红朝,浙江,47672.78,王青林,20010910,www.peacebird.com,太平鸟,2020,SHSE,SHSE,零售,10280,-,服装零售,10280010,27334875000,17.5,98.57,¥57.24,周期性消费,102,0.18,850000,25500000.0,2.04,10000.0,850000,2.04,2.04,1.0,42.53,14.27,28.28,102.4,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750270
688561,2020Q4_1750277,,,,,,,,,,,,,,奇安信,0,SHSE,SHSE,软件,31110,-,软件基础构架,31110030,80906569000,33.06,-3.25,¥114.01,科技,311,0.0,21200,2599700.0,0.21,10000.0,21200,0.21,0.21,1.0,133.55,87.15,108.35,5.22,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750277
300999,2020Q4_1750264,,,,,,,,,,,,,,金龙鱼,0,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,447162200000,14.96,-23.3,¥80.55,非周期性消费,205,0.0,8500,748700.0,0.06,10000.0,8500,0.06,0.06,1.0,108.32,44.47,68.22,18.07,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750264
688777,2020Q4_1750282,浙江省杭州市滨江区六和路309号,一般项目：工业自动控制系统装置制造、工业自动控制系统装置销售、软件开发、软件销售、货物进出口、技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广、网络与信息安全软件开发、信息安全设备制造、信息安全设备销售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)；许可项目：各类工程建设活动、信息系统集成服务、建设工程设计、建筑智能化工程施工(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准)。,CUI SHAN,杭州市,公司始终坚持通过自主创新打破跨国公司的技术壁垒，持续加大研发投入及研发平台建设，成功取得了一系列发明专利、技术奖项、产品认证及国际标准和国家标准。公司曾获得国务院授予的国家科学技术进步奖二等奖、一项中国标准创新贡献一等奖和多项省部级以上科技进步类奖项，牵头或参与制定国际标准、国家标准多项。2014年公司成为首批被推荐的两化融合管理体系贯标咨询服务机构，首次通过CMMI5级软件能力成熟度认证；2017年，公司入选全国首批智能制造系统解决方案供应商推荐目录和全国首批30家服务型制造示范企业名单；2018年，入选中国智能制造系统解决方案供应商联盟第一批供应商推荐目录；2019年，被工信部评为国家技术创新示范企业，被国家发改委认定为国家企业技术中心。,ir@supcon.com,"面向流程工业企业的“工业3.0+工业4.0”需求,提供以自动化控制系统为核心,涵盖工业软件,自动化仪表及运维服务的技术和产品,形成具有行业特点的智能制造解决方案,赋能用户提升自动化,数字化,智能化水平,实现工业企业高效自动化生产和智能化管理.",CUI SHAN,浙江,49408.4,莫威,19991207,www.supcontech.com,中控技术,0,SHSE,SHSE,工业制品,31070,-,电子器械和零件,31070060,48978198000,19.02,-0.77,¥96.92,工业,310,0.0,5800,446800.0,0.04,10000.0,5800,0.04,0.04,1.0,124.75,96.0,106.67,-9.14,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750282
688301,2020Q4_1750276,,,,,,,,,,,,,,奕瑞科技,0,SHSE,SHSE,医疗器械,20650,-,医疗器械和供给,20650020,22530358000,77.83,87.58,¥311.92,医疗保健,206,0.0,2400,394900.0,0.03,10000.0,2400,0.03,0.03,1.0,217.21,147.31,182.83,70.61,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750276
