symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
600048,2020Q4_1751775,广东省广州市海珠区阅江中路832号保利发展广场,项目投资；房地产开发经营；物业管理；房屋租赁；建筑物拆除(不含爆破作业)；房屋建筑工程设计服务；铁路、道路、隧道和桥梁工程建筑；建筑工程后期装饰、装修和清理；土石方工程服务；建筑物空调设备、通风设备系统安装服务；酒店管理；商品批发贸易(许可审批类商品除外)；商品零售贸易(许可审批类商品除外)。,宋广菊,广州市,公司是一家专注于房地产开发及销售的大型企业集团，拥有国家一级房地产开发资质。在20余年专业开发过程中，公司培养了以商品住宅开发销售为主、经营性物业开发持有为辅的综合开发能力；以“和者筑善”为价值理念，致力于创造自然、建筑、人文交融的人居生活，打造了康居、善居、逸居、尊居四大品牌系列，包含花园系、心语系、香槟系、公馆系、林语系、康桥系、十二橡树系等多种品类，涵盖住宅、写字楼、星级酒店、购物中心、商贸会展、高端休闲地产等多种业态；形成了覆盖珠三角、长三角、环渤海、中部、西南主要经济圈、遍布全国60个主流城市的战略布局。在房地产开发主业快速发展的同时，公司还积极拓展了建筑设计、工程施工、销售代理、物业管理、商业运营、会展服务、健康养老、房地产金融等相关行业，形成了以房地产开发为主、相关行业稳步发展的业务格局。,stock@polycn.com,"主营业务:房地产开发,销售,租赁及其物业管理.",刘平,广东,1196949.33,黄海,19920914,www.polycn.com,保利地产,2017,SHSE,SHSE,房地产,10410,-,房地产开发,10410010,141000631000,-17.66,-25.41,¥11.78,房地产,104,0.11,12999900,205658400,3.64,10000.0,12999900,3.64,3.64,1.0,17.4,15.36,16.25,-27.51,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751775
603833,2020Q4_1751792,广东省广州市白云区广花三路366号,一般经营范围：家具制造;家具零配件生产;家具零配件销售;家具销售;家具安装和维修服务;地板制造;地板销售;门窗制造加工;门窗销售;金属门窗工程施工;楼梯制造;楼梯销售;家居用品销售;家居用品制造;水资源专用机械设备制造;气体、液体分离及纯净设备制造;气体、液体分离及纯净设备销售;建筑装饰、水暖管道零件及其他建筑用金属制品制造;建筑装饰材料销售;木材加工;人造板制造;机械电气设备制造;家用电器制造;家用电器安装服务;家用电器销售;家用电器研发;家用电器零配件销售;家用纺织制成品制造;纸制品制造;纸制品销售;非电力家用器具制造;非电力家用器具销售;搪瓷制品制造;搪瓷制品销售;商业、饮食、服务专用设备制造;金属制日用品制造;卫生陶瓷制品制造;卫生陶瓷制品销售;卫生洁具制造;卫生洁具研发;卫生洁具销售;厨具卫具及日用杂品批发;厨具卫具及日用杂品研发;厨具卫具及日用杂品零售;日用玻璃制品制造;日用玻璃制品销售;电热食品加工设备销售;日用品销售;灯具销售;互联网销售(除销售需要许可的商品);日用百货销售;软件销售;软件开发;建筑用石加工;日用电器修理;住宅水电安装维护服务;普通货物仓储服务(不含危险化学品等需许可审批的项,姚良松,广州市,公司是国内综合型的现代整体家居一体化服务供应商。公司主要从事整体厨柜、整体衣柜、整体卫浴和定制木门等定制化整体家居产品的个性化设计、研发、生产、销售和安装服务。公司拥有国际化家居产品制造基地，以整体橱柜为龙头，带动相关产业发展，包括全屋定制、衣柜、卫浴、木门、墙饰壁纸、厨房电器、寝具等，形成多元化产业格局。公司在整体厨柜领域一直保持行业龙头地位，并在整体衣柜、定制木门领域取得显著增长，在整体家居行业中具有较高的知名度与影响力。,oppeinIR@oppein.com,"主营业务:主要从事整体厨柜,整体衣柜,整体卫浴和定制木门等定制化整体家居产品的个性化设计,研发,生产,销售和安装服务.主营产品:包括整体厨柜,整体衣柜,整体卫浴,定制木门等.",姚良松,广东,60426.49,杨耀兴,19940701,www.oppein.com,欧派家居,2019,SHSE,SHSE,家具制造,10220,-,家具制造,10220010,84721016000,-7.96,4.16,¥137.19,周期性消费,102,0.24,1474200,198278200,3.51,10000.0,1474200,3.51,3.51,1.0,137.97,85.14,112.25,22.22,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751792
000338,2020Q4_1751720,山东省潍坊市高新技术产业开发区福寿东街197号甲,许可项目：技术进出口；货物进出口；道路货物运输(不含危险货物)；城市配送运输服务(不含危险货物)。一般项目：机械设备研发；机械设备销售；通用设备制造(不含特种设备制造)；通用设备修理；汽车零部件研发；汽车零部件及配件制造；汽车零配件批发；汽车零配件零售；专用设备修理；机械零件、零部件销售；数据处理和存储支持服务；软件开发；网络与信息安全软件开发；人工智能理论与算法软件开发；软件销售；集成电路设计；集成电路制造；集成电路销售；智能车载设备制造；智能车载设备销售；信息技术咨询服务；地理遥感信息服务；液压动力机械及元件制造；液压动力机械及元件销售；液气密元件及系统制造；液气密元件及系统销售；新兴能源技术研发；工程和技术研究和试验发展；电机及其控制系统研发；电动机制造；电池制造；电池销售；电力电子元器件制造；电力电子元器件销售；新能源汽车电附件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；润滑油加工、制造(不含危险化学品)；润滑油销售；专用化学产品制造(不含危险化学品)；专用化学产品销售(不含危险化学品)；石油制品销售(不含危险化学品)；成品油批发(不含危险化学品)；非居住房地产租赁；金属材料销售,谭旭光,潍坊市,公司是中国综合实力最强的汽车及装备制造产业集团之一，始终坚持产品经营+资本运营双轮驱动的运营策略，致力于打造最具品质、技术和成本三大核心竞争力的产品，成功构筑起了动力总成(发动机、变速箱、车桥)、整车整机、液压控制和汽车零部件四大产业板块协同发展的新格局。公司主要产品包括全系列发动机、重型汽车、轻微型车、工程机械、液压产品、汽车电子及零部件等，其中，发动机产品远销全球百余个国家和地区，广泛应用和服务于全球卡车、客车、工程机械、农业装备、船舶、电力等市场。目前，公司形成了以潍坊为中心的全系列动力产业基地，以西安为中心的重型汽车和传动系统产业基地，以重庆为中心的大功率发动机和轻型车产业基地，以株洲为中心的汽车电子及零部件产业基地，以扬州为中心的轻微型汽车动力产业基地。同时，公司先后荣获全国质量奖、中国机械工业科技进步特等奖、中国商标金奖·商标创新奖、中国质量奖等荣誉。,weichai@weichai.com;wangli01@weichai.com;wudi03@weichai.com,"主要产品:全系列发动机,重型汽车,轻微型车,工程机械,液压产品,汽车电子及零部件等.",谭旭光,山东,872655.68,王丽,20021223,www.weichaipower.com,潍柴动力,2020,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,142135418000,-10.88,7.35,¥16.99,工业,310,0.14,12309300,194363300,3.44,10000.0,12309300,3.44,3.44,1.0,18.0,15.11,16.3,4.23,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751720
600016,2020Q4_1751773,北京市西城区复兴门内大街2号,(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)从事同业拆借；(九)买卖、代理买卖外汇；(十)从事银行卡业务；(十一)提供信用证服务及担保；(十二)代理收付款项及代理保险业务；(十三)提供保管箱服务；(十四)经国务院银行业监督管理机构批准的其他业务。本行经中国人民银行批准，可以经营结汇、售汇业务。,高迎欣,北京市,公司是中国第一家主要由民营企业发起设立的全国性股份制商业银行，也是严格按照中国《公司法》和《商业银行法》设立的一家现代化金融企业。公司以实施“凤凰计划”为主线，按照“做强公司业务、做大零售业务、做优金融市场业务、做亮网络金融、做好综合化经营、做通海外业务”的经营思路，致力于成为民营企业和小微金融的首选银行、互联网金融和财富管理的领先银行，打造客户体验好、经营效益好、资产质量好、人才素质好、品牌形象好的“五好”银行。,cmbc@cmbc.com.cn,"主要业务:贷款(含贴现),拆出,存放同业,转贴现,存放央行,逆回购,债券投资,存款,可转换债券,拆入,同业存放,再贴现,转贴现,央行借款,正回购.",郑万春,北京,4378241.85,白丹,19960207,www.cmbc.com.cn,民生银行,2018,SHSE,SHSE,银行,10320,-,区域性银行,10320020,176929586000,-8.88,-13.79,¥4.24,金融服务,103,0.05,22980300,119497400,2.12,10000.0,22980300,2.12,2.12,1.0,5.42,5.12,5.25,-19.24,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751773
600823,2020Q4_1751781,上海市浦东新区潍坊西路55号上海世茂大厦7楼,"实业投资，房地产综合开发经营，本公司商标特许经营，酒店管理，物业管理，货物进出口及技术进出口,针纺织品,服装鞋帽,日用百货,皮革制品,玩具,钟表眼镜,照相器材,文化用品,五金交电,日用化学品,建筑装潢材料，家具,金属材料,电子产品,办公用品,机械设备,工艺美术品,计算机硬件、软件的批发、零售(拍卖除外)。",刘赛飞,上海市,公司是世茂集团布局生态住宅、商业地产及旅游地产的三大业务板块之一，始终以“缔造精致商业”为己任，致力于商业地产的专业化销售和经营。历经十余年的探索和努力，公司现已成为国内商业地产的龙头企业。公司秉承“诚信、协作、创新、卓越”的企业精神，多年来立足于中国房地产高端市场，凭借先进的开发理念、优异的开发品质、完善的服务管理和独具特色的项目创意，先后成功开发了上海世茂湖滨花园、福州世茂外滩花园、绍兴世茂广场、福州世茂百货和苏州世茂国际影城等项目，为“世茂”品牌赢得了广泛的社会知名度和美誉度，形成了长三角、环渤海和海西地区为主的战略布局。,600823@shimaoco.com,"主营业务为专注于商业地产投资,开发与经营.",刘赛飞,上海,375116.83,俞峰,19920701,www.shimaoco.com,世茂股份,2018,SHSE,SHSE,房地产,10410,-,房地产开发,10410010,14815432000,-7.48,-14.1,¥3.78,房地产,104,0.53,19881500,91653900,1.62,10000.0,19881500,1.62,1.62,1.0,7.1,4.3,5.56,-32.01,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751781
601009,2020Q4_1751782,江苏省南京市玄武区中山路288号,"公司经营范围包括：吸收公众存款;发放短期、中期、和长期贷款;办理国内外结算;办理票据承兑与贴现;发行金融债券;代理发行、代理兑付、承销政府债券;买卖政府债券、金融债券;从事同业拆借;买卖、代理买卖外汇;从事银行卡业务;提供信用证服务及担保;代理收付款项及代理保险业务;提供保管箱服务;经中国银行业监督管理委员会批准的其它业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",胡升荣,南京市,"南京银行诞生于中国金融体制改革和资本市场蓬勃发展的浪潮之中，乘着中国改革开放、经济腾飞的东风，一路乘风破浪砥砺前行。1996年公司完成了股份制改造，2001年引入境外战略投资者国际金融公司(IFC)，2005年引入境外战略投资者法国巴黎银行(BNP)，成为一家由国有法人股份、中资法人股份、外资股份和众多自然人股份共同组成的混合所有制商业银行；2007年初首家异地分行泰州分行开业，成为国内首批跨区域发展的城商行；2007年7月在上交所挂牌交易，是国内首家在上交所主板上市的城商行。公司秉承“为社会铸诚信品质、为客户创卓越服务、为股东谋持久回报”的核心价值观，立足服务实体经济，坚持解放思想、锐意进取、开拓创新、稳健发展的经营理念，实现业务规模稳步增长、基础管理扎实有效、风险管控不断强化、资产质量保持稳定、经营效益持续优良、综合实力日益提升。截至2018年末，公司资产规模12,432.69亿元，员工人数10,721人，经营网点实现京沪杭及江苏省内地区全覆盖，设有17家分行和191家支行。",boardoffice@njcb.com.cn,"主营业务:商业银行业务是本行的核心业务,主要包括公司银行业务,个人银行业务及资金运营业务.",林静然,江苏,1000701.7,江志纯,19960206,www.njcb.com.cn,南京银行,2016,SHSE,SHSE,银行,10320,-,区域性银行,10320020,100783545000,15.42,31.84,¥10.12,金融服务,103,0.1,10000000,80800000,1.43,10000.0,10000000,1.43,1.43,1.0,9.0,7.59,8.2,23.41,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751782
603489,2020Q4_1751791,江苏省苏州市工业园区娄葑镇和顺路9号,研发组装生产电动车电机、办公自动化设备电机、家用电器设备电机、电瓶车控制器、显示器、传感器、刹把、调速把、后衣架、磁盘；销售电机、电器产品、机械设备、电动车配件，控制器、充电器、动力电池；从事生产所需零配件的进口和自产产品及电动自行车配件的出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动),王清华,苏州市,"公司成立于2003年7月28日,是专业从事电踏车电机及配套电气系统的研发、生产、销售和技术服务的高新技术企业,经过多年的发展，已形成包括轮毂电机、中置电机两大类型共计80余种产品型号的电机产品系列，并具备控制器、传感器、仪表、电池等电气系统产品的配套供应能力，能够为山地车、公路车、城市休闲车、城市代步车等不同类型的电踏车提供全套适配电气方案,共有68项境内专利，其中发明专利13项，实用新型专利53项，外观设计专利2项。此外，还拥有1项欧洲专利。目前，公司是江苏省自行车电动车协会理事单位，苏州市企业技术中心、江苏省企业技术中心的依托单位,被苏州市人民政府认定为2016年度苏州市专精特新百强企业，“BAFANG”、“8FUN”品牌被苏州市商务局认定为“苏州市出口名牌”。",security@bafang-e.com,"电踏车电机及其配套系统的研发,生产,销售和技术服务",王清华,江苏,12031.5,周琴,20030728,www.bafang-e.com,八方股份,0,SHSE,SHSE,汽车和配件,10200,-,汽车配件,10200030,27056132000,24.33,20.15,¥221.99,周期性消费,102,0.23,280400,53367400,0.94,10000.0,280400,0.94,0.94,1.0,207.85,136.99,173.95,27.62,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751791
002891,2020Q4_1751731,山东省烟台市莱山经济开发区飞龙路88号,生产、加工宠物食品，并销售公司上述所列自产产品；销售宠物饲料添加剂产品。(依法续经批准的项目，经相关部门批准后方可开展经营活动),郝忠礼,烟台市,公司是一家全球宠物食品领域多元化品牌运营商，旗下有“Wanpy”、“Natural Farm”、“Dr.Hao”、“Jerky Time”、“爱宠私厨”、“脆脆香”丄Happy100等自主品牌，主要从事犬用及猫用宠物食品的研发、生产和销售，具体产品涵盖零食和主粮两大类。产品销往日本、美国、加拿大、德国、英国、法国、澳大利亚、俄罗斯、韩国等全球30多个国家和地区。公司先后通过了ISO9001质量管理体系认证，ISO22000食品安全管理体系认证、HACCP食品安全体系认证、ISO14001环境管理体系认证、英国零售商协会BRC食品安全全球标准认证、全球最大的第三方认证机构SGS进行的食品安全审核、MSC水产品产销监管链认证、美国FDA注册、欧盟宠物食品官方注册、加拿大宠物食品官方注册、日本农林水产省禽肉热加工注册、BSCI商业社会责任准则审核。,shiy@wanpy.com.cn;houyw@wanpy.com.cn,"主要从事犬用及猫用宠物食品的研发,生产和销售,具体产品涵盖零食和主粮两大类,其中,主粮包括湿粮(罐头)和干粮两类产品.",郝忠礼,山东,29411.27,史宇,20020118,www.wanpy.com.cn,中宠股份,2018,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,10759544000,16.79,-2.82,¥35.79,非周期性消费,205,0.28,817200,31320600,0.55,10000.0,817200,0.55,0.55,1.5,38.6,26.0,32.44,10.33,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751731
000739,2020Q4_1751723,浙江省东阳市横店江南路399号,医药行业投资，网络投资，股权投资管理，生物制药技术的研究、开发、转让，国内贸易；经营进出口业务。,祝方猛,金华市,公司是一家集研究、开发、生产原料药、制剂、医药中间体的大型综合性制药企业，为国家重点高新技术企业、浙江省医药工业重点企业。公司拥有两家省级院士工作站、两家国家级博士后科研工作站，一家手性药物及中间体技术国家工程研究中心。公司主要产品涉及抗生素类、抗病毒类、抗肿瘤类、心血管类等多个领域，拥有独特的市场竞争优势，其中抗肿瘤类药物乌苯美司胶囊、口服抗感染药物头孢克肟、阿莫西林克拉维酸钾等制剂产品占较大市场份额；头孢克肟、金刚烷胺、(伪)麻黄碱等原料药占有重要市场地位。公司具备国际化的制造能力，已有数条生产线分别通过WHO、OPCW、美国FDA、欧美COS、德国GMP和日本PMDA等官方认证。,000739@apeloa.com;a000739@163.com,"主要产品:原料药,制剂.",徐新良,浙江,117852.35,周玉旺,19970506,www.apeloa.com,普洛药业,2018,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,33722052000,6.5,26.82,¥28.70,医疗保健,206,0.1,1236400,28783100,0.51,10000.0,1236400,0.51,0.51,1.0,28.5,20.01,23.6,21.61,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751723
688018,2020Q4_1751798,上海市自由贸易试验区碧波路690号2号楼204室,"计算机硬件的研究、开发，计算机软件的研发、开发、设计、制作，销售自产产品；集成电路、通信产品及其零配件的研发、设计，上述同类产品、灯具的批发、进出口、佣金代理(拍卖除外),并提供相关的技术咨询和技术服务(不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按照国家有关规定办理申请)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)",TEO SWEE ANN,上海市,公司是物联网Wi-Fi解决方案专业供应商，专注于物联网Wi-Fi MCU通信芯片及其模组的研发、设计及销售。公司主要产品Wi-Fi MCU是智能家居、智能照明、智能支付终端、智能可穿戴设备、传感设备及工业控制等物联网领域的核心通信芯片。公司产品在集成度、产品尺寸、计算能力、射频、内存、功耗、综合性价比等多个方面均拥有比较优势，公司产品具有较强的进口替代实力和国际市场竞争力。在物联网Wi-Fi MCU芯片领域公司具有较高的市场地位，与高通、德州仪器、美满、赛普拉斯、瑞昱、联发科等同属于第一梯队。公司还拥有独特的开源技术生态系统，以开源方式，创新地建立了开放、活跃的技术生态系统，在全球物联网开发者社群中拥有极高的知名度。,ir@espressif.com,"主要产品ESP8266系列芯片,ESP32系列芯片,主要从事物联网Wi-Fi MCU通信芯片及其模组的研发,设计及销售.",TEO SWEE ANN,上海,8011.3,王珏,20080429,www.espressif.com,乐鑫科技,0,SHSE,SHSE,半导体,31130,-,半导体,31130020,18707269000,107.18,64.82,¥235.30,科技,311,0.16,128000,19030900,0.34,10000.0,128000,0.34,0.34,1.0,247.2,145.23,175.45,34.11,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751798
