symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
000001,2020Q4_1748254,"广东省深圳市罗湖区深南东路5047号,中国广东省深圳市福田区益田路5023号平安金融中心B座",(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)从事同业拆借；(九)买卖、代理买卖外汇；(十)从事银行卡业务；(十一)提供信用证服务及担保；(十二)代理收付款项及代理保险业务；(十三)提供保管箱服务；(十四)结汇、售汇业务；(十五)离岸银行业务；(十六)资产托管业务；(十七)办理黄金业务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经有关监管机构批准的其他业务。,谢永林,深圳市,公司是深圳发展银行股份有限公司以吸收合并原平安银行股份有限公司的方式完成两行整合并更名后的银行，是全国性股份制商业银行。公司自2016年开始全面向零售银行转型，全力打造智能化零售银行，大力推进精品公司银行双轻化.综合金融是公司的特色优势，公司依托庞大的个人客户基础、强大的品牌影响力、广泛的分销网络和完备的综合金融产品体系，为全面推进零售转型、打造领先的智能化零售银行提供了强大的核心竞争力支持。在对公业务领域，公司利用大数据技术打造领先的中小企业数据征信平台，利用先进的IT系统打造橙e网、行E通、黄金银行等传统业务的新优势，提升对公司客户的数字化服务能力。,PAB_db@pingan.com.cn,"主要业务:贷款,拆借,存放等同业业务,债券投资.",胡跃飞,广东,1940591.82,周强,19871222,bank.pingan.com,平安银行,0,SZSE,SZSE,银行,10320,-,区域性银行,10320020,417209879000,7.18,12.67,¥21.34,金融服务,103,0.01,1661200,32128600.0,4.44,27586.67,1655200,4.42,4.42,1.0,20.05,13.22,16.38,30.28,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 27586.67 %,2020Q4_1748254
601318,2020Q4_1748319,"广东省深圳市福田区益田路5033号平安金融中心47,48,108,109,110,111,112层",(一)投资保险企业；(二)监督管理控股投资企业的各种国内、国际业务；(三)开展保险资金运用业务；(四)经批准开展国内、国际保险业务；(五)经中国保险监督管理委员会及国家有关部门批准的其他业务。,马明哲,深圳市,公司于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已发展成为融保险、银行、投资三大主营业务为一体、核心金融与互联网金融业务并行发展的个人金融生活服务集团之一。公司致力于成为国际领先的个人金融生活服务提供商，坚持“科技引领金融，金融服务生活”的理念，通过“综合金融+互联网”和“互联网+综合金融”两个模式，聚焦“大金融资产”和“大医疗健康”两大产业，围绕保险、银行、资产管理、互联网金融四大板块，为客户创造“专业，让生活更简单”的品牌体验。公司是国内金融牌照最齐全、业务范围最广泛、控股关系最紧密的个人金融生活服务集团之一。平安集团旗下子公司包括平安寿险、平安产险、平安养老险、平安健康险、平安银行、平安信托、平安证券、平安大华基金等，涵盖金融业各个领域，已发展成为中国少数能为客户同时提供保险、银行及投资等全方位金融产品和服务的金融企业之一。,PR@pingan.com.cn;IR@pingan.com.cn,"主营业务:以保险业务为核心,以统一品牌向客户提供包括保险,银行,证券,信托等多元化金融服务",谢永林,广东,1828024.14,盛瑞生,19880321,www.pingan.cn,中国平安,2012,SHSE,SHSE,保险,10340,-,人身保险,10340010,1102420964000,-19.03,-29.43,¥59.70,金融服务,103,0.0,537200,46725700.0,6.45,11091.67,532400,6.39,6.39,1.0,93.38,74.82,81.32,-26.59,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 11091.67 %,2020Q4_1748319
600036,2020Q4_1748314,广东省深圳市福田区深南大道7088号,吸收公众存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务。外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；结汇、售汇；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；买卖和代理买卖股票以外的外币有价证券；发行和代理发行股票以外的外币有价证券；自营和代客外汇买卖；资信调查、咨询、见证业务；离岸金融业务。经国务院银行业监督管理机构批准的其他业务。,缪建民,深圳市,公司是中国境内第一家完全由企业法人持股的股份制商业银行、国家从体制外推动银行业改革的第一家试点银行，也是一家拥有商业银行、金融租赁、基金管理、人寿保险、境外投行等金融牌照的银行集团。近年来，公司聚焦移动优先策略，拥抱金融科技(Fintech)，率先推出闪电贷、刷脸取款、“一闪通”支付等创新服务，招商银行手机银行、掌上生活两大App已成行业翘楚，月活量均稳居金融行业前十。经过多年创新发展，招商银行部分业务领域已成为国内商业银行的标杆，连续多年获得境内外权威媒体评选的“中国最佳零售银行”“中国最佳私人银行”“中国最佳交易银行”等殊荣。,cmb@cmbchina.com,"主要业务:贷款拆借,存放同业业务债券投资.",田惠宇,广东,2521984.56,王良,19870331,www.cmbchina.com,招商银行,2009,SHSE,SHSE,银行,10320,-,区域性银行,10320020,1298392121000,5.79,19.01,¥50.96,金融服务,103,0.0,965200,42419800.0,5.86,10000.0,965200,5.86,5.86,1.0,46.8,34.25,39.82,27.98,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748314
002831,2020Q4_1748267,广东省深圳市宝安区石岩街道水田社区石环路1号,一般经营项目：产销纸箱、彩盒、包装盒、布袋、产业用纺织制成品、PU包装成品、塑胶制品(不含国家限制项目)；自营进出口业务(按照深贸管登字第2003-108号文件核准的经营范围)；从事广告业务(法律、行政法规规定应进行广告经营审批登记的，应另行办理审批登记后方可经营)；广告喷绘业务；会务服务；创意服务；舞台设计、布置；文化活动策划；展示展览策划；国内货物贸易；包装设计、平面设计、品牌设计、结构设计(不含限制项目)；自有房屋租赁；机械设备租赁。许可经营项目：产销纸箱、彩盒、包装盒(不含国家限制项目)；出版物、包装装潢印刷品、其他印刷品印刷；精密模切件、不干胶贴纸、丝印铭板、胶带、保护膜、标签的研发、设计、生产和销售。,王华君,深圳市,公司作为高端品牌包装整体解决方案提供商，为客户提供“一体化产品制造和供应解决方案、创意设计与研发创新解决方案、全球化运营及服务解决方案”。公司在专注消费类电子产品纸质包装的同时，积极开展业务多元化，拓展高档烟酒、化妆品及高端奢侈品等行业包装业务。公司立足国内，并积极拓展海外市场，终端客户包括华为、联想、三星、索尼、雀巢等国内外知名品牌企业，并为仁宝、富士康等知名代工厂商提供产品和服务。,investor@szyuto.com,"主营业务:纸质印刷包装产品的研发,设计,生产和销售.产品覆盖彩盒(含精品盒),说明书,纸箱,不干胶贴纸等全系列高端纸质包装印刷产品.",王华君,广东,93720.33,李宇轩,20020115,www.szyuto.com,裕同科技,2017,SZSE,SZSE,包装和容器,10250,-,包装和容器,10250010,28293287000,2.61,0.26,¥29.98,周期性消费,102,0.14,1332200,40790500.0,5.63,10000.0,1332200,5.63,5.63,1.0,38.93,26.27,31.82,-5.78,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748267
601601,2020Q4_1748320,上海市黄浦区中山南路1号,控股投资保险企业；监督管理控股投资保险企业的各种国内、国际再保险业务；监督管理控股投资保险企业的资金运用业务；经批准参加国际保险活动。,孔庆伟,上海市,"公司是在1991年5月13日成立的中国太平洋保险公司的基础上组建而成的保险集团公司，总部设在上海，是国内领先的“A+H”股上市综合性保险集团。公司专注保险主业,围绕保险主业链条不断丰富经营范围，目前已经实现了寿险、产险、养老险、健康险、农险和资产管理的全保险牌照布局，各业务板块正在实现共享发展；关注客户需求,推动实施以客户需求为导向的战略转型，“以客户需求为导向”的价值观和方法论已经内化成公司的生命基因；聚焦价值增长：寿险业务追求高质量的新业务价值增长，产险业务坚持承保盈利，资产管理业务实现投资收益持续超越负债成本。",ir@cpic.com.cn,"主要通过下属的中国太平洋人寿保险股份有限公司(以下简称“太保寿险”)和中国太平洋财产保险股份有限公司(以下简称“太保产险”)为客户提供全面的人寿及财产保险产品和服务,并通过下属的太平洋资产管理有限责任公司管理和运用保险资金.",蔡强,上海,962034.15,苏少军,19910513,www.cpic.com.cn,中国太保,2017,SHSE,SHSE,保险,10340,-,人身保险,10340010,248507448000,-12.89,-22.73,¥28.04,金融服务,103,0.01,868900,33365800.000000004,4.61,10000.0,868900,4.61,4.61,1.0,39.85,29.37,32.98,-14.98,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748320
000002,2020Q4_1748255,广东省深圳市盐田区大梅沙环梅路33号万科中心,房地产开发；兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品)；进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)。,郁亮,深圳市,公司成立于1984年，1988年进入房地产行业，经过三十余年的发展，已成为国内领先的城市配套服务商，公司业务聚焦全国经济最具活力的三大经济圈及中西部重点城市。2014年万科第四个十年发展规划，已经把“三好住宅供应商”的定位延展为“城市配套服务商”。2018年万科将这一定位进一步迭代升级为“城乡建设与生活服务商”，并具体细化为四个角色：美好生活场景师，实体经济生力军，创新探索试验田，和谐生态建设者。2017年，深圳地铁集团成为本集团第一大股东，始终支持万科的混合所有制结构，支持万科城市配套服务商战略和事业合伙人机制，支持万科管理团队按照既定战略目标，实施运营和管理，支持深化“轨道+物业”发展模式。公司核心业务包括住宅开发、物业服务、长租公寓。2018年，公司将自身定位进一步迭代升级为“城乡建设与生活服务商”，所搭建的生态体系已初具规模，在巩固住宅开发和物业服务固有优势的基础上，业务已延伸至商业开发和运营、物流仓储服务、租赁住宅、产业城镇、冰雪度假、养老、教育等领域，为更好的服务人民美好生活需要、实现可持续发展奠定了良好基础。,ir@vanke.com,房地产开发和物业服务,祝九胜,广东,1161773.22,朱旭,19840530,www.vanke.com,万科Ａ,2020,SZSE,SZSE,房地产,10410,-,房地产开发,10410010,265596031000,-17.82,-18.05,¥23.95,房地产,104,0.01,1041500,29890900.0,4.13,10000.0,1041500,4.13,4.13,1.0,31.61,26.96,28.94,-17.24,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748255
688388,2020Q4_1748339,广东省梅州市梅县区雁洋镇文社,研究、制造、销售：电解铜箔制品；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品除外；不单列贸易方式)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),廖平元,梅州市,"公司是一家从事各类高性能电解铜箔的研究生产和销售的高新技术企业，主要产品为超薄锂电铜箔和极薄锂电铜箔，主要用于锂离子电池的负极集流体，是锂离子电池行业重要基础材料。最终应用在新能源汽车、3C数码产品、储能系统、通讯设备、汽车电子等终端应用领域。同时，公司生产少量PCB用标准铜箔产品,公司是国内高性能锂电铜箔行业领先企业之一，已与宁德时代、宁德新能源、比亚迪等知名电池厂商建立了长期合作关系，并成为其锂电铜箔的核心供应商，并于2018年度荣获宁德时代锂电铜箔优秀供应商称号。先后获评为高新技术企业、国家知识产权优势企业、广东省创新型企业、广东省战略性新兴产业骨干企业，是GB/T31471-2015《印制电路用金属箔通用规范》国家标准主导起草单位,公司被中国电子信息材料行业协会电子铜箔分会认定为“国内锂离子动力电池用电子铜箔细分行业的骨干企业”、“高成长性电子铜箔制造企业”。公司荣获“创新驱动发展先进企业”、“最具投资价值企业”和“梅州市政府质量奖”等荣誉。",mzjykj@163.com,"主要从事各类高性能电解铜箔的研究,生产和销售,主要产品为超薄锂电铜箔和极薄锂电铜箔.",廖平元,广东,23087.6,叶敬敏,20010929,www.gdjygf.com,嘉元科技,0,SHSE,SHSE,金属与开采,10150,-,铜,10150020,23814968000,35.18,21.33,¥99.06,基础材料,101,0.12,273000,24065700.0,3.32,10000.0,273000,3.32,3.32,1.0,92.0,46.82,58.19,70.24,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748339
601166,2020Q4_1748318,福建省福州市湖东路154号,(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)代理发行股票以外的有价证券；(九)买卖、代理买卖股票以外的有价证券；(十)资产托管业务；(十一)从事同业拆借；(十二)买卖、代理买卖外汇；(十三)结汇、售汇业务；(十四)从事银行卡业务；(十五)提供信用证服务及担保；(十六)代理收付款项及代理保险业务；(十七)提供保管箱服务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经国务院银行业监督管理机构批准的其他业务。,陶以平,福州市,公司成立于1988年8月，总行设在福建省福州市，是经国务院、中国人民银行批准成立的首批股份制商业银行之一。公司先后成立兴业信托、兴业金融租赁、兴业基金、兴业消费金融、兴业研究、兴业数字金融、兴业资产管理等机构，成为拥有最多金融牌照的商业银行之一，从单一银行已逐步演进为以银行为母体，涵盖信托、租赁、基金、消费金融、期货、资产管理、研究咨询、数字金融等在内的现代金融服务集团。旗下公司茁壮成长，部分子公司如兴业信托、兴业租赁、兴业基金等已跻身行业主流阵营。作为中国首家赤道银行和绿色金融的拓荒者、领跑者，公司在国内最早建立专业团队十年深耕绿色金融，已建成覆盖绿色融资、绿色租赁、绿色信托、绿色基金、绿色投资、绿色消费等多个领域的集团绿色产品服务体系。,irm@cib.com.cn,主营业务:商业银行业务,陶以平,福建,2077419.08,陈信健,19880822,www.cib.com.cn,兴业银行,2011,SHSE,SHSE,银行,10320,-,区域性银行,10320020,429791332000,3.61,3.51,¥20.45,金融服务,103,0.0,867200,18098500.0,2.5,10000.0,867200,2.5,2.5,1.0,21.6,15.54,17.66,15.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748318
300768,2020Q4_1748277,浙江省杭州市滨江区通和路68号中财大厦6楼,一般项目：网络与信息安全软件开发；信息安全设备制造；计算机软硬件及外围设备制造；网络设备制造；信息安全设备销售；网络设备销售；软件销售；互联网安全服务；信息系统运行维护服务；信息技术咨询服务(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：商用密码产品销售；计算机信息系统安全专用产品销售；货物进出口(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,郑树生,杭州市,公司在北京和杭州设有研发中心，具有一支业界领先的研发团队。基于“应用即网络”技术理念，迪普科技自主开发了高性能硬件架构APP-X、L2~7融合操作系统ConPlat、应用识别与威胁特征库APP-ID，并在此基础上推出了包括深度业务路由交换网关(DPX)、应用防火墙(FW)、入侵防御系统(IPS)、上网行为管理及流控(UAG)、应用交付(ADX)以及交换机、路由器等在内的十几大类上百款产品。凭借先进的产品和技术，迪普科技创新性的推出了DP xFabric解决方案体系架构，该架构基于VSM多合一虚拟化技术、VEM纵向虚拟化技术、OVC一分多虚拟化技术，同时结合业务板卡紧耦合和流定义技术，可以实现网络、安全及应用的深度融合和交付。截至2018年1月10日，公司拥有已获授权的专利128项(其中发明专利58项)、申请中的专利1008项(其中发明专利924项)、已登记的软件著作权29项。,public@dptech.com,"从事企业级网络通信产品的研发,生产,销售以及为用户提供相关专业服务.主要产品包括网络安全产品,应用交付产品及基础网络产品.",郑树生,浙江,40001.0,邹禧典,20080528,www.dptech.com,迪普科技,0,SZSE,SZSE,软件,31110,-,软件基础构架,31110030,18088778000,27.1,24.44,¥44.56,科技,311,0.06,228000,8296900.0,1.15,10000.0,228000,1.15,1.15,1.0,54.95,35.18,43.86,1.6,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748277
600741,2020Q4_1748315,上海市威海路489号,汽车、摩托车、拖拉机等交通运输车辆和工程机械的零部件及其总成的设计、研发和销售，拖拉机等农用机械整机的设计、研发和销售，技术转让、技术咨询和服务，实业投资，国内贸易(除专项规定)，从事货物及技术的进出口业务，电子配件组装(限分支经营)。,陈虹,上海市,公司业务为独立汽车零部件研发、生产及销售。主要包括“金属成型与模具、内外饰、电子电器、功能件、热加工、新能源”六个业务板块。主要业务涵盖汽车内外饰件、金属成型和模具、功能件、电子电器件、热加工件、新能源等，是目前国内业务规模最大、产品品种最多、客户覆盖最广、应用开发能力最强的综合性汽车零部件上市公司，各类主要产品均具有较高国内市场占有率。公司秉承“零级化、中性化、国际化”的发展战略，紧跟汽车行业的技术发展趋势，重点关注与“节能环保”、“舒适便捷”和“智能安全”主题相关的技术研究和应用，通过与世界领先的零部件供应商的战略合作，为整车客户提供技术含量高、质量优异、具有成本优势的产品和服务。,huayuqiche@hasco-group.com,"独立供应汽车零部件研发,生产及销售.",张海涛,上海,315272.4,茅其炜,19921028,www.hasco-group.com,华域汽车,2020,SHSE,SHSE,汽车和配件,10200,-,汽车配件,10200030,70689475000,-15.23,-21.62,¥22.65,周期性消费,102,0.01,265600,7654600.0,1.06,10000.0,265600,1.06,1.06,1.0,35.35,20.62,27.07,-16.33,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748315
