symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
601952,2020Q4_1749588,江苏省南京市建邺区恒山路136号苏垦大厦11-12楼,农机修理、危险化学品经营、粮食收购(以上均限取得许可证的分支机构经营)。谷类、棉花、油料、麻类、蔬菜、瓜果、食用菌、杂类农作物的种植和销售，园艺植物培植及销售，农业科技领域内的技术开发、技术服务、技术咨询、技术转让，农业质量标准与检测服务，现代农业装备研发、生产与销售，农业信息咨询，化肥、农药、农膜、拖拉机配件的批发、零售，农业机械服务，实业投资。(依法须经批准的项目，经相关部门批准后方可开展经营活动),胡兆辉,南京市,公司是一家以自主经营种植基地为核心资源优势的农作物种植、良种育繁、农产品加工及销售全产业链规模化的国有大型农业企业。主营业务为稻麦种植、种子生产、大米加工及其产品销售。,skiad_ltd@163.com,"主营业务为稻麦种植,种子生产,大米加工及其产品销售.苏垦农发的主要产品包括大米,种子,小麦,大麦以及稻谷等农产品,同时还从事部分土地发包业务和农资贸易业务.",朱亚东,江苏,137800.0,张恒,19920506,www.skiad.com.cn,苏垦农发,2018,SHSE,SHSE,农副加工食品,20525,-,农产品,20525020,13931524000,0.59,-26.88,¥10.11,非周期性消费,205,0.32,4477100,62947600.0,10.04,10000.0,4477100,10.04,10.04,1.0,16.41,9.47,13.29,-23.93,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749588
000998,2020Q4_1749548,湖南省长沙市芙蓉区合平路638号,以水稻、玉米、蔬菜为主的高科技农作物种子、种苗的生产、加工、包装、培育、繁殖、推广和销售；新型农药、化肥的研制、推广、销售，农副产品优质深加工及销售；提供农业高新技术开发及成果转让、农业技术咨询、培训服务；经营商品和技术的进出口业务；以自有资产进行土地开发投资及其他投资业务(不得从事吸收存款、集资收款、受托贷款、发行票据、发放贷款等国家金融监管及财政信用业务)；土地整理及修复。(依法须经批准的项目，经相关部门批准后方可开展经营活动),毛长青,长沙市,公司是一家以“杂交水稻之父”袁隆平院士的名字命名的国际化种业企业。公司业务涵盖“种业运营”和“农业服务”两大体系，种子业务方面，公司水稻、玉米、蔬菜、食葵、谷子等核心品类全球领先，小麦、棉花、油菜、马铃薯等品类快速发展；农业服务方面，新型职业农民培训、精准种植技术服务、耕地修复与开发、品质粮交易平台、品牌农业、农业金融等齐头并进。公司以“推动种业进步，造福世界人民”为使命，以“世界优秀的种业公司，致力于为客户提供综合农业服务解决方案”为企业愿景，不断推进隆平事业发展，矢志为中国民族种业在世界崛起之梦想而努力。,lpht@lpht.com.cn,"主要产品:杂交水稻,蔬菜种子,农化产品,玉米,棉花.",马德华,湖南,131697.03,尹贤文,19990630,www.lpht.com.cn,隆平高科,0,SZSE,SZSE,农副加工食品,20525,-,农产品,20525020,21850361000,-4.39,-17.52,¥16.49,非周期性消费,205,0.18,2410700,47756400.0,7.62,10000.0,2410700,7.62,7.62,1.0,23.78,16.18,18.69,-11.77,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749548
300087,2020Q4_1749555,安徽省合肥市高新区创新大道98号,农作物种子、苗木、花卉种子研发、生产及销售；农作物种植及栽培服务；粮食收购、加工、仓储、销售；道路普通货物运输(除快递、除危险品)；农副产品的深加工、储藏、销售；农用配套物资批发零售(应凭许可证经营的未获许可前不得经营)，农业生产性基础设施建设；农业高新技术开发、技术转让、技术推广；农业技术咨询、技术服务；经营农作物种子、农副产品、农用配套物资、机械设备、零配件、原辅材料的进出口业务(国家限定公司经营或禁止进出口的商品及技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),覃衡德,合肥市,公司是“育繁推一体化”的高科技种业企业，安徽省农业产业化龙头企业。公司以现代种业技术产业化为发展方向，利用现代生物工程技术，主要从事优良水稻、玉米、小麦等主要农作物种子研发、繁育、推广及服务业务。公司拥有“农业部杂交稻新品种创制重点实验室”等创新平台，牵头组建国字号“水稻商业化分子育种技术创新联盟”；公司首创的“现代青年农场主”模式被农业部评为“全国新型职业农民培育十大模式”之一，被科技部认定为首批“星创天地”，获得教育部“国家教学成果二等奖”，并被安徽省评为农业人才培养的“众创空间”；公司系“中国种业信用明星企业、国家高新技术企业、农业产业化省级龙头企业、安徽省企业技术中心、安徽省创新型企业”。,winallseed2013@163.com,"本公司自设立以来一直以现代种业产业化为发展方向,利用现代生物技术,从事高产,优质杂交水稻种子研发,繁育,推广及服务,目主要产品包括“新两优6号”,“新两优香4”等籼型两系杂交水稻种子以及“农丰优909”,“新优188”等籼型三系杂交水稻种子,“新两优6号”于2006年被列为农业部第一批超级稻示范推广品种.",张琴,安徽,43033.01,张庆一,20020724,www.winallseed.com,荃银高科,2019,SZSE,SZSE,农副加工食品,20525,-,农产品,20525020,11996710000,34.31,-8.36,¥27.28,非周期性消费,205,0.33,1439300,44085800.0,7.03,10000.0,1439300,7.03,7.03,1.0,32.5,13.06,20.15,35.38,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749555
002385,2020Q4_1749550,北京市海淀区中关村大街27号1901A,销售兽药(严禁经营兽用预防用生物制品)；饲料加工(限分公司经营)。技术开发、技术服务、技术咨询、技术转让；畜牧和兽医科学研究与试验发展；动物营养保健品的技术开发；农业信息技术的开发、服务；销售饲料；出口本企业生产的饲料、动物营养保健品；进口本企业生产、科研所需的原辅材料、机械设备、仪表仪器及零配件；第二类增值电信业务中的信息服务业务(仅限互联网信息服务)。,邵根伙,北京市,公司是国内规模最大的预混合饲料企业，产业涵盖畜牧科技与服务、种植科技与服务、农业互联网等领域，主要为养殖户和种植户提供高附加值的产品与服务。公司的产品主要包括畜禽饲料、兽药疫苗、种猪与作物种子、农药化肥及农业互联网与金融服务等。公司是国家级高新技术企业、农业产业化国家重点龙头企业、国家认证企业技术中心，国家创新型企业，目前已发展成为以饲料、种业为主体，动物保键、植物保护为辅的科技产业，以中国农民大学、农博网为两翼的农业知识产业。公司根据饲料和种子产品营销的特点建立了覆盖全国重点养殖和种植区域的营销网络。“金色农华”牌水稻种子被中国国家质量监督检验检疫总局评为“中国名牌”产品。,cwbgs@dbn.com.cn;leizeli@dbn.com.cn,"主要产品:分为两类,一类是饲料及动物保健产品.另一类是种子及植物保护产品主营业务:饲料,种子产品的研发,生产,销售.",张立忠,北京,414128.19,陈忠恒,19941018,www.dbn.com.cn,大北农,2019,SZSE,SZSE,农副加工食品,20525,-,农产品,20525020,28864793000,-12.2,-27.02,¥6.96,非周期性消费,205,0.04,1722600,16640300.0,2.65,10000.0,1722600,2.65,2.65,1.0,12.5,7.85,9.67,-28.02,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749550
603833,2020Q4_1749593,广东省广州市白云区广花三路366号,一般经营范围：家具制造;家具零配件生产;家具零配件销售;家具销售;家具安装和维修服务;地板制造;地板销售;门窗制造加工;门窗销售;金属门窗工程施工;楼梯制造;楼梯销售;家居用品销售;家居用品制造;水资源专用机械设备制造;气体、液体分离及纯净设备制造;气体、液体分离及纯净设备销售;建筑装饰、水暖管道零件及其他建筑用金属制品制造;建筑装饰材料销售;木材加工;人造板制造;机械电气设备制造;家用电器制造;家用电器安装服务;家用电器销售;家用电器研发;家用电器零配件销售;家用纺织制成品制造;纸制品制造;纸制品销售;非电力家用器具制造;非电力家用器具销售;搪瓷制品制造;搪瓷制品销售;商业、饮食、服务专用设备制造;金属制日用品制造;卫生陶瓷制品制造;卫生陶瓷制品销售;卫生洁具制造;卫生洁具研发;卫生洁具销售;厨具卫具及日用杂品批发;厨具卫具及日用杂品研发;厨具卫具及日用杂品零售;日用玻璃制品制造;日用玻璃制品销售;电热食品加工设备销售;日用品销售;灯具销售;互联网销售(除销售需要许可的商品);日用百货销售;软件销售;软件开发;建筑用石加工;日用电器修理;住宅水电安装维护服务;普通货物仓储服务(不含危险化学品等需许可审批的项,姚良松,广州市,公司是国内综合型的现代整体家居一体化服务供应商。公司主要从事整体厨柜、整体衣柜、整体卫浴和定制木门等定制化整体家居产品的个性化设计、研发、生产、销售和安装服务。公司拥有国际化家居产品制造基地，以整体橱柜为龙头，带动相关产业发展，包括全屋定制、衣柜、卫浴、木门、墙饰壁纸、厨房电器、寝具等，形成多元化产业格局。公司在整体厨柜领域一直保持行业龙头地位，并在整体衣柜、定制木门领域取得显著增长，在整体家居行业中具有较高的知名度与影响力。,oppeinIR@oppein.com,"主营业务:主要从事整体厨柜,整体衣柜,整体卫浴和定制木门等定制化整体家居产品的个性化设计,研发,生产,销售和安装服务.主营产品:包括整体厨柜,整体衣柜,整体卫浴,定制木门等.",姚良松,广东,60426.49,杨耀兴,19940701,www.oppein.com,欧派家居,2019,SHSE,SHSE,家具制造,10220,-,家具制造,10220010,84721016000,-7.96,4.16,¥136.55,周期性消费,102,0.02,102800,13828600.0,2.21,10000.0,102800,2.21,2.21,1.0,137.97,85.14,112.25,21.65,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749593
688521,2020Q4_1749601,上海市自由贸易试验区春晓路289号张江大厦20A,"集成电路的设计、调试、维护,为集成电路制造和设计厂商提供建模和建库服务,计算机软件的研发、设计、制作,销售自产产品,转让自有研发成果,并提供相关技术咨询和技术服务,以承接服务外包方式从事系统应用管理和维护、信息技术支持管理、财务结算、软件开发、数据处理等信息技术和业务流程外包服务,仿真器、芯片、软件的批发、佣金代理(拍卖除外)、进出口,提供相关配套服务。【依法须经批准的项目,经相关部门批准后方可开展经营活动】",戴伟民,上海市,公司是一家依托自主半导体IP，为客户提供平台化、全方位、一站式芯片定制服务和半导体IP授权服务的企业。公司拥有多种成熟的行业应用解决方案、优秀的芯片设计能力、丰富的芯片设计经验以及深厚的半导体IP储备，能够帮助客户高效率、高质量、低成本、低风险地完成芯片的设计实现和量产出货。通过芯原提供的服务，客户可集中精力运用自身在产品定义、系统架构、软件开发及市场营销等方面的优势，并借助芯原在芯片设计和量产优化等方面的优势，完善产品功能，提升产品性能。芯原服务水平和质量受到诸多国内外知名客户的认可，主要客户包括英特尔、博世、恩智浦、博通、新突思、美满电子、索喜科技、意法半导体、三星、瑞昱等全球半导体行业知名企业；Facebook、谷歌、亚马逊等全球大型互联网公司；华为、紫光展锐、瑞芯微、中兴通讯、大华股份、晶晨股份、和芯星通等众多国内知名企业。,IR@verisilicon.com,"主要服务为面向消费电子,汽车电子,计算机及周边,工业,数据处理,物联网等广泛应用市场所提供的一站式芯片定制服务和半导体IP授权服务.主营业务的应用领域广泛包括消费电子,汽车电子,计算机及周边,工业,数据处理,物联网等,主要客户包括IDM,芯片设计公司,以及系统厂商,大型互联网公司等.",戴伟民,上海,48838.86,施文茜,20010821,www.verisilicon.com,芯原股份,0,SHSE,SHSE,半导体,31130,-,半导体,31130020,30651150000,16.04,-20.72,¥63.75,科技,311,0.0,10100,786100.0,0.13,10000.0,10100,0.13,0.13,1.0,148.0,75.11,98.66,-35.38,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749601
688065,2020Q4_1749598,上海市浦东新区蔡伦路1690号5幢4楼,生物新材料单体和高分子聚合物、生物医药、食品和饲料添加剂等方面的技术研究、开发，技术转让、技术咨询(涉及许可经营的凭许可证经营)；生物新材料单体和高分子聚合物、生物技术产品(不含药品、食品、食品添加剂)的生产，销售自产产品。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,刘修才,上海市,"公司是一家以合成生物学等学科为基础，利用生物制造技术，从事新型生物基材料的研发、生产及销售的高新技术企业。公司目前实现商业化生产的产品主要聚焦聚酰胺产业链，为生物基聚酰胺以及可用于生物基聚酰胺生产的原料，包括DC12(月桂二酸)、DC13(巴西酸)等生物法长链二元酸系列产品和生物基戊二胺，是全球领先的利用生物制造规模化生产新型材料的企业之一,公司与杜邦、艾曼斯、赢创、诺和诺德等国际知名企业建立了良好的商务合作关系,公司生产的生物法长链二元酸系列产品在全球市场处于主导地位，于2018年被工信部评为制造业单项冠军,生物基戊二胺(目前阶段以内部使用为主，作为公司生物基聚酰胺生产单体；部分提供给下游客户进行应用开发)和生物基聚酰胺产品已完成中试，乌苏工厂的大规模产线正在进行设备调试，该等产品规模化生产有望解决国内双单体聚酰胺行业核心原材料依赖进口的瓶颈难题，为市场、客户提供来源于可再生生物质原料的新型“生物制造”新材料。",cathaybiotech_info@cathaybiotech.com,"以合成生物学等学科为基础,利用生物制造技术,从事新型生物基材料研发,生产及销售",刘修才,上海,41668.2,臧慧卿,20001124,www.cathaybiotech.com,凯赛生物,0,SHSE,SHSE,化工,10130,-,化学制品,10130010,48083148000,42.2,34.51,¥112.11,基础材料,101,0.0,6400,537200.0,0.09,10000.0,6400,0.09,0.09,1.0,157.0,83.85,101.5,10.45,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749598
688050,2020Q4_1749597,北京市昌平区科技园区兴昌路9号,生产医疗器械及其配件第Ⅱ类、第Ⅲ类；生产消毒产品；生产食品；生产医疗器械及其配件第Ⅰ类、卫生用品、日用品、化妆品、眼镜、仪器仪表设备及其配件；生产药品；零售药品；销售医疗器械及其配件第Ⅲ类；销售消毒产品；销售食品；销售医疗器械及其配件第Ⅰ类、第Ⅱ类、卫生用品、日用品、化妆品、眼镜、仪器仪表设备及其配件、化工产品(不含危险化学品)；技术开发、技术转让、技术咨询、技术服务(不含人体干细胞、基因诊断与治疗技术开发和应用)；医学研究与试验发展(不含人体干细胞、基因诊断与治疗技术开发和应用)；技术检测；验光及配镜服务；健康咨询；企业管理咨询；办公用房租赁；物业管理；货物进出口、技术进出口、代理进出口、佣金代理(不涉及国营贸易管理商品；涉及配额许可证管理商品的按国家有关规定办理申请手续)。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后开展经营),解江冰,北京市,"公司是由国家“千人计划”和北京市“海聚工程”特聘专家解江冰博士创办的高新技术企业，专注于眼科医疗器械的自主研发、生产、销售及相关服务。目前公司主要产品覆盖手术和视光两大领域，主要针对白内障和屈光不正这两大类造成致盲和视力障碍的主要眼科疾病，其中手术领域的核心产品为人工晶状体，视光领域的核心产品为角膜塑形镜，以及围绕这两项核心产品研发生产的一系列配套产品。公司中长期发展目标是开发眼科全系列医疗产品，包括植入类眼科耗材、手术器械、手术设备、视光产品、眼科制剂等产品，覆盖白内障、屈光不正、青光眼、眼底病变等诸多领域，成为国内眼科医疗领域的创新型领军企业。公司专利ZL201210017055.4后房型人工晶状体获得“第二十一届中国专利优秀奖”。公司人工晶状体产品上市以来，已覆盖国内30多个省、自治区和直辖市的1,000多家医院，并且已出口至德国、法国、荷兰、意大利、奥地利、卢森堡、泰国、巴基斯坦等国家，累计销售近100万片。2015年至今，公司产品密集入选中国政府对非洲和“一带一路”国家“光明行”医疗援助项目，为20多个国家的患者带来光明，打破了中国白内障医疗援外项目主要使用进口人工晶状体的局面。",investors@ebmedical.com,"专注于眼科医疗器械的自主研发,生产,销售及相关服务.目前公司主要产品覆盖手术和视光两大领域,主要针对白内障和屈光不正这两大类造成致盲和视力障碍的主要眼科疾病,其中手术领域的核心产品为人工晶状体,视光领域的核心产品为角膜塑形镜,以及围绕这两项核心产品研发生产的一系列配套产品.",解江冰,北京,10513.93,王韶华,20100421,www.ebmedical.com,爱博医疗,0,SHSE,SHSE,医疗器械,20650,-,医疗器械和供给,20650020,33141138000,74.69,87.53,¥312.70,医疗保健,206,0.0,3500,593600.0,0.09,10000.0,3500,0.09,0.09,1.0,293.18,164.4,205.37,52.26,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749597
300999,2020Q4_1749586,,,,,,,,,,,,,,金龙鱼,0,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,447162200000,14.96,-23.3,¥80.55,非周期性消费,205,0.0,4000,351700.0,0.06,10000.0,4000,0.06,0.06,1.0,108.32,44.47,68.22,18.07,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749586
688301,2020Q4_1749600,,,,,,,,,,,,,,奕瑞科技,0,SHSE,SHSE,医疗器械,20650,-,医疗器械和供给,20650020,22530358000,77.83,87.58,¥311.92,医疗保健,206,0.0,2400,394900.0,0.06,10000.0,2400,0.06,0.06,1.0,217.21,147.31,182.83,70.61,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1749600
