symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
601318,2020Q4_1747637,"广东省深圳市福田区益田路5033号平安金融中心47,48,108,109,110,111,112层",(一)投资保险企业；(二)监督管理控股投资企业的各种国内、国际业务；(三)开展保险资金运用业务；(四)经批准开展国内、国际保险业务；(五)经中国保险监督管理委员会及国家有关部门批准的其他业务。,马明哲,深圳市,公司于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已发展成为融保险、银行、投资三大主营业务为一体、核心金融与互联网金融业务并行发展的个人金融生活服务集团之一。公司致力于成为国际领先的个人金融生活服务提供商，坚持“科技引领金融，金融服务生活”的理念，通过“综合金融+互联网”和“互联网+综合金融”两个模式，聚焦“大金融资产”和“大医疗健康”两大产业，围绕保险、银行、资产管理、互联网金融四大板块，为客户创造“专业，让生活更简单”的品牌体验。公司是国内金融牌照最齐全、业务范围最广泛、控股关系最紧密的个人金融生活服务集团之一。平安集团旗下子公司包括平安寿险、平安产险、平安养老险、平安健康险、平安银行、平安信托、平安证券、平安大华基金等，涵盖金融业各个领域，已发展成为中国少数能为客户同时提供保险、银行及投资等全方位金融产品和服务的金融企业之一。,PR@pingan.com.cn;IR@pingan.com.cn,"主营业务:以保险业务为核心,以统一品牌向客户提供包括保险,银行,证券,信托等多元化金融服务",谢永林,广东,1828024.14,盛瑞生,19880321,www.pingan.cn,中国平安,2012,SHSE,SHSE,保险,10340,-,人身保险,10340010,1102420964000,-19.03,-29.43,¥59.70,金融服务,103,0.01,2135000,185700600,5.14,32746.15,2128500,5.12,5.12,1.0,93.38,74.82,81.32,-26.59,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 32746.15 %,2020Q4_1747637
300628,2020Q4_1747605,福建省厦门市湖里高新园区岭下北路1号,设计、开发、生产、销售网络产品、通讯产品、电子产品、计算机软硬件、单片机软件及相关技术咨询服务；网络工程；经营各类商品和技术的进出口(但国家限定公司经营或禁止进出口的商品及技术除外)。(以下经营范围设计许可经营项目的，应在取得有关部门的许可后方可经营。),陈智松,厦门市,公司是专业的企业通信与协作解决方案提供商，集研发、销售及服务于一体，并通过外协加工的方式，为全球企业客户提供智能、高效的企业通信终端设备。公司生产的终端产品销售量及销售收入均居行业前列，并保持快速增长。公司专注于向中小型企业提供产品和服务。统一通信使企业用户无论何时何地都能以任何设备进行音频、视频及数据通讯，并通过桌面电话、视频会议系统和手机通讯软件等统一通信技术设备及软件，达到互联互通的通信目的。,zhengquan@yealink.com,主要产品:统一通信个人桌面终端及视频会议系统;主营业务:为中小型企业用户提供多款先进的统一通信终端,张联昌,福建,90298.55,余菲菲,20011105,www.yealink.com,亿联网络,2017,SZSE,SZSE,硬件,31120,-,通讯设备,31120010,86931081000,38.85,32.32,¥96.00,科技,311,0.0,31500,2300600,0.06,31400.0,31400,0.06,0.06,1.0,76.78,55.99,65.09,47.49,2020-12-31T05:00:00Z,{2_trade_add},{trade_add} 31400.00 %,2020Q4_1747605
603799,2020Q4_1747643,浙江省嘉兴市桐乡市经济开发区二期梧振东路18号,研发、生产、销售：钴、镍、铜氧化物，钴、镍、铜盐类，钴、镍、铜金属及制品，钴粉，镍粉，铜粉，氢氧化钴，钴酸锂，氯化铵；金属矿产品和粗制品进口及进口佣金代理，生产设备进口及进口佣金代理。(上述涉及配额、许可证及专项规定管理的商品按国家有关规定办理)，对外承包工程业务(范围详见《中华人民共和国对外承包工程资格证书》)。,陈雪华,嘉兴市,公司是一家专注于钴、铜有色金属冶炼及钴新材料产品深加工的高新技术企业，产品主要用于锂离子电池正极材料、航空航天高温合金、硬质合金、色釉料、磁性材料、橡胶粘合剂和石化催化剂等领域。公司始终坚持科技创新和科学管理。在钴铜湿法工艺、钴新材料、环境保护领域拥有了中国一流的自主核心技术，通过了ISO9000、ISO14000、OHSAS18000、GB/T19022和GB/T15496管理体系的认证，为公司做强做大钴产业提供了坚实保障。公司经过十多年的发展积淀，完成了总部在桐乡、资源保障在非洲、制造基地在衢州、市场在全球的空间布局。形成了自有矿产资源为保障，钴新材料为核心，铜、镍产品为辅助，集采、选、冶、新材料深加工于一体的纵向一体化产业结构。,information@huayou.com;wgp@huayou.com;lirui@huayou.com,"主营业务:主要从事钴,铜有色金属采,选,冶及钴新材料产品的深加工与销售.主要产品:公司主导产品为四氧化三钴,氧化钴,碳酸钴,氢氧化钴和硫酸钴等钴产品;由于矿料原料中铜钴伴生的特性及业务拓展原因,公司还生产,销售电积铜,粗铜等铜产品.",陈红良,浙江,121290.44,李瑞,20020522,www.huayou.com,华友钴业,0,SHSE,SHSE,金属与开采,10150,-,其他工业金属与开采,10150030,161095661000,89.31,75.8,¥135.48,基础材料,101,0.33,4057200,321738300,8.91,10000.0,4057200,8.91,8.91,1.0,79.3,33.93,45.77,196.0,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747643
000568,2020Q4_1747584,四川省泸州市南光路泸州老窖营销网络指挥中心,酒类产品的生产、销售(白酒、葡萄酒及果酒、啤酒、其他酒等)。进出口经营业务；技术推广服务；发酵制品生产及销售；销售：汽车配件、建材及化工原料。,刘淼,泸州市,公司是具有400多年酿酒历史的国有控股上市公司。公司以专业化白酒产品设计、生产、销售为主要经营模式，主营“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售，主要综合指标位于白酒行业前列。公司实施“双品牌塑造，多品牌运作”的品牌战略，构建起五大战略单品的金字塔品牌结构：国窖1573定位为中国白酒超高端品牌是塔尖，百年泸州老窖窖龄酒、泸州老窖特曲定位为商务与宴会用酒第一品牌组成塔柱，泸州老窖头曲和二曲为大众市场覆盖的第一品牌构筑塔基，并积极拓展养生酒产品和预调酒产品，开展以消费者需求为主导的定制酒业务。公司坚持以“全心全意酿酒、一心一意奉献”为宗旨，敬人敬业，创新卓越，努力实现市场占有领先、公司治理领先、品牌文化领先、质量技术领先、人才资源领先，酿造世界最好的白酒，为客户提供最优质的服务，把泸州老窖建成全球酒类市场中的航空母舰，形成融入经济全球化的大型现代企业，追求“在中国灿烂名酒文化熏陶中，全人类共享幸福美满的生活”。,lzlj@lzlj.com;dsb@lzlj.com,主要产品:“泸州老窖”系列酒.,林锋,四川,146475.25,王洪波,19950503,www.lzlj.com,泸州老窖,2015,SZSE,SZSE,酒精饮料,20510,-,其他酒类,20510020,329776153000,-1.44,0.88,¥222.20,非周期性消费,205,0.07,960200,217155400,6.01,10000.0,960200,6.01,6.01,1.0,226.16,107.48,156.17,42.28,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747584
002179,2020Q4_1747588,河南省洛阳市高新技术开发区周山路10号,电子元器件及相关设备、新能源汽车充电设备的研发、生产、销售与服务，从事与本企业经营相关的进出口业务。,郭泽义,洛阳市,公司是中国专业为军工防务及高端制造领域提供互连技术解决方案的高科技企业。公司产品广泛应用于航空航天和军事领域、通讯网络与数据中心、轨道交通、新能源汽车、电力、石油装备、医疗设备以及智能装备等民用高端制造领域；产品远销欧洲、美国、以色列、澳大利亚、韩国、印度等海外多个国家和地区。公司总部拥有“国家认定企业技术中心”、“博士后科研工作站”以及国家和国防认可实验室，专业从事中高端光、电、流体连接技术与设备的研究与开发。公司通过了AS9100国际航空航天质量管理体系认证、ISO9001(2000)质量体系认证、TS16949体系认证、ISO14001环境体系认证、OHSAS18001职业健康安全管理体系认证等。公司多项重点产品通过了UL、CUL、CE、TUV、CB等安规认证。,liuyang@jonhon.cn;zhengquan@jonhon.cn;yehua@jonhon.cn,"主要业务为电连接器,光器件和线缆组件的研发,生产和销售.主要生产电连接器和光器件.",李森,河南,109994.51,刘阳,20021231,www.jonhon.cn,中航光电,2017,SZSE,SZSE,硬件,31120,-,电子元件,31120040,88664159000,4.96,3.76,¥83.44,科技,311,0.22,2445600,191464400,5.3,10000.0,2445600,5.3,5.3,1.0,78.29,39.96,52.39,59.27,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747588
300750,2020Q4_1747606,福建省宁德市蕉城区漳湾镇新港路2号,锂离子电池、锂聚合物电池、燃料电池、动力电池、超大容量储能电池、超级电容器、电池管理系统及可充电电池包、风光电储能系统、相关设备仪器的开发、生产和销售及售后服务；对新能源行业的投资；锂电池及相关产品的技术服务、测试服务以及咨询服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),周佳,宁德市,公司是全球领先的动力电池系统提供商，专注于新能源汽车动力电池系统、储能系统的研发、生产和销售，致力于为全球新能源应用提供一流解决方案。公司在电池材料、电池系统、电池回收等产业链关键领域拥有核心技术优势及可持续研发能力，形成了全面、完善的生产服务体系。公司拥有国际一流的研发团队，设立了“福建省院士专家工作站”，拥有锂离子电池企业省级重点实验室、中国合格评定国家认可委员会(CNAS)认证的测试验证中心，参与了《电动客车安全技术条件》、《电动汽车用锂离子动力蓄电池安全要求》、《电力储能用锂离子电池》等多个国家、行业规范及标准的制定。公司承担了“十二五”国家新能源汽车产业技术创新工程项目、“十三五”国家重点研发计划新能源汽车专项项目和智能电网与装备专项项目、国家火炬计划产业化示范项目等国家级项目，为首批入选工信部《汽车动力蓄电池行业规范条件》目录的十家动力电池企业之一、《锂离子电池行业规范条件》目录的八家锂离子电池企业之一。公司曾获得中国化学与物理电源行业协会“中国动力和储能用锂离子电池前10强企业”、中国储能网“中国储能产业最具影响力企业”、工信部和财政部“2017年国家技术创新示范企业”等多项荣誉。,CATL-IR@catl.com,"公司是全球领先的动力电池系统提供商,专注于新能源汽车动力电池系统,储能系统的研发,生产和销售,致力于为全球新能源应用提供一流解决方案.公司在电池材料,电池系统,电池回收等产业链关键领域拥有核心技术优势及可持续研发能力,形成了全面,完善的生产服务体系.公司主要产品包括动力电池系统,储能系统和锂电池材料.",周佳,福建,232900.78,蒋理,20111216,www.catlbattery.com/www.catl.com,宁德时代,2019,SZSE,SZSE,工业制品,31070,-,电子器械和零件,31070060,1267040737000,67.96,61.21,¥531.00,工业,310,0.02,480400,168673200,4.67,10000.0,480400,4.67,4.67,1.0,351.11,167.43,229.14,131.74,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747606
603678,2020Q4_1747642,福建省泉州市鲤城区江南高新技术电子信息园区紫华路4号,研究、开发、制造、检测、销售各类型高科技新型电子元器件、陶瓷粉料、特种纤维及高功能化工产品(不含危险化学品及易制毒化学品)；新材料技术咨询服务；生产制造咨询服务；对外贸易。(依法须经批准的项目，经相关部门批准后方可开展经营活动),蔡明通,泉州市,公司是中国主要专业从事陶瓷电容器研发、生产、销售和技术支持的企业。公司拥有多项具有知识产权的核心技术，是国家高新技术企业，福建省“十一五”规划电子元器件发展支柱企业，福建省第二批创新型试点企业。目前已通过ISO9001质量管理体系认证、GJB9001军工产品质量体系认证、ISO14001环境管理质量体系认证以及OHSAS18001职业健康安全管理体系认证。公司生产的“火炬牌”陶瓷电容器产品主要包括多层片式陶瓷电容器和引线式电容器，以其高可靠性、高质量等级、高技术含量附加值先后获得国家重点新产品、福建名牌产品、福建自主创新产品称号，在航空航天、通讯、电力、汽车等高端领域广泛应用，并与国内外知名高科技企业建立了良好的战略合作伙伴关系和共赢模式。公司是国内首家将“湿法淋幕工艺”产业化应用，国内首家能生产宇航级电容器的企业，目前已建立省级企业技术中心和市级工程研究中心。公司参与起草修订的几项国家标准已先后获得批准并颁布。,investor@torch.cn,"公司主要从事电容器及相关产品的研发,生产,销售,检测及服务业务,其主营业务包括自产业务和代理业务.主要产品包括片式多层陶瓷电容器(业界常指MLCC),引线式多层陶瓷电容器以及多芯组陶瓷电容器.",蔡劲军,福建,45985.36,陈世宗,20071220,www.torch.cn,火炬电子,2019,SHSE,SHSE,硬件,31120,-,电子元件,31120040,33827402000,31.93,4.23,¥79.66,科技,311,0.49,2269800,164103800,4.54,10000.0,2269800,4.54,4.54,1.0,72.3,29.79,44.54,78.85,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747642
002493,2020Q4_1747593,浙江省杭州市萧山区益农镇浙江荣盛控股集团大楼,实业投资，涤纶丝，化纤布的制造、加工，纸制品加工，轻纺原料及产品，五金，化工产品及原料(除化学危险品及易制毒化学品)的销售，普通货物仓储服务(不含危险品)，普通货运，经营进出口业务(国家法律法规限制或禁止的除外)。,李水荣,杭州市,"公司是全国大型的直纺涤纶长丝生产企业,主要从事PTA、聚酯纤维相关产品的生产和销售，是全国石化-化纤行业龙头企业之一。公司已形成PTA1000万吨以上，聚酯100万吨、涤纶纺丝(FDY、POY)100万吨、涤纶加弹丝(DTY)45万吨的年产能。经过十多年的积累，目前荣盛聚酯及纺丝、加弹配套项目的生产规模、原料单耗及产品质量均处于国内同行的前列，综合能耗处于国际先进水平。在项目的建设中，公司始终坚持高标准、严要求，在扩大产能的同时，积极开展设备的升级和技术的创新，形成了荣盛在设备、流程等方面的传统优势。目前荣盛纺丝和加弹项目的关键设备均自国外引进，具备国际先进水平，其中在新建的差别化项目中，引进了具有卷绕自动落丝-中间立体仓储-检测-包装等全自动一体化功能的德国高端工业自动化纺丝设备，开启了智能制造新模式。",rspc@rong-sheng.com;qwy@rong-sheng.com;yangyang@rong-sheng.com,"主营业务为PTA,聚酯纤维相关产品的生产和销售,主要产品为PTA以及涤纶牵伸丝(FDY),涤纶预取向丝(POY),涤纶加弹丝(DTY)三大系列,各种规格的涤纶长丝,PET切片.",项炯炯,浙江,1012552.5,全卫英,19950915,www.cnrspc.com,荣盛石化,2015,SZSE,SZSE,化工,10130,-,化学制品,10130010,197259896000,8.32,6.32,¥20.47,基础材料,101,0.09,8931450,162918200,4.51,10000.0,8931450,4.51,4.51,1.5,18.41,8.34,13.68,49.63,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747593
002027,2020Q4_1747587,上海市长宁区江苏路369号兆丰世贸大厦28层,信息技术咨询服务;软件开发;计算机网络系统工程服务;网络技术的研究、开发(具体经营范围以审批机关核定的为准；涉及许可项目的，以许可审批部门核定的为准。),江南春,广州市,公司原是专业研究、制造、销售计算机整机及其周边产品和数码通讯产品，2015年通过重大资产重组，将原有资产全部置出，注入盈利能力较强，发展情景广阔的生活圈媒体业务，主营业务转变为媒体广告业务，在全球范围首创电梯媒体。公司抓住了电梯这个核心场景，电梯是城市的基础设施，电梯这个日常的生活场景代表着四个词：主流人群、必经、高频、低干扰，而这四个词正是今天引爆品牌的核心稀缺资源。公司被誉为“中国最具品牌引爆力的媒体平台”。,FM002027@focusmedia.cn;ln002027@focusmedia.cn,"主要产品:自有品牌,代理产品",江南春,广东,1467788.03,孔微微,19970826,www.focusmedia.cn,分众传媒,2020,SZSE,SZSE,传媒,30820,-,广告中介,30820010,123428194000,-5.99,-13.32,¥8.23,通信服务,308,0.06,9375700,92538600,2.56,10000.0,9375700,2.56,2.56,1.0,10.48,5.66,8.12,1.35,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747587
601166,2020Q4_1747636,福建省福州市湖东路154号,(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)代理发行股票以外的有价证券；(九)买卖、代理买卖股票以外的有价证券；(十)资产托管业务；(十一)从事同业拆借；(十二)买卖、代理买卖外汇；(十三)结汇、售汇业务；(十四)从事银行卡业务；(十五)提供信用证服务及担保；(十六)代理收付款项及代理保险业务；(十七)提供保管箱服务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经国务院银行业监督管理机构批准的其他业务。,陶以平,福州市,公司成立于1988年8月，总行设在福建省福州市，是经国务院、中国人民银行批准成立的首批股份制商业银行之一。公司先后成立兴业信托、兴业金融租赁、兴业基金、兴业消费金融、兴业研究、兴业数字金融、兴业资产管理等机构，成为拥有最多金融牌照的商业银行之一，从单一银行已逐步演进为以银行为母体，涵盖信托、租赁、基金、消费金融、期货、资产管理、研究咨询、数字金融等在内的现代金融服务集团。旗下公司茁壮成长，部分子公司如兴业信托、兴业租赁、兴业基金等已跻身行业主流阵营。作为中国首家赤道银行和绿色金融的拓荒者、领跑者，公司在国内最早建立专业团队十年深耕绿色金融，已建成覆盖绿色融资、绿色租赁、绿色信托、绿色基金、绿色投资、绿色消费等多个领域的集团绿色产品服务体系。,irm@cib.com.cn,主营业务:商业银行业务,陶以平,福建,2077419.08,陈信健,19880822,www.cib.com.cn,兴业银行,2011,SHSE,SHSE,银行,10320,-,区域性银行,10320020,429791332000,3.61,3.51,¥20.45,金融服务,103,0.02,3537400,73825500,2.04,10000.0,3537400,2.04,2.04,1.0,21.6,15.54,17.66,15.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747636
