symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
600660,2020Q4_1752057,福建省福州市福清市福耀工业村II区,生产汽车玻璃，装饰玻璃和其它工业技术玻璃及玻璃安装，售后服务；开发和生产经营特种优质浮法玻璃，包括超薄玻璃、薄玻璃、透明玻璃、着色彩色玻璃；并统一协调管理集团内各成员公司的经营活动和代购代销成员公司的原辅材料和产品；协助所属企业招聘人员、提供技术培训及咨询等有关业务；生产玻璃塑胶包边总成，塑料、橡胶制品；包装木料加工；纸箱、纸板、铁架、可循环使用的包装金属支撑架、包装托盘等玻璃安装用的材料的销售。国家禁止外商投资的行业除外，国家限制外商投资的行业或有特殊规定的，须依法履行相关程序。(涉及审批许可项目的，只允许在审批许可的范围和有效期限内从事生产经营)。,曹德旺,福州市,公司是一家专注于汽车玻璃生产的供应商，主要从事浮法玻璃及汽车用玻璃制品的生产及销售，产品不但配套国内汽车品牌，更已成为德国奥迪、德国大众、南韩现代、澳大利亚Holden、日本铃木、日本三菱、捷克途胜的合格供应商，并批量供货。公司是“国家认定企业技术中心”，是国家知识产权局授牌“专利工作交流站”，是国家科技部、中华全国总工会确认的“全国第三批创新型试点企业”。,600660@fuyaogroup.com,主营业务:从事浮法玻璃及汽车用玻璃制品的生产及销售.,叶舒,福建,260974.35,李小溪,19920621,www.fuyaogroup.com,XD福耀玻,2019,SHSE,SHSE,汽车和配件,10200,-,汽车配件,10200030,127822001000,16.86,7.74,¥51.72,周期性消费,102,0.24,6262800,300927600.0,5.77,10000.0,6262800,5.77,5.77,1.0,48.05,21.56,33.27,55.46,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752057
000786,2020Q4_1751983,北京市未来科学城七北路9号北新中心A座,制造新型建筑材料、新型墙体材料、化工产品(不含危险化学品及一类易制毒化学品)、水暖管件、装饰材料、建材机械电器设备、新型建筑材料的房屋；销售建筑材料、新型墙体材料、化工产品、装饰材料、建材机械电器设备、新型建筑材料的房屋、金属材料、矿产品、五金交电、建筑机械、建筑防水材料、涂料、砂浆、水泥制品、保温隔热材料、粘接2材料；技术开发、技术转让、技术服务、技术咨询、技术培训；环保节能产品的开发利用；经营本企业自产产品及相关技术的出口业务；经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务；经营本企业的进料加工和“三来一补”业务；出租办公用房、出租商业用房；设备租赁；物业管理；以下项目限外埠分支机构经营：制造建筑防水材料、涂料、砂浆、水泥制品、保温隔热材料、粘接材料。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),王兵,北京市,公司是一家中央企业中国建材集团所属新型建材产业平台。公司生产的龙牌系列产品包括轻质墙体材料系列、保温吸声材料系列、卫浴产品系列等。公司以“绿色建筑未来”为产业理念，为各类建筑提供“净醛石膏板系统”等创新产品和墙体革新、内装工业化、装配式建筑解决方案；实施“制高点”战略，以“技术创新、品牌建设、管理革新、资本运营”为战略引擎，开创出一条中国传统制造业自我革新转型升级之路。公司成功打造了质量、技术、效益、规模全面超越外资同行的中国高端自主品牌“龙牌”，按照国际先进标准进行生产，先后荣获“中国名牌”、“中国驰名商标”、“国家免检”、“国家环境标志产品认证”、“全国建筑工程装饰奖选材之最”、“鲁班奖工程功勋供应商”、“中国五星级饭店装饰材料首选品牌”、“中国房地产500强墙体吊顶首选品牌”等多项国家及行业顶级荣誉。,skp@bnbm.com.cn;bnbm@bnbm.com.cn,"主要产品和提供的劳务包括:纸面石膏板,轻钢龙骨,烤漆龙骨,矿棉吸音板,岩棉,粒状棉,涂料,钢制板式散热器,五金件,金邦板,水泥瓦,型材,门窗,薄板钢骨房屋和国内外建筑材料,装饰材料贸易和技术转让,开发及服务等.",陈雨,北京,168950.78,史可平,19970530,www.bnbm.com.cn,北新建材,2020,SZSE,SZSE,建筑,31040,-,建筑材料和设备,31040030,67159899000,-9.39,1.72,¥38.29,工业,310,0.26,4319100,172980000.0,3.32,10000.0,4319100,3.32,3.32,1.0,41.58,24.13,34.25,11.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751983
600176,2020Q4_1752049,浙江省嘉兴市桐乡市梧桐街道文华南路669号,玻璃纤维及其制品、复合材料、建筑材料、工程材料及制品、玻璃纤维相关原材料、化工原料(不含危险品及易制毒品)、设备及配件的批发；自有房屋的租赁；设备安装；信息技术服务；企业管理；资产管理；销售不饱和聚酯树脂。(涉及行政许可的凭许可证经营),曹江林,嘉兴市,公司是中国建材股份有限公司玻璃纤维业务的核心企业，以玻璃纤维及制品的生产与销售为主营业务，是我国新材料行业进入资本市场早，企业规模大的上市公司之一。经过多年的努力，中国巨石已成为治理完善、战略清晰、资产优良、文化优秀、管理精细、技术先进、营销网络完整的行业龙头企业。公司拥有具有自主知识产权的大型无碱池窑、环保池窑的设计和建造技术；研发了国际首创的纯氧燃烧技术并进行了工业化应用，大大降低单位产能能耗。公司建有玻纤研发实验基地，包括国家认定企业技术中心、省级重点实验室及博士后科研工作站等研发机构，所属检测中心通过了国家实验室认可委员会认可，并获得德国船级社GL认证。,ir@jushi.com,"主要业务:玻璃纤维的研发,生产与销售,商业房地产的开发与经营,家居产品的连锁经营与物流配送.",张毓强,浙江,400313.67,李畅,19990416,www.jushi.com,中国巨石,2020,SHSE,SHSE,化工,10130,-,特种化学制品,10130020,65325424000,1.73,-5.77,¥16.64,基础材料,101,0.23,9254985,161618900.0,3.1,10000.0,9254985,3.1,3.1,1.143,17.49,8.49,12.95,28.49,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752049
601601,2020Q4_1752065,上海市黄浦区中山南路1号,控股投资保险企业；监督管理控股投资保险企业的各种国内、国际再保险业务；监督管理控股投资保险企业的资金运用业务；经批准参加国际保险活动。,孔庆伟,上海市,"公司是在1991年5月13日成立的中国太平洋保险公司的基础上组建而成的保险集团公司，总部设在上海，是国内领先的“A+H”股上市综合性保险集团。公司专注保险主业,围绕保险主业链条不断丰富经营范围，目前已经实现了寿险、产险、养老险、健康险、农险和资产管理的全保险牌照布局，各业务板块正在实现共享发展；关注客户需求,推动实施以客户需求为导向的战略转型，“以客户需求为导向”的价值观和方法论已经内化成公司的生命基因；聚焦价值增长：寿险业务追求高质量的新业务价值增长，产险业务坚持承保盈利，资产管理业务实现投资收益持续超越负债成本。",ir@cpic.com.cn,"主要通过下属的中国太平洋人寿保险股份有限公司(以下简称“太保寿险”)和中国太平洋财产保险股份有限公司(以下简称“太保产险”)为客户提供全面的人寿及财产保险产品和服务,并通过下属的太平洋资产管理有限责任公司管理和运用保险资金.",蔡强,上海,962034.15,苏少军,19910513,www.cpic.com.cn,中国太保,2017,SHSE,SHSE,保险,10340,-,人身保险,10340010,247975692000,-12.89,-22.73,¥28.00,金融服务,103,0.04,4171500,160184300.0,3.07,10000.0,4171500,3.07,3.07,1.0,39.85,29.37,32.98,-15.1,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752065
600884,2020Q4_1752061,浙江省宁波市鄞州区日丽中路777号杉杉大厦26层,服装、针织品、皮革制品的批发、零售；商标有偿许可使用；自营和代理货物和技术的进出口业务，但国家限定经营或禁止进出口的货物和技术除外；锂离子电池材料的批发、零售；房屋租赁；实业项目投资；以下限分支机构经营：服装、针织品、皮革制品的制造、加工，锂离子电池材料的生产、加工。,郑永刚,宁波市,公司成立于1992年，公司自1996年A股上市以来由国内第一家上市的服装企业转型为新能源产业领军企业，现有业务覆盖锂离子电池材料、电池系统集成(包括锂离子电容、动力电池PACK)、能源管理服务和充电桩建设及新能源汽车运营等新能源业务，以及服装、创投和融资租赁等业务，其中新能源业务已经成为公司主要的业绩来源及未来发展重点。经过多年发展，杉杉股份已经成为全球规模最大的锂离子电池材料综合供应商，并一直致力于将公司打造成为全球新能源产业的领导者。,ssgf@shanshan.com,"西服,休闲服,锂离子电池材料,衬衫",李智华,浙江,162800.92,陈莹,19921214,www.ssgf.net,杉杉股份,2018,SHSE,SHSE,化工,10130,-,特种化学制品,10130020,52580555000,143.34,79.37,¥33.78,基础材料,101,0.45,7329500,132150400.0,2.54,10000.0,7329500,2.54,2.54,1.0,19.02,10.84,13.96,141.98,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752061
000636,2020Q4_1751980,广东省肇庆市风华路18号风华电子工业城,研究、开发、生产、销售各类型高科技新型电子元器件、集成电路、电子材料、电子专用设备仪器及计算机网络设备，高新技术转让、咨询服务。经营本企业自产机电产品、成套设备及相关技术的出口和生产、科研所需原辅材料、机械设备、仪器仪表、备品备件、零配件及技术的进口(按粤外经贸字[1999]381号文经营)；经营国内贸易(法律、行政法规、国务院决定禁止的，不得经营；法律、行政法规、国务院决定未规定许可的，自主选择经营项目开展经营活动)；房地产开发、经营。,徐静,肇庆市,公司是一家专业从事高端新型元器件、电子材料、电子专用设备等电子信息基础产品的高新技术企业，已成为国内领先的新型元器件及电子信息基础产品科研、生产和出口基地，拥有自主知识产权及核心产品关键技术的国际知名新型电子元器件行业大公司。公司具有完整与成熟的产品链，具备为通讯类、消费类、计算机类、汽车电子类、照明电器类等电子整机整合配套供货的大规模生产能力。公司现为我国领先的新型元器件、电子元器件制造装备及电子基础材料的科研、生产和出口基地，是中国电子百强企业。被认定为国家级技术中心、国家高技术产业化示范工程单位、国家火炬计划重点高新技术企业、国家“863”计划成果产业化基地。,000636@china-fenghua.com,"主要产品:片式多层陶瓷电容器,片式电阻器,锂离子电池电芯.",徐静,广东,89523.31,薛泽彬,19940323,www.fenghua-advanced.com,风华高科,0,SZSE,SZSE,硬件,31120,-,消费类电子产品,31120030,32466275000,29.3,10.27,¥37.91,科技,311,0.27,2404300,81024900.0,1.55,10000.0,2404300,1.55,1.55,1.0,39.43,26.15,32.02,18.39,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751980
601318,2020Q4_1752064,"广东省深圳市福田区益田路5033号平安金融中心47,48,108,109,110,111,112层",(一)投资保险企业；(二)监督管理控股投资企业的各种国内、国际业务；(三)开展保险资金运用业务；(四)经批准开展国内、国际保险业务；(五)经中国保险监督管理委员会及国家有关部门批准的其他业务。,马明哲,深圳市,公司于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已发展成为融保险、银行、投资三大主营业务为一体、核心金融与互联网金融业务并行发展的个人金融生活服务集团之一。公司致力于成为国际领先的个人金融生活服务提供商，坚持“科技引领金融，金融服务生活”的理念，通过“综合金融+互联网”和“互联网+综合金融”两个模式，聚焦“大金融资产”和“大医疗健康”两大产业，围绕保险、银行、资产管理、互联网金融四大板块，为客户创造“专业，让生活更简单”的品牌体验。公司是国内金融牌照最齐全、业务范围最广泛、控股关系最紧密的个人金融生活服务集团之一。平安集团旗下子公司包括平安寿险、平安产险、平安养老险、平安健康险、平安银行、平安信托、平安证券、平安大华基金等，涵盖金融业各个领域，已发展成为中国少数能为客户同时提供保险、银行及投资等全方位金融产品和服务的金融企业之一。,PR@pingan.com.cn;IR@pingan.com.cn,"主营业务:以保险业务为核心,以统一品牌向客户提供包括保险,银行,证券,信托等多元化金融服务",谢永林,广东,1828024.14,盛瑞生,19880321,www.pingan.cn,中国平安,2012,SHSE,SHSE,保险,10340,-,人身保险,10340010,1100020382000,-19.03,-29.43,¥59.64,金融服务,103,0.0,821500,71454100.0,1.37,10000.0,821500,1.37,1.37,1.0,93.38,74.82,81.32,-26.66,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752064
688598,2020Q4_1752094,,,,,,,,,,,,,,金博股份,0,SHSE,SHSE,化工,10130,-,特种化学制品,10130020,23329808000,85.95,36.24,¥288.00,基础材料,101,0.32,255600,55271200.0,1.06,10000.0,255600,1.06,1.06,1.0,221.98,112.58,129.62,122.19,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752094
000913,2020Q4_1751985,浙江省温岭市经济开发区,许可项目：道路机动车辆生产(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。一般项目：摩托车零配件制造；摩托车及零配件批发；摩托车及零配件零售；机动车修理和维护；电动自行车销售；助动车制造；助动自行车、代步车及零配件销售；货物进出口；技术进出口(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,徐志豪,台州市,公司是吉利集团旗下一家以摩托车整车和发动机以及关键零部件研发、制造为主业的企业。2005年全资收购意大利百年摩企BENELLI，开创国内摩托车企业跨国并购的先河。公司拥有钱江摩托、Benelli、Keeway、KSR四大摩托车品牌，产品涵盖110cc普通代步车到1130cc高档大排量赛车等全系列摩托车，公司引领国内大排量摩托车潮流，产品远销130个国家和地区。钱江摩托获得“中国驰名商标”、“中国名牌”等多个国家级荣誉。公司拥有“国家级企业技术中心”、“国家认可检测中心”、“国家摩托车及零部件外贸转型升级基地企业”、浙江省首批“重点企业研究院”等称号。多年来，公司始终奉行技术前沿化、装备精良化、产品高端化和市场国际化的发展战略，已成为国内摩托车行业少数能制造高端大排量摩托车的企业之一。,qjmt@qjmotor.com;office@qjmotor.com,"主要产品:摩托车整车,摩托车配件及加工.",郭东劭,浙江,45353.6,王海斌,19990328,www.qjmotor.com,钱江摩托,2020,SZSE,SZSE,汽车和配件,10200,-,汽车制造,10200020,7433592000,-32.56,-36.23,¥16.32,周期性消费,102,0.27,1230100,31478500.0,0.6,10000.0,1230100,0.6,0.6,1.0,31.11,13.36,23.44,-30.38,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1751985
688122,2020Q4_1752081,陕西省西安市经济技术开发区明光路12号,低温超导材料、高温超导材料、钛及钛合金材料、高温合金材料、铪材料、机电设备(小轿车除外)及部件的生产、开发、销售和技术咨询；自有房屋租赁；货物及技术的进出口业务(国家禁止或限制进出口的货物、技术除外)。(上述经营范围中涉及许可项目的，凭许可证明文件、证件在有效期内经营，未经许可不得经营),张平祥,西安市,"公司是目前国内唯一实现低温超导线材商业化生产的企业，也是目前国际上唯一的铌钛(NbTi)锭棒及线材全流程生产企业,主要从事高端钛合金材料和低温超导材料的研发、生产和销售，是我国航空用钛合金棒丝材的主要研发生产基地，生产的高端钛合金主要用于航空领域，包括飞机结构件、紧固件和发动机部件等。航空领域用高端钛合金不仅要求组织和性能均匀性要好，而且还具有良好的批次稳定性。公司生产的高端钛合金材料已成为我国航空、航天结构件用主干钛合金，为我国新型战机、运输机的首飞和量产提供了核心材料。公司已成为我国新型飞机用钛合金材料的主要供应商之一。公司生产的产品性能达到了国内先进水平，和国外同类产品的技术水平相当，量产后将补上我国“两机”用高性能高温合金的“短板”,先后被国务院授予“国家科学技术进步奖二等奖”，国家工信部授予“国防科学技术进步奖一等奖”，国家发改委授予“国家高技术产业化十年成就奖”，中航工业集团授予“航空科学技术奖励一等奖”。",zqflb@c-wst.com,"公司主要从事高端钛合金材料,超导产品和高性能高温合金材料的研发,生产和销售.主要产品有三类,第一类是高端钛合金材料,包括棒材,丝材和锻坯等;第二类是超导产品,包括铌钛锭棒,铌钛超导线材,铌三锡超导线材和超导磁体等;第三类是高性能高温合金材料,包括变形高温合金,铸造和粉末高温合金母合金等.",冯勇,陕西,44127.2,周通,20030228,www.c-wst.com,西部超导,0,SHSE,SHSE,工业制品,31070,-,金属加工,31070030,27959141000,22.34,-18.73,¥67.05,工业,310,0.09,381000,30293000.0,0.58,10000.0,381000,0.58,0.58,1.0,79.51,30.38,50.95,31.6,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752081
