symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
002415,2020Q4_1747871,浙江省杭州市滨江区物联网街518号,一般项目：数字视频监控系统制造；数字视频监控系统销售；安防设备制造；安防设备销售；物联网设备制造；物联网设备销售；智能无人飞行器制造；智能无人飞行器销售；服务消费机器人制造；工业机器人制造；特殊作业机器人制造；智能机器人销售；计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；通信设备制造；通信设备销售；网络设备制造；网络设备销售；显示器件制造；显示器件销售；智能车载设备制造；智能车载设备销售；汽车零部件及配件制造；汽车零配件批发；电气信号设备装置制造；电气信号设备装置销售；机械电气设备制造；电气机械设备销售；特种劳动防护用品生产；特种劳动防护用品销售；电子产品销售；数字文化创意技术装备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息系统集成服务；计算机系统服务；物联网技术研发；物联网技术服务；物联网应用服务；大数据服务；数据处理和存储支持服务；安全系统监控服务；安全技术防范系统设计施工服务；电子、机械设备维护(不含特种设备)；停车场服务；数字文化创意内容应用服务；环境保护监测；从事科技培训的营利性民办培训机构(除面向中小学生开展的学科类、语言类文化教育培训)。(除依法须经,陈宗年,杭州市,公司是领先的视频产品和内容服务提供商，面向全球提供领先的视频产品、专业的行业解决方案与内容服务。公司积极布局新兴市场和新兴业务，基于互联网推出了面向家庭和小微企业的相关产品及云服务平台；进入智能制造领域，推出了一系列机器视觉产品及解决方案。公司产品已涵盖视频监控系统的所有主要设备，包括前端采集设备、后端存储及集中控制、显示、管理及储存设备。典型视频监控系统的前端设备主要包括摄像机(采集视音频信号)及DVS(压缩及编码视音频信号)；典型视频监控系统的后端设备主要包括录像机(记录及存储视音频信号)；典型视频监控系统的中心控制设备主要包括集中控制设备(控制、检索及显示视音频信号)、VMS软件及中心储存设备。此外，公司拥有门禁、报警、可视对讲等系列大安防领域的产品。,hikvision@hikvision.com;market@hikvision.com;ir@hikvision.com,"主营业务:安防视频监控产品研发,生产和销售,产品包括硬盘录像机(DVR),视音频编解码卡等数据存储及处理设备,以及监控摄像机,监控球机,视频服务器(DVS)等视音频信息采集处理设备.本公司产品主要包括后端数据存储及处理设备中的核心设备DVR,视音频编解码卡;前端视音频信息采集处理设备中的监控摄像机,监控球机,视频服务器(DVS)等,其中硬盘录像机,视音频编解码卡是目前公司的核心产品.",胡扬忠,浙江,934341.72,黄方红,20011130,www.hikvision.com,海康威视,2010,SZSE,SZSE,硬件,31120,-,计算机硬件,31120020,594918356000,13.8,32.22,¥63.00,科技,311,0.32,30000000,1455300000,3.93,10000.0,30000000,3.93,3.93,1.0,49.11,38.15,44.85,40.47,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747871
600872,2020Q4_1747934,广东省中山市中山火炬高技术产业开发区厨邦路1号广东美味鲜调味食品有限公司综合楼,城市基础设施的投资，房地产开发，物业管理，二次供水服务。高新技术产业投资开发，实业投资，设备租赁，技术咨询、信息咨询。销售工业生产资料(不含金、银、小轿车及化学危险品)、百货、五金、交电、化工(不含化学危险品)、纺织、针织品、建筑材料。自营和代理除国家组织统一联合经营的出口商品和国家实行核定公司经营的进口商品以外的其它商品及技术的进出口业务，经营进料加工和‘三来一补’业务、经营对销贸易和转口贸易(按[99]外经贸政审函字588号文经营)。,何华,中山市,公司是全国53个国家级高新区中的首家上市公司，也是中山市首家上市公司。公司以国家级高新区为依托、致力于资产经营和资本运营，投资范围涉及国家级高新区开发与招商、房地产业、健康食品业、汽车配件业、航运服务业等领域。十多年来，中炬高新凭借珠三角地区突出的区位优势，集中了中山火炬开发区的优质资源，求实以固本，创新以发展，在“高新技术产业投资”和“国家级高新区招商”两大领域取得了持续、稳定的发展，成功开发的中炬高新产业园、中炬汽配工业园、中国绿色健康食品产业基地，形成了电子信息、健康食品、汽车配件、精细化工等多个产业链。,jonjee@jonjee.com;aguo@jonjee.com;zouwd@jonjee.com,"主要以调味品,汽车配件,房地产及园区服务为主导.",李翠旭,广东,79663.72,邹卫东,19930116,www.jonjee.com,中炬高新,2016,SHSE,SHSE,房地产,10410,-,房地产服务,10410020,32116505000,-22.58,-38.66,¥38.53,房地产,104,2.39,19000100,1266354900,3.42,10000.0,19000100,3.42,3.42,1.0,82.85,55.9,66.81,-42.33,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747934
002568,2020Q4_1747873,上海市浦东新区康桥工业区康桥东路558号,香精香料的制造加工。香精香料化工原料及产品批发零售；经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务(但国家限定公司经营或禁止进出口的商品及技术除外)，本企业包括本企业控股的成员企业。企业管理、投资与资产管理(涉及行政许可的，凭许可证经营)。,刘晓东,上海市,公司是国内最早将感官鉴评技术全面应用于调香及应用领域的香精制造企业之一。是国内最早同时通过ISO9001:2000质量管理体系及HACCP食品安全卫生保证体系认证的香精制造商之一。公司原主要从事香精香料的研发、生产和销售业务，经过对巴克斯酒业进行并购重组后，成为香精香料和预调鸡尾酒双主营业务发展的公司。公司拥有的“百润”是上海市著名商标、上海市名牌产品，百润股份是中国香精香料行业十强企业；巴克斯酒业旗下的“RIO(锐澳)”牌预调鸡尾酒为上海市著名商标、上海市名牌产品、上海名优食品，是预调鸡尾酒行业的领导品牌；两大品牌均获得客户的广泛认可，具有巨大的品牌价值。公司香精香料业务和预调酒鸡尾酒业务的品质保证体系均运行良好。,Angela.geng@bairun.net;bairun@bairun.net,"主要从事食用香精和烟用香精产品的研究,开发,生产与销售业务.主要产品为食用香精和烟用香精两大类千余种香精产品,是乳品,饮料,糖果,烘焙,冰品,肉制品,调味品和烟草等行业产品的重要配套原料.",刘晓东,上海,74978.51,耿涛,19970619,www.bairun.net,百润股份,2018,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,64860439000,11.22,18.48,¥84.46,基础材料,101,1.83,13720140,988959700,2.67,10000.0,13720140,2.67,2.67,1.4,74.49,31.98,47.66,77.21,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747873
603317,2020Q4_1747937,四川省成都市双流区西航港街道腾飞一路333号,食品、调味料研发、生产及销售；仓储服务；销售机械设备；软件设计、开发和销售；农产品初加工及销售；中央厨房；肉制品、水产品、蔬菜制品、蔬菜初加工品(净菜)的生产及销售；食品检验及咨询服务；企业管理咨询；商务服务业；第二类增值电信业务中的信息服务业务；互联网商品销售；餐饮服务；预包装食品(含冷藏冷冻食品)、散装食品销售、热食类食品制售；速冻食品的生产及销售；普通货运；货物专用运输(冷藏保鲜)；从事货物进出口与技术进出口的对外贸易经营。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,邓文,成都市,公司是中国调味品协会理事单位、农业产业化国家重点龙头企业。自成立以来，公司一直致力于川味复合调味料的研发、生产和销售，现已自主研发出“大红袍”、“好人家”、“天车”、“羊羊羊”四大系列畅销全国并远销海外的产品。其中，“大红袍”、“好人家”牌川味复合调味料获“四川名牌产品”称号；“天车”商标被中华人民共和国商务部认定为“中华老字号”。公司历来注重规范管理，并先后通过了ISO9001质量管理体系认证、ISO22000食品安全管理体系认证、ISO14001环境管理体系认证以及OHSAS18001职业健康安全管理体系认证。公司是火锅底料、辣椒酱国家标准的起草单位之一，也参与了川式复合调味料、川式佐餐调味料等地方标准的起草。规范的管理、持续的创新也促进了销售的稳定增长。目前公司已在全国三十多个省市自治区建立了完善的销售网络，并在重要区域设置了办事处。随着销售网络全球化战略的实施，产品已远销美国、英国、加拿大、澳大利亚等国家。,dsh@teway.cn,"主营业务为川味复合调味料的研发,生产和销售,主要产品包括火锅底料,川菜调料,香肠腊肉调料等三大产品系列.",邓文,四川,75653.33,何昌军,20070302,www.teway.cn,天味食品,2019,SHSE,SHSE,农副加工食品,20525,-,加工食品,20525040,23986447000,-8.98,-53.15,¥31.30,非周期性消费,205,1.87,14160120,909805300,2.46,10000.0,14160120,2.46,2.46,1.2,68.53,45.67,53.58,-41.58,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747937
600570,2020Q4_1747928,浙江省杭州市滨江区江南大道3588号恒生大厦,计算机软件的技术开发、咨询、服务、成果转让；计算机系统集成；自动化控制工程设计、承包、安装；计算机及配件的销售；电子设备、通讯设备、计算机硬件及外部设备的生产、销售；自有房屋的租赁；本企业自产产品及技术的出口业务：经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品及技术除外)；经营进料加工和“三来一补”业务。经政府有关部门批准并办理工商登记手续，公司可另开设业务发展所需的投资与经营项目，扩大经营范围。,彭政纲,杭州市,公司是中国领先的金融软件和网络服务供应商。公司聚焦于财富资产管理，致力于为证券、期货、基金、信托、保险、银行、交易所、私募等机构提供整体的解决方案和服务，为个人投资者提供财富管理工具。多年来，公司以技术服务为核心，凭借多年金融IT建设经验，以及对互联网的深刻洞察和理解，用优质的产品与服务，驱动金融机构创新发展。同时，公司还积极履行企业社会责任，在投资者教育、扶贫济困、关爱自闭症儿童等领域持续贡献力量，实现企业与社会共同可持续发展。,investor@hundsun.com,"主要产品:软件及服务,系统集成,硬件销售.",刘曙峰,浙江,80314.67,童晨晖,20001213,www.hundsun.com,恒生电子,2017,SHSE,SHSE,软件,31110,-,软件应用,31110020,90601108000,4.62,-17.54,¥63.08,科技,311,0.47,6800100,713327000,1.93,10000.0,6800100,1.93,1.93,1.0,120.5,85.41,100.39,-37.17,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747928
002507,2020Q4_1747872,重庆市涪陵区江北街道办事处二渡村一组,生产、加工、销售：蔬菜制品(酱腌菜、其他蔬菜)；其他水产加工品(水产调味品)；普通货运；批发兼零售：预包装食品、散装食品；以下经营范围限分公司经营：生产、加工调味料；榨菜原料收购、仓储；企业生产产品出口。[依法须经批准的项目，经相关部门批准后方可开展经营活动],周斌全,重庆市,公司是一家以榨菜为根本，立足于佐餐开胃菜领域快速发展的农业产业化企业集团，是农业产业化国家重点龙头企业。公司产品畅销沃尔玛、家乐福、大润发等全球知名连锁卖场、全国各大超市、便利店、农贸市场等零售终端。旗下“乌江”牌榨菜先后获得“中国名牌产品”、“重庆市名牌农产品”等荣誉。乌江产品先后通过了原产地标记注册、IOS22000：2005食品安全管理体系认证、ISO9001：2008国际质量管理体系认证、HACCP和QS认证、美国“FDA认证”。公司致力于为消费者提供绿色、健康、美味的开胃小菜，立志成为中国佐餐开味菜行业的领导者和大型航母，引领行业跨入工业化和现代化。,xiezj@flzc.com;weiys@flzc.com,"主营业务为榨菜产品,榨菜酱油和其他佐餐开胃菜等方便食品的研制,生产和销售.主导产品为乌江牌系列榨菜.",赵平,重庆,88763.0,韦永生,19880430,www.flzc.com,涪陵榨菜,2017,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,30451565000,-11.09,-18.49,¥33.67,非周期性消费,205,0.29,2600100,109984900,0.3,10000.0,2600100,0.3,0.3,1.0,51.62,36.67,42.45,-20.68,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747872
600132,2020Q4_1747923,重庆市九龙坡区马王乡龙泉村1号,啤酒、非酒精饮料(限制类除外)的生产、销售；啤酒设备、包装物、原辅材料的生产、销售；普通货运(不含危险品运输)。,Roland Arthur Lawrence,重庆市,公司前身为重庆啤酒厂，创建于1958年，始终致力于品牌文化建设，将品牌内涵与城市文化相融合，成为重庆一张重要的城市名片。经过60年的市场竞争，公司由建厂之初的60万资产，发展为拥有资产近35亿元，年销售啤酒近100万千升的西南领先啤酒企业，“中国十大啤酒集团”之一，连续二十年进入“重庆工业五十强”。1997年成为上市公司后，重啤股份发展更加迅猛，在立足重庆本土的基础上，通过兼并、合资、参股、资产重组等现代资本运作的方式，不断扩张。目前，重啤股份有15个生产基地，分布于重庆、四川、湖南等地。重啤股份也始终致力于引进国际资本、先进技术和管理经验，在中国啤酒企业中率先与世界啤酒巨头展开合作。2013年，全球第三大啤酒商、丹麦嘉士伯集团经过多年的增持，以60%的持股比例成为重啤股份第一大股东，重啤股份由此正式成为嘉士伯集团成员。,CBCSMIR@chongqinggroup.cn,主要产品:啤酒.,Lee Chee Kong,重庆,48397.12,邓炜,19931220,www.chongqingbeer.com,重庆啤酒,2012,SHSE,SHSE,酒精饮料,20510,-,啤酒,20510010,97125455000,64.37,70.86,¥199.49,非周期性消费,205,0.12,600100,71408800,0.19,10000.0,600100,0.19,0.19,1.0,122.0,99.87,109.59,82.03,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747923
600588,2020Q4_1747929,北京市海淀区北清路68号,电子计算机软件、硬件及外部设备的技术开发、技术咨询、技术转让、技术服务、技术培训；计算机系统集成；销售打印纸和计算机耗材；物业管理；企业管理咨询；数据库服务；销售电子计算机软硬件及外部设备；设计、制作、代理、发布广告；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；出租办公用房；零售图书；互联网数据中心业务(机房所在地为北京、南昌)、互联网接入服务业务(北京、南昌)、信息服务业务(不含互联网信息服务)(全国)(增值电信业务经营许可证有效期至2025年06月18日)；互联网信息服务。(市场主体依法自主选择经营项目，开展经营活动；互联网信息服务、互联网数据中心业务(机房所在地为北京、南昌)、互联网接入服务业务(北京、南昌)、信息服务业务(不含互联网信息服务)(全国)以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。)(公司经营范围以市场监督管理机关核准的经营范围为准。),王文京,北京市,公司是领先的综合型、融合化、生态式的企业服务提供商，致力于服务中国及全球企业与公共组织的数字化转型与智能化发展，推动企业服务产业变革，用创想与技术推动商业和社会进步。基于移动互联网、云计算、大数据、社交等先进技术，用友UAP私有云平台是中国大型企业和公共组织应用最广泛的企业计算平台，畅捷通公有云平台在小微企业和各类企业公共应用服务中得到运用。中国及亚太地区超过400万家企业与公共组织通过使用用友软件和云服务，实现精细管理、敏捷经营、业务创新。公司连续多年被评定为国家“规划布局内重点软件企业”，“用友ERP管理软件”系“中国名牌产品”，“用友”系中国驰名商标，公司拥有系统集成一级资质，获中国绿色公司百强。,ir@yonyou.com,"主要产品:软件销售,技术服务及培训,软件配套用品销售.",王文京,北京,327053.15,齐麟,19950118,www.yonyou.com,用友网络,2017,SHSE,SHSE,软件,31110,-,软件应用,31110020,105730748000,-10.19,-25.48,¥31.99,科技,311,0.01,300100,13165400,0.04,10000.0,300100,0.04,0.04,1.0,52.65,37.61,43.95,-27.21,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747929
002410,2020Q4_1747870,北京市海淀区西北旺东路10号院东区13号楼,许可经营项目为互联网络信息服务(除新闻、出版、教育、医疗保健、药品、医疗器械以外的内容；含利用自有网站发布网络广告)、第二类增值电信业务中的呼叫中心业务。一般经营项目为出版物零售；技术开发、技术转让、技术咨询、技术推广、技术服务、技术培训；数据处理；基础软件服务、应用软件服务；软件开发；会议服务、承办展览活动；数字内容服务；建筑工程机械租赁；计算机及通讯设备经营租赁；销售医疗器械Ⅰ、Ⅱ类；计算机系统服务；计算机维修；企业管理咨询；经济贸易咨询；房地产咨询；销售计算机、软件及辅助设备、机械设备、电子产品、建筑材料、装饰材料、五金交电、文化用品、体育用品、纺织品、服装、日用品、工艺品、家用电器、仪器仪表、装饰材料、通讯设备；技术进出口、货物进出口、代理进出口；制作网络广告；企业征信服务；建筑工程项目管理；出租办公用房；设计、制作、代理、发布广告。(最终以工商部门登记为准),刁志中,北京市,公司的主营业务为立足建筑产业，围绕工程项目全生命周期，为客户提供以建设工程领域专业应用产品和解决方案，搭建以产业大数据、产业新金融等为增值服务的数字建筑平台经过二十年的发展，公司业务领域由招投标阶段拓展至设计阶段和施工阶段；产品从单一的预算软件扩展到工程造价、工程施工、产业新金融等多个业务板块，涵盖工具类、解决方案类、大数据、移动互联网、云计算、智能硬件设备、产业金融服务等业务形态；服务的客户从中国境内拓展到全球一百多个国家和地区；累计为行业二十余万家企业、百余万产品使用者提供专业化服务，成为中国建筑产业信息化卓越品牌。,lisj-c@glodon.com;zhunn@glodon.com;webmaster@glodon.com,"主要产品为预算软件,工程造价系列软件,工程项目管理系列软件在内的多系列产品.主营业务:立足建筑产业,围绕工程项目全生命周期,为客户提供以建设工程领域专业应用产品和解决方案.",袁正刚,北京,118701.24,李树剑,19980813,www.glodon.com,广联达,2020,SZSE,SZSE,软件,31110,-,软件应用,31110020,85290909000,6.5,-4.24,¥71.49,科技,311,0.02,200100,15752600,0.04,10000.0,200100,0.04,0.04,1.0,82.53,64.0,71.43,0.08,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747870
600600,2020Q4_1747930,山东省青岛市香港中路五四广场青啤大厦,生产啤酒；预包装食品销售；生产饮料、威士忌、蒸馏酒。,黄克兴,青岛市,公司经营范围是啤酒制造、销售以及与之相关的业务。目前公司在国内拥有62家全资和控股的啤酒生产企业，及2家联营及合营啤酒生产企业，分布于全国20个省、直辖市、自治区，规模和市场份额居国内啤酒行业领先地位。其生产的青岛啤酒为国际市场上最具知名度的中国品牌，已行销世界100个国家和地区。目前，青岛啤酒远销美国、加拿大、英国、法国、德国、意大利、澳大利亚、韩国、日本、丹麦、俄罗斯等世界90多个国家和区域。全球啤酒行业权威报告Barth Report依据产量排名，青岛啤酒为世界第五大啤酒厂商。,secretary@tsingtao.com.cn;info@tsingtao.com.cn,主要产品:啤酒.,,山东,136447.68,张瑞祥,19951227,www.tsingtao.com.cn,青岛啤酒,2017,SHSE,SHSE,酒精饮料,20510,-,啤酒,20510010,115203206000,16.86,2.22,¥98.41,非周期性消费,205,0.0,20000,1988000,0.01,10000.0,20000,0.01,0.01,1.0,107.52,74.15,88.91,10.68,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1747930
