symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
002025,2020Q4_1752979,贵州省贵阳市经济技术开发区红河路7号,电器、电机、光电子产品、线缆组装件、电子控制组件、遥测遥控设备、伺服控制系统、电源、特种分离机构、惯性/敏感元件、抗辐照器件、专用密封件、网络变压器/滤波器、传感器、自动化设备、仪器仪表等的研制、生产和销售。智能制造系统集成方案设计及实施、软件开发及实施服务。经营本企业自产产品及技术的出口业务；经营本企业所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品及技术除外),陈振宇,贵阳市,公司是中国航天科工集团旗下的上市公司。公司始终坚守“致力高科技领域，追求卓越、共享成就”的使命，在高端连接器、继电器、微特电机、光电、线缆组件、二次电源、控制组件和遥测系统等领域从事研制生产和技术服务，是国内集科研、生产于一体的电子元器件骨干企业之一。现已在贵阳、上海、遵义、苏州、泰州、镇江等地成立控股子公司，形成了集团化、跨地域、专业优势互补的产业化布局。产品广泛应用于航空、航天、船舶、兵器、核能、电子、通讯、医疗、轨道交通、能源装备、网络设备、家用电器、以及新能源汽车等各个领域。近年来，先后承担了载人航天、探月、北斗、大飞机和高分辨率对地观测系统等国家重大工程和重大专项配套产品研制生产任务。公司是全国五一劳动奖状获得者、国家精密微特电机工程技术研究中心、国家创新型企业、国家技术创新示范企业、全国企事业知识产权示范创建单位、国家级智能制造新模式应用示范企业。,htdq@gzhtdq.com.cn;zw@gzhtdq.com.cn;mq@gzhtdq.com.cn,"主要产品:继电器,连接器,手机电池.",王跃轩,贵州,42900.0,张旺,20011230,www.gzhtdq.com.cn,航天电器,2019,SZSE,SZSE,硬件,31120,-,电子元件,31120040,23247424000,20.36,-16.65,¥55.13,科技,311,0.01,41200,2685400,3.04,10000.0,41200,3.04,3.04,1.0,65.18,42.62,50.9,8.31,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752979
300087,2020Q4_1752996,安徽省合肥市高新区创新大道98号,农作物种子、苗木、花卉种子研发、生产及销售；农作物种植及栽培服务；粮食收购、加工、仓储、销售；道路普通货物运输(除快递、除危险品)；农副产品的深加工、储藏、销售；农用配套物资批发零售(应凭许可证经营的未获许可前不得经营)，农业生产性基础设施建设；农业高新技术开发、技术转让、技术推广；农业技术咨询、技术服务；经营农作物种子、农副产品、农用配套物资、机械设备、零配件、原辅材料的进出口业务(国家限定公司经营或禁止进出口的商品及技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),覃衡德,合肥市,公司是“育繁推一体化”的高科技种业企业，安徽省农业产业化龙头企业。公司以现代种业技术产业化为发展方向，利用现代生物工程技术，主要从事优良水稻、玉米、小麦等主要农作物种子研发、繁育、推广及服务业务。公司拥有“农业部杂交稻新品种创制重点实验室”等创新平台，牵头组建国字号“水稻商业化分子育种技术创新联盟”；公司首创的“现代青年农场主”模式被农业部评为“全国新型职业农民培育十大模式”之一，被科技部认定为首批“星创天地”，获得教育部“国家教学成果二等奖”，并被安徽省评为农业人才培养的“众创空间”；公司系“中国种业信用明星企业、国家高新技术企业、农业产业化省级龙头企业、安徽省企业技术中心、安徽省创新型企业”。,winallseed2013@163.com,"本公司自设立以来一直以现代种业产业化为发展方向,利用现代生物技术,从事高产,优质杂交水稻种子研发,繁育,推广及服务,目主要产品包括“新两优6号”,“新两优香4”等籼型两系杂交水稻种子以及“农丰优909”,“新优188”等籼型三系杂交水稻种子,“新两优6号”于2006年被列为农业部第一批超级稻示范推广品种.",张琴,安徽,43033.01,张庆一,20020724,www.winallseed.com,荃银高科,2019,SZSE,SZSE,农副加工食品,20525,-,农产品,20525020,11996710000,34.31,-8.36,¥27.20,非周期性消费,205,0.01,61700,1889900,2.14,10000.0,61700,2.14,2.14,1.0,32.5,13.06,20.15,34.99,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752996
601577,2020Q4_1753020,湖南省长沙市岳麓区滨江路53号楷林商务中心B座,吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；经国务院银行业监督管理机构批准的其他业务。,朱玉国,长沙市,公司是湖南省首家区域性股份制商业银行和法人金融企业。目前，长沙银行营业网点实现了湖南全域覆盖，为广大客户提供365天*24小时手机银行、网上银行、微信银行和电话银行服务。长沙银行始终秉承“正道而行、信泽大众”的发展使命，坚持“聚焦客户、实干为本、快乐同行”的核心价值观，坚持深耕湖南，做“湖南人的主办银行”的定位，构建了以大批发为业务主体，大零售、大资管为两翼，网络金融为一尾的“一体两翼一尾”业务格局，着力打造智慧金融、县域金融、绿色金融、科技金融四大特色战略品牌。近年来，长沙银行的品牌影响力不断提升。,bankofchangsha@cscb.cn,"主营业务包括公司金融业务,零售金融业务和资金业务等.",赵小中,湖南,402155.38,杨敏佳,19970818,www.bankofchangsha.com,长沙银行,2019,SHSE,SHSE,银行,10320,-,区域性银行,10320020,33743094000,-9.04,-8.09,¥8.49,金融服务,103,0.0,195800,1864000,2.11,10000.0,195800,2.11,2.11,1.0,10.48,8.41,9.15,-7.21,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753020
300034,2020Q4_1752994,北京市海淀区大柳树南村19号,制造高温、纳米材料；高温金属材料及制品、轻质合金、特种合金及制品、粉末材料及制品的研发；材料制备技术开发、技术服务、技术咨询、技术转让；销售纳米材料、高温金属材料及制品、轻质合金、特种合金及制品、粉末材料及制品；设备租赁；出租办公用房、出租商业用房、货物进出口、技术进出口、代理出口(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),艾磊,北京市,公司是国内航空航天用高温合金重要的生产基地，国内电力工业用高温合金的重要供应商，从事航空航天材料中高温合金材料的研发、生产和销售。公司目前是国内高端和新型高温合金制品生产规模最大的企业之一，拥有年生产超千吨航空航天用高温合金母合金的能力以及航天发动机用精铸件的能力，在变形高温合金盘锻件和汽轮机叶片防护片等方面具有先进的生产技术，具有制造先进航空发动机亟需的粉末高温合金和ODS合金的生产技术和能力。公司产品定位在高端和新型高温合金领域，面向的客户也是以航空航天发动机装备制造企业和大型的发电设备企业集团为主，同时也向冶金、化工、玻璃制造等领域的企业销售用于高温环境下的热端部件。,caixiaobao@cisri.com.cn,"主营业务:高温合金材料及制品的研发,生产和销售.主要产品:高温合金.",邵冲,北京,48606.87,蔡晓宝,20021108,www.cisri-gaona.com.cn,钢研高纳,2020,SZSE,SZSE,航空航天和国防,31010,-,航空航天和国防,31010010,16590730000,58.0,-2.74,¥37.07,工业,310,0.01,51800,1862200,2.11,10000.0,51800,2.11,2.11,1.0,37.05,21.16,26.61,39.31,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752994
603267,2020Q4_1753027,北京市大兴区中关村科技园区大兴生物医药产业基地天贵街1号,电子元器件生产；生产电子专用材料、电子电路、电力电子元器件(限在外阜从事生产活动)；销售电子元器件、电子产品、电子专用材料、电子电路、电力电子元器件；电子产品、电子材料检测服务；技术咨询；技术服务；技术开发；技术转让；货物进出口；代理进出口。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。),郑红,北京市,公司是国家级高新技术企业，以研发、生产、经营电容器等电子元器件为主营业务。公司总部设在北京，下属13个分支机构遍布全国11个省市。现拥有员工400人，年销售额近5亿元，连续多年保持高速增长。过20年的发展，公司现已拥有两条世界最先进的生产线和一个瓷料研究中心，能够进行高品质多层瓷介电容器的自主研发和生产；拥有一支由博士、硕士、归国留学人员、行业资深专家组成的专业研发团队，并与清华大学等高校进行产学研合作；拥有20余项国家专利；拥有4个与科研院所、高等院校共同成立的联合实验室，与4家重点客户签订战略合作伙伴协议，在多层瓷介电容器的研究和应用上进行多方位合作。,603267@yldz.com.cn,"公司主营业务为以多层瓷介电容器(MLCC)为主的电子元器件的技术研发,产品生产和销售,包括自产业务和代理业务两大类.公司自产业务的主要产品包括片式多层瓷介电容器,有引线多层瓷介电容器,金属支架多层瓷介电容器以及直流滤波器等.公司产品广泛应用于航天,航空,船舶,兵器,电子信息,轨道交通,新能源等行业,满足军工及民用高端工程对产品的技术要求和应用需求.",刘辰,北京,23240.4,邢杰,20011206,www.yldz.com.cn,鸿远电子,2020,SHSE,SHSE,硬件,31120,-,电子元件,31120040,33547820000,13.76,10.94,¥150.49,科技,311,0.01,14100,1815500,2.06,10000.0,14100,2.06,2.06,1.0,128.76,43.49,80.33,87.34,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753027
300775,2020Q4_1753000,陕西省西安市航空基地蓝天二路8号,机械产品、航空、航天、电力、船舶、有色金属等行业的模锻件产品、航空、航天零部件及系统的研制、生产、销售(不含民用航空器材)；货物或技术的进出口业务(国家禁止或限制进出口的货物、技术除外)；金属材料(含锻铸件)理化检测分析和无损检测服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),严建亚,西安市,公司是一家研制生产航空航天、船舶等恒业锻件的高新技术企业，公司生产的特种合金锻件，主要用于制造飞机机身结构件及航空发动机盘件。公司目前已进入国内各大主机厂的供应商名录，主要产品参与空军、海军重要装备的设计定型，已成为主要的零部件供应商。公司产品目前已应用在新一代战斗机、新一代运输机及新一代直升机中，并为各类型国产航空发动机供应主要锻件，公司拥有较强的技术研发实力和生产制造能力，建有“陕西航空大型部件锻压工程研究中心”和“西安市难变形材料成型工程技术研究中心”。公司发明专利技术水平处于行业领先，并且在军工领域已经得到充分应用。公司已经取得了生产军工产品所需资质，具备了生产军品的生产资格和保密资质。,sjfw@400mn.com,"主要从事航空,航天,船舶等行业锻件产品的研制,生产,销售和服务.产品为特种合金锻件,主要用于制造飞机机身结构件及航空发动机盘件.",虢迎光,陕西,49550.0,杨伟杰,20020805,www.400mn.com,三角防务,2019,SZSE,SZSE,航空航天和国防,31010,-,航空航天和国防,31010010,17280505000,10.3,-13.77,¥36.63,工业,310,0.01,45600,1797600,2.04,10000.0,45600,2.04,2.04,1.0,39.95,22.32,32.71,11.98,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753000
000768,2020Q4_1752976,陕西省西安市阎良区西飞大道一号,飞机、飞行器零部件、航材和地随设备的设计、试验、生产、维修、改装、销售、服务及相关业务；飞行机务保证及服务；飞机租赁及相关服务保障业务；技术装备的设计、制造、安装、调试及技术服务；航空及其它民用铝合金系列产品和装饰材料的开发、设计、研制、生产、销售以及相关的技术服务；进出口加工业务；动力设备和设施、机电设备、工矿备件、电气、管道、非标设备及特种设备的设计、制造、安装、销售、技术服务；碳材料、粉末冶金制品、橡胶件、塑料件、锻铸件的制造；城市暖通工程、天然气安装工程、电子工程的设计、运行、安装、维护、管理、技术服务；汽车零部件的制造、维修、销售及技术服务；客户培训及相关配套服务；员工培训(仅限本系统内部员工)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),吴志鹏,西安市,公司是科研、生产一体化的特大型航空工业企业，是我国大中型军民用飞机的研制生产基地，国家一级企业。公司拥有国内大中型军民用飞机、全系列飞机起落架及机轮刹车系统的核心资源，主要承担各种大中型军民用飞机、起落架和机轮刹车系统的研发、制造、销售、维修与服务。公司业务清晰、资源集中、实力雄厚，是国内航空产业的骨干力量，是美国波音公司、欧洲空客公司等世界知名飞机制造商的重要合作伙伴。公司以建设治理规范高效、业绩卓越常青的优秀上市公司为己任，致力于成为国际化大中型飞机产业引领者。,zhfj000768@avic.com;gongl@avic.com;leiyz@avic.com,"主要产品:航空零部件,铝合金型材.",宋科璞,陕西,276864.51,雷阎正,19970618,www.xac.com.cn,中航西飞,2017,SZSE,SZSE,航空航天和国防,31010,-,航空航天和国防,31010010,67195498000,-0.68,-34.58,¥26.28,工业,310,0.0,48500,1779000,2.01,10000.0,48500,2.01,2.01,1.0,36.68,18.43,25.81,1.82,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752976
600372,2020Q4_1753006,北京市朝阳区曙光西里甲5号院16号楼25层A区,航空、航天、舰船、兵器等领域的机械电子、航空电子、自动控制、惯性导航、电子信息、雷达与火控系统、电子对抗、空中交通管制、飞参、综合照明、仪器仪表、基础元器件等产品的研发、生产和销售(在京外其他地区依法开展生产)；民用领域的通信网络、电子信息、集成电路、智慧城市与物联网、工业自动化、工业安全、轨道交通、节能环保与新能源电子、智能装备、传感器、特种电机、纺织机械、光学仪器等的设计、制造和销售(在京外其他地区依法开展生产)；经营范围内相关系统产品的进出口业务(以上项目国家有专项规定的除外)。,于卓,北京市,公司致力于为客户提供综合化的航空电子系统整体解决方案，产品谱系覆盖飞行控制系统、雷达系统、光电探测系统、座舱显示控制系统、机载计算机与网络系统、惯性导航系统、无线电与卫星导航系统、大气数据系统、火力控制与指挥任务系统、悬挂物管理系统、综合数据管理系统、控制板组件与调光控制系统、空中交通管理系统、通信系统、电子战、无人机系统/遥控遥测/地面站、机载反潜/水声探测系统、故障诊断与健康管理系统、航空状态检测系统、电驱动与控制系统和基础元器件等航空电子相关领域。公司立足航空，积极拓展非航空防务及民用市场，面向航天、兵器、船舶、电子信息等领域提供配套产品及服务。公司民用产业涉及智能系统与机器人、智慧城市、机电自动化、电子信息、基础器件等领域。公司以为各型飞行器、发动机与防务系统提供先进的航空电子技术、产品和解决方案为使命，打造世界先进的电子信息技术、智能系统供应商；聚焦价值创造和商业成功，致力于成为让股东获利、员工满意、客户信赖、诚实守信的优秀上市公司。,Zhangl755@avic.com;liutt@avic.com;hondianzq@avic.com,"主营业务:1.航空,防务及安全领域电子产品(系统,设备,器件,软件).2.民用电子产品及相关设备.3.智能装备(分系统和关键部件为主).4.创新项目孵化.",于卓,北京,175916.29,张力,19991126,www.aviconics.com.cn,中航电子,2019,SHSE,SHSE,航空航天和国防,31010,-,航空航天和国防,31010010,30073368000,4.73,-21.07,¥16.24,工业,310,0.0,88700,1743000,1.97,10000.0,88700,1.97,1.97,1.0,22.4,13.43,17.31,-6.18,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753006
601995,2020Q4_1753025,北京市朝阳区建国门外大街1号国贸大厦2座27层及28层,一、人民币特种股票、人民币普通股票、境外发行股票，境内外政府债券、公司债券和企业债券的经纪业务；二、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的自营业务；三、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的承销业务；四、基金的发起和管理；五、企业重组、收购与合并顾问；六、项目融资顾问；七、投资顾问及其他顾问业务；八、外汇买卖；九、境外企业、境内外商投资企业的外汇资产管理；十、同业拆借；十一、客户资产管理。十二、网上证券委托业务；十三、融资融券业务；十四、代销金融产品；十五、证券投资基金代销；十六、为期货公司提供中间介绍业务；十七、证券投资基金托管业务；十八、经金融监管机构批准的其他业务。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),沈如军,北京市,"公司是由国内外著名金融机构和公司基于战略合作关系共同投资组建的中国第一家中外合资投资银行。公司自1995年成立以来，一直致力于为客户提供高质量金融增值服务，业务范围覆盖宏观经济、证券和市场研究、股权与债务发行与承销、兼并收购财务顾问、股本销售交易、固定收益、自营投资、资产管理、财富管理、直接投资、证券投资咨询等诸多领域。公司总部设在北京，在境内设有多家子公司，在上海和深圳设有分公司，在北京、上海、深圳等多个城市设有证券营业部。公司亦积极开拓海外市场，随着业务范围的不断拓展，已在中国香港、纽约、伦敦和新加坡设有子公司,在品牌、客户、业务布局、人才、专业能力、运营管理等方面建立了独特的竞争优势，并在业内获得广泛认可。公司在《亚洲金融》《机构投资者》《亚洲货币》等知名媒体评选中屡获“中国最佳投资银行”、“最佳销售服务团队”、“最具影响力研究机构”等殊荣。同时，公司始终坚持依法合规经营，重视风险管理，建立了良好的规范运作和内部控制机制。自2007年中国证监会推出证券公司分类监管起的13年中，公司有12年获得证券公司被授予过的最高评级A类AA级评级，是累计获得A类AA级评级次数最多的证券公司。",investorrelations@cicc.com.cn,"主要业务包括投资银行业务,销售交易业务,自营投资业务,财富管理业务,资产管理业务,直接投资业务,研究平台,国际业务等.",黄朝晖,北京,482725.69,孙男,19950731,www.cicc.com,中金公司,0,SHSE,SHSE,资本市场,10330,-,资本市场,10330010,203278669000,19.8,-23.97,¥58.61,金融服务,103,0.0,25000,1714400,1.94,10000.0,25000,1.94,1.94,1.0,75.27,37.7,60.77,-3.55,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753025
600760,2020Q4_1753012,辽宁省沈阳市皇姑区陵北街1号,以自有资金对外投资；航空产品研发、服务保障；机械、电子产品开发、制造(依法须经批准的项目，经相关部门批准后方可开展经营活动),钱雪松,威海市,"公司原是原国家机械局定点生产低速货车的骨干企业，主营“黑豹”牌四轮低速货车、微型汽车、轻型载货汽车、轿卡车、电动车、工程自卸车、矿泉水等系列产品.2017年通过重大资产重组,公司置出原有资产和负债,并置入沈飞集团100%股权.沈飞集团主要从事航空产品制造业务，重组完成后上市公司将主要从事航空产品制造业务，核心产品为航空防务装备。航空防务装备是维护国家主权领土完整和政治安全的重要保障，在国防信息化建设进程、国防装备升级换代过程中市场空间广阔。",sac600760@163.com,"实业投资;航空产品研发,生产,服务保障.",邢一新,山东,196054.5,戚侠,19960604,www.sac.avic.com,中航沈飞,2020,SHSE,SHSE,航空航天和国防,31010,-,航空航天和国防,31010010,125493094000,44.13,15.81,¥67.63,工业,310,0.0,30519,1704300,1.93,10000.0,30519,1.93,1.93,1.4,25.65,20.19,23.35,189.64,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753012
