symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
600031,2020Q4_1752902,北京市昌平区北清路8号,生产建筑工程机械、起重机械、停车库、通用设备及机电设备(其中特种设备制造须凭本企业行政许可)、金属制品、橡胶制品、电子产品、钢丝增强液压橡胶软管和软管组合件、客车(不含小轿车)和改装车；建筑工程机械、起重机械、停车库、通用设备及机电设备的销售与维修；金属制品、橡胶制品及电子产品、钢丝增强液压橡胶软管和软管组合件的销售；客车(不含小轿车)和改装车的销售(凭审批机关许可文件经营)；五金及法律法规允许的矿产品、金属材料的销售；提供建筑工程机械租赁服务；经营商品和技术的进出口业务(国家法律法规禁止和限制的除外)。,梁稳根,北京市,公司是全球装备制造业领先企业之一。公司产品包括混凝土机械、挖掘机械、起重机械、桩工机械、筑路机械、建筑装配式预制结构构件。公司拥有ISO9000质量体系认证、ISO14001环境管理体系认证、GB/T28001职业健康安全管理体系认证和中国CCC认证、美国UL认证、德国TUV认证、欧盟CE认证等国际认证。公司凭借技术创新实力，先后三次荣获“国家科技进步奖”，两次荣获“国家技术发明奖”。通过自主创新，三一混凝土泵车三次刷新长臂架泵车世界纪录，三一高压力混凝土输送泵多次创造世界单泵垂直泵送世界新高。,xyl@sany.com.cn;zhoulk@sany.com.cn;sanyir@sany.com.cn,"主要业务:拖式混凝土输送泵,混凝土泵车等混凝土施工机械,全液压振动压路机,摊铺机等高等级路面施工机械的制造及销售.",向文波,北京,761650.4,肖友良,19941122,www.sanyhi.com,三一重工,2016,SHSE,SHSE,农用和重型工程机械,31050,-,农用和重型工程机械,31050010,217489529000,-17.32,-25.21,¥25.03,工业,310,0.07,5663100,198093500.0,6.08,10000.0,5663100,6.08,6.08,1.0,34.98,20.22,25.6,-2.23,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752902
601012,2020Q4_1752917,陕西省西安市西安经济技术开发区尚苑路8369号,半导体材料、太阳能电池与组件、电子元器件、半导体设备的开发、制造和销售；商品进出口业务；光伏电站项目的开发及工程总承包；光伏电站系统运行维护；LED照明灯具、储能节能产品的销售、技术服务、售后服务；合同能源管理。(以上经营范围国家法律法规规定的专控及前置许可项目除外，国家法律法规另有规定的，从其规定),李振国,西安市,公司是全球最大的单晶硅生产制造商。公司始终专注于单晶硅棒、硅片的研发、生产和销售，经过十多年的发展，目前已成为*全球最大的太阳能单晶硅光伏产品制造商。产业覆盖隆基单晶硅、隆基乐叶光伏、隆基新能源、隆基清洁能源光伏全产业链。自创立以来，始终秉承“可靠、增值、愉悦”的企业文化理念，持续为社会提供优秀的能源与服务，依托长期积累形成的规模化生产优势、全产业链优势、创新优势、品牌优势和人才优势，致力于领先的光伏发电技术和产业，促进光伏发电“平价时代”的早日到来，从而改变人类利用能源的方式，改变世界能源的格局，改变人类的生活方式，实现世界文明可持续发展。,longi-board@longigroup.com,"主营业务为单晶硅棒,硅片的研发,生产,销售,主要产品包括6英寸,6.5英寸,8英寸的单晶硅棒,单晶硅片.",李振国,陕西,541295.27,刘晓东,20000214,www.longigroup.com,隆基股份,2019,SHSE,SHSE,半导体,31130,-,半导体仪器和材料,31130010,497043154000,50.53,41.68,¥89.80,科技,311,0.05,2659440,175143100.0,5.37,10000.0,2659440,5.37,5.37,1.4,41.63,23.88,30.94,190.24,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752917
600309,2020Q4_1752906,山东省烟台市经济技术开发区三亚路3号,安全生产许可证范围内危险化学品的生产；食品添加剂的研发、生产和销售；许可证范围内铁路专用线经营；丙烷、正丁烷的带有存储设施的经营、仓储经营(以上经营项目有效期限以许可证为准)；聚氨酯及助剂、异氰酸酯及衍生产品的开发、技术服务及相关技术人员培训；批准范围内的自营进出口业务；化工产品(仅限化工园区内经营)(不含危险化学品)的研发、生产、销售及技术服务咨询。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,廖增太,烟台市,公司是一家全球化运营的化工新材料公司，依托不断创新的核心技术、产业化装置及高效的运营模式，为客户提供更具竞争力的产品及解决方案。公司业务涵盖MDI、TDI、聚醚多元醇等聚氨酯产业集群，丙烯酸及酯、环氧丙烷等石化产业集群，水性PUD、PA乳液、TPU、ADI系列等功能化学品及材料产业集群。所服务的行业主要包括：生活家居、运动休闲、汽车交通、建筑工业和电子电器等。在生产领域，国内烟台、宁波、珠海等地生产基地稳定运营。在研发领域，烟台、北京、佛山、上海等地的研发中心已逐渐成型，北美技术中心在休斯敦正式投入使用。另外，万华化学在欧洲、美国、日本等多个国家和地区均设有公司和办事处。公司将“为客户创造价值”作为第一使命，致力于为客户提供稳定的、高质量的、有竞争力的产品和快速高效的服务，做负责任的供应商和行业领袖。,stocks@whchem.com;lmli@whchem.com;mhxiao@whchem.com,"主要产品:纯MDI,聚合MDI.",寇光武,山东,313974.66,李立民,19981216,www.whchem.com,万华化学,2020,SHSE,SHSE,化工,10130,-,化学制品,10130010,397911266000,25.1,43.62,¥125.43,基础材料,101,0.05,1667500,151804900.0,4.66,10000.0,1667500,4.66,4.66,1.0,91.95,53.6,75.35,66.46,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752906
002475,2020Q4_1752862,广东省东莞市清溪镇北环路313号,生产经营连接线、连接器、电脑周边设备、塑胶五金制品。,王来春,深圳市,"公司是一家技术导向公司，公司专注于连接线、连接器的研发、生产和销售，产品主要应用于3C(计算机、通讯、消费电子)和汽车、医疗等领域。产品主要应用于3C(电脑、通讯、消费电子)、汽车和通讯等领域，核心产品电脑连接器已树立了优势地位，台式电脑连接器覆盖全球20%以上的台式电脑，并快速扩大笔记本电脑连接器的生产，公司已经开发出DP、eDP、USB3.0、ESATA等新产品，同时公司正逐步进入汽车连接器、通讯连接器和高端消费电子连接器领域，拓展新的产品市场,确立了自身的竞争优势。公司是USB、HDMI、SATA等协会的会员。公司拥有自主产品的核心技术和知识产权，已申请多项发明专利，实用新型专利及外观设计专利超过百项。后公司实验室通过国家认可委认证，并获“深圳市测试平台”称号。",David.Huang@luxshare-ict.com;Public@luxshare-ict.com;Ray.Li@luxshare-ict.com,"公司专注于连接器的研发,生产和销售,产品主要应用于3C(电脑,通讯,消费电子),汽车和通讯设备等领域.主要生产电脑连接器产品,包括台式电脑连接器及笔记本电脑连接器,并专注于生产附加价值高的电脑内部连接器.",王来春,广东,703542.64,黄大伟,20040524,www.luxshare-ict.com,立讯精密,2014,SZSE,SZSE,硬件,31120,-,电子元件,31120040,292233670000,26.58,-24.47,¥41.35,科技,311,0.04,2565800,143993500.0,4.42,10000.0,2565800,4.42,4.42,1.0,61.99,49.81,55.11,-24.97,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752862
002352,2020Q4_1752861,广东省深圳市福田区新洲十一街万基商务大厦,投资兴办实业(具体项目另行申报)；市场营销策划、投资咨询及其它信息咨询(不含人才中介服务、证券及限制项目)；供应链管理；资产管理、资本管理、投资管理(不得从事信托、金融资产管理、证券资产管理等业务)；道路普通货物运输；汽车租赁；总部管理。,王卫,深圳市,公司是国内领先的快递物流综合服务商，经过多年发展，已初步建立为客户提供一体化综合物流解决方案的能力，不仅提供配送端的高质量物流服务，还延伸至价值链前端的产、供、销、配等环节，以消费者需求出发，利用大数据分析和云计算技术，为客户提供仓储管理、销售预测、大数据分析、金融管理等一揽子解决方案。公司的物流产品主要包含：时效快递、经济快递、同城配送、仓储服务、国际快递等多种快递服务，物流普运、重货快运等快运服务，以及为生鲜、食品和医药领域的客户提供冷链运输服务。此外，公司还提供保价、代收货款等增值服务，以满足客户个性化需求。经过多年潜心经营和前瞻性战略布局，公司已形成拥有“天网+地网+信息网”三网合一、可覆盖国内外的综合物流服务网络。公司荣获中国物流与采购联合会“AAAAA”物流企业，中国物流与采购联合会“中国物流改革开放30年旗帜企业”，中国快递物流示范基地，十佳电子商务物流创新企业等荣誉。,sfir@sf-express.com,"主要业务:为客户提供仓储管理,销售预测,大数据分析,金融管理等一揽子解决方案.物流产品主要包含:时效快递,经济快递,同城配送,仓储服务,国际快递等多种快递服务,物流普运,重货快运等快运服务,以及为生鲜,食品和医药领域的客户提供冷链运输服务.",王卫,广东,441458.53,甘玲,20030522,www.sf-express.com,顺丰控股,2019,SZSE,SZSE,交通运输,31080,-,装卸搬运和其他运输代理,31080060,297125608000,1.58,-25.64,¥65.23,工业,310,0.04,1629200,143744300.0,4.41,10000.0,1629200,4.41,4.41,1.0,92.99,55.5,77.39,-15.71,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752861
600036,2020Q4_1752903,广东省深圳市福田区深南大道7088号,吸收公众存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务。外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；结汇、售汇；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；买卖和代理买卖股票以外的外币有价证券；发行和代理发行股票以外的外币有价证券；自营和代客外汇买卖；资信调查、咨询、见证业务；离岸金融业务。经国务院银行业监督管理机构批准的其他业务。,缪建民,深圳市,公司是中国境内第一家完全由企业法人持股的股份制商业银行、国家从体制外推动银行业改革的第一家试点银行，也是一家拥有商业银行、金融租赁、基金管理、人寿保险、境外投行等金融牌照的银行集团。近年来，公司聚焦移动优先策略，拥抱金融科技(Fintech)，率先推出闪电贷、刷脸取款、“一闪通”支付等创新服务，招商银行手机银行、掌上生活两大App已成行业翘楚，月活量均稳居金融行业前十。经过多年创新发展，招商银行部分业务领域已成为国内商业银行的标杆，连续多年获得境内外权威媒体评选的“中国最佳零售银行”“中国最佳私人银行”“中国最佳交易银行”等殊荣。,cmb@cmbchina.com,"主要业务:贷款拆借,存放同业业务债券投资.",田惠宇,广东,2521984.56,王良,19870331,www.cmbchina.com,招商银行,2009,SHSE,SHSE,银行,10320,-,区域性银行,10320020,1297118188000,5.79,19.01,¥50.90,金融服务,103,0.01,3203100,140777000.0,4.32,10000.0,3203100,4.32,4.32,1.0,46.8,34.25,39.82,27.83,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752903
000333,2020Q4_1752856,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,生产经营家用电器、电机及其零部件；从事家用电器、家电原材料及零配件的进出口、批发及加工业务(不设店铺，不涉及国营贸易管理商品，涉及配额、许可证管理商品的按国家规定办理)；信息技术服务；为企业提供投资顾问及管理服务；计算机软件、硬件开发；家电产品的安装、维修及售后服务；工业产品设计；酒店管理；广告代理；物业管理；企业所需的工程和技术研究、开发及其销售和推广；对金融业进行投资。(经营范围涉及行政许可的项目须凭有效许可证或批准证明经营),方洪波,佛山市,公司是一家消费电器、暖通空调、机器人与自动化系统、智能供应链(物流)的科技集团，提供多元化的产品种类与服务，包括以厨房家电、冰箱、洗衣机、及各类小家电为核心的消费电器业务；以家用空调、中央空调、供暖及通风系统为核心的暖通空调业务；以库卡集团、美的机器人公司等为核心的机器人及自动化系统业务;以安得智联为集成解决方案服务平台的智能供应链业务。公司以“科技尽善，生活尽美”为企业愿景，将“联动人与万物，启迪美的世界”作为使命，恪守“敢知未来——志存高远、务实奋进、包容共协、变革创新”的价值观，整合全球资源，推动技术创新，每年为全球超过3亿用户、及各领域的重要客户与战略合作伙伴提供满意的产品和服务，致力创造美好生活。,IR@midea.com,"以家电产业为主,涉足电机,物流等领域,旗下分为四大业务板块,分别为大家电,小家电,电机及物流",方洪波,广东,704515.93,江鹏,20000407,www.midea.com,美的集团,2014,SZSE,SZSE,家具制造,10220,-,家具制造,10220010,504918392000,-9.25,-26.09,¥69.73,周期性消费,102,0.02,1395600,137382900.0,4.21,10000.0,1395600,4.21,4.21,1.0,98.44,61.19,76.9,-9.32,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752856
300059,2020Q4_1752873,上海市徐汇区宛平南路88号东方财富大厦,第二类增值电信业务中的呼叫中心业务和信息服务业务(以经营许可证为准)，企业投资咨询、策划，商务咨询，会务会展咨询服务，计算机软硬件及网络系统的技术开发、技术服务、技术咨询、技术转让，设计、制作、发布、代理国内外各类广告，自有房屋租赁，计算机软件销售。,其实,上海市,公司是国内领先的互联网金融服务平台综合运营商，通过以“东方财富网”为核心，集互联网财经门户平台、金融电子商务平台、金融终端平台及移动端平台等为一体的互联网金融服务大平台，向海量用户提供基于互联网平台应用的产品和服务。公司运营的以“东方财富网”为核心的互联网金融服务大平台已成为我国用户访问量最大、用户黏性最高的互联网金融服务平台之一，“天天基金网”和“股吧”在各自细分领域中均具有市场领先地位，在用户数量和用户黏性方面长期保持竞争优势，形成了公司的核心竞争力。,dongmi@eastmoney.com,"主营业务:公司通过“东方财富网”网站平台提供专业的,及时的,海量的资讯信息,满足广大互联网用户对于财经资讯和金融信息需求.公司主营业务属于网络财经信息服务业,向用户提供专业的,及时的,海量的资讯信息,满足其对于财经资讯和金融信息的需求.业务内容主要包括互联网广告服务以及金融数据服务.",郑立坤,上海,1033576.38,其实,20050120,www.eastmoney.com,东方财富,2018,SZSE,SZSE,交互式媒体,30830,-,互联网和相关服务,30830010,337781706000,39.3,28.25,¥32.66,通信服务,308,0.05,4947720,127817200.0,3.92,10000.0,4947720,3.92,3.92,1.2,25.83,18.33,21.53,51.7,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752873
600346,2020Q4_1752907,辽宁省大连市中山区港兴路6号富力中心41层01-06单元,生产和销售化学纤维(不含化学危险品)；精对苯二甲酸(PTA)销售；货物进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动),范红卫,大连市,公司起源于苏州吴江，现有苏州、南通、宿迁、大连、康辉、惠州等六大生产基地，恒力石化立足主业，坚持全产业链发展，致力于打造“原油—芳烃、烯烃—PTA、乙二醇—PET—民用丝、工业丝、聚酯薄膜、工程塑料等新材料”的世界级全产业链发展，拥有2000万吨石油炼化项目，是全球单体装置最大和产能规模最大的PTA制造商，现有产能1160万吨，在建500万吨，同时也是我国聚酯化纤领域规模化、高端化、差异化的领军企业。,lifeng@hengli.com;gaoming@hengli.com;hlzq@hengli.com,"主要从事PTA,聚酯切片,民用涤纶长丝,工业涤纶长丝,聚酯薄膜,工程塑料的生产,研发和销售,同时对外提供电力,蒸汽等产品",范红卫,辽宁,703909.98,李峰,19990309,hengliinc.com,恒力石化,2017,SHSE,SHSE,服饰加工,10240,-,纺织加工,10240010,198361087000,-2.09,4.04,¥28.10,周期性消费,102,0.05,3397400,95026100.0,2.91,10000.0,3397400,2.91,2.91,1.0,28.52,19.08,23.63,18.92,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752907
000002,2020Q4_1752854,广东省深圳市盐田区大梅沙环梅路33号万科中心,房地产开发；兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品)；进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)。,郁亮,深圳市,公司成立于1984年，1988年进入房地产行业，经过三十余年的发展，已成为国内领先的城市配套服务商，公司业务聚焦全国经济最具活力的三大经济圈及中西部重点城市。2014年万科第四个十年发展规划，已经把“三好住宅供应商”的定位延展为“城市配套服务商”。2018年万科将这一定位进一步迭代升级为“城乡建设与生活服务商”，并具体细化为四个角色：美好生活场景师，实体经济生力军，创新探索试验田，和谐生态建设者。2017年，深圳地铁集团成为本集团第一大股东，始终支持万科的混合所有制结构，支持万科城市配套服务商战略和事业合伙人机制，支持万科管理团队按照既定战略目标，实施运营和管理，支持深化“轨道+物业”发展模式。公司核心业务包括住宅开发、物业服务、长租公寓。2018年，公司将自身定位进一步迭代升级为“城乡建设与生活服务商”，所搭建的生态体系已初具规模，在巩固住宅开发和物业服务固有优势的基础上，业务已延伸至商业开发和运营、物流仓储服务、租赁住宅、产业城镇、冰雪度假、养老、教育等领域，为更好的服务人民美好生活需要、实现可持续发展奠定了良好基础。,ir@vanke.com,房地产开发和物业服务,祝九胜,广东,1161773.22,朱旭,19840530,www.vanke.com,万科Ａ,2020,SZSE,SZSE,房地产,10410,-,房地产开发,10410010,265263343000,-17.82,-18.05,¥23.90,房地产,104,0.03,3286200,94313900.0,2.89,10000.0,3286200,2.89,2.89,1.0,31.61,26.96,28.94,-17.42,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752854
