symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
000858,2020Q4_1753105,四川省宜宾市翠屏区岷江西路150号,主营：酒类产品及相关辅助产品(瓶盖、商标、标识及包装制品)的生产经营；兼营：饮料、药品、水果种植、农业种植、进出口业务、物业管理、投资管理等。,曾从钦,宜宾市,公司是以五粮液及其系列酒的生产、销售为主要产业，同时生产经营精密塑胶制品、大中小高精尖注射和冲压模具现代制造产业，以及生物工程为发展产业，药业工业、印刷业、电子器件产业、物流运输和相关的服务业的具有深厚企业文化的现代化企业集团。公司现已系统研制开发了五粮春、五粮神、五粮醇等几十种不同档次、不同口味，满足不同区域、不同文化背景、不同层次消费者需求的系列产品。数年来“五粮液”品牌连续在中国白酒制造业和食品行业“最有价值品牌”中排位居前，具有领导市场的影响力。目前公司根据消费者的个性化需求，进一步细分、微分市场，新设计开发国宝五粮液、人民大会堂国宴五粮液等，丰富和完善产品线，加快新产品开发步伐，有效地支持了公司经营业绩持续增长。,000858-wly@sohu.com;lixinyi@wuliangye.com.cn,主要产品:五粮液系列酒.,,四川,388160.8,彭智辅,19980421,www.wuliangye.com.cn,五粮液,2015,SZSE,SZSE,酒精饮料,20510,-,其他酒类,20510020,1079600995000,10.79,-2.89,¥277.27,非周期性消费,205,0.0,59300,17306700.0,6.08,10000.0,59300,6.08,6.08,1.0,291.85,188.73,238.44,16.29,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753105
603566,2020Q4_1753162,河南省洛阳市洛龙区政和路15号,兽用疫苗、卵黄抗体和兽用化学药品、中药、消毒剂、兽药的生产、销售及经营(具体范围和有效期限以相关部门核发的许可证为准)；兽药产品研发及技术转让、相关技术咨询及服务；技术和货物进出口业务(国家法律法规禁止的除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),张许科,洛阳市,公司专注于兽用药品的研发、生产和销售，主要产品包括兽用生物制品和兽用化学药品等。公司紧抓市场机遇，依靠强大的技术研发实力和基础成果产业化能力，实现了资产、收入、盈利水平的稳定增长，并已经成为综合实力在国内兽用药品行业领先的企业之一。公司通过不断地自主创新，已在疫苗毒(菌)株选育纯化技术、细胞克隆技术、疫苗新型佐剂、多联多价疫苗技术、基因工程疫苗技术、化学合成(半合成)药物及药物新剂型等多个技术领域形成国际、国内行业领先或先进的技术优势。一系列拥有高技术含量并为市场所急需的新产品陆续上市和推广，奠定了公司主导产品的市场领先地位。其中，公司主要产品新-支-流三联灭活疫苗、新-支-减-流四联灭活疫苗、鸡法氏囊病精制蛋黄抗体、鸭病毒性肝炎精制蛋黄抗体市场份额在细分市场位居行业第一。,ir@pulike.com.cn,"公司产品包括兽用生物制品和兽用化学药品等.公司主要业务为于兽用药品的研发,生产和销售.",胡伟,河南,32149.6,赵锐,20020622,www.pulike.com.cn,普莱柯,2020,SHSE,SHSE,生物科技,20610,-,生物科技,20610010,8028813000,28.39,23.93,¥24.17,医疗保健,206,0.2,636900,13202900.0,4.64,10000.0,636900,4.64,4.64,1.0,27.42,20.73,24.34,-0.7,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753162
600882,2020Q4_1753153,上海市浦东新区金桥路1398号金台大厦9楼,乳制品生产技术领域内的技术开发、技术咨询、技术服务、技术转让、食品经营；电子商务平台、销售；信息传输、软件和信息技术服务业；计算机软件、信息系统软件的开发、销售；信息技术咨询服务；软件开发、互联网信息服务；玩具销售；国际贸易(批发与零售)【依法须经批准的项目，经相关部门批准后方可开展经营活动】。,柴琇,上海市,公司主营业务为乳制品生产及销售业务，拥有“妙可蓝多”“广泽”“澳醇牧场”等国内知名品牌。公司分别在上海、天津、长春和吉林建有4间奶酪和液态奶加工厂，总产能近40万吨，是国内最大的奶酪生产企业。公司聘请了一批资深专家加盟，在上海、天津设立了研发中心，并与来自欧洲、澳洲的奶酪公司展开合作，引进了国际先进的生产设备和技术。为从根本上保证产品品质，公司在吉林省建有万头奶牛生态牧场，奶牛全部为进口自澳洲的荷斯坦奶牛，奶质已达欧盟标准。目前，公司可为餐饮和工业客户提供黄油、稀奶油、炼乳、车达和马苏里拉奶酪、奶油芝士、芝士片、芝士酱等产品系列，可直接为消费者提供棒棒奶酪、成长奶酪、三角奶酪、小粒奶酪、新鲜奶酪、慕斯奶酪和辫子奶酪、雪球奶酪等特色产品系列。,ir@milkland.com.cn,"主营业务:以奶酪,液态奶为核心的特色乳制品的研发,生产和销售",任松,上海,40935.7,谢毅,19881129,www.groundmilk.com,妙可蓝多,0,SHSE,SHSE,农副加工食品,20525,-,加工食品,20525040,22751898000,-10.9,-3.68,¥52.71,非周期性消费,205,0.04,176800,10095300.0,3.55,10000.0,176800,3.55,3.55,1.0,57.1,31.91,40.19,31.15,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753153
600810,2020Q4_1753152,河南省平顶山市建设路63号,帘子布、工业用布、化学纤维及制品的制造、加工、销售；帘子布原辅材料、纺织机械的经销；经营自产产品及相关技术的进出口业务；无储存经营：苯、粗苯、重质苯、环己烷、环己烯、己二胺、液氧、液氮、己二腈、氨、环己酮、发烟硫酸、间苯二酚。己二酸、尼龙66切片的生产、采购和销售；尼龙6切片的采购和销售；房屋租赁。,乔思怀,平顶山市,公司是以中国平煤神马集团为控股股东，以化工、化纤为主业的特大型企业，是中国平煤神马集团尼龙板块的管理平台。神马股份在产业结构上横跨化工、化纤两大行业，形成了以尼龙66盐和尼龙66盐中间产品、工程塑料、工业丝(帘子布)、BCF地毯丝、安全气囊丝等主导产品为支柱、以原辅材料及相关产品为依托的新产业格局。神马尼龙系列产品客户遍布欧洲、美洲、亚洲等40多个国家和地区，在国内外市场上享有盛誉。,Liuzhen600810@126.com;pdsfw@126.com;mzhua719@126.com,"主要产品:帘子布,工业丝",段文亮,河南,57496.4,刘臻,19970910,www.shenma.com,神马股份,2020,SHSE,SHSE,化工,10130,-,特种化学制品,10130020,11711245000,25.05,41.33,¥13.24,基础材料,101,0.11,1030300,9571500.0,3.36,10000.0,1030300,3.36,3.36,1.0,11.39,7.2,8.52,55.4,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753152
600690,2020Q4_1753150,山东省青岛市崂山区海尔信息产业园内,电器、电子产品、机械产品、通讯设备及相关配件、工业自动化控制设备、计算机软硬件及辅助设备的研发与制造；家用电器及电子产品技术咨询服务；进出口业务(按外经贸部核准范围经营)；批发零售：国内商业(国家禁止商品除外)；从事数字科技、智能科技、软件科技；技术开发、技术咨询、技术转让、技术服务(包含工业互联网及家电产品等)；数据处理；应用软件开发及服务；先进控制与优化技术的开发与应用研究；矿泉水制造、饮食、旅游服务(限分支机构经营)；企业管理服务及咨询、信息技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,梁海山,青岛市,海尔智家股份有限公司成立于1984年，1993年11月19日，海尔智家在上海证券交易所上市，是中国最早上市的公司之一，也是最早入选上证180成分股指数的蓝筹股公司之一，并于2019年被纳入MSCI全球指数。2018年10月24日，海尔智家成功在德国法兰克福交易所主板发行D股。2020年12月23日，海尔智家成功在香港主板上市。至此，海尔智家实现“A+D+H”三地上市，构建与全球化运营同步的全球资本平台。公司始终秉承“以用户为是，以自己为非”的理念，坚持创业、创新精神，不断适应时代的发展。公司坚持海外自主创牌，通过自身的持续耕耘与行业整合，先后收购日本三洋白电业、美国GE家电业务、新西兰Fisher&Paykel业务，持股墨西哥MABE48.41%股权、收购意大利Candy公司，构建“研发、制造、营销”三位一体的全球化竞争力，通过不断优化资源整合能力、发挥全球战略协同优势，实现“海尔、卡萨帝、统帅、美国GE Appliances、新西兰Fisher&Paykel、日本AQUA、意大利Candy”七大世界级品牌布局与全球化运营。面对物联网时代的机遇和挑战，海尔智家坚持智慧家庭战略，紧跟时代脚步，推进物联网生态转型,finance@haier.com;Y.sun@haier.de;ir@haier.hk,"主要产品:电冰箱,空调器.",李华刚,山东,940892.9,明国珍,19940331,smart-home.haier.com,海尔智家,2016,SHSE,SHSE,硬件,31120,-,消费类电子产品,31120030,240716903000,-13.46,-6.71,¥26.72,科技,311,0.0,257600,7524500.0,2.64,10000.0,257600,2.64,2.64,1.0,30.4,16.26,23.49,13.75,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753150
000671,2020Q4_1753103,上海市杨浦区杨树浦路1058号阳光控股大厦18层,对外贸易(不含国家禁止、限制的商品和技术)；电力生产，代购代销电力产品和设备；电子通信技术开发，生物技术产品开发，农业及综合技术开发；基础设施开发、房地产开发；家用电器及电子产品、机械电子设备、五金交电、建筑材料，百货、针纺织品、化工产品(不含危险化学品及易制毒化学品)、重油(不含成品油)、润滑油、燃料油(不含成品油)、金属材料的批发、零售；化肥的销售；对医疗业的投资及管理。批发兼零售预包装食品。企业管理咨询服务。,林腾蛟,福州市,公司是世界500强阳光控股投资，以房地产开发为主业的全国化品牌企业，业务涵盖地产开发、商业运营、物业服务三大领域。以“缔造品质生活”为企业使命，以“最受尊敬的成长性房地产企业”为愿景，阳光城集团定位“高成长性精品地产运营商”，通过“精准投资、高效运营、适销产品”三大核心竞争策略，贯彻开放、合作、共赢理念，稳健运营、持续进取，努力实现有质量的增长。公司在坚持地产主业的同时，灵活运用金融创新平台，实现中国领先的地产金融战略合作，在住宅地产的基础上，阳光城集团不断拓展商业地产、城市更新、存量资产、产业地产等高价值版图，并已形成独特的商业地产战略及成熟的运营团队，“阳光小镇”、“阳光天地”及“阳光荟”三大产品线日趋成熟，为公司实现聚合发展奠定了基础。,000671@yango.com.cn;sunshine000671@163.com,"主要业务:房地产开发,种业经营和商品贸易.",朱荣斌,福建,414038.3,徐慜婧,19910812,www.yango.com.cn,阳光城,2017,SZSE,SZSE,房地产,10410,-,房地产开发,10410010,19708569000,-17.51,-20.54,¥4.79,房地产,104,0.02,950200,6195300.0,2.18,10000.0,950200,2.18,2.18,1.0,8.17,6.35,7.17,-33.19,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753103
300806,2020Q4_1753119,江苏省太仓市青岛西路11号,研发、生产、销售：胶粘带制品、光学膜、多功能涂层复合薄膜、医疗器械、生物医用材料、石墨材料、纸质包装材料、普通货物运输、包装装潢印刷品印刷；自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)(依法须经批准的项目，经相关部门批准后方可开展经营活动),金闯,宿迁市,"公司成立于2006年6月21日,公司是国内领先的功能性涂层复合材料供应商。凭借多年持续高投入形成的创新研发、精密制造和快速市场响应能力，公司能够根据市场和客户的不同需求，利用自身的技术优势为客户提供高质量、高性能的功能性涂层复合材料产品和技术工艺支持。公司是国内少数在高分子材料聚合、涂层配方优化、功能结构设计、产品精密涂布以及新技术产业化应用等方面具有领先优势的高新技术企业。公司系国家发展和改革委员会认定的“涂层薄膜新材料开发与应用国家地方联合工程研究中心”，成立以来一直专注于功能性涂层复合材料的技术研发，致力于缩小与美国3M、德国德莎、日本日东等行业领导者的差距，实现进口替代。经过持续地研发投入，公司已在产品研发、生产工艺等方面取得了631项专利成果，其中发明专利161项。凭借多年持续投入所形成的创新研发能力和可靠的产品品质，公司已与苹果、华为、三星、松下、中兴、OPPO、LG等国内外知名企业建立了长期稳定的合作关系。",300806@sidike.com;wuxiaoyan@sidike.com;jindandan@sidike.com,"从事功能性涂层复合材料研发,生产,销售,主要产品包括功能性薄膜材料,电子级胶粘材料,热管理复合材料和薄膜包装材料四大类.",金闯,江苏,19000.7,吴晓艳,20060621,www.sidike.com,斯迪克,0,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,9755235000,55.89,60.51,¥50.83,基础材料,101,0.09,178880,5813600.0,2.04,10000.0,178880,2.04,2.04,1.6,47.38,28.91,34.97,45.35,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753119
000961,2020Q4_1753107,上海市长宁区天山西路1068号A栋9楼,房地产开发、销售(凭资质证书承接业务)；土木建筑工程施工，物业管理，实业投资；道路货运经营。,陈锦石,南通市,公司成立于1988年2月，现有员工60000余人，其中博士、硕士600余人，本科7000余人。公司业务涵盖房地产开发、工程总承包、海绵城市建设、地下管廊建造、市政工程、安装等领域，业务遍及全国20多个省、100多个地县级城市。中南置地是集团旗下房地产旗舰品牌，公司建构起“美好就现在”的企业理念，率先推出健康住宅标准体系，为全国100城、300个项目、80万业主提供健康、智慧、人文的新城市美好生活方式，位列“2019中国房企综合实力TOP17”，同时荣获“2018中国商业地产TOP10”、“2019中国房企品牌价值TOP18”等殊荣。公司是国家特一级资质企业，中国建筑企业500强第8名，荣获鲁班奖25项、特别鲁班奖1项、詹天佑奖15项，以及钢结构金奖、中国建筑装饰奖等国家级大奖计50余项，获得扬子杯、长城杯、白玉兰杯、泰山杯等省级优质工程奖100余项。,zhongnanconstruction@zhongnangroup.cn,主营业务:土木工程建筑和房地产开发.,陈昱含,江苏,382543.14,梁洁,19980728,www.zhongnangroup.cn,中南建设,2017,SZSE,SZSE,房地产,10410,-,房地产开发,10410010,22378774000,-17.11,-33.64,¥5.34,房地产,104,0.02,581600,5135500.0,1.8,10000.0,581600,1.8,1.8,1.0,10.17,8.55,9.29,-42.52,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753107
601318,2020Q4_1753155,"广东省深圳市福田区益田路5033号平安金融中心47,48,108,109,110,111,112层",(一)投资保险企业；(二)监督管理控股投资企业的各种国内、国际业务；(三)开展保险资金运用业务；(四)经批准开展国内、国际保险业务；(五)经中国保险监督管理委员会及国家有关部门批准的其他业务。,马明哲,深圳市,公司于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已发展成为融保险、银行、投资三大主营业务为一体、核心金融与互联网金融业务并行发展的个人金融生活服务集团之一。公司致力于成为国际领先的个人金融生活服务提供商，坚持“科技引领金融，金融服务生活”的理念，通过“综合金融+互联网”和“互联网+综合金融”两个模式，聚焦“大金融资产”和“大医疗健康”两大产业，围绕保险、银行、资产管理、互联网金融四大板块，为客户创造“专业，让生活更简单”的品牌体验。公司是国内金融牌照最齐全、业务范围最广泛、控股关系最紧密的个人金融生活服务集团之一。平安集团旗下子公司包括平安寿险、平安产险、平安养老险、平安健康险、平安银行、平安信托、平安证券、平安大华基金等，涵盖金融业各个领域，已发展成为中国少数能为客户同时提供保险、银行及投资等全方位金融产品和服务的金融企业之一。,PR@pingan.com.cn;IR@pingan.com.cn,"主营业务:以保险业务为核心,以统一品牌向客户提供包括保险,银行,证券,信托等多元化金融服务",谢永林,广东,1828024.14,盛瑞生,19880321,www.pingan.cn,中国平安,2012,SHSE,SHSE,保险,10340,-,人身保险,10340010,1100020382000,-19.03,-29.43,¥59.55,金融服务,103,0.0,53900,4688200.0,1.65,10000.0,53900,1.65,1.65,1.0,93.38,74.82,81.32,-26.77,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753155
600703,2020Q4_1753151,福建省厦门市思明区吕岭路1721号-1725号,1、电子工业技术研究、咨询服务；2、电子产品生产、销售；3、超高亮度发光二极管(LED)应用产品系统工程的安装、调试、维修；4、经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品及技术除外)；经营进料加工和“三来一补”业务。(法律法规规定必须办理审批许可才能从事的经营项目，必须在取得审批许可证明后方能营业)。,林志强,荆州市,公司是国家发改委批准的“国家高科技产业化示范工程”企业、工业和信息化部认定的“国家技术创新示范企业”，承担了国家“863”、“973”计划等多项重大课题，拥有国家人事部颁发的博士后科研工作站及国家认定的企业技术中心。公司主要从事全色系超高亮度LED外延片、芯片、Ⅲ-Ⅴ族化合物半导体材料、微波通讯集成电路与功率器件、光通讯元器件等的研发、生产与销售，产品性能指标居国际先进水平。公司凭借强大的企业实力，继2014年扩大LED外延芯片研发与制造产业化规模、同时投资集成电路产业，建设砷化镓高速半导体与氮化镓高功率半导体项目之后，2018年三安光电在福建泉州南安高新技术产业园区，斥资333亿元投资Ⅲ-Ⅴ族化合物半导体材料、LED外延、芯片、微波集成电路、光通讯、射频滤波器、电力电子、SIC材料及器件、特种封装等产业。,600703@sanan-e.cn,"主营业务:LED外延片及芯片的研发,生产和销售.",林科闯,湖北,407842.49,李雪炭,19930327,www.sanan-e.com,三安光电,2020,SHSE,SHSE,半导体,31130,-,半导体,31130020,139284470000,34.68,17.18,¥30.59,科技,311,0.0,145900,3940800.0,1.38,10000.0,145900,1.38,1.38,1.0,29.62,21.86,25.83,18.43,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1753151
