symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
002568,2020Q4_1752402,上海市浦东新区康桥工业区康桥东路558号,香精香料的制造加工。香精香料化工原料及产品批发零售；经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务(但国家限定公司经营或禁止进出口的商品及技术除外)，本企业包括本企业控股的成员企业。企业管理、投资与资产管理(涉及行政许可的，凭许可证经营)。,刘晓东,上海市,公司是国内最早将感官鉴评技术全面应用于调香及应用领域的香精制造企业之一。是国内最早同时通过ISO9001:2000质量管理体系及HACCP食品安全卫生保证体系认证的香精制造商之一。公司原主要从事香精香料的研发、生产和销售业务，经过对巴克斯酒业进行并购重组后，成为香精香料和预调鸡尾酒双主营业务发展的公司。公司拥有的“百润”是上海市著名商标、上海市名牌产品，百润股份是中国香精香料行业十强企业；巴克斯酒业旗下的“RIO(锐澳)”牌预调鸡尾酒为上海市著名商标、上海市名牌产品、上海名优食品，是预调鸡尾酒行业的领导品牌；两大品牌均获得客户的广泛认可，具有巨大的品牌价值。公司香精香料业务和预调酒鸡尾酒业务的品质保证体系均运行良好。,Angela.geng@bairun.net;bairun@bairun.net,"主要从事食用香精和烟用香精产品的研究,开发,生产与销售业务.主要产品为食用香精和烟用香精两大类千余种香精产品,是乳品,饮料,糖果,烘焙,冰品,肉制品,调味品和烟草等行业产品的重要配套原料.",刘晓东,上海,74978.51,耿涛,19970619,www.bairun.net,百润股份,2018,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,65121540000,11.22,18.48,¥84.90,基础材料,101,0.75,5600000,417161000,5.1,10000.0,5600000,5.1,5.1,1.4,74.49,31.98,47.66,78.14,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752402
300274,2020Q4_1752416,安徽省合肥市高新区习友路1699号,新能源发电设备、分布式电源，及其配套产品的研制、生产、销售、服务、系统集成及技术转让；新能源发电工程、制氢系统及新能源汽车充换电设施的设计、开发、投资、建设和经营；电力电子设备、电气传动及控制设备、不间断电源、储能电源、制氢设备、新能源汽车充换电设备及系统、电能质量控制装置的研制、生产及销售；货物或技术进出口(国家禁止或涉及行政审批的货物或技术进出口除外)。,曹仁贤,合肥市,公司是一家专注于太阳能、风能等可再生能源电源产品研发、生产、销售和服务的国家重点高新技术企业。公司是中国目前较大的光伏逆变器制造商、国内领先的风能变流器企业，拥有完全自主知识产权。主要产品有光伏逆变器、风能变流器、储能系统、电动车电机控制器，并致力于提供全球一流的光伏电站解决方案。公司先后承担多项国家重大科技计划项目，主持起草了多项国家标准，并取得了多项重要成果和专利。产品先后成功应用于上海世博会、北京奥运鸟巢、京沪高铁上海虹桥站、国家送电到乡工程、南疆铁路、青藏铁路等众多重大光伏和风力发电项目。公司先后荣获“国家重点新产品”、国家发改委“技术进步优秀项目奖”、“中国新能源企业30强”、“中国驰名商标”、“安徽著名商标”、全球新能源企业500强、国家级“守合同重信用”企业、安徽“最佳雇主”等荣誉，是国家级博士后科研工作站设站企业、国家高技术产业化示范基地、国家认定企业技术中心、《福布斯》“中国最具发展潜力企业”等。,dshms@sungrow.cn;kangml@sungrowpower.com,"主营业务是太阳能光伏逆变器,风能变流器及其它电力电源的研发,生产,销售和服务,为可再生能源发电行业用户提供系统解决方案.公司主要产品为光伏逆变器,风能变流器.",曹仁贤,安徽,145693.94,解小勇,20070711,www.sungrowpower.com,阳光电源,2019,SZSE,SZSE,工业制品,31070,-,电子器械和零件,31070060,184807166000,88.9,80.33,¥127.00,工业,310,0.32,4703600,339976200,4.15,10000.0,4703600,4.15,4.15,1.0,74.7,15.19,33.87,274.96,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752416
688111,2020Q4_1752461,北京市海淀区西二旗中路33号院小米科技园D栋,开发办公软件；销售自行研发的软件产品；计算机系统集成；技术服务、技术咨询；批发计算机软、硬件及辅助设备、通信产品，货物进出口、技术进出口；(不涉及国营贸易管理商品；涉及配额许可证管理商品的按照国家有关规定办理申请手续)，设计、制作、代理、发布广告。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。),邹涛,北京市,公司是国内领先的办公软件和服务提供商，主要从事WPS Office办公软件产品及服务的设计研发及销售推广。公司拥有办公软件领域30余年研发经验及技术积累，旗下主要产品及服务皆由公司自主研发，对核心技术具有自主知识产权。公司重点针对文字排版技术、电子表格计算技术、动画渲染技术、在线协同编辑、安全文档以及数据协同共享等多种关键技术进行深入研究，通过核心技术的突破，建立互联网云办公应用服务体系，创建智能办公新模式，全面提升用户体验。2018年12月，公司主要产品月度活跃用户数(MAU)超过3.10亿，其中WPS Office桌面版月度活跃用户数超过1.20亿，领先其他国产办公软件；WPSOffice移动版月度活跃用户数超过1.81亿；公司其他产品(如金山词霸等)月度活跃用户数接近0.10亿。WPS Office移动版已覆盖全球超过220个国家和地区，在全球Google Play、中国App Store的办公软件应用市场中排名前列，并持续保持领先地位。为适应客户的安全可靠需求，公司自主研发的WPS Office Linux版本已经全面支持国产整机平台(如：龙芯、飞腾、兆芯、申威等芯片)和国产操作系统，并在国家“十二五,Ir@wps.cn,"主要从事WPS Office办公软件产品及服务的设计研发及销售推广.公司产品主要包括WPS Office办公软件和金山词霸等,可在Windows,Linux,MacOS,Android,iOS等众多主流操作平台上应用;公司服务主要包括基于公司产品及相关文档的增值服务以及互联网广告推广服务,为客户提供一站式,多平台应用解决方案.",章庆元,北京,46100.0,宋涛,20111220,www.wps.cn,金山办公,0,SHSE,SHSE,软件,31110,-,软件应用,31110020,182776712000,31.87,-2.65,¥397.70,科技,311,0.19,880000,333241000,4.07,10000.0,880000,4.07,4.07,1.0,411.0,290.7,336.11,18.32,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752461
600298,2020Q4_1752443,湖北省宜昌市城东大道168号,食品加工用酵母及酵母类制品、酒曲、调味品、饮料、保健食品、食品添加剂、食品生产销售；特殊医学用途配方、特殊膳食食品的研发、生产、销售；乳制品(含婴幼儿配方乳粉)、日化用品销售；生化产品、日化用品原料的研制、开发、生产、销售(不含危险化学品、需持许可证经营的生化产品除外)；生化设备、自控仪表、电气微机工程的加工、安装、调试；货物进出口、技术进出口业务(国家限定进出口的货物及技术除外)；普通货运(涉及许可经营项目，应取得相关部门许可后方可经营)。片剂、颗粒剂、硬胶囊剂、原料药、干酵母制售(限持有效许可证的分支机构经营)。生产销售饲料、饲料添加剂(涉及许可经营项目，应取得相关部门许可后方可经营)；生产、销售肥料(含无机肥)、水溶肥料(不含危险化学品类肥料)。互联网信息服务(不包括新闻、出版、教育、药品和医疗器械以及电子公告服务等内容)；家用电器、厨房用具销售；一类、二类和三类体外诊断试剂(不含危险化学品、易制毒化学品)销售；设计、制作、代理、发布国内各类广告；技术开发、技术转让、技术服务、技术咨询、技术培训；检验检测服务；代理记账报税。,熊涛,宜昌市,公司是研究天然酵母，并进行规模化制造的专业化公司，酵母产业化水平在国内处于领先地位，是酵母行业唯一的高科技上市公司。公司主导产品包括面包酵母、酿酒酵母、酵母抽提物、营养健康产品、生物饲料添加剂等，产品广泛应用于烘焙食品、发酵面食、酿酒及酒精工业、食品调味、医药及营养保健、动物营养等领域。公司产品品种多、规格全，能提供5克至25千克各种规格的产品；销售到欧洲、美洲、澳洲、非洲、亚洲150多个国家和地区，可快速运输到指定的交货地。公司技术中心被认定为国家级企业技术中心，是全国“守合同、重信用”企业、中国人民银行AAA信誉等级企业。,zbj@angelyeast.com;gaolu@angelyeast.com;angel@angelyeast.com,"主要产品:公司主要产品包括:酵母及深加工产品,保健食品,特殊营养食品,烘焙原料,食品添加剂,乳制品,调味品等.",肖明华,湖北,83286.09,周帮俊,19980325,www.angelyeast.com,安琪酵母,2005,SHSE,SHSE,农副加工食品,20525,-,加工食品,20525040,44960378000,-6.06,7.29,¥52.92,非周期性消费,205,0.71,5883400,296939500,3.63,10000.0,5883400,3.63,3.63,1.0,62.88,45.6,51.3,3.16,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752443
603027,2020Q4_1752449,四川省眉山市东坡区城南岷家渡,生产、经营食品及食品添加剂、饲料及饲料添加剂；经营进出口业务；农副产品种植、加工、销售。,伍超群,眉山市,公司专业从事酱油、食醋等调味品的研发、生产和销售。目前形成了以酱油、食醋、料酒等为主的调味品产品系列和以焦糖色为主的食品添加剂产品系列。公司是全国农产品加工业示范企业，国家级两化融合管理体系贯标试点企业，中国调味品协会副会长单位，四川省博士后创新实践基地，四川省级企业技术中心和四川省优秀民营企业。公司的“千禾”牌酱油主要选用非转基因黄豆、非转基因食用大豆粕、有机黄豆、小麦/有机小麦为原料，采用先进的种曲机、管道连续蒸煮、圆盘制曲机等生产设备和工艺，按照高盐稀态发酵工艺，经过长时间发酵而制成纯酿造酱油。公司的“千禾”牌食醋主要采用传统酿造工艺，精选优质糯米、荞麦、小麦、高粱、玉米五种粮食生产的纯酿造食醋，并结合窖藏工艺生产窖醋。“千禾”商标是四川省著名商标，千禾牌酿造酱油、食醋为四川省名牌产品。公司是国内主要的焦糖色生产企业，“恒泰”商标是中国驰名商标。,irm@qianhefood.com,"专业从事酱油,食醋等调味品和焦糖色等食品添加剂的研发,生产和销售.公司形成了以酱油,食醋等为主的调味品产品和以焦糖色为主的食品添加剂产品系列.",伍超群,四川,79881.04,吕科霖,19960131,www.qianhefood.com,千禾味业,2020,SHSE,SHSE,农副加工食品,20525,-,加工食品,20525040,21823255000,-8.21,-11.6,¥27.44,非周期性消费,205,0.9,7200000,224279400,2.74,10000.0,7200000,2.74,2.74,1.2,27.61,15.07,20.56,33.46,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752449
000661,2020Q4_1752397,吉林省长春市同志街2400号火炬大厦5层,高新技术产品的开发、生产、销售及服务基础设施的开发建设、新药开发、技术转让、咨询服务；物业管理；高新成果转让及中介服务；商业供销业(国家有专项限制经营的商品除外)；餐饮、娱乐、旅馆(办时需许可)；培训；集中供热；产业投资(医药产业)(以上各项仅限分公司、子公司持证经营)。绿化景观工程设计、施工及维护、企业营销策划、广告策划、社会经济信息咨询、房地产中介服务、房屋销售代理(仅限分支机构持证经营)；企业管理咨询(以上各项国家法律法规禁止的不得经营；应经专项审批的项目未获得批准之前不得经营)*,马骥,长春市,公司于1993年6月成立，是东北地区最早的一批上市公司之一。公司主营业务以生物制药、中成药生产及销售为主，辅以房地产开发、物业管理等。上市多年来，公司凝炼并秉持“创新、专注、包容、共享”的发展理念，坚持以科技创新为源动力，主导产业成功实现由服务于开发区基础设施建设向生物制药及健康产业的转型，随着医药产业项目的成功孵化并壮大，支撑了经营业绩的快速增长，目前公司已成为国内生物医药领域具有一定技术领先优势的上市公司。,zds000661@163.com;zds@ccht.jl.cn;000661@ccht.jl.cn,"主要产品:基因重组人生长素,血栓心脉宁,冠脉宁.",姜云涛,吉林,40472.03,张德申,19930610,www.ccht.jl.cn,长春高新,2013,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,156738684000,-12.65,-12.45,¥380.20,医疗保健,206,0.11,450000,202020300,2.47,10000.0,450000,2.47,2.47,1.0,503.22,329.98,412.5,-7.83,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752397
002847,2020Q4_1752406,湖南省长沙市雨花区沙湾路运达中央广场写字楼A座32楼,预包装食品；干果、坚果、海味干货、散装食品、食品的销售；糕点、糖果及糖的批发；饼干及其他焙烤食品、糖果、巧克力、米、面制品、方便面及其他方便食品、蔬菜、水果罐头、熟食品、糕点、面包、豆制品的制造；食品的互联网销售；糕点、面包、熟食、进口食品的零售；肉制品及副产品、蔬菜、水果和坚果、鱼糜制品及水产品干腌制、蛋品的加工；收购农副产品；蜜饯制作；酱腌菜生产；自营和代理各类商品及技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；普通货物运输。(依法须经批准的项目，经相关部门批准后方可开展经营活动),张学武,长沙市,公司是一家专业从事食品科研、生产、加工、销售于一体的综合型企业。公司秉承“好零食，盐津造”的品牌理念，专业、专注于休闲食品行业，以具有地方特色的凉果蜜饯产品发轫，推陈出新，建立起中国传统特色小品类休闲食品全品类产品体系，主要包括休闲豆制品、凉果蜜饯、坚果炒货、休闲素食、休闲肉制品、糕点制品等“盐津铺子”系列产品。经过多年的发展，公司在原料配方、生产工艺、技术设备、质量标准、产品质量、品牌信誉方面达到了行业领先水平。以“直营商超主导、经销跟随”的营销网络发展理念，以点带面，形成了多层次、广覆盖、高效率的立体营销网络，销售区域覆盖全国31个省、自治区和直辖市，已经成为沃尔玛、家乐福、麦德龙、大润发等跨国超大型连锁超市，以及华润万家、步步高、人人乐、天虹百货、中百等国内知名连锁商超的核心供应商，是我国较具影响力、产品品类较为齐全的小品类休闲食品企业之一。,yjpzzqb@yanjinpuzi.com,"公司一直专业从事小品类休闲食品的研发,生产和销售.主要产品为“盐津铺子”品牌的休闲食品,包括休闲豆制品,凉果蜜饯,坚果炒货,休闲素食,休闲肉制品五大类近百种产品.",张学武,湖南,12936.0,朱正旺,20050804,www.yanjinpuzi.com,盐津铺子,2017,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,11136602000,-31.15,-20.99,¥77.48,非周期性消费,205,1.16,1500100,164173400,2.01,10000.0,1500100,2.01,2.01,1.0,152.83,93.5,125.66,-38.34,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752406
688408,2020Q4_1752464,,,,,,,,,,,,,,中信博,0,SHSE,SHSE,半导体,31130,-,太阳能,31130030,31095722000,74.99,32.66,¥229.25,科技,311,0.43,580100,99050200,1.21,10000.0,580100,1.21,1.21,1.0,187.25,77.8,133.72,71.44,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752464
300014,2020Q4_1752412,广东省惠州市仲恺高新区惠风七路38号,研发、生产、销售：锂一次电池、锂二次电池、锂聚合物电池、锂离子电池、锂电池(组)、锂离子蓄电池组、镍氢电池、镍镉电池、碱性电池、锌锰电池、动力电池系统和电池管理系统、锂电池(组)的充、放电设备、锂电池(组)配套维护设备、锂电池储能系统、电池材料，纳米新材料、水表、气表、电表的半成品及其配件制造，技术研发、开发及转让，货物进出口，房屋租赁，加工服务，设备租赁，物业管理，合同能源管理，锂电池相关技术咨询服务，电池相关的维修服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动。),刘金成,惠州市,公司是国家级高新技术企业，专注于锂电池的创新发展。经过多年的努力，公司锂亚电池居世界前列，锂原电池居国内领先地位。公司主营业务是锂原电池和锂离子电池的研发、生产、销售，也以客户需求为导向提供锂电池相关的配套产品和服务。近几年，公司聚焦动力、储能市场领域，采用高度自动化与信息化的生产方式，为客户提供一流产品和服务，已形成锂原电池、锂离子电池、电源系统等核心业务，产品覆盖智能电网、智能交通、智能安防，储能，新能源汽车，特种行业等市场。公司以“做世界上最好的锂电池，成为行业领先企业”为愿景，以市场为导向，以世界先进的技术与自动化的生产方式，致力于为社会提供高可靠性的锂电池，同时不断追求卓越，专注创新，致力于打造一流“智慧互联能源”方案提供商。,ir@evebattery.com,"主营业务:锂原电池和锂离子电池的研发,生产,销售,也以客户需求为导向提供锂电池相关的配套产品和服务.",刘建华,广东,188846.07,江敏,20011224,www.evebattery.com,亿纬锂能,2020,SZSE,SZSE,工业制品,31070,-,电子器械和零件,31070060,236615765000,71.31,55.77,¥122.97,工业,310,0.04,799900,65193100,0.8,10000.0,799900,0.8,0.8,1.0,81.5,44.85,57.56,113.64,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752412
600823,2020Q4_1752446,上海市浦东新区潍坊西路55号上海世茂大厦7楼,"实业投资，房地产综合开发经营，本公司商标特许经营，酒店管理，物业管理，货物进出口及技术进出口,针纺织品,服装鞋帽,日用百货,皮革制品,玩具,钟表眼镜,照相器材,文化用品,五金交电,日用化学品,建筑装潢材料，家具,金属材料,电子产品,办公用品,机械设备,工艺美术品,计算机硬件、软件的批发、零售(拍卖除外)。",刘赛飞,上海市,公司是世茂集团布局生态住宅、商业地产及旅游地产的三大业务板块之一，始终以“缔造精致商业”为己任，致力于商业地产的专业化销售和经营。历经十余年的探索和努力，公司现已成为国内商业地产的龙头企业。公司秉承“诚信、协作、创新、卓越”的企业精神，多年来立足于中国房地产高端市场，凭借先进的开发理念、优异的开发品质、完善的服务管理和独具特色的项目创意，先后成功开发了上海世茂湖滨花园、福州世茂外滩花园、绍兴世茂广场、福州世茂百货和苏州世茂国际影城等项目，为“世茂”品牌赢得了广泛的社会知名度和美誉度，形成了长三角、环渤海和海西地区为主的战略布局。,600823@shimaoco.com,"主营业务为专注于商业地产投资,开发与经营.",刘赛飞,上海,375116.83,俞峰,19920701,www.shimaoco.com,世茂股份,2018,SHSE,SHSE,房地产,10410,-,房地产开发,10410010,14815432000,-7.48,-14.1,¥3.77,房地产,104,0.27,10000000,46100000,0.56,10000.0,10000000,0.56,0.56,1.0,7.1,4.3,5.56,-32.19,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1752446
