symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
603960,2020Q4_1748953,上海市宝山区罗东路1555号,工业自动化设备、机电一体化设备及产品技术的“四技”服务；工业自动化生产系统设备，机电一体化产品及设备，电子控制及气动元器件，现代展示设备，设计，制造，安装，调试，维修，保养；从事货物及技术进出口业务;物业管理。(依法须经批准的项目，经相关部分批准后方可开展经营活动)。,谈士力,上海市,公司是柔性自动化装备与工业机器人系统应用供应商，致力于非标智能装备、工业机器人系统集成的研究、开发、制造，产品广泛应用于汽车、电子、轻工、机械等行业。公司产品可分为柔性自动化生产线与工业机器人系统应用两大类，主要应用在汽车电子、汽车内饰等领域；从设备功能上看，产品涵盖装配线、检测线、焊接线、喷涂线、折弯线等各类非标智能装备。随着业务经验与研发技术的积累，公司在数字化系统集成创新、柔性自动化生产线工装夹具的参数化与模块化设计、电驱动系统的精确分析计算与实验、快速成型与模拟仿真等环节理解力不断加深，在汽车领域做深、做强的基础上，凭借市场美誉度着手新的市场开拓。公司先后成为上海市小巨人培育企业和上海市高新技术企业，研发团队曾多次获上海市科技进步二等奖及三等奖，同时是上海市工业机器人协会的会员单位，上海市机器人学会副理事长单位。,kelai.jidian@sh-kelai.com,"主要产品:柔性自动化生产线与工业机器人系统.主要业务:现代机电智能装备,工业机器人系统集成的研究,开发,制造.",谈士力,上海,26094.45,曹卫红,20030530,www.sh-kelai.com,克来机电,2019,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,8249801000,23.13,-31.42,¥31.77,工业,310,0.29,753200,35362700,6.21,10000.0,753200,6.21,6.21,1.0,54.0,31.12,42.5,-25.25,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748953
300073,2020Q4_1748899,北京市丰台区南四环西路188号总部基地18区21号,生产锂离子电池正极材料、电子粉体材料和新型金属材料、非金属材料及其他新材料；研究开发、销售锂离子电池正极材料、电子粉体材料和新型金属材料、非金属材料及其他新材料、计算机、软件及辅助设备；技术咨询、技术服务，技术推广服务；租赁模切机械设备；组装计算机软、硬件及自动化产品机；货物进出口(涉及配额许可证、国营贸易、专项规定管理的商品按照国家有关规定办理)。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),陈彦彬,北京市,公司是一家新能源材料研发和生产的北京市高新技术企业，国内锂电正极材料的龙头企业，主要从事钴酸锂、多元材料及锰酸锂等小型锂电、动力锂电正极材料的研发、生产和销售。公司在湿法和火法两项技术方面的集成创新能力使得公司成为国内外少数几家能快速推出系列化多元材料的公司之一，部分锂电正极材料产品的质量达到了国际先进水平。公司是国内率先出口锂电正极材料的供应商，国际前6大锂电巨头中拥有5家客户，包括三星SDI、LG化学、三洋能源、深圳比克和比亚迪等。此外，在电子陶瓷业，氧化钴、氧化铋的市场份额连续多年在国内居于领先地位。,securities@easpring.com,"本公司的主营业务属于新能源材料领域,主要从事钴酸锂,多元材料及锰酸锂等小型锂电,动力锂电正极材料的研发,生产和销售业务.公司主要产品是小型锂电,动力锂电正极材料,包括钴酸锂,多元材料,锰酸锂三个系列.",陈彦彬,北京,45362.05,邹纯格,19980603,www.easpring.com.cn,当升科技,0,SZSE,SZSE,工业制品,31070,-,电子器械和零件,31070060,34359460000,62.77,21.58,¥74.06,工业,310,0.1,459800,29818000,5.24,10000.0,459800,5.24,5.24,1.0,64.85,30.85,44.57,66.17,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748899
600438,2020Q4_1748938,四川省成都市高新区天府大道中段588号“通威国际中心”,饲料加工；水产品加工；屠宰及肉类加工；食品制造业；兽用药品制造；农林牧渔专用机械制造；化学原料和化学制品制造业；光伏设备及元器件制造；电池制造；燃气、太阳能及类似能源家用器具制造；计算机制造；非金属矿物制品业；(以上经营项目仅限分支机构经营)渔业、畜牧业；畜牧服务业、渔业服务业；兽药经营；太阳能发电；电力供应；电气安装；工程设计；科技推广和应用服务业；废弃资源综合利用业；环境治理业；商品批发和零售；租赁业和商业服务业；进出口业；互联网信息服务。,谢毅,成都市,公司以饲料工业为主，同时涉足水产研究、水产养殖、动物保健、食品加工等相关领域的大型农业科技型上市公司，系农业产业化国家重点龙头企业。公司发展农业和新能源两大主业，其中农业主业以饲料工业为核心，全力延伸和完善水产及畜禽产业链条。同时，在新能源主业方面，公司已成为拥有从上游高纯晶硅生产、中游高效太阳能电池片生产、到终端光伏电站建设的垂直一体化光伏企业，已形成拥有自主知识产权的完整光伏新能源产业链条，并成为中国乃至全球光伏新能源产业发展的核心参与者和主要推动力量。近年来，并先后获得“中国驰名商标”、“中国名牌”等多项殊荣。,zqb@tongwei.com;yank@tongwei.com;lihy05@tongwei.com,"水产饲料,畜禽饲料等的研究,生产和销售,多晶硅,太阳能电池的研发,生产,销售",郭异忠,四川,450154.82,严轲,19951208,www.tongwei.com.cn,通威股份,2016,SHSE,SHSE,农副加工食品,20525,-,农产品,20525020,179058444000,25.99,5.8,¥38.77,非周期性消费,205,0.01,657600,25278100,4.44,10000.0,657600,4.44,4.44,1.0,40.58,19.01,27.52,40.88,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748938
601888,2020Q4_1748945,北京市东城区东直门外小街甲2号A座8层,旅游服务及旅游商品相关项目的投资与管理，旅游服务配套设施的开发、改造与经营，旅游产业研究与咨询服务等。,彭辉,北京市,公司所属行业为旅游业，目前主要从事旅行社业务和免税业务，其中旅行社业务主要包括入境游、出境游、国内游、会奖旅游、签证服务、商旅服务、航空服务、电子商务等业务；免税业务主要包括烟酒、香化等免税商品的批发、零售等业务。此外，公司还从事旅游综合项目开发业务，主要包括旅游综合项目投资开发、旅游景区景点投资开发和旅游股权投资等业务。公司下属全资子公司国旅总社、中免公司及国旅投资公司分别负责公司的旅行社业务、免税业务、旅游综合项目投资开发业务。,citszq@citsgroup.com.cn,旅行社业务和免税业务.,陈国强,北京,195247.55,常筑军,20080328,www.citsgroup.net,中国中免,2011,SHSE,SHSE,旅游和娱乐,10290,-,旅游服务,10290050,554230378000,1.01,1.23,¥275.18,周期性消费,102,0.0,56500,15958400,2.8,10000.0,56500,2.8,2.8,1.0,282.45,166.14,207.58,32.57,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748945
603185,2020Q4_1748947,江苏省无锡市滨湖区雪浪街道南湖中路158号,数控机床、通用机床、自动化控制设备、检测设备、金属结构件、机床零部件及配件的制造、加工、销售；五金加工；数控软件的开发；自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动),杨建良,无锡市,公司是国内首家为开发太阳能硅片配套的专用数控磨床、专用倒角机和切断锯床的企业。主营业务为各类精密数控机床、通用机床的研发、设计、制造、销售和服务。公司主要产品有缝纫机曲轴磨床、轧辊磨床、光伏专用平面磨床、数控金刚石带锯床、数控轧辊磨床等产品，并承接各种类型的非标专用磨床、大型、重型磨床的设计和制造。公司通过了ISO9001：2000质量管理体系认证，ISO14001：2004环境管理体系认证，产品被评为“江苏省高新技术产品、，江苏省名牌产品”。工厂被评为无锡市重合同守信用企业、无锡市高新技术企业、江苏省民营科技企业、国家级高新技术企业。,wxsjzqb@163.com,"公司定位于高端智能化装备制造领域,是一家专业从事精密机床的研发,生产和销售的高新技术企业.根据产品类别和应用领域的划分,公司产品分为高硬脆材料专用加工设备和通用磨床设备两大类别.作为国内领先的高硬脆材料专用加工设备供应商,公司产品涵盖了高硬脆材料开方,截断,磨面,滚圆,倒角,切片等核心加工步骤,主要应用于光伏,蓝宝石等领域.此外,公司产品还包括通用磨床设备,广泛应用于汽车,航空,船舶,家电,冶金,模具等行业的机械加工.",杨建良,江苏,27525.37,庄柯杰,20020928,www.wuxisj.com,上机数控,2019,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,66608140000,102.67,76.48,¥238.80,工业,310,0.04,110600,15312600,2.69,10000.0,110600,2.69,2.69,1.0,152.2,49.2,79.31,201.1,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748947
601689,2020Q4_1748944,浙江省宁波市北仑区大碶街道育王山路268号,一般项目：汽车零部件研发；汽车零部件及配件制造；汽车零配件批发；合成纤维制造；合成纤维销售；产业用纺织制成品制造；产业用纺织制成品销售；模具制造；模具销售；专用设备制造(不含许可类专业设备制造)；机械设备销售。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可项目：货物进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准),邬建树,宁波市,公司主要从事汽车NVH(即减震降噪及舒适性控制)领域橡胶减震产品和隔音产品的研发、生产与销售，致力于消除来自于汽车动力总成、路面及空气的振动与噪声，提升整车的舒适性及平顺性。公司在汽车NVH领域的技术及研发水平位居国内前列，是国内为数不多的具备整车同步研发能力的NVH零部件供应商之一，也是国内较早进入全球整车配套零部件采购体系的自主品牌汽车零部件生产企业。近年来，公司凭借一流的研发能力、生产工艺及制造水平已逐步获得国际汽车界的认可，先后进入通用汽车、克莱斯勒、奥迪、宝马等知名汽车制造商的全球研发体系及零部件采购体系，逐渐成长为面向国际、国内两个市场，专业化和规模化的汽车NVH零部件系统集成供应商。公司的同步研发及系统集成能力符合世界知名整车制造商全球采购的技术指标，具有较强的国际竞争力。研发中心被认定为“宁波市企业工程(技术)中心”，“省级高新技术企业研究开发中心”，研发中心下设的“产品测试中心”符合ISO/IEC17025实验室检测能力标准，成为“国家级测试中心”。,tuopu@tuopu.com;wmz@tuopu.com;gyc@tuopu.com,"本公司主要从事汽车NVH(即减震降噪及舒适性控制)领域橡胶减震产品和隔音产品的研发,生产与销售,致力于消除来自于汽车动力总成,路面及空气的振动与噪声,提升整车的舒适性及平顺性.公司产品包括汽车橡胶减震产品和隔音产品两大类,划分为悬置,扭震,衬套和汽车隔音件等四大系列,共3,000多个品种.",王斌,浙江,110204.66,王明臻,20040422,www.tuopu.com,拓普集团,2020,SHSE,SHSE,汽车和配件,10200,-,汽车配件,10200030,36125060000,-4.71,-14.2,¥32.60,周期性消费,102,0.03,371200,14265200,2.51,10000.0,371200,2.51,2.51,1.0,43.29,32.5,37.82,-13.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748944
000001,2020Q4_1748879,"广东省深圳市罗湖区深南东路5047号,中国广东省深圳市福田区益田路5023号平安金融中心B座",(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)从事同业拆借；(九)买卖、代理买卖外汇；(十)从事银行卡业务；(十一)提供信用证服务及担保；(十二)代理收付款项及代理保险业务；(十三)提供保管箱服务；(十四)结汇、售汇业务；(十五)离岸银行业务；(十六)资产托管业务；(十七)办理黄金业务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经有关监管机构批准的其他业务。,谢永林,深圳市,公司是深圳发展银行股份有限公司以吸收合并原平安银行股份有限公司的方式完成两行整合并更名后的银行，是全国性股份制商业银行。公司自2016年开始全面向零售银行转型，全力打造智能化零售银行，大力推进精品公司银行双轻化.综合金融是公司的特色优势，公司依托庞大的个人客户基础、强大的品牌影响力、广泛的分销网络和完备的综合金融产品体系，为全面推进零售转型、打造领先的智能化零售银行提供了强大的核心竞争力支持。在对公业务领域，公司利用大数据技术打造领先的中小企业数据征信平台，利用先进的IT系统打造橙e网、行E通、黄金银行等传统业务的新优势，提升对公司客户的数字化服务能力。,PAB_db@pingan.com.cn,"主要业务:贷款,拆借,存放等同业业务,债券投资.",胡跃飞,广东,1940591.82,周强,19871222,bank.pingan.com,平安银行,0,SZSE,SZSE,银行,10320,-,区域性银行,10320020,417991903000,7.18,12.67,¥21.33,金融服务,103,0.0,627800,12141700,2.13,10000.0,627800,2.13,2.13,1.0,20.05,13.22,16.38,30.22,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748879
002833,2020Q4_1748891,广东省广州市黄埔区云埔工业区云开路3号,木材加工机械制造；金属结构制造；工业自动控制系统装置制造；通用机械设备销售；电子产品批发；软件开发；货物进出口(专营专控商品除外)；技术进出口；自有房地产经营活动。,李茂洪,广州市,公司自设立以来专注于板式家具机械设备的研发、生产和销售，通过对木工机械这一传统行业中的产品技术创新和经营模式创新得到快速发展，在技术研发能力、产品质量控制、品牌影响力、成本控制等方面形成了较强的竞争优势，公司连续多年在行业内综合竞争力评估中名列前茅。公司所在行业正处于国内产业集中度低、优势企业快速成长的阶段，行业未来发展面临着良好的政策环境和广阔的市场前景，公司将继续提升核心竞争优势，推进公司持续稳健发展。,investor@kdtmac.com,"主营业务为数控板式家具机械设备的研发,生产和销售.其中自动封边机,数控裁板锯,自动多排钻和木材加工中心等产品是公司的核心产品.",李茂洪,广东,30302.0,许丽君,20061117,www.kdtmac.com,弘亚数控,2019,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,10216578000,-1.57,11.15,¥34.43,工业,310,0.12,370300,11525100,2.02,10000.0,370300,2.02,2.02,1.4,37.32,17.97,28.67,20.09,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748891
600486,2020Q4_1748939,江苏省扬州市文峰路39号,司经营范围：许可经营项目：农药的制造、加工(按批准证书、生产许可证经营)；一般经营项目：精细化工产品的制造、加工，精细化工产品、农药的技术开发、应用服务，自营和代理各类商品及技术的进出口。,覃衡德,扬州市,公司为国家重点高新技术企业，中国拟除虫菊酯类农药生产基地，全国化工企业环境保护先进单位。公司积极发展环境友好型农药，现拥有省拟除虫菊酯类农药工程研究中心、省农药清洁生产技术重点实验室、全国农药标准化技术委员会拟除虫菊酯工作组等创新平台。公司以振兴民族菊酯工业为己任，坚持自主创新，实施名牌战略，积极推进我国农药产业结构升级。现已形成以菊酯为核心，农药为主导，精细化学品为补充的多元化产品格局。“墨菊”被认定为“江苏省重点培育和发展的国际知名品牌”，入选“江苏省双百品牌”产品，子公司获得“绿色工厂”称号。,stockcom@yngf.com;yngf@yngf.com,"主要产品:卫生用菊酯,农用菊酯.",吴孝举,江苏,30989.89,吴孝举,19991210,www.yngf.com,扬农化工,2020,SHSE,SHSE,农业,10110,-,农业,10110010,35180183000,-1.33,-12.6,¥110.75,基础材料,101,0.02,72600,9583200,1.68,10000.0,72600,1.68,1.68,1.0,132.0,80.0,98.75,12.15,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748939
600570,2020Q4_1748941,浙江省杭州市滨江区江南大道3588号恒生大厦,计算机软件的技术开发、咨询、服务、成果转让；计算机系统集成；自动化控制工程设计、承包、安装；计算机及配件的销售；电子设备、通讯设备、计算机硬件及外部设备的生产、销售；自有房屋的租赁；本企业自产产品及技术的出口业务：经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品及技术除外)；经营进料加工和“三来一补”业务。经政府有关部门批准并办理工商登记手续，公司可另开设业务发展所需的投资与经营项目，扩大经营范围。,彭政纲,杭州市,公司是中国领先的金融软件和网络服务供应商。公司聚焦于财富资产管理，致力于为证券、期货、基金、信托、保险、银行、交易所、私募等机构提供整体的解决方案和服务，为个人投资者提供财富管理工具。多年来，公司以技术服务为核心，凭借多年金融IT建设经验，以及对互联网的深刻洞察和理解，用优质的产品与服务，驱动金融机构创新发展。同时，公司还积极履行企业社会责任，在投资者教育、扶贫济困、关爱自闭症儿童等领域持续贡献力量，实现企业与社会共同可持续发展。,investor@hundsun.com,"主要产品:软件及服务,系统集成,硬件销售.",刘曙峰,浙江,80314.67,童晨晖,20001213,www.hundsun.com,恒生电子,2017,SHSE,SHSE,软件,31110,-,软件应用,31110020,90414390000,4.62,-17.54,¥63.16,科技,311,0.01,87700,9196400,1.62,10000.0,87700,1.62,1.62,1.0,120.5,85.41,100.39,-37.09,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748941
