symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
603416,2020Q4_1748459,江苏省无锡市滨湖区滴翠路100号创意产业园7号楼4楼,许可经营项目：无一般经营项目：电气机械及器材、工业自动控制系统装置的开发、制造、销售；工业自动化控制软件的技术开发、技术转让、技术咨询和技术服务；自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。,李新,无锡市,公司作为中国工控市场最早的参与者之一，长期专注于机械设备制造行业自动化水平的提高。主要产品有可编程控制器(PLC)、人机界面(HMI)、伺服控制系统、变频驱动、智能机器视觉系统、工业机器人等产品系列及整套自动化装备。产品广泛应用于各种自动化领域，包括航空航天、太阳能、风电、核电、隧道工程、纺织机械、数控机床、动力设备、煤矿设备、中央空调、环保工程等控制相关的行业和领域。公司致力于工控产品的研发、生产和销售，为工控领域和自动化行业的高新技术企业。公司是江苏省高新技术企业，先后被评为江苏省民营科技企业、无锡市领军型创新企业、“2012年度无锡市十佳物联网企业”。公司“无锡信捷电气股份有限公司工业自动化智能控制技术研究院”，获得了“江苏省工程技术研究中心”、“江苏省企业技术中心”的资质认定。,zqb@xinje.com,"主营业务:主营工业自动化控制产品的研发,生产和销售,为OEM自动化行业提供智能控制系统解决方案.主要产品:包括可编程控制器(PLC),人机界面(HMI),变频器,伺服系统,机器视觉.公司在小型PLC领域为市场份额排名靠前的内资企业,同时具备为工厂自动化(FA)领域客户提供“整体工控自动化解决方案”的能力.",李新,江苏,14056.0,陈世恒,20080422,www.xinje.com,XD信捷电,2017,SHSE,SHSE,硬件,31120,-,电子元件,31120040,9214895000,2.4,-27.59,¥66.74,科技,311,0.88,1242600,112878600,10.93,10000.0,1242600,10.93,10.93,1.0,108.29,41.0,78.37,-14.84,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748459
601166,2020Q4_1748454,福建省福州市湖东路154号,(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)代理发行股票以外的有价证券；(九)买卖、代理买卖股票以外的有价证券；(十)资产托管业务；(十一)从事同业拆借；(十二)买卖、代理买卖外汇；(十三)结汇、售汇业务；(十四)从事银行卡业务；(十五)提供信用证服务及担保；(十六)代理收付款项及代理保险业务；(十七)提供保管箱服务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经国务院银行业监督管理机构批准的其他业务。,陶以平,福州市,公司成立于1988年8月，总行设在福建省福州市，是经国务院、中国人民银行批准成立的首批股份制商业银行之一。公司先后成立兴业信托、兴业金融租赁、兴业基金、兴业消费金融、兴业研究、兴业数字金融、兴业资产管理等机构，成为拥有最多金融牌照的商业银行之一，从单一银行已逐步演进为以银行为母体，涵盖信托、租赁、基金、消费金融、期货、资产管理、研究咨询、数字金融等在内的现代金融服务集团。旗下公司茁壮成长，部分子公司如兴业信托、兴业租赁、兴业基金等已跻身行业主流阵营。作为中国首家赤道银行和绿色金融的拓荒者、领跑者，公司在国内最早建立专业团队十年深耕绿色金融，已建成覆盖绿色融资、绿色租赁、绿色信托、绿色基金、绿色投资、绿色消费等多个领域的集团绿色产品服务体系。,irm@cib.com.cn,主营业务:商业银行业务,陶以平,福建,2077419.08,陈信健,19880822,www.cib.com.cn,兴业银行,2011,SHSE,SHSE,银行,10320,-,区域性银行,10320020,429791332000,3.61,3.51,¥20.45,金融服务,103,0.01,2980800,62208600,6.03,10000.0,2980800,6.03,6.03,1.0,21.6,15.54,17.66,15.8,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748454
603799,2020Q4_1748460,浙江省嘉兴市桐乡市经济开发区二期梧振东路18号,研发、生产、销售：钴、镍、铜氧化物，钴、镍、铜盐类，钴、镍、铜金属及制品，钴粉，镍粉，铜粉，氢氧化钴，钴酸锂，氯化铵；金属矿产品和粗制品进口及进口佣金代理，生产设备进口及进口佣金代理。(上述涉及配额、许可证及专项规定管理的商品按国家有关规定办理)，对外承包工程业务(范围详见《中华人民共和国对外承包工程资格证书》)。,陈雪华,嘉兴市,公司是一家专注于钴、铜有色金属冶炼及钴新材料产品深加工的高新技术企业，产品主要用于锂离子电池正极材料、航空航天高温合金、硬质合金、色釉料、磁性材料、橡胶粘合剂和石化催化剂等领域。公司始终坚持科技创新和科学管理。在钴铜湿法工艺、钴新材料、环境保护领域拥有了中国一流的自主核心技术，通过了ISO9000、ISO14000、OHSAS18000、GB/T19022和GB/T15496管理体系的认证，为公司做强做大钴产业提供了坚实保障。公司经过十多年的发展积淀，完成了总部在桐乡、资源保障在非洲、制造基地在衢州、市场在全球的空间布局。形成了自有矿产资源为保障，钴新材料为核心，铜、镍产品为辅助，集采、选、冶、新材料深加工于一体的纵向一体化产业结构。,information@huayou.com;wgp@huayou.com;lirui@huayou.com,"主营业务:主要从事钴,铜有色金属采,选,冶及钴新材料产品的深加工与销售.主要产品:公司主导产品为四氧化三钴,氧化钴,碳酸钴,氢氧化钴和硫酸钴等钴产品;由于矿料原料中铜钴伴生的特性及业务拓展原因,公司还生产,销售电积铜,粗铜等铜产品.",陈红良,浙江,121290.44,李瑞,20020522,www.huayou.com,华友钴业,0,SHSE,SHSE,金属与开采,10150,-,其他工业金属与开采,10150030,161095661000,89.31,75.8,¥135.48,基础材料,101,0.05,621800,49311800,4.78,10000.0,621800,4.78,4.78,1.0,79.3,33.93,45.77,196.0,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748460
300788,2020Q4_1748410,北京市朝阳区惠新东街甲4号8-10层,经营互联网信息服务不含新闻、出版、教育、医疗保健、药品和医疗器械、电子公告服务；围绕中信公司业务，出版金融贸易、生产技术方面的图书，以及围绕国际市场的发展趋向，出版介绍国际经济发展、国际市场预测的图书；图书、报纸、期刊、电子出版物、音像制品批发、零售、网上销售；财经、文化、生活类电子出版物出版；出版财经、文化、生活类音像制品；同本公司出版范围一致的互联网图书、手机图书出版。设计、制作图书广告，利用本出版社出版的图书发布广告；办公用品、百货、工艺美术品、电子产品的销售；承办展览展示；会议服务；营销策划；管理咨询；社会经济咨询；演出经纪；广播电视节目制作经营；信息网络传播视听节目。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,王斌,北京市,公司是一家在国内具有较强影响力和较大规模的综合文化服务提供商，公司定位于为社会大众提供知识服务及文化消费，主营图书出版与发行、书店零售及其他文化增值服务，致力于以优质内容和创意资源垂直整合文化、生活、教育及娱乐等领域，打造以“内容+”为核心的优质知识产权服务生态集群，建立以用户为中心的立体知识服务体系和聚焦于都市人群阅读与文化生活需求的智慧生活服务体系，公司具有国家新闻出版署颁发的图书出版、发行、零售以及网络传播全牌照，坚持把社会效益放在首位，实现社会效益和经济效益相统一，积极策划了“中国道路”系列、“一带一路”系列、“投资中国”书系等主题图书与重点项目，所出版的《薛暮桥年谱》、《丝绸之路文化丛书》入选国家“十三五”重点图书、音像、电子出版物出版规划项目，《南京大屠杀》入选中宣部与原国家新闻出版广电总局纪念中国人民抗日战争暨世界反法西斯战争胜利70周年重点主题出版工程项目。,IR@citicpub.com,"图书出版与发行,书店零售业务及其他文化增值服务",陈炜,北京,19015.15,王丹军,19930216,press.citic,中信出版,0,SZSE,SZSE,传媒,30820,-,出版,30820020,6731631000,-15.29,-14.71,¥35.45,通信服务,308,0.61,1161200,49244500,4.77,10000.0,1161200,4.77,4.77,1.0,52.29,41.17,45.67,-22.38,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748410
000568,2020Q4_1748390,四川省泸州市南光路泸州老窖营销网络指挥中心,酒类产品的生产、销售(白酒、葡萄酒及果酒、啤酒、其他酒等)。进出口经营业务；技术推广服务；发酵制品生产及销售；销售：汽车配件、建材及化工原料。,刘淼,泸州市,公司是具有400多年酿酒历史的国有控股上市公司。公司以专业化白酒产品设计、生产、销售为主要经营模式，主营“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售，主要综合指标位于白酒行业前列。公司实施“双品牌塑造，多品牌运作”的品牌战略，构建起五大战略单品的金字塔品牌结构：国窖1573定位为中国白酒超高端品牌是塔尖，百年泸州老窖窖龄酒、泸州老窖特曲定位为商务与宴会用酒第一品牌组成塔柱，泸州老窖头曲和二曲为大众市场覆盖的第一品牌构筑塔基，并积极拓展养生酒产品和预调酒产品，开展以消费者需求为主导的定制酒业务。公司坚持以“全心全意酿酒、一心一意奉献”为宗旨，敬人敬业，创新卓越，努力实现市场占有领先、公司治理领先、品牌文化领先、质量技术领先、人才资源领先，酿造世界最好的白酒，为客户提供最优质的服务，把泸州老窖建成全球酒类市场中的航空母舰，形成融入经济全球化的大型现代企业，追求“在中国灿烂名酒文化熏陶中，全人类共享幸福美满的生活”。,lzlj@lzlj.com;dsb@lzlj.com,主要产品:“泸州老窖”系列酒.,林锋,四川,146475.25,王洪波,19950503,www.lzlj.com,泸州老窖,2015,SZSE,SZSE,酒精饮料,20510,-,其他酒类,20510020,329776153000,-1.44,0.88,¥222.20,非周期性消费,205,0.01,166600,37678300,3.65,10000.0,166600,3.65,3.65,1.0,226.16,107.48,156.17,42.28,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748390
002601,2020Q4_1748394,河南省焦作市中站区冯封办事处,经营本企业自产产品及相关技术的进出口业务；但国家限定公司经营或禁止进出口的商品及技术除外，化工产品(不含化学危险品及易燃易爆品)的生产、销售；铁肥销售；硫酸60万吨/年的生产(生产场所：中站区佰利联园区内)、销售(仅限在本厂区范围内销售本企业生产的硫酸)；氧化钪生产；设备、房产、土地的租赁。(依法须经批准的项目，经相关部门批准后方可开展经营活动),许刚,焦作市,公司是一家致力于钛、锆精细粉体材料研发和制造的大型无机精细化工集团。集团目前已形成河南焦作、四川德阳、攀枝花、湖北襄阳等多个生产基地，主营钛白粉产能大，规模居亚洲榜首，其产品畅销亚太、拉美、北美、欧洲、中东和非洲等百余个国家和地区。公司是“全国守合同重信用企业”、“国家级高新技术企业”、“国家技术创新示范企业”、“国家矿产资源综合利用示范基地”、“国家绿色矿山”等，“雪莲”商标和“蟒”商标荣获中国驰名商标。,002601@lomonbillions.com;zht@lomonbillions.com,"主营业务为钛白粉,锆制品和硫酸铝等产品的生产与销售.主要产品为钛白粉系列产品,锆制品和硫酸铝等.",许刚,河南,223961.03,张海涛,19980820,www.lomonbillions.com,龙蟒佰利,2019,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,77615527000,14.78,9.03,¥32.41,基础材料,101,0.04,978300,30102300,2.92,10000.0,978300,2.92,2.92,1.0,34.4,24.41,29.55,9.68,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748394
603100,2020Q4_1748456,重庆市北部新区黄山大道中段61号,自动化控制系统集成及工程成套、环境分析仪器及工程成套、仪器仪表、电气自动化系统及装置、高低压电气设备、自动化仪器仪表成套装置和控制盘、台、箱、柜及相关产品、电缆桥架及相关产品、空气净化设备及配件的设计、制造、销售及其技术咨询服务、技术服务；阀门的设计、制造、销售、检修与维护及其技术咨询服务；医疗器械的设计、制造、销售及技术咨询服务(限分支机构凭许可证经营)；计算机及计算机网络的开发、应用及其技术咨询服务；混合集成电路及微电子器件、功能材料及元件、汽车、摩托车零部件(不含汽车发动机、摩托车发动机)、普通机械设计、制造、销售及其技术咨询服务；轨道交通设备及零部件的设计、制造销售及技术咨询服务；轨道交通设备工程配套、系统集成、安装调试、运营维护、管理及技术咨询服务；环保设备的设计、制造销售、系统集成、安装调试及其技术咨询服务；市政、环保工程系统成套的设计、运营维护、安装调试、管理及其技术咨询服务；贵金属、有色金属及合金的熔炼、加工、制造销售及技术咨询服务；粉末冶金制品的制造、销售；金属废料和碎屑加工处理。(涉及许可经营的凭有效许可证经营),吴朋,重庆市,"公司设立于1999年11月，其前身是1965年从上海、江苏、辽宁等地内迁重庆的四川热工仪表总厂，是上世纪六十年代国家重点布局的三大仪器仪表制造基地之一。公司主要生产和经营工业自动化仪表及控制装置，所处的工业自动控制系统装置制造业跨装备制造和电子信息两大领域，其整体发展水平不仅体现国家综合科技实力，也维系着国民经济可持续发展和国家经济安全，是高新技术改造传统产业、推进新型工业化、实施智能制造、实现产业升级以及促进节能减排、环境保护、转变经济发展方式的重要技术手段和支撑，是21世纪大国竞争的基础性、战略性产业。公司产品主要服务于石油、电力、冶金、化工、建材等国民经济支柱产业以及核电、市政环保、城市轨道交通等新兴领域。面向未来,公司将努力构建体制完备、技术领先、运转高效、管理科学、效益良好的上市公司,打造具有国际竞争力和持续创新能力的全球自动化仪表领先企业。",yangli@cqcy.com;wangyanyan@cqcy.com;cyzqb@cqcy.com,"主要产品:智能执行机构,智能变送器,智能调节阀,智能流量仪表,温度仪表,控制设备及装置和分析仪器等7大类单项产品以及系统集成及总包服务.主营业务:工业自动控制系统装置及工程成套.",刘长明,重庆,39500.0,杨利,19991101,www.cqcy.com,川仪股份,2017,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,7054951000,35.9,61.44,¥18.09,工业,310,0.63,2496100,28156100,2.73,10000.0,2496100,2.73,2.73,1.0,13.8,8.03,10.47,72.78,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748456
300896,2020Q4_1748434,北京市朝阳区建国路甲92号世茂大厦C座21层,药品、生物制品、医疗器械、化妆品的技术开发、转让；新型药用辅料的开发、生产；生产化妆品；货物进出口、技术进出口、代理进出口；企业管理咨询(不含中介服务)；销售(含网上销售)医疗器械、化妆品；批发、零售(含网上销售)食品；批发(含网上销售)药品。生产医疗器械III类：III-6846-1植入器材。(该公司2018年10月17日前为内资企业，于2018年10月17日变更为外商投资企业；批发、零售(含网上销售)食品、批发(含网上销售)药品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动)(经营场所：北京市平谷区中关村科技园区平谷园马坊工业园区马坊镇金平西路20号院)。,简军,北京市,公司是国内生物医用软组织修复材料领域的创新型领先企业。公司立足于生物医用材料的研发和转化，致力于重组蛋白和多肽等生物医药的开发，已成功实现注射类透明质酸钠系列产品及聚对二氧环己酮面部埋植线的产业化，并建立了医用几丁糖、聚乳酸等生物医用材料的产品技术转化平台，产品临床应用涵盖医疗美容、外科修复以及代谢疾病治疗等领域。公司是首家取得国家药监局批准用于面部软组织修复的注射用透明质酸钠医疗器械产品注册证书的国内企业。截至报告期末，公司已拥有五款获国家药监局批准的III类注射用透明质酸钠系列产品，为获得国家药监局批准的同类产品最多的企业。公司五款产品在配方组份、注射部位、注射体验等方面有所不同，能够满足多个细分市场的消费需求。此外，公司已于2019年5月取得聚对二氧环己酮面部埋植线的III类医疗器械注册证书，为首款取得国家药监局批准的面部埋植线产品。公司重视研发投入和产品开发，是国家级高新技术企业，建有生物可降解新材料北京市工程实验室。公司作为牵头单位参与了国家科学技术部“十三五”规划国家重点研发计划“新型颌面软硬组织修复材料研发”项目。截至报告期末，公司拥有32项专利，其中发明专利18项。,ir@imeik.com,"公司立足于生物医用材料的研发和转化,致力于重组蛋白和多肽等生物医药的开发,公司自主研发的产品主要针对面部,颈部褶皱皮肤的修复.",石毅峰,北京,21636.0,简勇,20040609,www.imeik.net,爱美客,0,SZSE,SZSE,医疗器械,20650,-,医疗器械和供给,20650020,172349410000,57.0,121.06,¥773.15,医疗保健,206,0.03,71820,26108400,2.53,10000.0,71820,2.53,2.53,1.8,363.9,183.33,295.83,161.35,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748434
603298,2020Q4_1748458,浙江省杭州市临安区相府路666号,观光车、牵引车、搬运车、托盘堆垛车、集装箱正面吊运起重机、叉车及配件的制造(凭有效许可证经营)。智能搬运机器人、自动化设备制造，观光车、牵引车、搬运车、托盘堆垛车、集装箱正面吊运起重机、叉车、轻小型起重设备及配件、智能搬运机器人、自动化设备的销售，特种设备的修理，叉车、工程机械、机电设备、智能搬运机器人的租赁，经营进出口业务，实业投资，物业管理，经济技术信息咨询，智能物流系统、自动化项目的集成，技术服务及工程实施，特种设备设计，特种设备安装改造维修，特种设备检验检测服务，特种作业人员安全技术培训，建筑工程用机械制造，建筑工程用机械销售。(含下属分支机构经营范围)(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,赵礼敏,杭州市,公司主营业务为叉车等工业车辆的研发、生产和销售，主要产品包括内燃叉车、电动叉车及其他工业车辆。公司凭借多年在叉车及其他工业车辆领域的专业化经营，现已具备1～45吨内燃叉车、0.75～8.5吨电动叉车、1～8吨内燃牵引车、2～25吨电动牵引车等多系列、多品种工业车辆的生产能力。公司是高新技术企业、浙江省装备制造业重点培育企业、博士后科研工作站试点单位，拥有国家认定企业技术中心和国家认可实验室。公司现已成为中国叉车行业的龙头企业。公司产品畅销国内，并远销俄罗斯、巴西、波兰、法国、土耳其、美国等全球130多个国家和地区。,hmh@zjhc.cn;hcjt@zjhc.cn;csm@zjhc.cn,"主营业务为叉车等工业车辆的研发,生产和销售,主要产品包括内燃叉车,电动叉车及其他工业车辆.",赵礼敏,浙江,86639.59,陈赛民,20030506,www.zjhc.cn,杭叉集团,2017,SHSE,SHSE,农用和重型工程机械,31050,-,农用和重型工程机械,31050010,14901820000,-24.55,-16.33,¥17.31,工业,310,0.14,1217100,25570700,2.48,10000.0,1217100,2.48,2.48,1.0,22.55,11.35,17.05,1.52,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748458
600563,2020Q4_1748451,福建省厦门市新园路99号,1、薄膜电容器及其金属化镀膜材料的制造；2、研究、开发各类型的高新科技电子基础元器件及相关配套件；高新技术转让；3、批发机械电子设备、日用百货、纺织品、五金交电化工、建筑材料、工艺美术品(不含金银首饰)；4、机电产品、轻工业品、化工产品的进出口和代理业务；本企业自产产品的出口及生产所需物资的进口；加工贸易业务。,严春光,厦门市,公司是一家专业从事薄膜电容器和薄膜电容器用金属化膜制造与研发的上市公司。公司通过了IATF16949、ISO9001、ISO14001、OHSAS18001等标准认证，拥有实力雄厚的研发中心和经验丰富的技术服务团队，年产45亿只薄膜电容器及2500吨金属化膜。公司以技术、质量和服务等竞争优势获得了客户的认可，为各类整机客户如照明、通讯、家电、工业控制、新能源汽车等提供薄膜电容器“一站式”解决方案。,cy@faratronic.com.cn;wangyong@faratronic.com.cn;zangzhe@faratronioc.com.cn,"主要产品:薄膜电容器,变压器及金属化膜等.",陈国彬,福建,22500.0,陈宇,19981212,www.faratronic.com,法拉电子,2009,SHSE,SHSE,硬件,31120,-,电子元件,31120040,40631941000,63.75,70.12,¥178.30,科技,311,0.08,189700,20400900,1.98,10000.0,189700,1.98,1.98,1.0,108.2,56.7,77.52,130.01,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748451
