symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
600690,2020Q4_1748608,山东省青岛市崂山区海尔信息产业园内,电器、电子产品、机械产品、通讯设备及相关配件、工业自动化控制设备、计算机软硬件及辅助设备的研发与制造；家用电器及电子产品技术咨询服务；进出口业务(按外经贸部核准范围经营)；批发零售：国内商业(国家禁止商品除外)；从事数字科技、智能科技、软件科技；技术开发、技术咨询、技术转让、技术服务(包含工业互联网及家电产品等)；数据处理；应用软件开发及服务；先进控制与优化技术的开发与应用研究；矿泉水制造、饮食、旅游服务(限分支机构经营)；企业管理服务及咨询、信息技术服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,梁海山,青岛市,海尔智家股份有限公司成立于1984年，1993年11月19日，海尔智家在上海证券交易所上市，是中国最早上市的公司之一，也是最早入选上证180成分股指数的蓝筹股公司之一，并于2019年被纳入MSCI全球指数。2018年10月24日，海尔智家成功在德国法兰克福交易所主板发行D股。2020年12月23日，海尔智家成功在香港主板上市。至此，海尔智家实现“A+D+H”三地上市，构建与全球化运营同步的全球资本平台。公司始终秉承“以用户为是，以自己为非”的理念，坚持创业、创新精神，不断适应时代的发展。公司坚持海外自主创牌，通过自身的持续耕耘与行业整合，先后收购日本三洋白电业、美国GE家电业务、新西兰Fisher&Paykel业务，持股墨西哥MABE48.41%股权、收购意大利Candy公司，构建“研发、制造、营销”三位一体的全球化竞争力，通过不断优化资源整合能力、发挥全球战略协同优势，实现“海尔、卡萨帝、统帅、美国GE Appliances、新西兰Fisher&Paykel、日本AQUA、意大利Candy”七大世界级品牌布局与全球化运营。面对物联网时代的机遇和挑战，海尔智家坚持智慧家庭战略，紧跟时代脚步，推进物联网生态转型,finance@haier.com;Y.sun@haier.de;ir@haier.hk,"主要产品:电冰箱,空调器.",李华刚,山东,940892.9,明国珍,19940331,smart-home.haier.com,海尔智家,2016,SHSE,SHSE,硬件,31120,-,消费类电子产品,31120030,241077123000,-13.46,-6.71,¥26.77,科技,311,0.07,6661500,194581400.0,9.23,10000.0,6661500,9.23,9.23,1.0,30.4,16.26,23.49,13.96,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748608
603218,2020Q4_1748614,浙江省宁波市鄞州区东吴镇北村村,重型机械配件、金属铸件的制造、加工及相关技术和服务的咨询；自营和代理各类商品和技术的进出口(不含分销)，但国家限定或禁止进出口的商品和技术除外。(依法须经批准的项目，经相关部门批准后方可开展经营活动),傅明康,宁波市,公司是一家专业从事铸造研发、生产、销售、服务为一体的民营上市公司，同时也是高新技术重工企业。始建于1984年，经过多次重组改制，建立了科学的机制和体制，以铸造大型及特大型重大装备铸件为主。目前公司正处于高速发展期，已成为装备先进、技术力量雄厚、多品种、批量生产的国内最大的铸造生产企业之一，以生产“厚大断面球铁铸件”见长，处于铸造行业的龙头地位。公司与清华大学、湖南大学等高校联合共建了一个省级企业工程技术中心。公司的铸造技术中心被认定为浙江省省级企业技术中心，公司开发的“注塑机厚大断面球铁模板铸件”被列入国家火炬项目。公司拥有国家级认可实验中心、省级企业技术中心、博士后科研工作站。通过了ISO9001、ISO14001、OHSAS18000体系认证，并通过了中国、美国、意大利、英国、法国、挪威等船用产品生产工厂认证。,dsh_2@riyuehi.com,"主营业务:大型重工装备铸件的研发,生产和销售,主要为风力发电,塑料机械,船舶动力以及加工中心等下游行业提供铸件产品配套.主要产品:风电铸件,塑料机械铸件和柴油机铸件,加工中心铸件等其他铸件,主要用于装配能源,通用机械,海洋工程等领域重工装备.",傅明康,浙江,96760.4,王烨,20071213,www.riyuehi.com,日月股份,2017,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,27209971000,-14.99,-4.96,¥27.00,工业,310,0.46,4428000,133947799.99999999,6.35,10000.0,4428000,6.35,6.35,1.0,32.38,17.65,23.15,16.63,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748614
000026,2020Q4_1748534,广东省深圳市南山区高新南一道飞亚达科技大厦20楼,生产经营各种指针式机械表、石英表及其机芯、零部件、各种计时仪器，加工批发K金首饰表、智能手表；国内商业、物资供销(不含专营、专控、专卖商品)；物业管理及物业租赁；设计服务；自营进出口业务。,黄勇峰,深圳市,公司是中国钟表行业的旗舰企业，中国境内表业上市公司，系中航工业集团下属中航国际深圳公司的主要投资企业之一。公司以品牌战略为统领，专注于钟表行业，主要从事世界名表零售和自有品牌钟表的研发、设计、制造和销售业务。名表零售业务方面，旗下的“亨吉利世界名表中心”是国内统一商号名表连锁网络，已发展为高端钟表零售业务的领军品牌之一。自有产品品牌方面，已形成飞亚达表、高端品牌、时尚品牌为主的“三色堇”产品品牌构架，基本完成了在研发、设计、关键零部件生产制造、分销、零售等重要价值环节的全产业链布局。公司长期致力于精密计时腕表技术研发与应用，拥有先进的研发生产技术和制造工艺平台。,investor@fiyta.com.cn,"主要业务:钟表及其零配件的设计开发,制造,销售和维修,包括“飞亚达”表的产品经营和世界名表的商业连锁销售;以及飞亚达大厦的物业经营.",潘波,广东,43555.05,陈卓,19900330,www.fiytagroup.com,飞亚达,2020,SZSE,SZSE,零售,10280,-,奢侈品,10280040,5702564000,-4.02,29.73,¥14.08,周期性消费,102,1.72,7472400,85409900.0,4.05,10000.0,7472400,4.05,4.05,1.0,19.11,8.93,14.39,-2.15,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748534
600409,2020Q4_1748605,河北省唐山市南堡开发区,纯碱、食用添加剂碳酸钠、轻质碳酸钙生产、销售；工业液体氯化钙、工业二水氯化钙、无水氯化钙、融雪剂生产和销售；粉煤灰、炉渣、脱硫石膏销售；熟石膏、盐石膏的生产和销售，利用工业副产石膏制备的α型高强石膏粉、建筑石膏粉、无水石膏粉以及复配的各种磨具石膏粉的生产和销售，以上产品的加工工艺技术开发、应用配方的研发及技术成果的转让服务；经营本企业自产产品和技术的出口业务和本企业所需的原辅材料、机械设备、零配件及技术的进口业务，但国家限定公司经营和禁止进出口的商品及技术除外；化工机械设备制造、维修(许可项目除外)、销售及相关技术服务；普通货运；货物装卸；两碱工业盐销售；房屋租赁；煤炭批发、电力销售业务；火力发电；热力生产和供应；饮料生产和销售；工业用水的生产和销售。,王春生,唐山市,公司是一家具有特色循环经济模式的集团型企业，是全国纯碱和化纤行业的知名企业。公司主导产品“三友”牌纯碱先后荣获“河北省免检产品”和“中国名牌”等多项荣誉称号，销售市场覆盖全国多个省、市、自治区，并远销亚、非、拉美、澳多个国家和地区。公司将遵循科学发展观，开发建设碱渣、盐泥压滤及综合治理项目，逐步走向资源节约型、环境友好型、可持续的发展道路。公司牢固树立科学发展观，认真落实五大发展理念，充分发扬“创业守成，事在人为”的企业精神，一直秉承“产品链接、工艺衔接、资源集约、产业集群”的循环经济发展理念，现已由成立之初单一纯碱业务发展成为具有“两碱一化”(纯碱、氯碱、化纤)特色循环经济模式的集团型企业，实现了从无机化工向有机化工、从基础化工向精细化工的转型升级。,zhengquanbu@sanyou-chem.cn,主营业务:纯碱和氯化钙产品的生产与销售.,王铁英,河北,206434.94,刘印江,19991228,www.sanyou-chem.com.cn,三友化工,2020,SHSE,SHSE,化工,10130,-,特种化学制品,10130020,25284866000,15.71,23.27,¥12.97,基础材料,101,0.38,7904100,81017000.0,3.84,10000.0,7904100,3.84,3.84,1.0,10.25,4.79,7.11,82.42,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748605
002949,2020Q4_1748546,广东省深圳市福田区福田保税区市花路盈福高科技厂房四层B厂房,工程设计及咨询；工程监理；项目管理；工程总承包及所需设备材料的采购和销售；兴办实业(具体项目另行申报)；经营进出口业务。(以上内容法律、行政法规、国务院决定禁止的项目除外，限制的项目取得许可后方可经营)。,唐崇武,深圳市,公司是一家建筑设计公司，致力于建筑设计全过程服务，具有完整的团队配置和丰富的行业经验。主要业务涵盖城市规划、建筑设计(居住建筑、公共建筑、商业综合体)、建筑产业化设计与咨询、BIM设计与咨询、工程造价与咨询。根据客户需求为其提供概念设计、方案设计、初步设计、施工图设计、施工配合的全过程或分阶段的设计等专业技术服务及咨询。公司具有建筑行业(建筑工程)甲级资质、工程造价咨询甲级资质以及城乡规划乙级资质，可从事资质证书许可范围内所有建筑工程设计总承包业务、项目管理及技术管理和咨询服务，提供全流程的设计服务。建筑设计业务类型主要包括民用建筑设计和工业建筑设计，目前本公司业务主要集中在民用建筑设计领域。公司是国家高新技术企业、建筑设计行业首家“国家住宅产业化基地”、首批“装配式建筑产业基地”、首批“全过程工程咨询试点单位”。,hygj@capol.cn,"主营业务为建筑设计和研发及其延伸业务,目前主要包括建筑设计,造价咨询,工程总承包,全过程工程咨询等业务.",储倩,广东,19603.45,徐清平,19930809,www.capol.cn,华阳国际,2020,SZSE,SZSE,建筑,31040,-,土木工程和建筑,31040010,3357960000,-7.81,-6.19,¥16.84,工业,310,1.59,3114100,58389100.0,2.77,10000.0,3114100,2.77,2.77,1.0,36.25,16.9,26.16,-35.63,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748546
000333,2020Q4_1748535,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,生产经营家用电器、电机及其零部件；从事家用电器、家电原材料及零配件的进出口、批发及加工业务(不设店铺，不涉及国营贸易管理商品，涉及配额、许可证管理商品的按国家规定办理)；信息技术服务；为企业提供投资顾问及管理服务；计算机软件、硬件开发；家电产品的安装、维修及售后服务；工业产品设计；酒店管理；广告代理；物业管理；企业所需的工程和技术研究、开发及其销售和推广；对金融业进行投资。(经营范围涉及行政许可的项目须凭有效许可证或批准证明经营),方洪波,佛山市,公司是一家消费电器、暖通空调、机器人与自动化系统、智能供应链(物流)的科技集团，提供多元化的产品种类与服务，包括以厨房家电、冰箱、洗衣机、及各类小家电为核心的消费电器业务；以家用空调、中央空调、供暖及通风系统为核心的暖通空调业务；以库卡集团、美的机器人公司等为核心的机器人及自动化系统业务;以安得智联为集成解决方案服务平台的智能供应链业务。公司以“科技尽善，生活尽美”为企业愿景，将“联动人与万物，启迪美的世界”作为使命，恪守“敢知未来——志存高远、务实奋进、包容共协、变革创新”的价值观，整合全球资源，推动技术创新，每年为全球超过3亿用户、及各领域的重要客户与战略合作伙伴提供满意的产品和服务，致力创造美好生活。,IR@midea.com,"以家电产业为主,涉足电机,物流等领域,旗下分为四大业务板块,分别为大家电,小家电,电机及物流",方洪波,广东,704515.93,江鹏,20000407,www.midea.com,美的集团,2014,SZSE,SZSE,家具制造,10220,-,家具制造,10220010,504918392000,-9.25,-26.09,¥69.70,周期性消费,102,0.01,506300,49840200.0,2.36,10000.0,506300,2.36,2.36,1.0,98.44,61.19,76.9,-9.36,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748535
002001,2020Q4_1748540,浙江省绍兴市新昌县七星街道新昌大道西路418号,原料药(范围详见《药品生产许可证》)、食品添加剂(生产凭有效许可证)、饲料添加剂及单一饲料的生产、销售，危险化学品的生产(范围详见《安全生产许可证》)，危险化学品的批发(范围详见《危险化学品经营许可证》)，非药品类易制毒化学品的销售(范围详见《非药品类易制毒化学品经营备案证明》)。有机化工产品(不含危险品及易制毒化学品)的生产销售，经营进出口业务、检验检测技术服务。,胡柏藩,绍兴市,公司是一家专业生产原料药、药品、食品添加剂、饲料添加剂、香精香料的国家级重点高新技术企业，是深交所中小企业板的第一股。公司自1999年创办以来，始终专注于精细化工，坚持创新驱动和均衡、永续发展理念，在营养品、香精香料、原料药、高分子新材料等领域，为全球100多个国家和地区的客户在动物营养、人类营养、医药、生命健康、环保、工程塑料等方面提供解决方案，以优质健康和绿色环保的产品不断改善人类生活品质，为利益相关方创造可持续的价值。公司已与国内外行业龙头企业建立了紧密的合作关系，成为国际知名医药和化妆品公司信赖和认可的品牌，并跻身中国医药工业百强、中国上市公司百强，正朝着中国新和成、世界新和成的目标迈进。,sgq@cnhu.com;002001@cnhu.com,"主要从事维生素,香料香精,医药中间体等系列产品的生产和销售.主要产品系以基础石油化工产品为原材料,通过化学合成,纯化,萃取等一系列化学反应生成,按其性质可分为三大系列:维生素系列,香料香精系列和医药中间体.",胡柏剡,浙江,257839.48,石观群,19990405,www.cnhu.com,新和成,2020,SZSE,SZSE,医药制造,20620,-,专用医药制造,20620020,71968710000,-5.32,2.13,¥28.37,医疗保健,206,0.07,1679640,47141900.0,2.23,10000.0,1679640,2.23,2.23,1.2,28.07,23.38,26.1,8.7,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748540
600399,2020Q4_1748604,辽宁省抚顺市望花区鞍山路东段8号,经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务(国家限定公司经营或禁止进出口的商品及技术除外)，钢冶炼、压延钢加工，冶金技术服务，工业气体(含液体)制造、销售，设备安装、冶金设备维修和制造、机械加工与铆焊制作、电器维修、钢结构架制造、机电设备技术咨询、钢材销售、窑炉维修。(依法须经批准的项目，经相关部门批准后方可开展经营活动。),季永新,抚顺市,公司是东北特钢集团旗下最重要的生产基地之一，是中国不可替代的国防军工、航空航天等高科技领域使用特殊钢材料的生产研发基地。公司以特殊钢和合金材料的研发制造为主营业务，主要产品为合金结构钢、工模具钢、不锈钢和高温合金。公司产品广泛应用于机械、汽车、军工、化工、家电、船舶、交通、铁路以及新兴产业等国民经济大部分行业。公司经营模式为传统的特殊钢和合金材料研发、制造和销售模式。在技术质量上，保持了稳定的军工材料科研试制、生产组织和质量管理体系，从而使军工材料质量长期稳定。公司多项产品多次荣获国家、、省市级奖项，其中“合金制备技术研发及应用”获得冶金科学技术奖三等奖及省科技进步奖，“耐蚀模具钢”获得卓越产品奖，“超超临界汽轮机叶片钢纯净化冶炼技术及应用”等获得市科技进步奖3项，“高温合金合金棒材”等获得金杯奖4项，“热作模具钢锻制大扁钢”获得特优质量奖1项。,fstg@fs-ss.com;zhaoyue@fs-ss.com,"主要产品:合金结构钢,工模具钢,不锈钢和高温合金.主要业务:特殊钢和合金材料的研发制造.",孙立国,辽宁,197210.0,祁勇,19990607,www.fs-ss.com,抚顺特钢,0,SHSE,SHSE,钢铁和焦煤,10160,-,钢铁,10160020,37316688000,39.46,27.38,¥19.68,基础材料,101,0.1,2000000,29800000.0,1.41,10000.0,2000000,1.41,1.41,1.0,15.3,4.02,8.45,132.9,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748604
000813,2020Q4_1748537,北京市朝阳区工体东路乙2号美林大厦10层,化学原料药、化学药制剂、抗生素原料药、抗生素制剂、中成药、食品、保健食品、化妆品的研发(不含国家保护资源的中药材、中成药秘方产品的研发)、批发、进出口及相关配套业务(不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请)；制造原料药、注射剂(水针、冻干粉针)、片剂、胶囊剂、滴眼剂、散剂；经营本企业和成员企业自产产品及技术出口业务；本企业和成员企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进出口业务；经营进料加工和“三来一补”业务；医药生物制品的技术开发、技术咨询、技术服务、技术转让。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。)(最终以工商部门核准内容为准)。,张湧,乌鲁木齐市,公司是我国首批也是新疆和纺织行业第一家中外合资企业。公司原是以毛纺织业务和矿业业务作为公司主营业务。2016年，公司通过重大资产重组，将原有盈利能力较弱的毛纺织及矿业业务和资产置出公司，同时置入盈利能力较强、发展潜力巨大的优质资产，转型进入医药行业，主营业务转变为药品的研发、生产和销售。公司将通过加大研发投资加强在心脑血管、肿瘤等领域新产品开发，有效缩短企业新产品的开发周期，降低新产品在技术和市场方面的风险，进一步提升公司从研发至产业化全过程的综合实力。,dzjkzqb@163.com;dysong@163.com;x818@163.com,"主营业务:药品的研发,生产和销售",刘伟,新疆,224148.18,杜业松,19810101,www.dezhanhealthcare.com,德展健康,0,SZSE,SZSE,服饰加工,10240,-,纺织加工,10240010,9638163000,0.67,2.26,¥4.26,周期性消费,102,0.03,735100,3256500.0,0.15,10000.0,735100,0.15,0.15,1.0,7.23,4.03,6.31,-32.49,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748537
601995,2020Q4_1748613,北京市朝阳区建国门外大街1号国贸大厦2座27层及28层,一、人民币特种股票、人民币普通股票、境外发行股票，境内外政府债券、公司债券和企业债券的经纪业务；二、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的自营业务；三、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的承销业务；四、基金的发起和管理；五、企业重组、收购与合并顾问；六、项目融资顾问；七、投资顾问及其他顾问业务；八、外汇买卖；九、境外企业、境内外商投资企业的外汇资产管理；十、同业拆借；十一、客户资产管理。十二、网上证券委托业务；十三、融资融券业务；十四、代销金融产品；十五、证券投资基金代销；十六、为期货公司提供中间介绍业务；十七、证券投资基金托管业务；十八、经金融监管机构批准的其他业务。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),沈如军,北京市,"公司是由国内外著名金融机构和公司基于战略合作关系共同投资组建的中国第一家中外合资投资银行。公司自1995年成立以来，一直致力于为客户提供高质量金融增值服务，业务范围覆盖宏观经济、证券和市场研究、股权与债务发行与承销、兼并收购财务顾问、股本销售交易、固定收益、自营投资、资产管理、财富管理、直接投资、证券投资咨询等诸多领域。公司总部设在北京，在境内设有多家子公司，在上海和深圳设有分公司，在北京、上海、深圳等多个城市设有证券营业部。公司亦积极开拓海外市场，随着业务范围的不断拓展，已在中国香港、纽约、伦敦和新加坡设有子公司,在品牌、客户、业务布局、人才、专业能力、运营管理等方面建立了独特的竞争优势，并在业内获得广泛认可。公司在《亚洲金融》《机构投资者》《亚洲货币》等知名媒体评选中屡获“中国最佳投资银行”、“最佳销售服务团队”、“最具影响力研究机构”等殊荣。同时，公司始终坚持依法合规经营，重视风险管理，建立了良好的规范运作和内部控制机制。自2007年中国证监会推出证券公司分类监管起的13年中，公司有12年获得证券公司被授予过的最高评级A类AA级评级，是累计获得A类AA级评级次数最多的证券公司。",investorrelations@cicc.com.cn,"主要业务包括投资银行业务,销售交易业务,自营投资业务,财富管理业务,资产管理业务,直接投资业务,研究平台,国际业务等.",黄朝晖,北京,482725.69,孙男,19950731,www.cicc.com,中金公司,0,SHSE,SHSE,资本市场,10330,-,资本市场,10330010,203278669000,19.8,-23.97,¥58.48,金融服务,103,0.0,25000,1714400.0,0.08,10000.0,25000,0.08,0.08,1.0,75.27,37.7,60.77,-3.77,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1748613
