symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
600600,2020Q4_1750150,山东省青岛市香港中路五四广场青啤大厦,生产啤酒；预包装食品销售；生产饮料、威士忌、蒸馏酒。,黄克兴,青岛市,公司经营范围是啤酒制造、销售以及与之相关的业务。目前公司在国内拥有62家全资和控股的啤酒生产企业，及2家联营及合营啤酒生产企业，分布于全国20个省、直辖市、自治区，规模和市场份额居国内啤酒行业领先地位。其生产的青岛啤酒为国际市场上最具知名度的中国品牌，已行销世界100个国家和地区。目前，青岛啤酒远销美国、加拿大、英国、法国、德国、意大利、澳大利亚、韩国、日本、丹麦、俄罗斯等世界90多个国家和区域。全球啤酒行业权威报告Barth Report依据产量排名，青岛啤酒为世界第五大啤酒厂商。,secretary@tsingtao.com.cn;info@tsingtao.com.cn,主要产品:啤酒.,,山东,136447.68,张瑞祥,19951227,www.tsingtao.com.cn,青岛啤酒,2017,SHSE,SHSE,酒精饮料,20510,-,啤酒,20510010,114770067000,16.86,2.22,¥98.22,非周期性消费,205,0.03,355900,35373100.0,3.17,10000.0,355900,3.17,3.17,1.0,107.52,74.15,88.91,10.47,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750150
600588,2020Q4_1750149,北京市海淀区北清路68号,电子计算机软件、硬件及外部设备的技术开发、技术咨询、技术转让、技术服务、技术培训；计算机系统集成；销售打印纸和计算机耗材；物业管理；企业管理咨询；数据库服务；销售电子计算机软硬件及外部设备；设计、制作、代理、发布广告；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；出租办公用房；零售图书；互联网数据中心业务(机房所在地为北京、南昌)、互联网接入服务业务(北京、南昌)、信息服务业务(不含互联网信息服务)(全国)(增值电信业务经营许可证有效期至2025年06月18日)；互联网信息服务。(市场主体依法自主选择经营项目，开展经营活动；互联网信息服务、互联网数据中心业务(机房所在地为北京、南昌)、互联网接入服务业务(北京、南昌)、信息服务业务(不含互联网信息服务)(全国)以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。)(公司经营范围以市场监督管理机关核准的经营范围为准。),王文京,北京市,公司是领先的综合型、融合化、生态式的企业服务提供商，致力于服务中国及全球企业与公共组织的数字化转型与智能化发展，推动企业服务产业变革，用创想与技术推动商业和社会进步。基于移动互联网、云计算、大数据、社交等先进技术，用友UAP私有云平台是中国大型企业和公共组织应用最广泛的企业计算平台，畅捷通公有云平台在小微企业和各类企业公共应用服务中得到运用。中国及亚太地区超过400万家企业与公共组织通过使用用友软件和云服务，实现精细管理、敏捷经营、业务创新。公司连续多年被评定为国家“规划布局内重点软件企业”，“用友ERP管理软件”系“中国名牌产品”，“用友”系中国驰名商标，公司拥有系统集成一级资质，获中国绿色公司百强。,ir@yonyou.com,"主要产品:软件销售,技术服务及培训,软件配套用品销售.",王文京,北京,327053.15,齐麟,19950118,www.yonyou.com,用友网络,2017,SHSE,SHSE,软件,31110,-,软件应用,31110020,106094311000,-10.19,-25.48,¥32.00,科技,311,0.01,305700,13411900.0,1.2,10000.0,305700,1.2,1.2,1.0,52.65,37.61,43.95,-27.19,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750149
689009,2020Q4_1750176,,,,,,,,,,,,,,九号公司,0,SHSE,SHSE,旅游和娱乐,10290,-,娱乐,10290020,4416113000,-0.95,-25.86,¥64.13,周期性消费,102,0.16,109900,7666400.0,0.69,10000.0,109900,0.69,0.69,1.0,86.65,47.6,70.75,-9.36,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750176
601995,2020Q4_1750153,北京市朝阳区建国门外大街1号国贸大厦2座27层及28层,一、人民币特种股票、人民币普通股票、境外发行股票，境内外政府债券、公司债券和企业债券的经纪业务；二、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的自营业务；三、人民币普通股票、人民币特种股票、境外发行股票，境内外政府债券、公司债券和企业债券的承销业务；四、基金的发起和管理；五、企业重组、收购与合并顾问；六、项目融资顾问；七、投资顾问及其他顾问业务；八、外汇买卖；九、境外企业、境内外商投资企业的外汇资产管理；十、同业拆借；十一、客户资产管理。十二、网上证券委托业务；十三、融资融券业务；十四、代销金融产品；十五、证券投资基金代销；十六、为期货公司提供中间介绍业务；十七、证券投资基金托管业务；十八、经金融监管机构批准的其他业务。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),沈如军,北京市,"公司是由国内外著名金融机构和公司基于战略合作关系共同投资组建的中国第一家中外合资投资银行。公司自1995年成立以来，一直致力于为客户提供高质量金融增值服务，业务范围覆盖宏观经济、证券和市场研究、股权与债务发行与承销、兼并收购财务顾问、股本销售交易、固定收益、自营投资、资产管理、财富管理、直接投资、证券投资咨询等诸多领域。公司总部设在北京，在境内设有多家子公司，在上海和深圳设有分公司，在北京、上海、深圳等多个城市设有证券营业部。公司亦积极开拓海外市场，随着业务范围的不断拓展，已在中国香港、纽约、伦敦和新加坡设有子公司,在品牌、客户、业务布局、人才、专业能力、运营管理等方面建立了独特的竞争优势，并在业内获得广泛认可。公司在《亚洲金融》《机构投资者》《亚洲货币》等知名媒体评选中屡获“中国最佳投资银行”、“最佳销售服务团队”、“最具影响力研究机构”等殊荣。同时，公司始终坚持依法合规经营，重视风险管理，建立了良好的规范运作和内部控制机制。自2007年中国证监会推出证券公司分类监管起的13年中，公司有12年获得证券公司被授予过的最高评级A类AA级评级，是累计获得A类AA级评级次数最多的证券公司。",investorrelations@cicc.com.cn,"主要业务包括投资银行业务,销售交易业务,自营投资业务,财富管理业务,资产管理业务,直接投资业务,研究平台,国际业务等.",黄朝晖,北京,482725.69,孙男,19950731,www.cicc.com,中金公司,0,SHSE,SHSE,资本市场,10330,-,资本市场,10330010,203278669000,19.8,-23.97,¥58.31,金融服务,103,0.0,25000,1714400.0,0.15,10000.0,25000,0.15,0.15,1.0,75.27,37.7,60.77,-4.05,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750153
300866,2020Q4_1750114,湖南省长沙市岳麓区高新开发区尖山路39号长沙中电软件园有限公司一期七栋7楼701室,电子产品、电源设备、智能化技术、通讯产品、影像设备、人脸识别系统、积分管理软件、智能机器的研发；基础软件、支撑软件、应用软件、地理信息软件的开发；电子产品及配件、智能机器的销售；软件技术转让；软件技术服务；电子商务平台的开发建设；计算机网络平台的开发及建设；软件开发系统集成服务；贸易咨询服务；信息技术咨询服务；电子产品设计服务；电子技术服务；电子产品生产(限分支机构)；智能机器生产(限分支机构)；家用清洁卫生电器具制造(限分支机构)；家用电器零售；投资管理服务(不得从事吸收存款、集资收款、受托贷款、发放贷款等国家金融监管及财政信用业务)；自营和代理各类商品及技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。(依法须经批准的项目，经相关部门批准后方可开展经营活动，未经批准不得从事P2P网贷、股权众筹、互联网保险、资管及跨界从事金融、第三方支付、虚拟货币交易、ICO、非法外汇等互联网金融业务),阳萌,长沙市,公司专业从事智能移动周边产品、智能生活周边产品及计算机周边产品的研发和销售，公司“Anker”等品牌的消费电子产品销往全球，在亚马逊等境外大型电子商务平台上占据领先的行业市场份额，拥有很高的知名度和美誉度。此外，公司亦大力拓展线下销售渠道，在北美、欧洲、日本和中东等发达国家和地区市场通过沃尔玛、百思买、塔吉特、日本Canon Marketing等知名渠道的销售快速增长。报告期内，公司主营业务收入97%以上的收入来源于境外销售，公司境外销售主要来自北美、欧洲、日本、中东等经济发达、消费力强、运作规范的市场和地区。公司在全球最大传播集团WPP与Google联合发布的“BrandZ中国出海品牌50强”2017年、2018年榜单中分别位列第8和第7名，并在2017年被评选为“成长最快消费电子品牌”；于2018年荣获知名媒体平台Morketing所颁发的“灵眸奖(Morketing Award)”之“十大全球化领军企业”第三名；并在2017年被美国权威电商研究机构Internet Retailer提名入围年度全球电商奖。,IR@anker.com,"公司主要从事自有品牌的移动设备周边产品,智能硬件产品等消费电子产品的自主研发,设计和销售,是全球消费电子行业知名品牌商,产品主要包括充电类,无线音频类,智能创新类三大系列.",赵东平,湖南,40642.72,张希,20111206,www.anker-in.com,安克创新,0,SZSE,SZSE,硬件,31120,-,消费类电子产品,31120030,55516422000,-15.26,-18.24,¥128.50,科技,311,0.0,9500,1476100.0,0.13,10000.0,9500,0.13,0.13,1.0,195.89,117.33,160.82,-20.1,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750114
688063,2020Q4_1750161,上海市中国(上海)自由贸易试验区祖冲之路887弄72号,锂电池以及其他类型电池的研发、销售以及技术咨询、技术服务，光通信用备用电源的设计、销售，以及相关技术咨询和技术服务，从事货物与技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,韦在胜,上海市,"公司是行业领先的储能电池系统提供商，专注于磷酸铁锂电芯、模组及储能电池系统的研发、生产和销售。公司产品可广泛应用于电力系统的发、输、配、用等环节以及通信基站和数据中心等场景,公司在全球电化学储能市场中具有较高品牌知名度和较强市场竞争力,2019年公司自主品牌家用储能产品出货量约占全球出货总量的8.5%，位居全球第三名。2019年公司以自主品牌和贴牌方式销售家用储能产品共计366MWh，约占全球出货总量的12.2%。报告期内公司连续荣获中国国际储能大会、中国储能网颁发的“中国储能产业最佳储能电池供应商”、“中国储能产业最具影响力企业”和“中国储能产业最佳系统集成解决方案供应商”等奖项。",ir@pylontech.com.cn,"专注于磷酸铁锂电芯,模组及储能电池系统的研发,生产和销售.",谈文,上海,15484.45,叶文举,20091028,www.pylontech.com.cn,派能科技,0,SHSE,SHSE,硬件,31120,-,电子元件,31120040,34801445000,48.99,-13.0,¥210.62,科技,311,0.0,5500,1422200.0,0.13,10000.0,5500,0.13,0.13,1.0,258.62,258.62,258.62,-18.56,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750161
688608,2020Q4_1750171,上海市浦东新区金科路2889弄长泰广场B座201室,从事电子科技、通信科技、网络科技、计算机科技领域内的技术开发、技术咨询、技术服务、技术转让，上述技术及电子产品及设备、计算机软件(音像制品及电子出版物除外)及辅助设备的批发、进出口、佣金代理(拍卖除外)及其相关配套服务，半导体集成电路芯片及计算机软、硬件的设计、研发、销售，计算机信息系统集成。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,LIANG ZHANG,上海市,公司是国际领先的智能音频SoC芯片设计企业之一，公司已成为全球智能音频SoC芯片领域的领先供应商，产品及技术能力获得客户广泛认可，是大陆地区少数可与高通、联发科等国际巨头竞争的芯片设计公司。公司已连续两年荣获EETimes评选的中国IC设计成就奖，同时是中国电子音响行业协会理事会常务理事单位。目前公司产品已进入全球主流安卓手机品牌，包括华为、三星、OPPO、小米及Moto等，同时在专业音频厂商中也占据重要地位，进入包括哈曼、JBL、AKG、SONY、Skullcandy、万魔及漫步者等一流品牌。,ir@bestechnic.com,"主营业务为智能音频SoC芯片的研发,设计与销售,为客户提供AIoT场景下具有语音交互能力的边缘智能主控平台芯片,产品广泛应用于智能蓝牙耳机,Type-C耳机,智能音箱等低功耗智能音频终端.",LIANG ZHANG,上海,12000.0,李广平,20150608,www.bestechnic.com,恒玄科技,0,SHSE,SHSE,半导体,31130,-,半导体,31130020,32373927000,-0.59,-16.87,¥276.07,科技,311,0.0,3200,1070100.0,0.1,10000.0,3200,0.1,0.1,1.0,372.25,308.5,337.04,-18.09,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750171
300999,2020Q4_1750147,,,,,,,,,,,,,,金龙鱼,0,SZSE,SZSE,农副加工食品,20525,-,加工食品,20525040,447162200000,14.96,-23.3,¥80.55,非周期性消费,205,0.0,6100,534800.0,0.05,10000.0,6100,0.05,0.05,1.0,108.32,44.47,68.22,18.07,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750147
688017,2020Q4_1750160,,,,,,,,,,,,,,绿的谐波,0,SHSE,SHSE,工业制品,31070,-,特种工业机械,31070020,15618414000,33.84,-11.39,¥125.53,工业,310,0.0,4100,570300.0,0.05,10000.0,4100,0.05,0.05,1.0,153.23,54.95,97.59,28.63,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750160
300919,2020Q4_1750143,贵州省铜仁市玉屏侗族自治县大龙经济开发区2号干道与1号干道交汇处,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可(审批)的，经审批机关批准后凭许可(审批)文件经营;法律、法规、国务院决定规定无需许可(审批)的，市场主体自主选择经营。(新材料、电池及新能源的研发、生产、加工与销售，从事货物及技术的进出口业务。),邓伟明,铜仁市,公司主要从事锂电池正极材料前驱体的研发、生产、加工及销售，主要产品包括三元前驱体、四氧化三钴，分别用于生产三元正极材料、钴酸锂正极材料。三元正极材料、钴酸锂正极材料进一步加工制造成锂电池，最终应用于新能源汽车、储能及消费电子等领域。公司所属产业为战略性新兴产业。为进一步增强锂电池正极材料前驱体主要原材料的保障能力，公司向产业链上游延伸，已形成了镍、钴中间品湿法加工硫酸镍、硫酸钴以及锂离子电池循环回收产能，与前驱体产业形成了良好的产业链协同优势。公司凭借优异的技术研发实力、严苛的品质管控要求、快速的产业化能力，前驱体产销量稳居全球前三，与LG化学、厦门钨业、当升科技、振华新材、天津巴莫、北大先行等国内外一流正极材料客户建立了稳定合作关系。,cngrir@cngrgf.com.cn,"主要从事锂电池正极材料前驱体的研发,生产,加工及销售,主要产品包括三元前驱体,四氧化三钴,分别用于生产三元正极材料,钴酸锂正极材料.",邓伟明,贵州,56965.0,廖恒星,20140915,www.cngrgf.com.cn,中伟股份,0,SZSE,SZSE,化工,10130,-,特种化学制品,10130020,81834653000,77.03,79.43,¥152.50,基础材料,101,0.0,6100,485600.0,0.04,10000.0,6100,0.04,0.04,1.0,86.12,73.25,80.15,90.27,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1750143
