symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
BABA,2021Q1_878421,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.04,951926,215830000,0.57,10000.0,951926,0.57,0.57,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878421
KOF,2021Q1_878441,可口可乐凡萨瓶装,2018,NYSE,软饮料,20520,-,软饮料,20520010,71825456000,12.41,17.41,$52.88,非周期性消费,205,0.04,88230,4076000,0.01,10000.0,88230,0.01,0.01,1,48.97,42.21,45.83,15.38,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878441
RDS.A,2021Q1_878487,Royal Dutch Shell PLC,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 综合,30910030,974222283000,-0.91,13.03,$39.04,能源,309,0.0,383,15000,0.0,10000.0,383,0.0,0.0,1,44.38,36.03,40.23,-2.96,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878487
BDX,2021Q1_878433,碧迪,1972,NYSE,医疗器械,20650,-,医疗器械和供给,20650020,463716534000,-4.03,-0.78,$246.62,医疗保健,206,0.44,1288614,313326000,0.83,410.02,1035956,0.67,0.67,1,263.3,237.89,250.52,-1.56,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 410.02 %,2021Q1_878433
SPGI,2021Q1_878489,标普全球,1986,NYSE,资本市场,10330,-,金融数据和交易所,10330020,640948231000,9.92,25.65,$411.52,金融服务,103,0.01,29969,10575000,0.03,201.32,20023,0.02,0.02,1,361.74,305.95,332.91,23.61,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 201.32 %,2021Q1_878489
UL,2021Q1_878506,联合利华,2008,NYSE,农副加工食品,20525,-,家庭生活用品,20525030,1006129580000,4.76,0.51,$59.64,非周期性消费,205,0.0,815,46000,0.0,143.28,480,0.0,0.0,1,60.97,52.06,56.58,5.41,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 143.28 %,2021Q1_878506
DEO,2021Q1_878450,帝亚吉欧,1998,NYSE,酒精饮料,20510,-,其他酒类,20510020,727855297000,7.88,22.29,$192.68,非周期性消费,205,0.0,77,13000,0.0,102.63,39,0.0,0.0,1,169.51,154.26,163.65,17.74,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 102.63 %,2021Q1_878450
GSK,2021Q1_878462,葛兰素史克,2020,NYSE,医药制造,20620,-,通用医药制造,20620010,644465605000,6.52,10.82,$39.62,医疗保健,206,0.0,646,23000,0.0,99.38,322,0.0,0.0,1,39.24,33.61,36.3,9.15,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 99.38 %,2021Q1_878462
LYG,2021Q1_878472,劳埃德,0,NYSE,银行,10320,-,区域性银行,10320020,290227012000,7.66,30.73,$2.53,金融服务,103,0.0,10168,24000,0.0,99.29,5066,0.0,0.0,1,2.33,1.76,2.08,21.63,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 99.29 %,2021Q1_878472
BTI,2021Q1_878438,英美烟草,2018,NYSE,烟草制品,20560,-,烟草,20560010,577117871000,0.22,7.77,$38.90,非周期性消费,205,0.0,1664,64000,0.0,99.28,829,0.0,0.0,1,39.81,35.06,37.65,3.32,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 99.28 %,2021Q1_878438
SNY,2021Q1_878492,赛诺菲安万特,2019,NAS,医药制造,20620,-,通用医药制造,20620010,834445492000,5.44,10.0,$51.52,医疗保健,206,0.0,733,36000,0.0,99.18,365,0.0,0.0,1,50.51,45.46,48.03,7.27,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 99.18 %,2021Q1_878492
CRH,2021Q1_878445,CRH水泥,2019,NYSE,建筑材料,10120,-,建筑材料,10120010,248876027000,2.5,17.87,$49.25,基础材料,101,0.0,294,14000,0.0,98.65,146,0.0,0.0,1,48.67,41.14,44.97,9.52,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 98.65 %,2021Q1_878445
ACN,2021Q1_878418,埃森哲,2011,NYSE,软件,31110,-,软件和信息技术服务,31110010,1291257691000,10.76,21.58,$314.94,科技,311,0.0,27531,7605000,0.02,75.17,11814,0.01,0.01,1,280.77,241.92,258.46,21.85,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 75.17 %,2021Q1_878418
MMP,2021Q1_878474,麦哲伦油气,2001,NYSE,石油与天然气,30910,-,石油与天然气 - 中游,30910040,67052480000,3.86,14.36,$46.48,能源,309,0.4,895054,38810000,0.1,38.53,248935,0.03,0.03,1,46.52,40.34,43.69,6.39,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 38.53 %,2021Q1_878474
RGLD,2021Q1_878488,皇家黄金,2000,NAS,金属与开采,10150,-,金,10150040,50091290000,1.83,11.87,$118.09,基础材料,101,5.3,3476354,374125000,1.0,30.93,821293,0.24,0.24,1,111.05,102.15,106.74,10.63,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 30.93 %,2021Q1_878488
DEI,2021Q1_878451,道格拉斯艾美特,2009,NYSE,房地产信托投资基金,10420,-,REIT - 办公楼,10420040,38851878000,7.53,19.36,$34.27,房地产,104,3.94,6910221,216981000,0.58,26.43,1444524,0.12,0.12,1,34.14,26.72,30.43,12.62,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 26.43 %,2021Q1_878451
UGI,2021Q1_878505,UGI Corp,1984,NYSE,公共事业 - 管制,20720,-,燃气生产和供应,20720030,62376532000,6.36,34.11,$46.21,公用事业,207,4.4,9196730,377158000,1.0,26.16,1906904,0.21,0.21,1,41.84,34.79,38.65,19.56,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 26.16 %,2021Q1_878505
ORLA,2021Q1_878482,Orla Mining Ltd,0,AMEX,金属与开采,10150,-,金,10150040,6104740000,-2.07,-29.87,$3.78,基础材料,101,2.0,4928384,18353000,0.05,23.35,933002,0.01,0.01,1,5.64,3.23,4.19,-9.79,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 23.35 %,2021Q1_878482
WLTW,2021Q1_878515,Willis Towers Watson PLC,2016,NAS,保险,10340,-,保险中介,10340050,185050628000,-6.45,6.0,$221.91,金融服务,103,1.86,2393190,547753000,1.46,21.97,431132,0.26,0.26,1,234.6,199.23,218.07,1.76,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 21.97 %,2021Q1_878515
NG,2021Q1_878479,诺华黄金,0,AMEX,金属与开采,10150,-,金,10150040,17762150000,-15.62,-15.1,$8.21,基础材料,101,3.46,11474097,100513000,0.27,15.14,1508336,0.04,0.04,1,10.35,8.15,9.12,-9.98,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 15.14 %,2021Q1_878479
CRM,2021Q1_878490,赛富时,0,NYSE,软件,31110,-,软件应用,31110020,1421393417000,1.97,6.76,$237.58,科技,311,0.21,1951395,413442000,1.1,14.77,251148,0.14,0.14,1,248.59,205.33,222.91,6.58,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 14.77 %,2021Q1_878490
FMX,2021Q1_878458,Fomento Economico Mexicano SAB de CV,2015,NYSE,酒精饮料,20510,-,啤酒,20510010,196854520000,6.26,13.06,$85.09,非周期性消费,205,1.9,6808107,512855000,1.36,13.46,807681,0.16,0.16,1,76.89,68.05,72.74,16.98,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 13.46 %,2021Q1_878458
KL,2021Q1_878469,Kirkland Lake Gold Ltd,2017,NYSE,金属与开采,10150,-,金,10150040,73092869000,13.36,2.8,$42.05,基础材料,101,1.02,2730916,92226000,0.25,8.25,208216,0.02,0.02,1,44.55,31.88,37.09,13.37,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 8.25 %,2021Q1_878469
FB,2021Q1_878456,Facebook Inc,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,6314883120000,11.9,26.1,$344.46,通信服务,308,0.12,3519470,1036589000,2.76,7.92,258279,0.2,0.2,1,294.53,245.64,269.28,27.92,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 7.92 %,2021Q1_878456
ABEV,2021Q1_878425,安贝夫,2020,NYSE,酒精饮料,20510,-,啤酒,20510010,345990661000,19.3,11.58,$3.40,非周期性消费,205,1.49,234793950,643335000,1.71,7.27,15918922,0.12,0.12,1,3.19,2.5,2.82,20.57,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 7.27 %,2021Q1_878425
GLD,2021Q1_878497,金价ETF,0,ARCA,-,0,-,0,0,392689037000,3.46,-4.09,$171.07,-,0,1.14,4045355,647095000,1.72,4.13,160355,0.07,0.07,1,182.87,157.49,168.06,1.79,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 4.13 %,2021Q1_878497
WPM,2021Q1_878514,Wheaton Precious Metals Corp,2015,NYSE,金属与开采,10150,-,金,10150040,133369174000,8.64,9.7,$45.52,基础材料,101,3.68,16580775,633551000,1.69,2.35,380544,0.04,0.04,1,45.4,35.64,39.69,14.69,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 2.35 %,2021Q1_878514
BTG,2021Q1_878430,B2Gold Corp,2019,AMEX,金属与开采,10150,-,金,10150040,29065878000,-14.06,-22.86,$4.24,基础材料,101,1.71,17943090,77244000,0.21,1.88,330629,0.0,0.0,1,6.02,4.22,4.88,-13.11,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.88 %,2021Q1_878430
AU,2021Q1_878428,Anglogold Ashanti Ltd,2018,NYSE,金属与开采,10150,-,金,10150040,54593204000,-8.0,-8.42,$20.25,基础材料,101,0.31,1310012,28781000,0.08,1.85,23772,0.0,0.0,1,25.49,19.86,22.46,-9.84,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.85 %,2021Q1_878428
KGC,2021Q1_878468,金罗斯黄金,2020,NYSE,金属与开采,10150,-,金,10150040,53020453000,-13.0,-11.17,$6.46,基础材料,101,0.18,2317415,15457000,0.04,1.84,41937,0.0,0.0,1,8.01,6.19,6.96,-7.18,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.84 %,2021Q1_878468
AGI,2021Q1_878420,Alamos Gold Inc,2016,NYSE,金属与开采,10150,-,金,10150040,20790423000,-6.25,-6.29,$8.15,基础材料,101,2.36,9277333,72494000,0.19,1.83,166337,0.0,0.0,1,9.64,7.1,8.04,1.37,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.83 %,2021Q1_878420
MAG,2021Q1_878473,迈力达电子,0,AMEX,金属与开采,10150,-,银,10150050,12588080000,18.14,-0.34,$20.45,基础材料,101,3.52,3340296,50289000,0.13,1.81,59308,0.0,0.0,1,22.59,14.4,18.44,10.9,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.81 %,2021Q1_878473
UHS,2021Q1_878509,Universal Health Services Inc,2020,NYSE,医疗机构和服务,20645,-,医疗机构,20645010,84327961000,8.66,11.67,$153.14,医疗保健,206,3.6,3066328,409017000,1.09,1.61,48466,0.02,0.02,1,142.46,124.68,132.54,15.54,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.61 %,2021Q1_878509
GD,2021Q1_878461,通用动力,2013,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,345968310000,3.59,29.57,$189.35,工业,310,0.11,313354,56893000,0.15,1.13,3500,0.0,0.0,1,183.3,145.94,163.4,15.88,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.13 %,2021Q1_878461
GOLD,2021Q1_878432,巴里克黄金,2019,NYSE,金属与开采,10150,-,金,10150040,246329408000,-2.18,-5.22,$21.27,基础材料,101,1.52,27014543,534888000,1.42,0.75,201332,0.01,0.01,1,24.77,18.67,21.56,-1.35,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.75 %,2021Q1_878432
FNV,2021Q1_878459,Franco-Nevada Corp,2008,NYSE,金属与开采,10150,-,金,10150040,190168474000,12.58,22.84,$153.39,基础材料,101,1.0,1916217,240141000,0.64,0.68,12932,0.0,0.0,1,132.43,106.16,120.39,27.41,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.68 %,2021Q1_878459
NEM,2021Q1_878477,纽曼矿业,2015,NYSE,金属与开采,10150,-,金,10150040,328872753000,-1.14,7.85,$63.49,基础材料,101,2.3,18462145,1112713000,2.96,0.52,95801,0.02,0.02,1,65.24,54.38,59.81,6.15,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.52 %,2021Q1_878477
EQR,2021Q1_878453,资产住宅公司,2016,NYSE,房地产信托投资基金,10420,-,REIT - 住宅,10420050,201236993000,16.05,42.42,$83.22,房地产,104,1.62,6069763,434777000,1.16,0.41,24569,0.0,0.0,1,75.06,57.05,66.22,25.67,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.41 %,2021Q1_878453
BXP,2021Q1_878437,波士顿物产,2010,NYSE,房地产信托投资基金,10420,-,REIT - 办公楼,10420040,117670967000,11.48,25.43,$116.61,房地产,104,1.61,2510699,254233000,0.68,0.41,10146,0.0,0.0,1,108.59,89.59,97.48,19.62,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.41 %,2021Q1_878437
EXPD,2021Q1_878454,康捷国际物流,1993,NAS,交通运输,31080,-,装卸搬运和其他运输代理,31080060,139144839000,15.22,34.59,$127.43,工业,310,1.48,2503022,269550000,0.72,0.39,9631,0.0,0.0,1,108.4,89.52,96.27,32.37,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.39 %,2021Q1_878454
IMO,2021Q1_878465,帝国石油,2015,AMEX,石油与天然气,30910,-,石油与天然气 - 综合,30910030,133033155000,9.87,48.54,$27.87,能源,309,3.6,26406468,639622000,1.7,0.35,91238,0.01,0.01,1,25.84,18.92,22.02,26.57,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.35 %,2021Q1_878465
FLS,2021Q1_878457,福斯,2007,NYSE,工业制品,31070,-,特种工业机械,31070020,35336822000,6.25,14.98,$41.97,工业,310,8.58,11177799,433810000,1.15,0.34,37796,0.0,0.0,1,41.4,34.77,38.42,9.24,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.34 %,2021Q1_878457
BRO,2021Q1_878439,布朗保险经纪,1986,NYSE,保险,10340,-,保险中介,10340050,97477856000,9.5,13.3,$53.53,金融服务,103,2.97,8382981,383186000,1.02,0.34,28247,0.0,0.0,1,48.02,42.96,45.88,16.67,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.34 %,2021Q1_878439
PM,2021Q1_878484,菲利普莫里斯,2008,NYSE,烟草制品,20560,-,烟草,20560010,1000719475000,9.45,22.85,$99.31,非周期性消费,205,0.67,10461380,928343000,2.47,0.32,32884,0.01,0.01,1,90.99,79.06,84.94,16.92,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.32 %,2021Q1_878484
AEM,2021Q1_878419,伊格尔矿业,2014,NYSE,金属与开采,10150,-,金,10150040,99010022000,-0.52,-10.25,$62.58,基础材料,101,2.82,6843531,395625000,1.05,0.08,5226,0.0,0.0,1,76.39,55.36,64.7,-3.28,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.08 %,2021Q1_878419
CHRW,2021Q1_878440,罗宾逊物流,1997,NAS,交通运输,31080,-,装卸搬运和其他运输代理,31080060,80715817000,-6.26,1.16,$93.94,工业,310,7.94,10565915,1008305000,2.68,0.07,7273,0.0,0.0,1,99.32,85.56,93.35,0.63,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.07 %,2021Q1_878440
BKNG,2021Q1_878436,缤客,0,NAS,旅游和娱乐,10290,-,旅游服务,10290050,575805437000,-10.84,-2.6,$2169.39,周期性消费,102,0.57,235553,548801000,1.46,0.07,172,0.0,0.0,1,2461.78,1886.09,2219.81,-2.27,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.07 %,2021Q1_878436
NOV,2021Q1_878478,华高,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 设备与服务,30910060,35006265000,3.13,0.95,$13.86,能源,309,8.6,33579602,460712000,1.23,0.05,15391,0.0,0.0,1,17.29,12.22,14.5,-4.41,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.05 %,2021Q1_878478
EPD,2021Q1_878452,Enterprise Products Partners LP,1998,NYSE,石油与天然气,30910,-,石油与天然气 - 中游,30910040,338230947000,6.23,26.8,$23.94,能源,309,0.13,2857106,62913000,0.17,0.0,0,0.0,0.0,1,23.7,19.29,21.98,8.92,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878452
TEL,2021Q1_878500,泰科电子,2007,NYSE,硬件,31120,-,电子元件,31120040,292040370000,3.57,13.87,$136.88,科技,311,0.04,140752,18172000,0.05,0.0,0,0.0,0.0,1,134.79,119.85,128.51,6.51,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878500
SJT,2021Q1_878491,San Juan Basin Royalty Trust,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,1406300000,15.68,86.89,$4.67,能源,309,8.79,4098935,16232000,0.04,0.0,0,0.0,0.0,1,4.44,2.71,3.78,23.54,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878491
HD,2021Q1_878464,家得宝,2003,NYSE,零售,10280,-,家居用品零售,10280030,2218469760000,0.5,22.74,$322.71,周期性消费,102,0.0,43467,13268000,0.04,0.0,0,0.0,0.0,1,305.25,250.93,275.66,17.07,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878464
V,2021Q1_878511,维萨卡,2008,NYSE,信贷,10360,-,信贷服务,10360010,3533478032000,9.98,13.93,$248.55,金融服务,103,0.0,74904,15859000,0.04,0.0,0,0.0,0.0,1,226.15,193.25,210.49,18.08,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878511
SBUX,2021Q1_878498,星巴克,2010,NAS,餐饮,10270,-,餐饮,10270010,905705019000,2.37,12.05,$118.97,周期性消费,102,0.01,111909,12228000,0.03,0.0,0,0.0,0.0,1,111.34,96.81,105.0,13.3,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878498
SHW,2021Q1_878496,宣伟公司,1979,NYSE,化工,10130,-,特种化学制品,10130020,479946198000,8.76,14.39,$279.12,基础材料,101,0.02,47565,11701000,0.03,0.0,0,0.0,0.0,3,253.01,219.85,238.3,17.13,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878496
JILL,2021Q1_878467,J.Jill Inc,0,NYSE,零售,10280,-,服装零售,10280010,1372988000,156.27,470.24,$21.27,周期性消费,102,1.14,113967,1111000,0.0,0.0,0,0.0,0.0,1,9.75,3.46,5.27,303.61,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878467
FTSI,2021Q1_878460,FTS International Inc,0,AMEX,石油与天然气,30910,-,石油与天然气 - 设备与服务,30910060,2131343000,0.0,22.81,$23.58,能源,309,0.16,22101,547000,0.0,0.0,0,0.0,0.0,1,26.17,16.14,20.43,15.42,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878460
CMLS,2021Q1_878447,Cumulus Media Inc,0,NAS,传媒,30820,-,广播,30820030,1772685000,41.46,53.78,$13.41,通信服务,308,0.07,14221,130000,0.0,0.0,0,0.0,0.0,1,11.58,8.26,9.83,36.42,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_878447
