symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
RAAS,2021Q1_457525,容联云通讯,0,NYSE,软件,31110,-,软件应用,31110020,6291386000,-47.42,0.0,$5.92,科技,311,11.71,19248305,264279000,29.22,10000.0,19248305,29.22,29.22,1,48.0,11.61,22.19,-73.32,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457525
BABA,2021Q1_457517,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.0,100500,22786000,2.52,10000.0,100500,2.52,2.52,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457517
AAPL,2021Q1_457518,苹果,2012,NAS,硬件,31120,-,消费类电子产品,31120030,16020088127000,10.56,12.22,$148.48,科技,311,0.0,151600,18518000,2.05,10000.0,151600,2.05,2.05,1,143.16,116.36,128.47,15.58,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457518
INTC,2021Q1_457530,英特尔,1992,NAS,半导体,31130,-,半导体,31130020,1456034858000,-13.63,13.42,$55.81,科技,311,0.0,117000,7488000,0.83,10000.0,117000,0.83,0.83,1,65.78,49.67,59.63,-6.41,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457530
IQ,2021Q1_457531,爱奇艺,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,64962352000,-16.08,-27.17,$12.73,通信服务,308,0.05,385900,6414000,0.71,10000.0,385900,0.71,0.71,1,28.91,16.55,23.16,-45.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457531
HUN,2021Q1_457529,亨斯曼材料,2007,NYSE,化工,10130,-,化学制品,10130010,38270990000,-7.12,7.68,$26.72,基础材料,101,0.09,198600,5726000,0.63,10000.0,198600,0.63,0.63,1,29.44,25.0,28.01,-4.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457529
DAO,2021Q1_457552,网易有道,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,17730779000,-6.2,-17.94,$21.77,通信服务,308,0.16,196800,4688000,0.52,10000.0,196800,0.52,0.52,1,41.35,22.99,31.79,-31.52,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457552
CC,2021Q1_457524,The Chemours Co,2016,NYSE,化工,10130,-,特种化学制品,10130020,36151719000,13.55,38.28,$33.78,基础材料,101,0.09,155900,4351000,0.48,10000.0,155900,0.48,0.48,1,28.74,23.53,26.6,26.99,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457524
FCX,2021Q1_457528,麦克莫兰铜金,2020,NYSE,金属与开采,10150,-,铜,10150020,325857857000,-8.9,32.74,$34.39,基础材料,101,0.01,91800,3023000,0.33,10000.0,91800,0.33,0.33,1,38.08,25.79,32.41,6.11,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457528
BLDP,2021Q1_457520,巴拉德动力系统,0,NAS,工业制品,31070,-,特种工业机械,31070020,29429355000,-26.27,-35.0,$15.21,工业,310,0.04,108700,2646000,0.29,10000.0,108700,0.29,0.29,1,40.99,21.15,29.99,-49.28,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457520
TAL,2021Q1_457547,好未来,0,NYSE,教育,20540,-,教育培训服务,20540010,91478371000,-61.62,-69.32,$21.94,非周期性消费,205,0.01,45300,2439000,0.27,10000.0,45300,0.27,0.27,1,90.15,52.09,73.46,-70.13,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457547
FINV,2021Q1_457527,信也科技,2020,NYSE,信贷,10360,-,信贷服务,10360010,14675875000,31.96,206.37,$8.01,金融服务,103,0.12,346578,2430000,0.27,10000.0,346578,0.27,0.27,1,9.77,2.61,5.33,50.28,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457527
CYH,2021Q1_457526,Community Health Systems Inc,2018,NYSE,医疗机构和服务,20645,-,医疗机构,20645010,12652903000,47.95,99.33,$14.81,医疗保健,206,0.11,151500,2048000,0.23,10000.0,151500,0.23,0.23,1,13.96,7.28,9.81,50.97,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_457526
AZUL,2021Q1_457519,Azul SA,0,NYSE,交通运输,31080,-,航空运输,31080020,18227472000,21.02,7.23,$24.47,工业,310,0.18,206700,4173000,0.46,227.58,143600,0.32,0.32,1,25.05,18.39,21.85,11.99,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 227.58 %,2021Q1_457519
YY,2021Q1_457533,欢聚集团,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,32073649000,-35.12,-20.61,$62.48,通信服务,308,0.46,362440,33972000,3.76,215.6,247600,2.57,2.57,1,147.8,78.64,108.49,-42.41,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 215.60 %,2021Q1_457533
Z,2021Q1_457554,Zillow Group Inc,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,168536901000,-25.83,-19.21,$104.87,通信服务,308,0.06,141700,18370000,2.03,175.68,90300,1.29,1.29,1,199.9,119.63,149.17,-29.7,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 175.68 %,2021Q1_457554
TME,2021Q1_457548,腾讯音乐,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,135697104000,-31.07,-35.55,$12.40,通信服务,308,0.03,579000,11864000,1.31,110.42,303830,0.69,0.69,1,31.79,19.37,25.39,-51.16,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 110.42 %,2021Q1_457548
JD,2021Q1_457532,京东集团,0,NAS,零售,10280,-,网络零售,10280050,774722131000,-0.81,-12.56,$76.86,周期性消费,102,0.03,429200,36194000,4.0,100.37,215000,2.0,2.0,1,106.88,78.71,91.81,-16.28,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 100.37 %,2021Q1_457532
EBR,2021Q1_457523,巴西电力,2019,NYSE,公共事业 - 管制,20720,-,电力生产和供应,20720020,87542031000,44.11,29.75,$8.63,公用事业,207,0.02,310400,1893000,0.21,88.46,145700,0.1,0.1,1,6.88,4.95,5.84,47.77,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 88.46 %,2021Q1_457523
BA,2021Q1_457521,波音,2020,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,841677051000,-11.29,4.06,$222.76,工业,310,0.02,101600,25880000,2.86,53.01,35200,0.99,0.99,1,269.19,194.03,222.08,0.31,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 53.01 %,2021Q1_457521
SLG,2021Q1_457543,SL Green Realty Corp,2020,NYSE,房地产信托投资基金,10420,-,REIT - 办公楼,10420040,34670925000,10.74,29.06,$77.32,房地产,104,1.01,699988,48992000,5.42,33.15,174278,1.35,1.35,1,77.76,58.13,67.43,14.67,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 33.15 %,2021Q1_457543
FENG,2021Q1_457540,凤凰新媒体,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,725953000,-1.28,28.33,$1.54,通信服务,308,1.01,739800,1309000,0.14,27.44,159300,0.03,0.03,1,2.5,1.18,1.69,-8.88,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 27.44 %,2021Q1_457540
MKD,2021Q1_457538,摩贝,0,NAS,化工,10130,-,化学制品,10130010,786383000,-6.62,-2.45,$0.82,基础材料,101,11.88,17646965,19059000,2.11,0.0,0,0.0,0.0,1,2.04,0.8,1.26,-34.97,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_457538
MOGU,2021Q1_457537,蘑菇街,0,NYSE,零售,10280,-,网络零售,10280050,853614000,-22.35,-39.17,$1.32,周期性消费,102,8.35,8347939,16195000,1.79,0.0,0,0.0,0.0,1,3.3,1.79,2.31,-42.86,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_457537
STWD,2021Q1_457546,Starwood Property Trust Inc,2009,NYSE,房地产信托投资基金,10420,-,REIT - 按揭贷款,10420070,47909086000,3.42,38.76,$25.82,房地产,104,0.09,254900,6306000,0.7,0.0,0,0.0,0.0,1,25.28,18.34,21.65,19.26,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_457546
YJ,2021Q1_457553,云集,0,NAS,零售,10280,-,网络零售,10280050,2068928000,-24.24,-18.92,$1.50,周期性消费,102,5.14,10973249,23592000,2.61,-0.6,-66751,-0.02,0.02,1,3.8,1.9,2.54,-40.94,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 0.60 %,2021Q1_457553
ZTO,2021Q1_457555,中通快递,2018,NYSE,交通运输,31080,-,装卸搬运和其他运输代理,31080060,156209549000,0.86,1.03,$29.21,工业,310,0.12,1029018,29996000,3.32,-3.07,-32600,-0.13,0.13,1,38.48,27.43,32.74,-10.78,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 3.07 %,2021Q1_457555
PK,2021Q1_457539,Park Hotels & Resorts Inc,2020,NYSE,房地产信托投资基金,10420,-,REIT - 旅馆,10420020,28771165000,-10.59,9.8,$18.83,房地产,104,0.45,1054100,22747000,2.51,-3.08,-33500,-0.08,0.08,1,24.6,16.5,19.86,-5.19,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 3.08 %,2021Q1_457539
UBER,2021Q1_457549,优步,0,NYSE,软件,31110,-,软件应用,31110020,563234918000,-23.58,-8.98,$46.42,科技,311,0.03,576500,31425000,3.47,-3.17,-18900,-0.13,0.13,1,63.18,48.11,55.88,-16.93,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 3.17 %,2021Q1_457549
SY,2021Q1_457545,新氧,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,6210774000,2.63,-19.35,$8.96,医疗保健,206,10.62,11389106,112410000,12.43,-6.64,-810000,-1.23,1.23,1,16.16,9.64,12.6,-28.89,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 6.64 %,2021Q1_457545
NEW,2021Q1_457542,朴新教育,0,NYSE,教育,20540,-,教育培训服务,20540010,706841000,-65.47,-78.52,$1.25,非周期性消费,205,2.57,2246600,8986000,0.99,-6.97,-168400,-0.13,0.13,1,8.81,3.69,6.43,-80.56,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 6.97 %,2021Q1_457542
VIPS,2021Q1_457550,唯品会,0,NYSE,零售,10280,-,网络零售,10280050,87447784000,-29.07,-30.02,$19.67,周期性消费,102,0.02,127800,3816000,0.42,-8.01,-11133,-0.04,0.04,1,45.58,27.42,34.47,-42.94,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 8.01 %,2021Q1_457550
LITB,2021Q1_457535,兰亭集势,0,NYSE,零售,10280,-,网络零售,10280050,1202278000,-42.96,-34.65,$1.66,周期性消费,102,1.91,2137855,5858000,0.65,-15.76,-400000,-0.14,0.14,1,5.42,2.14,3.25,-48.92,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 15.76 %,2021Q1_457535
