symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
VIAC,2021Q1_1151635,维亚康姆CBS,2009,NAS,传媒,30820,-,娱乐,30820040,173456159000,5.81,12.1,$41.29,通信服务,308,0.67,4307919,194287000,4.16,10000.0,4307919,4.16,4.16,1,100.34,36.6,61.05,-32.37,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151635
BIDU,2021Q1_1151448,百度集团,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,416819279000,-11.75,-14.21,$185.52,通信服务,308,0.1,353795,76968000,1.65,10000.0,353795,1.65,1.65,1,339.91,203.97,261.9,-29.16,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151448
VIPS,2021Q1_1151637,唯品会,0,NYSE,零售,10280,-,网络零售,10280050,87447784000,-29.07,-30.02,$19.67,周期性消费,102,0.23,1554311,46412000,0.99,10000.0,1554311,0.99,0.99,1,45.58,27.42,34.47,-42.94,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151637
TME,2021Q1_1151618,腾讯音乐,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,135697104000,-31.07,-35.55,$12.40,通信服务,308,0.1,1651340,33836000,0.72,10000.0,1651340,0.72,0.72,1,31.79,19.37,25.39,-51.16,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151618
IFF,2021Q1_1151531,国际香料香精,2001,NYSE,化工,10130,-,特种化学制品,10130020,231752443000,2.03,33.72,$144.00,基础材料,101,0.07,172400,24069000,0.51,10000.0,172400,0.51,0.51,1,141.31,105.08,129.42,11.27,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151531
DISCK,2021Q1_1151479,探索传播C股,0,NAS,传媒,30820,-,娱乐,30820040,90394378000,-18.57,1.79,$26.66,通信服务,308,0.08,400000,14756000,0.32,10000.0,400000,0.32,0.32,1,66.0,26.39,42.38,-37.09,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151479
OPEN,2021Q1_1151580,Opendoor Technologies Inc,0,NAS,房地产,10410,-,房地产服务,10410020,55876905000,-24.25,-34.18,$14.96,房地产,104,0.12,699512,14823000,0.32,10000.0,699512,0.32,0.32,1,35.88,20.06,27.4,-45.4,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151580
MU,2021Q1_1151566,美光,0,NAS,半导体,31130,-,半导体,31130020,559857901000,-14.79,2.31,$76.92,科技,311,0.01,152984,13495000,0.29,10000.0,152984,0.29,0.29,1,94.76,74.05,84.89,-9.39,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151566
ASHR,2021Q1_1151472,沪深300ETF,0,ARCA,-,0,-,0,0,16271472000,5.73,0.35,$40.20,-,0,0.52,325000,12552000,0.27,10000.0,325000,0.27,0.27,1,46.4,37.6,41.7,-3.6,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151472
SJIV,2021Q1_1151607,South Jersey Industries Inc,0,NYSE,公共事业 - 管制,20720,-,公共事业 - 多元化,20720040,0,3.03,0.0,$55.05,公用事业,207,0.0,200000,9995000,0.21,10000.0,200000,0.21,0.21,1,50.5,49.37,49.96,10.19,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151607
WAL,2021Q1_1151642,Western Alliance Bancorp,2019,NYSE,银行,10320,-,区域性银行,10320020,65275935000,5.25,63.59,$97.57,金融服务,103,0.1,103695,9793000,0.21,10000.0,103695,0.21,0.21,1,99.65,59.04,82.73,17.94,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1151642
