symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
CNQ,2021Q1_479399,加国自然资源,2015,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,260248981000,10.16,43.71,$33.80,能源,309,0.57,6698614,206786000,2.16,10000.0,6698614,2.16,2.16,1,32.41,22.58,27.6,22.46,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_479399
NOC,2021Q1_479432,诺斯洛普,1997,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,378668511000,6.12,20.48,$364.12,工业,310,0.27,432680,140033000,1.46,10000.0,432680,1.46,1.46,1,323.64,286.61,301.43,20.8,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_479432
LMT,2021Q1_479424,洛克希德马丁,2000,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,679225570000,-2.5,8.02,$378.25,工业,310,0.14,375276,138664000,1.45,10000.0,375276,1.45,1.45,1,372.79,321.82,342.99,10.28,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_479424
LHX,2021Q1_479422,L3Harris Technologies Inc,2001,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,296686876000,6.7,19.51,$223.86,工业,310,0.33,679431,137707000,1.44,10000.0,679431,1.44,1.44,1,203.08,171.51,187.59,19.33,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_479422
AWI,2021Q1_479394,阿姆斯特朗,2018,NYSE,建筑,31040,-,建筑材料和设备,31040030,33151582000,12.37,44.6,$107.15,工业,310,2.33,1114106,100370000,1.05,10000.0,1114106,1.05,1.05,1,96.35,71.11,84.88,26.24,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_479394
CATO,2021Q1_479400,加图商场,2021,NYSE,零售,10280,-,服装零售,10280010,2378167000,13.66,70.91,$16.28,周期性消费,102,0.41,91998,1104000,0.01,10000.0,91998,0.01,0.01,1,13.82,9.08,11.78,38.2,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_479400
AMPY,2021Q1_479391,Amplify Energy Corp,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,829328000,33.6,158.02,$3.38,能源,309,0.45,170000,473000,0.0,10000.0,170000,0.0,0.0,1,4.0,1.27,2.66,27.07,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_479391
BRK.B,2021Q1_479397,伯克希尔-哈撒韦,0,NYSE,保险,10340,-,多元化保险,10340060,4137067525000,3.93,20.64,$279.72,金融服务,103,0.04,824243,210569000,2.2,322.53,629168,1.68,1.68,1,263.99,227.36,242.84,15.19,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 322.53 %,2021Q1_479397
TREC,2021Q1_479444,Trecora Resources,0,NYSE,化工,10130,-,特种化学制品,10130020,1330083000,4.82,18.31,$8.27,基础材料,101,3.81,948100,7367000,0.08,49.07,312077,0.03,0.03,1,8.01,6.31,7.28,13.6,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 49.07 %,2021Q1_479444
LEGH,2021Q1_479423,Legacy Housing Corp,0,NAS,住宅建设,10230,-,住宅建设,10230010,2520925000,-14.67,6.62,$16.11,周期性消费,102,0.34,82800,1468000,0.02,17.86,12550,0.0,0.0,1,18.2,14.1,15.96,0.94,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 17.86 %,2021Q1_479423
