symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
TAL,2021Q1_878342,好未来,0,NYSE,教育,20540,-,教育培训服务,20540010,91478371000,-61.62,-69.32,$21.94,非周期性消费,205,0.06,365779,19697000,5.4,10000.0,365779,5.4,5.4,1,90.15,52.09,73.46,-70.13,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878342
TUYA,2021Q1_878345,涂鸦智能,0,NYSE,软件,31110,-,软件基础构架,31110030,74826572000,17.49,0.0,$20.69,科技,311,0.17,927600,19609000,5.37,10000.0,927600,5.37,5.37,1,25.12,19.15,21.92,-5.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878345
MU,2021Q1_878336,美光,0,NAS,半导体,31130,-,半导体,31130020,559857901000,-14.79,2.31,$76.92,科技,311,0.01,78700,6942000,1.9,10000.0,78700,1.9,1.9,1,94.76,74.05,84.89,-9.39,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878336
VIPS,2021Q1_878346,唯品会,0,NYSE,零售,10280,-,网络零售,10280050,87447784000,-29.07,-30.02,$19.67,周期性消费,102,0.03,213000,6360000,1.74,10000.0,213000,1.74,1.74,1,45.58,27.42,34.47,-42.94,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878346
RLX,2021Q1_878339,雾芯科技,0,NYSE,烟草制品,20560,-,烟草,20560010,73630612000,-21.62,0.0,$7.25,非周期性消费,205,0.03,501500,6149000,1.69,10000.0,501500,1.69,1.69,1,29.51,8.94,19.34,-62.51,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878339
DIS,2021Q1_878347,迪士尼,2020,NYSE,传媒,30820,-,娱乐,30820040,2161741925000,-0.96,1.64,$184.15,通信服务,308,0.0,29700,5481000,1.5,10000.0,29700,1.5,1.5,1,201.91,163.03,184.47,-0.17,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878347
WDC,2021Q1_878348,西部数据,2020,NAS,硬件,31120,-,计算机硬件,31120020,132479350000,-2.65,20.8,$66.91,科技,311,0.02,58500,3905000,1.07,10000.0,58500,1.07,1.07,1,72.21,49.47,61.92,8.06,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878348
LX,2021Q1_878334,乐信,0,NAS,信贷,10360,-,信贷服务,10360010,12122364000,18.77,52.99,$10.25,金融服务,103,0.1,191000,1921000,0.53,10000.0,191000,0.53,0.53,1,15.27,6.27,10.1,1.49,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878334
ISRG,2021Q1_878329,直觉外科,0,NAS,医疗器械,20650,-,医疗器械和供给,20650020,730120925000,18.51,16.57,$953.66,医疗保健,206,0.0,1800,1330000,0.36,10000.0,1800,0.36,0.36,1,818.75,684.9,755.6,26.21,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878329
ALNY,2021Q1_878318,阿尔尼拉姆制药公司,0,NAS,生物科技,20610,-,生物科技,20610010,130679887000,23.69,32.3,$171.95,医疗保健,206,0.01,9000,1271000,0.35,10000.0,9000,0.35,0.35,1,175.69,126.83,150.61,14.17,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878318
STAA,2021Q1_878340,Staar Surgical Co,0,NAS,医疗器械,20650,-,医疗器械和供给,20650020,39051713000,7.51,62.7,$128.89,医疗保健,206,0.02,11700,1233000,0.34,10000.0,11700,0.34,0.34,1,126.48,78.5,100.51,28.24,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878340
KOD,2021Q1_878333,Kodiak Sciences Inc,0,NAS,生物科技,20610,-,生物科技,20610010,29025417000,-24.32,-40.39,$87.57,医疗保健,206,0.02,8700,986000,0.27,10000.0,8700,0.27,0.27,1,164.47,110.45,136.91,-36.04,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878333
CAN,2021Q1_878322,嘉楠科技,0,NAS,硬件,31120,-,计算机硬件,31120020,6991354000,-50.51,6.24,$6.30,科技,311,0.02,39100,808000,0.22,10000.0,39100,0.22,0.22,1,36.4,4.51,14.87,-57.63,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878322
SBUX,2021Q1_878341,星巴克,2010,NAS,餐饮,10270,-,餐饮,10270010,905705019000,2.37,12.05,$118.97,周期性消费,102,0.0,7400,809000,0.22,10000.0,7400,0.22,0.22,1,111.34,96.81,105.0,13.3,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_878341
