symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
RBLX,2021Q1_1421866,Roblox Corp,0,NYSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,284718566000,-2.99,0.0,$77.28,通信服务,308,7.09,40428863,2621003000,6.03,10000.0,40428863,6.03,6.03,1,77.0,64.5,69.7,10.88,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421866
FUTU,2021Q1_1421824,富途控股,0,NAS,资本市场,10330,-,资本市场,10330010,127830191000,-8.92,194.64,$134.80,金融服务,103,2.28,3340000,530459000,1.22,10000.0,3340000,1.22,1.22,1,191.0,48.94,124.1,8.62,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421824
CPNG,2021Q1_1421807,Coupang Inc,0,NYSE,零售,10280,-,网络零售,10280050,472942655000,-7.75,0.0,$42.25,周期性消费,102,0.21,3571428,176250000,0.41,10000.0,3571428,0.41,0.41,1,50.45,43.29,46.22,-8.59,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421807
OSCR,2021Q1_1421851,奥斯卡健康,0,NYSE,医疗计划,20630,-,医疗计划,20630010,25993563000,-22.99,0.0,$19.40,医疗保健,206,2.68,5559990,149453000,0.34,10000.0,5559990,0.34,0.34,1,36.77,25.23,31.3,-38.02,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421851
PLTK,2021Q1_1421859,Playtika Holding Corp,0,NAS,交互式媒体,30830,-,电子游戏和多媒体,30830020,60275238000,-12.8,0.0,$22.76,通信服务,308,1.34,5500000,149655000,0.34,10000.0,5500000,0.34,0.34,1,34.28,25.16,29.5,-22.85,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421859
ONTF,2021Q1_1421849,ON24 Inc,0,NYSE,软件,31110,-,软件应用,31110020,10591604000,-20.62,0.0,$35.33,科技,311,3.45,1600000,77616000,0.18,10000.0,1600000,0.18,0.18,1,74.5,43.2,58.43,-39.53,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421849
DOCN,2021Q1_1421813,DigitalOcean Holdings Inc,0,NYSE,软件,31110,-,软件基础构架,31110030,32692397000,5.54,0.0,$47.45,科技,311,1.6,1700000,71621000,0.16,10000.0,1700000,0.16,0.16,1,42.5,40.06,41.4,14.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421813
BMBL,2021Q1_1421801,Bumble Inc,0,NAS,软件,31110,-,软件应用,31110020,38379492000,-17.81,0.0,$49.55,科技,311,0.83,1000000,62380000,0.14,10000.0,1000000,0.14,0.14,1,78.89,59.4,67.59,-26.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421801
TUYA,2021Q1_1421889,涂鸦智能,0,NYSE,软件,31110,-,软件基础构架,31110030,74826572000,17.49,0.0,$20.69,科技,311,0.51,2850000,60249000,0.14,10000.0,2850000,0.14,0.14,1,25.12,19.15,21.92,-5.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421889
XM,2021Q1_1421861,Qualtrics International Inc,0,NAS,软件,31110,-,软件应用,31110020,116411664000,5.15,0.0,$35.12,科技,311,0.32,1650000,54302000,0.12,10000.0,1650000,0.12,0.12,1,55.24,32.41,40.69,-13.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421861
TBA,2021Q1_1421887,Thoma Bravo Advantage,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,9031131000,5.58,0.0,$10.98,金融服务,103,3.14,4000000,41800000,0.1,10000.0,4000000,0.1,0.1,1,12.95,10.22,11.6,-5.34,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421887
ROOT,2021Q1_1421867,Root Inc,0,NAS,保险,10340,-,财产保险,10340020,13589399000,-25.27,-47.1,$8.31,金融服务,103,1.23,3106976,39552000,0.09,10000.0,3106976,0.09,0.09,1,23.15,10.99,16.86,-50.71,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421867
SRNGU,2021Q1_1421875,Soaring Eagle Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-0.76,0.0,$10.46,金融服务,103,0.0,2425000,24541000,0.06,10000.0,2425000,0.06,0.06,1,11.0,10.04,10.39,0.67,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421875
SVFAU,2021Q1_1421882,SVF Investment Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-5.67,0.0,$10.14,金融服务,103,0.0,2000000,21120000,0.05,10000.0,2000000,0.05,0.05,1,14.5,10.38,12.6,-19.52,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421882
REVHU,2021Q1_1421864,Revolution Healthcare Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-0.3,0.0,$10.08,金融服务,103,0.0,2250000,22613000,0.05,10000.0,2250000,0.05,0.05,1,10.11,9.96,10.03,0.5,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421864
AGCB,2021Q1_1421792,Altimeter Growth Corp 2,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,3862226000,-7.01,0.0,$10.22,金融服务,103,3.48,1996000,20718000,0.05,10000.0,1996000,0.05,0.05,1,13.93,10.29,11.95,-14.48,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421792
LMACU,2021Q1_1421838,Liberty Media Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-2.93,0.0,$10.61,金融服务,103,0.0,1700000,18207000,0.04,10000.0,1700000,0.04,0.04,1,13.63,10.71,12.2,-13.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421838
OLO,2021Q1_1421848,Olo Inc,0,NYSE,软件,31110,-,软件应用,31110020,32055481000,23.34,0.0,$33.61,科技,311,0.46,681000,17972000,0.04,10000.0,681000,0.04,0.04,1,34.75,26.39,30.05,11.85,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421848
SVFC,2021Q1_1421884,SVF Investment Corp 3,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,2630345000,-4.15,0.0,$9.92,金融服务,103,2.68,1100000,11110000,0.03,10000.0,1100000,0.03,0.03,1,10.44,9.97,10.23,-3.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421884
AFRM,2021Q1_1421786,Affirm Holdings Inc,0,NAS,软件,31110,-,软件和信息技术服务,31110010,98467075000,-16.34,0.0,$57.45,科技,311,0.08,200000,14144000,0.03,10000.0,200000,0.03,0.03,1,139.99,66.39,97.7,-41.2,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421786
LEGAU,2021Q1_1421836,Lead Edge Growth Opportunities Ltd,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-1.19,0.0,$9.93,金融服务,103,0.0,1000000,9970000,0.02,10000.0,1000000,0.02,0.02,1,10.02,9.84,9.96,-0.3,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421836
SVFB,2021Q1_1421883,SVF Investment Corp 2,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,1891688000,-5.34,0.0,$9.92,金融服务,103,2.63,775000,7828000,0.02,10000.0,775000,0.02,0.02,1,10.72,10.09,10.36,-4.25,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421883
PAQCU,2021Q1_1421860,Provident Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-1.02,0.0,$10.15,金融服务,103,0.0,800000,8128000,0.02,10000.0,800000,0.02,0.02,1,12.5,10.07,10.92,-7.05,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421860
LDHAU,2021Q1_1421835,LDH Growth Corp I,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-1.19,0.0,$9.98,金融服务,103,0.0,960000,9715000,0.02,10000.0,960000,0.02,0.02,1,10.33,9.91,10.09,-1.09,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421835
SEMR,2021Q1_1421870,SEMrush Holdings Inc,0,NYSE,软件,31110,-,软件应用,31110020,17174730000,19.59,0.0,$19.60,科技,311,0.01,10000,119000,0.0,10000.0,10000,0.0,0.0,1,11.91,11.22,11.61,68.82,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1421870
ADBE,2021Q1_1421785,Adobe Inc,0,NAS,软件,31110,-,软件基础构架,31110030,1865776535000,15.85,21.2,$606.17,科技,311,0.15,737500,350585000,0.81,340.3,570000,0.63,0.63,1,501.64,421.2,467.93,29.54,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 340.30 %,2021Q1_1421785
DASH,2021Q1_1421815,DoorDash Inc,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,352264422000,10.45,17.22,$167.33,通信服务,308,1.78,5806568,761415000,1.75,263.82,4210568,1.27,1.27,1,215.16,125.53,168.08,-0.45,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 263.82 %,2021Q1_1421815
DOCU,2021Q1_1421814,DocuSign Inc,0,NAS,软件,31110,-,软件应用,31110020,348703364000,18.79,24.61,$277.01,科技,311,2.64,5151000,1042820000,2.4,190.52,3378000,1.57,1.57,1,265.16,192.84,232.4,19.2,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 190.52 %,2021Q1_1421814
SHOP,2021Q1_1421872,Shopify Inc,0,NYSE,软件,31110,-,软件应用,31110020,1165797384000,19.3,27.35,$1441.50,科技,311,0.42,517550,572669000,1.32,167.03,323734,0.83,0.83,1,1474.0,1039.91,1212.21,18.92,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 167.03 %,2021Q1_1421872
COUP,2021Q1_1421806,Coupa Software Inc,0,NAS,软件,31110,-,软件应用,31110020,107478239000,-18.33,-33.29,$226.09,科技,311,1.95,1434000,364924000,0.84,115.64,769000,0.45,0.45,1,369.92,238.65,315.92,-28.43,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 115.64 %,2021Q1_1421806
ONEM,2021Q1_1421782,1Life Healthcare Inc,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,23697526000,-37.7,-39.06,$26.60,医疗保健,206,5.53,7620000,297790000,0.69,93.89,3690000,0.33,0.33,1,58.7,37.27,47.14,-43.57,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 93.89 %,2021Q1_1421782
SQ,2021Q1_1421878,Square Inc,0,NYSE,软件,31110,-,软件基础构架,31110030,692355003000,-10.61,8.05,$235.16,科技,311,0.17,770000,174829000,0.4,88.49,361500,0.19,0.19,1,276.57,201.87,234.55,0.26,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 88.49 %,2021Q1_1421878
ZM,2021Q1_1421899,Zoom视频通讯,0,NAS,软件,31110,-,软件应用,31110020,679251607000,7.35,5.78,$356.81,科技,311,0.83,2450204,787226000,1.81,69.57,1005231,0.74,0.74,1,444.51,308.39,369.11,-3.33,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 69.57 %,2021Q1_1421899
NOW,2021Q1_1421871,现在服务,0,NYSE,软件,31110,-,软件应用,31110020,712700451000,-0.19,1.43,$558.28,科技,311,1.09,2156000,1078237000,2.48,31.22,513000,0.59,0.59,1,594.47,464.05,528.89,5.56,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 31.22 %,2021Q1_1421871
SNOW,2021Q1_1421874,Snowflake Inc,0,NYSE,软件,31110,-,软件应用,31110020,480181655000,6.18,-10.8,$251.00,科技,311,0.75,2231652,511673000,1.18,27.26,478055,0.25,0.25,1,314.29,208.6,267.41,-6.14,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 27.26 %,2021Q1_1421874
ASAN,2021Q1_1421797,Asana Inc,0,NYSE,软件,31110,-,软件应用,31110020,77637150000,96.46,125.11,$66.52,科技,311,1.59,2881202,82345000,0.19,19.08,461748,0.03,0.03,1,41.49,26.16,34.64,92.03,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 19.08 %,2021Q1_1421797
MSFT,2021Q1_1421842,微软,2003,NAS,软件,31110,-,软件基础构架,31110030,13684871275000,8.51,26.85,$281.03,科技,311,0.18,13722734,3235409000,7.44,15.4,1831000,0.99,0.99,1,244.99,212.25,232.23,21.01,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 15.40 %,2021Q1_1421842
SE,2021Q1_1421869,海洋互联网,0,NYSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,903107747000,7.49,35.06,$268.83,通信服务,308,1.81,9505500,2121913000,4.88,3.02,279000,0.14,0.14,1,280.0,194.37,232.98,15.39,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 3.02 %,2021Q1_1421869
APO,2021Q1_1421796,阿波罗全球管理,2016,NYSE,资产管理,10310,-,资产管理,10310010,89282525000,19.31,23.6,$59.44,金融服务,103,15.03,34913500,1641284000,3.78,2.95,1000000,0.11,0.11,1,51.95,45.53,48.7,22.05,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 2.95 %,2021Q1_1421796
SUMO,2021Q1_1421880,Sumo Logic Inc,0,NAS,软件,31110,-,软件基础构架,31110030,13543688000,-4.34,-32.09,$19.41,科技,311,5.04,5447687,102743000,0.24,1.05,56500,0.0,0.0,1,40.25,17.38,29.37,-33.91,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.05 %,2021Q1_1421880
JD,2021Q1_1421831,京东集团,0,NAS,零售,10280,-,网络零售,10280050,774722131000,-0.81,-12.56,$76.86,周期性消费,102,3.31,51650366,4355675000,10.02,0.0,0,0.0,0.0,1,106.88,78.71,91.81,-16.28,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421831
AMZN,2021Q1_1421793,亚马逊,0,NAS,零售,10280,-,网络零售,10280050,11831859762000,7.46,11.49,$3631.20,周期性消费,102,0.12,613095,1896965000,4.36,0.0,0,0.0,0.0,1,3380.0,2951.95,3171.97,14.48,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421793
PDD,2021Q1_1421858,拼多多,0,NAS,零售,10280,-,网络零售,10280050,897342730000,-16.35,-37.67,$110.74,周期性消费,102,1.12,14053066,1881424000,4.33,0.0,0,0.0,0.0,1,202.82,124.18,169.27,-34.58,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421858
CVNA,2021Q1_1421803,Carvana Co,0,NYSE,零售,10280,-,网络零售,10280050,162805119000,10.48,29.92,$311.20,周期性消费,102,7.43,6012907,1577787000,3.63,0.0,0,0.0,0.0,1,314.84,236.27,275.92,12.79,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421803
CRWD,2021Q1_1421808,CrowdStrike Holdings Inc,0,NAS,软件,31110,-,软件基础构架,31110030,363714045000,16.99,17.69,$249.30,科技,311,3.34,7537000,1375578000,3.16,0.0,0,0.0,0.0,1,242.42,173.85,212.06,17.56,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421808
TDG,2021Q1_1421888,TransDigm Group Inc,2018,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,225757901000,2.05,2.86,$636.56,工业,310,3.2,1757245,1033119000,2.38,0.0,0,0.0,0.0,1,619.89,518.59,589.07,8.06,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421888
WDAY,2021Q1_1421894,工时公司,0,NAS,软件,31110,-,软件应用,31110020,364969484000,-12.14,-4.55,$228.70,科技,311,1.67,4127450,1025382000,2.36,0.0,0,0.0,0.0,1,281.36,220.0,247.59,-7.63,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421894
BABA,2021Q1_1421790,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.17,4478062,1015311000,2.34,0.0,0,0.0,0.0,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421790
RNG,2021Q1_1421865,RingCentral Inc,0,NYSE,软件,31110,-,软件应用,31110020,158070851000,-18.17,-28.96,$269.23,科技,311,3.66,3326370,990859000,2.28,0.0,0,0.0,0.0,1,443.29,283.69,368.91,-27.02,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421865
PTON,2021Q1_1421856,Peloton Interactive Inc,0,NAS,旅游和娱乐,10290,-,娱乐,10290020,214290355000,-7.26,-26.71,$111.19,周期性消费,102,2.63,7857772,883528000,2.03,0.0,14,0.0,0.0,1,167.42,101.35,133.02,-16.41,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421856
NFLX,2021Q1_1421845,奈飞,0,NAS,传媒,30820,-,娱乐,30820040,1556540628000,-1.14,0.41,$542.95,通信服务,308,0.24,1056290,551024000,1.27,0.0,0,0.0,0.0,1,586.34,493.33,530.86,2.28,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421845
TEAM,2021Q1_1421798,Atlassian Corporation PLC,0,NAS,软件,31110,-,软件应用,31110020,419326737000,8.46,10.9,$259.36,科技,311,0.99,2465400,519608000,1.2,0.0,0,0.0,0.0,1,258.41,204.43,232.99,11.32,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421798
CRM,2021Q1_1421868,赛富时,0,NYSE,软件,31110,-,软件应用,31110020,1421393417000,1.97,6.76,$237.58,科技,311,0.25,2288700,484907000,1.12,0.0,0,0.0,0.0,1,248.59,205.33,222.91,6.58,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421868
ESTC,2021Q1_1421820,Elastic NV,0,NYSE,软件,31110,-,软件应用,31110020,82352399000,3.53,-4.74,$139.20,科技,311,4.39,4019843,447007000,1.03,0.0,0,0.0,0.0,1,171.29,105.98,142.45,-2.28,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421820
DDOG,2021Q1_1421810,Datadog Inc,0,NAS,软件,31110,-,软件应用,31110020,206323992000,8.62,5.12,$103.48,科技,311,1.54,4757000,396448000,0.91,0.0,0,0.0,0.0,1,117.85,77.04,96.68,7.03,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421810
TAL,2021Q1_1421886,好未来,0,NYSE,教育,20540,-,教育培训服务,20540010,91478371000,-61.62,-69.32,$21.94,非周期性消费,205,0.89,5762873,310331000,0.71,0.0,0,0.0,0.0,1,90.15,52.09,73.46,-70.13,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421886
EGHT,2021Q1_1421783,8x8 Inc,0,NYSE,软件,31110,-,软件应用,31110020,17994057000,-25.76,-26.66,$25.28,科技,311,8.17,9000000,291960000,0.67,0.0,0,0.0,0.0,1,38.13,30.99,34.61,-26.96,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421783
EDU,2021Q1_1421846,新东方（新）,2018,NYSE,教育,20540,-,教育培训服务,20540010,76638344000,-53.63,-63.19,$6.84,非周期性消费,205,1.08,18435000,258090000,0.59,0.0,0,0.0,0.0,1,19.68,13.79,17.5,-60.91,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421846
MA,2021Q1_1421840,万事达,2017,NYSE,信贷,10360,-,信贷服务,10360010,2498667987000,1.08,9.7,$390.23,金融服务,103,0.07,724000,257780000,0.59,0.0,0,0.0,0.0,1,384.38,315.49,348.78,11.88,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421840
PYPL,2021Q1_1421855,贝宝,0,NAS,信贷,10360,-,信贷服务,10360010,2252054720000,8.22,26.61,$296.51,金融服务,103,0.08,896001,217585000,0.5,0.0,0,0.0,0.0,1,304.79,226.09,253.25,17.08,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421855
FLT,2021Q1_1421823,FleetCor科技,0,NYSE,软件,31110,-,软件和信息技术服务,31110010,138295703000,-11.82,-5.87,$256.81,科技,311,0.78,647662,173981000,0.4,0.0,0,0.0,0.0,1,290.19,242.75,271.62,-5.45,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421823
BEKE,2021Q1_1421833,贝壳,0,NYSE,房地产,10410,-,房地产服务,10410020,300290889000,-23.89,-36.63,$39.00,房地产,104,0.21,2500000,142450000,0.33,0.0,0,0.0,0.0,1,76.69,47.08,62.93,-38.03,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421833
ABNB,2021Q1_1421788,爱彼迎,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,548981583000,-21.59,-6.34,$137.50,通信服务,308,0.11,650000,122161000,0.28,0.0,0,0.0,0.0,1,216.84,139.15,185.72,-25.96,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421788
JAMF,2021Q1_1421830,Jamf Holding Corp,0,NAS,软件,31110,-,软件应用,31110020,23406695000,-14.03,2.64,$30.71,科技,311,2.36,2778778,98146000,0.23,0.0,0,0.0,0.0,1,40.51,29.53,36.54,-15.96,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421830
ZEN,2021Q1_1421898,Zendesk Inc,0,NYSE,软件,31110,-,软件应用,31110020,104171219000,-10.09,-5.05,$135.89,科技,311,0.6,714000,94691000,0.22,0.0,0,0.0,0.0,1,158.0,125.49,143.49,-5.3,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421898
DNK,2021Q1_1421857,蛋壳公寓,0,NYSE,房地产,10410,-,房地产服务,10410020,2796170000,-18.38,-18.66,$2.37,房地产,104,19.92,36436075,86244000,0.2,0.0,0,0.0,0.0,1,3.54,2.2,2.67,-11.35,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421857
API,2021Q1_1421787,声网,0,NAS,软件,31110,-,软件应用,31110020,26157108000,-38.32,-11.68,$34.94,科技,311,1.49,1726123,86772000,0.2,0.0,0,0.0,0.0,1,106.14,37.14,63.77,-45.21,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421787
GDRX,2021Q1_1421826,GoodRx Holdings Inc,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,76011121000,-21.75,-25.78,$29.94,医疗保健,206,0.55,2145000,83698000,0.19,0.0,0,0.0,0.0,1,56.99,35.03,45.15,-33.69,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1421826
